X,Y,STD_BOOMTYPE,STD_STANDPLAATS,STD_ONTWIKKELINGSSTADIUM,NEDBOOMSOORT,LATBOOMSOORT,AANLEGJAAR,BIJZONDERE_BOOM,BINNEN_BOSWET,OPENBARE_RUIMTE,BUURT,WIJK,WOONPLAATS,OBJECTID,GlobalID
6.09246042454823,52.5902261600005,Lei- / vormboom,Verharding,Volwas,Zilverlinde,Tilia tomentosa,1950,Waardevolle boom,Y,Heerengracht,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271155,9f63eb75-d675-4691-8eda-4f9f22753b0f
6.07488525810793,52.6382709657966,Straat- / laanboom,Beplanting,Eindfase,Hollandse linde,Tilia vulgaris 'Europaea',1950,Waardevolle boom,Y,De Vleugel,De Nieuwesluis,Wijk 04 Zwartsluis,Zwartsluis,271156,4e7714fb-46ea-430c-85b4-e82317f17e78
6.09613174953095,52.5933309642812,Straat- / laanboom,Beplanting,Volwas,Noorse esdoorn,Acer platanoides,1965,Waardevolle boom,Y,Nadorster Randpad,Nadorst,Wijk 02 Hasselt,Hasselt,271157,716e3b1c-ff80-4603-b225-ef0e188feddb
6.09644250687724,52.5894661967389,Straat- / laanboom,Beplanting,Eindfase,Zomereik,Quercus robur,1940,Waardevolle boom,Y,Eikenlaan,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271158,fc97aeed-b0ea-4851-9f83-916321c788ae
6.10039625624432,52.5890837053304,Straat- / laanboom,Verharding,Eindfase,Zomereik,Quercus robur,1950,Waardevolle boom,Y,Karel Doormanstraat,Hasselt Dedemsvaart-Zuid,Wijk 02 Hasselt,Hasselt,271159,7e1c02ec-e6bb-4808-b0ed-7ada0a78b523
6.09738797803214,52.5879479809433,Straat- / laanboom,Gras,Eindfase,Witte paardekastanje,Aesculus hippocastanum,1955,Waardevolle boom,Y,Sportlaan,Hasselt Dedemsvaart-Zuid,Wijk 02 Hasselt,Hasselt,271160,3c214d65-6ff0-4ac4-8f04-dc1af5e950d1
6.09544858351841,52.5899667329916,Straat- / laanboom,Beplanting,Eindfase,Zomereik,Quercus robur,1890,Waardevolle boom,Y,Eikenlaan,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271161,13011d1b-89ce-4abc-aa8b-c0ea8215f7c3
6.09656874024003,52.5896845112517,Straat- / laanboom,Verharding,Eindfase,Groene treurbeuk,Fagus sylvatica 'Pendula',1890,Waardevolle boom,Y,Eikenlaan,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271162,2857c031-0ccb-4e72-b8d2-8a00e74d6d5e
6.09687185873758,52.589595339001,Straat- / laanboom,Beplanting,Eindfase,Zomereik,Quercus robur,1890,Waardevolle boom,Y,Eikenlaan,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271163,57965615-2cb3-48b8-8283-c49a647d128a
6.03851552163959,52.6260664131861,Straat- / laanboom,Beplanting,Eindfase,Hollandse linde,Tilia vulgaris 'Europaea',1960,Waardevolle boom,Y,Blokhuisweg,Genemuiden Kern,Wijk 00 Genemuiden,Genemuiden,271164,871bbb8d-e0ea-44d6-b3d2-eec35bebaab2
