Handelsnaam;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
Frankwatching B.V.;;;;;;1;;;;1
Freyr Ventures B.V.;;;;1;;;;;;1
FREZON;;;;1;;;;;;1
Frijters Mind Tuning B.V.;;;;;;1;;;;1
Frits Hartevelt Tuinen;;;;;;1;;;;1
Fussia B.V.;;;;;;;1;;;1
Fysiotherapeutisch Centrum Palenstein;;;1;;;;;;;1
G. van de Kemp;;;;;;1;;;;1
G.M. van Dieren;;;1;;;;;;;1
Gajes in de Bajes;;;;1;;;;;;1
Gargantua Rotterdam;;;;;;;;;1;1
Gastouderbureau Westland;;;;1;;;;;1;1
Gebr. Barendsen B.V.;;;;1;;;;;;1
gefeliciTAART B.V.;;;;1;;;;;;1
Genieterij De Slotplaats;;;;;;;1;;;1
GeoFort Exploitatie B.V.;;;;1;;;;;;1
geWoonboot V.O.F.;;;;;;1;;;;1
Gh Catering B.V.;;;;1;;1;;;;1
Gisco Management Partners B.V.;;;;;;1;;;;1
GispenEffect;;;;;;1;;;;1
GITP B.V.;;;;;;2;;;;2
Giulia Cosenza Interior Design;;;;;;1;;;;1
Glamhouse;;;;;;1;;;;1
Global Knowledge;;;;;;3;;;;3
Global Project Performance;;;;;;2;;;;2
Glope Events B.V.;;;;1;;;1;;;1
Go B.V.;;;;;;2;;;;2
Goderie Beheer B.V.;;;;;;;;;1;1
Goerp;;;;;;1;;;;1
Golden Tulip Hotel Central;;;;;;;;;1;1
Golden Tulip Hotel De Reiskoffer;;;;;;1;;;;1
Golden Village B.V.;;;;1;;;;;;1
Golfbaan Spaarnwoude;;;;1;;;;;;1
Good Conditions B.V.;;;1;;;;;;;1
Good Place 2 Work;;;;;;1;;;;1
Goods Design Products & Concepts;;;;1;;;;;;1
Governance University (Netherlands) B.V.;;;;;;1;;;;1
GrachtenAtelier;;;;1;;;;;;1
Grand café De Bastille;;;;1;;;1;;;1
Grand Cafe Lubeck;;;;1;;;1;;;1
Grand Café Silva Ducis B.V.;;;;1;;;;;;1
Grand Restaurant Le Connaisseur;;;;;;;1;;;1
Granny's Corner;;;;1;;;;;;1
Grieks Specialiteiten Restaurant Knossos;;;;1;;;;;;1
Grip on IT;;;;;;2;;;;2
Groenendijk Begeleidingskunde;;;1;;;;;;;1
Gusto Mangia e Bevi;;;;1;;;1;;;1
H. Hendriksen;;;;;;;;;1;1
H.J. Panhuijzen;;;;;;;;;1;1
H.J. Takens;;;;;;1;;;;1
H.O.M. Holding B.V.;;;;1;;;;;1;1
Haags Historisch Museum;;;;1;;;;;;1
Haagse Beek organisatieadvies B.V.;;;;;;1;;;;1
Haagse Taxi Mobilofoon Centrale B.V.;;;;;;;;;1;1
Habana Beach;;;;1;;;1;;;1
Hageman Party Catering Haaglanden;;;;1;;;;;;1
Hallmark Cards Nederland B.V.;;;;1;;;;;;1
Hans de Cock;;;;;;1;;;1;1
Hanting Cuisine B.V.;;;;1;;;;;;1
Hapas;;;;;;;1;;;1
Hapjes Enzo;;;;;;;1;;;1
Happy Meat B.V.;;;;1;;;;;;1
Haptotherapie Den Haag;;;;;;1;;;;1
Hara van Amersfoort;;;;1;;;;;;1
Hartelijk Gefaciliteerd;;;;;;1;;;;1
Harvey Nash B.V.;;;;;;4;;;;4
Hatch Search Talent B.V.;;;;;;2;;;;2
Havana;;;;1;;;;;;1
Havenbedrijf Rotterdam N.V.;;;;1;;;;;1;1
Health2Work B.V.;;;2;;;1;;;;2
Heikoop Accountancy en Educatie;;;;;;1;;;;1
Hein Post Wijnen Gastronomie;;;;;;1;;;;1
Helder Werk B.V.;;;;1;;;;;;1
Hemelaar-van Campenhout;;;;;;;1;;;1
Hennekes Preventie en Reïntegratie;;;1;;;;;;;1
Henriëtte van der Linden;;;;;;1;;;;1
Henriëtte van Dueren den Hollander;;;;;;1;;;;1
Henry's Photodesign;;;;;;;1;;;1
Herco Spierenburg Chocolaterieën & Zoetwaren;;;;1;;;;;;1
Herlinda;;;;;;1;;;;1
Herngreen Personal Coaching & Training;;;1;;;;;;;1
Hesbak 2 B.V.;;;;1;;;;;;1
Het Bakkertje;;;;;;;1;;;1
Het Chocolade Huis;;;;1;;;;;;1
Het Drents Kwartiertje;;;;1;;;1;;;1
Het Echte Werkt!;;;;;;1;;;;1
Het Gegeven Paard B.V.;;;;1;;;;;;1
Het Glaslokaal;;;;1;;;;;;1
Het Goudkantoor;;;;1;;;1;;;1
Het Heden;;;;1;;;;;;1
Het Kookplein;;;;1;;;1;;1;2
Het Nederlands Openluchtmuseum;;;;1;;;;;;1
Het NIC Inkoop Interim Management;;;;;;1;;;;1
Het Paleis Groningen B.V.;;;;;;;;;1;1
Het Pleidooi;;;;;;;1;;;1
Het Prentenkabinet;;;;1;;;;;;1
HHB Software-Hardware-Brainware B.V.;;;;1;;;;;1;1
Hiawatha Actief;;;;;;;1;;;1
High Five Health Promotion B.V.;;;4;;;;;;;4
HJM;;;;;;1;;;;1
Hoeve Kromwijk;;;;1;;;1;;;1
Hof Catering B.V.;;;;;;1;;;;1
Hof van Twello;;;;;;;1;;;1
Hofmans Vertellingen;;;;;;1;;;;1
Hofvlietvilla B.V.;;;;;;;1;;;1
Hogeschool Domstad Beheer B.V.;;;;;;;1;;2;2
HOG-Line Exploitatie B.V.;;;;1;;;;;;1
Holding ID College B.V.;;;;;;1;;;;1
Holding Johan Groenen B.V.;;;;1;;;;;;1
Holdrinet Training & Coaching V.O.F.;;;;;;1;;;;1
Holland Tour Guides B.V.;;;;1;;;1;;;1
Hollandsouvenirshop;;;;1;;;;;;1
Home of Image B.V.;;;;1;;1;;;;1
Hoogendijk Coaching en Opleiding;;;;;;1;;;;1
Hooghoudt B.V.;;;;1;;;1;;;1
Hop & Stork Holding B.V.;;;;;;;;;1;1
Horeca Combinatie Groningen B.V.;;;;1;;;1;;;1
Horeca Exploitatie Maatschappij Berlage B.V.;;;;1;;;1;;;1
Horeca Exploitatie WWZ V. B.V.;;;;1;;;;;;1
Hotel & Restaurant Hoog Holten B.V.;;;;;;;1;;;1
Hotel Contact B.V.;;;;1;;4;1;;5;5
Hotel 'De Sniep' B.V.;;;;1;;;;;1;1
Hotel DOM;;;;;;;;;1;1
Hotel Exploit. Maatschappij Bluefinger B.V.;;;;;;;;;1;1
Hotel Lapershoek;;;;;;1;;;;1
Hotel New York B.V.;;;;1;;;1;;1;1
Hotel Prinsenhof (Groningen);;;;1;;;1;;;1
Hotel Restaurant Huiskamercafé Oortjeshekken;;;;1;;;;;;1
Hotel Van der Valk Groningen/Westerbroek;;;;;;;1;;1;1
Hotelschool The Hague;;;;1;;;1;;;1
Houdt van Eten;;;;1;;;1;;1;1
House of Lords B.V.;;;;2;;;;;;2
House of Media;;;;;;1;;;;1
HSK Groep;;;1;;;1;;;;2
HTC Haagse Taxi Centrale;;;;;;;;;1;1
HTM Specials B.V.;;;;1;;;;;;1
Hudson Zoetermeer B.V.;;;;1;;;1;;;1
Huf & Go;;;;1;;;;;;1
Huize Molenaar B.V.;;;;;;;;;1;1
Humphrey's Den Haag B.V.;;;;1;;;;;;1
Humphrey's Leeuwarden B.V.;;;;;;;1;;;1
Humphrey's Noord B.V.;;;;1;;;;;;1
Humphrey's Restaurant;;;;1;;;1;;;1
Hutten Business Catering B.V.;;;;;;;;;1;1
Huureendjes;;;;1;;;1;;;1
Huureeneend.nl;;;;1;;;1;;;1
I Love Workshopevents B.V.;;;;;;;1;;;1
I. en P.M. Inform. en Procesmanagement B.V.;;;;;;1;;;;1
IADA V.O.F.;;;;;;1;;;;1
IBG Advies;;;;;;;;;1;1
ICAM B.V.;;;;;;;;1;;1
Ice Zone Horeca Exploitatie B.V.;;;;2;;;;;;2
ICM Opleidingen & Trainingen B.V.;;;;;;2;;;;2
Icoa Nederland;;;;;;;;1;;1
Icomos-Nederland;;;;;;;;1;;1
id&dn;;;;;;1;;;;1
Ida Stroosnijder Teksten en Trainingen;;;;;;1;;;;1
Idols Rijswijk B.V.;;;;1;;;;;;1
IG Learning B.V.;;;;;;2;;;;2
IJsVanvitelli;;;;1;;;;;;1
Il Lago B.V.;;;;;;;;;1;1
Image4u Fotografie;;;;;;2;;;;2
Impuls B.V.;;;;;;1;;;;1
In den Gapenden Eter;;;;;;;1;;;1
In Touch Women Resource Management B.V.;;;;;;1;;;;1
In2Content B.V.;;;;1;;1;;;;1
InBetween Gifts;;;;1;;;;;;1
Index B.V.;;;;1;;;1;;;1
Indisch Restaurant Garoeda;;;;1;;;1;;;1
Indonesisch Rest. 'Mooi Zeist';;;;1;;;;;;1
Indonesisch Restaurant Poentjak;;;;1;;;;;;1
Informatica Nederland B.V.;;;;;;1;;;;1
Information Security Academy B.V.;;;;;;1;;;;1
Infotopics B.V.;;;;;;1;;;;1
Inframatica Consultants B.V.;;;;;;1;;;;1
Ingrid Schröder;;;;;;1;;;;1
Innoproduct;;;;1;;;;;;1
Inpositie coaching & advies;;;;;;1;;;;1
InsightsWorld B.V.;;;;;;2;;1;;2
Inspiration Company Nederland B.V.;;;;;;2;;;;2
Inspire Circle of Professionals;;;;;;1;;;;1
Instituut van Internal Auditors Nederland;;;;;;1;;;;1
Instituut voor Arbeidsrecht B.V.;;;;;;1;;;;1
Instituut voor Interventiekunde;;;;;;1;;;;1
Instondo Beheer B.V.;;;;;;1;;;;1
Intercom Recruitment B.V.;;;;;;1;;;;1
Interdirect International;;;1;;;;;;;1
Intermenso;;;;;;1;;;;1
International Card Services B.V.;;;;1;;;;;1;1
International Council on Social Welfare;;;;;;2;;;;2
Internet New Business Concepts B.V.;;;;;;;;;3;3
Internet Society Nederland;;;;;;1;;;;1
Internet Unie Services B.V.;;;;;;1;;;;1
Intertoys;;;;;;;1;;;1
Invloedrijk;;;;;;1;;;;1
IPMA Certificering B.V.;;;;;;2;;;;2
Ipulse Communicatie & Design;;;1;;;;;;;1
Iris B.V.;;;;1;;;;;;1
Isa Training & Coaching B.V.;;;;;;1;;;;1
ISS Nederland B.V.;;;;;;2;;;;2
IT Management Group;;;;;;2;;;;2
Italy;;;;;;;1;;;1
Itcg Projects B.V.;;;;;;1;;;;1
Its Style;;;;;;1;;;1;1
IVN;;;;1;;;;;;1
Ivory-Den Haag B.V.;;;;1;;;;;;1
J. Landman B.V.;;;;;;1;;;1;1
J. Plantenga;;;;1;;;;;;1
J.A. van der Hoeve;;;;;;2;;;;2
J.C.M. Vonk;;;;1;;;;;1;1
J.G.M. Nijhuis;;;;1;;;;;;1
J.H.E. van Pijkeren Beheer B.V.;;;;;;;;;1;1
J.H.J. Limonard;;;;;;;;;1;1
J.J. Oosterlaken;;;;;;;;;1;1
J.P. de Vries B.V.;;;;;;1;;;1;1
JA ik wil;;;;1;;;;;;1
Jaarbeurs B.V.;;;;;;;;;1;1
Jachthaven Zuidwesthoek B.V.;;;;1;;;1;;;1
Jachtwerf Coen Rutjes;;;;;;;1;;;1
Jackiecatering;;;;1;;;1;;1;1
JAN architectuur;;;;;;1;;;;1
Jan Fioole;;;1;;;;;;;1
JARO Events en Catering B.V.;;;;;;;1;;;1
Jasmine Palace De Meern B.V.;;;;1;;1;;;;1
JAVO Bedrijfshulpverlening;;;;;;1;;;;1
Jazeker productie & communicatie;;;;;;1;;;;1
Jelco Kamstra Bestratingen;;;;;;;1;;;1
Jeroen de Ruijter Totaalbouw;;;;;;;;;1;1
Jeroen Tessers;;;;;;;1;;;1
Jinc.;;;;;;1;;;;1
JMB Paintings Conservation;;;;;;;;;1;1
Joey Mercuur Patisserie;;;;1;;;;;;1
Jonah Lamers;;;;;;1;;;;1
Jopen Horeca Exploitatie B.V.;;;;1;;;;;;1
Jouke de Jong;;;;1;;;;;;1
Joytime Groepsactiviteiten;;;;1;;;;;;1
JR Horeca Company B.V.;;;;;;;1;;1;1
JS Consultancy B.V.;;;;;;1;;;;1
Judith Meulenbrug;;;;;;1;;;;1
Julia B.V.;;;;1;;;;;;1
K. de Jong Beheer B.V.;;;;1;;;;;;1
K. Reyhan;;;;;;;;;1;1
K. Vos;;;;1;;;;;;1
Kaap Doorn B.V.;;;;;;;;;1;1
Kamp Coaching - Training & Advies;;;;;;1;;;;1
Kamphuis' Gulch B.V.;;;;;;;;;1;1
Kantien B.V.;;;;1;;;;;;1
Kardinge;;;;;;;;;1;1
Kasteel Huize Harmelen;;;;;;;;;1;1
Kasteel Oud-Poelgeest B.V.;;;;;;1;;;;1
KATO Group B.V.;;;;1;;;;;;1
Kdvnet.nl;;;;1;;;;;;1
Kees Knaap Zeefdruk Twee V.O.F.;;;;1;;;;;;1
Kees Willems B.V.;;;;1;;;;;;1
Kemperman & Partners Coaching en Training;;;;;;1;;;;1
Kepner-Tregoe Nederland;;;;;;3;;;1;4
Kessels & Smit Something B.V.;;;;;;3;;;;3
Khaled Fedaie;;;;;;;;;1;1
Kinderopvang Natuurlijk B.V.;;;;1;;;;;;1
King Arthur B.V.;;;;1;;;;;;1
Kite-Extreme;;;;1;;;;;;1
Kledingreparatie Smulders;;;;1;;;;;1;1
Klinks Bakkerij;;;;1;;;;;;1
KLM;;;;;;;;;1;1
Kloosterhoeve B.V.;;;;1;;;;;;1
Kloosterhotel ZIN B.V.;;;;;;1;;;;1
klussenbedrijf H. van der Veen;;;;;;1;;;;1
KMS Overheid B.V.;;;;;;;;1;;1
Knowmads B.V.;;;;;;2;;;;2
Koffie & Anders;;;;;;;1;;;1
Koninklijk Instituut van Ingenieurs;;;;;;1;1;;;1
Koninklijke van Gorcum B.V.;;;;1;;;;;;1
Koopmans Coaching & Consultancy;;;;;;1;;;;1
Korte Poten 1-3 B.V.;;;;1;;;;;;1
KPN HotSpots;;;;;;1;;;;1
Kreijenbroek Holding B.V.;;;;;;1;;;;1
Kring van Zuid-Hollandse Archivarissen;;;;;;1;;;;1
KSG B.V.;;;;;;2;;;;2
Kunst en Denkwerk;;;;;;1;;;1;1
Kunstgras Events B.V.;;;;;;;1;;;1
La Carte Internet B.V.;;;;1;;;;;;1
La Mama Zoetermeer B.V.;;;;1;;;1;;;1
La Meridiana;;;;;;;1;;;1
La Red B.V.;;;;;;1;;1;;1
La Vina B.V.;;;;1;;;;;;1
La Vita Sana voedingsadviesbureau;;;1;;;;;;;1
Lagerweij & Partner Consultants B.V.;;;;;;1;;;;1
Landel. Expertise Centrum Speciaal Onderwijs;;;;;;1;;;;1
Landgoed de Horst;;;;;;1;;;1;1
Landgoed ISVW B.V.;;;;;;1;;;1;1
Larijs trainingen;;;;;;1;;;;1
Lasaulec B.V.;;;1;;;;;;;1
Le Maquis B.V.;;;;1;;;;;1;1
Le Passage;;;;;;;1;;;1
Lean Consultancy Group B.V.;;;;;;2;;;;2
Learn it B.V.;;;;;;1;;;;1
Learningtrain;;;;;;1;;;;1
Lectric Trainingen B.V.;;;;;;1;;;;1
LEDsImprove.nl;;;;1;;1;;;;1
LEDvertiser.nl B.V.;;;;;1;;;;;1
leefRUIMTE ontwerp & advies;;;;;;1;;;;1
Leer Kracht;;;;;;1;;;;1
Leeuwendaal Advies B.V.;;;;;;2;;;;2
LEF Marketing & Events B.V.;;;;;;1;;;;1
Leids Congres Bureau B.V.;;;;;;1;;;;1
Leidse Onderwijsinstellingen B.V.;;;;;;1;;;;1
Leo Ringelberg Touringcars;;;;1;;;;;;1
Leonidas;;;;1;;;;;;1
Leren Filosoferen;;;;;;1;;;;1
Les Ombrelles;;;;;;;;;1;1
Lexima B.V.;;;;;;1;;;;1
LHC Exploitatie B.V.;;;;1;;;;;;1
LianHua Chinese School;;;;;;1;;;;1
LIB Businessgames B.V.;;;;1;;1;;;;1
Libereaux B.V.;;;;;;1;;;;1
Librt B.V.;;;;;;1;;;;1
Lies Pol B.V.;;;;;;2;;;;2
Lily Schuimer;;;;;;1;;;;1
Lindozoe;;;;1;;;1;;;1
Linguarama Holland Limited;;;;;;1;;;;1
Link@Work Beheer B.V.;;;;;;1;;;;1
Little V Den Haag B.V.;;;;1;;;1;;;1
LiveWall;;;;;;;1;;;1
Livinglife;;;;;;1;;;;1
Livoge;;;;;;1;;;;1
Lloyd Hotel B.V.;;;;;;;;;1;1
Lobo Groningen B.V.;;;;1;;;1;;;1
Logacom B.V.;;;;;;1;;;;1
Logeion;;;;;;1;;1;;1
Logop. Almere-Stad Barbara Stuyling de Lange;;;;;;1;;;;1
Logopediepraktijk Renée Vennema;;;;;;1;;;;1
Lokenberg Training & Consultancy;;;;;;1;;;;1
Loof training en advies B.V.;;;;;;1;;;;1
Looije;;;;;;;;;1;1
Loopbaan;;;;;;1;;;;1
Lopharm B.V.;;;;;;1;;;;1
Lostivale;;;;1;;;1;;;1
Louis XV;;;;1;;;1;;;1
Louise Cornelis Tekst & Communicatie;;;;;;1;;;;1
Louwman Musea B.V.;;;;1;;;;;;1
LS Consultancy B.V.;;;;;;1;;;;1
LTP Advies B.V.;;;;;;5;;;;5
Lud'arte;;;;1;;;;;;1
Lumage Managing Customer Relations B.V.;;;;;;4;;;;4
Lumenz;;;;;;1;;;1;1
Lyreco Nederland B.V.;;;;1;;;;;;1
M. Ex. T. Netherlands B.V.;;;1;;;;;;;1
M. K. Timmerman;;;;;;1;;;;1
M. v. Ginkel Proj.man. in econ. & samenwerk.;;;;;;1;;;;1
M.E. van der Kamp;;;;;;;;;1;1
M.J. Cornelissen;;;;1;;;;;1;1
M.J. Riemens;;;;1;;;;;;1
Maastricht Excursies B.V.;;;;1;;;1;;;1
Maatschap Berg & Soeters;;;;;;1;;;;1
Mainpress B.V.;;;;;;1;;;;1
Maliebaan45 B.V.;;;;;;;;;1;1
MaMa Kelly B.V.;;;;1;;;;;;1
Manag. Training Centre Outdoor Europe B.V.;;;;;;1;;;;1
Map Tech;;;;;;1;;;;1
Mappa&More;;;;;;1;;;;1
Marbles;;;;;;1;;;;1
Marcel Vogels;;;;;;;;;1;1
Marco van der Meij;;;;;;1;;;;1
Margalith Kleijwegt;;;;;;1;;;;1
Maria Verhees training en coaching;;;;;;1;;;;1
Marianna La Pecora Nera V.O.F.;;;;1;;;;;;1
Marie-José van der Meij & Partners;;;;;;1;;;;1
Mariënhof Amersfoort B.V.;;;;;;1;;;;1
Marijke van Dijk Organisatieadvies & Coaching;;;;;;1;;;;1
Martini Hotel Group B.V.;;;;;;;;;1;1
Matchpoint Sportswear;;;1;;;;;;;1
Matthieu Maas;;;;;1;;;;;1
Maurice Foulon Gestalttherapie;;;1;;;;;;;1
Mauritshuis;;;;1;;;;;;1
Mavim B.V.;;;;;;2;;;;2
MBHC Bouw B.V.;;;;;;;;;1;1
MBO Raad;;;;;;;;;1;1
MEC B.V.;;;;;;1;;;;1
Meca B.V.;;;;;;;;1;;1
Media Markt Arena B.V.;;;;;;1;;;;1
Mediat. & Train. Network The Lime Tree B.V.;;;;;;1;;;;1
Mediavrouw;;;;;;1;;;;1
Meerweg Exploitatie Haren B.V.;;;;1;;;1;;;1
Meesterbakker Roodenrijs;;;;1;;;1;;;1
Meeting Plaza Utrecht B.V.;;;;;;;1;;;1
Merkelbach B.V.;;;;;;1;;;1;1
Merleyn;;;;1;;;1;;;1
Michelle Peters;;;;1;;;;;1;1
midiotech;;;;;;;1;;;1
Mijn voedingscoach.nl;;;1;1;;;;;;1
Mike Bruinsma;;;;1;;;;;;1
Millers;;;;1;;;1;;;1
Mindfulness Rise and Shine;;;;;;1;;;;1
MindMeeting B.V.;;;;;;1;;;;1
Miró;;;;;;;1;;;1
Mitchell Vergeer;;;;;;;;;1;1
MKPC B.V.;;;;;;1;;;;1
MLA+ B.V.;;;;;;1;;;;1
Mobility Mixx B.V.;;;;;;;;;7;7
Moeke Vaatstra;;;;1;;;1;;;1
More Balls Than Most B.V.;;;;;;2;;;;2
Moree Gelderblom Advocaten;;;;;;1;;;;1
Mosa Conference;;;;;;2;;;;2
Motel Assen B.V.;;;;1;;;1;;;1
MOTI;;;;1;;;;;;1
Moventium;;;;1;;;;;;1
Movum B.V.;;;;;;1;;;;1
MRSP;;;;1;;;;;;1
MSP Opleidingen;;;;;;1;;;;1
Mulder Projectmanagement B.V.;;;;;;1;;;;1
Multivision B.V.;;;;;;1;;;;1
Museumkwartier B.V.;;;;;;;1;;1;1
Museumshopdenhaag;;;;1;;;;;;1
MW & V;;;;;;1;;;;1
N.V. Nederlandse Spoorwegen;;;;;;;;;5;5
N200.Com B.V.;;;;;;1;;;;1
Nakopy B.V.;;;;1;;;;;;1
Nathaly Schrijnder Vertaling & Redactie;;;;;;;;;1;1
Nationale Media B.V.;;;;;;1;;;;1
Navigators Studentenvereniging Enschede;;;;;;1;;1;;1
NCOI Trainingen B.V.;;;;;;3;;;;3
NDC mediagroep B.V.;;;1;;;;;;;1
Ned. Gen.schap van Funct. Gegevensbescherming;;;;;;1;;;;1
Nederl. Ber.ver. voor Contractmanagement;;;;;;1;;;;1
Nederland. Vereniging voor Aanbestedingsrecht;;;;;;1;;;;1
Nederlands Debat Instituut Holding B.V.;;;;;;1;1;;;1
Nederlands Genootschap voor Sociale Zekerheid;;;;;;1;;;;1
Nederlandse Kastelenstichting;;;;;;1;;;;1
Nederlandse Orde van Register EDP-Auditors;;;;;;;;1;;1
Nederlandse Stg. v. Corporate Universities;;;;;;1;;;;1
Nederlandse Tuinenstichting;;;;;;1;;;;1
Nederlandse Vereniging van Monumentenzorgers;;;;;;;;1;;1
Nederlandse Vereniging voor Burgerzaken;;;;;;1;;;;1
NEDFAC B.V.;;;;;;1;;;;1
Neftakhir;;;;;;1;;;;1
Negometrix B.V.;;;;;;1;;;;1
Nes-Café;;;;1;;;1;;;1
Nesma B.V.;;;;;;1;;;;1
Neuland Nederland;;;;;;1;;;;1
NEVERREST;;;;1;;;;;;1
NEVI-Purspective B.V.;;;;;;2;;;;2
New Babylon Meeting Center B.V.;;;;2;;;1;;1;2
New Life Yoga;;;;1;;;;;;1
New York Pizza Het Gooi B.V.;;;;;;;1;;;1
NGI B.V.;;;;;;1;;;;1
NHOW Rotterdam B.V.;;;;1;;;;;;1
Ni Hao Stadsparkpaviljoen B.V.;;;;1;;;1;;;1
Ni Hao Trading B.V.;;;;1;;;1;;1;1
NIBE-SVV Opleidingen B.V.;;;;;;1;;;;1
Nicolette van Dorp Career Coaching;;;;;;2;;;;2
Nieuwhuis Consult B.V.;;;1;;;;;;;1
Nijburg Verhuur B.V.;;;;;;;;;1;1
Nikopolis B.V.;;;;;;;1;;;1
NIMO Academy B.V.;;;;;;1;;;;1
NIOW B.V.;;;;;;1;;;;1
NIPED Prevention B.V.;;;3;;;;;;;3
NLJUG B.V.;;;;;;1;;;;1
Noloc;;;;;;;;1;;1
Noorderpoort;;;;;;1;;;;1
Nooteboom Tours;;;;1;;;;;;1
NOSCERE;;;;;;1;;;;1
Nox Loonbedrijf;;;;;;1;;;;1
NRTO (Nederl. Raad voor Train. en Opleiding);;;;;;1;;;;1
NS Reizigers B.V.;;;;;;;;;4;4
NS Stat. Ret.bdr. B.V. thodn De Broodzaak;;;;;;;;;1;1
Nsob;;;;;;4;;;;4
NWC Events B.V.;;;;;;1;;;;1
Odyssee B.V.;;;;;;1;;;;1
Office Centre;;;;;;1;;;;1
Office Depot B.V.;;;;1;;;;;;1
OGZ B.V.;;;;;;;;;1;1
Olive B.V.;;;;1;;;;;;1
Onderneem 't - Projecten;;;;;;1;;;;1
Onderw. Maak Je Samen Advies & Training B.V.;;;;;;1;;;;1
Ontbijt & Lunch Juni;;;;1;;;;;;1
Oosterhuis Beheer B.V.;;;;1;;;;;1;1
oPEn Campus B.V.;;;;;;1;;;;1
Open IT;;;;;;;;;1;1
Openbare Bibliotheek Amsterdam;;;;;;;;;1;1
Operation Exit;;;;;;1;;;;1
Opleiding Sportmassage Groningen;;;;;;1;;;;1
Opleidingscentrum Haaglanden B.V.;;;;;;4;;;;4
Oppewal Eelde B.V.;;;;1;;;;;;1
Oppidum B.V.;;;;;;1;;;;1
Optelec Nederland B.V.;;;1;;;;;;;1
Oracle Nederland;;;;;;1;;;;1
Organisatiegeluk;;;;1;;;1;;;1
Organisatieregie B.V.;;;;;;2;;;;2
Original Tours & Activities Nederland B.V.;;;;1;;;1;;;1
ORM Massages;;;1;1;;;;;;1
OSR Juridische Opleidingen B.V.;;;;;;1;;;;1
Oudaen B.V.;;;;1;;;;;;1
Oudshoorn Bloemen;;;;1;;;;;;1
Out of my box: omdat trainen werkt!;;;;;;1;;;;1
Outdoor Point;;;;1;;;1;;;1
P&S Entertainment;;;;;;;1;;;1
P.A. van Zijll;;;;1;;;;;1;1
P.B.N. Sport & Adventure B.V.;;;;1;;;;;;1
P.C. de Koning;;;;1;;1;;;;1
P.D. Virdo;;;;1;;;;;;1
P.M. Verhagen;;;;;;;1;;1;1
Paagman Den Haag B.V.;;;;1;;;;;;1
Pacific Groningen;;;;1;;;1;;;1
Paluco B.V.;;;;;;;1;;;1
Pannenkoekenboot B.V.;;;;1;;;;;;1
Panteia B.V.;;;;;;1;;;;1
Papieren Tijger Beheer B.V.;;;;;;1;;;;1
Pardon Consult;;;;;;;;1;;1
Parel Trainingen;;;;;;1;;;;1
Park2Move B.V.;;;;;;1;;;;1
Parkhotel Den Haag;;;;;;1;1;;1;1
Parkhuis Lombok;;;;;;;;;1;1
Partou B.V.;;;;1;;;;;1;1
Party Centrum De Franse School;;;;1;;;;;1;1
Party World;;;;1;;;;;;1
Paulusma Reizen B.V.;;;;1;;;;;;1
Paviljoen van de Dame B.V.;;;;1;;;1;;1;1
PBLQ B.V.;;;;;;3;;;;3
PDS Professional Driving Solutions B.V.;;;;;;1;;;;1
PensioenKompaan;;;1;;;1;;;;1
People & Print Group;;;;1;;;;;;1
Pepijn Sonneveld;;;;;;1;;;;1
Performa Uitgeverij B.V.;;;;;;1;;;;1
Perron 4/5;;;;;;;1;;;1
Personeelsvereniging RKD;;;;;;;1;;;1
Pets Care Center;;;;;;1;;;;1
Phaos Advies B.V.;;;;;;1;;;;1
PhilaCare International;;;;;;1;;;;1
Phoenix Opleidingen;;;;;;1;;;;1
Photo Designs;;;;;;1;;;;1
PHT Eten & Drinken B.V.;;;;1;;;;;;1
Phuket V.O.F.;;;;1;;;;;;1
Pinkcube B.V.;;;;1;;;;;;1
Pino Evenementen & Congressen B.V.;;;;;;2;;;;2
Pino Productions B.V.;;;;;;1;;;;1
Pitch & Putt Groningen;;;;1;;;1;;;1
Pizzeria Verlengde Hereweg B.V.;;;;1;;;1;;;1
Plan to behaviour;;;;;;2;;;;2
Plata Foundation B.V.;;;;;;1;;;;1
Platform Outsourcing Nederland;;;;;;1;;;;1
Plek;;;;1;;;;;;1
Plus Delta B.V.;;;;;;1;;;;1
PMO Institute B.V.;;;;;;1;;;;1
POL Heteren B.V.;;;1;;;;;;;1
Polteq Test Services B.V.;;;;;;2;;;;2
Pondok Bali Mandera;;;;1;;;1;;;1
Pop-up Fun B.V.;;;;;;;1;;;1
POSG B.V.;;;;;;3;;;;3
Prachtig B.V.;;;;1;;;;;;1
Praktijk Maria Derksen;;;1;;;;;;;1
Praktijk Novaster;;;;;;1;;;;1
Praktijk voor Bewustzijnstraining;;;;;;1;;;;1
Praktijken van psychotherapeuten/-logen;;;1;;;;;;;1
Premed Health Care (PHC) B.V.;;;1;;;;;;;1
Prikkels B.V.;;;;1;;;;;;1
PRiMAN Talent Management;;;;;;1;;;;1
Prins & Partners B.V.;;;;;;1;;;;1
Print X-Press;;;;1;;;;;;1
Printed Copy en Printservice;;;;1;;;;;;1
Printerette Digishop B.V.;;;;1;;;;;;1
