FID,length,br_links,br_rechts,vliegdatum,filenaam,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_kust_2008.143,10244.523,345.5,-328,24-6-2008,vlieland_ar8_14,,,"LINESTRING (127372.8590000011 585619.063000001, 118872.32800000161 579901.436999999)"
vlieglijnen_kust_2008.144,9808.512,333.70001221,-330.20001221,24-6-2008,vlieland_ar8_15,,,"LINESTRING (127463.13300000131 585374.063000001, 119330.97700000182 579890)"
vlieglijnen_kust_2008.145,9104.961,372.79998779,-336.70001221,24-6-2008,vlieland_ar8_16,,,"LINESTRING (127047.35200000182 584742.186999999, 119453 579719.625)"
vlieglijnen_kust_2008.146,5536.043,408.3999939,-389.5,24-6-2008,vlieland_ar8_17,,,"LINESTRING (124321.31300000101 582634.688000001, 119657.0390000008 579652.688000001)"
vlieglijnen_kust_2008.147,3557.806,356.29998779,-388.3999939,24-6-2008,vlieland_ar8_18,,,"LINESTRING (119966.1090000011 579784.125, 123117.7109999992 581435)"
vlieglijnen_kust_2008.148,6293.098,460.8999939,-310.20001221,21-5-2008,z_holland_01,,,"LINESTRING (98698.63300000131 491120.2190000005, 98262.0700000003 497398.1559999995)"
vlieglijnen_kust_2008.149,6413.45,305.6000061,-315.8999939,21-5-2008,z_holland_02,,,"LINESTRING (99184.95300000161 491155.813000001, 98488.57800000161 497531.3440000005)"
vlieglijnen_kust_2008.150,5256.602,294.5,-304.6000061,21-5-2008,z_holland_03,,,"LINESTRING (99416.77299999818 492288.5, 98891.7109999992 497518.813000001)"
vlieglijnen_kust_2008.151,4304.904,296.1000061,-305.5,21-5-2008,z_holland_04,,,"LINESTRING (99747.11699999869 493273.936999999, 99302.4299999997 497555.813000001)"
vlieglijnen_kust_2008.152,24708.391,231.19999695,-377.79998779,21-5-2008,z_holland_05,,,"LINESTRING (100157.36699999869 497356.75, 90560.3440000005 474588.311999999)"
vlieglijnen_kust_2008.153,30797.344,340.29998779,-303.5,21-5-2008,z_holland_06,,,"LINESTRING (102908.35200000182 502937.625, 90936.57800000161 474562.4059999995)"
vlieglijnen_kust_2008.154,27756.027,381.20001221,-406.20001221,21-5-2008,z_holland_07,,,"LINESTRING (78603.00800000131 455011.375, 92706.8440000005 478917)"
vlieglijnen_kust_2008.155,28111.471,237.8999939,-419.20001221,21-5-2008,z_holland_09,,,"LINESTRING (85066.79699999839 465585.9059999995, 66409.77299999818 444558.061999999)"
vlieglijnen_kust_2008.156,27868.254,308.70001221,-292,21-5-2008,z_holland_10,,,"LINESTRING (85220.7109999992 465306.9690000005, 66662.9059999995 444516.4059999995)"
vlieglijnen_kust_2008.157,27758.357,316.1000061,-298.20001221,21-5-2008,z_holland_11,,,"LINESTRING (85577.9690000005 465091.625, 67111.79699999839 444366.5940000005)"
vlieglijnen_kust_2008.158,10831.762,321.29998779,-295.8999939,21-5-2008,z_holland_8_1,,,"LINESTRING (92918.11699999869 478653.2190000005, 87448.06300000101 469304.125)"
vlieglijnen_kust_2008.159,24768.318,349.8999939,-335.3999939,21-5-2008,z_holland_8_2,,,"LINESTRING (92923.0390000008 478674.4059999995, 80417.95300000161 457294.688000001)"
vlieglijnen_kust_2008.160,10693.677,463.70001221,-446.5,18-6-2008,zeeland_01,,,"LINESTRING (65714.9690000005 434154.0940000005, 60046.9299999997 443222.061999999)"
