Waarde,Unieke paginaweergaves,Paginaweergaves,Totale tijd gespendeerd doordebezoekers(in sec),Aangeklikt in zoekresultaten,nb_hits_with_time_generation,min_time_generation,max_time_generation,Binnenkomsten,Acties na het hier in te voeren.,Totale tijd gespendeerd(in sec)na het hier in te voeren,Bounces,Vertrekken,Unieke bezoekers (dagelijks totaal),Unieke ingangen (dagelijks totaal),Unieke uitgangen (dagelijks totaal),Gem. tijd op pagina,Bounce Ratio,Exit ratio,Gem. generatie tijd,Metadata: url,Metadata: segment,
leidsche-rijn/index,1631,2140,117510,19,1610,0.001,42.647,916,4533,301875,297,508,1588,891,500,72,32%,31%,0.53,http://www.utrecht.nl/leidsche-rijn/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleidsche-rijn%2F,
werk-en-inkomen/extras-bij-laag-inkomen/index,1630,2205,231007,76,1695,0.001,17.558,482,1968,175756,221,451,1592,469,439,142,46%,28%,0.808,http://www.utrecht.nl/werk-en-inkomen/extras-bij-laag-inkomen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fextras-bij-laag-inkomen%2F,
sport-in-utrecht/zwembaden/aqua-activiteiten/index,1626,2191,239844,18,1333,0.001,21.615,312,1176,97388,163,584,1578,296,560,148,52%,36%,0.634,http://www.utrecht.nl/sport-in-utrecht/zwembaden/aqua-activiteiten/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Faqua-activiteiten%2F,
werk-en-inkomen/index,1625,2266,124343,45,1787,0.001,44.924,634,5794,431023,138,281,1578,612,270,77,22%,17%,0.567,http://www.utrecht.nl/werk-en-inkomen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2F,
parkeren/parkeren-bezoeker/wanneer-betalen/index,1609,1899,124263,16,1259,0.001,57.135,671,2747,214070,127,307,1575,651,287,77,19%,19%,0.663,http://www.utrecht.nl/parkeren/parkeren-bezoeker/wanneer-betalen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-bezoeker%2Fwanneer-betalen%2F,
startpagina/toerisme-en-vrije-tijd/index,1609,2264,72328,20,1744,0.001,112.936,94,359,23438,52,378,1570,83,363,45,55%,23%,0.571,http://www.utrecht.nl/startpagina/toerisme-en-vrije-tijd/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Ftoerisme-en-vrije-tijd%2F,
verkiezingen/provinciale-verkiezingen/index,1599,1930,88704,72,1502,0.001,11.886,137,400,38375,66,271,1562,134,264,55,48%,17%,0.481,http://www.utrecht.nl/verkiezingen/provinciale-verkiezingen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fverkiezingen%2Fprovinciale-verkiezingen%2F,
sport-in-utrecht/zwembaden/openingingstijden-utrechtse-zwembaden/index,1580,1762,112837,7,1001,0.001,27.788,81,335,33271,42,297,1555,78,287,71,52%,19%,0.548,http://www.utrecht.nl/sport-in-utrecht/zwembaden/openingingstijden-utrechtse-zwembaden/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fopeningingstijden-utrechtse-zwembaden%2F,
sport-in-utrecht/zwembaden/zwembad-den-hommel/vrij-zwemmen/index,1560,2099,92139,10,1384,0.001,6.714,188,1090,76692,34,160,1536,186,152,59,18%,10%,0.596,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-den-hommel/vrij-zwemmen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-den-hommel%2Fvrij-zwemmen%2F,
Formulieren/flow/stateAction.do?flow=process_add_grofvuil&state=overview,1529,1695,74291,,1324,0.008,186.537,11,44,2608,4,46,1524,11,45,49,36%,3%,2.006,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_grofvuil&state=overview,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_grofvuil%26state%3Doverview,
gevonden-voorwerpen/index,1524,1907,131165,72,1366,0.001,25.284,1096,4396,388595,231,354,1462,1046,345,86,21%,23%,0.684,http://www.utrecht.nl/gevonden-voorwerpen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgevonden-voorwerpen%2F,
utrecht-bereikbaar/index,1523,1889,152053,26,1373,0.001,21.428,1014,2817,214957,457,690,1486,989,678,100,45%,45%,0.541,http://www.utrecht.nl/utrecht-bereikbaar/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Futrecht-bereikbaar%2F,
Formulieren/flow/stateAction.do?flow=process_add_grofvuil&state=confirmation,1517,1566,154031,1,1210,0.001,169.139,36,103,9437,30,660,1503,33,655,102,83%,44%,0.855,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_grofvuil&state=confirmation,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_grofvuil%26state%3Dconfirmation,
Loket/prodcat/products/getProductDetailsAction.do?id=392,1505,1822,118435,19,1373,0.001,21.22,254,1811,155062,78,224,1451,222,221,79,31%,15%,1.087,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=392,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D392,
Loket/prodcat/products/getProductDetailsAction.do?id=461,1479,1667,230492,55,1040,0.001,11.848,316,1071,119035,222,898,1411,289,848,156,70%,61%,0.618,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=461,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D461,
startpagina/afval-en-milieu/index,1442,2009,68899,36,1518,0.001,8.686,336,2807,200713,20,106,1425,331,104,48,6%,7%,0.472,http://www.utrecht.nl/startpagina/afval-en-milieu/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Fafval-en-milieu%2F,
Page URL not defined,1415,1978,0,19,26,0.001,4.391,,,,,,1392,,,0,0%,0%,1.303,,,
e-mailproclaimer/index,1406,1720,194743,11,1284,0.001,77.297,1050,3148,249215,690,974,1380,1026,958,139,66%,69%,0.598,http://www.utrecht.nl/e-mailproclaimer/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fe-mailproclaimer%2F,
Loket/prodcat/products/getProductDetailsAction.do?name=Verhuizen,1405,1764,137093,92,1432,0.001,14.491,93,374,29982,39,215,1368,78,207,98,42%,15%,0.751,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Verhuizen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DVerhuizen,
Loket/prodcat/products/getProductDetailsAction.do?id=565,1402,1892,166150,22,1574,0.001,35.609,552,8837,466833,137,312,1366,531,305,119,25%,22%,0.475,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=565,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D565,
Loket/prodcat/products/getProductDetailsAction.do?id=853,1388,1768,106014,14,1451,0.001,13.539,913,4781,431127,139,243,1297,829,230,76,15%,18%,0.556,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=853,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D853,
bouwen-en-verbouwen/index,1387,1904,117369,37,1463,0.001,33.972,453,3122,283567,83,222,1342,444,218,85,18%,16%,0.53,http://www.utrecht.nl/bouwen-en-verbouwen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fbouwen-en-verbouwen%2F,
Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=uwgegevens_personen,1379,1832,140107,2,1562,0.003,24.46,33,267,22410,9,197,1369,32,197,102,27%,14%,0.804,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=uwgegevens_personen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_reactieformulier%26state%3Duwgegevens_personen,
werken-en-leren-bij-utrecht/?osadcampaign=vacatures,1371,1623,90101,6,1261,0.001,25.223,41,110,8438,13,391,1364,41,390,66,32%,29%,0.483,http://www.utrecht.nl/werken-en-leren-bij-utrecht/?osadcampaign=vacatures,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerken-en-leren-bij-utrecht%2F%3Fosadcampaign%3Dvacatures,
verkeersbeleid/milieuzone/personen-en-bestelautos/index,1362,1791,196726,13,1355,0.001,74.468,170,541,51371,93,609,1337,162,595,144,55%,45%,0.597,http://www.utrecht.nl/verkeersbeleid/milieuzone/personen-en-bestelautos/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fverkeersbeleid%2Fmilieuzone%2Fpersonen-en-bestelautos%2F,
werk-en-inkomen/contact/index,1343,1766,167107,28,1401,0.001,15.134,436,2380,184081,193,464,1301,419,438,124,44%,35%,0.5,http://www.utrecht.nl/werk-en-inkomen/contact/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fcontact%2F,
utrecht-fietst/fiets-weg/gemeentelijk-fietsendepot/index,1331,1800,236037,19,1191,0.001,94.844,651,2195,269600,308,715,1239,593,664,177,47%,54%,0.767,http://www.utrecht.nl/utrecht-fietst/fiets-weg/gemeentelijk-fietsendepot/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Futrecht-fietst%2Ffiets-weg%2Fgemeentelijk-fietsendepot%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=699,1329,1617,139329,47,1159,0.001,33.742,480,3104,228490,147,397,1252,442,371,105,31%,30%,0.977,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=699,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D699,
Loket/form/view/viewPageAction.do?process=cases&name=paymentResult&forward=/process/closeWindowAction.do&result=ok,1316,1436,134659,2,1181,0.001,7.221,15,27,3741,8,639,1309,13,637,102,53%,49%,0.259,https://pki.utrecht.nl/Loket/form/view/viewPageAction.do?process=cases&name=paymentResult&forward=/process/closeWindowAction.do&result=ok,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fform%2Fview%2FviewPageAction.do%3Fprocess%3Dcases%26name%3DpaymentResult%26forward%3D%2Fprocess%2FcloseWindowAction.do%26result%3Dok,
Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=Uw_gegevens,1303,1803,129911,1,1607,0.003,17.963,25,214,10180,9,73,1268,22,69,100,36%,6%,0.324,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=Uw_gegevens,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_vraagidee%26state%3DUw_gegevens,
parkeren/parkeren-bewoner/wachtlijst-parkeervergunning/index,1298,1667,73657,18,1255,0.001,17.121,381,1629,124904,67,150,1226,333,144,57,18%,12%,0.591,http://www.utrecht.nl/parkeren/parkeren-bewoner/wachtlijst-parkeervergunning/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-bewoner%2Fwachtlijst-parkeervergunning%2F,
parkeren/mijnparkeren/index,1292,1761,54761,29,1354,0.001,14.677,368,2564,184976,52,135,1268,356,132,42,14%,10%,0.555,http://www.utrecht.nl/parkeren/mijnparkeren/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fmijnparkeren%2F,
verkeersbeleid/milieuzone/waar-is-de-milieuzone/index,1283,1702,87542,21,1266,0.001,25.866,456,1837,134584,83,282,1238,437,266,68,18%,22%,0.62,http://www.utrecht.nl/verkeersbeleid/milieuzone/waar-is-de-milieuzone/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fverkeersbeleid%2Fmilieuzone%2Fwaar-is-de-milieuzone%2F,
sport-in-utrecht/zwembaden/zwembad-den-hommel/openingstijden-tarieven/tarieven-zwembad-den-hommel/index,1281,1393,140500,3,830,0.001,12.247,61,210,26400,40,404,1257,59,392,110,66%,32%,0.557,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-den-hommel/openingstijden-tarieven/tarieven-zwembad-den-hommel/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-den-hommel%2Fopeningstijden-tarieven%2Ftarieven-zwembad-den-hommel%2F,
sport-in-utrecht/zwembaden/zwemmen-0-5-jaar/index,1229,1486,230400,16,778,0.001,18.487,411,1228,117404,249,581,1161,382,537,187,61%,47%,0.736,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwemmen-0-5-jaar/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwemmen-0-5-jaar%2F,
parkeren/downloads/stratenlijsten-parkeerrayons/index,1217,1649,74555,21,1185,0.001,7.617,345,1855,107937,81,156,1187,332,153,61,23%,13%,0.583,http://www.utrecht.nl/parkeren/downloads/stratenlijsten-parkeerrayons/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fdownloads%2Fstratenlijsten-parkeerrayons%2F,
Loket/prodcat/products/getProductDetailsAction.do?name=Gemeentebelasting,1210,1768,76124,686,1535,0.002,33.94,66,225,19091,33,190,1192,56,185,63,50%,16%,0.367,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Gemeentebelasting,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DGemeentebelasting,
werk-en-inkomen/hoogte-bijstandsuitkering-en-kostendelersnorm/index,1209,1564,186237,30,1260,0.001,7.577,723,1598,146009,497,821,1176,699,796,154,69%,68%,0.578,http://www.utrecht.nl/werk-en-inkomen/hoogte-bijstandsuitkering-en-kostendelersnorm/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fhoogte-bijstandsuitkering-en-kostendelersnorm%2F,
werk-en-inkomen/veelgestelde-vragen/index,1203,1580,141595,99,1197,0.001,25.101,516,1908,173525,240,470,1171,493,456,118,47%,39%,1.002,http://www.utrecht.nl/werk-en-inkomen/veelgestelde-vragen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fveelgestelde-vragen%2F,
wonen-in-veemarkt/nieuws/index,1203,1762,196250,17,1156,0.001,18.91,542,2574,235762,218,461,1154,519,447,163,40%,38%,0.865,http://www.utrecht.nl/wonen-in-veemarkt/nieuws/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwonen-in-veemarkt%2Fnieuws%2F,
sport-in-utrecht/zwembaden/zwembad-de-kwakel/vrij-zwemmen/index,1182,1501,77765,9,963,0.001,30.638,113,534,33034,26,141,1156,109,135,66,23%,12%,0.672,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-de-kwakel/vrij-zwemmen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-de-kwakel%2Fvrij-zwemmen%2F,
vastgoedaanbod/panden-in-uitgifte/index,1182,1835,138452,15,1183,0.001,19.877,647,2203,155340,334,645,1130,621,624,117,52%,55%,0.602,http://www.utrecht.nl/vastgoedaanbod/panden-in-uitgifte/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fvastgoedaanbod%2Fpanden-in-uitgifte%2F,
Loket/prodcat/process/checkPreconditionsAction.do?name=Bewoners vergunning&processName=Aanvraag met DigiD,1173,1309,99216,11,878,0.004,9.632,33,219,11822,10,128,1125,32,127,85,30%,11%,0.401,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Bewoners+vergunning&processName=Aanvraag+met+DigiD,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DBewoners+vergunning%26processName%3DAanvraag+met+DigiD,
parkeren/contact/index,1166,1397,148170,29,943,0.001,15.17,441,1664,141964,212,446,1130,420,427,127,48%,38%,0.649,http://www.utrecht.nl/parkeren/contact/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fcontact%2F,
stadskaart/index,1133,1404,66230,89,1048,0.001,10.276,453,1369,80564,107,256,1117,442,250,58,24%,23%,0.505,http://www.utrecht.nl/stadskaart/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstadskaart%2F,
digitaal-loket-onderhoud/index,1131,1424,110787,5,1036,0.001,10.003,49,204,8682,27,231,1106,42,220,98,55%,20%,0.436,http://www.utrecht.nl/digitaal-loket-onderhoud/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fdigitaal-loket-onderhoud%2F,
verkeersbeleid/milieuzone/veelgestelde-vragen/index,1127,1522,166234,32,1055,0.001,10.669,646,2197,205157,266,562,1095,627,538,148,41%,50%,0.685,http://www.utrecht.nl/verkeersbeleid/milieuzone/veelgestelde-vragen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fverkeersbeleid%2Fmilieuzone%2Fveelgestelde-vragen%2F,
sport-in-utrecht/zwembaden/zwembad-de-kwakel/openingstijden-tarieven/tarieven-zwembad-de-kwakel/index,1119,1211,142593,5,746,0.001,9.814,76,142,12761,51,445,1091,71,434,127,67%,40%,0.623,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-de-kwakel/openingstijden-tarieven/tarieven-zwembad-de-kwakel/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-de-kwakel%2Fopeningstijden-tarieven%2Ftarieven-zwembad-de-kwakel%2F,
stadsparken-en-landgoederen/griftpark/index,1117,1388,143816,4,885,0.001,14.972,794,2873,269255,337,514,1076,756,496,129,42%,46%,0.638,http://www.utrecht.nl/stadsparken-en-landgoederen/griftpark/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstadsparken-en-landgoederen%2Fgriftpark%2F,
Formulieren/process/add/report/initAction.do,1116,1530,98100,1,1105,0.011,84.546,36,290,21634,5,69,1070,32,67,88,14%,6%,2.738,https://pki.utrecht.nl/Formulieren/process/add/report/initAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fprocess%2Fadd%2Freport%2FinitAction.do,
wijk-vleuten-de-meern/wijkservicecentrum/loket-burgerzaken/index,1112,1693,124957,72,1091,0.001,41.852,369,2802,199667,60,244,1084,358,237,112,16%,22%,0.574,http://www.utrecht.nl/wijk-vleuten-de-meern/wijkservicecentrum/loket-burgerzaken/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwijk-vleuten-de-meern%2Fwijkservicecentrum%2Floket-burgerzaken%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=1059,1109,1338,104992,10,976,0.002,39.027,361,2217,160536,83,219,1079,336,209,95,23%,20%,0.642,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=1059,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D1059,
Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=bijlagen,1106,1616,134458,1,1452,0.003,5.517,11,69,4387,4,35,1087,11,34,122,36%,3%,0.32,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=bijlagen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_vraagidee%26state%3Dbijlagen,
college-van-b-en-w/index,1100,1384,73867,44,1015,0.001,9.729,221,1079,73273,63,215,1064,220,206,67,29%,20%,0.475,http://www.utrecht.nl/college-van-b-en-w/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcollege-van-b-en-w%2F,
startpagina/raad-college-organisatie/index,1100,1569,29540,10,1192,0.001,10.962,83,630,31717,16,62,1038,81,59,27,19%,6%,0.455,http://www.utrecht.nl/startpagina/raad-college-organisatie/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Fraad-college-organisatie%2F,
subsidiehulp/index,1097,1611,85626,77,1269,0.001,16.252,421,3148,201819,72,202,1064,406,199,78,17%,18%,0.532,http://www.utrecht.nl/subsidiehulp/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsubsidiehulp%2F,
utrecht-fietst/fiets-weg/index,1081,1352,81872,24,942,0.001,180.185,628,2798,290686,92,170,1025,591,156,76,15%,16%,1.001,http://www.utrecht.nl/utrecht-fietst/fiets-weg/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Futrecht-fietst%2Ffiets-weg%2F,
Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=overzicht,1059,1261,44672,,1152,0.002,180.562,11,40,3626,2,18,1048,11,17,42,18%,2%,2.299,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=overzicht,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_vraagidee%26state%3Doverzicht,
Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=bevestiging,1050,1160,125638,1,1056,0.001,15.962,13,36,3752,10,477,1039,13,475,120,77%,45%,0.369,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=bevestiging,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_vraagidee%26state%3Dbevestiging,
parkeren/invoering-betaald-parkeren/index,1043,1571,62868,35,1156,0.001,12.322,647,4121,278688,27,94,1010,625,86,60,4%,9%,0.438,http://www.utrecht.nl/parkeren/invoering-betaald-parkeren/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Finvoering-betaald-parkeren%2F,
Loket/prodcat/products/getProductDetailsAction.do?name=Individuele inkomenstoeslag,1038,1421,172925,190,1120,0.001,35.149,594,4742,417715,218,371,997,560,357,167,37%,36%,0.558,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Individuele+inkomenstoeslag,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DIndividuele+inkomenstoeslag,
gemeenteraad/raadsinformatieavond/programma/index,1031,1351,116909,10,1051,0.001,30.645,464,1432,134233,212,390,975,445,373,113,46%,38%,0.564,http://www.utrecht.nl/gemeenteraad/raadsinformatieavond/programma/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgemeenteraad%2Fraadsinformatieavond%2Fprogramma%2F,
Loket/prodcat/process/checkPreconditionsAction.do?name=Verklaring Omtrent Gedrag Natuurlijke Personen&processName=Aanvraag met DigiD,1030,1198,108097,9,929,0.002,9.032,46,218,20783,22,195,991,41,186,105,48%,19%,0.358,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Verklaring+Omtrent+Gedrag+Natuurlijke+Personen&processName=Aanvraag+met+DigiD,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DVerklaring+Omtrent+Gedrag+Natuurlijke+Personen%26processName%3DAanvraag+met+DigiD,
Formulieren/process/add/report/reportInfoAction.do,1026,1843,243200,2,1486,0.003,17.508,14,217,16678,3,69,985,14,69,237,21%,7%,1.533,https://pki.utrecht.nl/Formulieren/process/add/report/reportInfoAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fprocess%2Fadd%2Freport%2FreportInfoAction.do,
startpagina/gemeenteraad/index,1022,1393,54923,15,1054,0.001,80.196,71,449,24772,12,122,952,68,115,54,17%,12%,0.556,http://www.utrecht.nl/startpagina/gemeenteraad/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Fgemeenteraad%2F,
Loket/prodcat/products/getProductDetailsAction.do?name=Afval inleveren (afvalscheidingsstations),997,1076,142849,46,721,0.046,19.053,257,639,74355,204,618,955,230,586,143,79%,62%,0.455,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Afval+inleveren+%28afvalscheidingsstations%29,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DAfval+inleveren+%28afvalscheidingsstations%29,
Loket/decisiontree/renderAction.do?tree_type=formuliertoegang&tree_name=BijzondereBijstand,988,8681,191822,7,7640,0.001,21.001,56,1250,55141,17,147,963,56,145,194,30%,15%,0.343,https://pki.utrecht.nl/Loket/decisiontree/renderAction.do?tree_type=formuliertoegang&tree_name=BijzondereBijstand,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fdecisiontree%2FrenderAction.do%3Ftree_type%3Dformuliertoegang%26tree_name%3DBijzondereBijstand,
werk-en-inkomen/hulp-bij-schulden/index,986,1459,95424,17,1154,0.001,16.522,379,2526,176872,91,208,955,369,199,97,24%,21%,0.551,http://www.utrecht.nl/werk-en-inkomen/hulp-bij-schulden/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fhulp-bij-schulden%2F,
college-van-b-en-w/burgemeester-en-wethouders/index,985,1306,108525,34,968,0.001,67.685,222,871,66656,101,352,946,218,342,110,45%,36%,0.61,http://www.utrecht.nl/college-van-b-en-w/burgemeester-en-wethouders/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcollege-van-b-en-w%2Fburgemeester-en-wethouders%2F,
Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=uwgegevens_personen,978,1364,27963,,1001,0.001,13.768,6,40,743,1,25,963,6,25,29,17%,3%,0.941,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=uwgegevens_personen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_tijdelijkekentekenregistratie%26state%3Duwgegevens_personen,
sport-in-utrecht/zwembaden/reguliere-zwemles-kinderen/index,978,1319,147232,9,750,0.001,19.399,213,893,92697,80,304,937,200,286,151,38%,31%,0.701,http://www.utrecht.nl/sport-in-utrecht/zwembaden/reguliere-zwemles-kinderen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Freguliere-zwemles-kinderen%2F,
gemeenteraad/wie-zit-er-in-de-raad/index,962,2515,120460,34,1742,0.001,32.109,179,1323,96081,47,268,902,164,257,125,26%,28%,0.46,http://www.utrecht.nl/gemeenteraad/wie-zit-er-in-de-raad/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgemeenteraad%2Fwie-zit-er-in-de-raad%2F,
fietsbrug-amsterdam-rijnkanaal/index,957,1266,111167,18,905,0.001,114.252,618,2340,192969,207,350,935,600,345,116,33%,37%,0.758,http://www.utrecht.nl/fietsbrug-amsterdam-rijnkanaal/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Ffietsbrug-amsterdam-rijnkanaal%2F,
