OBJECTID,PUIC,NAAM,OMSCHRIJVING,KM_KMLINT_VAN_T,KM_KMLINT_TOT_T,GELDIG_VANAF,PUBLICATIEDATUM,KM_KMLINT_VAN,KM_KMLINT_TOT
126,8cb31195-3aca-4c93-8fab-fa2ecf6fc459,Sloe-Vck,Sloehaven Emplacement - Van Citterskanaal ,"114,204","122,020",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,114.204,122.02
127,e3b4c0fc-2e56-431a-b9f2-e1013a6e2a9c,Tla-Tlzhw,Tiel Aansl. Industrieterrein  - Tiel Zuiderhavenweg ,"200,000","201,260",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,200,201.26
128,89379d86-3eb4-4d5d-b667-5b3911cf99a8,Ostlrw-Apw,Oostelijke Randweg - Apolloweg ,"775,000","775,716",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,775,775.716
129,11a77ba2-82d5-41e8-84de-e4d191058cc4,Awhv-Awhvh,Amsterdam Westhaven (gebied) - Amsterdam Westhaven Hornhaven ,"350,000","350,700",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,350,350.7
130,6dc918e6-994c-499b-a0bd-72c3ee2adf91,Bdla-Bdlz,Budel Aansl. - Budel Zinkfabriek ,"100,000","103,700",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,100,103.7
131,52a4428c-28b6-44da-9149-658458608bb2,Mdw-Cih,Middenweg - Centrale Insteekhaven ,"500,000","500,570",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,500,500.57
132,ba3b33e4-057a-4fb1-b28f-fe3091ce9b70,Rsd-Bd,Roosendaal - Breda ,"1,500","23,486",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1.5,23.486
133,a5922627-a041-4b97-aa2c-726c61593eef,Gdm-Ddr,Geldermalsen - Dordrecht ,"46,100","93,600",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,46.1,93.6
134,25344f41-5043-48be-ae3d-0d12b152c50f,Mp-Gn,Meppel - Groningen ,"0,600","74,000",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0.6,74
135,c91ce548-66f4-4d66-839e-8acbd8b148a4,Sludow-Tnzdn2,SluiskilRacc. DOW CHEMICAL - Terneuzen Nieuw Neuzenweg 2 ,"300,000","301,360",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,300,301.36
136,9b240991-37cc-4eee-bd38-26ddf220afbd,Fvs-Mt,Visé (B) - Maastricht ,"14,747","28,500",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,14.747,28.5
137,0d888149-86ab-4f26-b565-3bfb066b75b6,Rol-Rzbs,Rondolaan - Rotterdam Zaltbommelstraat ,"104,200","105,015",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,104.2,105.015
138,ae03cb9b-14a5-4faa-8b1b-8f2e29ae4ac6,Hrna-Wha,Haren Aansl. - Waterhuizen Aansl. ,"0,200","2,300",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0.2,2.3
139,f76c1171-b64a-48c3-9f71-a616666fd1cc,Wp-Llso,Weesp - Lelystad Opstel. ,"0,022","46,700",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0.022,46.7
140,48de6dce-828b-47b8-ae42-ee1f763255b1,Std-Bon,Sittard - Born ,"0,100","6,760",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0.1,6.76
141,ffecf1cd-f152-4e64-81a7-57cc6d8e1399,Brvalw-Brvalo,Betuweroute Valburg West - Betuweroute Valburg Oost ,"0,000","3,746",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0,3.746
142,a27f3c4c-63c3-41f5-853f-eb25ed39a555,Eupwz-Spjw,Europaweg Zuid - Spanjeweg ,"159,980","161,000",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,159.98,161
143,474dd4b2-1fbe-4efc-aa91-532ac4cbae5d,Ostlrw-Vlw,Oostelijke Randweg - Vlasweg ,"800,000","800,700",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,800,800.7
144,bf1ca6cf-a60e-4222-997d-3d66c996da82,Ostlrw-Ihrv,Oostelijke Randweg - Insteekhaven Roode Vaart ,"925,000","925,455",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,925,925.455
145,eb249b2b-a142-44ee-981e-bb5fc8da6db6,Ahg-Ahi,Arnhem Goederenstation - Arnhem Industrie ,"100,000","102,200",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,100,102.2
146,bd75ec82-79b3-46b0-bc13-95142567cdbe,Hmta-Hrp,Hemtunnel Aansl. - Amsterdam Houtrakpolder ,"104,500","105,700",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,104.5,105.7
147,9d48e613-4837-4191-bed3-76f27b068aef,Zd-Ekz,Zaandam - Enkhuizen ,"1,100","50,000",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1.1,50
148,334faada-50be-4832-956e-2976f622b5d0,Hwd-Hn,Heerhugowaard - Hoorn ,"7,400","22,600",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,7.4,22.6
149,4cdbd233-f352-407b-b34e-c98421fdb418,Brmet-Mbtwaz,Betuweroute Meteren - Meteren Betuweroute Aansl. Zuid ,"346,091","347,285",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,346.091,347.285
150,6c67d403-4cb8-446b-9fa4-be611390aee6,Bot-Wplw,"Rotterdam, Botlek - Welplaatweg ","200,000","203,270",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,200,203.27
151,903a6bf4-ac81-4d62-920c-4d5d9753d467,Aslhw-Nzlw,Australiëhavenweg - Nieuw-Zeelandweg ,"200,000","200,400",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,200,200.4
152,4d19c535-3e1d-48cb-8c8b-7485e2e1531f,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,"8,505","37,000",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,8.505,37
153,72aa154b-c017-47ce-8998-a81e6f11a9fe,Emnra-Emnr1,Emmen Raccordement Aansluiting - Emmen Raccordement 1 ,"0,100","2,320",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0.1,2.32
154,dbfc4a43-a34a-4a27-93d7-b5048058964a,Bd-Ehv,Breda - Eindhoven ,"0,100","58,900",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0.1,58.9
155,13550335-1404-4b6a-a49c-918ce31f6614,Zwd-Zwdi,Zwijndrecht - Zwijndrecht Groote Lindt ,"99,800","104,564",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,99.8,104.564
156,19009294-ace7-490e-a40a-f65c728c53b3,Bv-Bvhg,Beverwijk - Beverwijk Hoogovens ,"0,100","0,600",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0.1,0.6
157,37d3baa4-3abd-4e16-bc90-a48202dfe543,Hszha-Zha,HSL - Zevenbergschen Hoek Aansl. - Zevenbergschen Hoek Aansl. ,"300,000","302,071",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,300,302.071
158,4334a484-00f3-479f-bbfc-d2e4b360057d,Gb-Nm,Groesbeek - Nijmegen ,"0,000","13,000",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0,13
159,55f6be16-29f4-47f8-b99e-bf8e1b8de380,Erpw-Erpmw,Europoort West - Stamlijn Marktweg ,"200,100","202,565",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,200.1,202.565
160,b612fc29-b8fa-4f73-824a-328b48d1c4ef,Eupwo-Qh,Europaweg Oost - Quarleshaven ,"300,000","303,300",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,300,303.3
161,44702ad1-159f-49cf-9d44-fb096b229eaa,Lwd-Sloe,Lewedorp - Sloehaven Emplacement ,"700,000","703,063",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,700,703.063
162,a5f82243-6fd7-4f08-bc18-9a71a014acce,Hmta-Law,Hemtunnel Aansl. - Latexweg ,"4,500","9,900",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,4.5,9.9
163,6d019acc-9aa1-482d-b274-a410ac2f0fd4,Erp-Kon,"Rotterdam, Emplacement Europoort - Kolenoverslag ","200,000","202,045",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,200,202.045
164,06944c6e-2f3d-4a53-b778-edcc75def681,Rsd-Rsdmn,Roosendaal - Roosendaal Majoppeveld Noord ,"100,500","100,878",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,100.5,100.878
165,52a9c86a-e694-426f-9753-f351d0108f28,Brgnd-Brech,Betuweroute Giessendam - Betuweroute Echteld ,"21,000","55,484",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,21,55.484
166,854edf95-0ed2-411b-8b9f-31191dda953e,Emnr1-Emnr2,Emmen Raccordement 1 - Emmen Raccordement 2 ,"100,000","100,525",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,100,100.525
167,5b67dce0-8511-4393-b64a-f9e95bec1c81,Vlw-Cihn,Vlasweg - Centrale Insteekhaven Noord ,"950,000","950,727",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,950,950.727
168,417fe92b-1240-4010-8d79-02de47e2488a,Ddrz-Ddrkw,Dordrecht Zeehaventerrein - Dordrecht Kreckweg ,"500,000","500,560",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,500,500.56
169,be753de8-f6e7-450a-bd86-68b608f77522,Lindk-Zwdmww,Lindtsedijk - Zwijndrecht Merwedeweg ,"200,100","200,844",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,200.1,200.844
170,6fcb7c84-c2cd-4097-8a49-80d10eacd2ca,Ut-Amf,Utrecht - Amersfoort ,"0,700","20,200",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0.7,20.2
171,22c74c3d-e5d3-4ec1-88ee-499cd4113fd5,Std-Hz,Sittard - Herzogenrath (D) ,"0,800","28,920",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0.8,28.92
172,83132cd1-ce93-4b2b-9dd2-64952f1f01eb,Ps-Ps2phv,"Rotterdam, Emplacement Pernis - Pernis 2e Petroleumhaven ","400,000","401,500",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,400,401.5
173,71e67b5f-6292-445c-91c2-2223d6fb8b10,Bon-Boniw,Born - Born Industrieweg ,"110,000","110,800",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,110,110.8
174,4d9d7759-bf8d-49f7-b778-a91a0b01227c,Eem-Bkkd,Eemshaven - Borkumkade ,"200,000","203,016",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,200,203.016
175,9ed7b448-8b1c-4f8c-8630-11836dcb4d01,Whz-Rdhw,"Rotterdam, Emplacement Waalhaven Zuid - Rotterdam Den Hamweg ","400,000","401,555",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,400,401.555
176,5c283456-35b1-44d4-882c-135296bbd28a,Nscg-Wr,Nieuweschans Grens - Weener (D) ,"7,143","17,491",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,7.143,17.491
177,17316e37-3f47-4b6a-a1ff-c642371e1d35,Axa-Sluo1,Axel Aansl. - Sluiskil Oost 1 ,"200,000","202,000",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,200,202
178,e4ac8890-aeff-474d-a9b3-e8b2d4bf2c9a,Dr-Apd,Dieren - Apeldoorn ,"0,600","21,300",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0.6,21.3
179,7291a9c0-8ff3-487b-b6fb-50ce427ba8ef,Tnzz-Tnzow,Terneuzen Zuidzijde (Racc.) - Terneuzen Osloweg ,"300,120","300,500",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,300.12,300.5
180,07eb909a-dc01-4a19-af10-576b7089480e,Wgm-Gpda,Watergraafsmeer - Gaasperdammerweg Aansl. ,"100,600","100,900",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,100.6,100.9
181,41950f74-d076-4cd3-aa15-07e2fabda7e1,Apn-Apnir,Alphen a/d Rijn - Alphen a/d Rijn Industrieterrein Rijnhaven ,"300,000","301,208",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,300,301.208
182,6711c1ca-d584-4886-a44b-6d39a46439ec,Lg-Spv,Landgraaf - Simpelveld ,"0,300","12,100",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0.3,12.1
183,a35a001a-f6f4-420d-8f91-1b08b152bd72,Rhn-Har,Rhenen - De Haar Aansl. ,"23,700","37,443",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,23.7,37.443
184,fefbcc4a-8cb6-4e34-9715-3505c9d48ca9,Blo-Blz,Blauwkapel Oost - Blauwkapel Zuid ,"100,100","100,300",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,100.1,100.3
185,93043647-a23e-491d-a293-336d7d789455,Sludow-Tnzdn3,SluiskilRacc. DOW CHEMICAL - Terneuzen Nieuw Neuzenweg 3 ,"400,000","401,600",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,400,401.6
186,a16c1f72-3ff8-4142-9ede-23eefed38744,Gent-Fsz,Gent (B) - Zelzate (B) ,"25,101","26,400",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,25.101,26.4
187,42a2826a-c432-42c8-9784-44d3c4911c34,Hlg-Hlgh,Harlingen - Harlingen Haven ,"100,000","100,550",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,100,100.55
188,5836c950-7f90-490e-88d8-a08d178a451a,G-Esg,Gronau (D) - Enschede Grens ,"54,578","58,971",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,54.578,58.971
189,b75834b3-0c39-44d3-96dd-94b2bf6c09e1,Hvs-Utm,Hilversum - Utrecht Maliebaan ,"0,500","16,670",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0.5,16.67
190,faf881e3-9667-4d24-8b4d-71afa669ac0c,Dld-Brn,Den Dolder - Baarn ,"1,500","9,100",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1.5,9.1
191,b61ceaf8-adf1-4666-a4e8-71d9e214dbf0,Mwg-Kilkd,Mijlweg - Kilkade ,"400,000","400,700",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,400,400.7
192,749ad1b8-e1a4-4ec3-a10b-555107043405,A-Hz,Aachen (D) - Herzogenrath (D) ,"14,090","18,812",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,14.09,18.812
193,13d6227b-fb8f-4f40-b98d-143976564cd8,Lsd-Amf,Leusden - Amersfoort ,"44,100","50,900",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,44.1,50.9
194,ee4a9179-7a90-4fd1-b036-d95c76d11745,Ahg-IJbw,Arnhem Goederenstation - IJsselbrug Westervoort Westzijde ,"201,300","201,500",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,201.3,201.5
195,9020269b-fe5e-48ff-8b0f-2488f4d5a7f4,Ama-Htba,Amersfoort Aansluiting - Hattemerbroek Aansluiting ,"23,500","84,400",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,23.5,84.4
196,d949638b-84fc-484c-9492-d1efea5e2897,Axa-Axi,Axel Aansl. - Axel Industrie ,"156,435","160,742",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,156.435,160.742
197,244f3440-f96e-453b-9272-503678499f08,Mvta-Mvtn,Maasvlakte Aansl. - Maasvlakte Noordwesthoek ,"0,000","5,146",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0,5.146
198,00c8439a-cda4-4a34-843e-303d38f71d51,Brvalo-Rsa,Betuweroute Valburg Oost - Ressen Aansl. ,"289,900","290,515",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,289.9,290.515
199,4e6c1113-d9fc-4ff6-9c74-f051f374b3ae,O-Oelz,Oss - Oss Racc. Elzenburg ,"100,100","102,450",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,100.1,102.45
200,5efb3116-9ce6-4f15-a452-798891c3e9ee,Brmet-Mbtwan,Betuweroute Meteren - Meteren Betuweroute Aansl. Noord ,"146,232","147,633",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,146.232,147.633
201,358abcac-61e4-49cf-ae20-adc1786ef6c5,Erp-Erpsw,"Rotterdam, Emplacement Europoort - Europoort Scheldeweg ","110,100","110,900",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,110.1,110.9
202,bedc8114-4d82-4114-ab8d-0011e18f7ab4,Lnp-Bdl,Neerpelt (B) - Budel ,"22,480","32,900",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,22.48,32.9
203,10ddbf4f-21c6-4fba-aa32-eb876af4bb09,Kn-Vlgr,Kaldenkirchen (D) - Venlo Grens ,"16,804","19,330",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,16.804,19.33
204,389974f6-c8eb-4c1c-a425-8f452af15057,Eem-Eemwt,Eemshaven - Eemshaven West ,"100,000","100,700",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,100,100.7
205,fa0eae6c-c1a4-4b07-b2b1-1d6289cad04e,Hzl-Otw,Hooge Zwaluwe - Oosterhout Weststad ,"0,000","7,100",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0,7.1
206,65227be0-493e-43c4-98a9-c22b821554dc,Zha-Hszha,Zevenbergschen Hoek Aansl. - HSL - Zevenbergschen Hoek Aansl. ,"300,000","302,509",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,300,302.509
207,656e5ae4-c3a2-4a16-b758-92504604bf27,Nzlw-Amkhw,Nieuw-Zeelandweg - Amerikahavenweg ,"175,000","175,600",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,175,175.6
208,b3b9d566-6581-4a5c-833b-fc2aa0d1f5d2,Ddrz-Ddrjh,Dordrecht Zeehaventerrein - Dordrecht Julianahaven ,"700,000","700,400",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,700,700.4
209,184f1489-ae42-4308-b870-bec23d736b98,Tnzz-Tnzew,Terneuzen Zuidzijde (Racc.) - Terneuzen Engelandweg ,"500,100","501,205",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,500.1,501.205
210,07fe195b-eb0c-46c7-ac02-651a8ccb5481,Andd-Bdgr,Antwerpen Noorderdokken - Breda Grens  ,"48,800","83,781",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,48.8,83.781
211,92b52a6a-f9ff-4a8e-8fe8-f3c09cab59e9,Tbio-Tbih,Tilburg de Loven - Tilburg Industriehaven ,"200,000","200,200",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,200,200.2
212,08a933c2-bed3-4615-8b15-77be8509c672,Sludow-Tnzdzs,SluiskilRacc. DOW CHEMICAL - Terneuzen Zandstraat ,"600,000","600,238",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,600,600.238
213,78910826-88c3-4593-a258-2260ecfa40f9,Oelz-Owk,Oss Racc. Elzenburg - Oss Waalkade ,"200,000","201,400",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,200,201.4
214,37c07dd2-8329-4a3b-8943-d2bd56808b73,Sloe-Blvh,Sloehaven Emplacement - Bijleveldhaven ,"800,000","800,650",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,800,800.65
215,9a3d0e5b-6f0e-4ce4-85f1-afde88f74499,Rtd-Hfd,Rotterdam Centraal - Hoofddorp ,"101,258","147,609",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,101.258,147.609
216,06b734c7-44cd-4d14-bda9-b95b8ae37452,Zdlrw-Zhw,Zuidelijke Randweg - Zeehavenweg ,"725,000","725,650",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,725,725.65
217,adce21cd-f7e1-477e-9f2d-ebf93dcf4f02,Hgl-Hglz,Hengelo - Hengelo Zoutindustrie ,"0,080","2,360",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0.08,2.36
218,27f07b3a-a65f-42dc-98d9-26d8e72ff6c3,Vlgr-Vl,Venlo Grens - Venlo ,"0,000","2,000",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0,2
219,e93065bc-fe47-49ea-8512-fb52bc823a21,Slua-Sludow,Sluiskil Aansl. - Sluiskil Racc. DOW CHEMICAL ,"100,000","110,680",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,100,110.68
220,5f2da068-77e9-4fac-879f-7186335a0482,Mvtah-Mvtahw,Maasvlakte Prinses Amaliahaven - Maasvlakte Prinses Amaliahaven west ,"500,000","502,700",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,500,502.7
221,78921d01-0cb5-4879-8361-625847b0d69e,Hsbda-Bda,HSL Breda Aansluiting - Breda Aansluiting ,"399,965","402,457",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,399.965,402.457
222,f69a2c02-95b9-4e42-bf23-4b6cf653a8ed,Skn-Zb,Stadskanaal Hoofdstation - Zuidbroek ,"0,000","21,600",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0,21.6
223,366434fd-aa0d-4265-8cc9-2ef0e76c69cb,Bon-Bonoh,Born-Born Overlaadhaven ,"100,100","101,720",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,100.1,101.72
224,e29272cf-4774-418f-9647-64bfd4cad72f,Rsd-Rsdbw1,Roosendaal - Roosendaal Borchwerf 1 ,"100,200","101,500",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,100.2,101.5
225,d3f755e7-b21e-4087-a25c-46fe95f2dff3,Kfhz-Kfhn,Kijfhoek Zuid - Kijfhoek Noord ,"33,200","37,400",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,33.2,37.4
226,61e0c2c5-3c7b-48f0-a484-30db1a26420d,Whzan-Whz,"Rotterdam, Waalhaven Aansl. Noord - Rotterdam, Emplacement Waalhaven Zuid ","304,300","307,300",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,304.3,307.3
227,16d5f2b1-4582-475c-a6c4-4d0525af3a69,Bvhca-Bvhc,Beverwijk Hoogovens Centraal Aansl. - Beverwijk Hoogovens Centraal ,"200,600","202,259",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,200.6,202.259
228,b50a26ee-1c08-44ed-8c79-e98bcbe11e27,Mdk-Mdnw,Moerdijk (Racc.) - Industrie en Havenschap Moerdijk Middenweg ,"300,000","302,750",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,300,302.75
229,7e58e707-ce47-4f50-bded-97463ee3b269,Ldvn-Ldvwpl,Leidschenveen - Leidschendam werkplaats ,"16,600","18,456",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,16.6,18.456
230,9c10d17d-39aa-41e8-a057-8945cdfa63b3,Erp-Erpch,"Rotterdam, Emplacement Europoort - EUROCHEMIE ","100,000","101,470",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,100,101.47
231,c5060c63-dba9-4642-8776-04df38a84339,Sloe-Qh,Sloehaven Emplacement - Quarleshaven ,"200,100","206,945",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,200.1,206.945
232,0979725d-fe11-469f-b81b-b5a268c8b4b0,Vlw-Cih,Vlasweg - Centrale Insteekhaven ,"825,000","825,480",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,825,825.48
233,33c08cbf-41ac-437d-8d66-b37de78f9ddc,Mbga-Kv,Muiderberg Aansl. - Keverdijk ,"200,007","202,248",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,200.007,202.248
234,3d217c56-1ed2-4ab4-920a-8ac92a14926b,Sludow-Tnzdn1,SluiskilRacc. DOW CHEMICAL - Terneuzen Nieuw Neuzenweg 1 ,"200,000","201,100",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,200,201.1
235,cc07f4fe-8662-4c53-9eda-8bc4013ae3ca,Frkw-Qh,Frankrijkweg - Quarleshaven ,"310,000","310,850",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,310,310.85
236,f0cdc365-fe5b-4730-b342-8b61871f5117,Tb-Vga,Tilburg - Vught Aansluiting ,"1,800","19,000",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1.8,19
237,fe6a2231-a7c8-4bf5-acec-36f4f130f8d3,Bnn-Ed,Barneveld Noord - Ede=Wageningen ,"11,900","29,300",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,11.9,29.3
238,81e473bd-5642-4f7b-ae26-efb3fb936bf7,Fsz-Tnz,Zelzate (B) - Terneuzen ,"14,372","30,905",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,14.372,30.905
239,4fbae2a9-f40b-42f2-b4a7-b8a6aaf1000a,Tla-Tlpow,Tiel Aansl. Industrieterrein. - Tiel Panovenweg ,"100,200","102,235",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,100.2,102.235
240,dcac497d-030e-40cd-8b18-8ff7c0c3ec66,Rsd-Rsdbw2,Roosendaal - Roosendaal Borchwerf 2 ,"199,949","202,400",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,199.949,202.4
241,9b2d4121-e350-4847-bfd1-fb4a7167baf0,Whz-Prmat,"Rotterdam, Emplacement Waalhaven Zuid - Prinses Margriet Terminal ","300,000","300,600",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,300,300.6
242,3d56a374-4470-4bc5-acc7-42d835a919ea,Tnzz-Tnznw,Terneuzen Zuidzijde (Racc.) - Terneuzen Noorwegenweg ,"200,200","201,200",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,200.2,201.2
243,83c91b51-b511-4646-a908-7819abc0a31b,Rsd-Vs,Roosendaal - Vlissingen ,"0,700","74,350",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0.7,74.35
244,2cdacbeb-ac95-4c0a-bab5-51ff2ea46d68,Otw-Otwrw,Oosterhout Weststad - Oosterhout Weststad Rederijweg ,"100,069","101,565",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,100.069,101.565
245,a865602f-d2a4-4418-952e-7da8360cadaa,Wijb-Ddri,Wantij (brug o/h - bij Dordrecht) - Dordrecht Aansl. Industrieterrein De Staart ,"0,400","3,600",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0.4,3.6
246,4a323866-2a38-467a-9268-85b95194f73d,Amlbp-Amlbps,Almelo Racc. Bedrijvenpark N.W. Twente Singel ,"100,000","100,500",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,100,100.5
247,5344a003-c19d-4d7f-ae55-0e928c6504db,Row-Nzkw,Ruijgoordweg - Noordzeekanaalweg ,"300,000","303,304",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,300,303.304
248,e239bb1f-7172-4178-8417-892bee8854c5,Ht-Nm,s-Hertogenbosch - Nijmegen ,"23,500","65,400",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,23.5,65.4
249,1caa57bd-192b-458d-aac1-000706d4bc8e,Lw-Stv,Leeuwarden - Stavoren ,"2,500","50,460",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,2.5,50.46
250,881ec23c-22d9-41da-876f-e79b597fb8c0,Aml-Hgl,Almelo - Hengelo ,"0,000","15,000",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0,15
251,1b2b4cda-6f1e-429f-807a-134a1d1ef509,Axa-Tnzz,Axel Aansl. - Terneuzen Zuidzijde (Racc.)  ,"60,743","63,500",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,60.743,63.5
252,9667579f-484f-45c6-90ee-d52fda04d21b,Hrl-Sog,Heerlen - Schin op Geul ,"0,100","7,800",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0.1,7.8
