Ministerie;Leveranciers;5000 - Vervoer en verblijfkosten overig;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
DEF;Volvo Truck Center Almere;;;1;1
DEF;W. Janssen Zeilmakerij B.V.;;;1;1
DEF;Walenburg Exploitatiemaatschappij B.V.;;;1;1
DEF;Wash Drive In Horsterweg V.O.F.;;;1;1
DEF;Washmobile B.V.;;;1;1
DEF;Washplan-Ned.;;;1;1
DEF;Wasserij Boumans;;;1;1
DEF;Wax4All Car Cleaning;;;1;1
DEF;Webasto Thermo & Comfort Benelux;;;1;1
DEF;Wed. L. Dalhuisen B.V.;;;1;1
DEF;Wensink;;;1;1
DEF;Wensink Assen;;;1;1
DEF;Wensink Zwolle;;;2;2
DEF;Werklust Holland B.V.;;;4;4
DEF;Wiba Zevenaar B.V.;;;2;2
DEF;Wurth Elektronik Nederland B.V.;;;2;2
DEF;Yacht;;;2;2
DEF;Yamaha Motor Europe N.V.;;;4;4
DEF;Z.A.M. Zeister Automobiel Maatschappij B.V.;;;2;2
DEF;Zanten B.V.;;;1;1
DEF;Zet Solutions B.V.;;;1;1
EZ;&Samhoud Nederland B.V.;;1;;1
EZ;7AM B.V.;;1;;1
EZ;7AM Den Haag B.V.;;1;;1
EZ;Absoluta Food and Facilities B.V.;;1;;1
EZ;AC Restaurant De Meern;;1;;1
EZ;Achtienhonderdeenenvijftig (1851) B.V.;;1;;1
EZ;Agro Techniek Oosterink B.V.;;;1;1
EZ;Akkermans Leisure & Golf;;1;;1
EZ;Amershof B.V.;;1;;1
EZ;Arab. Translation Service;;1;;1
EZ;Ardea Auto Den Haag;;;1;1
EZ;Ardis Organisatieontwikkeling B.V.;;1;;1
EZ;Arend Auto B.V.;;;1;1
EZ;Ariëns Catering;;2;;2
EZ;Ass. Autofauteuils B.V.;;;1;1
EZ;Athlon Car Lease Nederland;;;5;5
EZ;ATP Specials B.V.;;1;3;4
EZ;Auto Indumij Ridderkerk;;;1;1
EZ;Autobedrijf Bochane B.V.;;;1;1
EZ;Autogrill Nederland Hotels B.V.;;1;;1
EZ;Automobielbedrijf Berendsen en de Graaf B.V.;;;1;1
EZ;Automobielbedrijf Blekkink Aalten B.V.;;;1;1
EZ;Automobielbedrijf H.M. Geurts B.V.;;;1;1
EZ;Autopoetsbedrijf Klein;;;1;1
EZ;Autoschade Rijnders Ede B.V.;;;1;1
EZ;B.V. Copes SNEL;;1;;1
EZ;Bar Restaurant La Vina;;1;;1
EZ;BCN B.V.;;1;;1
EZ;Boerderij de Diek'n;;1;;1
EZ;bol.com B.V.;;1;;1
EZ;BP Nederland B.V.;;;1;1
EZ;Brandsma's Automobielbedrijf B.V.;;;1;1
EZ;Brasserie Park B.V.;;1;;1
EZ;Bremer-Wegh B.V.;;1;;1
EZ;Broekhuis Doetinchem 2 B.V.;;;1;1
EZ;Broekhuis Veenendaal B.V.;;;1;1
EZ;BR-Platform Nederland;;1;;1
EZ;Buitengoed Hagenhorst Exploitatie B.V.;;1;;1
EZ;Bureau Van Es-RB&B;;3;;3
EZ;Bureauvijftig;;1;;1
EZ;Buurtvereniging Krachtighuizen e.o.;;1;;1
EZ;Cafe Blossom;;1;;1
EZ;Café du Midi B.V.;;1;;1
EZ;Carlson Wagonlit Nederland B.V.;;5;;5
EZ;Carlson Wagonlit Travel;;1;;1
EZ;Carwash & Co Ede B.V.;;;1;1
EZ;Catering Oud London B.V.;;1;;1
EZ;Centre for Generative Leadership B.V.;;1;;1
EZ;Century Autogroep;;;1;1
EZ;Compagnieshaven Enkhuizen B.V.;;;1;1
EZ;Conferentiehotel Guldenberg;;1;;1
EZ;Connexxion Taxi Services B.V.;;;3;3
EZ;Conrad Electronic Benelux B.V.;;;1;1
EZ;Coöp. Sam.werk.verband De Wereld van Smaak UA;;1;;1
EZ;Culpepper B.V.;;1;;1
EZ;Daals Traiteurs;;1;;1
EZ;De Bergse Bossen;;1;;1
EZ;De Beukentuin V.O.F.;;1;;1
EZ;De Bierelier B.V.;;1;;1
EZ;De Boerenstee;;1;;1
EZ;De Branding Utrecht B.V.;;1;;1
EZ;De Corridor;;1;;1
EZ;De Haan Minerale Oliën B.V.;;;1;1
EZ;De Hertenkamp Assen B.V.;;1;;1
EZ;De Koningshof B.V.;;1;;1
EZ;De Landgoederij B.V.;;1;;1
EZ;De Lof der Zotheid (Breitner);;1;;1
EZ;De Sleutelkoning;;;1;1
EZ;De Smelt B.V.;;1;;1
EZ;De Sparrenhorst;;2;;2
EZ;De Witte Vosch B.V.;;2;;2
EZ;De Zilveren Vosch B.V.;;1;;1
EZ;Delicalicious;;1;;1
EZ;Derks Rondeel Beuningen;;1;;1
EZ;Diner Thuis;;1;;1
EZ;Dokkumer Vlaggen Centrale B.V.;;1;;1
EZ;Dopersduin;;1;;1
EZ;Dordtse Bazar Verhuur;;1;;1
EZ;Dorpscafé 't Steckie;;1;;1
EZ;ECHOS Home Baan Zulu;;1;;1
EZ;Eetcafé de Klap;;1;;1
EZ;EIC Mainport Rotterdam;;1;;1
EZ;Energy Delta Institute B.V.;;1;;1
EZ;Ernst Sillem Hoeve B.V.;;1;;1
EZ;ETC Nederland B.V.;;1;;1
EZ;Exploitatiemij. Grand Hotel Karel V B.V.;;1;;1
EZ;F.A. Peters B.V.;;1;;1
EZ;Fa. Pennings en Zn.;;1;;1
EZ;Fellini Assen B.V.;;1;;1
EZ;Fleetlogic B.V.;;;2;2
EZ;Fletcher Hotel Steenwijk;;1;;1
EZ;Fotografie : Paul Voorham;;1;;1
EZ;GaiaPark B.V.;;1;;1
EZ;Gardepoort;;1;;1
EZ;Goderie B.V.;;1;;1
EZ;Grand Cafe Groeneveld;;1;;1
EZ;Grand Cafe Lubeck;;1;;1
EZ;Grand Kasteel Woerden B.V.;;1;;1
EZ;Grandcafé De Wens B.V.;;1;;1
EZ;Groeneveld Horeca B.V.;;3;;3
EZ;Hampshire Exploitatie I B.V.;;1;;1
EZ;Happy Meat B.V.;;1;;1
EZ;Havenbedrijf Rotterdam N.V.;;1;;1
EZ;Havinga's Broodboetiek;;1;;1
EZ;Heco Systems B.V.;;1;;1
EZ;Hengelsportfederatie Groningen Drenthe;;1;;1
EZ;Hengelsportvereniging 'De Snoek';;1;;1
EZ;Het Motorhuis;;;1;1
EZ;Het Pleidooi;;1;;1
EZ;Hof van Wageningen;;1;;1
EZ;Holding Beheermaatschappij Ropeni B.V.;;1;;1
EZ;Holland Inbouw;;;1;1
EZ;Hot. Exploit. Maatsch. Maarssenbr. B.V.;;1;;1
EZ;Hot.expl.mij. Jaarbeurspln. Utrecht B.V.;;1;;1
EZ;Hotel Ampt van Nijkerk B.V.;;1;;1
EZ;Hotel ARA B.V.;;1;;1
EZ;Hotel Arnhem Doorwerth B.V.;;1;;1
EZ;Hotel Bergambacht B.V.;;1;;1
EZ;Hotel Café Restaurant 'Taverne';;1;;1
EZ;Hotel Centraal;;1;;1
EZ;Hotel Contact B.V.;;6;;6
EZ;Hotel Cuyk Exploitatie B.V.;;1;;1
EZ;Hotel De Woudzoom B.V.;;1;;1
EZ;Hotel Drachten B.V.;;1;;1
EZ;Hotel Gilze-Rijen;;1;;1
EZ;Hotel Hoorn B.V.;;1;;1
EZ;Hotel Lapershoek;;1;;1
EZ;Hotel Leusden B.V.;;1;;1
EZ;Hotel Ridderkerk B.V.;;1;;1
EZ;Hotel Spoorzicht & Spa B.V.;;1;;1
EZ;Hotel Tiel;;1;;1
EZ;Hotel/Kasteel Spelderholt B.V.;;1;;1
EZ;Huize Bergen B.V.;;1;;1
EZ;Huize Molenaar B.V.;;1;;1
EZ;Hulskamp Audiovisueel Utrecht;;1;;1
EZ;Igluu B.V.;;1;;1
EZ;In de Driehoek, congres- en vergadercentrum;;1;;1
EZ;Ingenieursbureau Wassenaar B.V.;;2;;2
EZ;Inn Style;;1;;1
EZ;Internet New Business Concepts B.V.;;1;;1
EZ;Jaarbeurs B.V.;;1;;1
EZ;Jacobs Breda Electronics;;;1;1
EZ;Janssen Kerres Venlo;;;1;1
EZ;Joh. Hogendoorn;;1;;1
EZ;Kantine Exploitatie H.S.V.-V.U.C.;;1;;1
EZ;Koninklijk Instituut van Ingenieurs;;1;;1
EZ;Kossen Work Ribs Beheer B.V.;;;1;1
EZ;KPN B.V.;;1;1;1
EZ;KPN Consulting B.V.;;2;;2
EZ;La Place B.V.;;1;;1
EZ;Le Bistroquet B.V.;;1;;1
EZ;Leaseplan Nederland N.V.;;;9;9
EZ;Life Architect B.V.;;1;;1
EZ;Lud'arte;;1;;1
EZ;M.M. Projects B.V.;;1;;1
EZ;M.W.B. van Roosendaal B.V.;;;1;1
EZ;Maison van den Boer B.V.;;1;;1
EZ;Makeblijde Tuin B.V.;;1;;1
EZ;Mariënhof Amersfoort B.V.;;1;;1
EZ;Martiniplaza;;1;;1
EZ;Meet & Discover! - Station033 B.V.;;1;;1
EZ;Meeting Plaza Utrecht B.V.;;1;;1
EZ;Meneer de Leeuw;;1;;1
EZ;Mobility Mixx B.V.;;;2;2
EZ;Motel Assen B.V.;;1;;1
EZ;Motel Hengelo B.V.;;1;;1
EZ;Motel Nuland;;1;;1
EZ;Movenpick Hotel;;1;;1
EZ;Munckhof Regie;;;2;2
EZ;N.B.C. Exploitatie B.V.;;1;;1
EZ;Nefkens Noord B.V.;;;1;1
EZ;New Babylon Meeting Center B.V.;;1;;1
EZ;NH Den Haag;;2;;2
EZ;Nina's Kitchen;;1;;1
EZ;Nortec Constructiebouw;;;1;1
EZ;Novotel Den Haag;;1;;1
EZ;NS Reizigers B.V.;;;1;1
EZ;Oker B.V.;;1;;1
EZ;Oostduinhaghe Hotel B.V.;;1;;1
EZ;Orange5 Catering & Events B.V.;;1;;1
EZ;Oudaen B.V.;;1;;1
EZ;Oudshoorn Autobedrijf B.V.;;;1;1
EZ;Pageshuis B.V.;;1;;1
EZ;PAK Aanhangwagens Kruiningen;;;1;1
EZ;Pan;;1;;1
EZ;Park Plaza Utrecht;;1;;1
EZ;Paviljoen De Leyen;;1;;1
EZ;Phaos Advies B.V.;;1;;1
EZ;Pieter van Geel Consultancy;;1;;1
EZ;Polman's Huis B.V.;;1;;1
EZ;Post Workboats B.V.;;;2;2
EZ;Postillion Hotels B.V.;;1;;1
EZ;Potijk Autobekleding B.V.;;;1;1
EZ;Pouw Zwolle;;;1;1
EZ;Prakt.ond. Plant & Omg./Plant Research Int.;;1;;1
EZ;PROBART;;1;;1
EZ;Projektivity;;1;;1
EZ;Protestantse Gemeente te 's Hertogenbosch;;1;;1
EZ;Protestantse Stichting De Voorhof;;1;;1
EZ;Protinus IT B.V.;;;1;1
EZ;Puur Amsterdam;;1;;1
EZ;Q-Park Beheer B.V.;;;1;1
EZ;Q-Park Operations Netherlands I B.V.;;;1;1
EZ;Quintens Advies & Management B.V.;;1;;1
EZ;Rasi;;;1;1
EZ;RDM Makerspace B.V.;;1;;1
EZ;Recreatie Noord-Holland N.V.;;1;;1
EZ;Reed Business B.V.;;1;;1
EZ;Regardz Business Center;;1;;1
EZ;Restaurant Castra;;1;;1
EZ;Restaurant De Keet C.V.;;1;;1
EZ;Restaurant De Knip;;1;;1
EZ;Restaurant Fouquet;;1;;1
EZ;Restaurant It Polderhûs;;1;;1
EZ;Restaurant Logisch;;1;;1
EZ;Restaurant Onz;;1;;1
EZ;Restaurant 't Reeuwijkse Hout B.V.;;1;;1
EZ;Riwojo B.V.;;1;;1
EZ;ROI B.V.;;1;;1
EZ;RuimTeUtrecht B.V.;;1;;1
EZ;Samaya B.V.;;1;;1
EZ;Sardes B.V.;;1;;1
EZ;Schakel Utrecht B.V.;;;1;1
EZ;Schiphol Nederland B.V.;;;1;1
EZ;Schuro Inter Design B.V.;;;1;1
EZ;Sdu Uitgevers B.V.;;1;;1
EZ;Sijbesma Caravans & Aanhangwagens;;;1;1
EZ;Silverijn;;1;;1
EZ;Smulpalace;;1;;1
EZ;SNR Schouten & Nelissen Recovery B.V.;;1;;1
EZ;Sodexo B.V.;;1;;1
EZ;Sovon Vogelonderzoek Nederland;;1;;1
EZ;Spaces Rode Olifant B.V.;;1;;1
EZ;Stam Autobedrijven B.V.;;;1;1
EZ;Stam Leidsche Rijn;;;1;1
EZ;SternRent B.V.;;1;;1
EZ;Stg Dominicanenklooster Zwolle;;2;;2
EZ;Stg. European Centre for Eco and Agro Tourism;;2;;2
EZ;Sticht. Theater & Congrescentrum De Molenberg;;1;;1
EZ;Stichting Groennetwerk;;1;;1
EZ;Stichting het Rijksmuseum;;1;;1
EZ;Stichting Internat. Perscentrum 'Nieuwspoort';;1;;1
EZ;Stichting Molen de Ster;;1;;1
EZ;Stichting Rataplan Fiets;;;1;1
EZ;Stichting ROC Mondriaan;;1;;1
EZ;Stichting Twickel;;1;;1
EZ;Stichting Waardevol Leven Gemeente;;1;;1
EZ;Stichting Welzijn Zwijndrechtse Waard;;1;;1
EZ;Storm B.V.;;1;;1
EZ;Studio Tognini B.V.;;1;;1
EZ;Sunder Bromfietsen B.V.;;;1;1
EZ;SVO Holding B.V.;;1;;1
EZ;Taxi Lieberg;;1;;1
EZ;Taxibedrijf Van der Wijst;;;2;2
EZ;Te Werve B.V.;;1;;1
EZ;Th. Rutten en Zn. Autobedrijf B.V.;;;1;1
EZ;Tilkema Horeca B.V.;;1;;1
EZ;TomTom Telematics Sales B.V.;;;1;1
EZ;Troost Catering;;1;;1
EZ;Tweewielers van Woerden B.V.;;;1;1
EZ;Twynstra Gudde;;1;;1
EZ;Tyrilo B.V.;;1;;1
EZ;V.O.F. Alpina-van Houweninge & IJsselstijn;;1;;1
EZ;V.O.F. Café Restaurant Bosgoed;;1;;1
EZ;Vakantiehuizen Versantvoort;;1;;1
EZ;Vallei Auto Groep B.V.;;;1;1
EZ;Vallei Autolease B.V.;;;1;1
EZ;Van Beynum Gouda B.V.;;;1;1
EZ;Van de Weerd's Autobedrijf Bennekom B.V.;;;1;1
EZ;Van der Kolk Ede B.V.;;;2;2
EZ;Van der Rest. Nautic B.V.;;;1;1
EZ;Van der Valk Hotel Den Haag B.V.;;1;;1
EZ;Van der Valk Hotel 's-Hertogenbosch-Vught;;1;;1
EZ;Van Swinderen Huys B.V.;;1;;1
EZ;VCK Travel B.V.;;;1;1
EZ;Veba Meditemp B.V.;;;2;2
EZ;Verenigde Automobielbedrijven Zaandam B.V.;;;1;1
EZ;Vereniging tot Behoud van Natuurmonumenten;;1;;1
EZ;Vereniging VNO-NCW;;1;;1
EZ;Verfrist Media & Communicatie;;1;;1
EZ;Vergadercentrum Vredenburg;;1;;1
EZ;Vergaderen op Urk.nl;;1;;1
EZ;Verhuurbedrijf Paul;;1;;1
EZ;Vermaat Leisure B.V.;;1;;1
EZ;Vetho B.V.;;1;;1
EZ;Villa Jongerius;;1;;1
EZ;VW Garage Van der Velden B.V.;;;1;1
EZ;Weide Does Hok;;1;;1
EZ;Wensink Automotive B.V.;;;1;1
EZ;Werk is Theater;;1;;1
EZ;Wrld Tr. Cent. Schiphol Bus. & Confer. Center;;1;;1
EZ;YESGIFTS.NL B.V.;;;1;1
EZ;Zalen-Restaurant 'de Veldhoek';;1;;1
FIN;1910 Restaurant;;1;;1
FIN;A. Blijleven B.V.;;;1;1
FIN;AC Restaurant & Hotel Meerkerk;;1;;1
FIN;Accell Nederland;;;2;2
FIN;ADS Beveiliging B.V.;;1;;1
FIN;Agrima II B.V.;;1;;1
FIN;Air Products Nederland B.V.;;;1;1
FIN;Amazing Bread Company B.V.;;1;;1
FIN;American Express International Inc.;;;1;1
FIN;Anresound;;1;;1
FIN;Antropia B.V.;;2;;2
FIN;Aparthotel 't Suyderduyn B.V.;;4;;4
FIN;Archeon Novum;;1;;1
FIN;Argentijns Restaurant Poco Mucho;;1;;1
FIN;Arieso Holding B.V.;;1;;1
FIN;Aristo Amsterdam B.V.;;2;;2
FIN;Aristo Eindhoven B.V.;;1;;1
FIN;Art Café Sam Sam;;1;;1
FIN;Artisante;;1;;1
FIN;Athlon Car Lease Nederland B.V.;;;7;7
FIN;Atlantic Hotel Exploitatie B.V.;;1;;1
FIN;Atrium Vastgoedmanagement B.V.;;1;;1
FIN;Auto Bourguignon Dokkum B.V.;;;1;1
FIN;Auto Brink;;;1;1
FIN;Auto Herwers Apeldoorn B.V.;;;1;1
FIN;Auto Heurkens Echt B.V.;;;1;1
FIN;Auto Hoogenboom;;;1;1
FIN;Auto Muntstad Zeist;;;1;1
FIN;Autobedrijf Metz;;;1;1
FIN;Autobedrijf Nieuwenhuijse Apeldoorn B.V.;;;1;1
FIN;Autobedrijf van den Udenhout B.V.;;;1;1
FIN;Autohaas B.V.;;;5;5
FIN;Automobielbedrijf Nijendijk B.V.;;;1;1
FIN;Autop Roermond B.V.;;;1;1
FIN;Aziatisch Restaurant Jasmijn & Ik;;1;;1
FIN;Aziatisch-Tapas Restaurant Dynasty;;1;;1
FIN;B.V. Hospitality Services Cultuurgebouw;;1;;1
FIN;B.V. 't Nieuwe Draeckje;;1;;1
FIN;BAB-VIOS Touringcars B.V.;;;1;1
FIN;Banketbakkerij Maison Kelder B.V.;;;1;1
FIN;Bar Eetcafe Te Pas;;1;;1
FIN;Bar Le Duc;;1;;1
FIN;BAX B.V.;;1;;1
FIN;BCN B.V.;;1;;1
FIN;Belgisch Biercafé Olivier B.V.;;1;;1
FIN;Bessels Tweewielers;;;1;1
FIN;Betam Truck & Carwash Schiphol;;;1;1
FIN;Beurs Rotterdam N.V.;;3;;3
FIN;Biercafe, Rest., Vak.bungal. 'De Roestelberg';;1;;1
FIN;Biesebos Truckwash Hoogeveen B.V.;;;1;1
FIN;Bij De Nonnen;;1;;1
FIN;Bilderberg Hotel De Keizerskroon;;1;;1
FIN;Bilderberg Residence Groot Heideborgh;;1;;1
FIN;Biljart-Dartcafé Janssen&Janssen;;1;;1
FIN;Binnenhof Café;;1;;1
FIN;blooming hotel en conferentielandgoed B.V.;;1;;1
FIN;Bluescafe Apeldoorn B.V.;;1;;1
FIN;Boerderij-Restaurant 'De Kamer' B.V.;;1;;1
FIN;Boholka B.V.;;1;;1
FIN;Bon Horecabedrijf;;1;;1
FIN;Boswachter Liesbosch B.V.;;1;;1
FIN;Boulevard Café;;1;;1
FIN;Bouwcombinatie DUO2 V.O.F.;;1;;1
FIN;Bouwfix Noord;;;1;1
FIN;Bowlingpaleis Stad Roermond;;1;;1
FIN;Bowling-Zalen-Restaurant Oortwijn;;1;;1
FIN;Bras.-Restaurant Korderijnk 'sinds 1916' B.V.;;1;;1
FIN;Brasilbinkie B.V.;;1;;1
FIN;Brasserie De 3 Heeren;;1;;1
FIN;Brasserie De Vlietlanden;;1;;1
FIN;Brasserie Het Nieuwe Jachthuis B.V.;;1;;1
FIN;Brezan Automaterialen Epe;;;1;1
FIN;Broers;;1;;1
FIN;Buitenplaats de Houtmaat;;1;;1
FIN;Buitenpoort Gelredome B.V.;;1;;1
FIN;By Wijnand;;1;;1
FIN;C.V. Rosarium Wokrestaurant Westbroekpark;;1;;1
FIN;Café ' de Gooth ' V.O.F.;;1;;1
FIN;Café André;;1;;1
FIN;Café Bar St. Jan;;1;;1
FIN;Café Boonstra;;1;;1
FIN;Café de Bank B.V.;;1;;1
FIN;Café de Bombardon;;1;;1
FIN;Café de Bommel B.V.;;1;;1
FIN;Café De Dam;;1;;1
FIN;Café De Drie Weesgegroetjes;;1;;1
FIN;Café De Droadnagel;;1;;1
FIN;Café De Gouden Leeuw;;1;;1
FIN;Café De Hetebrij;;1;;1
FIN;Café de Hoek;;1;;1
FIN;Café de Oude Haven;;1;;1
FIN;Café de paris V.O.F.;;1;;1
FIN;Café De Schoof V.O.F.;;1;;1
FIN;Café De Snor;;1;;1
FIN;Café De Ster;;1;;1
FIN;Café De Toerist;;1;;1
FIN;Cafe de Viersprong V.O.F.;;1;;1
FIN;Café De Vriendschap;;1;;1
FIN;Cafe De Zaak;;1;;1
FIN;Café Dierks V.O.F.;;1;;1
FIN;Café Dokus;;1;;1
FIN;Cafe du Midi 'De Uylenburg';;1;;1
FIN;Café Dudok Hilversum;;1;;1
FIN;Café Eethuisje De Oase;;1;;1
FIN;Café Eetkamer Sint Servais;;1;;1
FIN;Café Groothuis;;1;;1
FIN;Café Havelaar;;1;;1
FIN;Café Hofsteenge;;1;;1
FIN;Café Huppel 'The Pub';;1;;1
FIN;Café Jansen B.V.;;1;;1
FIN;Café Kachel;;1;;1
FIN;Café 'Oranje';;1;;1
FIN;Café Pelt;;1;;1
FIN;Café R. Nijmeijer V.O.F.;;1;;1
FIN;Café Restaurant Central B.V.;;1;;1
FIN;Café Restaurant Courzand;;1;;1
FIN;Café Restaurant Merz;;1;;1
FIN;Café Restaurant Parkzicht;;1;;1
FIN;Café Restaurant Rootz B.V.;;1;;1
FIN;Café Restaurant Selina;;1;;1
FIN;Café Restaurant 't Binnenhof;;1;;1
FIN;Cafe Restaurant Vandaag B.V.;;1;;1
FIN;Café Samson;;1;;1
FIN;Café Schafrath;;1;;1
FIN;Café Scheltema;;1;;1
FIN;Café Singelier;;1;;1
FIN;Café Slijterij Ensing;;1;;1
FIN;Café Sprakel;;1;;1
FIN;Café Stalles B.V.;;1;;1
FIN;Café Studio Haarlem B.V.;;1;;1
FIN;Café 't Keerpunt;;1;;1
FIN;Café 't Kölke;;1;;1
FIN;Café 'van Beeren';;1;;1
FIN;Café Wouters;;1;;1
FIN;Café Zomers & Zomers;;1;;1
FIN;Cafe/Petit Restaurant Damzicht;;1;;1
FIN;Cafe/Restaurant De Eeuwige Jachtvelden;;1;;1
FIN;Café-Restaurant Amier B.V.;;1;;1
FIN;Café-Restaurant Balk;;1;;1
FIN;Café-Restaurant De Boschvijver B.V.;;1;;1
FIN;Café-Restaurant De Mol B.V.;;1;;1
FIN;Café-Restaurant De Ringweg;;1;;1
FIN;Café-Restaurant Waaijer;;1;;1
FIN;Camping Kom Es An;;1;;1
FIN;Car Wash Barneveld;;;1;1
FIN;Carrousel B.V.;;1;;1
FIN;Central Park;;1;;1
FIN;Centre for Generative Leadership B.V.;;1;;1
FIN;Century Autogroep;;;1;1
FIN;Chapoo! B.V.;;1;;1
FIN;CHCH Exploitatie B.V.;;1;;1
FIN;China Delight;;1;;1
FIN;China Great Hotel Management B.V.;;1;;1
FIN;Chinees Indisch Restaurant Mei Wah;;1;;1
FIN;Chinees Jap. Restaurant Osaka Roosendaal B.V.;;1;;1
FIN;Chinees Specialiteiten Restaurant Ho Fa.;;1;;1
FIN;Chinees-Indisch Restaurant 'Woo Ping';;1;;1
FIN;Chinees-Indonesisch Restaurant Rasa Senang;;1;;1
FIN;Conf.- & Opleidingscentr. De Ruwenberg B.V.;;2;;2
FIN;Connexxion Tours;;;1;1
FIN;ContrAll Inspectie B.V.;;;1;1
FIN;Coolblue B.V.;;1;;1
FIN;Corfu;;1;;1
FIN;DCE Nederland B.V.;;;1;1
FIN;De Ark;;1;;1
FIN;De Babbel Apeldoorn B.V.;;1;;1
FIN;De Bazar B.V.;;1;;1
FIN;De Belhamel;;1;;1
FIN;De Bengel Eindhoven;;1;;1
FIN;De Brauw Blackstone Westbroek Brussel B.V.;;1;;1
FIN;De Buren Leienplein 1 B.V.;;1;;1
FIN;De Eekenhof B.V.;;1;;1
FIN;De Efteling B.V.;;1;;1
FIN;De Grote Catacomben;;1;;1
FIN;De Herderin;;1;;1
FIN;De Hooge Vuursche B.V.;;1;;1
FIN;De Jonge Geuze;;1;;1
FIN;De Jonge Haan;;1;;1
FIN;De Kale Pater B.V.;;1;;1
FIN;De Karkol;;1;;1
FIN;De Karpendonkse Hoeve B.V.;;1;;1
FIN;De Latijnse School;;1;;1
FIN;De Moriaan Eten & Drinken B.V.;;1;;1
FIN;De Notenkraker;;;1;1
FIN;De Partyhut B.V.;;1;;1
FIN;De Poort van Kleef Utrecht B.V.;;1;;1
FIN;'De Reehorst' B.V.;;3;;3
FIN;De Utrechtse Haven B.V.;;1;;1
FIN;De Vischpoort Exploitatiemaatschappij B.V.;;1;;1
FIN;De Wasdas, Autow.str.&Poetscentrum Emmen B.V.;;;1;1
FIN;De Wilde Pieters;;2;;2
FIN;De Winkel van Sinkel B.V.;;1;;1
FIN;De Witte Brug;;1;;1
FIN;De Witte Valk B.V.;;1;;1
FIN;De Witte Zwaan B.V.;;1;;1
FIN;De Ysbreker B.V.;;1;;1
FIN;De Zoete Inval B.V.;;1;;1
FIN;De Zwolsche Bol B.V.;;1;;1
FIN;DEKRA Automotive;;;1;1
FIN;DEKRA Automotive B.V.;;;1;1
FIN;Dekxels B.V.;;1;;1
FIN;Den Bolle Boel;;1;;1
FIN;Den Overkant;;1;;1
FIN;Dendy B.V.;;1;;1
FIN;Divinatio;;1;;1
FIN;D'r Klinge;;1;;1
FIN;Drieharing B.V.;;1;;1
FIN;Duende Dos B.V.;;1;;1
FIN;Dujos Horeca;;1;;1
FIN;E Schreurs B.V.;;1;;1
FIN;E.M. Toonen Holding B.V.;;;1;1
FIN;Eet Café 't Spek-Ende;;1;;1
FIN;Eetcafé aon 't Bat B.V.;;1;;1
FIN;Eetcafé Basiliek;;1;;1
FIN;Eetcafé Bij Oma;;1;;1
FIN;Eetcafé De Binnenkomer;;1;;1
FIN;Eetcafé De Goesting;;1;;1
FIN;Eetcafé de Tuin;;1;;1
FIN;Eetcafé De Verlenging;;1;;1
FIN;Eetcafe Mario's;;1;;1
FIN;Eetcafé Milano;;1;;1
FIN;Eetcafe Os Heem;;1;;1
FIN;Eetcafé Roezemoes;;1;;1
FIN;Eetcafé 't Goede;;1;;1
FIN;Eetcafé 't Koetshuys;;1;;1
FIN;Eetcafé 't Trefpunt;;1;;1
FIN;Eeterij de vijfde Smaeck;;1;;1
FIN;Eethuis 't Akkertje 2.0;;1;;1
FIN;Eetkamer op de Proef;;1;;1
FIN;EHM Hotel Breda B.V.;;1;;1
FIN;EHP Exploitatie Hotel De Wipselberg B.V.;;1;;1
FIN;Eindhoven Airport Hotel B.V.;;1;;1
FIN;Engels Conference Center B.V.;;1;;1
FIN;Esra Handelmaatschappij B.V.;;;1;1
FIN;Exploitatie Maatschappij Delta Hotel B.V.;;1;;1
FIN;Exploitatiemij. Grand Hotel Karel V B.V.;;3;;3
FIN;F.C. Twente Stadion;;2;;2
FIN;Fazantenbos B.V.;;2;;2
FIN;Feithhuis Exploitatie B.V.;;1;;1
FIN;FINN B.V.;;1;;1
FIN;Firma Rijwielhandel Tieleman en Zoon;;;1;1
FIN;Fletcher Familiehotel Paterswolde;;1;;1
FIN;Fletcher Hotel De Grote Zwaan;;1;;1
FIN;Fletcher Hotel Nautisch Kwartier;;1;;1
FIN;Fletcher Hotel Paleis Het Stadhouderlijk Hof;;1;;1
FIN;Florent;;1;;1
FIN;Focus Conferences B.V.;;3;;3
FIN;Foyer Restaurant Club Rex B.V.;;1;;1
FIN;Frituur Malberg;;1;;1
FIN;Gasterij Kasteel Terborgh;;1;;1
FIN;Gasterij 'Zuidbarge';;1;;1
FIN;Gastrobar FLOOR;;1;;1
FIN;Goede Mynott Holding B.V.;;1;;1
FIN;Grand Café - Restaurant Bij 5;;1;;1
FIN;Grand Café Blits;;1;;1
FIN;Grand Café Chopin Vught;;1;;1
FIN;Grand Café de Oude Tol;;1;;1
FIN;Grand Café De Wildeman Eindhoven B.V.;;1;;1
FIN;Grand Café Maastricht Soiron B.V.;;1;;1
FIN;Grand Café Metropole B.V.;;1;;1
FIN;Grand Café Pierrot;;1;;1
FIN;Grand Café Restaurant Granada;;1;;1
FIN;Grand Cafe Samen;;1;;1
FIN;Grand Café 't Gelagh;;1;;1
FIN;Grand Café Time Out B.V.;;1;;1
FIN;Grand Café Toi Toi Toi B.V.;;1;;1
FIN;Grand Café Willinks;;1;;1
FIN;Grand Plaza;;1;;1
