VERSIE,ID,NAAM,AFKORTING,TYPE,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE,KM_GEOCODE_T,OFFSET,OFFSET_T,ROTATIE,X,Y,LATITUDE,LONGITUDE
001,573,Alkmaar Noord,Amrn,Halte,074,,74,074__,Heerhugowaard - Alkmaar,Hdr-Zd,Den Helder - Zaandam ,40.209559,"40,209559",-0.227491,"-0,227491",0,112801,517534,52.6436625487141,4.76372749649864
001,574,Zuidelijke splitsing (Haarlem),Zspl,Overloop,527,c,527,527_c,Haarlem,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,17.999768,"17,999768",0.486153,"0,486153",0,102954,488953,52.3859638584954,4.62271137217005
001,575,Santpoort Zuid,Sptz,Halte,082,,82,082__,Haarlem - Santpoort Noord,Hlm-Utg,Haarlem - Uitgeest ,4.388051,"4,388051",-0.080699,"-0,080699",0,103581,492759,52.4202269858852,4.6313372329913
001,576,Heemstede-Aerdenhout,Had,Halte,085,,85,085__,Haarlem - Warmond,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,21.127473,"21,127473",0.360046,"0,360046",0,101846,486046,52.359732802358,4.60689740792301
001,577,Beverwijk Hoogovens Centraal aansl.,Bvhca,Aansluiting,804,a,804,804_a,"Beverwijk Hoogovens, Van Gelder",Bv-Bvhg,Beverwijk - Beverwijk Hoogovens ,0.275105,"0,275105",-0.276634,"-0,276634",0,105075,499052,52.4769191057653,4.65235896300363
001,578,Hoorn aansl.,Hna,Aansluiting,626,c,626,626_c,Hoorn,Zd-Ekz,Zaandam - Enkhuizen ,31.854853,"31,854853",-0.19543,"-0,195430",0,131871,517547,52.6449227111702,5.04547344113039
001,579,Hoorn Kersenboogerd,Hnk,Station,217,,217,217__,Hoorn - Enkhuizen,Zd-Ekz,Zaandam - Enkhuizen ,34.799805,"34,799805",0.363519,"0,363519",0,134519,518448,52.6531258776666,5.08454150098928
001,580,Hemtunnel aansl.,Hmta,Overloop,139,,139,139__,Zaandam - Amsterdam Sloterdijk,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,175.121065,"175,121065",-0.427294,"-0,427294",0,115248,490919,52.4046606450549,4.80305221536898
001,581,Krommenie-Assendelft,Kma,Halte,078,,78,078__,Uitgeest - Zaandam,Hdr-Zd,Den Helder - Zaandam ,62.452964,"62,452964",-0.414031,"-0,414031",0,112057,500999,52.4950088346652,4.7548702362173
001,582,Varsseveld,Vsv,Station,212,,212,212__,Winterswijk - Zevenaar,Ww-Zv,Winterswijk-Zevenaar ,20.435168,"20,435168",0.573244,"0,573244",0,228693,439301,51.9372777664479,6.45884636478597
001,583,Arnhem Goederenstation,Ahg,Goederen Emplacement,437,a,437,437_a,Arnhem Goederenstation - Velperbroek Aansl.,Ahg-Va,Arnhem Goederenstation - Velperpoort Aansl. ,0.899804,"0,899804",0.298663,"0,298663",0,192633,443271,51.9765709635623,5.93493103254082
001,584,Nijmegen Goffert,Nmgo,Halte,047,,47,047__,s Hertogenbosch - Nijmegen,Ht-Nm,s-Hertogenbosch - Nijmegen ,62.94983,"62,949830",0.278857,"0,278857",0,185011,426612,51.8273032821112,5.8225475084885
001,585,Wehl,Wl,Station,212,,212,212__,Winterswijk - Zevenaar,Ww-Zv,Winterswijk-Zevenaar ,39.249406,"39,249406",-0.312606,"-0,312606",0,211817,441296,51.9571889765369,6.21379368064121
001,586,Brummen,Bmn,Halte,033,,33,033__,Dieren - Zutphen,Ah-Zl,Arnhem - Zwolle ,20.31922,"20,319220",-0.162025,"-0,162025",0,207066,456115,52.090839991844,6.14693662008706
001,587,Lanaken (B),Glk,Grensstation,785,,785,785__,Lanaken (B) - Maastricht grens,Has-Glk,Hasselt (B) - Lanaken (B) ,11.89973,"11,899730",-0.029,"-0,029000",0,174007,321699,50.8847675950926,5.65728576337926
001,588,Sas van Gent grens,Svgg,Grens Dienstregelpun,131,,131,131__,Sas van Gent Grens - Terneuzen Aansl.,Fsz-Tnz,Zelzate (B) - Terneuzen ,15.605125,"15,605125",27.70382,"27,703820",0,44111,359160,51.2109824819976,3.80020500463308
001,589,HSL Breda grens,Hsbdg,Grens Dienstregelpun,787,,787,787__,Hazeldonk Grens - Noorderkempen (B),Andd-Bdgr,Antwerpen Noorderdokken - Breda Grens  ,82.908101,"82,908101",-0.337284,"-0,337284",0,109425,387889,51.4782063316709,4.73115495758123
001,590,Kaldenkirchen (D),Kn,Grensstation,780,,780,780__,Venlo Grens - Keulen (D),Kn-Vlgr,Kaldenkirchen (D) - Venlo Grens ,17.649582,"17,649582",-0.071662,"-0,071662",0,211842,371214,51.3273059419416,6.20273527833093
001,591,Simpelveld Grens,Spvg,Grens Dienstregelpun,068,,68,068__,Simpelveld Grens - Simpelveld,Vet-Mtn,Verschau (D) - Maastricht Noord ,8.469182,"8,469182",75.524609,"75,524609",0,199924,314008,50.8141920549363,6.02459554940151
001,592,Zevenaar grens,Zvg,Grens Dienstregelpun,039,,39,039__,Zevenaar - Zevenaar Grens,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,111.027673,"111,027673",0.353333,"0,353333",0,206646,435018,51.9012695719737,6.13762751889316
001,593,Weener (D),Wr,Grensstation,775,,775,775__,Nieuweschans Grens - Weener (D),Nscg-Wr,Nieuweschans Grens - Weener (D) ,8.029989,"8,029989",-107.144041,"-107,144041",0,285689,576882,53.162692917603,7.34134956258777
