Nr.;In dd;Indiener(s);Partij;Organisatieonderdeel;Onderwerp ;Portefeuillehouder;Beleidsveld;
171;3-sep;Raadsleden Oosters, Van der Zweth, Meerding, Wijmenga, Van Waveren, Bakker;Student & Starter, PvdA, VVD, ChristenUnie, CDA, D66;Ruimte;Wat is de toekomst van het roeien in Utrecht?;Van Hooijdonk;Mobiliteit;
172;4-sep;Raadsleden Van der Zweth, Schipper;PvdA, SP;Ruimte;Bedrijvigheid aan het Smaragdplein;Verschuure;Ruimtelijke Ontwikkeling;
173;5-sep;Raadslid Bijsterbosch;D66;Ruimte;Albert Schweitzer-orgel: geef terug;Klein;Erfgoed;
174;9-sep;Raadslid Van Deún;PVV;Ruimte;(a)sociale woningbouwcorporaties ;Diepeveen;Wonen;
175;9-sep;Raadslid Van Deún;PVV;MO;Kwetsbare kinderen verdienen een plek in de bus ;Klein;Onderwijs;
176;11-sep;Raadsleden Gilissen, Wijmenga, Dekker-Abdulaziz;VVD, ChristenUnie, D66;Ruimte;Kruising Rijnkennemerlaan;Van Hooijdonk;Mobiliteit;
177;11-sep;Raadslid Van Waveren;CDA;Ruimte;Energietransitie gebouwde omgeving;Van Hooijdonk;Energie;
178;12-sep;Raadsleden Van Waveren, Gilissen, Van der Zweth;CDA, VVD, PvdA;Ruimte;Spijbelen bij bestuursvergaderingen? ;Van Hooijdonk;Groen;
179;12-sep;Raadslid Van Dun;D66;MO;Onconventionele Maatwerk Oplossing (OMO): wat heeft het opgelost?;Van Ooijen;Jeugd en Jeugdzorg;
180;12-sep;Raadslid Van Corler;GroenLinks;MO;Leerlingenvervoer;Klein;Onderwijs;
181;13-sep;Raadslid Weistra, Schilderman;GroenLinks, D66;Ruimte;Ook in Utrecht minder ongelukken met snorfietsers?;Van Hooijdonk;Mobiliteit;
182;13-sep;Raadsleden De Pagter, Van der Zweth, Van Waveren, Van Heuven, El Abassi, Homan, Schipper, Van Deún, Bos;VVD, PvdA, CDA, Partij voor de Dieren, DENK, Student & Starter, SP, PVV, Stadsbelang Utrecht;Ruimte;Uitstel Uithoflijn;Van Hooijdonk;Mobiliteit;
183;15-sep;Raadslid Van der Zweth;PvdA;BCS;Vervolgvragen minimumloon €14;Voortman;Personeel en Organisatie;
184;17-sep;Raadslid Van Deún;PVV;Ruimte;Problemen met remmen trams CAF;Van Hooijdonk;Mobiliteit;
185;18-sep;Raadslid Van der Heijden;GroenLinks;MO;Oeps vergeten te eten;Van Ooijen;Maatschappelijke Ondersteuning;
186;18-sep;Raadslid Van Waveren;CDA;Veiligheid;Eindeloos wachten op uitkomst handhavingsacties;Burgemeester;Openbare Orde en Veiligheid;
187;18-sep;Raadsleden Dekker-Abdulaziz, Ferket, Zwinkels;D66, CDA;Ruimte;Zorgen minister BZK en Tweede Kamerleden over het aantal te bouwen woningen in Utrecht;Verschuure;Ruimtelijke Ontwikkeling;
188;19-sep;Raadslid Assen;PvdA;MO;Thuiszorg;Van Ooijen;Maatschappelijke Ondersteuning;
189;19-sep;Raadsleden Bos, Van Deún;Stadsbelang Utrecht, PVV;MO;Kinderen islamitische scholen vervreemden van Nederlandse maatschappij;Klein;Onderwijs;
190;19-sep;Raadsleden Van der Heijden, Bakker, Assen, Oosters;GroenLinks, D66, PvdA, Student & Starter;Volksgezondheid;Een FRITS voor Jellinek;Everhardt;Volksgezondheid;
191;23-sep;Raadsleden Gilissen, De Pagter, Rajkowski;VVD;VTH;Scanauto's, privacy en veiligheid;Van Hooijdonk;Mobiliteit;
192;23-sep;Raadsleden Gilissen, Van der Zweth, Van Waveren, Oosters, Schipper, Bos, Sungur, Van Déun, Van Esch;VVD, PvdA, CDA, Student & Starter, SP, Stadsbelang Utrecht, DENK, PVV, Partij voor de Dieren;BCS;Blunderen met de begroting;Klein;Financiën;
193;23-sep;Raadslid Van Esch;Partij voor de Dieren;Ruimte;Stand van zaken landgoederen;Van Hooijdonk;Groen;
194;24-sep;Raadslid Van Dalen;VVD;SB;Tijd voor schone parken;Diepeveen;Openbare Ruimte;
195;24-sep;Raadsleden Bakker, Dekker-Abdulaziz, Homan;D66, Student & Starter;Ruimte;Nieuws over huisvesting Universiteit Utrecht ;Verschuure;Ruimtelijke Ontwikkeling;
196;25-sep;Raadsleden Van Waveren, Meerding, Wiegant, Bakker, Kleinrensink, Bos, Van der Zweth;CDA, VVD, SP, D66, GroenLinks, Stadsbelang Utrecht, PvdA;MO;Verdwijnen Atletiekbaan Amaliapark;Van Ooijen;Sport;
197;30-sep;Raadslid Bakker;D66;MO;VoetbalTV: big brother is watching you?;Van Ooijen;Sport;
198;30-sep;Raadslid Van Deún;PVV;Volksgezondheid;Betutteling op de Uithof;Voortman;Volksgezondheid;
199;1-okt;Raadsleden Ferket, Dekker-Abdulaziz;D66;Ruimte;Winkelen in Leidsche Rijn Centrum (2);Verschuure;Leidsche Rijn;
200;2-okt;Raadslid Van Dalen;VVD;SB;Stankoverlast Ondergronds Afvalcontainers;Verschuure;Circulaire Economie;
201;3-okt;Raadsleden Gilissen, Van der Zweth, Van Waveren, Oosters, Schipper, Bos, Sungur, Van Déun, Van Esch;VVD, PvdA, CDA, Student & Starter, SP, Stadsbelang Utrecht, DENK, PVV, Partij voor de Dieren;BCS;Blunderen met de begroting deel 2;Klein;Financiën;
202;4-okt;Raadsleden Zwinkels, Koning, Assen, Meerding;CDA, D66, PvdA, VVD;Ruimte;Rooftop restaurant in Utrecht?;Verschuure;Economische Zaken;
203;7-okt;Raadslid Podt;D66;Werk en Inkomen;Meldpunt Bijstandsfraude;Voortman;Werk en Inkomen ;
204;7-okt;Raadsleden Van Heuven, Isik;Partij voor de Dieren, PvdA;Volksgezondheid;Risico's 5G;Everhardt;Volksgezondheid;
205;7-okt;Raadslid Deldjou Fard;GroenLinks;Wijken;Binnenstad: levendig én leefbaar;Klein;Wijk Binnenstad;
206;8-okt;Raadsleden Weistra, Schers;GroenLinks;Ruimte;Toegankelijke ruimte voor iedereen, ook ten zuiden van de stationsstalling;Klein;Stationsgebied;
207;8-okt;Raadsleden Van Heuven, Bos, Heijne;Partij voor de Dieren, Stadsbelang Utrecht, GroenLinks;Ruimte;Pelletkachel Kromhoutkazerne;Voortman;Milieu en Emissieloos Vervoer;
208;8-okt;Raadsleden Zwinkels, Sasbrink;CDA, Partij voor de Dieren;Ruimte;Groen kun je samen doen;Van Hooijdonk;Groen;
209;9-okt;Raadsleden Roodenburg, Schilderman;D66;Ruimte;Een groeiende rivier aan auto's op de Rivierkom;Van Hooijdonk;Mobiliteit;
210;9-okt;Raadslid Zwanenberg;GroenLinks;Ruimte;Tunnels;Diepeveen;Openbare Ruimte;
211;9-okt;Raadsleden Van der Zweth, Streefland-Driesprong, Kleinrensink, Van Waveren;PvdA, ChristenUnie, GroenLinks, CDA;Werk en Inkomen;Vervolgvragen Banenafspraak;Voortman;Werk en Inkomen ;
212;10-okt;Raadsleden De Pagter, Van Deún, Isik;VVD, PVV, PvdA;Ruimte;Veilige Heldammersingel;Van Hooijdonk;Mobiliteit;
213;10-okt;Raadslid Van Heuven;Partij voor de Dieren;BCS;Inkoop biologisch groen (n.a.v. het duurzaamheidsverslag);Klein;Financiën;
214;10-okt;Raadslid Van Deún;PVV;VTH;Verdachte vloerconstructies in de stad;Verschuure;Ruimtelijke Ontwikkeling;
215;15-okt;Raadsleden De Pagter, Schilderman, Wijmenga;VVD, D66, ChristenUnie;Ruimte;Cicerolaan;Van Hooijdonk;Mobiliteit;
216;16-okt;Raadslid Van Deún;PVV;Ruimte;Maliebaan, een vervolg;Van Hooijdonk;Mobiliteit;
217;17-okt;Raadslid Wiegant;SP;MO;Extra budget jeugdzorg;Van Ooijen;Jeugd en Jeugdzorg;
218;17-okt;Raadsleden Streefland-Driesprong, Podt, Van der Heijden, Assen;ChristenUnie, D66, GroenLinks, PvdA;MO;Huisvesting en zorg Daklozen(opvang);Van Ooijen;Maatschappelijke Ondersteuning;
219;17-okt;Raadsleden Isik, Van Heuven, Van Waveren;PvdA, Partij voor de Dieren, CDA;SB;Plasticinzameling sportverenigingen;Verschuure;Circulaire Economie;
220;21-okt;Raadslid van Dalen;VVD;SB;GFT afvalinzameling deel 2;Verschuure;Circulaire Economie;
221;21-okt;Raadslid van Deún;PVV;Publieksdienstverlening;Meldingen maken, heeft dat wel zin?;Voortman;Publieksdienstverlening;
222;24-okt;Raadsleden Van Corler, Meerding;GroenLinks, VVD;MO;Uitbreiding scholen Oog in Al;Klein;Onderwijs;
223;25-okt;Raadsleden Podt, Van der Zweth, Sungur, Oosters, Zwinkels, Streefland-Driesprong, Schers;D66, PvdA, DENK, Student & Starter, CDA, ChristenUnie, GroenLinks;BCS;Me too - two;Voortman;Personeel en Organisatie;
224;28-okt;Raadsleden Rajkowski, Wiegant;VVD, SP;Veiligheid;Bescherm de Utrechtse bedelaars en onze binnenstad;Burgemeester;Openbare Orde en Veiligheid;
225;29-okt;Raadsleden Saiah, Koning;D66;MO;Meer zonnepanelen op schooldaken!;Klein;Onderwijs;
226;29-okt;Raadsleden Van Waveren, Schilderman, Schipper;CDA, D66, SP;Ruimte;Verder met de 't Goylaan;Van Hooijdonk;Mobiliteit;
227;29-okt;Raadslid Van Dalen;VVD;SB;Schone grachten zonder plastic;Diepeveen;Markten en Havens;
228;30-okt;Raadsleden Van der Zweth, Assen;PvdA;Werk en Inkomen;Extra investeren in gezinnen;Voortman;Werk en Inkomen ;
229;30-okt;Raadsleden Assen, Van Corler, Streefland-Driesprong, Wiegant, Gilissen, Bos, Saiah;PvdA, GroenLinks, ChristenUnie, SP, VVD, Stadsbeland Utrecht, D66;MO;Tekorten in de Jeudgzorg;Van Ooijen;Jeugd en Jeugdzorg;
230;31-okt;Raadsleden Kleinrensink, Van der Heijden, Van der Zweth;GroenLinks, PvdA;Werk en Inkomen;Eigen Kracht;Voortman;Werk en Inkomen ;
231;4-nov;Raadsleden Assen, Wiegant;PvdA, SP;MO;Vervolgvragen Hoge winsten zorgbedrijven;Van Ooijen;Maatschappelijke Ondersteuning;
232;5-nov;Raadsleden Zwinkels, Sungur, Ferket;CDA, DENK, D66;BCS;Geef kleine ondernemers een kans;Klein;Financiën;
233;5-nov;Raadsleden Zwinkels, Dekker-Abdulaziz, Ferket;CDA, D66;SB;De Markt;Diepeveen;Markten en Havens;
234;6-nov;Raadsleden Dekker-Abdulaziz, Van Waveren, Schipper, De Koning;D66, CDA, SP, GroenLinks;Ruimte;Plan de Mix;Diepeveen;Wonen;
235;6-nov;Raadslid Bijsterbosch;D66;Culturele Zaken;Projectsubsidies cultuur: waarom dat plafond?;Klein;Cultuur;
236;7-nov;Raadslid Bos;Stadsbelang Utrecht;MO;SVA Papendorp, schandplek in sportief Utrecht?;Van Ooijen;Sport;
237;7-nov;Raadsleden Rajkowski, Meerding;VVD;Veiligheid;Bescherm onze sportclubs tegen criminelen;Burgemeester;Openbare Orde en Veiligheid;
238;7-nov;Raadslid Zwinkels;CDA;VTH;Digitale reclameborden;Diepeveen;Openbare Ruimte;
239;7-nov;Raadsleden Kleinrensink, Oosters, Podt;GroenLinks, Student & Starter, D66;Volksgezondheid;Menstruatie-armoede;Voortman;Volksgezondheid;
240;8-nov;Raadsleden De Koning, Isik;GroenLinks, PvdA;Ruimte;Sociale huur in Zijdebalen;Diepeveen;Wonen;
241;11-nov;Raadslid Sasbrink;Partij voor de Dieren;SB;Onbegrijpelijke bomenkap Mariaplaats;Diepeveen;Openbare Ruimte;
242;11-nov;Raadslid Van Deún;PVV;SB;Strooizout en PFAS;Diepeveen;Openbare Ruimte;
243;12-nov;Raadsleden Van der Zweth, De Pagter, Schipper, Van Waveren, Koning, Virginia, Van Deún, Sasbrink, Oosters, Wijmenga, El Abassi, Bos;PvdA, VVD, SP, CDA, D66, GroenLinks, PVV, Partij voor de Dieren, Student & Starter, ChristenUnie, DENK, Stadsbelang Utrecht;Ruimte;Brandbrief bewoners Croeselaan/Veemarktstraat;Klein;Stationsgebied;
244;15-nov;Raadsleden Van der Heijden, Virginia, Zwinkels;GroenLinks, CDA;MO;Sociale eenzaamheid & openbare ruimte Leidsche Rijn;Van Ooijen;Welzijn;
245;18-nov;Raadslid Van der Heijden;GroenLinks;MO;Vrouwenopvang;Van Ooijen;Maatschappelijke Ondersteuning;
246;20-nov;Raadsleden Koning, Saiah, Bijsterbosch, Zwinkels, Van Heuven;D66, CDA, Partij voor de Dieren;Ruimte;Zonnepanelen, ook op monumentale scholen!;Klein;Erfgoed;
247;20-nov;Raadslid Homan;Student & Starter;Ruimte;Politiecontrole op fietsers bij kruispunt Maliebaan;Van Hooijdonk;Mobiliteit;
248;22-nov;Raadsleden De Koning, Zwinkels, Van Dun;GroenLinks, CDA, D66;Ruimte;Douwe Egberts, help ons bij het terugdringen van woningnood;Verschuure;Ruimtelijke Ontwikkeling;
249;22-nov;Raadslid De Pagter;VVD;Ruimte;Belabberde enquête Mobiliteitsplan;Van Hooijdonk;Mobiliteit;
250;25-nov;Raadsleden Van Dalen, Gilissen, Assen, Isik;VVD, PvdA;VTH;Stankoverlast van de waterzuivering in Overvecht;Eerenberg;Milieu en Emissieloos Vervoer;
251;25-nov;Raadsleden Podt, Saiah, Van Dun;D66;Veiligheid;Help de hulpverlener!;Burgemeester;Openbare Orde en Veiligheid;
252;25-nov;Raadsleden Dekker-Abdulaziz, Van Dun, De Koning, Zwinkels;D66, GroenLinks, CDA;Ruimte;Renovatie Kanaleneiland-Zuid;Diepeveen;Wonen;
253;26-nov;Raadslid Van Deún;PVV;BCS;Orange The World;Burgemeester;Bestuurlijke Zaken;
254;26-nov;Raadslid Roodenburg;D66;Veiligheid;Utrechtse druk op de politie- en handhavingscapaciteit;Burgemeester;Openbare Orde en Veiligheid;
255;27-nov;Raadsleden Virginia, De Koning;GroenLinks;Ruimte;Compensatienatuur USP;Verschuure;Ruimtelijke Ontwikkeling;
256;28-nov;Raadsleden Van Waveren, Meerding, De Pagter, Assen, Isik;CDA, VVD, PvdA;Ruimte;Verkeer en school in Transwijk;Van Hooijdonk;Mobiliteit;
257;3-dec;Raadslid Bos;Stadsbelang Utrecht;Veiligheid;Keuzes maken in politiewerk en in evementen;Burgemeester;Openbare Orde en Veiligheid;
258;4-dec;Raadsleden De Koning, Heijne, Koning;GroenLinks, D66;BCS;Belastingvrijstelling voor initiatieven voor duurzame energie;Klein;Financiën;
259;5-dec;Raadsleden Assen, Streefland-Driesprong, Van Dun, Dekkers, Gillissen, Wiegant;PvdA, ChristenUnie, D66, GroenLinks, VVD, SP;MO;Wat kunnen we doen om situaties zoals in de zorgflat De Keizershof te voorkomen?;Van Ooijen;Maatschappelijke Ondersteuning;
260;8-dec;Raadslid Sungur;DENK;BCS;Gebruik van algoritmen;Voortman;Personeel en Organisatie;
261;9-dec;Raadslid Van Deún;PVV;Ruimte;Gebruik deelauto's in Utrecht;Van Hooijdonk;Mobiliteit;
262;10-dec;Raadslid Podt;D66;MO;Overdrachtsgesprekken COA en gemeente;Van Ooijen;Asiel en Integratie;
263;10-dec;Raadslid Schipper;SP;Ruimte;'Groot onderhoud' Rooseveltlaan;Diepeveen;Wonen;
264;10-dec;Raadsleden Zwinkels, Sasbrink, Te Hoonte;CDA, Partij voor de Dieren, VVD;SB;Kaders voor gemeentelijke aanbesteding maaibeheer;Diepeveen;Openbare Ruimte;
265;12-dec;Raadslid Bos;Stadsbelang Utrecht;MO;Vervolgvragen SVA Papendorp (voorheen Magreb 90), schandvlek in sportief Utrecht?;Van Ooijen;Sport;
266;12-dec;Raadsleden Van Corler, Van der Zweth, Assen;GroenLinks, PvdA;MO;Stop onderwijssubsidie bij te hoge ouderbijdrage;Klein;Onderwijs;
267;12-dec;Raadsleden Van der Zweth, Streefland-Driesprong;PvdA, ChristenUnie;Werk en Inkomen;Jeugdwerkloosheid;Voortman;Werk en Inkomen;
268;13-dec;Raadslid Zwinkels;CDA;VTH;Vervolgvragen Digitale reclameborden;Diepeveen;Openbare Ruimte;
269;13-dec;Raadsleden Van Waveren, Zwinkels;CDA;Ruimte;Inspiratie uit Antwerpen;Verschuure;Ruimtelijke Ontwikkeling;
270;13-dec;Raadslid Bos;Stadsbelang Utrecht;Ruimte;Vonnis huurconflict De Utrechtse Bazaar versus de gemeente Utrecht;Verschuure;Leidsche Rijn;
271;13-dec;Raadslid Van Deún;PVV;Ruimte;Het Uithoflijndebacle gaat weer verder…;Van Hooijdonk;Mobiliteit;
272;13-dec;Raadslid Van Waveren;CDA;Ruimte;Fietscoaches en andere campagnes;Van Hooijdonk;Mobiliteit;
273;16-dec;Raadslid Wijmenga;ChristenUnie;MO;Voldoende ruimte voor Utrechters met zorgvraag?;Van Ooijen;Maatschappelijke Ondersteuning;
274;17-dec;Raadsleden Sasbrink, Assen;Partij voor de Dieren, PvdA;CZ;Blijft Utrecht Marketing wel voor de cultuur?;Klein;Cultuur;
275;20-dec;Raadslid Van Heuven;Partij voor de Dieren;SB;Grondspots bomen en lichtvervuiling;Diepeveen;Openbare Ruimte;
276;23-dec;Raadslid Van Waveren;CDA;MO;Koersdocument leefbare stad en Maatschappelijke voorzieningen;Van Ooijen;Maatschappelijke Ondersteuning;
277;24-dec;Raadslid Van Dalen;VVD;Ruimte;Ruimte voor laadpalen voor elektrische motoren;Eerenberg;Milieu en Emissieloos Vervoer;
278;29-dec;Raadslid Van Waveren;CDA;MO;BOS-tarief sportverenigingen;Van Ooijen;Sport;
279;29-dec;Raadslid Van Waveren;CDA;MO;Wachtlijsten voor Hulp bij Huishouden;Van Ooijen;Maatschappelijke Ondersteuning;
280;29-dec;Raadslid Van Waveren;CDA;BCS;Handhaving subsidievoorwaarden;Klein;Financiën;
281;30-dec;Raadslid Van Waveren;CDA;Werk en Inkomen ;Inzicht in werking re-integratietrajecten;Voortman;Werk en Inkomen ;
282;30-dec;Raadslid Van Waveren;CDA;Ruimte;Proces Masterplan Jaarbeurs;Eerenberg;Stationsgebied;
283;30-dec;Raadslid Van Dalen;VVD;Ruimte;Ruimte voor laadpalen bij groeiend aantal elektrische auto's;Eerenberg;Milieu en Emissieloos Vervoer;
