Leveranciersnaam;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
JBM Koeriers B.V.;;;;;4;;;;;;4
Jimmy's Broodje;;1;;;;;;;;;1
JOH ENSCHEDE AMSTERDAM;;;;;;1;;;;;1
JONG EUROPE B.V.;;;;;;1;;;2;;2
Jongerius-Seghwaert B.V.;;1;;;;;;;;;1
Joppe Put Photography & Film;;;;;;;;1;;;1
Kamera Express Den Haag B.V.;;;;;;;;;1;;1
Kardex Systemen B.V.;;;;;;;;1;;;1
Karisma B.V.;;;;;1;;;;;;1
Kasteel de Vanenburg B.V.;;1;;;;;;;;;1
Kasteel Duivenvoorde;;1;;;;;;;;;1
Kasteel Oud-Poelgeest B.V.;;2;;;;;;;;;2
KB consult;;;1;;;;;;;;1
KIM Plus Delta B.V.;;;;;;;;;2;;2
Klarna B.V.;;;;;;;;;1;;1
Koen Ketel Hoveniers;;;;;;;;1;;;1
KOENEN INTERN TRANSPORT B.V.;;;;;;;;1;;;1
Koffiesnel.nl.;;1;;;;;;;;;1
Koning & Hartman B.V.;;;2;;;;;;;;2
Koninklijk Instituut van Ingenieurs;;4;;;;;;;;;4
KONINKLIJKE POSTNL;;;;;1;;;;;;1
Koninklijke van der Most B.V.;;;;;;;;;4;;4
Kookkunsten;;1;;;;;;;;;1
Kools & Ravenhorst Brandkasten B.V.;;;;;;;;1;;;1
KOP BEVEILIGING;;;1;;;;;;;;1
Korte Poten 1-3 B.V.;;1;;;;;;;;;1
KSG INCOMPANY;;;1;;;;;;;;1
Kuijpers t.h.o.d.n. Run2Day Den Haag;;;;;;1;;;;;1
Kumpulan ReÃ¼nie- en Congrescentrum;;1;;;;;;;;;1
Kunst.nl B.V.;;;;;;;;2;;;2
La Lanterna;;1;;;;;;;;;1
Lab-44;;1;;;;;;;;;1
Landgoed Duin & Kruidberg B.V.;;1;;;;;;;;;1
Larik's Hoeve;;1;;;;;;;;;1
Lasaulec BV;;;;;;;;;2;;2
Leaseplan Nederland N.V.;;1;;;;;;;;1;1
Leen Bakker Nederland B.V.;;;;;;;;1;;;1
Lingewaard Incasso;;;;;;;;;;1;1
Linguist Link Europe;;;;;;1;;;;;1
Linkeroever;;1;;;;;;;;;1
Linnenatwork B.V.;;;;;;;;;1;;1
Liz Events & Communicatie;;1;;;;;;;;;1
LM+MC BV EXPLOITATIE FOKKER TERMINAL;;;;;;;;;1;;1
LUDEN DEN HAAG;;1;1;;;;;;;;1
LUNA CATERING & ORGANISATIE;;1;;;;;;;;;1
Lunchgelegenheid aan de Tafel;;1;;;;;;;;;1
Lyreco;;;;;;;;;2;;2
LYRECO NEDERLAND;;;;;;;;;2;;2
Lyreco Nederland B.V.;;;;;;;;;1;;1
Maasdam Groep B.V.;;;;;;;;4;;;4
Maasmond B.V.;;;;;;;;2;;;2
Madestein Restaurant & Events B.V.;;1;;;;;;;;;1
Madurodam B.V.;;;;;;;;1;;;1
Mainpress B.V.;;;;;;;;;3;;3
Maison van den Boer B.V.;;1;;;;;;;;;1
Management Drives Holding B.V.;;;;;;;;;1;;1
MANAGEMENTBOEK NL;;;;;;;;;1;;1
MANUTAN;;1;;;;1;;1;1;;1
Manutan B.V.;;1;;1;;;;1;2;;2
Martini Budget Hotel;;1;;;;;;;;;1
Maxilia B.V.;;;;;;1;;;;;1
M-consultants B.V.;2;;;;;;;;;;2
MDX communicatie;;;;;;1;;;;;1
Meet & Connect 's-Hertogenbosch B.V.;;1;;;;;;;;;1
Melitta Professional Coff. Sol. Benelux B.V.;;1;;;;;;;;;1
Mercateo Nederland B.V.;;;;;;;;;1;;1
METALET B.V.;;;;;;;;;1;;1
Mettler-Toledo B.V.;;;;;1;;;;;;1
Miko Koffie Service B.V.;;1;;;;;;;;;1
MODULI PRINT;;;;;;1;;;1;;1
Moduli Print B.V.;;;;;;2;;;1;;2
Moesman's Antieke/Oude/Nwe. Stijl Meubelmak.;;;;;1;;;2;;;2
More Balls Than Most B.V.;;1;;;;;;;;;1
Mosselman Cafetaria;;1;;;;;;;;;1
Multi-Post Mail Systems B.V.;;;;;1;;;;;;1
Munckhof Regie;;;;;1;;;;;;1
Natuurmuseum Brabant Stichting;;1;;;;;;;;;1
Nauta Security Storage B.V.;;;3;;;;;1;;;3
Nederlandse Stichting voor Verlichtingskunde;;;;;;1;;;;;1
Neopost;;;;;4;;;;1;;4
Nespresso Nederland B.V.;;1;;;;;;;;;1
Network Innovations;;;;;;;;;1;;1
Neuland GmBH;;;;;;;;;1;;1
Neuland Nederland;;;;;;;;;1;;1
NEVI-Purspective B.V.;;1;;;;;;;;;1
NEW BABYLON MEETING CENTER B.V.;;4;;;;;;;;;4
New York Pizza Delivery Zoetermeer I;;1;;;;;;;;;1
NH Barbizon Palace;;1;;;;;;;;;1
NH Collection Barbizon Palace;;1;;;;;;;;;1
NH Den Haag;;2;;;;;;;;;2
NIB Nationaal Incasso Bureau;;;;;;;;;;1;1
NIBHV B.V.;;;1;;;;;;;;1
Nieuw Engelhard;;1;;;;;;;;;1
Nieuwe of Litteraire Soci�teit De Witte;;1;;;;;;;;;1
Norisk Keymanagement B.V.;;;1;;;;;;;;1
Nouvelles Images BV;;;;;;;;1;;;1
Novon Benelux B.V.;;;;;;;;1;;;1
NSD International NL B.V.;;;;;;;;;1;;1
OASIS DATA EN DOCUMENT MANAGEMENT NETHER;;;;;;5;;;;;5
OFFICE DEPOT;;1;;;;;;1;1;;1
Office Depot B.V.;;;;;;;;;2;;2
Onlinestempels.nl;;;;;;;;;1;;1
OPTIMA FORMA;;;;;;;;1;;;1
Optima Forma B.V.;;;;;;;;1;;;1
Ottenhome B.V.;;1;;;;;;;;;1
Oudaen B.V.;;;;;;;;;1;;1
P.&P. Regisseurs;;1;;;;;;;;;1
