Vri;Detector;Long;Lat;Datum;Uur;Waarde
1;1.2;5,144293271;52,09557255;18-9-2015;7;120
1;1.2;5,144293271;52,09557255;18-9-2015;8;157
1;1.2;5,144293271;52,09557255;18-9-2015;9;126
1;1.2;5,144293271;52,09557255;18-9-2015;10;108
1;1.2;5,144293271;52,09557255;18-9-2015;11;107
1;1.2;5,144293271;52,09557255;18-9-2015;12;161
1;1.2;5,144293271;52,09557255;18-9-2015;13;128
1;1.2;5,144293271;52,09557255;18-9-2015;14;152
1;1.2;5,144293271;52,09557255;18-9-2015;15;181
1;1.2;5,144293271;52,09557255;18-9-2015;16;235
1;1.2;5,144293271;52,09557255;18-9-2015;17;232
1;1.2;5,144293271;52,09557255;18-9-2015;18;159
1;1.2;5,144293271;52,09557255;18-9-2015;19;77
1;1.2;5,144293271;52,09557255;18-9-2015;20;59
1;1.2;5,144293271;52,09557255;18-9-2015;21;59
1;1.2;5,144293271;52,09557255;18-9-2015;22;41
1;1.2;5,144293271;52,09557255;18-9-2015;23;30
1;1.2;5,144293271;52,09557255;19-9-2015;0;22
1;1.2;5,144293271;52,09557255;19-9-2015;1;0
1;1.2;5,144293271;52,09557255;19-9-2015;2;20
1;1.2;5,144293271;52,09557255;19-9-2015;3;14
1;1.2;5,144293271;52,09557255;19-9-2015;4;3
1;1.2;5,144293271;52,09557255;19-9-2015;5;3
1;1.2;5,144293271;52,09557255;19-9-2015;6;17
1;1.2;5,144293271;52,09557255;19-9-2015;7;22
1;1.2;5,144293271;52,09557255;19-9-2015;8;55
1;1.2;5,144293271;52,09557255;19-9-2015;9;50
1;1.2;5,144293271;52,09557255;19-9-2015;10;90
1;1.2;5,144293271;52,09557255;19-9-2015;11;111
1;1.2;5,144293271;52,09557255;19-9-2015;12;125
1;1.2;5,144293271;52,09557255;19-9-2015;13;124
1;1.2;5,144293271;52,09557255;19-9-2015;14;106
1;1.2;5,144293271;52,09557255;19-9-2015;15;151
1;1.2;5,144293271;52,09557255;19-9-2015;16;107
1;1.2;5,144293271;52,09557255;19-9-2015;17;115
1;1.2;5,144293271;52,09557255;19-9-2015;18;67
1;1.2;5,144293271;52,09557255;19-9-2015;19;65
1;1.2;5,144293271;52,09557255;19-9-2015;20;51
1;1.2;5,144293271;52,09557255;19-9-2015;21;39
1;1.2;5,144293271;52,09557255;19-9-2015;22;38
1;1.2;5,144293271;52,09557255;19-9-2015;23;24
1;1.2;5,144293271;52,09557255;20-9-2015;0;7
1;1.2;5,144293271;52,09557255;20-9-2015;1;4
1;1.2;5,144293271;52,09557255;20-9-2015;2;6
1;1.2;5,144293271;52,09557255;20-9-2015;3;7
1;1.2;5,144293271;52,09557255;20-9-2015;4;8
1;1.2;5,144293271;52,09557255;20-9-2015;5;10
1;1.2;5,144293271;52,09557255;20-9-2015;6;3
1;1.2;5,144293271;52,09557255;20-9-2015;8;10
1;1.2;5,144293271;52,09557255;20-9-2015;9;26
1;1.2;5,144293271;52,09557255;20-9-2015;10;56
1;1.2;5,144293271;52,09557255;20-9-2015;11;83
1;1.2;5,144293271;52,09557255;20-9-2015;12;84
1;1.2;5,144293271;52,09557255;20-9-2015;13;114
1;1.2;5,144293271;52,09557255;20-9-2015;14;95
1;1.2;5,144293271;52,09557255;20-9-2015;15;100
1;1.2;5,144293271;52,09557255;20-9-2015;16;97
1;1.2;5,144293271;52,09557255;20-9-2015;17;107
1;1.2;5,144293271;52,09557255;20-9-2015;18;60
1;1.2;5,144293271;52,09557255;20-9-2015;19;58
1;1.2;5,144293271;52,09557255;20-9-2015;20;52
1;1.2;5,144293271;52,09557255;20-9-2015;21;47
1;1.2;5,144293271;52,09557255;20-9-2015;22;30
1;1.2;5,144293271;52,09557255;20-9-2015;23;17
1;1.2;5,144293271;52,09557255;21-9-2015;0;7
1;1.2;5,144293271;52,09557255;21-9-2015;1;0
1;1.2;5,144293271;52,09557255;21-9-2015;2;0
1;1.2;5,144293271;52,09557255;21-9-2015;3;0
1;1.2;5,144293271;52,09557255;21-9-2015;4;0
1;1.2;5,144293271;52,09557255;21-9-2015;5;0
1;1.2;5,144293271;52,09557255;21-9-2015;6;0
1;1.2;5,144293271;52,09557255;23-9-2015;0;8
1;1.2;5,144293271;52,09557255;23-9-2015;1;4
1;1.2;5,144293271;52,09557255;23-9-2015;2;4
1;1.2;5,144293271;52,09557255;23-9-2015;3;4
1;1.2;5,144293271;52,09557255;23-9-2015;4;5
1;1.2;5,144293271;52,09557255;23-9-2015;5;27
1;1.2;5,144293271;52,09557255;23-9-2015;6;102
1;1.2;5,144293271;52,09557255;23-9-2015;7;155
1;1.2;5,144293271;52,09557255;23-9-2015;8;214
1;1.2;5,144293271;52,09557255;23-9-2015;9;204
1;1.2;5,144293271;52,09557255;23-9-2015;10;129
1;1.2;5,144293271;52,09557255;23-9-2015;11;106
1;1.2;5,144293271;52,09557255;23-9-2015;12;120
1;1.2;5,144293271;52,09557255;23-9-2015;13;122
1;1.2;5,144293271;52,09557255;23-9-2015;14;135
1;1.2;5,144293271;52,09557255;23-9-2015;15;146
1;1.2;5,144293271;52,09557255;23-9-2015;16;250
1;1.2;5,144293271;52,09557255;23-9-2015;17;304
1;1.2;5,144293271;52,09557255;23-9-2015;18;166
1;1.2;5,144293271;52,09557255;23-9-2015;19;98
1;1.2;5,144293271;52,09557255;23-9-2015;20;56
1;1.2;5,144293271;52,09557255;23-9-2015;21;70
1;1.2;5,144293271;52,09557255;23-9-2015;22;46
1;1.2;5,144293271;52,09557255;23-9-2015;23;30
1;1.2;5,144293271;52,09557255;24-9-2015;0;16
1;1.2;5,144293271;52,09557255;24-9-2015;1;0
1;1.2;5,144293271;52,09557255;24-9-2015;2;3
1;1.2;5,144293271;52,09557255;24-9-2015;3;4
1;1.2;5,144293271;52,09557255;24-9-2015;4;5
1;1.2;5,144293271;52,09557255;24-9-2015;5;27
1;1.2;5,144293271;52,09557255;24-9-2015;6;102
1;1.2;5,144293271;52,09557255;24-9-2015;7;155
1;1.2;5,144293271;52,09557255;24-9-2015;8;214
1;1.2;5,144293271;52,09557255;24-9-2015;9;175
1;1.2;5,144293271;52,09557255;24-9-2015;10;118
1;1.2;5,144293271;52,09557255;24-9-2015;11;104
1;1.2;5,144293271;52,09557255;24-9-2015;12;120
1;1.2;5,144293271;52,09557255;24-9-2015;13;140
1;1.2;5,144293271;52,09557255;24-9-2015;14;154
1;1.2;5,144293271;52,09557255;24-9-2015;15;153
1;1.2;5,144293271;52,09557255;24-9-2015;16;219
1;1.2;5,144293271;52,09557255;24-9-2015;17;345
1;1.2;5,144293271;52,09557255;24-9-2015;18;243
1;1.2;5,144293271;52,09557255;24-9-2015;19;118
1;1.2;5,144293271;52,09557255;24-9-2015;20;82
1;1.2;5,144293271;52,09557255;24-9-2015;21;76
1;1.2;5,144293271;52,09557255;24-9-2015;22;51
