Waarde,Unieke paginaweergaves,Paginaweergaves,Totale tijd gespendeerd doordebezoekers (in sec),Aangeklikt in zoekresultaten,nb_hits_with_time_generation,min_time_generation,max_time_generation,Binnenkomsten,Acties na het hier in te voeren.,Totale tijd gespendeerd(in sec)nahethierintevoeren,Bounces,Unieke bezoekers (dagelijks totaal),Unieke ingangen (dagelijks totaal),Vertrekken,Unieke uitgangen (dagelijks totaal),Gem. tijd op pagina,Bounce Ratio,Exit ratio,Gem. generatie tijd,Metadata: url,Metadata: segment,
wijk-vleuten-de-meern/index,1775,2344,186247,69,1617,0.001,36.596,976,6852,508562,299,1702,927,524,504,105,31%,30%,0.621,http://www.utrecht.nl/wijk-vleuten-de-meern/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwijk-vleuten-de-meern%2F,
leidsche-rijn/actueel/index,1749,2377,226727,29,1646,0.001,27.185,837,3243,280616,386,1684,808,698,676,130,46%,40%,0.691,http://www.utrecht.nl/leidsche-rijn/actueel/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleidsche-rijn%2Factueel%2F,
startpagina/raad-college-organisatie/index,1747,2462,52388,21,1857,0.001,642.84,110,943,68399,8,1660,108,67,66,30,7%,4%,0.766,http://www.utrecht.nl/startpagina/raad-college-organisatie/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Fraad-college-organisatie%2F,
parkeren/parkeren-bezoeker/parkeergarages/index,1718,2192,106438,22,1425,0.001,17.913,896,3285,240303,244,1675,868,431,413,62,27%,25%,0.572,http://www.utrecht.nl/parkeren/parkeren-bezoeker/parkeergarages/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-bezoeker%2Fparkeergarages%2F,
startpagina/toerisme-en-vrije-tijd/index,1707,2267,47370,13,1632,0.001,7.701,97,469,25055,29,1674,93,128,125,28,30%,7%,0.464,http://www.utrecht.nl/startpagina/toerisme-en-vrije-tijd/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Ftoerisme-en-vrije-tijd%2F,
sport-in-utrecht/zwembaden/aqua-activiteiten/index,1662,2187,225086,10,1390,0.001,11.413,321,1048,88453,182,1582,274,561,507,135,57%,34%,0.66,http://www.utrecht.nl/sport-in-utrecht/zwembaden/aqua-activiteiten/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Faqua-activiteiten%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=467,1588,1911,129602,21,1312,0.003,15.174,458,2092,185142,128,1564,441,282,274,82,28%,18%,0.813,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=467,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D467,
Loket/prodcat/products/getProductDetailsAction.do?name=Verklaring omtrent het gedrag,1588,1978,218315,299,1654,0.001,186.508,709,4282,425568,193,1507,651,385,364,137,27%,24%,1.217,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Verklaring+omtrent+het+gedrag,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DVerklaring+omtrent+het+gedrag,
sport-in-utrecht/zwembaden/zwembad-de-kwakel/vrij-zwemmen/index,1578,2043,101375,8,1356,0.001,10.599,142,797,85996,39,1536,134,228,217,64,27%,14%,0.605,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-de-kwakel/vrij-zwemmen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-de-kwakel%2Fvrij-zwemmen%2F,
leidsche-rijn/index,1564,2208,132453,22,1622,0.001,16.401,867,5542,382316,240,1512,839,434,421,85,28%,28%,0.496,http://www.utrecht.nl/leidsche-rijn/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleidsche-rijn%2F,
Formulieren/flow/stateAction.do?flow=process_add_grofvuil&state=overview,1553,1732,75778,4,1344,0.021,181.548,11,44,1722,7,1543,10,46,43,49,64%,3%,1.656,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_grofvuil&state=overview,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_grofvuil%26state%3Doverview,
Formulieren/flow/stateAction.do?flow=process_add_grofvuil&state=confirmation,1544,1635,183268,5,1255,0.004,140.419,45,243,23303,33,1525,42,626,616,119,73%,41%,0.619,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_grofvuil&state=confirmation,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_grofvuil%26state%3Dconfirmation,
werken-en-leren-bij-utrecht/index,1525,1987,119553,82,1448,0.001,9.538,797,2999,239586,264,1514,791,581,576,78,33%,38%,0.473,http://www.utrecht.nl/werken-en-leren-bij-utrecht/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerken-en-leren-bij-utrecht%2F,
Loket/cases/mycases/getAllMyCasesAction.do,1511,2738,161015,22,2355,0.007,147.643,32,150,10426,13,1462,23,167,159,107,41%,11%,2.03,https://pki.utrecht.nl/Loket/cases/mycases/getAllMyCasesAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fcases%2Fmycases%2FgetAllMyCasesAction.do,
startpagina/wonen-wijken-en-veiligheid/index,1479,2191,55037,26,1634,0.001,10.715,24,152,14382,4,1450,24,66,66,37,17%,4%,0.439,http://www.utrecht.nl/startpagina/wonen-wijken-en-veiligheid/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Fwonen-wijken-en-veiligheid%2F,
sport-in-utrecht/zwembaden/zwembad-den-hommel/openingstijden-tarieven/aangepast-rooster-in-mei/index,1455,1730,296881,8,929,0.001,21.964,177,520,72114,116,1378,158,766,714,204,66%,53%,0.556,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-den-hommel/openingstijden-tarieven/aangepast-rooster-in-mei/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-den-hommel%2Fopeningstijden-tarieven%2Faangepast-rooster-in-mei%2F,
gevonden-voorwerpen/index,1452,1809,116576,72,1336,0.001,7.569,968,4067,345492,190,1402,926,315,305,80,20%,22%,0.548,http://www.utrecht.nl/gevonden-voorwerpen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgevonden-voorwerpen%2F,
utrecht-bereikbaar/index,1451,1845,165092,30,1316,0.001,8.356,797,2575,243095,328,1416,771,546,532,114,41%,38%,0.501,http://www.utrecht.nl/utrecht-bereikbaar/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Futrecht-bereikbaar%2F,
verkeersbeleid/milieuzone/subsidies-en-ontheffingen/index,1435,1908,121586,14,1462,0.001,58.961,138,849,61933,49,1404,130,319,308,85,36%,22%,0.597,http://www.utrecht.nl/verkeersbeleid/milieuzone/subsidies-en-ontheffingen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fverkeersbeleid%2Fmilieuzone%2Fsubsidies-en-ontheffingen%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=853,1406,2225,135790,50,1866,0.001,43.342,976,5883,566804,158,1293,871,245,229,97,16%,17%,0.971,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=853,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D853,
wonen-in-veemarkt/index,1389,1844,98879,11,1186,0.001,11.772,967,6235,471382,149,1338,928,259,251,71,15%,19%,0.587,http://www.utrecht.nl/wonen-in-veemarkt/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwonen-in-veemarkt%2F,
sport-in-utrecht/zwembaden/zwembad-den-hommel/openingstijden-tarieven/tarieven-zwembad-den-hommel/index,1341,1455,187695,14,900,0.002,31.619,99,370,64115,63,1287,93,515,485,140,64%,38%,0.564,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-den-hommel/openingstijden-tarieven/tarieven-zwembad-den-hommel/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-den-hommel%2Fopeningstijden-tarieven%2Ftarieven-zwembad-den-hommel%2F,
Page URL not defined,1315,1904,0,12,19,0.001,7.91,,,,,1298,,,,0,0%,0%,2.135,,,
werk-en-inkomen/hoogte-bijstandsuitkering-en-kostendelersnorm/index,1303,1675,189495,33,1355,0.001,17.071,895,2306,207114,597,1279,880,874,859,145,67%,67%,0.566,http://www.utrecht.nl/werk-en-inkomen/hoogte-bijstandsuitkering-en-kostendelersnorm/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fhoogte-bijstandsuitkering-en-kostendelersnorm%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=744,1300,1638,251738,14,1142,0.005,93.475,721,2405,264727,418,1243,678,732,695,194,58%,56%,1.117,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=744,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D744,
Loket/prodcat/products/getProductDetailsAction.do?id=392,1280,1502,82876,15,1169,0.001,86.973,148,992,81537,50,1247,135,149,147,65,34%,12%,3.463,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=392,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D392,
wmo-in-utrecht/index,1270,1710,146627,71,1384,0.001,130.879,579,4703,314234,163,1232,561,330,317,115,28%,26%,0.495,http://www.utrecht.nl/wmo-in-utrecht/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwmo-in-utrecht%2F,
werk-en-inkomen/extras-bij-laag-inkomen/index,1264,1976,189191,91,1594,0.001,15.028,234,1441,122147,93,1236,224,275,267,150,40%,22%,0.617,http://www.utrecht.nl/werk-en-inkomen/extras-bij-laag-inkomen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fextras-bij-laag-inkomen%2F,
castellum-hoge-woerd/index,1252,1726,201254,19,1154,0.001,11.619,886,3113,306165,339,1208,851,534,511,161,38%,43%,0.591,http://www.utrecht.nl/castellum-hoge-woerd/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcastellum-hoge-woerd%2F,
index.php?id=7844,1244,1614,192191,3,961,0.001,7.145,166,582,73238,86,1222,159,520,510,154,52%,42%,0.462,http://www.utrecht.nl/index.php?id=7844,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Findex.php%3Fid%3D7844,
Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=uwgegevens_personen,1223,1629,121325,,1389,0.004,53.559,32,220,29364,7,1217,32,203,203,99,22%,17%,0.702,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=uwgegevens_personen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_reactieformulier%26state%3Duwgegevens_personen,
werken-en-leren-bij-utrecht/?osadcampaign=vacatures,1214,1411,72751,1,1107,0.001,7.479,44,86,7876,16,1196,43,362,360,60,36%,30%,0.41,http://www.utrecht.nl/werken-en-leren-bij-utrecht/?osadcampaign=vacatures,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerken-en-leren-bij-utrecht%2F%3Fosadcampaign%3Dvacatures,
utrecht-fietst/fiets-weg/gemeentelijk-fietsendepot/index,1209,1706,228631,21,1161,0.001,7.412,567,1855,211772,236,1128,512,578,541,189,42%,48%,0.652,http://www.utrecht.nl/utrecht-fietst/fiets-weg/gemeentelijk-fietsendepot/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Futrecht-fietst%2Ffiets-weg%2Fgemeentelijk-fietsendepot%2F,
sport-in-utrecht/zwembaden/zwemmen-0-5-jaar/index,1207,1521,259105,26,745,0.001,11.234,405,1828,231186,204,1140,373,516,485,215,50%,43%,0.645,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwemmen-0-5-jaar/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwemmen-0-5-jaar%2F,
werk-en-inkomen/contact/index,1205,1634,148525,15,1312,0.001,11.652,305,1771,137530,128,1169,286,361,346,123,42%,30%,0.537,http://www.utrecht.nl/werk-en-inkomen/contact/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fcontact%2F,
Loket/form/view/viewPageAction.do?process=cases&name=paymentResult&forward=/process/closeWindowAction.do&result=ok,1193,1382,135455,,1200,0.002,16.421,16,57,12214,9,1189,16,595,593,114,56%,50%,0.332,https://pki.utrecht.nl/Loket/form/view/viewPageAction.do?process=cases&name=paymentResult&forward=/process/closeWindowAction.do&result=ok,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fform%2Fview%2FviewPageAction.do%3Fprocess%3Dcases%26name%3DpaymentResult%26forward%3D%2Fprocess%2FcloseWindowAction.do%26result%3Dok,
parkeren/parkeren-bezoeker/parkeergarages/parkeergarage-de-grifthoek/index,1179,1619,122089,9,1027,0.001,11.4,684,2398,226646,257,1124,645,461,437,104,38%,39%,0.566,http://www.utrecht.nl/parkeren/parkeren-bezoeker/parkeergarages/parkeergarage-de-grifthoek/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-bezoeker%2Fparkeergarages%2Fparkeergarage-de-grifthoek%2F,
Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=wat_wilt_u,1172,1617,62893,8,1446,0.001,21.133,311,3416,291245,29,1149,302,105,102,54,9%,9%,0.317,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=wat_wilt_u,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_vraagidee%26state%3Dwat_wilt_u,
Loket/prodcat/process/checkPreconditionsAction.do?name=Bewoners vergunning&processName=Aanvraag met DigiD,1159,1384,98599,2,1023,0.001,99.862,37,217,20721,10,1108,32,95,91,85,27%,8%,0.711,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Bewoners+vergunning&processName=Aanvraag+met+DigiD,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DBewoners+vergunning%26processName%3DAanvraag+met+DigiD,
sport-in-utrecht/zwembaden/zwembad-fletiomare/openingstijden-tarieven/meivakantierooster/index,1146,1342,243848,4,677,0.001,31.291,157,568,84903,96,1083,136,583,551,213,61%,51%,0.585,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-fletiomare/openingstijden-tarieven/meivakantierooster/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-fletiomare%2Fopeningstijden-tarieven%2Fmeivakantierooster%2F,
parkeren/parkeren-bewoner/wachtlijst-parkeervergunning/index,1145,1460,64465,20,1053,0.001,30.656,313,1315,75866,62,1114,296,121,119,56,20%,11%,0.587,http://www.utrecht.nl/parkeren/parkeren-bewoner/wachtlijst-parkeervergunning/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-bewoner%2Fwachtlijst-parkeervergunning%2F,
werk-en-inkomen/index,1143,1574,83872,44,1283,0.001,11.233,491,4496,305087,118,1119,471,214,204,73,24%,19%,0.565,http://www.utrecht.nl/werk-en-inkomen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2F,
bouwen-en-verbouwen/index,1121,1529,96733,35,1161,0.001,18.573,313,2425,204786,73,1085,300,169,162,86,23%,15%,0.491,http://www.utrecht.nl/bouwen-en-verbouwen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fbouwen-en-verbouwen%2F,
sport-in-utrecht/zwembaden/zwembad-de-kwakel/openingstijden-tarieven/tarieven-zwembad-de-kwakel/index,1109,1201,161886,17,753,0.001,13.915,89,246,28728,52,1071,84,412,390,146,58%,37%,0.584,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-de-kwakel/openingstijden-tarieven/tarieven-zwembad-de-kwakel/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-de-kwakel%2Fopeningstijden-tarieven%2Ftarieven-zwembad-de-kwakel%2F,
afval/het-nieuwe-inzamelen/index,1091,1469,124888,37,991,0.001,28.253,422,1852,143301,113,1080,413,283,278,114,27%,26%,0.629,http://www.utrecht.nl/afval/het-nieuwe-inzamelen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fafval%2Fhet-nieuwe-inzamelen%2F,
parkeren/mijnparkeren/index,1070,1444,55838,22,1110,0.001,12.957,261,2269,177713,45,1053,250,125,122,52,17%,12%,0.536,http://www.utrecht.nl/parkeren/mijnparkeren/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fmijnparkeren%2F,
stadskaart/index,1065,1349,75462,73,963,0.001,20.748,501,1734,126514,109,1045,487,235,228,71,22%,22%,0.482,http://www.utrecht.nl/stadskaart/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstadskaart%2F,
Loket/prodcat/products/getProductDetailsAction.do?name=Verhuizen,1064,1330,89979,133,1102,0.003,75.321,68,462,35074,27,1042,61,138,135,85,40%,13%,1.564,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Verhuizen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DVerhuizen,
Formulieren/process/add/report/initAction.do,1063,1452,80068,2,1077,0.004,27.151,23,171,16253,7,1031,21,70,67,75,30%,7%,1.2,https://pki.utrecht.nl/Formulieren/process/add/report/initAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fprocess%2Fadd%2Freport%2FinitAction.do,
werk-en-inkomen/veelgestelde-vragen/index,1038,1495,140499,168,1156,0.001,33.721,406,1668,107594,181,1009,392,381,370,135,45%,37%,0.889,http://www.utrecht.nl/werk-en-inkomen/veelgestelde-vragen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fveelgestelde-vragen%2F,
parkeren/downloads/stratenlijsten-parkeerrayons/index,1024,1371,55816,27,949,0.001,131.56,230,1327,100007,43,1013,226,91,88,55,19%,9%,0.773,http://www.utrecht.nl/parkeren/downloads/stratenlijsten-parkeerrayons/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fdownloads%2Fstratenlijsten-parkeerrayons%2F,
vastgoedaanbod/panden-in-uitgifte/index,1022,1572,170175,19,930,0.001,36.964,566,2364,207303,273,988,542,518,496,167,48%,51%,0.686,http://www.utrecht.nl/vastgoedaanbod/panden-in-uitgifte/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fvastgoedaanbod%2Fpanden-in-uitgifte%2F,
utrecht-fietst/fiets-weg/index,1010,1260,70652,17,868,0.001,48.497,574,2577,296962,80,980,556,137,134,70,14%,14%,0.764,http://www.utrecht.nl/utrecht-fietst/fiets-weg/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Futrecht-fietst%2Ffiets-weg%2F,
fietsbrug-amsterdam-rijnkanaal/index,993,1324,123811,17,933,0.001,10.188,654,2675,252162,237,952,619,389,376,125,36%,39%,0.603,http://www.utrecht.nl/fietsbrug-amsterdam-rijnkanaal/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Ffietsbrug-amsterdam-rijnkanaal%2F,
sport-in-utrecht/zwembaden/zwembad-fletiomare/vrij-zwemmen/index,986,1238,56830,6,733,0.001,12.536,88,392,22695,23,970,87,97,94,58,26%,10%,0.597,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-fletiomare/vrij-zwemmen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-fletiomare%2Fvrij-zwemmen%2F,
wonen-in-veemarkt/woningaanbod/index,986,1912,126643,8,1070,0.001,12.856,95,372,30667,38,940,89,233,220,128,40%,24%,0.493,http://www.utrecht.nl/wonen-in-veemarkt/woningaanbod/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwonen-in-veemarkt%2Fwoningaanbod%2F,
Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=Uw_gegevens,975,1450,97404,,1309,0.003,17.597,13,115,7120,2,957,13,50,50,100,15%,5%,0.276,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=Uw_gegevens,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_vraagidee%26state%3DUw_gegevens,
stadsparken-en-landgoederen/julianapark/index,972,1307,144421,14,893,0.001,20.803,659,2466,211536,367,954,643,567,553,149,56%,58%,0.688,http://www.utrecht.nl/stadsparken-en-landgoederen/julianapark/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstadsparken-en-landgoederen%2Fjulianapark%2F,
stadsparken-en-landgoederen/park-transwijk/index,966,1286,124049,14,851,0.001,16.214,584,1635,142160,301,949,574,489,481,128,52%,51%,0.598,http://www.utrecht.nl/stadsparken-en-landgoederen/park-transwijk/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstadsparken-en-landgoederen%2Fpark-transwijk%2F,
parkeren/contact/index,960,1162,167428,14,781,0.001,131.618,339,1456,154686,148,933,325,327,314,174,44%,34%,0.888,http://www.utrecht.nl/parkeren/contact/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fcontact%2F,
e-mailproclaimer/index,955,1142,158943,8,850,0.001,49.2,641,2039,158490,402,936,624,571,557,166,63%,60%,0.63,http://www.utrecht.nl/e-mailproclaimer/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fe-mailproclaimer%2F,
Formulieren/process/add/report/reportInfoAction.do,944,1761,228381,,1409,0.004,16.409,8,64,4242,3,921,8,64,64,242,38%,7%,0.82,https://pki.utrecht.nl/Formulieren/process/add/report/reportInfoAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fprocess%2Fadd%2Freport%2FreportInfoAction.do,
Loket/prodcat/products/getProductDetailsAction.do?id=1059,928,1115,100665,9,806,0.008,45.049,249,1386,104511,78,911,237,207,202,108,31%,22%,1.014,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=1059,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D1059,
bomen-in-utrecht/ziekten-en-plagen/index,907,1146,82627,4,697,0.001,22.077,751,1607,134596,449,901,745,631,626,91,60%,70%,0.732,http://www.utrecht.nl/bomen-in-utrecht/ziekten-en-plagen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fbomen-in-utrecht%2Fziekten-en-plagen%2F,
subsidiehulp/index,904,1423,69237,48,1160,0.001,6.546,298,2522,171700,52,885,288,130,129,77,17%,14%,0.449,http://www.utrecht.nl/subsidiehulp/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsubsidiehulp%2F,
werken-en-leren-bij-utrecht/traineeprogramma/index,899,1347,102201,17,1155,0.001,7.089,500,2138,154034,189,885,489,449,445,114,38%,50%,0.507,http://www.utrecht.nl/werken-en-leren-bij-utrecht/traineeprogramma/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerken-en-leren-bij-utrecht%2Ftraineeprogramma%2F,
Loket/prodcat/topics/getTopicsAction.do?id=137,895,1060,23532,3,835,0.002,40.956,18,77,2973,4,885,17,20,19,26,22%,2%,0.739,https://pki.utrecht.nl/Loket/prodcat/topics/getTopicsAction.do?id=137,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Ftopics%2FgetTopicsAction.do%3Fid%3D137,
Loket/prodcat/process/checkPreconditionsAction.do?name=Tijdelijke kenteken registratie&processName=Aanvraag met DigiD,892,1059,87654,2,692,0.001,180.507,40,199,16191,23,876,40,74,73,98,58%,8%,1.202,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Tijdelijke+kenteken+registratie&processName=Aanvraag+met+DigiD,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DTijdelijke+kenteken+registratie%26processName%3DAanvraag+met+DigiD,
sport-in-utrecht/zwembaden/zwembad-den-hommel/vrij-zwemmen/recreatief-zwemmen/index,883,1122,94227,12,708,0.001,15.803,135,687,62055,44,856,128,214,209,107,33%,24%,0.669,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-den-hommel/vrij-zwemmen/recreatief-zwemmen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-den-hommel%2Fvrij-zwemmen%2Frecreatief-zwemmen%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=433,880,1282,142954,7,810,0.001,33.636,430,2612,278294,125,842,399,277,260,162,29%,31%,1.382,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=433,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D433,
utrechts-onderzoek-en-cijfers/terugkerende-rapporten/wijkwijzer/index,869,1398,92272,15,919,0.001,14.235,591,2588,168801,149,849,580,306,300,106,25%,35%,0.538,http://www.utrecht.nl/utrechts-onderzoek-en-cijfers/terugkerende-rapporten/wijkwijzer/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Futrechts-onderzoek-en-cijfers%2Fterugkerende-rapporten%2Fwijkwijzer%2F,
stadsparken-en-landgoederen/index,865,1141,115774,11,822,0.001,24.234,543,2115,150769,234,821,508,348,322,134,43%,40%,0.685,http://www.utrecht.nl/stadsparken-en-landgoederen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstadsparken-en-landgoederen%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=1061,860,1113,175671,3,835,0.001,132.859,232,898,86873,136,837,216,356,347,204,59%,41%,1.294,https://pki.utrecht.nl/Loket//prodcat/products/getProductDetailsAction.do?id=1061,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2F%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D1061,
college-van-b-en-w/index,853,1074,60493,17,828,0.001,7.983,129,472,38337,54,815,122,184,170,71,42%,22%,0.453,http://www.utrecht.nl/college-van-b-en-w/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcollege-van-b-en-w%2F,
