Leverancier;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
Stichting Bonifatiustoren;;;1;;;;;1
Stichting Brabantse Klomp;;;1;;;;;1
Stichting Confessioneel Onderwijs Leiden;;;1;;;;;1
Stichting De Firma Rieks Swarte;;;2;;;;;2
Stichting de Twentse Krans;;;1;;;;;1
Stichting Derdengelden Meerts;;;;;1;;;1
Stichting Dodenakkers.nl;;;1;;;;;1
Stichting Economisch Instituut voor de Bouw;;;1;;;;;1
Stichting Education Warehouse;;;2;;;;;2
Stichting Erfgoedhuis Zuid-Holland;;;1;;;;;1
Stichting Erfgoedpark Batavialand;;;1;;;;;1
Stichting European Museum Academy;;;1;;;;;1
Stichting H & F Mecenaat;;;1;;;;;1
Stichting Haagse Willemsvaart;;;1;;;;;1
Stichting Het Nationale Theater;;;1;;;;;1
Stichting Het Nieuwe Instituut;;;2;;;;;2
Stichting Het Potentieel Pakken;;;3;;;;;3
Stichting het Rijksmuseum;;;6;;;;;6
Stichting Hogeschool Utrecht;;;2;;;;;2
Stichting ICO;;;1;;;;;1
Stichting Ideas on Paper;;;2;;;;;2
Stichting IEA Secretariaat Nederland;;;3;;;;;3
Stichting IJsselhoeven;;;1;;;;;1
Stichting Inlichtingenbureau;;;4;;;;;4
Stichting Interieurs in Fryslân;;;2;;;;;2
Stichting ISSO;;;1;;;;;1
Stichting Kinop;;;4;;;;;4
Stichting Klinkend Erfgoed Suriname;;;1;;;;;1
Stichting Kröller-Müller Museum;;;1;;;;;1
Stichting Kunst en Cultuur West Betuwe;;;1;;;;;1
Stichting Leaphy, robotica;;;2;;;;;2
Stichting Lima;;;2;;;;;2
Stichting Live Your Story;;;1;;;;;1
Stichting Maritieme Archeologie;;;1;;;;;1
Stichting Matrijs;;;1;;;;;1
Stichting Mergor in Mosam;;;1;;;;;1
Stichting Mitswatenoe;;;;;;4;;4
Stichting MOOI Noord-Holland;;;2;;;;;2
Stichting MooiSticht;;;1;;;;;1
Stichting Museum Het Rembrandthuis;;;1;;;;;1
Stichting Nationaal Landschap Het Groene Woud;;;1;;;;;1
Stichting Nederland Maakt Impact;;;2;;;;;2
Stichting Nuffic;;;6;;;;;6
Stichting Pictoright;;;1;;;;;1
Stichting Pijpelogische Kring Nederland;;;1;;;;;1
Stichting Platforms VMBO;;;7;;;;;7
Stichting Pleio;;;2;;;;;2
Stichting SEO Economisch Onderzoek;;;5;;;;;5
Stichting Team Haagse Hogeschool;;;2;;;;;2
Stichting voordekunst;;;1;;;;;1
Stichting WOMEN Inc.;;;2;;;;;2
Still Intern Transport B.V.;;;1;;;;;1
Stoke B.V.;;;1;;;;;1
Stokerkade cultuurhistorische uitgeverij;;;1;;;;;1
Stranergy;;;2;;;;;2
Streef.nu;;;2;;;;;2
Struers GmbH Nederland;;;2;;;;;2
Studio 38C;;;2;;;;;2
STUDIO ARCHITECTURA;;;1;;;;;1
Studio Peppar;;;2;;;;;2
Studioveertien;;;1;;;;;1
Stylicious;;;1;;;;;1
SV Land B.V.;;4;;;;;;4
SyMAR;;;1;;;;;1
T2 Design en Communicatie;;;1;;;;;1
Taal en Teken;;;2;;;;;2
Taaldokter.nl;;;2;;;;;2
Taalstrategie B.V.;;1;;;;;;1
TCN SIG Telehousing Exploitatie B.V.;;1;;;;;;1
Techniek Nederland;;;1;;;;;1
Technische Handelsonderneming De Ridder B.V.;;;1;;;;;1
Technopolis B.V.;;;4;;;;;4
Tegenwind Grafisch Ontwerpburo;;;1;;;;;1
Tempo-Team Uitzenden B.V.;;;2;;;;;2
TenderData;;;7;;;;;7
Terebinth;;;1;;;;;1
Terra Nova, partners in onderzoek;;;1;;;;;1
Thales Nederland;;;2;;;;;2
The Culture Leap;;;1;;;;;1
The Overdressed Archeologist & Editor;;;1;;;;;1
The Shipwreck Survey;;;1;;;;;1
The Video Content Agency B.V.;;;1;;;;;1
Thermo Fisher Scientific B.V.;;;2;;;;;2
Thijs Geritz Animatie & Illustratie;;;1;;;;;1
Thijs Tennekes grafisch ontwerper;;;1;;;;;1
Things To Make And Do B.V.;;;4;;;;;4
Thomas Kogler;;;3;;;;;3
Tijdlab;;;2;;;;;2
Tintelingen B.V.;;;1;;;;;1
TNT Express Nederland B.V.;;;1;;;;;1
Tom Klein Muziek;;;1;;;;;1
Tony's Chocolonely Nederland B.V.;;;1;;;;;1
Top Movers Nederland B.V.;;;1;;;;;1
Tosti Creative B.V.;;;2;;;;;2
Totally Scuba B.V.;;;1;;;;;1
TouzaniFC B.V.;;;2;;;;;2
Tower Leisure B.V.;;;1;;;;;1
TuranGoeloe;;;4;;;;;4
TVVservices;;;1;;;;;1
Uitgeverij van Gennep B.V.;;;1;;;;;1
Uitgeverij Waanders & de Kunst;;;2;;;;;2
Unbound VR B.V.;;;1;;;;;1
uNiek-Design;;;1;;;;;1
Uniformboard;;;1;;;;;1
Unishore Bedrijfskleding B.V.;;;1;;;;;1
Universiteit Twente;;;1;;;;;1
Urban City Guide;;;2;;;;;2
Valkwerk;;;2;;;;;2
van Daalen Dendrochronologie;;;2;;;;;2
Van der Vlugt Glashandel V.O.F.;;;1;;;;;1
Van Es Gerechtsdeurwaarders & Incasseerders;;;;;1;;;1
van Ham Bestuur en Advies;;;2;;;;;2
Van Hennik Onderwijs;;;1;;;;;1
Van Hoogevest Architecten B.V.;;1;;;;;;1
Van Reeuwijk bouwmeester;;;1;;;;;1
Van Wieren Special B.V.;;;1;;;;;1
vanalten.eu B.V.;;;1;;;;;1
Vancis Topco B.V.;;;;;;1;;1
Vantilt Producties B.V.;;;1;;;;;1
VCK Travel B.V.;;;1;;;;;1
Vedas Quality B.V.;;;1;;;;;1
Veerman Conserv./Restauratie van Schilderijen;;;2;;;;;2
Ver. Compendium of Cult. Policies and Trends;;;1;;;;;1
Verderbrenger;;;1;;;;;1
Verenigde Bedrijven Jansen-Wijsmuller & Beuns;;;1;;;;;1
Vereniging C.V.O. Rotterdam en omstreken;;;2;;;;;2
Vereniging Erfgoedplatform Gemeente Heumen;;;1;;;;;1
Vereniging Ik Ook;;;1;;;;;1
Vereniging Nationale Monumentenorganisatie;;;3;;;;;3
Vereniging van Nederlandse Kunsthistorici;;;1;;;;;1
Vereniging voor Terpenonderzoek;;;1;;;;;1
Verhuisboxen.nl B.V.;;;1;;;;;1
Vermaat Leisure B.V.;;;1;;;;;1
Vertaalbureau Wendy Lubberding;;;2;;;;;2
Vertitech B.V.;;;1;;;;;1
Vestigia B.V.;;;4;;;;;4
viaStory;;;2;;;;;2
Victor de Stuersstichting;;;2;;;;;2
vida consciente;;;1;;;;;1
Visuele Verbinders;;;2;;;;;2
Vorm Vijf Ontwerpteam Holding B.V.;;;2;;;;;2
Vos Text & Hypertext Productions;;;1;;;;;1
Vriens Archeo B.V.;;;1;;;;;1
V-Square B.V.;;;1;;;;;1
VU-HBS B.V.;;;2;;;;;2
VvE Insulinde Schutspatroon te Amersfoort;;;1;;;;;1
VWR International B.V.;;;2;;;;;2
W.E. B.V.;;;1;;;;;1
Waardewerk;;;2;;;;;2
Warme bakker de Graaf;;;1;;;;;1
Waters Chromatography B.V.;;;2;;;;;2
Wauben Productie B.V.;;;2;;;;;2
Webcraft;;;1;;;;;1
Weleer erfgoedcommunicatie,presentatie&advies;;;1;;;;;1
Wend B.V.;;;1;;;;;1
We-on Zuid-Oost B.V.;;2;;;;;;2
Werkstatt;;;1;;;;;1
Westrik Consultancy;;;1;;;;;1
Wiebeltuin;;;1;;;;;1
Wies van der Zee;;;1;;;;;1
Wind & Van der Werf;;;2;;;;;2
Wirtz, Film & Experience Agency B.V.;;;2;;;;;2
Wittebrood - Onderzoek, training & coaching;;;2;;;;;2
Witteveen+Bos;;;1;;;;;1
WLT erfgoed- en cultuurprojecten;;;1;;;;;1
Wo=men, Dutch Gender Platform;;;4;;;;;4
Worcflow;1;;;;;;;1
Work & People Analytics B.V.;;2;;;;;;2
Wouter van der Sar Photography;;;1;;;;;1
Xerox (Nederland) B.V.;;;2;;;;;2
XPLRZ B.V.;;;1;;;;;1
Xtac Analytical B.V.;;;1;;;;;1
Y. Alkan;;;1;;;;;1
Young Works B.V.;;;2;;;;;2
Zeeuw & Zeeuw Renault Leiden;;;1;;;;;1
Zeeuws maritiem muZEEum;;;1;;;;;1
Zie Displays;;;;;;;1;1
ZijSpreekt;;;1;;;;;1
ZLPO Erkelens;;;1;;;;;1
ZUSTERHENDRIKS;;;1;;;;;1
ZWL Expertise Centrum B.V.;;;4;;;;;4
Eindtotaal;3;8;10;4;5;5;4;10
