OBJECTID,SPOORAFSTAND,SPOORTAK_A,SPOORTAK_B,TYPE,DEKKING,DATUM_SPOORTAK_A,DATUM_SPOORTAK_B,GEOCODE_SPOORTAK_A,GEOCODE_SPOORTAK_B,KM_GEOCODE_SPOORTAK_A,KM_GEOCODE_SPOORTAK_B,SPOORNAAM_SPOORTAK_A,SPOORNAAM_SPOORTAK_B,VERMENIGVULDIGINGSFACTOR,BOOGSTRAAL_A,BOOGSTRAAL_B,VERKANTINGSVERSCHIL_HOEK_A_B,HOOGTEVERSCHIL_A_B,Shape__Length
337,4.48,011_73L_68.9,011_72L_68.9,Exact_naar_Exact,Volledig,2021/11/02 12:51:33+00,2021/11/02 04:28:54+00,011,011,68.916925,68.916405,73,72,4.5,,,,,4.48010960245394
338,4.475,011_73L_68.9,011_72V_68.9,Exact_naar_Exact,Volledig,2019/11/12 19:36:55+00,2016/07/12 22:39:17+00,011,011,68.921006,68.920487,w73L-s304,74,4.5,,,,,4.47498982010015
339,4.325,011_73R_68.9,011_70V_68.8,Exact_naar_Exact,Volledig,2019/11/12 19:36:55+00,2021/11/01 20:54:14+00,011,011,68.889983,68.889254,73,71,4.5,,,,,4.3253258305011
340,4.325,011_73R_68.9,011_71L_68.9,Exact_naar_Exact,Volledig,2019/11/12 19:36:55+00,2021/11/01 20:54:14+00,011,011,68.889983,68.889254,73,71,4.5,,,,,4.3253258305011
341,4.141,011_73R_68.9,011_71V_68.9,Exact_naar_Exact,Volledig,2019/11/12 19:36:55+00,2021/11/02 04:28:54+00,011,011,68.893827,68.893062,73,72,4.5,,,,,4.1406084250989
342,5.558,011_73R_68.9,011_72L_68.9,Exact_naar_Exact,Volledig,2019/11/12 19:36:55+00,2021/11/02 04:28:54+00,011,011,68.893827,68.892958,73,415a,4.5,,,,,5.55839058091459
343,4.175,011_73R_68.9,011_73L_68.9,Exact_naar_Exact,Volledig,2019/11/12 21:30:11+00,2019/11/12 19:36:55+00,011,011,68.932774,68.933494,74,w73L-s304,4.5,,,,,4.17486404569059
344,4.306,011_73V_68.9,011_28L_68.5,Exact_naar_Exact,Volledig,2016/07/12 22:39:17+00,2016/07/12 22:39:17+00,011,011,68.814973,68.814429,343,70,4.5,,,,,4.30610893150649
345,4.483,011_73V_68.9,011_301AR_70.0,Exact_naar_Exact,Volledig,2016/07/12 22:39:17+00,2019/11/09 00:40:39+00,011,011,68.741041,68.741038,343,OG,4.5,,,,,4.48342844818561
346,5.007,011_73V_68.9,011_447R_67.5,Exact_naar_Exact,Volledig,2022/05/23 19:01:02+00,2022/05/23 19:01:02+00,011,011,67.549117,67.548723,341,w447R-s342,4.5,,,,,5.00724649283416
347,4.4,011_73V_68.9,011_70L_68.8,Exact_naar_Exact,Volledig,2016/07/12 22:39:17+00,2019/11/12 19:27:03+00,011,011,68.845656,68.845114,343,70,4.5,,,,,4.39959830893685
348,4.408,011_73V_68.9,011_70V_68.8,Exact_naar_Exact,Volledig,2016/07/12 22:39:17+00,2016/07/12 22:39:17+00,011,011,68.847292,68.846744,343,70,4.5,,,,,4.4081820345807
349,4.658,011_73V_68.9,011_71L_68.9,Exact_naar_Exact,Volledig,2016/07/12 22:39:17+00,2021/11/01 20:54:14+00,011,011,68.88242,68.882014,73,71,4.5,,,,,4.65773064914664
350,5.703,011_74V_68.9,011_37BT_68.7,Exact_naar_Exact,Volledig,2016/07/12 22:39:17+00,2016/07/12 22:39:17+00,011,011,68.97236,68.972337,75,67A/67B,4.5,,,,,5.70306195828171
351,6.893,011_74V_68.9,011_65V_68.9,Exact_naar_Exact,Volledig,2016/07/12 22:39:17+00,2016/07/12 22:39:17+00,011,011,68.97236,68.973111,75,67A/67B,4.5,,,,,6.8931406956481
352,4.519,011_74V_68.9,011_73L_68.9,Exact_naar_Exact,Volledig,2016/07/12 22:39:17+00,2016/07/12 22:39:17+00,011,011,68.943591,68.944112,74,w73L-s304,4.5,,,,,4.51890309699157
353,4.295,011_75R_69.0,011_67AQ_69.0,Exact_naar_Exact,Volledig,2021/06/02 01:31:40+00,2016/07/12 22:39:17+00,011,011,68.984084,68.984097,75,67A/67B,4.5,,,,,4.29515526611088
354,4.425,011_75R_69.0,011_67AS_69.0,Spoortak_naar_Spoortak,Volledig,,,011,011,68.984125,68.983848,75,67A/67B,4.5,,,,,4.4253506301761
355,4.594,011_75R_69.0,011_73L_68.9,Exact_naar_Exact,Volledig,2016/07/12 22:40:15+00,2019/11/12 19:40:16+00,011,011,68.972956,68.973408,75,w73L-s304,4.5,,,,,4.59421836006953
356,4.714,011_76R_69.0,011_68BP_69.0,Exact_naar_Exact,Volledig,2016/07/12 22:39:17+00,2016/07/12 22:39:17+00,011,011,69.022945,69.02321,76,68A/68B,4.5,,,,,4.71398463510436
357,4.003,011_76R_69.0,011_68BT_69.0,Exact_naar_Exact,Volledig,2016/07/12 22:39:17+00,2016/07/12 22:39:17+00,011,011,69.022488,69.022506,76,68A/68B,4.5,,,,,4.00353059311403
358,6.618,011_76R_69.0,011_73L_68.9,Exact_naar_Exact,Volledig,2016/07/12 22:39:17+00,2019/11/12 19:40:16+00,011,011,69.003966,69.003948,K67,304,4.5,,,,,6.61847720023269
359,4.425,011_76V_69.0,011_62L_69.0,Exact_naar_Exact,Volledig,2019/12/14 04:37:10+00,2019/12/14 04:29:09+00,011,011,69.172696,69.172421,s316-w327R,310a,4.5,,,,,4.42546167648077
360,4.51,011_76V_69.0,011_62R_69.0,Exact_naar_Exact,Volledig,2019/11/12 20:35:13+00,2019/11/12 20:37:11+00,011,011,69.223314,69.223336,327,311a,4.5,,,,,4.50993482214544
361,5.697,011_76V_69.0,011_68AS_69.0,Exact_naar_Exact,Volledig,2016/07/12 22:39:17+00,2016/07/12 22:39:17+00,011,011,69.034174,69.034187,76,68A/68B,4.5,,,,,5.69675804734588
362,4.125,011_7V_67.8,011_447R_67.5,Exact_naar_Exact,Volledig,2016/07/12 22:39:17+00,2022/05/23 19:17:24+00,011,011,67.583305,67.584169,410a,w447R-s342,4.5,,,,,4.12489847753857
363,4.462,011_801R_68.0,011_801L_68.0,Exact_naar_Exact,Volledig,2016/05/09 20:34:12+00,2019/12/14 04:17:14+00,011,011,68.027911,68.028023,512,w801L-w802L,4.5,,,,,4.46193815510704
364,4.426,011_802R_68.1,011_801L_68.0,Exact_naar_Exact,Volledig,2022/01/19 23:59:10+00,2019/11/11 22:33:30+00,011,011,68.066935,68.06685,510,w801L-w802L,4.5,,,,,4.42638561808616
365,5.41,011_805L_68.2,011_13R_67.9,Exact_naar_Exact,Volledig,2016/05/09 20:34:12+00,2019/11/11 23:35:30+00,011,011,68.582734,68.582567,501,411a,4.5,,,,,5.41011785915982
366,3.986,011_805R_68.2,011_805L_68.2,Exact_naar_Exact,Volledig,2022/12/20 16:06:34+00,2022/07/04 17:56:04+00,011,011,68.68115,68.681792,502,501,4.5,,,,,3.98638132270359
367,3.861,011_806L_68.2,011_805L_68.2,Exact_naar_Exact,Volledig,2019/11/11 22:33:30+00,2019/11/11 22:33:30+00,011,011,68.223592,68.223149,806,805,4.5,,,,,3.86063510837271
368,3.358,011_806L_68.2,011_805R_68.2,Exact_naar_Exact,Volledig,2019/11/11 22:33:30+00,2019/11/11 22:33:30+00,011,011,68.223592,68.223441,806,805,4.5,,,,,3.35839005477327
369,3.861,011_806R_68.2,011_805L_68.2,Exact_naar_Exact,Volledig,2019/11/11 22:33:30+00,2019/11/11 22:33:30+00,011,011,68.223592,68.223149,806,805,4.5,,,,,3.86095038300157
370,3.359,011_806R_68.2,011_805R_68.2,Exact_naar_Exact,Volledig,2019/11/11 22:33:30+00,2019/11/11 22:33:30+00,011,011,68.223592,68.22344,806,805,4.5,,,,,3.35889982285867
371,4.466,011_807L_68.3,011_805R_68.2,Exact_naar_Exact,Volledig,2022/01/19 23:59:10+00,2022/07/04 17:56:04+00,011,011,68.684924,68.685429,822,502,4.5,,,,,4.46629660569022
372,3.834,011_807L_68.3,011_806L_68.2,Exact_naar_Exact,Volledig,2021/06/01 21:10:46+00,2022/07/04 17:54:23+00,011,011,68.635959,68.636179,504,503,4.5,,,,,3.8339000639036
373,3.409,011_807R_68.3,011_805L_68.2,Exact_naar_Exact,Volledig,2019/11/12 19:27:03+00,2019/11/13 22:05:02+00,011,011,68.727333,68.727793,823,820,4.5,,,,,3.40888885709112
374,3.35,011_807R_68.3,011_805R_68.2,Exact_naar_Exact,Volledig,2019/11/12 19:27:03+00,2019/11/13 22:05:02+00,011,011,68.727333,68.727529,823,820,4.5,,,,,3.35000013432836
375,4.396,011_807R_68.3,011_806L_68.2,Exact_naar_Exact,Volledig,2022/12/20 16:06:34+00,2022/12/20 16:06:34+00,011,011,68.676784,68.677041,505,822,4.5,,,,,4.39549261858099
376,3.771,011_807R_68.3,011_807L_68.3,Exact_naar_Exact,Volledig,2019/12/14 04:11:52+00,2019/12/14 04:15:28+00,011,011,68.311252,68.311533,505,504,4.5,,,,,3.77137462604817
377,4.468,011_81L_69.1,011_68AS_69.0,Exact_naar_Exact,Volledig,2016/07/12 22:39:17+00,2021/06/02 01:36:12+00,011,011,69.063662,69.063942,81,w68A/68BS-s309,4.5,,,,,4.46840872123399
378,4.469,011_81L_69.1,011_73L_68.9,Exact_naar_Exact,Volledig,2019/11/12 19:40:16+00,2019/11/12 19:40:16+00,011,011,69.080642,69.080157,81,304,4.5,,,,,4.46909492962501
379,4.72,011_81R_69.1,011_311L_69.8,Exact_naar_Exact,Volledig,2016/07/12 22:40:15+00,2019/11/12 19:47:55+00,011,011,69.784857,69.785902,313,w315V-w311L,4.5,,,,,4.71978767530913
380,3.856,011_81R_69.1,011_68AS_69.0,Exact_naar_Exact,Volledig,2019/11/12 19:47:55+00,2019/12/14 04:17:58+00,011,011,69.734629,69.734854,s308-w313R,s309-w313L,4.5,,,,,3.85636104248552
381,4.461,011_81R_69.1,011_73L_68.9,Exact_naar_Exact,Volledig,2016/07/12 22:40:15+00,2019/11/12 19:40:16+00,011,011,69.053731,69.053246,81,304,4.5,,,,,4.46149229854765
382,3.393,011_822V_68.7,011_805L_68.2,Exact_naar_Exact,Volledig,2022/12/20 16:06:33+00,2019/11/13 22:05:02+00,011,011,68.727264,68.727721,823,820,4.5,,,,,3.39292275184685
383,3.329,011_822V_68.7,011_805R_68.2,Exact_naar_Exact,Volledig,2022/12/20 16:06:33+00,2019/11/13 22:05:02+00,011,011,68.727264,68.727529,823,820,4.5,,,,,3.32939033458079
384,4.262,011_82L_69.1,011_73L_68.9,Exact_naar_Exact,Volledig,2016/07/12 22:39:17+00,2019/11/12 19:46:12+00,011,011,69.135259,69.134844,86,304,4.5,,,,,4.26240308746134
385,4.434,011_82L_69.1,011_81R_69.1,Exact_naar_Exact,Volledig,2016/07/12 22:39:17+00,2019/12/14 04:29:40+00,011,011,69.10384,69.104116,82,w81R-s308,4.5,,,,,4.43360135555735
386,4.417,011_82R_69.1,011_303R_69.9,Exact_naar_Exact,Volledig,2016/04/08 18:53:38+00,2022/11/15 22:33:48+00,011,011,69.855425,69.855136,305,w307V-w303R,4.5,,,,,4.41727600790351
387,4.4,011_82R_69.1,011_311L_69.8,Exact_naar_Exact,Volledig,2022/12/20 16:06:34+00,2022/12/20 16:06:34+00,011,011,69.826974,69.827438,s307-w305R,311,4.5,,,,,4.40016320720039
388,4.212,011_82R_69.1,011_311R_69.8,Exact_naar_Exact,Volledig,2022/12/20 16:06:34+00,2019/11/12 19:47:55+00,011,011,69.828794,69.829367,s307-w305R,311,4.5,,,,,4.2120678650753
389,5.025,011_82R_69.1,011_68AS_69.0,Exact_naar_Exact,Volledig,2022/12/20 16:06:34+00,2019/11/12 19:47:55+00,011,011,69.784465,69.784855,307,313,4.5,,,,,5.02458456989232
390,4.466,011_82R_69.1,011_73L_68.9,Exact_naar_Exact,Volledig,2019/11/12 19:40:16+00,2016/07/12 22:39:17+00,011,011,69.092923,69.092442,82,304,4.5,,,,,4.46605665884346
391,4.074,011_82R_69.1,011_81R_69.1,Exact_naar_Exact,Volledig,2016/07/12 22:39:17+00,2019/12/14 04:29:40+00,011,011,69.103918,69.104116,82,w81R-s308,4.5,,,,,4.07413682269018
392,5.42,011_840AS_68.8,011_58V_68.9,Exact_naar_Exact,Volledig,2016/05/09 20:34:12+00,2016/05/09 20:34:12+00,011,011,68.872511,68.872348,513,w840A/840BQ-w58V,4.5,,,,,5.41961441525133
393,5.459,011_840BT_68.8,011_821V_68.8,Exact_naar_Exact,Volledig,2019/11/13 22:22:46+00,2022/07/04 17:59:00+00,011,011,68.792191,68.791938,841,w821V-w840A/840BP,4.5,,,,,5.45868914850443
394,4.557,011_841R_68.8,011_58V_68.9,Exact_naar_Exact,Volledig,2016/05/09 20:34:12+00,2019/11/13 22:25:30+00,011,011,68.832286,68.832363,w841R-s514,840A/840B,4.5,,,,,4.5570182005342
395,4.478,011_841R_68.8,011_821V_68.8,Exact_naar_Exact,Volledig,2016/05/09 20:34:12+00,2019/11/13 22:25:30+00,011,011,68.830242,68.830314,w841R-s514,840A/840B,4.5,,,,,4.47765793244638
396,4.128,011_841R_68.8,011_840AS_68.8,Exact_naar_Exact,Volledig,2016/05/09 20:34:12+00,2016/05/09 20:34:12+00,011,011,68.896597,68.897134,514,842,4.5,,,,,4.12843540460548
397,4.417,011_841R_68.8,011_840BT_68.8,Spoortak_naar_Spoortak,Volledig,,,011,011,68.831143,68.830904,w841R-s514,840A/840B,4.5,,,,,4.41681304222852
398,3.847,011_86L_69.1,011_73L_68.9,Exact_naar_Exact,Volledig,2016/07/12 22:39:17+00,2019/11/12 19:46:12+00,011,011,69.185349,69.185126,w86L-s305,304,4.5,,,,,3.84668120852248
399,4.414,011_86L_69.1,011_82R_69.1,Exact_naar_Exact,Volledig,2019/11/12 19:40:16+00,2016/07/12 22:39:17+00,011,011,69.143004,69.143285,86,w82R-s307,4.5,,,,,4.41378144112279
400,4.262,011_86R_69.1,011_73L_68.9,Exact_naar_Exact,Volledig,2016/07/12 22:40:15+00,2019/11/12 19:46:12+00,011,011,69.135418,69.135003,86,304,4.5,,,,,4.26164243690153
401,4.232,011_86R_69.1,011_82R_69.1,Exact_naar_Exact,Volledig,2016/07/12 22:39:17+00,2016/07/12 22:39:17+00,011,011,69.143028,69.143285,86,w82R-s307,4.5,,,,,4.2323294590568
402,3.964,011_86R_69.1,011_86L_69.1,Exact_naar_Exact,Volledig,2016/07/12 22:39:17+00,2016/07/12 22:39:17+00,011,011,69.712423,69.71225,s306-w309L,s305-w309R,4.5,,,,,3.96411595314769
403,3.886,011_8L_67.8,011_10L_67.9,Exact_naar_Exact,Volledig,2022/01/31 13:14:12+00,2019/11/11 22:33:30+00,011,011,67.897302,67.898087,401a,10,4.5,,,,,3.88587376145958
404,4.023,011_8L_67.8,011_10R_67.9,Exact_naar_Exact,Volledig,2022/01/31 13:14:12+00,2019/11/11 22:33:30+00,011,011,67.897281,67.898094,401a,10,4.5,,,,,4.02288705533725
405,6.003,011_8L_67.8,011_11L_67.9,Exact_naar_Exact,Volledig,2021/06/02 01:05:36+00,2016/07/12 22:40:15+00,011,011,67.871843,67.873354,8,11,4.5,,,,,6.0029325933247
406,6.007,011_8L_67.8,011_11R_67.9,Exact_naar_Exact,Volledig,2021/06/02 01:05:36+00,2019/11/11 22:33:30+00,011,011,67.871869,67.87338,8,11,4.5,,,,,6.00679263667392
407,4.572,011_8L_67.8,011_73V_68.9,Exact_naar_Exact,Volledig,2016/07/12 22:39:17+00,2019/11/11 23:35:30+00,011,011,68.42578,68.425843,401a,343,4.5,,,,,4.57180328535688
408,5.929,011_8L_67.8,011_7R_67.8,Spoortak_naar_Spoortak,Volledig,,,011,011,67.872048,67.872545,8,11,4.5,,,,,5.92947833287213
409,4.514,011_8R_67.8,011_11L_67.9,Exact_naar_Exact,Volledig,2021/06/02 01:05:36+00,2016/07/12 22:40:15+00,011,011,67.872707,67.873354,8,11,4.5,,,,,4.51399828311886
410,4.515,011_8R_67.8,011_11R_67.9,Exact_naar_Exact,Volledig,2021/06/02 01:05:36+00,2019/11/11 22:33:30+00,011,011,67.872733,67.87338,8,11,4.5,,,,,4.51503538967304
411,4.483,011_8R_67.8,011_7R_67.8,Spoortak_naar_Spoortak,Volledig,,,011,011,67.872251,67.872545,8,11,4.5,,,,,4.48299567365395
412,4.443,012_301AR_8.3,012_301AL_8.3,Exact_naar_Exact,Volledig,2019/12/14 04:41:13+00,2019/11/09 00:40:39+00,012,012,8.345289,8.345094,w301AR-w303BL,301B,4.5,,,,,4.44268062547827
413,6.094,012_301BV_8.4,012_301AR_8.3,Exact_naar_Exact,Volledig,2018/09/10 18:07:08+00,2019/12/14 04:41:13+00,012,012,8.404351,8.40434,w301BV-w303AV,w301AR-w303BL,4.5,,,,,6.09415516704325
414,5.979,012_303AL_8.4,012_301AR_8.3,Exact_naar_Exact,Volledig,2018/09/10 18:07:08+00,2018/09/10 18:07:04+00,012,012,8.532916,8.532925,w303AL-sPB,303B,4.5,,,,,5.97904061284083
415,4.431,012_303AR_8.4,012_301AR_8.3,Exact_naar_Exact,Volledig,2018/01/24 20:51:35+00,2019/12/14 04:41:13+00,012,012,8.454004,8.453995,303A,w301AR-w303BL,4.5,,,,,4.43117224219506
416,4.404,012_303AR_8.4,012_303AL_8.4,Exact_naar_Exact,Volledig,2018/01/24 20:51:35+00,2019/12/14 04:47:47+00,012,012,8.495356,8.495365,303B,w303AL-sPB,4.5,,,,,4.40373126450741
417,3.578,012_303BV_8.5,012_303AL_8.4,Exact_naar_Exact,Onjuist,2016/04/22 17:22:39+00,2018/09/10 18:07:08+00,012,012,19.377931,19.37802,sOB-w325BL,sPB-w313B/315S,4.5,,,,,3.57759151525157
418,0.928,012_313BQ_19.4,012_303BV_8.5,Exact_naar_Exact,Volledig,2018/01/24 20:51:35+00,2019/11/09 00:40:39+00,012,012,19.384055,19.384033,ES_313BQ-w313B/315Q,sOB-w325BL,4.5,,,,,0.927486420385765
419,3.674,012_315P_19.4,012_303BV_8.5,Exact_naar_Exact,Volledig,2018/09/10 18:07:04+00,2018/09/10 18:07:08+00,012,012,19.411806,19.411622,313B/315,sOB-w325BL,4.5,,,,,3.67383979100886
420,4.122,012_315T_19.4,012_303BV_8.5,Exact_naar_Exact,Volledig,2018/01/24 20:51:35+00,2018/09/10 18:07:08+00,012,012,19.412917,19.412711,313B/315,sOB-w325BL,4.5,,,,,4.12222644331919
421,4.302,012_315T_19.4,012_315P_19.4,Exact_naar_Exact,Volledig,2019/11/09 00:40:39+00,2018/09/10 18:07:08+00,012,012,19.452565,19.452573,w313B/315T-s313,w313B/315P-s312,4.5,,,,,4.30239109914475
422,4.427,012_325AP_20.1,012_303BV_8.5,Exact_naar_Exact,Volledig,2018/09/10 18:07:08+00,2019/12/14 04:49:01+00,012,012,20.124592,20.124369,323/325A,sOB-w325BL,4.5,,,,,4.42716419392821
423,6.826,012_325AT_20.1,012_303BV_8.5,Exact_naar_Exact,Volledig,2019/11/09 00:40:39+00,2018/09/10 18:07:04+00,012,012,20.169793,20.169964,PC,325B,4.5,,,,,6.82618378671421
424,4.446,012_325AT_20.1,012_325AP_20.1,Exact_naar_Exact,Volledig,2019/12/14 04:48:49+00,2019/12/14 04:42:41+00,012,012,20.142347,20.142107,w323/325AT-sPC,325B,4.5,,,,,4.44635631613122
425,3.719,012_325BV_20.2,012_325AT_20.1,Exact_naar_Exact,Volledig,2018/09/10 18:07:08+00,2018/09/10 18:07:08+00,012,012,22.221229,22.221237,OC,PC,4.5,,,,,3.7195129492986
426,3.989,012_341AL_24.1,012_325BV_20.2,Exact_naar_Exact,Volledig,2019/12/14 04:44:45+00,2019/11/13 21:48:25+00,012,012,24.177066,24.177083,w341AL-sPD,341B,4.5,,,,,3.98860519605538
427,3.873,012_341AR_24.1,012_325BV_20.2,Exact_naar_Exact,Volledig,2018/09/10 18:07:04+00,2019/12/14 04:47:16+00,012,012,24.13291,24.132767,341A,sOC-w341BL,4.5,,,,,3.87310675427363
428,3.873,012_341AR_24.1,012_341AL_24.1,Exact_naar_Exact,Volledig,2018/09/10 18:07:04+00,2019/12/14 04:44:45+00,012,012,24.177634,24.177783,341B,w341AL-sPD,4.5,,,,,3.87286874164359
429,4,012_341BV_24.2,012_341AL_24.1,Exact_naar_Exact,Volledig,2019/12/14 04:45:27+00,2018/09/10 18:07:08+00,012,012,24.191223,24.191207,w341BV-w343AV,w341AL-sPD,4.5,,,,,3.99951052130133
430,3.672,012_343AL_24.2,012_341AL_24.1,Exact_naar_Exact,Volledig,2019/11/09 00:40:39+00,2018/09/10 18:07:08+00,012,012,30.92322,30.923228,OD,PD,4.5,,,,,3.67197435993227
431,4.003,012_343AR_24.2,012_341AL_24.1,Exact_naar_Exact,Volledig,2019/11/13 21:15:14+00,2018/09/10 18:07:08+00,012,012,24.203243,24.203254,343A,w341AL-sPD,4.5,,,,,4.00298813388199
432,4.425,012_343AR_24.2,012_343AL_24.2,Exact_naar_Exact,Volledig,2018/01/24 20:51:35+00,2019/12/14 04:49:20+00,012,012,24.25326,24.253686,w343AR-w343BR,w343AL-sOD,4.5,,,,,4.42459595556476
433,4.545,012_343BL_24.3,012_343AR_24.2,Exact_naar_Exact,Volledig,2018/01/24 20:51:35+00,2019/12/14 04:42:12+00,012,012,24.286851,24.287276,SJ_343BL-w343BL,w343AR-w343BR,4.5,,,,,4.54526255457262
434,4.462,012_361AL_33.3,012_343AL_24.2,Exact_naar_Exact,Volledig,2019/12/14 04:42:31+00,2018/09/10 18:07:04+00,012,012,33.366081,33.366096,w361AL-s321,361B,4.5,,,,,4.46174302375204
435,4.215,012_361AR_33.3,012_343AL_24.2,Exact_naar_Exact,Volledig,2018/09/10 18:07:04+00,2019/12/14 04:49:20+00,012,012,33.321373,33.321203,361A,sOD-w361BL,4.5,,,,,4.21472635529283
436,4.235,012_361AR_33.3,012_361AL_33.3,Exact_naar_Exact,Volledig,2019/11/09 00:40:39+00,2019/12/14 04:42:31+00,012,012,33.360751,33.360994,361B,w361AL-s321,4.5,,,,,4.23557137822042
437,4.595,012_361BV_33.4,012_361AL_33.3,Exact_naar_Exact,Volledig,2018/09/10 18:07:08+00,2019/12/14 04:42:31+00,012,012,33.372778,33.372762,361B,w361AL-s321,4.5,,,,,4.59506137608629
438,4.486,012_363L_33.4,012_361AL_33.3,Exact_naar_Exact,Volledig,2018/09/10 18:07:04+00,2019/11/09 00:40:39+00,012,012,34.080808,34.080931,373,s321-w375BR,4.5,,,,,4.48594095814914
439,4.5,012_363R_33.4,012_361AL_33.3,Exact_naar_Exact,Volledig,2019/11/09 00:40:39+00,2019/12/14 04:42:31+00,012,012,34.088169,34.088292,373,s321-w375BR,4.5,,,,,4.50000077888882
440,3.745,012_363R_33.4,012_363L_33.4,Exact_naar_Exact,Volledig,2018/09/10 18:07:08+00,2019/11/09 00:40:39+00,012,012,33.782799,33.7828,323,322,4.5,,,,,3.74535262959311
441,4.491,012_373V_34.1,012_361AL_33.3,Exact_naar_Exact,Volledig,2018/09/10 18:07:04+00,2019/12/14 04:42:31+00,012,012,34.101453,34.101442,375A,s321-w375BR,4.5,,,,,4.49143048259683
442,4.154,012_375AL_34.1,012_361AL_33.3,Exact_naar_Exact,Volledig,2019/11/09 00:40:39+00,2019/12/14 04:42:31+00,012,012,34.112173,34.111919,375A,s321-w375BR,4.5,,,,,4.15364477657876
443,4.379,012_375AR_34.1,012_361AL_33.3,Exact_naar_Exact,Volledig,2018/09/10 18:07:04+00,2019/12/14 04:42:31+00,012,012,34.107052,34.107042,375A,s321-w375BR,4.5,,,,,4.37887893986577
444,4.199,012_375AR_34.1,012_375AL_34.1,Exact_naar_Exact,Volledig,2019/11/09 00:40:39+00,2018/09/10 18:07:04+00,012,012,34.151957,34.151821,w375AR-sOE,375B,4.5,,,,,4.19890333301447
445,3.74,012_375BV_34.2,012_375AR_34.1,Exact_naar_Exact,Volledig,2018/09/10 18:07:08+00,2018/09/10 18:07:08+00,012,012,35.77504,35.775041,PE,OE,4.5,,,,,3.73965469662641
446,3.71,013_231AR_88.0,013_231AL_88.0,Exact_naar_Exact,Onjuist,2019/12/14 04:51:27+00,2018/08/08 19:02:24+00,013,013,88.052489,88.052396,w231AR-w233BL,231B,4.5,,,,,3.70992288464329
447,3.732,013_231BR_88.1,013_231AL_88.0,Exact_naar_Exact,Volledig,2019/12/14 04:50:15+00,2019/10/22 21:51:36+00,013,013,88.006949,88.007032,sFA-w231BR,231A,4.5,,,,,3.732355559161
448,3.788,013_231BR_88.1,013_231AR_88.0,Exact_naar_Exact,Volledig,2018/08/08 19:02:24+00,2018/08/08 19:04:11+00,013,013,88.040828,88.040816,231B,w231AR-w233BL,4.5,,,,,3.78794394097906
449,4.019,013_231BR_88.1,013_231AV_88.0,Spoortakdeel_naar_Spoortak,Onvolledig,,,014,014,76.755231,76.755029,FA,EA,4.5,,,,,4.01857632128594
450,3.718,013_231BR_88.1,013_231AV_88.0,Exact_naar_Exact,Onvolledig,2018/08/08 19:04:11+00,2021/05/11 17:02:04+00,602,602,77.638266,77.638276,FA,EA,4.5,,,,,3.71805164299798
451,3.796,013_231BV_88.1,013_231AR_88.0,Exact_naar_Exact,Onjuist,2019/10/22 21:51:36+00,2018/08/08 19:04:11+00,013,013,88.100915,88.100854,w231BV-w233AV,w231AR-w233BL,4.5,,,,,3.79647273136526
452,3.987,013_233AL_88.4,013_231AR_88.0,Exact_naar_Exact,Onjuist,2019/12/17 04:02:44+00,2014/02/04 12:29:32+00,013,013,88.457569,88.457588,w233AL-sMA,233B,4.5,,,,,3.98677072453383
453,3.86,013_233AR_88.4,013_231AR_88.0,Exact_naar_Exact,Volledig,2018/08/08 19:02:24+00,2019/12/14 04:51:27+00,013,013,88.426005,88.425897,233A,w231AR-w233BL,4.5,,,,,3.86046222362038
454,3.88,013_233AR_88.4,013_233AL_88.4,Exact_naar_Exact,Onjuist,2019/10/22 21:51:36+00,2018/08/08 19:04:11+00,013,013,88.470113,88.470225,233B,w233AL-sMA,4.5,,,,,3.8803835300135
455,3.742,013_233BV_88.5,013_233AL_88.4,Exact_naar_Exact,Onjuist,2018/08/08 19:04:11+00,2018/08/08 19:04:11+00,013,013,95.348068,95.348032,LA,MA,4.5,,,,,3.74197456565381
456,4.369,017_1023AR_26.8,017_1021AL_26.8,Exact_naar_Exact,Volledig,2018/08/08 17:00:07+00,2019/09/08 03:21:46+00,017,017,26.840848,26.840641,1023A,1021B,4.5,,,,,4.368512689692
457,3.893,017_1023AR_26.8,017_1021BR_26.9,Exact_naar_Exact,Onjuist,2018/08/08 17:00:07+00,2015/03/09 21:24:30+00,017,017,26.840862,26.840677,1023A,1021B,4.5,,,,,3.89339231647672
458,3.788,017_11AR_49.5,017_11AL_49.5,Exact_naar_Exact,Volledig,2021/08/23 17:05:40+00,2021/08/23 17:05:40+00,017,017,49.504747,49.504807,11B,w11AL-sHC,4.5,,,,,3.78765523774274
459,3.428,017_11BV_49.5,017_11AL_49.5,Spoortakdeel_naar_Spoortak,Onjuist,,,017,017,55.600904,55.600932,VC,HC,4.5,,,,,3.4276385019427
460,3.751,017_11BV_49.5,017_11AL_49.5,Exact_naar_Exact,Onjuist,2018/08/08 17:00:07+00,2018/08/08 17:00:07+00,017,017,57.729014,57.729031,VC,HC,4.5,,,,,3.75115988595528
461,5.333,017_27L_61.4,017_11AL_49.5,Exact_naar_Exact,Volledig,2018/08/08 17:00:07+00,2018/08/08 17:00:07+00,017,017,61.453374,61.45288,w27L-w29BL,29A,4.5,,,,,5.33328626739649
462,4.348,017_27R_61.4,017_27L_61.4,Exact_naar_Exact,Volledig,2019/12/21 04:37:40+00,2019/09/08 03:21:46+00,017,017,61.444849,61.444317,w27R-w33L,w27L-w29BL,4.5,,,,,4.34812485676297
