Kenteken,Bijzonderheid volgnummer,Bijzonderheid code,Bijzonderheid code omschrijving,Bijzonderheid variabele tekst,Bijzonderheid eenheid
00HDN6,1,55,Kentekenplaat model 18.2. toegestaan.,,
00HDX4,1,55,Kentekenplaat model 18.2. toegestaan.,,
00HFT9,1,55,Kentekenplaat model 18.2. toegestaan.,,
00HFV1,1,108,Kentekenplaat model 27.10. toegestaan,,
00HJ34,1,2,Bevestigingspunten autogordels ex art. 66 sub r onder ii WVR niet verplicht.,,
00HJH4,4,108,Kentekenplaat model 27.10. toegestaan,,
00HJR5,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
00HJV1,1,55,Kentekenplaat model 18.2. toegestaan.,,
00HKB7,4,108,Kentekenplaat model 27.10. toegestaan,,
00HKV1,1,108,Kentekenplaat model 27.10. toegestaan,,
00HKZ2,1,61,"Taxi, ingericht voor het vervoer van ten hoogste   personen buiten de be- stuurder.",3,
00HNV8,1,55,Kentekenplaat model 18.2. toegestaan.,,
00HPR3,1,108,Kentekenplaat model 27.10. toegestaan,,
00HRP4,1,160,Af-fabriek roetfilter verwijderd,,
00HTH3,1,108,Kentekenplaat model 27.10. toegestaan,,
00HVN6,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
00JFL8,1,108,Kentekenplaat model 27.10. toegestaan,,
00JFR9,4,108,Kentekenplaat model 27.10. toegestaan,,
00JGJ8,1,108,Kentekenplaat model 27.10. toegestaan,,
00JHH5,1,55,Kentekenplaat model 18.2. toegestaan.,,
00JHL6,4,108,Kentekenplaat model 27.10. toegestaan,,
00JJD6,1,55,Kentekenplaat model 18.2. toegestaan.,,
00JJJ6,1,108,Kentekenplaat model 27.10. toegestaan,,
00JKJ6,4,108,Kentekenplaat model 27.10. toegestaan,,
00JNV2,1,55,Kentekenplaat model 18.2. toegestaan.,,
00JRB3,1,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
00JRB3,2,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
00JRJ8,1,108,Kentekenplaat model 27.10. toegestaan,,
00JSX2,1,108,Kentekenplaat model 27.10. toegestaan,,
00JSZ7,1,55,Kentekenplaat model 18.2. toegestaan.,,
00JTB9,1,108,Kentekenplaat model 27.10. toegestaan,,
00JVP4,1,55,Kentekenplaat model 18.2. toegestaan.,,
00JVT8,1,55,Kentekenplaat model 18.2. toegestaan.,,
00JXV1,1,108,Kentekenplaat model 27.10. toegestaan,,
00KDV1,1,55,Kentekenplaat model 18.2. toegestaan.,,
00KFJ3,1,108,Kentekenplaat model 27.10. toegestaan,,
00KGS5,1,55,Kentekenplaat model 18.2. toegestaan.,,
00KGX2,1,142,De stuurinrichting van dit voertuig is gewijzigd en goedgekeurd.,,
00KGX2,2,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
00KJG5,1,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
00KJG5,2,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
00KJT1,1,55,Kentekenplaat model 18.2. toegestaan.,,
00KJT9,1,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
00KJT9,2,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
00KJV9,1,108,Kentekenplaat model 27.10. toegestaan,,
00KJZ1,4,108,Kentekenplaat model 27.10. toegestaan,,
00KJZ7,1,62,"Taxi, zie goedkeuringsdocument.",,
00KRL4,1,108,Kentekenplaat model 27.10. toegestaan,,
00KVH6,1,55,Kentekenplaat model 18.2. toegestaan.,,
00KZK5,1,61,"Taxi, ingericht voor het vervoer van ten hoogste   personen buiten de be- stuurder.",4,
00LGV4,4,108,Kentekenplaat model 27.10. toegestaan,,
00LHB1,1,141,Het remsysteem van dit voertuig is gewijzigd en goedgekeurd.,,
00LHB1,2,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
00LHB1,3,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
00LHJ3,1,55,Kentekenplaat model 18.2. toegestaan.,,
00LJB3,4,108,Kentekenplaat model 27.10. toegestaan,,
00LKD5,1,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
00LKD5,2,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
00LKH3,1,55,Kentekenplaat model 18.2. toegestaan.,,
00LKK8,1,141,Het remsysteem van dit voertuig is gewijzigd en goedgekeurd.,,
00LKK8,2,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
00LLR5,4,108,Kentekenplaat model 27.10. toegestaan,,
00LNZ9,4,108,Kentekenplaat model 27.10. toegestaan,,
00LPB3,1,61,"Taxi, ingericht voor het vervoer van ten hoogste   personen buiten de be- stuurder.",4,
00LSJ7,1,62,"Taxi, zie goedkeuringsdocument.",,
00LSL1,1,55,Kentekenplaat model 18.2. toegestaan.,,
00LSZ4,1,55,Kentekenplaat model 18.2. toegestaan.,,
00LXF1,1,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
00LXF1,2,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
00LXG3,1,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
00LXG3,2,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
00LXK6,4,108,Kentekenplaat model 27.10. toegestaan,,
00LXS4,1,55,Kentekenplaat model 18.2. toegestaan.,,
00LXT1,1,160,Af-fabriek roetfilter verwijderd,,
00MG05,1,2,Bevestigingspunten autogordels ex art. 66 sub r onder ii WVR niet verplicht.,,
00MK17,1,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
00NDR4,1,108,Kentekenplaat model 27.10. toegestaan,,
00NE58,1,2,Bevestigingspunten autogordels ex art. 66 sub r onder ii WVR niet verplicht.,,
00NFJ6,1,62,"Taxi, zie goedkeuringsdocument.",,
00NFX4,1,62,"Taxi, zie goedkeuringsdocument.",,
00NGT2,1,108,Kentekenplaat model 27.10. toegestaan,,
00NHR2,1,62,"Taxi, zie goedkeuringsdocument.",,
00NHR2,2,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
00NHR2,3,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
00NLV5,1,55,Kentekenplaat model 18.2. toegestaan.,,
00NPS6,1,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
00NPS6,2,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
00NPS7,1,55,Kentekenplaat model 18.2. toegestaan.,,
00NRJ1,1,160,Af-fabriek roetfilter verwijderd,,
00NT16,1,2,Bevestigingspunten autogordels ex art. 66 sub r onder ii WVR niet verplicht.,,
00NTX1,1,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
00NTX1,2,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
00NVP8,1,123,"OV-auto, zie goedkeuringsdocument.",,
00NVP8,2,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
00NVP8,3,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
00NVX3,1,141,Het remsysteem van dit voertuig is gewijzigd en goedgekeurd.,,
00NXB3,1,55,Kentekenplaat model 18.2. toegestaan.,,
00NXF3,1,62,"Taxi, zie goedkeuringsdocument.",,
00NXR4,1,55,Kentekenplaat model 18.2. toegestaan.,,
00NZT8,1,160,Af-fabriek roetfilter verwijderd,,
00PBX1,1,141,Het remsysteem van dit voertuig is gewijzigd en goedgekeurd.,,
00PHP9,1,160,Af-fabriek roetfilter verwijderd,,
00PJP7,1,160,Af-fabriek roetfilter verwijderd,,
00PKG2,1,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
00PKG2,2,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
00PKG2,3,62,"Taxi, zie goedkeuringsdocument.",,
00PKG5,1,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
00PKG5,2,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
00PKT6,1,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
00PKT6,2,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
00PPK7,1,55,Kentekenplaat model 18.2. toegestaan.,,
00PXK7,1,55,Kentekenplaat model 18.2. toegestaan.,,
00PZ71,1,55,Kentekenplaat model 18.2. toegestaan.,,
00RFH4,1,108,Kentekenplaat model 27.10. toegestaan,,
00RFH6,1,108,Kentekenplaat model 27.10. toegestaan,,
00RFS5,1,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
00RFS5,2,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
00RGL4,1,108,Kentekenplaat model 27.10. toegestaan,,
00RGP8,1,108,Kentekenplaat model 27.10. toegestaan,,
00RJR1,1,61,"Taxi, ingericht voor het vervoer van ten hoogste   personen buiten de be- stuurder.",4,
00RLJ8,1,160,Af-fabriek roetfilter verwijderd,,
00RLL7,1,62,"Taxi, zie goedkeuringsdocument.",,
00RLL7,2,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
00RLL7,3,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
00RNN3,1,61,"Taxi, ingericht voor het vervoer van ten hoogste   personen buiten de be- stuurder.",4,
00RNT5,1,108,Kentekenplaat model 27.10. toegestaan,,
00RP13,1,55,Kentekenplaat model 18.2. toegestaan.,,
00RRR5,1,55,Kentekenplaat model 18.2. toegestaan.,,
00RSL6,1,62,"Taxi, zie goedkeuringsdocument.",,
00RSL6,2,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
00RSL6,3,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
00RT03,1,55,Kentekenplaat model 18.2. toegestaan.,,
00RT06,1,950,"Dit motorrijtuig behoeft niet te zijn voorzien van bevestigingspunten voor autogordels voor de zitplaats van de bestuurder en de naast deze plaats aanwezige zitplaatsen, voor zover deze aan een portier grenzen.",,
00RVV3,1,55,Kentekenplaat model 18.2. toegestaan.,,
00RXJ1,1,108,Kentekenplaat model 27.10. toegestaan,,
00RZF9,1,160,Af-fabriek roetfilter verwijderd,,
00RZL5,1,62,"Taxi, zie goedkeuringsdocument.",,
00RZL5,2,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
00RZL5,3,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
00SBK7,1,108,Kentekenplaat model 27.10. toegestaan,,
00SFF8,1,108,Kentekenplaat model 27.10. toegestaan,,
00SFR7,1,160,Af-fabriek roetfilter verwijderd,,
00SJ10,1,55,Kentekenplaat model 18.2. toegestaan.,,
00SJ12,1,55,Kentekenplaat model 18.2. toegestaan.,,
00SL08,2,55,Kentekenplaat model 18.2. toegestaan.,,
00SLJ8,1,108,Kentekenplaat model 27.10. toegestaan,,
00SPF3,1,108,Kentekenplaat model 27.10. toegestaan,,
00SRL2,1,55,Kentekenplaat model 18.2. toegestaan.,,
00SRP5,1,55,Kentekenplaat model 18.2. toegestaan.,,
00SRV4,1,141,Het remsysteem van dit voertuig is gewijzigd en goedgekeurd.,,
00STJ5,1,108,Kentekenplaat model 27.10. toegestaan,,
00STP2,1,55,Kentekenplaat model 18.2. toegestaan.,,
00SVN4,1,55,Kentekenplaat model 18.2. toegestaan.,,
00SVP9,1,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
00SVP9,2,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
00SVP9,3,62,"Taxi, zie goedkeuringsdocument.",,
00SXF4,1,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
00SXF4,2,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
00SXJ6,1,160,Af-fabriek roetfilter verwijderd,,
00SXN9,1,160,Af-fabriek roetfilter verwijderd,,
00SZF3,1,55,Kentekenplaat model 18.2. toegestaan.,,
00TE02,1,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
00TFX3,1,55,Kentekenplaat model 18.2. toegestaan.,,
00TGF9,1,160,Af-fabriek roetfilter verwijderd,,
00TGL3,1,61,"Taxi, ingericht voor het vervoer van ten hoogste   personen buiten de be- stuurder.",4,
00TJG9,1,108,Kentekenplaat model 27.10. toegestaan,,
00TLH5,1,108,Kentekenplaat model 27.10. toegestaan,,
00TNJ1,1,61,"Taxi, ingericht voor het vervoer van ten hoogste   personen buiten de be- stuurder.",4,
00TNK5,1,108,Kentekenplaat model 27.10. toegestaan,,
00TPV9,1,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
00TPV9,2,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
00TPX2,1,61,"Taxi, ingericht voor het vervoer van ten hoogste   personen buiten de be- stuurder.",4,
00TRJ1,1,108,Kentekenplaat model 27.10. toegestaan,,
00TTJ9,1,61,"Taxi, ingericht voor het vervoer van ten hoogste   personen buiten de be- stuurder.",4,
00TU87,1,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
00TVD2,1,108,Kentekenplaat model 27.10. toegestaan,,
00TVK3,1,108,Kentekenplaat model 27.10. toegestaan,,
00TXF8,1,61,"Taxi, ingericht voor het vervoer van ten hoogste   personen buiten de be- stuurder.",4,
00TXN6,1,108,Kentekenplaat model 27.10. toegestaan,,
00TZ07,1,55,Kentekenplaat model 18.2. toegestaan.,,
00TZB4,1,108,Kentekenplaat model 27.10. toegestaan,,
00TZG7,1,55,Kentekenplaat model 18.2. toegestaan.,,
00UP06,1,55,Kentekenplaat model 18.2. toegestaan.,,
00US05,1,55,Kentekenplaat model 18.2. toegestaan.,,
00VDJ1,1,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
00VDJ1,2,978,- max. massa ongeremd:,00750,kg
00VDJ1,3,980,- max. massa autonoom geremd:,03500,kg
00VDJ1,4,981,- max. massa middenas geremd:,03500,kg
00VDK4,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
00VDK4,2,146,Het in dit voertuig aangebrachte rolstoelvastzetsysteem is goedgekeurd.,,
00VDL1,1,55,Kentekenplaat model 18.2. toegestaan.,,
00VGK8,1,55,Kentekenplaat model 18.2. toegestaan.,,
00VHR4,1,55,Kentekenplaat model 18.2. toegestaan.,,
00VHZ3,1,55,Kentekenplaat model 18.2. toegestaan.,,
00VJF7,1,160,Af-fabriek roetfilter verwijderd,,
00VJH3,1,55,Kentekenplaat model 18.2. toegestaan.,,
00VJJ6,1,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
00VJJ6,2,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
00VKB1,1,146,Het in dit voertuig aangebrachte rolstoelvastzetsysteem is goedgekeurd.,,
00VKB1,2,147,De in dit voertuig aangebrachte gordels ten behoeve van een of meer passagiers in een rolstoel zijn goed- gekeurd.,,
00VKJ8,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
00VKJ8,2,146,Het in dit voertuig aangebrachte rolstoelvastzetsysteem is goedgekeurd.,,
00VKN3,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
00VKN3,2,146,Het in dit voertuig aangebrachte rolstoelvastzetsysteem is goedgekeurd.,,
00VL06,1,55,Kentekenplaat model 18.2. toegestaan.,,
00VLB8,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
00VLB8,2,146,Het in dit voertuig aangebrachte rolstoelvastzetsysteem is goedgekeurd.,,
00VND6,1,146,Het in dit voertuig aangebrachte rolstoelvastzetsysteem is goedgekeurd.,,
00VND6,2,147,De in dit voertuig aangebrachte gordels ten behoeve van een of meer passagiers in een rolstoel zijn goed- gekeurd.,,
00VNS4,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
00VNS4,2,146,Het in dit voertuig aangebrachte rolstoelvastzetsysteem is goedgekeurd.,,
00VNT1,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
00VNT1,2,146,Het in dit voertuig aangebrachte rolstoelvastzetsysteem is goedgekeurd.,,
00VNZ2,1,55,Kentekenplaat model 18.2. toegestaan.,,
00VNZ4,1,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
00VNZ4,2,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
00VNZ4,3,146,Het in dit voertuig aangebrachte rolstoelvastzetsysteem is goedgekeurd.,,
00VNZ4,4,147,De in dit voertuig aangebrachte gordels ten behoeve van een of meer passagiers in een rolstoel zijn goed- gekeurd.,,
00VPH2,1,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
00VPH2,2,978,- max. massa ongeremd:,00750,kg
00VPH2,3,980,- max. massa autonoom geremd:,03500,kg
00VPH2,4,981,- max. massa middenas geremd:,03500,kg
00VPL1,1,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
00VPL1,2,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
00VPV8,1,55,Kentekenplaat model 18.2. toegestaan.,,
00VPX4,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
00VR05,1,55,Kentekenplaat model 18.2. toegestaan.,,
00VTL1,1,55,Kentekenplaat model 18.2. toegestaan.,,
00VTN3,1,55,Kentekenplaat model 18.2. toegestaan.,,
00VXK1,1,55,Kentekenplaat model 18.2. toegestaan.,,
00VXL4,1,55,Kentekenplaat model 18.2. toegestaan.,,
00VXS5,1,55,Kentekenplaat model 18.2. toegestaan.,,
00VXS6,1,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
00VXS6,2,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
00VXS7,1,55,Kentekenplaat model 18.2. toegestaan.,,
00VZB6,1,55,Kentekenplaat model 18.2. toegestaan.,,
00VZF1,1,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
00VZF1,2,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
00VZF6,1,160,Af-fabriek roetfilter verwijderd,,
00VZP4,1,160,Af-fabriek roetfilter verwijderd,,
00VZV7,1,70,Het voertuig is (mede) ingericht voor het gebruik door/vervoer van (een) invalide(n),,
00VZV7,2,146,Het in dit voertuig aangebrachte rolstoelvastzetsysteem is goedgekeurd.,,
00WBJ9,1,983,Lengte (L):,1044-1169,cm
00WBJ9,2,985,afstand hart koppeling tot achterzijde voertuig (b):,1039-1164,cm
00WBJ9,3,982,Wielbasis:,0752-0877,cm
00WDB9,1,982,Wielbasis:,0227-0243,cm
00WDB9,2,985,afstand hart koppeling tot achterzijde voertuig (b):,339-355,cm
00WDD3,1,982,Wielbasis:,0650-0775,cm
00WDD3,2,983,Lengte (L):,0901-1026,cm
00WDD3,3,985,afstand hart koppeling tot achterzijde voertuig (b):,896-1021,cm
00WDV6,1,982,Wielbasis:,0470-0530,cm
00WDV6,2,983,Lengte (L):,0564-0624,cm
00WDV6,3,985,afstand hart koppeling tot achterzijde voertuig (b):,558-618,cm
00WDV6,4,134,In lange en zware voertuigcombinaties,,
00WDV6,5,151,Maximum massa trekkend voertuig:,28000,kg
00WDV6,6,137,- max. massa oplegger geremd:,42000,kg
00WDV6,7,607,Afstand hart koppeling tot hart koppeling:,0403-0463,cm
00WDV6,8,140,Voortbewegen oplegger met gestuurde assen niet toegestaan.,,
00WFH2,1,134,In lange en zware voertuigcombinaties,,
00WFH2,2,151,Maximum massa trekkend voertuig:,22000,kg
00WFH2,3,137,- max. massa oplegger geremd:,18000,kg
00WFH2,4,602,Afstand hart koppeling tot hart koppeling:,0349,cm
00WFL8,1,134,In lange en zware voertuigcombinaties,,
00WFL8,2,152,Maximum massa trekkend(e) voertuig(combinatie):,50000,kg
00WFL8,3,982,Wielbasis:,0691-0771,cm
00WFL8,4,983,Lengte (L):,0936-1186,cm
00WFL8,5,985,afstand hart koppeling tot achterzijde voertuig (b):,930-1180,cm
00WGN9,1,982,Wielbasis:,0726-0766,cm
00WGN9,2,983,Lengte (L):,1013-1053,cm
00WGN9,3,985,afstand hart koppeling tot achterzijde voertuig (b):,1007-1047,cm
00XBG5,1,108,Kentekenplaat model 27.10. toegestaan,,
00XBZ6,1,108,Kentekenplaat model 27.10. toegestaan,,
00XG08,1,55,Kentekenplaat model 18.2. toegestaan.,,
00XGH3,1,55,Kentekenplaat model 18.2. toegestaan.,,
00XGN9,1,55,Kentekenplaat model 18.2. toegestaan.,,
00XGV1,1,108,Kentekenplaat model 27.10. toegestaan,,
00XGZ5,1,61,"Taxi, ingericht voor het vervoer van ten hoogste   personen buiten de be- stuurder.",4,
00XH07,1,55,Kentekenplaat model 18.2. toegestaan.,,
00XH49,1,55,Kentekenplaat model 18.2. toegestaan.,,
00XHF4,1,55,Kentekenplaat model 18.2. toegestaan.,,
00XHN7,1,62,"Taxi, zie goedkeuringsdocument.",,
00XHN7,2,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
00XHN7,3,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
00XHN7,4,149,Dit motorvoertuig is voorzien van een vastzetsysteem t.b.v.    ligplaats(en),01,
00XHR3,1,62,"Taxi, zie goedkeuringsdocument.",,
00XHR3,2,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
00XHR3,3,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
00XJ09,1,55,Kentekenplaat model 18.2. toegestaan.,,
00XJJ2,1,55,Kentekenplaat model 18.2. toegestaan.,,
00XJN4,1,62,"Taxi, zie goedkeuringsdocument.",,
00XJN4,2,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
00XJN4,3,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
00XJN4,4,149,Dit motorvoertuig is voorzien van een vastzetsysteem t.b.v.    ligplaats(en),01,
00XM64,1,2,Bevestigingspunten autogordels ex art. 66 sub r onder ii WVR niet verplicht.,,
00XN10,1,55,Kentekenplaat model 18.2. toegestaan.,,
00XNR5,1,160,Af-fabriek roetfilter verwijderd,,
00XS18,1,2,Bevestigingspunten autogordels ex art. 66 sub r onder ii WVR niet verplicht.,,
00XSF8,1,62,"Taxi, zie goedkeuringsdocument.",,
00XTR7,1,108,Kentekenplaat model 27.10. toegestaan,,
00XVJ2,1,55,Kentekenplaat model 18.2. toegestaan.,,
00XVZ1,1,108,Kentekenplaat model 27.10. toegestaan,,
00XZG8,1,108,Kentekenplaat model 27.10. toegestaan,,
00YA07,1,55,Kentekenplaat model 18.2. toegestaan.,,
00YA20,1,55,Kentekenplaat model 18.2. toegestaan.,,
00YA35,1,55,Kentekenplaat model 18.2. toegestaan.,,
00YA63,1,2,Bevestigingspunten autogordels ex art. 66 sub r onder ii WVR niet verplicht.,,
00YA64,1,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
00YA87,1,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
00YA92,1,2,Bevestigingspunten autogordels ex art. 66 sub r onder ii WVR niet verplicht.,,
00YB05,1,950,"Dit motorrijtuig behoeft niet te zijn voorzien van bevestigingspunten voor autogordels voor de zitplaats van de bestuurder en de naast deze plaats aanwezige zitplaatsen, voor zover deze aan een portier grenzen.",,
00YB16,1,55,Kentekenplaat model 18.2. toegestaan.,,
00YB54,1,55,Kentekenplaat model 18.2. toegestaan.,,
00YB70,2,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
00YB74,1,55,Kentekenplaat model 18.2. toegestaan.,,
00YD01,1,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
00YD10,1,55,Kentekenplaat model 18.2. toegestaan.,,
00YD13,1,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
00YD15,1,55,Kentekenplaat model 18.2. toegestaan.,,
00YD32,1,55,Kentekenplaat model 18.2. toegestaan.,,
00YD34,1,55,Kentekenplaat model 18.2. toegestaan.,,
00YD35,1,55,Kentekenplaat model 18.2. toegestaan.,,
00YD57,1,55,Kentekenplaat model 18.2. toegestaan.,,
00YD99,1,55,Kentekenplaat model 18.2. toegestaan.,,
00YD99,2,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
00YE02,1,55,Kentekenplaat model 18.2. toegestaan.,,
00YE08,1,55,Kentekenplaat model 18.2. toegestaan.,,
00YE12,1,963,Gebruik zonder zijspan toegestaan.,,
00YE13,1,55,Kentekenplaat model 18.2. toegestaan.,,
00YE16,1,55,Kentekenplaat model 18.2. toegestaan.,,
00YE19,1,55,Kentekenplaat model 18.2. toegestaan.,,
00YE50,1,55,Kentekenplaat model 18.2. toegestaan.,,
00YE61,1,55,Kentekenplaat model 18.2. toegestaan.,,
00YE68,1,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
00YE74,1,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
00YE76,1,55,Kentekenplaat model 18.2. toegestaan.,,
00YE78,1,55,Kentekenplaat model 18.2. toegestaan.,,
00YE80,1,55,Kentekenplaat model 18.2. toegestaan.,,
00YE87,1,55,Kentekenplaat model 18.2. toegestaan.,,
00YE92,1,55,Kentekenplaat model 18.2. toegestaan.,,
00ZB45,1,55,Kentekenplaat model 18.2. toegestaan.,,
00ZDF6,1,108,Kentekenplaat model 27.10. toegestaan,,
00ZF34,1,2,Bevestigingspunten autogordels ex art. 66 sub r onder ii WVR niet verplicht.,,
00ZGD5,1,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
00ZGD5,2,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
00ZGT7,1,55,Kentekenplaat model 18.2. toegestaan.,,
00ZHP4,1,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
00ZHP4,2,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
