Kenteken,Carrosserie volgnummer,Carrosserietype,Type Carrosserie Europese omschrijving
00BJH3,1,BC,Opleggertrekker
00BJH5,1,BA,Vrachtwagen
00BJH6,1,BC,Opleggertrekker
00BJH8,1,BC,Opleggertrekker
00BJH9,1,CA,Enkeldeksvoertuig
00BJJ1,1,BA,Vrachtwagen
00BJJ2,1,BA,Vrachtwagen
00BJJ4,1,BC,Opleggertrekker
00BJJ5,1,BA,Vrachtwagen
00BJJ6,1,BC,Opleggertrekker
00BJJ7,1,BC,Opleggertrekker
00BJK1,1,CA,Enkeldeksvoertuig
00BJK3,1,BC,Opleggertrekker
00BJK6,1,CB,Dubbeldeksvoertuig
00BJK7,1,BC,Opleggertrekker
00BJK8,1,BA,Vrachtwagen
00BJL1,1,BC,Opleggertrekker
00BJL2,1,CA,Enkeldeksvoertuig
00BJL3,1,BC,Opleggertrekker
00BJL4,1,BC,Opleggertrekker
00BJL5,1,BC,Opleggertrekker
00BJL6,1,BA,Vrachtwagen
00BJL7,1,BC,Opleggertrekker
00BJL8,1,BC,Opleggertrekker
00BJL9,1,BA,Vrachtwagen
00BJN1,1,BC,Opleggertrekker
00BJN2,1,BA,Vrachtwagen
00BJN3,1,BC,Opleggertrekker
00BJN4,1,BC,Opleggertrekker
00BJN5,1,BC,Opleggertrekker
00BJN6,1,BC,Opleggertrekker
00BJN7,1,BA,Vrachtwagen
00BJN8,1,BC,Opleggertrekker
00BJN9,1,BA,Vrachtwagen
00BJP2,1,BC,Opleggertrekker
00BJP3,1,CA,Enkeldeksvoertuig
00BJP7,1,BC,Opleggertrekker
00BJP9,1,BA,Vrachtwagen
00BJR1,1,CE,Enkeldeksvoertuig met lage vloer
00BJR2,1,BA,Vrachtwagen
00BJR3,1,BA,Vrachtwagen
00BJR4,1,BC,Opleggertrekker
00BJR6,1,BA,Vrachtwagen
00BJR7,1,BC,Opleggertrekker
00BJR8,1,CA,Enkeldeksvoertuig
00BJS1,1,BC,Opleggertrekker
00BJS2,1,CA,Enkeldeksvoertuig
00BJS3,1,BA,Vrachtwagen
00BJS4,1,CE,Enkeldeksvoertuig met lage vloer
00BJS6,1,BA,Vrachtwagen
00BJS7,1,BA,Vrachtwagen
00BJT1,1,BC,Opleggertrekker
00BJT4,1,BC,Opleggertrekker
00BJT5,1,BC,Opleggertrekker
00BJT6,1,BA,Vrachtwagen
00BJT9,1,BC,Opleggertrekker
00BJV2,1,BA,Vrachtwagen
00BJV3,1,BA,Vrachtwagen
00BJV5,1,BC,Opleggertrekker
00BJV6,1,BC,Opleggertrekker
00BJV7,1,BA,Vrachtwagen
00BJV8,1,BA,Vrachtwagen
00BJV9,1,BC,Opleggertrekker
00BJX1,1,BA,Vrachtwagen
00BJX3,1,BC,Opleggertrekker
00BJX5,1,BC,Opleggertrekker
00BJX6,1,BC,Opleggertrekker
00BJX7,1,BC,Opleggertrekker
00BJX9,1,BC,Opleggertrekker
00BJZ1,1,BA,Vrachtwagen
00BJZ2,1,BA,Vrachtwagen
00BJZ3,1,BA,Vrachtwagen
00BJZ4,1,BC,Opleggertrekker
00BJZ5,1,BC,Opleggertrekker
00BJZ6,1,BC,Opleggertrekker
00BJZ8,1,BC,Opleggertrekker
00BJZ9,1,BC,Opleggertrekker
00BKB1,1,BC,Opleggertrekker
00BKB2,1,BC,Opleggertrekker
00BKB3,1,BA,Vrachtwagen
00BKB5,1,BC,Opleggertrekker
00BKB6,1,BC,Opleggertrekker
00BKB8,1,BA,Vrachtwagen
00BKB9,1,BA,Vrachtwagen
00BKD1,1,BC,Opleggertrekker
00BKD2,1,BC,Opleggertrekker
00BKD3,1,BC,Opleggertrekker
00BKD4,1,BC,Opleggertrekker
00BKD5,1,BC,Opleggertrekker
00BKD6,1,BA,Vrachtwagen
00BKD8,1,BC,Opleggertrekker
00BKD9,1,BA,Vrachtwagen
00BKF2,1,BC,Opleggertrekker
00BKF3,1,BA,Vrachtwagen
00BKF4,1,BC,Opleggertrekker
00BKF6,1,CE,Enkeldeksvoertuig met lage vloer
00BKF7,1,CE,Enkeldeksvoertuig met lage vloer
00BKF9,1,BC,Opleggertrekker
00BKG1,1,BC,Opleggertrekker
00BKG2,1,CE,Enkeldeksvoertuig met lage vloer
00BKG3,1,BA,Vrachtwagen
00BKG4,1,BC,Opleggertrekker
00BKG5,1,BC,Opleggertrekker
00BKG6,1,BC,Opleggertrekker
00BKG7,1,BA,Vrachtwagen
00BKG8,1,BC,Opleggertrekker
00BKG9,1,BC,Opleggertrekker
00BKH2,1,BC,Opleggertrekker
00BKH3,1,BC,Opleggertrekker
00BKH4,1,BC,Opleggertrekker
00BKH6,1,BC,Opleggertrekker
00BKH7,1,BC,Opleggertrekker
00BKH8,1,BC,Opleggertrekker
00BKH9,1,BC,Opleggertrekker
00BKJ1,1,BA,Vrachtwagen
00BKJ2,1,BA,Vrachtwagen
00BKJ3,1,BA,Vrachtwagen
00BKJ4,1,BA,Vrachtwagen
00BKJ5,1,BC,Opleggertrekker
00BKJ6,1,BC,Opleggertrekker
00BKJ7,1,BA,Vrachtwagen
00BKJ8,1,BA,Vrachtwagen
00BKJ9,1,BC,Opleggertrekker
00BKK1,1,BC,Opleggertrekker
00BKK2,1,BC,Opleggertrekker
00BKK6,1,CA,Enkeldeksvoertuig
00BKK8,1,BC,Opleggertrekker
00BKK9,1,BC,Opleggertrekker
00BKL1,1,BA,Vrachtwagen
00BKL2,1,BA,Vrachtwagen
00BKL3,1,BA,Vrachtwagen
00BKL7,1,BC,Opleggertrekker
00BKL8,1,BC,Opleggertrekker
00BKL9,1,BC,Opleggertrekker
00BKN1,1,BC,Opleggertrekker
00BKN2,1,BC,Opleggertrekker
00BKN3,1,BC,Opleggertrekker
00BKN5,1,BA,Vrachtwagen
00BKN6,1,BA,Vrachtwagen
00BKN8,1,BC,Opleggertrekker
00BKN9,1,BC,Opleggertrekker
00BKP1,1,BC,Opleggertrekker
00BKP2,1,BC,Opleggertrekker
00BKP6,1,BC,Opleggertrekker
00BKP7,1,BC,Opleggertrekker
00BKP8,1,CA,Enkeldeksvoertuig
00BKR2,1,BC,Opleggertrekker
00BKR3,1,BC,Opleggertrekker
00BKR4,1,BA,Vrachtwagen
00BKR6,1,BA,Vrachtwagen
00BKR7,1,BA,Vrachtwagen
00BKR8,1,BC,Opleggertrekker
00BKR9,1,BC,Opleggertrekker
00BKS1,1,BA,Vrachtwagen
00BKS3,1,BC,Opleggertrekker
00BKS4,1,BC,Opleggertrekker
00BKS5,1,CA,Enkeldeksvoertuig
00BKS6,1,BC,Opleggertrekker
00BKS7,1,BC,Opleggertrekker
00BKS9,1,BC,Opleggertrekker
00BKT1,1,BA,Vrachtwagen
00BKT2,1,BC,Opleggertrekker
00BKT3,1,BC,Opleggertrekker
00BKT4,1,BC,Opleggertrekker
00BKT5,1,BA,Vrachtwagen
00BKT6,1,BC,Opleggertrekker
00BKT7,1,BC,Opleggertrekker
00BKT8,1,BC,Opleggertrekker
00BKT9,1,BA,Vrachtwagen
00BKV1,1,BA,Vrachtwagen
00BKV2,1,BC,Opleggertrekker
00BKV3,1,BC,Opleggertrekker
00BKV5,1,BA,Vrachtwagen
00BKV6,1,BC,Opleggertrekker
00BKV8,1,BC,Opleggertrekker
00BKV9,1,BA,Vrachtwagen
00BKX1,1,CA,Enkeldeksvoertuig
00BKX2,1,BA,Vrachtwagen
00BKX3,1,BA,Vrachtwagen
00BKX4,1,BA,Vrachtwagen
00BKX5,1,BC,Opleggertrekker
00BKX6,1,BC,Opleggertrekker
00BKX8,1,BC,Opleggertrekker
00BKX9,1,BC,Opleggertrekker
00BKZ1,1,CE,Enkeldeksvoertuig met lage vloer
00BKZ2,1,BA,Vrachtwagen
00BKZ3,1,BA,Vrachtwagen
00BKZ4,1,BC,Opleggertrekker
00BKZ5,1,BA,Vrachtwagen
00BKZ7,1,BC,Opleggertrekker
00BKZ8,1,BC,Opleggertrekker
00BKZ9,1,BA,Vrachtwagen
00BLB1,1,BA,Vrachtwagen
00BLB3,1,BC,Opleggertrekker
00BLB4,1,BC,Opleggertrekker
00BLB5,1,BC,Opleggertrekker
00BLB6,1,BC,Opleggertrekker
00BLB7,1,BC,Opleggertrekker
00BLB8,1,BA,Vrachtwagen
00BLB9,1,BA,Vrachtwagen
00BLD1,1,BA,Vrachtwagen
00BLD3,1,BC,Opleggertrekker
00BLD4,1,BC,Opleggertrekker
00BLD5,1,BC,Opleggertrekker
00BLD6,1,BC,Opleggertrekker
00BLD8,1,BC,Opleggertrekker
00BLD9,1,CG,Geleed enkeldeksvoertuig met lage vloer
00BLF1,1,BA,Vrachtwagen
00BLF2,1,BA,Vrachtwagen
00BLF3,1,BA,Vrachtwagen
00BLF4,1,BC,Opleggertrekker
00BLF7,1,BA,Vrachtwagen
00BLF9,1,BA,Vrachtwagen
00BLG2,1,BE,Pick-uptruck
00BLG3,1,BA,Vrachtwagen
00BLG6,1,BA,Vrachtwagen
00BLG7,1,BC,Opleggertrekker
00BLG9,1,BA,Vrachtwagen
00BLH1,1,BC,Opleggertrekker
00BLH2,1,BA,Vrachtwagen
00BLH3,1,BC,Opleggertrekker
00BLH4,1,BC,Opleggertrekker
00BLH6,1,BC,Opleggertrekker
00BLJ1,1,BA,Vrachtwagen
00BLJ2,1,BC,Opleggertrekker
00BLJ3,1,BC,Opleggertrekker
00BLJ4,1,BC,Opleggertrekker
00BLJ5,1,BC,Opleggertrekker
00BLJ6,1,BA,Vrachtwagen
00BLJ7,1,BB,Bestelwagen
00BLJ9,1,BC,Opleggertrekker
00BLK1,1,BC,Opleggertrekker
00BLK2,1,BA,Vrachtwagen
00BLK3,1,BC,Opleggertrekker
00BLK4,1,BC,Opleggertrekker
00BLK5,1,BC,Opleggertrekker
00BLK6,1,BA,Vrachtwagen
00BLK8,1,BA,Vrachtwagen
00BLL2,1,BC,Opleggertrekker
00BLL3,1,BA,Vrachtwagen
00BLL4,1,BA,Vrachtwagen
00BLL5,1,BC,Opleggertrekker
00BLL6,1,BA,Vrachtwagen
00BLL8,1,BC,Opleggertrekker
00BLL9,1,BC,Opleggertrekker
00BLN1,1,CE,Enkeldeksvoertuig met lage vloer
00BLN2,1,BC,Opleggertrekker
00BLN3,1,BC,Opleggertrekker
00BLN4,1,BC,Opleggertrekker
00BLN5,1,BC,Opleggertrekker
00BLN7,1,BA,Vrachtwagen
00BLN8,1,BA,Vrachtwagen
00BLN9,1,CE,Enkeldeksvoertuig met lage vloer
00BLP1,1,BC,Opleggertrekker
00BLP2,1,BC,Opleggertrekker
00BLP5,1,CA,Enkeldeksvoertuig
00BLP6,1,CE,Enkeldeksvoertuig met lage vloer
00BLP7,1,BC,Opleggertrekker
00BLP8,1,BC,Opleggertrekker
00BLP9,1,BC,Opleggertrekker
00BLR1,1,BC,Opleggertrekker
00BLR4,1,BC,Opleggertrekker
00BLR5,1,BC,Opleggertrekker
00BLR6,1,BC,Opleggertrekker
00BLR7,1,BC,Opleggertrekker
00BLR8,1,BA,Vrachtwagen
00BLR9,1,BC,Opleggertrekker
00BLS1,1,BC,Opleggertrekker
00BLS2,1,BC,Opleggertrekker
00BLS3,1,BC,Opleggertrekker
00BLS4,1,BC,Opleggertrekker
00BLS5,1,BC,Opleggertrekker
00BLS6,1,BA,Vrachtwagen
00BLS7,1,BC,Opleggertrekker
00BLS8,1,BA,Vrachtwagen
00BLS9,1,BC,Opleggertrekker
00BLT1,1,BC,Opleggertrekker
00BLT3,1,BA,Vrachtwagen
00BLT4,1,BA,Vrachtwagen
00BLT5,1,BC,Opleggertrekker
00BLT6,1,BC,Opleggertrekker
00BLT7,1,BA,Vrachtwagen
00BLV1,1,BA,Vrachtwagen
00BLV2,1,BC,Opleggertrekker
00BLV3,1,BB,Bestelwagen
00BLV5,1,BC,Opleggertrekker
00BLV7,1,BC,Opleggertrekker
00BLV9,1,BC,Opleggertrekker
00BLX1,1,BA,Vrachtwagen
00BLX2,1,BC,Opleggertrekker
00BLX3,1,BA,Vrachtwagen
00BLX4,1,BC,Opleggertrekker
00BLX6,1,BC,Opleggertrekker
00BLX7,1,BA,Vrachtwagen
00BLZ2,1,BC,Opleggertrekker
00BLZ4,1,BA,Vrachtwagen
00BLZ5,1,BC,Opleggertrekker
00BLZ6,1,BC,Opleggertrekker
00BLZ8,1,BC,Opleggertrekker
00BLZ9,1,CE,Enkeldeksvoertuig met lage vloer
00BNB1,1,BA,Vrachtwagen
00BNB2,1,BC,Opleggertrekker
00BNB3,1,BA,Vrachtwagen
00BNB4,1,BC,Opleggertrekker
00BNB5,1,BA,Vrachtwagen
00BNB6,1,BC,Opleggertrekker
00BNB7,1,BC,Opleggertrekker
00BNB8,1,BA,Vrachtwagen
00BNB9,1,BA,Vrachtwagen
00BND1,1,BA,Vrachtwagen
00BND2,1,BA,Vrachtwagen
00BND3,1,BC,Opleggertrekker
00BND4,1,BA,Vrachtwagen
00BND5,1,BC,Opleggertrekker
00BND6,1,BA,Vrachtwagen
00BND7,1,BA,Vrachtwagen
00BND9,1,BC,Opleggertrekker
00BNF1,1,BC,Opleggertrekker
00BNF2,1,BA,Vrachtwagen
00BNF3,1,BA,Vrachtwagen
00BNF4,1,BC,Opleggertrekker
00BNF5,1,BC,Opleggertrekker
00BNF6,1,BC,Opleggertrekker
00BNF7,1,BA,Vrachtwagen
00BNF8,1,BA,Vrachtwagen
00BNF9,1,BC,Opleggertrekker
00BNG1,1,BC,Opleggertrekker
00BNG4,1,BC,Opleggertrekker
00BNG5,1,BA,Vrachtwagen
00BNG8,1,BA,Vrachtwagen
00BNG9,1,BA,Vrachtwagen
00BNH1,1,BC,Opleggertrekker
00BNH2,1,BA,Vrachtwagen
00BNH3,1,BC,Opleggertrekker
00BNH5,1,BC,Opleggertrekker
00BNH6,1,BC,Opleggertrekker
00BNH7,1,BA,Vrachtwagen
00BNH8,1,BA,Vrachtwagen
00BNJ1,1,CA,Enkeldeksvoertuig
00BNJ2,1,BA,Vrachtwagen
00BNJ3,1,BA,Vrachtwagen
00BNJ4,1,BC,Opleggertrekker
00BNJ6,1,BC,Opleggertrekker
00BNJ7,1,BC,Opleggertrekker
00BNJ8,1,BC,Opleggertrekker
00BNJ9,1,BA,Vrachtwagen
00BNK1,1,BA,Vrachtwagen
00BNK2,1,BC,Opleggertrekker
00BNK4,1,BA,Vrachtwagen
00BNK5,1,BC,Opleggertrekker
00BNK6,1,CA,Enkeldeksvoertuig
00BNK7,1,BC,Opleggertrekker
00BNK8,1,BC,Opleggertrekker
00BNK9,1,BC,Opleggertrekker
00BNL2,1,BC,Opleggertrekker
00BNL5,1,BA,Vrachtwagen
00BNL6,1,BA,Vrachtwagen
00BNL7,1,BA,Vrachtwagen
00BNL9,1,BC,Opleggertrekker
00BNN1,1,BC,Opleggertrekker
00BNN3,1,BC,Opleggertrekker
00BNN5,1,BC,Opleggertrekker
00BNN7,1,BC,Opleggertrekker
00BNN8,1,BC,Opleggertrekker
00BNN9,1,BC,Opleggertrekker
00BNP1,1,BA,Vrachtwagen
00BNP2,1,BC,Opleggertrekker
00BNP3,1,BA,Vrachtwagen
00BNP4,1,BC,Opleggertrekker
00BNP5,1,BA,Vrachtwagen
00BNP6,1,BC,Opleggertrekker
00BNP7,1,BC,Opleggertrekker
00BNP8,1,BC,Opleggertrekker
00BNP9,1,BC,Opleggertrekker
00BNR1,1,BC,Opleggertrekker
00BNR3,1,BA,Vrachtwagen
00BNR4,1,BA,Vrachtwagen
00BNR5,1,BC,Opleggertrekker
00BNR6,1,BC,Opleggertrekker
00BNR7,1,BC,Opleggertrekker
00BNR8,1,BC,Opleggertrekker
00BNR9,1,BC,Opleggertrekker
00BNS1,1,BC,Opleggertrekker
00BNS2,1,BC,Opleggertrekker
00BNS3,1,BC,Opleggertrekker
00BNS4,1,BA,Vrachtwagen
00BNS5,1,BA,Vrachtwagen
00BNS6,1,BC,Opleggertrekker
00BNS8,1,BC,Opleggertrekker
00BNS9,1,BA,Vrachtwagen
00BNT1,1,BC,Opleggertrekker
00BNT2,1,BC,Opleggertrekker
00BNT3,1,BC,Opleggertrekker
00BNT4,1,BC,Opleggertrekker
00BNT5,1,BA,Vrachtwagen
00BNT6,1,BC,Opleggertrekker
00BNT9,1,BA,Vrachtwagen
00BNV3,1,BA,Vrachtwagen
00BNV4,1,BC,Opleggertrekker
00BNV6,1,BA,Vrachtwagen
00BNV7,1,BC,Opleggertrekker
00BNV8,1,BC,Opleggertrekker
00BNV9,1,BA,Vrachtwagen
00BNX1,1,BC,Opleggertrekker
00BNX2,1,BC,Opleggertrekker
00BNX3,1,BC,Opleggertrekker
00BNX4,1,BC,Opleggertrekker
00BNX5,1,BC,Opleggertrekker
00BNX6,1,CE,Enkeldeksvoertuig met lage vloer
00BNX7,1,BA,Vrachtwagen
00BNX8,1,BC,Opleggertrekker
00BNX9,1,BA,Vrachtwagen
00BNZ1,1,BA,Vrachtwagen
00BNZ2,1,BC,Opleggertrekker
00BNZ3,1,BC,Opleggertrekker
00BNZ4,1,BC,Opleggertrekker
00BNZ5,1,BC,Opleggertrekker
00BNZ7,1,BC,Opleggertrekker
00BNZ9,1,BA,Vrachtwagen
00BP88,1,AA,Sedan
00BPB1,1,BC,Opleggertrekker
00BPB2,1,BA,Vrachtwagen
00BPB3,1,CE,Enkeldeksvoertuig met lage vloer
00BPB5,1,BA,Vrachtwagen
00BPB6,1,BA,Vrachtwagen
00BPB7,1,BC,Opleggertrekker
00BPB8,1,BC,Opleggertrekker
00BPB9,1,BA,Vrachtwagen
00BPD1,1,BC,Opleggertrekker
00BPD3,1,CG,Geleed enkeldeksvoertuig met lage vloer
00BPD5,1,BC,Opleggertrekker
00BPD6,1,BA,Vrachtwagen
00BPD7,1,BC,Opleggertrekker
00BPD8,1,BC,Opleggertrekker
00BPD9,1,BA,Vrachtwagen
00BPF3,1,BC,Opleggertrekker
00BPF4,1,BA,Vrachtwagen
00BPF5,1,BC,Opleggertrekker
00BPF6,1,BB,Bestelwagen
00BPF8,1,BC,Opleggertrekker
00BPF9,1,BA,Vrachtwagen
00BPG1,1,BA,Vrachtwagen
00BPG2,1,BC,Opleggertrekker
00BPG3,1,BC,Opleggertrekker
00BPG4,1,BC,Opleggertrekker
00BPG5,1,BC,Opleggertrekker
00BPG7,1,BC,Opleggertrekker
00BPG8,1,BA,Vrachtwagen
00BPG9,1,BA,Vrachtwagen
00BPH1,1,BC,Opleggertrekker
00BPH2,1,BA,Vrachtwagen
00BPH6,1,BC,Opleggertrekker
00BPH7,1,BC,Opleggertrekker
00BPH8,1,BC,Opleggertrekker
00BPH9,1,BC,Opleggertrekker
00BPJ1,1,BA,Vrachtwagen
00BPJ2,1,BA,Vrachtwagen
00BPJ3,1,BA,Vrachtwagen
00BPJ4,1,BC,Opleggertrekker
00BPJ5,1,BC,Opleggertrekker
00BPJ6,1,BC,Opleggertrekker
00BPJ7,1,BC,Opleggertrekker
00BPJ8,1,BA,Vrachtwagen
00BPJ9,1,BC,Opleggertrekker
00BPK1,1,BC,Opleggertrekker
00BPK2,1,BA,Vrachtwagen
00BPK3,1,BC,Opleggertrekker
00BPK4,1,BC,Opleggertrekker
00BPK5,1,BA,Vrachtwagen
00BPK7,1,BA,Vrachtwagen
00BPK8,1,BA,Vrachtwagen
00BPK9,1,BA,Vrachtwagen
00BPL1,1,BA,Vrachtwagen
00BPL2,1,BA,Vrachtwagen
00BPL3,1,BA,Vrachtwagen
00BPL4,1,BA,Vrachtwagen
00BPL6,1,BA,Vrachtwagen
00BPL7,1,BC,Opleggertrekker
00BPL8,1,BC,Opleggertrekker
00BPL9,1,BA,Vrachtwagen
00BPN2,1,BB,Bestelwagen
00BPN3,1,BC,Opleggertrekker
00BPN4,1,BC,Opleggertrekker
00BPN5,1,BA,Vrachtwagen
00BPN6,1,BC,Opleggertrekker
00BPN7,1,BC,Opleggertrekker
00BPN9,1,BA,Vrachtwagen
00BPP1,1,BA,Vrachtwagen
00BPP3,1,BA,Vrachtwagen
00BPP4,1,BC,Opleggertrekker
00BPP7,1,BC,Opleggertrekker
00BPP9,1,BA,Vrachtwagen
00BPR1,1,BC,Opleggertrekker
00BPR4,1,BA,Vrachtwagen
00BPR5,1,BA,Vrachtwagen
00BPR6,1,BC,Opleggertrekker
00BPR7,1,BA,Vrachtwagen
00BPR8,1,BA,Vrachtwagen
00BPR9,1,BB,Bestelwagen
00BPS1,1,BA,Vrachtwagen
00BPS2,1,BA,Vrachtwagen
00BPS3,1,BC,Opleggertrekker
00BPS5,1,BC,Opleggertrekker
00BPS6,1,BC,Opleggertrekker
00BPS7,1,BC,Opleggertrekker
00BPS8,1,BC,Opleggertrekker
00BPT1,1,BA,Vrachtwagen
00BPT2,1,BC,Opleggertrekker
00BPT3,1,BC,Opleggertrekker
00BPT4,1,BC,Opleggertrekker
00BPT5,1,BC,Opleggertrekker
00BPT6,1,BA,Vrachtwagen
00BPT7,1,BA,Vrachtwagen
00BPT8,1,BC,Opleggertrekker
00BPT9,1,BA,Vrachtwagen
00BPV1,1,BC,Opleggertrekker
00BPV2,1,BC,Opleggertrekker
00BPV3,1,CG,Geleed enkeldeksvoertuig met lage vloer
00BPV5,1,BA,Vrachtwagen
00BPV6,1,BC,Opleggertrekker
00BPV7,1,CE,Enkeldeksvoertuig met lage vloer
00BPV8,1,BA,Vrachtwagen
00BPV9,1,BC,Opleggertrekker
00BPX1,1,BA,Vrachtwagen
00BPX2,1,BC,Opleggertrekker
00BPX3,1,BA,Vrachtwagen
00BPX4,1,BC,Opleggertrekker
00BPX5,1,BA,Vrachtwagen
00BPX6,1,BC,Opleggertrekker
00BPX7,1,BA,Vrachtwagen
00BPX8,1,BA,Vrachtwagen
00BPX9,1,BA,Vrachtwagen
00BPZ1,1,BA,Vrachtwagen
00BPZ2,1,BC,Opleggertrekker
00BPZ3,1,BA,Vrachtwagen
00BPZ4,1,BC,Opleggertrekker
00BPZ5,1,BA,Vrachtwagen
00BPZ6,1,BC,Opleggertrekker
00BPZ7,1,BC,Opleggertrekker
00BPZ8,1,CE,Enkeldeksvoertuig met lage vloer
00BPZ9,1,BC,Opleggertrekker
00BR10,1,AD,Coupe
00BR20,1,AE,Cabriolet
00BRB1,1,BA,Vrachtwagen
00BRB2,1,CE,Enkeldeksvoertuig met lage vloer
00BRB3,1,BC,Opleggertrekker
00BRB4,1,CE,Enkeldeksvoertuig met lage vloer
00BRB5,1,BB,Bestelwagen
00BRB6,1,BC,Opleggertrekker
00BRB7,1,BC,Opleggertrekker
00BRB9,1,BC,Opleggertrekker
00BRD1,1,BC,Opleggertrekker
00BRD2,1,BA,Vrachtwagen
00BRD3,1,BA,Vrachtwagen
00BRD4,1,BC,Opleggertrekker
00BRD5,1,BA,Vrachtwagen
00BRD6,1,BA,Vrachtwagen
00BRD9,1,BA,Vrachtwagen
00BRF3,1,BA,Vrachtwagen
00BRF4,1,BC,Opleggertrekker
00BRF5,1,BC,Opleggertrekker
00BRF6,1,BA,Vrachtwagen
00BRF7,1,BC,Opleggertrekker
00BRF8,1,BC,Opleggertrekker
00BRG2,1,BA,Vrachtwagen
00BRG3,1,BA,Vrachtwagen
00BRG5,1,BA,Vrachtwagen
00BRG7,1,BA,Vrachtwagen
00BRG8,1,BC,Opleggertrekker
00BRH3,1,BC,Opleggertrekker
00BRH5,1,BC,Opleggertrekker
00BRH6,1,BC,Opleggertrekker
00BRH7,1,BC,Opleggertrekker
00BRH8,1,BA,Vrachtwagen
00BRJ1,1,BA,Vrachtwagen
00BRJ2,1,BA,Vrachtwagen
00BRJ3,1,BC,Opleggertrekker
00BRJ4,1,BC,Opleggertrekker
00BRJ5,1,BA,Vrachtwagen
00BRJ6,1,BC,Opleggertrekker
00BRJ7,1,BA,Vrachtwagen
00BRJ8,1,CE,Enkeldeksvoertuig met lage vloer
00BRK1,1,BA,Vrachtwagen
00BRK2,1,BC,Opleggertrekker
00BRK3,1,BA,Vrachtwagen
00BRK4,1,BA,Vrachtwagen
00BRK7,1,BC,Opleggertrekker
00BRK9,1,BC,Opleggertrekker
00BRL1,1,BA,Vrachtwagen
00BRL2,1,BC,Opleggertrekker
00BRL3,1,BC,Opleggertrekker
00BRL4,1,BA,Vrachtwagen
00BRL5,1,BA,Vrachtwagen
00BRL7,1,BC,Opleggertrekker
00BRL8,1,BC,Opleggertrekker
00BRL9,1,BC,Opleggertrekker
00BRN1,1,BC,Opleggertrekker
00BRN2,1,BC,Opleggertrekker
00BRN3,1,BC,Opleggertrekker
00BRN4,1,BC,Opleggertrekker
00BRN5,1,BA,Vrachtwagen
00BRN6,1,BC,Opleggertrekker
00BRN7,1,BC,Opleggertrekker
00BRN8,1,BC,Opleggertrekker
00BRN9,1,BA,Vrachtwagen
00BRP2,1,BC,Opleggertrekker
00BRP3,1,BA,Vrachtwagen
00BRP4,1,BA,Vrachtwagen
00BRP5,1,BC,Opleggertrekker
00BRP6,1,BB,Bestelwagen
00BRP7,1,BC,Opleggertrekker
00BRR1,1,BA,Vrachtwagen
00BRR2,1,BC,Opleggertrekker
00BRR3,1,BC,Opleggertrekker
00BRR4,1,BC,Opleggertrekker
00BRR5,1,BA,Vrachtwagen
00BRR6,1,BA,Vrachtwagen
00BRR7,1,BC,Opleggertrekker
00BRR8,1,BC,Opleggertrekker
00BRR9,1,BC,Opleggertrekker
00BRS2,1,BC,Opleggertrekker
00BRS3,1,BA,Vrachtwagen
00BRS5,1,BA,Vrachtwagen
00BRS6,1,BA,Vrachtwagen
00BRS7,1,BC,Opleggertrekker
00BRS8,1,BA,Vrachtwagen
00BRS9,1,BC,Opleggertrekker
00BRT2,1,CA,Enkeldeksvoertuig
00BRT3,1,BC,Opleggertrekker
00BRT4,1,BC,Opleggertrekker
00BRT5,1,BC,Opleggertrekker
00BRT7,1,BC,Opleggertrekker
00BRT8,1,BC,Opleggertrekker
00BRT9,1,BC,Opleggertrekker
00BRV2,1,BC,Opleggertrekker
00BRV3,1,BA,Vrachtwagen
00BRV5,1,BA,Vrachtwagen
00BRV6,1,CG,Geleed enkeldeksvoertuig met lage vloer
00BRV7,1,BA,Vrachtwagen
00BRV8,1,BC,Opleggertrekker
00BRX1,1,BA,Vrachtwagen
00BRX2,1,BA,Vrachtwagen
00BRX3,1,BC,Opleggertrekker
00BRX4,1,BA,Vrachtwagen
00BRX5,1,BC,Opleggertrekker
00BRX6,1,BC,Opleggertrekker
00BRX7,1,BA,Vrachtwagen
00BRX8,1,BC,Opleggertrekker
00BRX9,1,BC,Opleggertrekker
00BRZ1,1,BC,Opleggertrekker
00BRZ2,1,CA,Enkeldeksvoertuig
00BRZ3,1,BA,Vrachtwagen
00BRZ4,1,BC,Opleggertrekker
00BRZ5,1,BA,Vrachtwagen
00BRZ7,1,BC,Opleggertrekker
00BRZ8,1,BC,Opleggertrekker
00BSB2,1,BC,Opleggertrekker
00BSB3,1,BA,Vrachtwagen
00BSB4,1,BC,Opleggertrekker
00BSB5,1,BC,Opleggertrekker
00BSB6,1,BC,Opleggertrekker
00BSB7,1,BA,Vrachtwagen
00BSB8,1,BC,Opleggertrekker
00BSB9,1,BC,Opleggertrekker
00BSF1,1,BC,Opleggertrekker
00BSF3,1,BA,Vrachtwagen
00BSF5,1,BC,Opleggertrekker
00BSF6,1,BA,Vrachtwagen
00BSF7,1,BC,Opleggertrekker
00BSF8,1,BC,Opleggertrekker
00BSF9,1,BA,Vrachtwagen
00BSG1,1,BC,Opleggertrekker
00BSG2,1,BA,Vrachtwagen
00BSG3,1,BC,Opleggertrekker
00BSG5,1,BC,Opleggertrekker
00BSG6,1,BC,Opleggertrekker
00BSG7,1,BA,Vrachtwagen
00BSG8,1,BC,Opleggertrekker
00BSG9,1,BC,Opleggertrekker
00BSH1,1,BC,Opleggertrekker
