"number","fraction","prefix","name","suffix","month","day","year","res_non","type","sf_mf","dwelling_units_gained_or_lost","permit_value","how_far_east","how_far_north","permit_number","location_1"
"2413",,"E","13","ST","11","1","1970","Residential","Demolition","Multifamily","2","517","2773600","1067122","32630","2413 E 13 ST
,  "
"1414",,"E","14","ST","3","1","1973","Residential","Additions, Alterations, Repairs","NA","0","1900","2770265","1066904","81941","1414 E 14 ST
,  "
"2610",,"E","11","ST","6","1","1972","Non-Residential","New Construction","NA","0","23400","2774353","1068366","68353","2610 E 11 ST
,  "
"1217",,"E","8","ST","4","1","1972","Non-Residential","Additions, Alterations, Repairs","NA","0","1500","2769380","1069492","64130","1217 E 8 ST
,  "
"12012",,"E","57","TE","4","1","1970","Residential","New Construction","Single Family","1","9000","2806038","1038241","22001","12012 E 57 TE
,  "
"2327",,"E","48","TE","11","1","1971","Residential","Demolition","Single Family","1","759","2772380","1045500","53207","2327 E 48 TE
,  "
"2421",,"E","10","ST","7","1","1971","Residential","New Construction","Single Family","1","11000","2773803","1068609","46808","2421 E 10 ST
,  "
"3514",,"E","55","ST","4","1","1972","Residential","New Construction","Single Family","1","11000","2776116","1041242","63792","3514 E 55 ST
,  "
"5113",,"NE","46","ST","5","1","1970","Residential","New Construction","Single Family","1","12000","2783111","1096149","23322","5113 NE 46 ST
,  "
"2608",,"E","52","ST","12","1","1972","Residential","Demolition","Single Family","1","306","2773149","1043346","77429","2608 E 52 ST
,  "
"2420",,"E","11","ST","1","1","1971","Residential","Additions, Alterations, Repairs","NA","0","2000","2773571","1068390","35397","2420 E 11 ST
,  "
"2315",,"E","48","ST","3","1","1971","Residential","Demolition","Single Family","1","300","2772313","1045801","39703","2315 E 48 ST
,  "
"3407",,"E","33","ST","7","1","1971","Residential","Additions, Alterations, Repairs","NA","0","400","2776294","1055625","47305","3407 E 33 ST
,  "
"10701",,"E","47","ST","7","1","1972","Residential","New Construction","Single Family","1","30000","2801838","1045144","68516","10701 E 47 ST
,  "
"12101",,"E","55","ST","6","1","1972","Residential","New Construction","Single Family","1","26000","2806106","1039672","66537","12101 E 55 ST
,  "
"6",,"E","11","ST","2","1","1973","Non-Residential","Additions, Alterations, Repairs","NA","0","1500","2762493","1005368","81581","6 E 11 ST
,  "
"4216",,"NE","38","ST","9","1","1971","Residential","Additions, Alterations, Repairs","NA","0","100","2780032","1090962","51020","4216 NE 38 ST
,  "
"4435",,"E","10","ST","5","1","1971","Residential","Additions, Alterations, Repairs","NA","0","1000","2780569","1068336","43743","4435 E 10 ST
,  "
"5820",,"E","12","ST","10","1","1971","Residential","Additions, Alterations, Repairs","NA","0","1250","2784949","1067259","51616","5820 E 12 ST
,  "
