"report_no","reported_date","reported_time","from_date","from_time","to_date","to_time","offense","ibrs","description","beat","address","city","zip_code","rep_dist","area","dvflag","involvement","race","sex","age","firearm_used_flag","location"
"KC19040913","2019-06-03T00:00:00.000","5:24","2019-06-03T00:00:00.000","5:00",,,"Assault (Aggravated)","13A","Aggravated Assault","311","SCARRITT AVE and N CHELSEA AVE","KANSAS CITY","64123","PJ0229","EPD","N","SUS","B","M",,"true",
"KC19046602","2019-06-22T00:00:00.000","14:00","2019-06-22T00:00:00.000","15:30",,,"Stealing – Shoplift","23C","Shoplifting","345","11600  E US 40 HWY","KANSAS CITY","64133","PJ3601","EPD","N","ARR CHA SUS","B","M","39","false",
"KC19039242","2019-05-28T00:00:00.000","1:04","2019-05-28T00:00:00.000","1:00",,,"Robbery (Armed Street)","120","Robbery","999","E US 40 HWY and DENTON RD","INDEP",,"PJX007","OSPD","N","VIC","B","M","56","true",
"KC19039789","2019-05-29T00:00:00.000","21:12","2019-05-29T00:00:00.000","21:12",,,"Assault (Non-Aggravated)","13B","Simple Assault","211","E 51ST ST and BELLEFONTAINE AVE","KANSAS CITY","64130","PJ4073","MPD","N","CHA VIC","B","F","40","false",
"KC19041517","2019-06-04T00:00:00.000","18:48","2019-06-04T00:00:00.000","15:49","2019-06-04T00:00:00.000","15:52","Stealing – Shoplift","23C","Shoplifting","421","8600  NW PRAIRIE VIEW RD","KANSAS CITY","64152",,"NPD","N","VIC",,,,"false",
"KC19046116","2019-06-20T00:00:00.000","17:29","2019-05-20T00:00:00.000","11:20","2019-05-20T00:00:00.000","11:21","Fraud / Stealing Through Deceit (Scam/Confidence Game)",,,"133","4100  MAIN ST","KANSAS CITY",,,"CPD","N","VIC",,,,"false","4100  MAIN ST
KANSAS CITY,  
(39.05171, -94.58639)"
"KC19047701","2019-06-26T00:00:00.000","18:12","2019-06-26T00:00:00.000","17:05",,,"Stealing from Building/Residence","26B","Credit Card / Automatic Teller","131","1000  WESTPORT RD","KANSAS CITY","64111","PJ3346","CPD","N","SUS","W","M","34","false",
"KC19043106","2019-06-10T00:00:00.000","9:57","2019-06-10T00:00:00.000","9:58",,,"Felon/Prohibited Person in Possession of a Firearm/Ammunition/Body Armor",,,"999","11000  40 HWY","KANSAS CITY",,,"OSPD","N","ARR","W","F","27","false",
"KC19051350","2019-07-09T00:00:00.000","21:13","2019-07-09T00:00:00.000","21:13",,,"Trespass of Real Property","90J","Trespass of Real Property","241","3700  E GREGORY BLVD","KANSAS CITY","64132","PJ5365","MPD","N","VIC",,,,"false",
"KC19040090","2019-05-30T00:00:00.000","20:16","2019-05-30T00:00:00.000","21:29",,,"Rape","11A","Forcible Rape",,"11500  HOLIDAY DR","KANSAS CITY","64134",,"SPD","N","VIC","B","F",,"false",
"KC19037347","2019-05-21T00:00:00.000","2:52","2019-05-21T00:00:00.000","2:45",,,"Vehicular – Non-Injury",,,"123","E I 70 HWY and N PASEO BLVD","KANSAS CITY","64108",,"CPD","N","ARR CHA SUS","W","M","42","false",
"KC19051131","2019-07-09T00:00:00.000","8:16","2019-07-09T00:00:00.000","7:45","2019-07-09T00:00:00.000","8:05","Miscellaneous Investigation",,,"141","3200  TROOST AVE","KANSAS CITY",,"PJ2623","CPD","N","VIC",,,,"false","3200  TROOST AVE
KANSAS CITY,  
(39.068336, -94.57145)"
"KC19044921","2019-06-16T00:00:00.000","18:30","2019-06-16T00:00:00.000","18:20","2019-06-16T00:00:00.000","18:30","Domestic Violence Assault (Non-Aggravated)","13B","Simple Assault","213","7500  E 50TH TER","KANSAS CITY","64133","PJ4144","MPD","Y","SUS","B","M","38","false",
"KC19043007","2019-06-09T00:00:00.000","12:17","2019-06-09T00:00:00.000","12:17",,,"Stolen Auto",,,"112","E 9TH ST and WALNUT ST","KANSAS CITY","64106","PJ0869","CPD","N","CMP VIC","B","M","29","false",
"KC19044938","2019-06-16T00:00:00.000","20:59","2019-06-16T00:00:00.000","21:00",,,"Robbery (Armed Street)","120","Robbery",,"5800  21ST ST","KANSAS CITY","64126",,"EPD","N","VIC","W","F","35","true",
"KC19044162","2019-06-13T00:00:00.000","16:21","2019-06-13T00:00:00.000","16:20",,,"Obstructing and Resisting an Officer","90Z","All Other Offenses","642","NE M 152 HWY E and N OAK TRFY","KANSAS CITY",,"PC0294","SCP","N","SUS","W","M","20","false",
"KC19038350","2019-05-24T00:00:00.000","12:51","2019-05-15T00:00:00.000","12:00",,,"Identity Theft",,,,"2800  E 14 ST","KANSAS CITY","64127",,,"N","VIC",,,,"false","2800  E 14 ST
KANSAS CITY,  64127
(39.096076, -94.548528)"
"KC19051457","2019-07-10T00:00:00.000","10:56","2019-07-08T00:00:00.000","8:00",,,"Stolen Auto","23D","Theft From Building","211","5200  MERSINGTON AVE","KANSAS CITY","64130",,"MPD","N","VIC","B","M","26","false",
"KC19044623","2019-06-15T00:00:00.000","12:08","2019-06-15T00:00:00.000","0:15",,,"Assault (Non-Aggravated)","13B","Simple Assault","111","1600  GENESSEE ST","KANSAS CITY","64101","PJ1389","CPD","Y","VIC","W","M","30","false",
"KC19040018","2019-05-30T00:00:00.000","17:16","2019-05-30T00:00:00.000","17:16",,,"State Warrant Arrest",,,"124","E 31ST ST and BROOKLYN AVE","KANSAS CITY","64109","PJ2478","CPD","N","ARR SUS","B","F","41","false",
"KC19041103","2019-06-03T00:00:00.000","15:38","2019-06-02T00:00:00.000","21:16",,,"Terroristic Threats","90Z","All Other Offenses","114","3000  SUMMIT ST","KANSAS CITY","64108","PJ2388","CPD","N","VIC",,,,"false",
"KC19046923","2019-06-23T00:00:00.000","23:46","2019-06-23T00:00:00.000","23:47",,,"Robbery (Armed Street)","120","Robbery","111","W 10TH ST and SUMMIT ST","KANSAS CITY","64108","PJ0760","CPD","N","VIC","W","M","23","true",
"KC19040125","2019-05-31T00:00:00.000","0:57","2019-05-30T00:00:00.000","19:00","2019-05-31T00:00:00.000","0:45","Stolen Auto","23D","Theft From Building","115","3000  MAIN ST","KANSAS CITY","64108",,"CPD","N","SUS SOC","B","M","28","false",
"KC19046209","2019-06-21T00:00:00.000","0:17","2019-06-21T00:00:00.000","0:17",,,"Assault (Non-Aggravated)","13A","Aggravated Assault","331","E 31ST ST and MYRTLE AVE","KANSAS CITY","64128","PJ2511","EPD","N","SUS","B","F",,"false",
"KC19039835","2019-05-30T00:00:00.000","2:59","2019-05-30T00:00:00.000","2:59",,,"Alcohol Influence Report","90D","Driving Under the Influence","115","29TH ST and PENN DR","KANSAS CITY",,,,"N","ARR CHA SUS","W","M","39","false",
"KC19039410","2019-05-28T00:00:00.000","15:11","2019-05-28T00:00:00.000","15:11",,,"Assault (Aggravated)","13A","Aggravated Assault","312","5400  WINNER RD","KANSAS CITY",,,"EPD","N","VIC","B","F","30","true","5400  WINNER RD
KANSAS CITY,  
(39.099383, -94.518682)"
"KC19045883","2019-06-19T00:00:00.000","20:48","2019-06-19T00:00:00.000","20:30","2019-06-19T00:00:00.000","20:35","Assault (Aggravated)","13A","Aggravated Assault","345","3300  COLORADO AVE","KANSAS CITY","64128",,"EPD","N","VIC","B","M","34","true",
"KC19037811","2019-05-22T00:00:00.000","15:30","2019-05-22T00:00:00.000","15:30","2019-05-22T00:00:00.000","15:30","Stealing – Shoplift","23C","Shoplifting","345","11600  E US 40 HWY","KANSAS CITY","64133","PJ3601","EPD","N","VIC",,,,"false",
"KC19053391","2019-07-16T00:00:00.000","22:51","2019-07-16T00:00:00.000","23:28",,,"Murder","09A","Murder","243","E 81ST TER and BLUE RIDGE BLVD","KANSAS CITY","64120","PJ0029","MPD","N","VIC","B","M","19","true","E 81ST TER and BLUE RIDGE BLVD
KANSAS CITY,  64120
(38.97608, -94.491338)"
"KC19050414","2019-07-06T00:00:00.000","17:29","2019-07-06T00:00:00.000","14:30",,,"Invasion of Privacy",,,"232","1400  E 75TH ST","KANSAS CITY",,"PJ5656","MPD","N","VIC","B","F","19","false","1400  E 75TH ST
KANSAS CITY,  
(38.991378, -94.571061)"
"KC19042569","2019-06-08T00:00:00.000","1:19","2019-06-08T00:00:00.000","1:24",,,"Alcohol Influence Report","90D","Driving Under the Influence","112","W 7TH ST and WYANDOTTE ST","KANSAS CITY","64105","PJ0656","CPD","N","ARR CHA SUS","W","M","33","false",
"KC19047785","2019-06-27T00:00:00.000","7:03","2019-06-27T00:00:00.000","7:03",,,"Vehicular – Non-Injury",,,"541","BANNISTER and 435","KANSAS CITY","64137",,"SPD","N","ARR CHA SUS VDR","W","F","26","false",
"KC19045646","2019-06-19T00:00:00.000","4:34","2019-06-19T00:00:00.000","4:34",,,"Stealing from Auto (Theft from Auto)","23F","Theft From Motor Vehicle","423","200  NW 96TH ST","KANSAS CITY","64155",,"NPD","N","SUS","B","M",,"false",
"KC19038300","2019-05-24T00:00:00.000","8:52","2019-05-24T00:00:00.000","8:15",,,"Domestic Violence Assault (Non-Aggravated)","13A","Aggravated Assault","641","7900  N FLINTLOCK RD","KANSAS CITY","64158",,"SCP","Y","VIC","B","F","22","false",
"KC19046665","2019-06-22T00:00:00.000","19:46","2019-06-22T00:00:00.000","19:30",,,"Assault (Non-Aggravated)","13B","Simple Assault","314","4200  INDEPENDENCE AVE","KANSAS CITY","64124","PJ0605","EPD","N","VIC",,,,"false",
"KC19046882","2019-06-23T00:00:00.000","20:22","2019-06-22T00:00:00.000","13:51","2019-06-22T00:00:00.000","13:56","Stealing – Shoplift","23C","Shoplifting","643","9200  NE BARRY RD","KANSAS CITY","64158","PC0282","SCP","N","SUS","W","M","37","false",
"KC19043197","2019-06-10T00:00:00.000","15:32","2019-03-24T00:00:00.000","14:15",,,"Embezzlement","270","Embezzlement","134","400  W 47TH ST","KANSAS CITY",,,"CPD","N","VIC",,,,"false",
"KC19043314","2019-06-10T00:00:00.000","20:35","2019-06-09T00:00:00.000","21:00","2019-06-10T00:00:00.000","17:00","Rape","11A","Forcible Rape","124","E 28TH ST and PARK AVE","KANSAS CITY","64109","PJ2249","CPD","N","VIC","W","F","22","false",
"KC19044267","2019-06-13T00:00:00.000","23:12","2019-06-14T00:00:00.000","0:23",,,"State Warrant Arrest",,,,"2900  NW VIVION RD","RIVERSIDE","64150",,,"N","ARR CHA SUS","B","F","44","false",
"KC19038878","2019-05-26T00:00:00.000","14:35","2019-05-26T00:00:00.000","14:36",,,"Assault (Aggravated)","290","Vandalism/Destruction of Property","544","8900  89TH ST","KANSAS CITY",,,"SPD","Y","VIC","B","M","25","false",
"KC19050282","2019-07-06T00:00:00.000","2:23","2019-07-06T00:00:00.000","2:24",,,"Assault (Aggravated)","13A","Aggravated Assault","343","3600  ELMWOOD AVE","KANSAS CITY","64127",,"EPD","N","VIC","B","M","39","true",
"KC19046253","2019-06-21T00:00:00.000","8:57","2019-06-21T00:00:00.000","8:48",,,"Assault (Non-Aggravated)","13B","Simple Assault","422","3800  NW 85TH TER","KANSAS CITY","64154",,"NPD","N","ARR CHA SUS","W","M","25","false",
"KC19038633","2019-05-25T00:00:00.000","14:09","2019-05-25T00:00:00.000","14:09","2019-05-25T00:00:00.000","15:58","Robbery (Strong Armed Street)","13A","Aggravated Assault","314","4200  INDEPENDENCE AVE","KANSAS CITY","64124","PJ0605","EPD","N","VIC","W","F","29","false",
"KC19052396","2019-07-13T00:00:00.000","13:50","2019-07-13T00:00:00.000","2:00","2019-07-13T00:00:00.000","6:00","Stealing from Building/Residence","23H","All Other Larceny","531","9900  HOLMES RD","KANSAS CITY","64114",,"SPD","N","VIC","W","M","63","false",
"KC19044691","2019-06-15T00:00:00.000","17:22","2019-06-15T00:00:00.000","16:06",,,"Stealing – Shoplift",,,"134","400  W 47TH ST","KANSAS CITY",,,"CPD","N","VIC",,,,"false",
"KC19028350","2019-04-18T00:00:00.000","16:20","2019-04-11T00:00:00.000","14:30","2019-04-13T00:00:00.000","18:00","Burglary (Residential)","220","Burglary/Breaking and Entering","241","6700  PASEO","KANSAS CITY","64132","PJ5169","MPD","N","VIC","B","M","62","false","6700  PASEO
KANSAS CITY,  64132
(39.005593, -94.563892)"
"KC19026203","2019-04-10T00:00:00.000","19:01","2019-04-10T00:00:00.000","18:30",,,"Stealing from Auto (Auto Part or Accessory)","23F","Theft From Motor Vehicle","234","8800  FLORA AVE","KANSAS CITY",,"PJ6197","MPD","N","CMP VIC","W","M","51","false","8800  FLORA AVE
KANSAS CITY,  
(38.96786, -94.571606)"
"KC19033032","2019-05-06T00:00:00.000","2:27","2019-05-06T00:00:00.000","2:27",,,"Assault (Aggravated)","13A","Aggravated Assault","121","400  N PARK AVE","KANSAS CITY",,"PJ0202","CPD","N","VIC","W","M","33","false","400  N PARK AVE
KANSAS CITY,  
(39.117113, -94.554732)"
"KC19028115","2019-04-17T00:00:00.000","18:58","2019-04-17T00:00:00.000","18:55",,,"Stealing – Other","23D","Theft From Building","642","500  NE BARRY RD","KANSAS CITY","64155","PC0340","SCP","N","SUS","B","F",,"false","500  NE BARRY RD
KANSAS CITY,  64155
(39.246357, -94.574191)"
"KC19030782","2019-04-27T00:00:00.000","11:47","2019-04-21T00:00:00.000","14:00",,,"Domestic Violence Assault (Non-Aggravated)","13B","Simple Assault","421","7700  NW ROANRIDGE RD","KANSAS CITY","64152",,"NPD","Y","SUS","B","M","25","false","7700  NW ROANRIDGE RD
KANSAS CITY,  64152
(39.234653, -94.656315)"
"KC19047873","2019-06-27T00:00:00.000","13:10","2019-06-23T00:00:00.000",":","2019-06-24T00:00:00.000","5:00","Stealing – Other","23H","All Other Larceny","323","2400  CHESTNUT AVE","KANSAS CITY","64127","PJ2049","EPD","N","VIC",,,,"false",
"KC19051353","2019-07-09T00:00:00.000","20:36","2019-07-09T00:00:00.000","20:36",,,"Dead Body",,,"133","300  W 46TH ST","KANSAS CITY","64111",,"CPD","N","VIC DEC","B","F","62","false",
"KC19050655","2019-07-07T00:00:00.000","17:24","2019-07-07T00:00:00.000","17:10","2019-07-07T00:00:00.000","17:10","Stealing – Shoplift","23C","Shoplifting","345","11600  E US 40 HWY","KANSAS CITY","64133","PJ3601","EPD","N","VIC",,,,"false",
"KC19042557","2019-06-07T00:00:00.000","22:27","2019-06-07T00:00:00.000","23:30",,,"Assault (Aggravated)","13A","Aggravated Assault","111","E 1ST ST and GRAND BLVD","KANSAS CITY","64106","PJ0375","CPD","N","SUS","U","M",,"false",
"KC19041917","2019-06-05T00:00:00.000","22:29","2019-06-05T00:00:00.000","22:29",,,"City/Municipal Warrant Arrest",,,"322","E 16 ST and CYPRESS AVE","KANSAS CITY","64127",,"EPD","N","ARR CHA SUS","W","M","21","false",
"KC19046210","2019-06-21T00:00:00.000","0:17","2019-06-21T00:00:00.000","0:24","2019-06-21T00:00:00.000","0:36","Alcohol Influence Report","90D","Driving Under the Influence",,"31 ST S and E 31 ST","KANSAS CITY","64108",,,"N","ARR CHA SUS","B","F","30","false",
"KC19021751","2019-03-25T00:00:00.000","19:27","2019-03-25T00:00:00.000","19:15",,,"Assault (Aggravated)","13A","Aggravated Assault","345","4100  STERLING AVE","KANSAS CITY","64133","PJ3601","EPD","N","SUS","B","F",,"false","4100  STERLING AVE
KANSAS CITY,  64133
(39.047643, -94.447644)"
"KC19050110","2019-07-05T00:00:00.000","15:48","2019-07-05T00:00:00.000","15:45",,,"Stealing – Shoplift","23C","Shoplifting","345","11600  E US 40 HWY","KANSAS CITY","64133","PJ3601","EPD","N","VIC",,,,"false",
"KC19042627","2019-06-08T00:00:00.000","9:18","2019-06-08T00:00:00.000","9:18","2019-06-08T00:00:00.000","12:00","Property Damage","290","Vandalism/Destruction of Property","211","8500  BLUE PKWY","KANSAS CITY","64130",,"MPD","N","VIC","B","F","22","false",
"KC19047706","2019-06-26T00:00:00.000","19:35","2019-06-26T00:00:00.000","19:30",,,"Trespass of Real Property",,,"125","1000  BERKLEY PKWY","KANSAS CITY","64120",,"CPD","N","VIC",,,,"false","1000  BERKLEY PKWY
KANSAS CITY,  64120
(39.11518, -94.57825)"
"KC19049359","2019-07-02T00:00:00.000","18:26","2019-06-14T00:00:00.000","21:00",,,"Abuse of a Child","13B","Simple Assault","223","55 ST and BALES AVE","KANSAS CITY",,,"MPD","Y","VIC","B","M",,"false",
"KC19042029","2019-06-06T00:00:00.000","10:12","2019-06-06T00:00:00.000","8:43","2019-06-06T00:00:00.000","10:12","Stealing from Auto (Theft from Auto)","23F","Theft From Motor Vehicle","544","9600  JAMES A REED RD","KANSAS CITY","64138","PJ6592","SPD","N","SUS","B",,,"false",
"KC19053467","2019-07-17T00:00:00.000","6:15","2019-07-17T00:00:00.000","9:09",,,"Trespass of Real Property","90C","Disorderly Conduct","113","00  E 13TH ST","KANSAS CITY","64106","PJ1087","CPD","N","VIC",,,,"false",
"KC19023144","2019-03-30T00:00:00.000","22:48","2019-03-30T00:00:00.000","18:30",,,"Abuse of a Child","13B","Simple Assault","242","7300  ARLETA BLVD","KANSAS CITY","64130","PJ5574","MPD","Y","VIC","B","F",,"false","7300  ARLETA BLVD
KANSAS CITY,  64130
(38.99423, -94.565965)"
"KC19046746","2019-06-23T00:00:00.000","6:37","2019-06-23T00:00:00.000","7:08","2019-06-23T00:00:00.000","9:00","Missing/Runaway Juvenile",,,"635","5300  NE 37TH ST","KANSAS CITY","64117",,"SCP","N","CHA","W","M",,"false","5300  NE 37TH ST
KANSAS CITY,  64117
(39.160345, -94.518103)"
"KC19043921","2019-06-12T00:00:00.000","19:31","2019-06-12T00:00:00.000","19:31",,,"Liquor Law Violation",,,"344","0  ROYAL WAY","KANSAS CITY","64129","PJ3321","EPD","N","CHA SUS","W","M","18","false",
"KC19037230","2019-05-20T00:00:00.000","16:20","2019-05-17T00:00:00.000","23:00","2019-05-17T00:00:00.000","23:05","Stealing – Pickpocket","23A","Pocket-Picking","113","1300  WALNUT ST","KANSAS CITY","64108",,,"N","CMP VIC","W","M","21","false",
"KC19052489","2019-07-13T00:00:00.000","23:19","2019-07-13T00:00:00.000","23:15",,,"Domestic Violence Assault (Non-Aggravated)","90Z","All Other Offenses","124","E 27TH ST and PARK AVE","KANSAS CITY","64127","PJ2168","CPD","Y","VIC","B","F","20","false",
"KC19051458","2019-07-10T00:00:00.000","10:45","2019-07-10T00:00:00.000","10:50",,,"Outside State Warrant Arrest",,,"242","4600  E 75TH TER","KANSAS CITY",,,"MPD","N","ARR CHA SUS","W","M","34","false","4600  E 75TH TER
KANSAS CITY,  
(38.988259, -94.532331)"
"KC19045317","2019-06-18T00:00:00.000","4:09","2019-06-18T00:00:00.000","4:09",,,"Assault (Aggravated)","13A","Aggravated Assault","321","1100  BENTON BLVD","KANSAS CITY","64127","PJ1052","EPD","N","VIC","W","M","31","false",
"KC19045756","2019-06-19T00:00:00.000","15:08","2019-06-18T00:00:00.000","19:30",,,"Loss",,,"112","E 10TH ST and MAIN ST","KANSAS CITY","64106","PJ0862","CPD","N","VIC","W","M","21","false",
"KC19040399","2019-05-31T00:00:00.000","22:40","2019-05-31T00:00:00.000","22:41",,,"Trespass of Real Property",,,,"00  E 53 ST","KANSAS CITY",,,,"N","SUS","W","M","43","false",
"KC19040335","2019-05-31T00:00:00.000","18:06","2019-05-31T00:00:00.000","18:07",,,"Recovered Stolen Auto",,,"331","2700  INDIANA AVE","KANSAS CITY","64127","PJ2264","EPD","N","ARR CHA SUS","B","F","27","false",
"KC19034917","2019-05-12T00:00:00.000","17:54","2019-05-12T00:00:00.000","17:45",,,"Disorderly Conduct","90C","Disorderly Conduct","632","4200  NE 45TH ST","KANSAS CITY","64117","PC1089","SCP","N","VIC",,,,"false","4200  NE 45TH ST
KANSAS CITY,  64117
(39.175471, -94.530139)"
"KC19047452","2019-06-25T00:00:00.000","21:40","2019-06-25T00:00:00.000","21:48",,,"Domestic Violence Assault (Non-Aggravated)","13B","Simple Assault",,"9500  DRURY AVE","KANSAS CITY",,,,"Y","VIC","B","F","20","false",
"KC19038478","2019-05-24T00:00:00.000","19:18","2019-05-24T00:00:00.000","18:35",,,"Recovered Property",,,"112","1100  LOCUST ST","KANSAS CITY","64106","PJ1029","CPD","N","VIC",,"F","46","false",
"KC19046170","2019-06-20T00:00:00.000","20:36","2019-06-20T00:00:00.000","20:40","2019-06-20T00:00:00.000","21:16","Assault (Aggravated)","13A","Aggravated Assault","111","E 4TH ST and GRAND BLVD","KANSAS CITY","64106","PJ0456","CPD","N","CMP VIC","B","M","41","false",
"KC19046337","2019-06-21T00:00:00.000","14:05","2019-06-21T00:00:00.000","14:55",,,"Embezzlement",,,"345","11600  E US 40 HWY","KANSAS CITY","64133","PJ3601","EPD","N","VIC",,,,"false",
"KC19041848","2019-06-05T00:00:00.000","18:22","2019-06-02T00:00:00.000","20:00",,,"Assault (Non-Aggravated)","13B","Simple Assault","121","500  PARK AVE E","KANSAS CITY","64121",,"CPD","N","VIC","W","M","35","false",
"KC19046923","2019-06-23T00:00:00.000","23:46","2019-06-23T00:00:00.000","23:47",,,"Robbery (Armed Street)","120","Robbery","111","W 10TH ST and SUMMIT ST","KANSAS CITY","64108","PJ0760","CPD","N","VIC","W","F","21","true",
"KC19047041","2019-06-24T00:00:00.000","12:12","2019-06-24T00:00:00.000","12:12",,,"Stealing – Shoplift","23C","Shoplifting","542","9400  BLUE RIDGE BLVD","KANSAS CITY","64134",,"SPD","N","VIC",,,,"false",
"KC19044012","2019-06-13T00:00:00.000","7:41","2019-06-13T00:00:00.000","7:43",,,"Stealing – Other",,,"425","7400  NW TIFFANY SPRINGS PKWY E","KANSAS CITY","64153",,"NPD","N","SUS","U","U","20","false",
"KC19042165","2019-06-06T00:00:00.000","15:53","2019-06-06T00:00:00.000","15:53",,,"Outside State Warrant Arrest",,,"533","W 435 HWY and S HOLMES","KANSAS CITY","64131",,"SPD","N","SUS","B","M","41","false",
"KC19042266","2019-06-07T00:00:00.000","0:25","2019-06-07T00:00:00.000","0:25",,,"Stolen Auto","240","Motor Vehicle Theft","344","0  ROYAL WAY","KANSAS CITY","64129","PJ3321","EPD","N","VIC",,,,"false",
"KC19046060","2019-06-20T00:00:00.000","14:24","2019-06-18T00:00:00.000","19:30",,,"Loss",,,"644","N US 169 HWY S and NW 128TH ST","KANSAS CITY",,"PC0007","SCP","N","VIC","U","M","44","false",
"KC19046192","2019-06-20T00:00:00.000","20:06","2019-06-20T00:00:00.000","16:16",,,"Stealing from Auto (Theft from Auto)",,,"115","0  E PERSHING RD","KANSAS CITY","64108","PJ2011","CPD","N","VIC","W","M","53","false",
"KC19047252","2019-06-25T00:00:00.000","9:03","2019-06-25T00:00:00.000","8:50",,,"Domestic Violence Property Damage",,,"542","9300  NEWTON DR","KANSAS CITY","64138",,"SPD","N","VIC","B","F","52","false",
"KC19048195","2019-06-28T00:00:00.000","13:01","2019-06-28T00:00:00.000","12:00",,,"Domestic Violence Assault (Non-Aggravated)",,,"532","5700  E 100TH TER","KANSAS CITY","64134",,"SPD","N","SUS","B","F","49","false",
"KC19046084","2019-06-20T00:00:00.000","16:00","2019-06-20T00:00:00.000","16:00",,,"Patronizing Prostitution","40A","Prostitution","134","0  E 45TH ST","KANSAS CITY","64112",,"CPD","N","ARR CHA SUS",,"F","34","false",
"KC19047421","2019-06-25T00:00:00.000","20:03","2019-06-25T00:00:00.000","20:11","2019-06-25T00:00:00.000","20:11","Property Damage","290","Vandalism/Destruction of Property",,"40 ST and WALNUT","KANSAS CITY","64111",,,"N","VIC","W","F","36","false",
"KC19047620","2019-06-26T00:00:00.000","14:45","2019-06-26T00:00:00.000","13:58",,,"Legacy Incident Report/Arrest",,,"112","1100  LOCUST ST","KANSAS CITY","64106","PJ1029","CPD","N","SUS","B","M","22","false",
"KC19050834","2019-07-08T00:00:00.000","8:18","2019-07-08T00:00:00.000","8:18",,,"Stealing from Building/Residence","23H","All Other Larceny","644","9700  ASH","KANSAS CITY",,,"SCP","N","VIC",,,,"false",
"KC19046680","2019-06-22T00:00:00.000","20:40","2019-06-22T00:00:00.000","15:00","2019-06-22T00:00:00.000","20:00","Abuse of a Child","13B","Simple Assault","411","00  NE BRIARCLIFF RD","KANSAS CITY","64116","PC1194","NPD","Y","CMP VIC","B","F",,"false",
"KC19051951","2019-07-11T00:00:00.000","21:56","2019-07-10T00:00:00.000","22:00","2019-07-11T00:00:00.000","7:00","Stealing from Auto (Theft from Auto)","23F","Theft From Motor Vehicle","635","4000  N BENNINGTON AVE","KANSAS CITY","64117",,"SCP","N","CMP VIC","B","M","25","false",
"KC19048664","2019-06-30T00:00:00.000","8:55","2019-06-29T00:00:00.000","18:00","2019-06-30T00:00:00.000","8:30","Stealing from Auto (Auto Part or Accessory)","23G","Theft of Vehicle Parts and Accessories","134","W 48TH ST and JEFFERSON ST","KANSAS CITY","64112","PJ3781","CPD","N","VIC","W","M","61","false",
"KC19051984","2019-07-12T00:00:00.000","0:26","2019-07-12T00:00:00.000","0:20",,,"Robbery (Strong Armed Street)","120","Robbery","121","1700  INDEPENDENCE BLVD","KANSAS CITY","64107","PJ0663","CPD","N","VIC","W","M","31","false",
"KC19037783","2019-05-22T00:00:00.000","12:54","2019-05-21T00:00:00.000","20:00","2019-05-22T00:00:00.000","12:30","Property Damage","290","Vandalism/Destruction of Property","414","7800  NW ROANRIDGE RD","KANSAS CITY","64151",,"NPD","N","VIC","W","M","25","false",
"KC19052147","2019-07-12T00:00:00.000","15:26","2019-07-12T00:00:00.000","15:26",,,"Domestic Violence Assault (Non-Aggravated)","13B","Simple Assault","412","5700  N JARBOE DR","KANSAS CITY","64118",,"NPD","Y","VIC","W","F","29","false",
"KC19050553","2019-07-07T00:00:00.000","9:47","2019-07-07T00:00:00.000",":","2019-07-07T00:00:00.000","8:00","Unfounded","240","Motor Vehicle Theft","224","6000  PARK AVE","KANSAS CITY","64130","PJ4817","MPD","N","VIC","B","F","22","false",
"KC19048289","2019-06-28T00:00:00.000","19:19","2019-06-28T00:00:00.000","19:10",,,"Vehicular – Non-Injury",,,"643","NE 89TH ST and N FARLEY AVE","KANSAS CITY","64157","PC0303","SCP","N","ARR CHA VDR","U","M","58","false",
"KC19047098","2019-06-24T00:00:00.000","16:33","2019-06-24T00:00:00.000","16:33",,,"Disorderly Conduct",,,"133","3900  BALTIMORE AVE","KANSAS CITY",,"PJ3132","CPD","N","ARR CHA SUS","B","M","56","false",
"KC19053467","2019-07-17T00:00:00.000","6:15","2019-07-17T00:00:00.000","9:09",,,"Trespass of Real Property","90C","Disorderly Conduct","113","00  E 13TH ST","KANSAS CITY","64106","PJ1087","CPD","N","ARR CHA SUS","B","M","53","false",
"KC19045234","2019-06-17T00:00:00.000","18:17","2019-06-17T00:00:00.000","18:00","2019-06-17T00:00:00.000","19:00","Domestic Violence Property Damage","13B","Simple Assault","211","4900  BELLEFONTAINE AVE","KANSAS CITY","64132",,"MPD","Y","VIC",,"M",,"false",
"KC19043035","2019-06-10T00:00:00.000","1:20","2019-06-10T00:00:00.000","1:20",,,"Assault (Non-Aggravated)",,,"233","1300  E 83 ST","KANSAS CITY","64131",,"MPD","N","SUS","B","M",,"false",
"KC19043437","2019-06-11T00:00:00.000","12:23","2019-06-11T00:00:00.000","12:26",,,"Recovered Property",,,"112","1100  LOCUST ST","KANSAS CITY","64106","PJ1029","CPD","N","SUS","W","F","36","false",
"KC19040688","2019-06-02T00:00:00.000","4:02","2019-06-02T00:00:00.000","3:58",,,"Robbery (Strong Armed Street)","120","Robbery","133","WESTPORT RD and CENTRAL ST","KANSAS CITY","64111","PJ3139","CPD","N","ARR CHA SUS","B","M","37","false",
"KC19043968","2019-06-12T00:00:00.000","23:44","2019-06-12T00:00:00.000","23:57",,,"Abuse of a Child","13B","Simple Assault",,"900  E 88TH TER","KANSAS CITY","64138",,,"Y","VIC","U","M",,"false",
