"project_no","title","west_to_east_coordinate","south_to_north_coordinate","number","direction","name","suffix","completion_year_estimate","status","cost_estimate","rent_low_cost","rent_high_cost","rent_midpoint","sale_low_price","sale_high_price","sale_midpoint","rent_sale_price_source_year","activity","housing_units","tenure","developer","also_in_1990_onward_database","location_1"
"396.11","Windows Lofts (former J.I. Case Building)","2763485","1062945","2117",,"Broadway",,"2010","Completed","32000000",,,,,,,,"Use Conversion","105","Renter","McGowen & Walsh Historic Renovators","Yes - Grouped","2117 Broadway
,  "
"1471.00","Club House Lofts West","2764461","1067677","1223",,"Wyandotte","St","2012","Proposed","50000000",,,,,,,,"New","95","Owner","KC Club Developers LLC","Too Uncertain","1223 Wyandotte St
,  "
"1884.00","Pickwick Building","2766229","1069127","937",,"McGee","St","2015","Proposed","35000000","700","1000","850",,,,"2012","Use Conversion","220","Renter","Gold Crown Properties","Too Uncertain","937 McGee St
,  "
"1286.00","Popcorn Lofts","2764203","1064520","1920",,"Wyandotte","St","1998","Completed","1000000",,,,,,,,"Use Conversion","6","Owner","Jason Johntz","Too Small","1920 Wyandotte St
,  "
"1297.00","The Lofts @ 1524","2765248","1066237","1524",,"Walnut","St","2004","Completed","1800000",,,,,,,,"Use Conversion","12",,"Walnut St. Redevelopment","Too Small","1524 Walnut St
,  "
"1727.00","City Market Townhouses","2767366","1071617","715","E.","5th","St","2011","Underway","1000000",,,,,,,,"New","5","Owner",,"Too Small","715 E. 5th St
,  "
"1346.00","Manhattan Lofts Condo Conversion","2767574","1069801","700","E.","8th","St","2008","Completed","28000000",,,,"85000","179000","132000","2006","Style Conversion","221","Owner","Manhattan KC LLC","Yes","700 E. 8th St
,  "
"594.03","Design Exchange","2763619","1069955","708",,"Broadway",,"1986","Completed","7200000",,,,,,,,"Use Conversion","48","Renter","Master Realty / Recon","Yes - Grouped","708 Broadway
,  "
"594.19","Fountains Lofts","2763596","1069903","800",,"Broadway",,"2007","Completed","18000000",,,,"200000","415000","307500","2007","Use Conversion","46","Owner","Master Realty Properties","Yes - Grouped","800 Broadway
,  "
"286.22","Lighthouse Lofts","2764137","1070922","220","W","5th","St","2012","Proposed","12375000",,,,"250000","650000","450000","2006","New","45","Owner","BBL","Yes - Grouped","220 W 5th St
,  "
"1429.00","East Armour Apartment Renovations","2767384","1054788","900","E.","Armour","Bl","2009","Completed","57000000",,,,,,,,"Renovation","303","Renter","Eagle Point Enterprises","Yes","900 E. Armour Bl
,  "
"1246.00","Power and Light District","2765371","1066920","1230",,"Walnut","St","2012","Proposed","66000000",,,,,,,,"New","240","Owner","Cordish Co.","Yes","1230 Walnut St
,  "
"594.05","SoHo III","2764113","1069845","312","W.","8th","St","1986","Completed","16350000","580","1400","990",,,,"2006","Use Conversion","109","Renter","Master Realty / Recon","Yes - Grouped","312 W. 8th St
,  "
"760.00","Centennial Villa Apartments","2771336","1064844","1800",,"Woodland","Av","2001","Completed","4000000",,,,,,,,"New","46","Renter","McCormack Baron and Assocs.","Yes","1800 Woodland Av
,  "
"1791.00","Lucas Place Conversion to Housing","2764021","1069682","323","W","8th","St","2012","Proposed","26000000","925","1245","1085",,,,"2011","Use Conversion","130","Renter","LandWhite Developers LLC","Yes","323 W 8th St
,  "
"1568.00","Star Lofts","2765570","1065722","1624",,"Grand","Bl","2008","Completed","10000000","445","610","528",,,,"2006","Use Conversion","46","Renter",,"Yes","1624 Grand Bl
,  "
"1620.00","Union Hill II Housing","2766329","1058881","2821",,"Mc Gee","Tfwy","2010","Underway","28000000",,,,,,,,"New / Renovation","100","Both","Union Hill Development Group","Yes","2821 Mc Gee Tfwy
,  "
"286.18","Townley Lofts","2765258","1072028","200",,"Walnut","St","2001","Completed","13500000","950","1800","1375",,,,"2006","Use Conversion","68","Renter","BBL","Yes - Grouped","200 Walnut St
,  "
"1303.00","Courthouse Apartments","2767177","1069350","900",,"Cherry","St","2005","Completed","1800000",,,,,,,,"Use Conversion","12",,,"Too Small","900 Cherry St
,  "
"396.04","Hotel Monroe","2764866","1064466","1904",,"Main","St","2006","Completed","4700000",,,,"400000","670000","535000","2006","Use Conversion","8","Owner","Ben Sundermaier / JoAnn Nero","Yes - Grouped","1904 Main St
,  "
"1454.00","Graphic Arts Building","2764409","1068979","208","W.","10th","St","2007","Completed","11000000","515","825","670",,,,"2006","Use Conversion","58","Renter","Dale Schulte","Yes","208 W. 10th St
,  "
"286.13","Volker Place","2764929","1071773","6","W","3rd","St","1998","Completed","7350000",,,,,,,,"Use Conversion","49","Renter","Dale Schulte / Recon","Yes - Grouped","6 W 3rd St
,  "
"940.00","CityPlace @ Westport","2762107","1049956","700","W","43rd","St","2003","Completed","35000000","840","1320","1080",,,,"2002","New","288","Renter","Lincoln Property Co. and DST Realty","Yes","700 W 43rd St
,  "
"1565.00","Antheus Armour Renovations","2765581","1054961","350","E.","Armour","Bl","2010","Completed","30000000",,,,,,,,"Renovation","409","Renter","Antheus Capital LLC","Yes","350 E. Armour Bl
,  "
"1344.00","Villas on Plaza West","2760510","1047714","4600",,"Roanoke","Pkwy","2006","Completed","10000000",,,,"1200000","1600000","1400000","2005","New","7","Owner","Plaza West Development LLC","Yes","4600 Roanoke Pkwy
,  "
"470.00","Jefferson on the Plaza Apartments","2764910","1046311","4800",,"Oak","St","2000","Completed","39235700","795","1780","1288",,,,"2004","New","396","Renter","JPI","Yes","4800 Oak St
,  "
"1255.00","Campbell Paint / SoHo South","2765418","1066246","1535",,"Walnut","St","2001","Completed","9000000",,,,"175000","350000","262500","2008","Use Conversion","58","Owner","Master Realty","Yes","1535 Walnut St
,  "
"1123.00","The Liberty (Dakota Lofts)","2763263","1062120","360","W.","Pershing","Rd","2007","Completed","8900000",,,,"124000","600000","362000","2007","Use Conversion","44","Owner","Ben Bryan","Yes","360 W. Pershing Rd
,  "
"1842.00","46 Penn Apartments","2762274","1047915","516","W","46th","St","2013","Proposed","30000000","1200","2200","1700",,,,"2011","New","177","Renter","Price Development Group","Yes","516 W 46th St
,  "
"1276.00","46 Washington Townhomes","2762567","1047862","4537",,"Washington","St","2006","Completed","8000000",,,,"265000","659000","462000","2006","New","18","Owner","MacKenzie House LLC","Yes","4537 Washington St
,  "
"435.00","Villa Del Sol Residential","2761228","1064484","1915",,"Holly","St","1998","Completed","11820850",,,,,,,,"New","120","Renter","Kansas City Housing Authority","Yes","1915 Holly St
,  "
"381.00","Columbus Park Infill","2768556","1071783",,,"Gillis","St","2002","Completed","250000",,,,,,,,"New","2","Owner","HEDFC","Yes","516A/516B Gillis St
,  "
"1467.00","Courthouse Lofts","2765987","1069529","811",,"Grand","Av","2011","Completed","40000000","555","730","643",,,,"2011","Use Conversion","176","Renter","Alexander Co.","Yes","811 Grand Av
,  "
"1683.00","Park Reserve Condos Phase I","2764212","1058327","2980",,"Baltimore","Av","2010","Completed","16000000",,,,"120000","190000","155000","2008","Use Conversion","88","Owner","Park Reserve LLC","Yes","2980 Baltimore Av
,  "
"594.11","West 7th Street Lofts","2763980","1070190","318","W.","7th","St","1999","Completed","8100000","675","1200","938",,,,"2006","Use Conversion","54","Renter","George Birt","Yes - Grouped","318 W. 7th St
,  "
"1288.00","Cherry St. Apts.","2767008","1071225","520",,"Cherry","St","2001","Completed","400000",,,,,,,,"New","4","Renter",,"Too Small","520 Cherry St
,  "
"1540.00","1728 Holmes","2767228","1065105","1728",,"Holmes","St","2007","Completed","5800000",,,,,,,,"New","7","Owner","Priority Realty One","Yes","1728 Holmes St
,  "
"1319.00","Buick Lofts","2766062","1070137","220",,"Admiral","Bl","2005","Completed","2800000","500","2000","1250",,,,"2006","Use Conversion","22","Renter",,"Too Small","220 Admiral Bl
,  "
"286.30","Bridgeworks Lofts - II","2766159","1070933","301","E","Missouri","Av","2007","Completed","20000000",,,,"350000","450000","400000","2006","New","75","Owner","George Birt","Yes - Grouped","301 E Missouri Av
,  "
"286.09","Askew Saddlery Apartments","2764722","1071785","213",,"Delaware","St","1996","Completed","9000000",,,,,,,,"Use Conversion","60","Renter","Dale Schulte / Recon","Yes - Grouped","213 Delaware St
,  "
"943.00","Hanover Lofts","2764945","1068832","15","W.","10th","St","2003","Completed","7000000","459","620","540",,,,"2006","Use Conversion","50","Renter","DLS Historic Partners","Yes","15 W. 10th St
,  "
"1293.00","Lofts @ 39/Wyoming ","2759171","1052710",,,"Wyoming","St","2002","Completed","300000",,,,,,,,"Use Conversion","2",,"Umbrella Group Arts","Too Small","3820-22 Wyoming St
,  "
"594.14","908 Broadway Lofts","2763569","1069297","908",,"Broadway",,"2003","Completed","3600000",,,,,,,,"Use Conversion","24","Renter","DST / Dworak","Yes - Grouped","908 Broadway
,  "
"1882.00","Argyle Building","2766171","1068094","306","E","12th","St","2014","Proposed","20000000",,,,,,,,"Use Conversion","102","Renter","Hunt Midwest Real Estate Development and Sunflower Group","Too Uncertain","306 E 12th St
,  "
"1118.01","30 Gillham Row","2766461","1058427","2939",,"Gillham","Rd","2006","Completed","2400000",,,,"197000","298000","247500","2006","New","11","Owner","Urban Coeur Development","Yes - Grouped","2939 Gillham Rd
,  "
"1430.00","East Village","2767258","1068620","950",,"Holmes","St","2015","Underway","123846154",,,,"195000","195000","195000","2006","New","700","Both","East Village LLC","Yes","950 Holmes St
,  "
"396.12","Haden Lofts","2763505","1063326","2109",,"Broadway",,"2008","Completed","8100000",,,,"200000","500000","350000","2007","Use Conversion","34","Owner","Andrew Haden","Yes - Grouped","2109 Broadway
,  "
"1536.00","41 Penn Condos","2763010","1050602","4129",,"Pennsylvania","Av","2008","Completed","9000000",,,,"210000","440000","325000","2006","New","32","Owner","Classical Developments","Yes","4129 Pennsylvania Av
,  "
"1415.00","Gumbel Building Condo Conversion","2765549","1069648","801",,"Walnut","St","2006","Completed","9000000",,,,"170000","350000","260000","2006","Use Conversion","32","Owner","Latshaw Development LLC","Yes","801 Walnut St
,  "
"396.03","Piper Lofts (HD Lee) ","2764371","1064041","117","W.","20th","St","2007","Completed","32000000","875","2200","1538",,,,"2010","Use Conversion","118","Renter","McGowen & Walsh and Mike Rainen","Yes - Grouped","117 W. 20th St
,  "
"594.06","SoHo West I","2764215","1070189","616",,"Central","St","1986","Completed","8100000",,,,,,,,"Use Conversion","54","Renter","Master Realty / Recon","Yes - Grouped","616 Central St
,  "
"1708.00","Cold Storage & Ice Co. Bldg.","2766384","1072226","416","E","3rd","St","2007","Completed","37000000","575","1300","938",,,,"2006","Use Conversion","224","Renter","Gary Hassenflu","Yes - Grouped","416 E 3rd St
,  "
"1621.00","46 Summit","2761620","1047729","4600",,"Jefferson","St","2012","Proposed","72600000","4100","6990","5545",,,,"2008","New","264","Both","MacKenzie House LLC","Yes","4600 Jefferson St
,  "
"286.25","First and Main Lofts","2764609","1072193","136",,"Main","St","2007","Completed","4000000",,,,"190000","500000","345000","2006","Use Conversion","25","Owner","Jonathan Arnold and Chris Sally","Yes - Grouped","136 Main St
,  "
"1885.00","River Market West","2763927","1071267","230","W","4th","St","2015","Proposed","13000000","1100","1500","1300",,,,"2012","New","117","Renter","George Birt","Too Uncertain","230 W 4th St
,  "
"1279.00","Jazz District Apartments II","2770638","1064819","1635","E.","18th","St","2007","Completed","16000000","548","900","724",,,,"2007","New","78","Renter","Jazz District Redevelopment Corp. and McCormack Baron Salazar","Yes","1635 E. 18th St
,  "
"286.05","River Market Apartments III","2764674","1071496","310",,"Delaware","St","1990","Completed","5100000","425","1000","713",,,,"2006","Use Conversion","34","Renter","Master Realty / Recon","Yes - Grouped","310 Delaware St
,  "
"1301.00","2004 Grand Lofts","2765478","1063985","2004",,"Grand","Av","2012","Proposed","875000",,,,,,,,"Use Conversion","5","Owner","Brian Williams","Too Small","2004 Grand Av
,  "
"1314.00","Jefferson Heights","2762766","1065530","1700",,"Jefferson","St","2007","Completed","1250000",,,,,,,,"New","11","Owner","Westside Housing Organization, Inc.","Too Small","1700 Jefferson St
,  "
"982.00","The Madison Townhouses","2761180","1047978","4541",,"Madison","Av","2004","Completed","7000000",,,,"220000","360000","290000","2003","New","26","Owner","MacKenzie House LLC","Yes","4541 Madison Av
,  "
"1750.00","Stockyards Place","2759013","1066324","1521",,"Genessee","St","2011","Proposed","4000000",,,,,,,,"New","13","Owner","Bill Haw","Yes","1521 Genessee St
,  "
"1161.00","909 Walnut","2765535","1069210","909",,"Walnut","St","2005","Completed","57000000","777","2155","1466",,,,"2006","Use Conversion","161","Renter","909 Walnut Redevelopment","Yes","909 Walnut St
,  "
"1308.00","Professional Building","2765854","1068397","1103",,"Grand","Av","2006","Completed","21000000","550","900","725",,,,"2006","Use Conversion","132","Renter","Alexander Co.","Yes","1103 Grand Av
,  "
"594.02","8th Street Place","2763462","1069908","412","W.","8th","St","1986","Completed","8250000",,,,,,,,"Use Conversion","55","Renter","Recon","Yes - Grouped","412 W. 8th St
,  "
"286.17","523 Grand Lofts","2765997","1071048","523",,"Grand","Av","2001","Completed","4000000",,,,"149000","375000","262000","2006","Use Conversion","28","Owner","Fort Point, Inc.","Yes - Grouped","523 Grand Av
,  "
"1472.00","Washington Lofts","2763110","1064858","1820",,"Washington","St","2005","Completed","1600000",,,,"344000","525000","434500","2006","Use Conversion","4","Owner","Nottingham Apartment Associates","Too Small","1820 Washington St
,  "
"1792.00","Antheus Armour Renovations II","2765581","1054961","214","E","Armour","Bl","2013","Underway","62000000","618","1995","1307",,,,"2011","Renovation","800","Renter","Antheus Capital LLC","Yes","214 E Armour Bl
,  "
"776.00","Loretto Apartment Conversion","2760354","1052409","1111","W.","39th","St","1997","Completed","9000000",,,,,,,,"Use Conversion","144","Both","Loretto Redevelopment Corp.","Yes","1111 W. 39th St
,  "
"594.18","700 Broadway","2763585","1070059","700",,"Broadway",,"2007","Completed","8750000",,,,,,"130000","2007","Use Conversion","47","Owner","Master Realty","Yes - Grouped","700 Broadway
,  "
"1585.00","DST 51st and Main Mixed Use","2763605","1044397","5020",,"Main","St","2012","Proposed","16000000",,,,,,,,"New","125","Renter","DST Realty Inc.","Yes","5020 Main St
,  "
"1157.00","W Lofts","2764387","1065068","1803",,"Wyandotte","St","2005","Completed","3000000",,,,"150000","400000","275000","2006","Use Conversion","17","Owner","Shaul Jolles and Doug Krtek","Yes","1803 Wyandotte St
,  "
"1285.00","Anne's Lofts","2762782","1060986","501","W.","26th","St","1997","Completed","600000",,,,,,,,"Use Conversion","12","Owner","David Sosland","Too Small","501 W. 26th St
,  "
"1296.00","1330 Grand","2765605","1067164","1330",,"Grand","Av","2004","Completed","700000",,,,,,,,"Use Conversion","4","Owner","Jennifer Ingram","Too Small","1330 Grand Av
,  "
"1118.02","Triangle Townhomes","2766612","1058172","2938",,"Cherry","St","2004","Completed","1400000",,,,"168000","398000","283000","2006","New","6","Owner","Urban Coeur Development","Yes - Grouped","2938 Cherry St
,  "
"1256.00","Midtown Marketplace Apts.","2765711","1054835","3500",,"Gillham","Rd","2007","Completed","12000000",,,,,,,,"Renovation","285","Renter","1st General Management","Yes","3500 Gillham Rd
,  "
