"fiscal_year","region","county","completed_investigations"
"2019","4-Tyler","Red River","70"
"2019","4-Tyler","Rusk","147"
"2019","4-Tyler","Smith","872"
"2019","4-Tyler","Titus","92"
"2019","4-Tyler","Upshur","115"
"2019","4-Tyler","Van Zandt","245"
"2019","4-Tyler","Wood","211"
"2019","5-Beaumont","Angelina","442"
"2019","5-Beaumont","Hardin","164"
"2019","5-Beaumont","Houston","103"
"2019","5-Beaumont","Jasper","187"
"2019","5-Beaumont","Jefferson","1110"
"2019","5-Beaumont","Nacogdoches","248"
"2019","5-Beaumont","Newton","55"
"2019","5-Beaumont","Orange","347"
"2019","5-Beaumont","Polk","317"
"2019","5-Beaumont","Sabine","59"
"2019","5-Beaumont","San Augustine","84"
"2019","5-Beaumont","San Jacinto","217"
"2019","5-Beaumont","Shelby","135"
"2019","5-Beaumont","Trinity","113"
"2019","5-Beaumont","Tyler","100"
"2019","6-Houston","Austin","71"
"2019","6-Houston","Brazoria","667"
"2019","6-Houston","Chambers","89"
"2019","6-Houston","Colorado","77"
"2019","6-Houston","Fort Bend","1150"
"2019","6-Houston","Galveston","1141"
"2019","6-Houston","Harris","11542"
"2019","6-Houston","Liberty","309"
"2019","6-Houston","Matagorda","110"
"2019","6-Houston","Montgomery","1302"
"2019","6-Houston","Walker","147"
"2019","6-Houston","Waller","110"
"2019","6-Houston","Wharton","153"
"2019","7-Austin","Bastrop","286"
"2019","7-Austin","Bell","1157"
"2019","7-Austin","Blanco","15"
"2019","7-Austin","Bosque","104"
"2019","7-Austin","Brazos","401"
"2019","7-Austin","Burleson","83"
"2019","7-Austin","Burnet","157"
"2019","7-Austin","Caldwell","159"
"2019","7-Austin","Coryell","249"
"2019","7-Austin","Falls","77"
"2019","7-Austin","Fayette","100"
"2019","7-Austin","Freestone","79"
"2019","7-Austin","Grimes","102"
"2019","7-Austin","Hamilton","50"
"2019","7-Austin","Hays","429"
"2019","7-Austin","Hill","180"
"2019","7-Austin","Lampasas","98"
"2019","7-Austin","Lee","46"
"2019","7-Austin","Leon","68"
"2019","7-Austin","Limestone","98"
"2019","7-Austin","Llano","117"
"2019","7-Austin","Madison","47"
"2019","7-Austin","McLennan","1075"
"2019","7-Austin","Milam","87"
"2019","7-Austin","Mills","19"
"2019","7-Austin","Robertson","82"
"2019","7-Austin","San Saba","27"
"2019","7-Austin","Travis","2822"
"2019","7-Austin","Washington","100"
"2019","7-Austin","Williamson","731"
"2019","8-San Antonio","Atascosa","200"
"2019","8-San Antonio","Bandera","100"
"2019","8-San Antonio","Bexar","7073"
"2019","8-San Antonio","Calhoun","91"
"2019","8-San Antonio","Comal","359"
"2019","8-San Antonio","DeWitt","70"
"2019","8-San Antonio","Dimmit","43"
"2019","8-San Antonio","Edwards","7"
"2019","8-San Antonio","Frio","64"
"2019","8-San Antonio","Gillespie","90"
"2019","8-San Antonio","Goliad","20"
"2019","8-San Antonio","Gonzales","72"
"2019","8-San Antonio","Guadalupe","401"
"2019","8-San Antonio","Jackson","31"
"2019","8-San Antonio","Karnes","43"
"2019","8-San Antonio","Kendall","120"
"2019","8-San Antonio","Kerr","304"
"2019","8-San Antonio","Kinney","19"
"2019","8-San Antonio","La Salle","32"
"2019","8-San Antonio","Lavaca","52"
"2019","8-San Antonio","Maverick","155"
"2019","8-San Antonio","Medina","182"
"2019","8-San Antonio","Real","31"
"2019","8-San Antonio","Uvalde","77"
"2019","8-San Antonio","Val Verde","143"
"2019","8-San Antonio","Victoria","311"
"2019","8-San Antonio","Wilson","141"
"2019","8-San Antonio","Zavala","55"
"2019","9-Midland","Andrews","31"
"2019","9-Midland","Borden","2"
"2019","9-Midland","Coke","16"
"2019","9-Midland","Concho","16"
"2019","9-Midland","Crane","10"
"2019","9-Midland","Crockett","17"
"2019","9-Midland","Dawson","95"
"2019","9-Midland","Ector","536"
"2019","9-Midland","Gaines","47"
"2019","9-Midland","Glasscock","2"
"2019","9-Midland","Howard","195"
"2019","9-Midland","Irion","4"
"2019","9-Midland","Kimble","39"
"2019","9-Midland","Martin","19"
"2019","9-Midland","Mason","16"
"2019","9-Midland","McCulloch","60"
"2019","9-Midland","Menard","13"
"2019","9-Midland","Midland","323"
"2019","9-Midland","Pecos","63"
"2019","9-Midland","Reagan","7"
"2019","9-Midland","Reeves","41"
"2019","9-Midland","Schleicher","8"
"2019","9-Midland","Sterling","2"
"2019","9-Midland","Sutton","8"
