"fiscal_year","county","region","final_inv_risk_assessment","completed_investigations"
"2021","Waller","6-Houston","High","5"
"2021","Waller","6-Houston","Moderate","1"
"2021","Ward","9-Midland","Very High","3"
"2021","Ward","9-Midland","High","7"
"2021","Ward","9-Midland","Moderate","4"
"2021","Washington","7-Austin","High","4"
"2021","Washington","7-Austin","Moderate","2"
"2021","Webb","11-Edinburg","Very High","12"
"2021","Webb","11-Edinburg","High","68"
"2021","Webb","11-Edinburg","Moderate","73"
"2021","Webb","11-Edinburg","Low","1"
"2021","Wharton","6-Houston","Very High","2"
"2021","Wharton","6-Houston","High","8"
"2021","Wharton","6-Houston","Moderate","4"
"2021","Wharton","6-Houston","Low","1"
"2021","Wheeler","1-Lubbock","High","2"
"2021","Wheeler","1-Lubbock","Moderate","2"
"2021","Wichita","2-Abilene","Very High","8"
"2021","Wichita","2-Abilene","High","78"
"2021","Wichita","2-Abilene","Moderate","21"
"2021","Wilbarger","2-Abilene","Very High","1"
"2021","Wilbarger","2-Abilene","High","5"
"2021","Wilbarger","2-Abilene","Moderate","1"
"2021","Willacy","11-Edinburg","Very High","2"
"2021","Willacy","11-Edinburg","High","4"
"2021","Willacy","11-Edinburg","Moderate","3"
"2021","Williamson","7-Austin","Very High","2"
"2021","Williamson","7-Austin","High","49"
"2021","Williamson","7-Austin","Moderate","20"
"2021","Wilson","8-San Antonio","Very High","3"
"2021","Wilson","8-San Antonio","High","12"
"2021","Wilson","8-San Antonio","Moderate","12"
"2021","Winkler","9-Midland","High","2"
"2021","Wise","3-Arlington","Very High","2"
"2021","Wise","3-Arlington","High","20"
"2021","Wise","3-Arlington","Moderate","4"
"2021","Wood","4-Tyler","Very High","1"
"2021","Wood","4-Tyler","High","9"
"2021","Wood","4-Tyler","Moderate","8"
"2021","Yoakum","1-Lubbock","High","1"
"2021","Yoakum","1-Lubbock","Moderate","2"
"2021","Young","2-Abilene","Very High","2"
"2021","Young","2-Abilene","High","7"
"2021","Young","2-Abilene","Moderate","3"
"2021","Zapata","11-Edinburg","High","6"
"2021","Zapata","11-Edinburg","Moderate","4"
"2021","Zavala","8-San Antonio","Very High","1"
"2021","Zavala","8-San Antonio","High","13"
"2021","Zavala","8-San Antonio","Moderate","3"
"2020","Anderson","4-Tyler","Very High","2"
"2020","Anderson","4-Tyler","High","13"
"2020","Anderson","4-Tyler","Moderate","9"
"2020","Andrews","9-Midland","Very High","1"
"2020","Andrews","9-Midland","High","16"
"2020","Andrews","9-Midland","Moderate","9"
"2020","Angelina","5-Beaumont","Very High","1"
"2020","Angelina","5-Beaumont","High","29"
"2020","Angelina","5-Beaumont","Moderate","18"
"2020","Aransas","11-Edinburg","Very High","5"
"2020","Aransas","11-Edinburg","High","22"
"2020","Aransas","11-Edinburg","Moderate","4"
"2020","Archer","2-Abilene","High","4"
"2020","Archer","2-Abilene","Moderate","1"
"2020","Armstrong","1-Lubbock","High","1"
"2020","Atascosa","8-San Antonio","Very High","3"
"2020","Atascosa","8-San Antonio","High","54"
"2020","Atascosa","8-San Antonio","Moderate","26"
"2020","Atascosa","8-San Antonio","Low","1"
"2020","Austin","6-Houston","Very High","1"
"2020","Austin","6-Houston","High","9"
"2020","Austin","6-Houston","Moderate","8"
"2020","Bailey","1-Lubbock","High","3"
"2020","Bailey","1-Lubbock","Moderate","2"
"2020","Bandera","8-San Antonio","High","12"
"2020","Bandera","8-San Antonio","Moderate","9"
"2020","Bandera","8-San Antonio","Low","2"
"2020","Bastrop","7-Austin","Very High","4"
