"licenseename","doingbusinessas","licensetype","licensenum","expiration","address","city","state","zip"
"MOLSON COORS BEVERAGE COMPANY USA LLC","BLUE MOON BREWING COMPANY","Sales Room Malt","03-05395","2020-11-26T00:00:00.000","3750 CHESTNUT PLACE","Denver","CO","80216"
"THE FAMILY JONES LLC","THE FAMILY JONES","Sales Room Spirits","03-08169","2021-08-17T00:00:00.000","3245 OSAGE STREET","Denver","CO","80211"
"BOOKCLIFF VINEYARDS","BOOKCLIFF VINEYARDS","Sales Room Wine","24-95651-0001","2021-12-06T00:00:00.000","710 GRAND AVENUE UNIT 5","Glenwood Springs","CO","81601"
"CONTINENTAL DIVIDE WINERY/GOLD CREEK/NAVIGATOR","CONTINENTAL DIVIDE WINERY","Sales Room Wine","03-06730","2021-09-01T00:00:00.000","13164 SEAKNOLL COURT","San Diego","CA","92130"
"WELDWERKS BREWING","WELDWERKS BREWING COMPANY LLC","Sales Room Malt","03-03626","2022-10-02T00:00:00.000","508 8TH AVE","Greeley","CO","80634"
"FLYTECO BREWING","FLYTECO BREWING","Sales Room Malt","03-09087","2021-01-24T00:00:00.000","4499 WEST 38TH AVENUE SUITE 101","Denver","CO","80212"
"JACK  RABBIT HILL LLC","JACK RABBIT HILL FARM","Sales Room Wine","13-57008-0001","2021-09-05T00:00:00.000","26567 NORTH ROAD","Hotchkiss","CO","814193104"
"SNITCHING LADY DISTILLERY","SNITCHING LADY DISTILLERY LLC","Sales Room Spirits","03-09061","2021-02-20T00:00:00.000","526 A FRONT STREET","Fairplay","CO","80440"
"KEG 1 COLORADO LLC","KEG 1 COLORADO LLC","Sales Room Malt","03-12885","2021-02-10T00:00:00.000","1525 NEWPORT ROAD","Colorado Springs","CO","80926"
"5280 DISTILLING","5280 DISTILLING CORP","Sales Room Spirits","03-09646","2021-08-22T00:00:00.000","10488 WEST CENTENNIAL ROAD SUITE 900","Littleton","CO","80127"
"DENVER BEER CO ARVADA LLC","DENVER BEER CO","Sales Room Malt","03-13428","2021-06-08T00:00:00.000","5768 OLDE WADSWORTH BLVD","Arvada","CO","80002"
"TWO MILE BREWING LLC","TWO MILE BREWING LLC","Sales Room Malt","03-12717","2021-02-27T00:00:00.000","101 HARRISON AVENUE","Leadville","CO","80461"
"BLACK ARTS CELLARS","BLACK ARTS CELLARS","Sales Room Wine","03-03622","2021-10-06T00:00:00.000","11618 SHAFFER PLACE #S110","Littleton","CO","80127"
"CHAIN REACTION BREWING COMPANY","CHAIN REACTION BREWING COMPANY LLC","Sales Room Malt","03-02759","2021-05-01T00:00:00.000","902 SOUTH LIPAN STREET","Denver","CO","80223"
"BALL BREWING LLC","BALL BREWING","Sales Room Malt","03-12285","2020-11-26T00:00:00.000","7025 HIGHWAY 82, UNITS 1A & 2A","Glenwood Springs","CO","81601"
"OUR MUTUAL FRIEND BREWING","OUR MUTUAL FRIEND INC","Sales Room Malt","15-81249-0001","2021-07-31T00:00:00.000","2810 LARIMER STREET","Denver","CO","80205"
,"DURANGO BEER AND ICE COMPANY","Sales Room Malt","12-58397-0001","2021-09-24T00:00:00.000","3000 MAIN AVE","Durango","CO","81301"
"COLORADO SAKE CO.","COLORADO SAKE CO","Sales Room Wine","03-08860","2021-01-18T00:00:00.000","3559 LARIMER","Denver","CO","80205"
"BARNETT & SON BREWING CO","BARNETT & SON BREWING CO","Sales Room Malt","03-03552","2021-10-02T00:00:00.000","18425 PONY EXPRESS DRIVE #125","Parker","CO","80134"
"BOATHOUSE DISTILLERY LLC","BOATHOUSE DISTILLERY LLC","Sales Room Spirits","03-00900","2021-02-13T00:00:00.000","4840 VAN GORDON STREET UNIT 200","Wheat Ridge","CO","80033"
"OVER YONDER BREWING COMPANY","OVER YONDER BREWING COMPANY","Sales Room Malt","03-10802","2021-05-13T00:00:00.000","18455 WEST COLFAX AVENUE, SUITE 103","Golden","CO","80401"
"MOTHERTUCKER BREWERY","MOTHER TUCKER BREWERY","Sales Room Malt","03-06509","2021-06-27T00:00:00.000","2360 EAST 120TH AVENUE","Thornton","CO","80233"
"BIG FAT PASTOR SPIRITS","BIG FAT PASTOR SPIRITS","Sales Room Spirits","03-03129","2021-08-13T00:00:00.000","6754 NORTH FRANKLIN AVENUE","Loveland","CO","80538"
"HALFPENNY BREWING COMPANY","HALFPENNY BREWING COMPANY","Sales Room Malt","03-05715","2020-12-09T00:00:00.000","5150 EAST ARAPAHOE ROAD  UNIT D1-B","Centennial","CO","80122"
"CRAZY MOUNTAIN BREWING COMPANY","CRAZY MOUNTAIN BREWING COMPANY","Sales Room Malt","03-05456","2020-12-03T00:00:00.000","441-471 KALAMATH STREET","Denver","CO","80204"
"MARBLE DISTILLING COMPANY","MARBLE DISTILLING COMPANY LLC","Sales Room Spirits","03-03501","2020-09-10T00:00:00.000","415 EAST DEAN STREET","Carbondale","CO","81623"
"BRISTOL BREWING CO","BRISTOL BREWING COMPANY","Sales Room Malt","05-46646-0001","2021-05-14T00:00:00.000","1604 SOUTH CASCADE AVENUE","Colorado Springs","CO","80905"
"BIG THOMPSON BREWERY","BIG THOMPSON BREWERY","Sales Room Malt","03-02600","2021-03-13T00:00:00.000","114 EAST 15TH STREET","Loveland","CO","80538"
"OLD ELK","OLD ELK","Sales Room Spirits","03-03895","2020-12-07T00:00:00.000","253 LINDEN STREET","Fort Collins","CO","80521"
"VERSO CELLARS","VERSO CELLARS","Sales Room Wine","18-26226-0009","2021-02-18T00:00:00.000","1734 EAST EVANS AVENUE","Denver","CO","80204"
"RIVER NORTH BREWERY","RIVER NORTH BREWERY","Sales Room Malt","25-60670-0002","2021-10-23T00:00:00.000","6021 WASHINGTON STREET  UNIT A","Denver","CO","80216"
,"THE EMPOURIUM BREWING COMPANY","Sales Room Malt","03-11239","2021-02-20T00:00:00.000","4385 WEST 42ND AVENUE","Denver","CO","80212"
"RED SWING BREWHOUSE","RED SWING BREWHOUSE","Sales Room Malt","03-13158","2021-04-14T00:00:00.000","521 SOUTH TEJON STREET","Colorado Springs","CO","80903"
"HORSE & DRAGON BREWING COMPANY","HORSE & DRAGON BREWING COMPANY","Sales Room Malt","03-02409","2021-01-21T00:00:00.000","124 RACQUETTE DRIVE","Fort Collins","CO","80524"
"ZUNI STREET BREWING COMPANY","ZUNI STREET BREWING COMPANY","Sales Room Malt","03-06689","2021-08-18T00:00:00.000","2355 WEST 29TH AVENUE","Denver","CO","80211"
"HIGHLANDS DISTILLERY","HIGHLANDS DISTILLERY","Sales Room Spirits","03-06229","2021-04-10T00:00:00.000","782 24 ROAD","Grand Junction","CO","81505"
"NEW TERRAIN BREWING COMPANY","NEW TERRAIN BREWING COMPANY","Sales Room Malt","03-05809","2021-01-10T00:00:00.000","16401 TABLE MOUNTAIN PARKWAY","Golden","CO","80403"
"LAUNCH PAD BREWERY","LAUNCH PAD BREWERY","Sales Room Malt","03-04768","2021-07-16T00:00:00.000","884 SOUTH BUCKLEY ROAD","Aurora","CO","80017"
"LEOPOLD BROS","LEOPOLD BROS.","Sales Room Spirits","26-71718-0002","2021-07-10T00:00:00.000","5285 JOLIET STREET","Denver","CO","80239"
"TWO RIVERS WINERY","TWO RIVERS WINERY","Sales Room Wine","14-39419-0001","2021-08-18T00:00:00.000","2087 BROADWAY","Grand Junction","CO","81507"
"PARTS & LABOR BREWING COMPANY","PARTS & LABOR BREWING COMPANY","Sales Room Malt","03-07136","2020-11-14T00:00:00.000","402 MAIN STREET UNIT B","Sterling","CO","80751"
"SOMEPLACE ELSE BREWERY","SOMEPLACE ELSE BREWERY","Sales Room Malt","03-06388","2021-08-07T00:00:00.000","6425 WEST 52ND AVENUE UNIT 6","Arvada","CO","80002"
"JESSUP FARM BARREL HOUSE","JESSUP FARM BARREL HOUSE","Sales Room Malt","03-05472","2020-11-22T00:00:00.000","1921 JESSUP DRIVE","Fort Collins","CO","80525"
"DRATZ BREWING COMPANY","DRATZ BREWING COMPANY","Sales Room Malt","03-09346","2021-06-11T00:00:00.000","965 EAST 11TH STREET","Loveland","CO","80537"
"A B VISITORS TOWN CENTER","A B VISITORS TOWN CENTER","Sales Room Malt","01-25130-0002","2020-12-31T00:00:00.000","2351 BUSCH DR","Fort Collins","CO","805249400"
"OLD COLORADO BREWING COMPANY","OLD COLORADO BREWING COMPANY","Sales Room Malt","03-04472","2021-05-21T00:00:00.000","8121 1ST STREET","Wellington","CO","80549"
"MONTANYA DISTILLERS","MONTANYA DISTILLERS LLC","Sales Room Spirits","15-69344-0000","2021-04-23T00:00:00.000","212 ELK AVE","Crested Butte","CO","81224"
"GILDED GOAT BREWING COMPANY","GILDED GOAT BREWING COMPANY","Sales Room Malt","03-06377","2021-04-18T00:00:00.000","3500 SOUTH COLLEGE AVENUE UNIT 194","Fort Collins","CO","80525"
"HIDEAWAY PARK BREWERY","HIDEAWAY PARK BREWERY","Sales Room Malt","03-02795","2021-04-24T00:00:00.000","78927 US HIGHWAY 40","Winter Park","CO","80482"
"VERSO CELLARS @ METROPOLIS COFFEE","VERSO CELLARS","Sales Room Wine","18-26226-0009","2021-02-18T00:00:00.000","1661 CENTRAL AVENUE","Denver","CO","80204"
"NEXT STOP BREW CO","NEXT STOP BREW CO.","Sales Room Malt","03-06869","2021-09-13T00:00:00.000","925 WEST 8TH AVENUE","Denver","CO","80204"
,"CAMBER BREWING COMPANY LLC","Sales Room Malt","03-11476","2021-04-21T00:00:00.000","365 ZEREX STREET","Fraser","CO","80442"
"CREEKSIDE CELLARS","CREEKSIDE CELLARS","Sales Room Wine","12-31819-0001","2021-04-06T00:00:00.000","28036 HIGHWAY 74","Evergreen","CO","80439"
"ODD13 BREWING","ODD13 BREWING","Sales Room Malt","03-01453","2021-05-07T00:00:00.000","301 EAST SIMPSON STREET","Lafayette","CO","80026"
"COAL MINE AVE BREWING COMPANY","COAL MINE AVE BREWING COMPANY","Sales Room Malt","03-09486","2021-05-14T00:00:00.000","9719 WEST COAL MINE AVENUE UNIT A","Littleton","CO","80123"
"GREAT DIVIDE BREWING COMPANY","GREAT DIVIDE BREWING COMPANY","Sales Room Malt","03-03322","2021-10-15T00:00:00.000","2201 ARAPAHOE STREET","Denver","CO","80205"
"PEAK 54 BREWING COMPANY LLC PEAK 54 BREWING COMPANY","RAILS END BEER COMPANY","Sales Room Malt","03-05719","2021-01-13T00:00:00.000","11625 REED COURT UNIT B","Broomfield","CO","80020"
"FOSSIL CRAFT BEER COMPANY","FOSSIL CRAFT BEER COMPANY","Sales Room Malt","03-02397","2021-01-27T00:00:00.000","2845 ORE MILL ROAD UNIT#S 1 & 2","Colorado Springs","CO","80904"
"BOOTSTRAP BREWING","BOOTSTRAP BREWING","Sales Room Malt","15-81194-0001","2021-05-08T00:00:00.000","6778 NORTH 79TH STREET","Longmont","CO","80503"
"DREKAR MEADERY, LLC","DREKAR MEADERY LLC","Sales Room Wine","03-11750","2021-08-01T00:00:00.000","908 North Circle Drive Unit E","Colorado Springs","CO","80909"
"AVANT GARDE ALEWORKS LLC","AVANT GARDE ALEWORKS LLC","Sales Room Malt","03-10999","2021-04-02T00:00:00.000","920 DUNRAVEN STREET","Estes Park","CO","80517"
"WILD WOMEN WINERY","WILD WOMEN WINERY","Sales Room Wine","42-50616-0001","2021-07-02T00:00:00.000","1660 CHAMPA STREET","Denver","CO","80202"
"PURGATORY CELLARS","PURGATORY CELLARS","Sales Room Wine","03-10300","2020-09-26T00:00:00.000","30 WEST SPRINGER DRIVE","Highlands Ranch","CO","80129"
"ANHEUSER BUSCH","AMERICAN EAGLE DISTRIBUTING CO","Sales Room Malt","03-05403","2021-09-17T00:00:00.000","3800 CLYDESDALE PARKWAY","Loveland","CO","80538"
"OSKAR BLUES BREWERY","OSKAR BLUES BREWERY","Sales Room Malt","03-02261","2021-02-17T00:00:00.000","1800 PIKE ROAD","Longmont","CO","80501"
"DOWNSLOPE DISTILLING INC","DOWNSLOPE DISTILLING INC","Sales Room Spirits","42-72130-0000","2021-02-24T00:00:00.000","6770 SOUTH DAWSON CIRCLE #400","Englewood","CO","801124224"
"CLEAR FORK CIDER","CLEAR FORK CIDER","Sales Room Wine","03-06464","2021-06-12T00:00:00.000","13395 BRAUN ROAD","Denver","CO","80401"
"THE OBC WINE PROJECT","THE OBC WINE PROJECT","Sales Room Wine","03-12302","2021-02-12T00:00:00.000","824 EAST LINCOLN AVENUE","Fort Collins","CO","80524"
"SNOWBANK BREWING","SNOWBANK BREWING","Sales Room Malt","03-02637","2021-03-05T00:00:00.000","225 NORTH LEMAY AVENUE  SUITE 1","Fort Collins","CO","80524"
"MOLSON COORS BEVERAGE CO","MOLSON COORS BEVERAGE CO","Sales Room Malt","28-57986-0010","2021-06-30T00:00:00.000","300 12TH STREET","Golden","CO","804015811"
"AXE AND THE OAK DISTILLERY LLC","AXE AND THE OAK DISTILLERY LLC","Sales Room Spirits","03-02951","2021-05-29T00:00:00.000","1604 SOUTH CASCADE AVENUE SUITE 80","Colorado Springs","CO","80905"
"ASPEN PEAK CELLARS","ASPEN PEAK CELLARS","Sales Room Wine","15-70398-0002","2021-02-25T00:00:00.000","60750 US HIGHWAY 285","Bailey","CO","80421"
"COCKPIT CRAFT DISTILLERY, LLC","COCKPIT CRAFT DISTILLERY","Sales Room Spirits","03-05447","2020-12-21T00:00:00.000","4893 GALLEY ROAD","Colorado Springs","CO","80915"
"BIG B'S HARD CIDER","BIG B'S HARD CIDER","Sales Room Wine","28-62394-0001","2021-04-29T00:00:00.000","386 HIGH STREET","Hotchkiss","CO","81419"
"NEW PLANET BEER COMPANY","NEW PLANET BEER COMPANY","Sales Room Malt","42-72782-0000","2021-07-15T00:00:00.000","1280 WEST 47TH AVENUE","Denver","CO","80211"
"BRECKENRIDGE DISTILLERY","BRECKENRIDGE DISTILLERY","Sales Room Spirits","12-87527-0001","2021-04-15T00:00:00.000","1925 AIRPORT ROAD","Breckenridge","CO","80424"
"LOCUST CIDER","LOCUST CIDER","Sales Room Wine","03-10413","2021-06-19T00:00:00.000","5446 CONESTOGA COURT","Boulder","CO","80301"
"SPIRIT HOUNDS DISTILLERS","SPIRIT HOUND DISTILLERS","Sales Room Spirits","03-03278","2021-06-05T00:00:00.000","4196 UTE HIGHWAY","Lyons","CO","80540"
"BROKEN ARROW SPIRITS LLC","BROKEN ARROW SPIRITS LLC","Sales Room Spirits","03-04378","2021-09-30T00:00:00.000","15353 EAST HINSDALE CIRCLE UNIT C","Centennial","CO","80112"
"GROSSEN BART BREWERY","GROSSEN BART BREWERY","Sales Room Malt","03-01053","2021-06-03T00:00:00.000","1025 DELAWARE AVE","Longmont","CO","80501"
"MAD RUSSIAN BREWING COMPANY","MAD RUSSIAN BREWING COMPANY","Sales Room Malt","03-10985","2021-05-22T00:00:00.000","519 NORTH HIGHWAY 50 BUSINESS LOOP","Olathe","CO","81425"
"CHELUNA BREWING COMPANY","CHELUNA BREWING COMPANY","Sales Room Malt","03-05629","2020-12-27T00:00:00.000","2501 DALLAS STREET 148","Aurora","CO","80010"
"SIX AND FORTY BREWERY TAPROOM","SIX AND FORTY BREWERY TAPROOM","Sales Room Malt","03-09659","2021-04-23T00:00:00.000","883 PARFET STREET, UNITS I&J","Lakewood","CO","80215"
"CROOKED STAVE FORT COLLINS","CROOKED STAVE FORT COLLINS LLC","Sales Room Malt","03-10816","2021-01-29T00:00:00.000","216 NORTH COLLEGE AVENUE SUITE 130","Fort Collins","CO","80524"
"OHM BREWING INC","OHM BREWING INC","Sales Room Malt","03-11352","2021-04-25T00:00:00.000","1921 YOUNGFIELD STREET UNIT 210","Golden","CO","80401"
"HOGSHEAD BREWING","HOGSHEAD BREWERY","Sales Room Malt","42-98974-0001","2021-02-06T00:00:00.000","4460 WEST 29TH AVE","Denver","CO","802123015"
"WELDWERKS BREWING","WELDWERKS BREWING COMPANY LLC","Sales Room Malt","03-03626","2021-10-02T00:00:00.000","508 8TH AVE","Greeley","CO","80634"
"1350 DISTILLING","1350 DISTILLING","Sales Room Spirits","03-08876","2021-04-09T00:00:00.000","520 EAST PIKES PEAK AVENUE","Colorado Springs","CO","80903"
"VINO COLORADO WINERY","VINO COLORADO WINERY","Sales Room Wine","03-03480","2021-09-17T00:00:00.000","2845 ORE MILL ROAD UNIT #9","Colorado Springs","CO","80904"
"DRY DOCK BREWING CO","DRY DOCK BREWING CO","Sales Room Malt","03-02756","2021-06-29T00:00:00.000","2801 TOWER ROAD","Aurora","CO","80011"
"ODELL BREWING  COMPANY","ODELL BREWING CO INC","Sales Room Malt","03-45100-0002","2021-11-16T00:00:00.000","800 EAST LINCOLN AVE","Fort Collins","CO","805242507"
"TRVE BREWING CO","TRVE BREWING COMPANY","Sales Room Malt","15-81023-0001","2021-02-09T00:00:00.000","227 BROADWAY #101","Denver","CO","80203"
"OLD 121 BREWHOUSE","OLD 121 BREWHOUSE","Sales Room Malt","03-10791","2021-01-23T00:00:00.000","1057 SOUTH WADSWORTH BLVD SUITE 60","Lakewood","CO","80226"
"CUTTHROAT DISTILLERS","CUTTHROAT DISTILLERS","Sales Room Spirits","03-09649","2021-09-12T00:00:00.000","2300 EAST 77TH AVEUNUE UNIT 300","Denver","CO","80229"
"PEAKS N PINES BREWERY","PEAKS N PINES BREWERY","Sales Room Malt","03-11579","2021-05-15T00:00:00.000","4005 TUTT BOULEVARD","Colorado Springs","CO","80922"
"NEVER SUMMER BREWING CO","NEVER SUMMER BREWING CO","Sales Room Malt","03-06427","2021-05-17T00:00:00.000","62 EAST AGATE AVENUE","Granby","CO","80446"
"SWEET HEART WINERY","SWEETHEART CITY WINES","Sales Room Wine","42-87347-0000","2020-12-22T00:00:00.000","5500 WEST HIGHWAY 34","Loveland","CO","80537"
"MAXLINE BREWING","MAXLINE BREWING","Sales Room Malt","03-05575","2020-11-30T00:00:00.000","7238 FORT MORGAN DRIVE","Fort Collins","CO","80525"
"OASIS BREWERY","OASIS BREWERY","Sales Room Malt","03-07948","2021-10-12T00:00:00.000","3257 NORTH LOWELL BOULEVARD","Denver","CO","80211"
"BONFIRE BREWING","BONFIRE BREWING","Sales Room Malt","42-84839-0001","2021-08-29T00:00:00.000","127 WEST 2ND STREET","Eagle","CO","81631"
"ROCKER SPIRITS","ROCKER SPIRITS","Sales Room Spirits","03-05423","2020-11-18T00:00:00.000","5587 INDUSTRIAL PLACE, SUITE A","Littleton","CO","80120"
"VERY NICE BREWING COMPANY LLC","VERY NICE BREWING COMPANY LLC","Sales Room Malt","14-72983-0001","2021-05-31T00:00:00.000","20 LAKEVIEW DR UNIT 112","Nederland","CO","80466"
"BOCO CIDER","BOCO CIDER","Sales Room Wine","03-09847","2021-07-25T00:00:00.000","1501 LEE HILL DRIVE UNIT 14","Boulder","CO","80304"
"TWO22 BREW","TWO22 BREW","Sales Room Malt","03-01676","2021-07-23T00:00:00.000","4550 SOUTH RESERVOIR ROAD","Centennial","CO","80015"
"NEW BELGIUM BREWING CO","NEW BELGIUM BREWING CO","Sales Room Malt","09-69917-0001","2021-03-30T00:00:00.000","500 LINDEN STREET","Fort Collins","CO","80524"
"STATE 38 DISTILLING","STATE 38 DISTILLING","Sales Room Spirits","03-01425","2021-05-20T00:00:00.000","1123 WASHINGTON AVENUE","Golden","CO","80401"
"KINGMAN ENTERPRISES LLC KINGMAN ESTATES WINERY NIZA KNOLL GALLERY","KINGMAN ESTATES WINERY","Sales Room Wine","25-60933-0000","2021-11-10T00:00:00.000","915 SANTA FE DRIVE","Denver","CO","80204"
"KINGMAN ESTATES VINEYARDS/WINERIES","KINGMAN ESTATES WINERY","Sales Room Wine","25-60933-0000","2021-11-10T00:00:00.000","700 COLORADO BOULEVARD UNIT C","Denver","CO","80206"
"14ER BREWING","14ER BREWING","Sales Room Malt","03-06323","2021-05-24T00:00:00.000","3120 BLAKE STREET UNIT C","Denver","CO","80205"
"SMILING TOAD BREWING COMPANY","SMILING TOAD BREWING CO, INC.","Sales Room Malt","03-01123","2021-05-20T00:00:00.000","2028 SHELDON AVENUE","Colorado Springs","CO","80904"
"BLACK BRIDGE WINERY LLC","BLACK BRIDGE WINERY LLC","Sales Room Wine","26-49329-0003","2021-08-07T00:00:00.000","15836 BLACK BRIDGE ROAD","Paonia","CO","81428"
"GUBBINI WINE SHOP","GUBBINI WINERY","Sales Room Wine","42-83776-0000","2021-08-26T00:00:00.000","305 MAIN STREET UNIT 4","Palisade","CO","81526"
"SUN SPIRITS LLC","RISING SUN DISTILLERY","Sales Room Spirits","03-01930","2021-09-26T00:00:00.000","1330 ZUNI STREET UNIT J","Denver","CO","80204"
"GREEN MOUNTIAN BEER","GREEN MOUNTAIN BEER COMPANY","Sales Room Malt","03-05534","2020-11-30T00:00:00.000","2585 SOUTH LEWIS WAY SUITE 110","Lakewood","CO","80227"
"PEAK VIEW BREWING COMPANY","PEAK VIEW BREWING COMPANY","Sales Room Malt","03-10414","2021-02-06T00:00:00.000","9672 EAST ARAPAHOE ROAD","Greenwood Village","CO","80112"
"DISTILLERY 291","DISTILLERY 291 LLC","Sales Room Spirits","42-90642-0002","2021-06-14T00:00:00.000","1647 SOUTH TEJON STREET","Colorado Springs","CO","80905"
"CRYSTAL SPRINGS BREWING COMPANY","CRYSTAL SPRINGS BREWING COMPANY","Sales Room Malt","03-01600","2021-07-21T00:00:00.000","657 SOUTH TAYLOR AVE UNIT E","Louisville","CO","80027"
"DRY DOCK BREWING CO","DRY DOCK BREWING CO","Sales Room Malt","42-12824-0002","2021-08-31T00:00:00.000","15120 EAST HAMPDEN AVENUE","Aurora","CO","80014"
"COPPERMUSE DISTILLERY","COPPERMUSE DISTILLERY","Sales Room Spirits","03-02113","2021-11-24T00:00:00.000","244 NORTH COLLEGE AVE","Fort Collins","CO","80524"
"KNOTTED ROOT BREWING COMPANY","KNOTTED ROOT BREWING COMPANY","Sales Room Malt","03-09612","2021-05-13T00:00:00.000","250 NORTH CARIBOU STREET","Nederland","CO","80466"
,"WESTMINSTER BREWING COMPANY","Sales Room Malt","03-10843","2021-03-13T00:00:00.000","7655 WEST 108TH AVENUE SUITE 600","Westminster","CO","80021"
"RISING SUN DISTILLERY","RISING SUN DISTILLERY","Sales Room Spirits","03-01930","2021-09-26T00:00:00.000","1330 ZUNI STREET UNIT J","Denver","CO","80204"
"THE BLOCK DISTILLING CO LLC","THE BLOCK DISTILLING CO. LLC","Sales Room Spirits","03-06990","2020-10-03T00:00:00.000","2990 LARIMER STREET","Denver","CO","80205"
"LONE TREE BREWING COMPANY INC","LONE TREE BREWING COMPANY INC","Sales Room Malt","42-97088-0002","2021-10-23T00:00:00.000","8222 PARK MEADOWS DRIVE","Lone Tree","CO","80124"
"RED LEG BREWING CO","RED LEG BREWING COMPANY","Sales Room Malt","03-01257","2021-05-07T00:00:00.000","4630 FORGE ROAD STE B","Colorado Springs","CO","80907"
"FUNKWERKS","FUNKWERKS","Sales Room Malt","15-75022-0002","2020-11-23T00:00:00.000","1900 EAST LINCOLN AVE UNIT B","Fort Collins","CO","80524"
"WATERS EDGE WINERY","WATERS EDGE WINERY","Sales Room Wine","03-03519","2020-09-10T00:00:00.000","2101 EAST ARAPAHOE ROAD  SUITE 101","Centennial","CO","80122"
"ASHER BREWING COMPANY","ASHER BREWING COMPANY LLC","Sales Room Malt","12-85475-0001","2020-11-16T00:00:00.000","4699 NAUTILUS COURT SUITE 104","Boulder","CO","80301"
"ATREVIDA BEER COMPANY","ATREVIDA BEER COMPANY","Sales Room Malt","03-09539","2021-05-09T00:00:00.000","204 MOUNT VIEW LANE #3, #4, #5","Colorado Springs","CO","80907"
"COLORADO VINTNER'S COLLECTIVE LLC","COLORADO VINTNER'S COLLECTIVE LLC","Sales Room Wine","03-12946","2021-04-02T00:00:00.000","3674 G ROAD","Palisade","CO","81526"
"DIEBOLT BREWING COMPANY LLC","DIEBOLT BREWING COMPANY, LLC","Sales Room Malt","03-01145","2021-04-14T00:00:00.000","3855 MARIPOSA STREET","Denver","CO","80211"
"TEAL CIDER","TEAL CIDER","Sales Room Wine","03-06935","2021-09-22T00:00:00.000","17999 ROAD 23","Dolores","CO","81323"
"STORM PEAK BREWING COMPANY","STORM PEAK BREWING COMPANY","Sales Room Malt","03-02540","2021-02-28T00:00:00.000","1885 ELK RIVER PLAZA","Steamboat Springs","CO","80487"
"FH BEERWORKS","FH BEERWORKS","Sales Room Malt","03-10287","2020-10-09T00:00:00.000","2480 & 2490 VICTOR PLACE","Colorado Springs","CO","80915"
,"BLUE VALLEY SPIRITS LLC","Sales Room Spirits","03-11518","2021-07-30T00:00:00.000","207 CENTRAL AVENUE SOUTH EAST QUADRANT","Kremmling","CO","80459"
"HERMOSA VINEYARDS","HERMOSA VINEYARDS","Sales Room Wine","40-85372-0000","2021-12-05T00:00:00.000","3269 3/4 C ROAD","Palisade","CO","815269529"
"CASEY BREWING AND BLENDING LLC","CASEY BREWING AND BLENDING LLC","Sales Room Malt","03-02668","2021-03-27T00:00:00.000","3421 GRAND AVE SUITE E","Glenwood Springs","CO","81601"
"DENVER WHISKEY COMPANY","TIGHE BROTHERS DISTILLERY","Sales Room Spirits","03-04520","2021-08-31T00:00:00.000","4200 MILWAUKEE STREET","Denver","CO","80216"
"MYSTIC MOUNTAIN DISTILLERY LLC","MYSTIC MOUNTAIN DISTILLERY LLC","Sales Room Spirits","28-53034-0000","2021-09-09T00:00:00.000","12136 GRANT CIRCLE","Thornton","CO","80241"
"BRECKENRIDGE BREWERY","BRECKENRIDGE BREWERY","Sales Room Malt","03-06033","2021-03-20T00:00:00.000","2920 BREWERY LANE","Littleton","CO","80120"
"TWISTED PINE BREWING COMPANY","TWISTED PINE BREWING","Sales Room Malt","09-75648-0001","2021-05-30T00:00:00.000","3201 WALNUT ST SUITE A","Boulder","CO","803102642"
"HIGH PLAINS WINERY,HPW,HP WINERY","HIGH PLAINS WINERY, HP WINERY, HPW","Sales Room Wine","03-06205","2021-03-14T00:00:00.000","312 MAIN STREET UNIT A","Sterling","CO","80751"
"GOAT PATCH BREWING CO","GOAT PATCH BREWING CO","Sales Room Malt","03-07036","2021-10-20T00:00:00.000","2727 NORTH CASCADE AVENUE SUITES 117, 120, & 123","Colorado Springs","CO","80907"
"KINGMAN ESTATES WINERY","KINGMAN ESTATES WINERY","Sales Room Wine","25-60933-0000","2021-11-10T00:00:00.000","7326 WASHINGTON STREET","Denver","CO","80229"
"10 BARREL BREWING","10 BARREL BREWING","Sales Room Malt","03-06348","2021-06-15T00:00:00.000","2620 WALNUT STREET","Denver","CO","80205"
"GRANDE RIVER VINEYARDS","GRANDE RIVER VINEYARDS","Sales Room Wine","04-93413-0001","2021-02-12T00:00:00.000","787 NORTH ELBERTA AVE","Palisade","CO","81526"
"GUBBINI WINERY","GUBBINI WINERY","Sales Room Wine","42-83776-0000","2021-08-26T00:00:00.000","3697 F ROAD","Palisade","CO","815269327"
"CASTLE ROCK BEER COMPANY","IRON MULE BREWERY","Sales Room Malt","03-05096","2020-11-18T00:00:00.000","514 PERRY STREET C106","Castle Rock","CO","80104"
"AZURA CELLARS","AZURA CELLARS","Sales Room Wine","09-87044-0000","2020-10-08T00:00:00.000","16764 FARMERS MINE ROAD","Paonia","CO","81428"
"RATIO BEERWORKS","RATIO BEERWORKS","Sales Room Malt","03-08088","2021-05-18T00:00:00.000","2920 LARIMER STREET","Denver","CO","80205"
"HOLIDAILY BREWING COMPANY","HOLIDAILY BREWING COMPANY","Sales Room Malt","03-04522","2021-06-15T00:00:00.000","801 BRICKYARD CIRCLE UNIT B","Golden","CO","80403"
"ENDLESS ENDEAVOR WINERY AND FARM LLC","ENDLESS ENDEAVOR WINERY","Sales Room Wine","03-08713","2021-04-11T00:00:00.000","15566 FIRE MOUNTAIN ROAD","Paonia","CO","81428"
