"county","year","totalpopulation"
"Bent","2020","48"
"Bent","2020","46"
"Bent","2020","73"
"Bent","2020","98"
"Bent","2020","36"
"Bent","2020","68"
"Bent","2020","67"
"Bent","2020","59"
"Bent","2020","2"
"Bent","2020","32"
"Bent","2020","100"
"Bent","2020","62"
"Bent","2020","100"
"Bent","2020","72"
"Bent","2020","62"
"Bent","2020","45"
"Bent","2020","61"
"Bent","2020","94"
"Bent","2020","79"
"Bent","2020","4"
"Bent","2020","44"
"Bent","2020","74"
"Boulder","2020","3579"
"Boulder","2020","4281"
"Boulder","2020","4021"
"Boulder","2020","911"
"Boulder","2020","4090"
"Boulder","2020","4369"
"Boulder","2020","2011"
"Boulder","2020","866"
"Boulder","2020","573"
"Boulder","2020","3380"
"Boulder","2020","3002"
"Boulder","2020","268"
"Boulder","2020","1083"
"Boulder","2020","4623"
"Boulder","2020","1879"
"Boulder","2020","4020"
"Boulder","2020","4499"
"Boulder","2020","6151"
"Boulder","2020","3842"
"Boulder","2020","2852"
"Boulder","2020","4066"
"Boulder","2020","493"
"Boulder","2020","4482"
"Boulder","2020","4117"
"Boulder","2020","3972"
"Boulder","2020","3286"
"Boulder","2020","3219"
"Boulder","2020","7021"
"Boulder","2020","3771"
"Boulder","2020","2917"
"Boulder","2020","660"
"Boulder","2020","3742"
"Boulder","2020","4186"
"Boulder","2020","373"
"Boulder","2020","3947"
"Boulder","2020","4783"
"Boulder","2020","3603"
"Boulder","2020","4625"
"Boulder","2020","4524"
"Boulder","2020","5184"
"Boulder","2020","241"
"Boulder","2020","3887"
"Boulder","2020","7763"
"Boulder","2020","1248"
"Boulder","2020","4767"
"Boulder","2020","2608"
"Boulder","2020","455"
"Boulder","2020","4336"
"Boulder","2020","1457"
"Boulder","2020","4358"
"Boulder","2020","4286"
"Boulder","2020","4434"
"Boulder","2020","340"
"Boulder","2020","2848"
"Boulder","2020","3888"
"Boulder","2020","1361"
"Boulder","2020","4376"
"Boulder","2020","4546"
"Boulder","2020","4247"
"Boulder","2020","1130"
"Boulder","2020","1844"
"Boulder","2020","4577"
"Boulder","2020","121"
"Boulder","2020","182"
"Boulder","2020","89"
"Boulder","2020","100"
"Boulder","2020","2528"
"Boulder","2020","800"
"Boulder","2020","4940"
"Boulder","2020","3951"
"Boulder","2020","4085"
"Boulder","2020","3273"
"Boulder","2020","3546"
"Boulder","2020","155"
"Boulder","2020","2677"
