"businessname","dbas","city","statecode","zipcode","countyname","originaleffectivedate","expiredate","operationtypes"
"Charlie's Walkers Inc.",",Freeman, Christine","Denver","CO","80223","Denver","2018-02-08T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Handler"
"CITY OF WALSENBURG","CITY OF WALSENBURG ANIMAL SHELTER","Walsenburg","CO","81089","Huerfano","2012-03-12T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter <= 3000 Transfers"
"TAGG Rescue Inc","Chandler, Nichole,Tornado Alley Gentle Giants Rescue (TAGG)","Peyton","CO","80831","El Paso","2018-02-12T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"PetSmart, Inc.","PetSmart #229","Centennial","CO","80122","Arapahoe","2012-03-08T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner,Retail/Wholesale"
"THE LITTLE BROWN DOG LLC","LITTLE BROWN DOG GROOMING STUDIO","Denver","CO","80211","Denver","2015-10-09T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"THE SMITHS - LOVE & LODGING FOR YOUR FAMILY DOG",,"Monument","CO","80132","El Paso","2012-02-28T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"High Prairie Pals",",Sher Olson","Deer Trail","CO","80105","Arapahoe","2015-01-16T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Small Scale"
"Spawology LLC",",Hayner, Luke","Lakewood","CO","80232","Jefferson","2018-01-19T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"SAN JUAN VETERINARY RESORT, INC.",,"MONTROSE","CO","81403","Montrose","2012-04-02T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"ANIMAL WELFARE COALITION OF NORTHEASTERN NEW MEXIC","AWC PET CENTER,Holguin, Martina","Las Vegas","NM","87701","San Miguel","2016-08-03T00:00:00.000","2019-03-01T00:00:00.000","Pet Transporter"
"GROOMING BY YVETTE",,"COLORADO SPRINGS","CO","80915","El Paso","2012-03-14T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Hains, Kathleen N",",Kathleen Hains","Littleton","CO","80127","Jefferson","2017-06-06T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"Holguin, Destiny M",,"Westminster","CO","80030","Adams","2016-04-06T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"Jamie Lynn Curtis",",Curtis, Jamie Lynn","Centennial","CO","80015","Arapahoe","2017-11-01T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"MILE HIGH LABRADOR RETRIEVER MISSION",,"BROOMFIELD","CO","80020","Broomfield","2012-04-04T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"Mountain Mongrels, LLC",,"GRAND LAKE","CO","80447","Grand","2013-10-30T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"BAJA, INC.","Bree Maestas,Pet City","Colorado Springs","CO","80909","El Paso","2012-03-26T00:00:00.000","2019-03-01T00:00:00.000","Breeder Small Animal,Retail/Wholesale"
"DIANE'S PET GROOMING",",GRINTON, DIANE","Arvada","CO","80002","Jefferson","2012-02-29T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Dingo Diner, Inc.","Dingo Diner & Spa,Sullivan, Carol","Denver","CO","80234","Adams","2017-09-06T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Self Wash Only"
"ESTES PARK PET SUPPLY COMPANY",,"ESTES PARK","CO","80517","Larimer","2012-02-08T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Self Wash Only"
"COLORADO WYOMING VIZSLA RESCUE GROUP INC",,"Arvada","CO","80007","Jefferson","2017-04-28T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"Rocky Mountain Laundries","Frisco Wash Tub and Dog Wash,Peterson, Craig","Frisco","CO","80443","Summit","2017-06-19T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Self Wash Only"
"RUFFING IT, LLC",,"COLORADO SPRINGS","CO","80923","El Paso","2012-03-05T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Ranch House Bernedoodles, LLC",",Krull, Gary M","Montrose","CO","81403","Montrose","2018-01-22T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Small Scale"
"SUNNY PATCH PUPPYS",,"DELTA","CO","81416","Delta","2014-02-05T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Small Scale"
"FOREVER HOMES ANIMAL RESCUE",",Alicia Kumke","Alamogordo","NM","88310","Otero","2016-08-11T00:00:00.000","2019-03-01T00:00:00.000","Pet Transporter"
"Petco Animal Supplies Store, Inc #0489",,"Fort Collins","CO","80525","Larimer","2012-03-06T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner,Retail/Wholesale"
"Bark & Meow Resort & Academy, LLC","Bark & Meow,Hixgon, Brenda B","Grand Junction","CO","81505","Mesa","2018-03-19T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"GRAND COUNTY ANIMAL SHELTER",,"Granby","CO","80446","Grand","2012-03-28T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter <= 3000 Transfers"
"HOMELESS-BOXER CARE DENVER METRO AREA","HO-BO-CARE BOXER RESCUE,ROSSMUELLER, MARITA","Denver","CO","80209","Denver","2012-02-29T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"The Groom Room",",Barbra Ding","Johnstown","CO","80534","Weld","2012-02-09T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"CARYN'S CLASSY CRITTERS",,"GRAND JUNCTION","CO","81506","Mesa","2012-03-27T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"PAMPERED PUPS MOBILE PET GROOMING",",Lisa Hettrick","LOVELAND","CO","80537","Larimer","2012-10-12T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Mobile"
"The Bark Retreat, LLC",",Battershell, Suzanne  M","Commerce City","CO","80022","Adams","2018-01-28T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"DOGGIE DO'S & KITTY'S TOO PET STYLING",",WEAVER, HEATHER","PUEBLO","CO","81004","Pueblo","2013-05-08T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner,Pet Handler"
"ANIMAL DEN, INC.","EATON ANIMAL DEN","Eaton","CO","80615","Weld","2012-03-23T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter <= 3000 Transfers,Boarding/Training,Pet Grooming Facility - Owner"
"Synde's Wacky Doggie Doo's",",Bird, Cynthia","Pueblo West","CO","81007","Pueblo","2018-02-22T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"Rodriguez, Julianne",",Julianne Rodriguez","Littleton","CO","80125","Douglas","2017-06-29T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"NBS EAST, LLC","CAMP BOW WOW","COLORADO SPRINGS","CO","80907","El Paso","2012-03-14T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"FOR PET'S SAKE GROOMING",",Prickett, Jenna","Arvada","CO","80003","Jefferson","2016-07-13T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"HAPPY CATS HAVEN, INC",",Ferguson, Sara","Colorado Springs","CO","80904","El Paso","2012-03-23T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter <= 3000 Transfers"
"Amy's Puppy Love Spa Inc",",Elliott, Amy M","Greeley","CO","80634","Weld","2016-10-28T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"GRACE DOG TRAINING & BEHAVIOR, LLC",",Melara, Ana","Lakewood","CO","80226","Jefferson","2016-09-26T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Handler"
"Groomingdale's Pet Grooming",",SPRINGER, JUDY","Brush","CO","80723","Morgan","2013-06-03T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Groomingdale's Pet Grooming LLC",", Sarah Lingle","Thornton","CO","80233","Adams","2012-03-23T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"WHITEWATER NEWFOUNDLANDS",,"BRIGHTON","CO","80603","Weld","2012-02-22T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Small Scale"
"THE GROOMING STUDIO, LLC",,"Fort Lupton","CO","80621","Weld","2015-10-09T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"Minney, Becky L",,"Greeley","CO","80634","Weld","2016-08-30T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"Fry, Lisa N",",Lisa Fry","Breckenridge","CO","80424","Summit","2017-04-24T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"CAMP BOW WOW - LITTLETON",,"LITTLETON","CO","80122","Arapahoe","2012-02-29T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"Rogue's Farm, Inc.","Rogue's Farm,Valerie J Wilson","Erie","CO","80516","Weld","2018-10-01T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"Isom, Raven N",,"Aurora","CO","80013","Arapahoe","2015-08-06T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"DANDY VENTURES, INC.","DANDY VENTURES, INC.,Dandy, David,PET SUPPLIES PLUS # 4063","Fort Collins","CO","80525","Larimer","2016-10-27T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner,Retail/Wholesale"
"THE TAILS END GROOMING SALON LLC",,"Trinidad","CO","81082","Las Animas","2016-03-23T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Jordyn M. Vallejo",",Vallejo, Jordyn","Silt","CO","81652","Garfield","2018-03-12T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"BORDERS WITHOUT BOUNDARIES RESCUE",",BORDERS WITHOUT BOUNDARIES RESCUE,Voigt, Sherry","Valentine","NE","69201","Cherry","2016-06-28T00:00:00.000","2019-03-01T00:00:00.000","Pet Transporter"
"NORTHWEST KANSAS ANIMAL SHELTER",",Schermerhorn, Kathleen","Goodland","KS","67735","Sherman","2016-08-17T00:00:00.000","2019-03-01T00:00:00.000","Pet Transporter"
"Tuxedo Paws LTD",",Blake, Alexia","Holyoke","CO","80734","Phillips","2018-05-25T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Jack & Lily Co.","Lily's Baths & Biscuits,Lynn Christensen","Denver","CO","80211","Denver","2016-10-28T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"BUSTER'S NATURAL PET SUPPLY, INC",,"Conifer","CO","80433","Jefferson","2013-09-19T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner,Retail/Wholesale"
"Canis Major Dog Training Ltd","Canis Major Dog Training,Kimberly D McRae","Denver","CO","80204","Denver","2018-10-25T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"PetSmart, Inc.","PetSmart - 3040","Highlands Ranch","CO","80129","Douglas","2017-09-05T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner,Retail/Wholesale"
"CITY OF BRUSH ANIMAL SHELTER",,"Brush","CO","80723","Morgan","2012-03-28T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter <= 3000 Transfers"
"PTSD / TBI Dogs and Tags of Wyoming",",Cooke, Paula","Cheyenne","WY","82009","Laramie","2017-08-23T00:00:00.000","2019-03-01T00:00:00.000","Pet Transporter"
"Airedale Terrier Rescue and Adoption","ATRA,Edward Watkins","Thornton","CO","80229","Adams","2018-01-23T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"About Fish","Fish,Sherman, Audrey","Westminster","CO","80030","Adams","2012-05-01T00:00:00.000","2019-03-01T00:00:00.000","Retail Aquarium Only"
"Dog Dynasty LLC","Long, Tosha,The Downtown Cat","Grand Junction","CO","81501","Mesa","2018-05-02T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"RASPBERRY MOUNTAIN PET CARE, LLC",,"PALMER LAKE","CO","80133","El Paso","2012-02-29T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"THE BIG BACKYARD, INCORPORATED",",Tracy Jackson","Denver","CO","80222","Denver","2012-03-09T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"THE DENVER DUMB FRIENDS LEAGUE","DUMB FRIENDS LEAGUE BUDDY CENTER,Steele, Apryl","Castle Rock","CO","80109","Douglas","2012-04-17T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter > 3000 transfers"
"Breeder Release Adoption Service",,"BONCARBO","CO","81024","Las Animas","2012-03-06T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter <= 3000 Transfers"
"FINNEY COUNTY HUMANE SOCIETY INC",",McGaughey, Stephanie","Garden City","KS","57846","Finney","2016-09-02T00:00:00.000","2019-03-01T00:00:00.000","Pet Transporter"
"AGGIELAND HUMANE SOCIETY",",Bice, Kathryn","Bryan","TX","77807","Brazos","2016-05-25T00:00:00.000","2019-03-01T00:00:00.000","Pet Transporter"
"Just a Dog Groomer",",Hooyboer-Spencer","Colorado Springs","CO","80909","El Paso","2017-12-26T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"TODD'S TROPICAL FISH",",Leo, Samuel","Denver","CO","80231","Denver","2017-04-03T00:00:00.000","2019-03-01T00:00:00.000","Retail Aquarium Only"
"BEST IN SHOW LLC","BEST IN SHOW PET GROOMING","Greeley","CO","80631","Weld","2012-03-12T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"CITY OF MONTROSE","CITY OF MONTROSE ANIMAL SHELTER","Montrose","CO","81401","Montrose","2012-03-28T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter <= 3000 Transfers"
"TENDER CARE VETERINARY CENTER, INC.",,"Peyton","CO","80831","El Paso","2015-08-10T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"BEARPOINT KENNEL, LLC",,"Larkspur","CO","80118","Douglas","2016-03-24T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Breeder Dog Small Scale"
"DSGG ENTERPRISE, LLC","THE POOCH MOBILE - MONUMENT","Monument","CO","80132","El Paso","2014-12-18T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Mobile"
"Moms and Mutts: Colorado Rescue for Pregnant & Nur","Aron Jones,MAMCO Rescue","Lakewood","CO","80227","Jefferson","2017-10-17T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue,Pet Transporter"
"WISHBONE DOG TRAINING LLC",",Elizabeth Rioux","Lafayette","CO","80026","Boulder","2016-09-06T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"JD KENNELS",,"Akron","CO","80720","Washington","2012-03-08T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Small Scale"
"Petco Animal Supplies Store, Inc #1434",,"Aurora","CO","80016","Arapahoe","2012-03-06T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner,Retail/Wholesale"
"BERNHARDT TRAINING CENTER",,"Wellington","CO","80549","Larimer","2012-03-22T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Small Scale"
"RB Enterprises Inc","Blumenfeld, Robert B,Scales N Tails - East","Colorado Springs","CO","80915","El Paso","2018-04-05T00:00:00.000","2019-03-01T00:00:00.000","Breeder Small Animal,Retail/Wholesale"
"Longmont Friends of Feral & Abandoned Cats",,"Longmont","CO","80504","Boulder","2016-09-08T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"Willow",",Griesbauer, Catherine","Montgomery City","MO","63361","Montgomery","2017-12-11T00:00:00.000","2019-03-01T00:00:00.000","Pet Transporter"
"Breaking Trail Camp and Kennel","Hathaway, Caleb,Monarch Dog Sled Rides","Salida","CO","81201","Chaffee","2013-11-01T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Small Scale"
"iResQ RR","Blakely, Dawn E,iResQ","Arvada","CO","80004","Jefferson","2018-02-27T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"CLASSY PAWS AND CLAWS",,"RIFLE","CO","81650","Garfield","2014-06-17T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Small Scale"
"ASPEN ARBOR ANIMAL HOSPITAL, PC",",McKee, Charlotte","Broomfield","CO","80021","Broomfield","2012-04-02T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"DAVID P. SPECHT, DVM, PC","SOUTHPARK ANIMAL CLINIC PC","Littleton","CO","80120","Arapahoe","2012-02-06T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"TOWN OF DOVE CREEK",,"Dove Creek","CO","81324","Dolores","2012-03-13T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter <= 3000 Transfers"
"STOCKTON CORPORATION","STOCKTON'S PLUM CREEK KENNEL","Littleton","CO","80125","Douglas","2014-10-06T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Breeder Dog Small Scale,Pet Grooming Facility - Owner"
"UPTOWN PUPS, LLC",,"Littleton","CO","80121","Arapahoe","2013-09-06T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"COLORADO PREMIER LLC","BARKY MOUNTAIN GROOMING,Ramos Cruz, Crystal","Lone Tree","CO","80124","Douglas","2017-03-14T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"FREEMAN ENTERPRISES, INC.","Crested Butte Groomers,Freeman, Cari L","Crested Butte","CO","81224","Gunnison","2018-02-20T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner,Pet Handler"
"AVON VETERINARY CENTER, INC.","AVON PET CENTRE","Avon","CO","81620","Eagle","2012-02-22T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"TAILWAGGERS",,"Basalt","CO","81621","Pitkin","2016-04-21T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"SPECIAL TOUCH PET GROOMING",,"MONTE VISTA","CO","81144","Rio Grande","2012-03-28T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"THE ANIMAL HOUSE",",Donna Allison","Rocky Ford","CO","81067","Otero","2012-03-14T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"TOP DOG MOBILE PET GROOMING SALON",,"Manitou Springs","CO","80829","El Paso","2016-08-25T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Mobile"
"PET HAVEN",,"Longmont","CO","80504","Boulder","2014-01-06T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"Revolution Dog Services LLC",",Cattabiani, Julie","Wheat Ridge","CO","80033","Jefferson","2018-07-23T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility"
"Lil Haven Kennel, LLC",",Deborah Weber","Elbert","CO","80106","Elbert","2012-03-14T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Small Scale,Retail/Wholesale"
"BLVC, PC","BOYD LAKE VETERINARY CENTER,Doherty, Patrick","Loveland","CO","80538","Larimer","2012-02-23T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"THE DOGS PAW",,"Fraser","CO","80442","Grand","2016-05-23T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Beauty - Fur Dog Grooming",",Marczan, Jessica L","Greeley","CO","80634","Weld","2018-03-08T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"WESTIE RESCUE NETWORK, INC.",,"Erie","CO","80516","Weld","2007-03-01T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"HIGH PRAIRIE FARMS FLUSHING SPANIELS LIMITED LIABI",,"Carr","CO","80612","Weld","2012-03-26T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Breeder Dog Small Scale"
"Dandy Ventures, Inc.","David Dandy,PET SUPPLIES PLUS # 4017","Golden","CO","80401","Jefferson","2016-10-06T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner,Retail/Wholesale"
"RUGGED RETRIEVERS INCORPORATED","RUG-GED RETRIEVERS","CALHAN","CO","80808","El Paso","2012-04-17T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"PetSmart, Inc.","PetSmart #232","Colorado Springs","CO","80909","El Paso","2012-03-08T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner,Retail/Wholesale"
"Pickett, Kelli",",Barkin' Beauties,Kelli Pickett","Milliken","CO","80543","Weld","2016-07-19T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"S. Miley Dog Training and Rehabilitation",",Miley, Susan","Bellvue","CO","80512","Larimer","2018-07-13T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"CITY OF LAS ANIMAS","COUNTY OF BENT/CITY OF LAS ANIMAL SHELTER","LAS ANIMAS","CO","81054","Bent","2012-03-07T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter <= 3000 Transfers"
"The Sunspider Group, Inc.","Tailored Tails Grooming Salon & Pet Spa","Colorado Springs","CO","80922","El Paso","2015-06-01T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"KLM Enterprise, LLC","A Clip Above,KLM Enterprise, LLC","Centennial","CO","80122","Arapahoe","2012-03-14T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Alpha Dog Care LLC",",Bahn, Jackson","Salida","CO","81201","Chaffee","2017-06-30T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"PETSMART, INC.","PetSmart - 1072","Aurora","CO","80012","Arapahoe","2012-03-08T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner,Retail/Wholesale"
"Rainbow Schnauzers",",BOWMAN, BARBARA","Delta","CO","81416","Delta","2014-11-21T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Large Scale"
"A Pet Stylist",",Jennifer Early","Brighton","CO","80601","Adams","2018-05-09T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"WET NOSE COMPANY, LLC","WASH BARK","Denver","CO","80209","Denver","2016-03-29T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility"
"Sup Dawg Limited",",Foreman, Jason","Parker","CO","80134","Douglas","2018-03-01T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Mobile"
"Hope for Paws Colorado",",Mitchell Jury, Julie","Englewood","CO","80112","Arapahoe","2016-10-13T00:00:00.000","2019-03-01T00:00:00.000","Pet Transporter"
"Petco Animal Supplies Store, Inc #1452",,"Longmont","CO","80501","Boulder","2012-03-06T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner,Retail/Wholesale"
"A Country Canine Training Co. LLC","A Country Canine Grooming,Pollard, Jori","Pueblo","CO","81003","Pueblo","2012-12-20T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"Grand Central Grooming",",Harris, Bridget","Denver","CO","80219","Denver","2012-03-07T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"K-9 Cuts & Care",",MATHEWS, CHRISTINA","Colorado Springs","CO","80908","El Paso","2012-03-08T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"ROCKY MOUNTAIN REX, LLC","ROCKY MOUNTAIN REXES","Timnath","CO","80547","Larimer","2015-04-07T00:00:00.000","2019-03-01T00:00:00.000","Breeder Cat"
"Caring 4 Paws LLC",,"Thornton","CO","80602","Adams","2016-09-20T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Mobile"
"PAWS-ITIVE IMAGE PET SALON",,"Fowler","CO","81039","Otero","2012-03-07T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"McAllister & May Denver LLC","James D McAllister,Off-Leash K9 Training Denver LLC","Englewood","CO","80110","Arapahoe","2018-09-05T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"Aquatic Art Inc.",",Capp, John","Littleton","CO","80129","Douglas","2013-05-15T00:00:00.000","2019-03-01T00:00:00.000","Retail Aquarium Only"
"North Fork Animal Doctor, P.C.","Animal Doctor,Susan Raymond","Hotchkiss","CO","81419","Delta","2012-03-12T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"Dog Gone Cute",",Villalobos, Sierra","Palisade","CO","81526","Mesa","2018-06-01T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Mobile"
"Whitworth Veterinary, LLC","Clearview Animal Hospital","Colorado Springs","CO","80911","El Paso","2017-09-18T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"Peak View Animal Hospital, Inc.",",Leone, Richard","Fowler","CO","81039","Otero","2016-12-08T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter <= 3000 Transfers,Boarding/Training"
"BALLISTIC MORPHS REPTILES LTD.","Kensinger, Richard,SCALES N TAILS","Lakewood","CO","80214","Jefferson","2014-11-13T00:00:00.000","2019-03-01T00:00:00.000","Breeder Small Animal,Retail/Wholesale"
"Polemi Holdings Inc","Paw Prints,Polemi, Michael A.","Englewood","CO","80112","Arapahoe","2018-05-04T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Functional Conditioning Inc.","Barkley's Pet Cruiser,Barkley, Katherin","Westminster","CO","80005","Jefferson","2018-08-20T00:00:00.000","2019-03-01T00:00:00.000","Pet Handler"
"DT HIGHLANDS RANCH, LP","DOGTOPIA","Highlands Ranch","CO","80126","Douglas","2016-05-23T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"Itty Bitty Kitty Katterie",",Curtis Figler","Castle Rock","CO","80109","Douglas","2012-03-07T00:00:00.000","2019-03-01T00:00:00.000","Breeder Cat"
"Pet Rodeo LLC","Lonnie J Castelli,RK Pet Ranch - A Fivepaw Resort","Oak Creek","CO","80467","Routt","2018-10-24T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"Romanek, Susanna L",,"Greeley","CO","80631","Weld","2015-05-04T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"VCA ANIMAL HOSPITALS, INC","Emily P Wilen,VCA ALL PETS ANIMAL HOSPITAL LAFAYETTE","LAFAYETTE","CO","80026","Boulder","2012-03-08T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"GRATEFUL DOG THE PET BOARDING",",Heather Hathaway","Brighton","CO","80603","Weld","2012-03-09T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"D.C. GROOMING, LLC",,"LAFAYETTE","CO","80026","Boulder","2015-03-12T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
