"row_id","timestamp","vendor","battery_pct","instance_id","is_reserved_flag","is_disabled_flag","latitude","longitude","point"
"Bird-1ff8944a-b630-429c-9162-02dca76953ac","2022-09-13T12:32:02.000","Bird",,"1ff8944a-b630-429c-9162-02dca76953ac","0","0","51.03824615","-114.08319091666665","POINT (-114.083190916667 51.03824615)"
"Neuron-c546bf6d-af51-4452-9e09-4194cf870342","2022-09-13T12:32:02.000","Neuron",,"c546bf6d-af51-4452-9e09-4194cf870342","1","1","51.04759383333333","-114.06247066666668","POINT (-114.062470666667 51.047593833333)"
"Neuron-2e74190b-ee5a-4c27-b1ab-08516ac8dc96","2022-09-13T12:32:02.000","Neuron",,"2e74190b-ee5a-4c27-b1ab-08516ac8dc96","1","1","51.04576133333333","-114.06575616666666","POINT (-114.065756166667 51.045761333333)"
"Neuron-793bbb90-f057-452d-8ed1-6a47e6db7023","2022-09-13T12:32:02.000","Neuron",,"793bbb90-f057-452d-8ed1-6a47e6db7023","1","1","51.06765746666667","-114.15802764999998","POINT (-114.15802765 51.067657466667)"
"Bird-c08823a8-7ca5-4ea4-964e-4f42b19cb1f6","2022-09-13T12:32:02.000","Bird",,"c08823a8-7ca5-4ea4-964e-4f42b19cb1f6","0","0","51.01953833333334","-114.11072533333332","POINT (-114.110725333333 51.019538333333)"
"Bird-afa1337d-1389-4559-8d84-a5271ff27594","2022-09-13T12:32:02.000","Bird",,"afa1337d-1389-4559-8d84-a5271ff27594","0","0","51.02805450000001","-114.071606","POINT (-114.071606 51.0280545)"
"Neuron-4f43e0b4-3f52-4a6d-9f0f-8a789b289ca1","2022-09-13T12:32:02.000","Neuron",,"4f43e0b4-3f52-4a6d-9f0f-8a789b289ca1","1","1","51.047511333333325","-114.06432816666666","POINT (-114.064328166667 51.047511333333)"
"Bird-eff628d4-80e9-4adf-b954-02491a023ad9","2022-09-13T12:32:02.000","Bird",,"eff628d4-80e9-4adf-b954-02491a023ad9","0","0","51.02798466666666","-114.09460383333332","POINT (-114.094603833333 51.027984666667)"
"Neuron-04351f19-fc64-4895-8e94-3017e08fd5ff","2022-09-13T12:32:02.000","Neuron",,"04351f19-fc64-4895-8e94-3017e08fd5ff","1","1","51.04752083333333","-114.06261566666666","POINT (-114.062615666667 51.047520833333)"
"Bird-ae75a98b-ffec-4ff8-b07c-2178443fba8e","2022-09-13T12:32:02.000","Bird",,"ae75a98b-ffec-4ff8-b07c-2178443fba8e","0","0","51.03767633333334","-114.06349883333333","POINT (-114.063498833333 51.037676333333)"
"Neuron-63b98e89-7c0f-421c-82bc-b4b106647b6f","2022-09-13T12:32:02.000","Neuron",,"63b98e89-7c0f-421c-82bc-b4b106647b6f","1","1","51.03792716666667","-114.05882866666667","POINT (-114.058828666667 51.037927166667)"
"Bird-b9905ea2-d87b-4757-ad54-38f654012b40","2022-09-13T12:32:02.000","Bird",,"b9905ea2-d87b-4757-ad54-38f654012b40","0","0","51.041053766666664","-114.0539093","POINT (-114.0539093 51.041053766667)"
"Bird-bef381ac-525b-463c-a03a-0e360f151e57","2022-09-13T12:32:02.000","Bird",,"bef381ac-525b-463c-a03a-0e360f151e57","0","0","51.045108799999994","-114.05547333333334","POINT (-114.055473333333 51.0451088)"
"Bird-38b5f51c-5963-4141-8e90-d8e0e1d7a7c0","2022-09-13T12:32:02.000","Bird",,"38b5f51c-5963-4141-8e90-d8e0e1d7a7c0","0","0","51.08409283333334","-114.11536616666666","POINT (-114.115366166667 51.084092833333)"
"Neuron-e314a189-b53e-4f0c-8b8e-602c2b88cf7c","2022-09-13T12:32:02.000","Neuron",,"e314a189-b53e-4f0c-8b8e-602c2b88cf7c","1","1","51.04248883333333","-114.06785399999998","POINT (-114.067854 51.042488833333)"
"Neuron-88c10c39-15dc-4e6b-8aa9-11873582f435","2022-09-13T12:32:02.000","Neuron",,"88c10c39-15dc-4e6b-8aa9-11873582f435","1","1","51.048663999999995","-114.06538633333334","POINT (-114.065386333333 51.048664)"
"Neuron-157ef59f-7cd3-4d4a-89f0-39c464028aed","2022-09-13T12:32:02.000","Neuron",,"157ef59f-7cd3-4d4a-89f0-39c464028aed","1","1","51.04585133333333","-114.07099233333332","POINT (-114.070992333333 51.045851333333)"
