"name","address","council_district","total_units","affordable_housing_units","program","program_category","development_status","estimated_year_of_completion","rental","home_ownership","_30_ami","_35_ami","_40_ami","_50_ami","_60_ami","_65_ami","_70_ami","_75_ami","_80_ami","_85_ami","_90_ami","_100_ami","_120_ami","manager_s_unit_unrestricted","sleeping_room_group_home","sedu","studio","_1_br","_2_br","_3_br","_4_br","_5_br","latitude","longitude","reporting_date"
"Patricia K","2212 S JACKSON ST","3","52","52","CITY FUNDED (MINIMUM 50 YEARS)","CITY FUNDED (MINIMUM 50 YEARS)","Under Construction","2020","1",,"52",,,,,,,,,,,,,,,,"52",,,,,,"47.599519","-122.302671","2018-12-31T00:00:00.000"
"Pivot","1208 PINE ST","3","71","15","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2021","1",,,,,,,"8",,"5",,"2",,,,,,,"8","5","2",,,,"47.615291","-122.328534","2018-12-31T00:00:00.000"
"Polaris at Rainier Beach","9400 RAINIER AVE S","2","327","327","CITY FUNDED (MINIMUM 50 YEARS)","CITY FUNDED (MINIMUM 50 YEARS)","In Permitting","2022","1",,,,,,"327",,,,,,,,,"3",,,"34","135","130","28",,,"47.520086","-122.265043","2018-12-31T00:00:00.000"
"Portal, The","743 N 35TH ST","6","54","3","MHA PERFORMANCE (up to 75 YEARS)","AFFORDABLE UNITS IN MARKET-RATE BUILDING (50 OR 75 YEARS)","Under Construction","2019","1",,,,,,"3",,,,,,,,,,,,,"3",,,,,"47.649929","-122.348018","2018-12-31T00:00:00.000"
"Rainier Court IV","3616 34TH AVE S","2","81","81","CITY FUNDED (MINIMUM 50 YEARS)","CITY FUNDED (MINIMUM 50 YEARS)","Under Construction","2020","1",,,,,"41","40",,,,,,,,,,,,,"66","15",,,,"47.571021","-122.289662","2018-12-31T00:00:00.000"
"Red Cedar","808 FIR ST","3","119","118","CITY FUNDED (MINIMUM 50 YEARS)","CITY FUNDED (MINIMUM 50 YEARS)","Under Construction","2019","1",,"80",,,,"38",,,,,,,,,"1",,,,"20","66","27","5",,"47.602846","-122.321928","2018-12-31T00:00:00.000"
"Republican","1010 E REPUBLICAN ST","3","36","8","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2020","1",,,,,,,"8",,,,,,,,,,,"8",,,,,,"47.623303","-122.319327","2018-12-31T00:00:00.000"
"Robin's Nest","3272 FUHRMAN AVE E","3","62","13","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2019","1",,,,,,,"4",,"8",,"1",,,,,,,"4","8","1",,,,"47.651411","-122.320815","2018-12-31T00:00:00.000"
"Roosevelt TOD","6600 ROOSEVELT WAY NE","4","245","245","CITY FUNDED (MINIMUM 50 YEARS)","CITY FUNDED (MINIMUM 50 YEARS)","In Permitting","2021","1",,"61",,,"39","145",,,,,,,,,,,,"64","78","66","37",,,"47.677047","-122.316948","2018-12-31T00:00:00.000"
"Seattle 10th LLC Development","209 12th Ave S","3","209","13","MPC-YT (50 YEARS)","AFFORDABLE UNITS IN MARKET-RATE BUILDING (50 OR 75 YEARS)","In Permitting","2022","1",,,,,,,,,,"13",,,,,,,,,,,,,,"47.600684","-122.317555","2018-12-31T00:00:00.000"
"SHA Yesler Records","1215 E FIR ST","3","158","158","CITY FUNDED (MINIMUM 50 YEARS)","CITY FUNDED (MINIMUM 50 YEARS)","In Permitting","2021","1",,"92",,,,"58",,,,"8",,,,,"1",,,"8","49","70","25","6",,"47.602239","-122.315293","2018-12-31T00:00:00.000"
"Spring Street North","1101 8TH AVE","3","548","110","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2020","1",,,,,,,"18",,"58",,"34",,,,,,,"18","58","34",,,,"47.608743","-122.329658","2018-12-31T00:00:00.000"
"Stax, The","5001 BROOKLYN AVE NE","4","55","4","MHA PERFORMANCE (up to 75 YEARS)","AFFORDABLE UNITS IN MARKET-RATE BUILDING (50 OR 75 YEARS)","Under Construction","2019","1",,,,"4",,,,,,,,,,,,,"4",,,,,,,"47.665093","-122.314514","2018-12-31T00:00:00.000"
"Stazione 25","2615 25TH AVE S","2","301","61","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2020","1",,,,,,,"18",,"33",,"10",,,,,,,"18","33","10",,,,"47.579535","-122.300629","2018-12-31T00:00:00.000"
"Stone Way 41st","4035 STONE WAY N","4","48","10","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2020","1",,,,,,,"6",,"3",,"1",,,,,,,"6","3","1",,,,"47.656291","-122.342961","2018-12-31T00:00:00.000"
"Stream Dexios","1600 DEXTER AVE N","7","80","16","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2021","1",,,,,,,"4",,"9",,"3",,,,,,,"4","9","3",,,,"47.633234","-122.342046","2018-12-31T00:00:00.000"
"STS Office Redevelopment","9049 20TH AVE SW","1","28","6","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2021","1",,,,"1",,,"1",,"3",,"1",,,,,,"1","1","3","1",,,,"47.521540","-122.359531","2018-12-31T00:00:00.000"
"Thai Binh","913 S JACKSON ST","2","247","247","CITY FUNDED (MINIMUM 50 YEARS)","CITY FUNDED (MINIMUM 50 YEARS)","Under Construction","2019","1",,,,,,"247",,,,,,,,,"2",,,"24","187","36",,,,"47.598888","-122.320376","2018-12-31T00:00:00.000"
"The Edric","9021 17TH AVE SW","1","32","7","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2020","1",,,,,,,,,"3",,"4",,,,,,,,"3","4",,,,"47.522172","-122.356747","2018-12-31T00:00:00.000"
"Uncle Bob's Place","714 S KING ST","2","104","103","CITY FUNDED (MINIMUM 50 YEARS)","CITY FUNDED (MINIMUM 50 YEARS)","In Permitting","2021","1",,,,,,"103",,,,,,,,,"1",,,"34","33","24","12",,,"47.598584","-122.322985","2018-12-31T00:00:00.000"
"Valdok II","1706 NW 56TH ST","6","149","30","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2019","1",,,,,,,,,"26",,"4",,,,,,,,"26","4",,,,"47.669643","-122.379184","2018-12-31T00:00:00.000"
"Werner Apartments, The","3046 17TH AVE W","7","59","4","IZ PERFORMANCE (50 YEARS)","AFFORDABLE UNITS IN MARKET-RATE BUILDING (50 OR 75 YEARS)","Under Construction","2020","1",,,,"4",,,,,,,,,,,,,"4",,,,,,,"47.648010","-122.378436","2018-12-31T00:00:00.000"
"Yakima Townhomes","1312 YAKIMA AVE S","3","10","10","CITY FUNDED (MINIMUM 50 YEARS)","CITY FUNDED (MINIMUM 50 YEARS)","In Permitting","2021",,"1",,,,,,,,,"10",,,,,,,,,,,"10",,,"47.591825","-122.294099","2018-12-31T00:00:00.000"
"Yancy Street","2811 SW YANCY ST","1","44","44","CITY FUNDED (MINIMUM 50 YEARS)","CITY FUNDED (MINIMUM 50 YEARS)","In Permitting","2022","1",,"44",,,,,,,,,,,,,,,,"44",,,,,,"47.567464","-122.368759","2018-12-31T00:00:00.000"
"Zella","203 W REPUBLICAN ST","7","90","18","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2019","1",,,,,,,"14",,"3",,"1",,,,,,,"14","3","1",,,,"47.623130","-122.359703","2018-12-31T00:00:00.000"
"Zella Apartments","429 2ND AVE W","7","128","8","MHA PERFORMANCE (up to 75 YEARS)","AFFORDABLE UNITS IN MARKET-RATE BUILDING (50 OR 75 YEARS)","Under Construction","2019","1",,,,,,"8",,,,,,,,,,,,"5","2","1",,,,"47.622966","-122.359727","2018-12-31T00:00:00.000"
