"year","month","airline_code","airline","number_of_power_run_ups","number_of_power_run_ups_per_1000_departures","percentage_of_power_run_ups_for_the_period"
"2013","10","EJA","NETJETS AVIATION","1","5.2","3.00"
"2013","10","SKW","SKYWEST","3","0.7","10.0"
"2013","10","AAL","AMERICAN AIRLINES","6","6.4","21.00"
"2013","10","UAL","UNITED AIR LINES","18","3.6","62.00"
"2013","11","VRD","VIRGIN AMERICA","1","0.7","5.00"
"2013","11","AAL","AMERICAN AIRLINES","5","5.7","26.00"
"2013","11","UAL","UNITED AIR LINES","13","2.8","68.00"
"2013","12","EJA","NETJETS AVIATION","1","5.3","9.00"
"2013","12","AAL","AMERICAN AIRLINES","4","4.6","36.00"
"2013","12","UAL","UNITED AIR LINES","6","1.3","55.00"
"2014","1","VRD","VIRGIN AMERICA","1","0.7","7.00"
"2014","1","AAL","AMERICAN AIRLINES","4","4.6","29.00"
"2014","1","UAL","UNITED AIR LINES","9","2.0","64.00"
"2014","2","UAL","UNITED AIR LINES","9","2.2","43.00"
"2014","2","AAL","AMERICAN AIRLINES","12","15.9","57.00"
"2014","3","AAL","AMERICAN AIRLINES","12","13.6","50.0"
"2014","3","UAL","UNITED AIR LINES","12","2.5","50.0"
"2014","4","CPZ","COMPASS AIRLINES","1","1.4","7.00"
"2014","4","AAL","AMERICAN AIRLINES","6","6.9","43.00"
"2014","4","UAL","UNITED AIR LINES","7","1.4","50.0"
"2014","5","SWA","SOUTHWEST AIRLINES","1","0.8","4.00"
"2014","5","AAL","AMERICAN AIRLINES","8","9.1","35.00"
"2014","5","UAL","UNITED AIR LINES","14","2.7","61.00"
"2014","6","VRD","VIRGIN AMERICA","1","0.6","5.00"
"2014","6","UAL","UNITED AIR LINES","9","1.7","43.00"
"2014","6","AAL","AMERICAN AIRLINES","11","11.9","52.00"
"2014","7","UAL","UNITED AIR LINES","9","1.6","38.00"
"2014","7","AAL","AMERICAN AIRLINES","15","15.5","63.00"
"2014","8","VRD","VIRGIN AMERICA","1","0.7","3.00"
"2014","8","DAL","DELTA AIR LINES","3","3.3","9.00"
"2014","8","UAL","UNITED AIR LINES","13","2.4","39.00"
"2014","8","AAL","AMERICAN AIRLINES","16","16.5","48.00"
"2014","9","DAL","DELTA AIR LINES","1","1.3","3.00"
"2014","9","VRD","VIRGIN AMERICA","1","0.7","3.00"
"2014","9","UAL","UNITED AIR LINES","5","1.0","16.00"
"2014","9","AAL","AMERICAN AIRLINES","25","26.6","78.00"
"2014","10","UAL","UNITED AIR LINES","8","1.5","31.00"
"2014","10","AAL","AMERICAN AIRLINES","18","18.5","69.00"
"2014","11","EJA","NETJETS AVIATION","2","11.1","13.00"
"2014","11","UAL","UNITED AIR LINES","6","1.3","40.0"
"2014","11","AAL","AMERICAN AIRLINES","7","7.8","47.00"
"2014","12","SKW","SKYWEST","1","0.3","6.00"
"2014","12","UAL","UNITED AIR LINES","3","0.6","19.00"
"2014","12","AAL","AMERICAN AIRLINES","12","13.2","75.00"
"2015","1","UAL","UNITED AIR LINES","5","1.2","24.00"
"2015","1","AAL","AMERICAN AIRLINES","16","18.5","76.00"
"2015","2","UAL","UNITED AIR LINES","3","0.8","30.0"
"2015","2","AAL","AMERICAN AIRLINES","7","9.3","70.0"
"2015","3","DAL","DELTA AIR LINES","1","1.4","5.00"
"2015","3","EJA","NETJETS AVIATION","1","4.4","5.00"
"2015","3","OPT","FLIGHT OPTIONS","2","42.6","10.0"
"2015","3","UAL","UNITED AIR LINES","6","1.3","30.0"
"2015","3","AAL","AMERICAN AIRLINES","10","11.4","50.0"
"2015","4","DAL","DELTA AIR LINES","1","1.4","5.00"
"2015","4","VRD","VIRGIN AMERICA","1","0.7","5.00"
"2015","4","UAL","UNITED AIR LINES","4","0.9","21.00"
"2015","4","AAL","AMERICAN AIRLINES","13","11.0","68.00"
"2015","5","DAL","DELTA AIR LINES","1","1.3","4.00"
"2015","5","SWA","SOUTHWEST AIRLINES","1","0.8","4.00"
"2015","5","VRD","VIRGIN AMERICA","1","0.7","4.00"
"2015","5","UAL","UNITED AIR LINES","4","0.8","17.00"
"2015","5","AAL","AMERICAN AIRLINES","17","12.4","71.00"
"2015","6","ASA","ALASKA AIRLINES","1","1.9","4.00"
"2015","6","UAL","UNITED AIR LINES","11","2.1","46.00"
"2015","6","AAL","AMERICAN AIRLINES","12","8.7","50.0"
"2015","7","VRD","VIRGIN AMERICA","2","1.3","7.00"
"2015","7","UAL","UNITED AIR LINES","11","2.0","41.00"
"2015","7","AAL","AMERICAN AIRLINES","14","9.6","52.00"
"2015","8","DAL","DELTA AIR LINES","1","0.9","4.00"
"2015","8","TAI","AVIANCA","1","16.1","4.00"
"2015","8","UAL","UNITED AIR LINES","9","1.7","32.00"
"2015","8","AAL","AMERICAN AIRLINES","17","11.9","61.00"
"2015","9","LXJ","FLREXJET","1","15.9","5.00"
"2015","9","UAL","UNITED AIR LINES","6","1.2","27.00"
"2015","9","AAL","AMERICAN AIRLINES","15","11.1","68.00"
"2015","10","UAL","UNITED AIR LINES","6","1.2","30.0"
"2015","10","AAL","AMERICAN AIRLINES","14","9.7","70.0"
"2015","11","DAL","DELTA AIR LINES","1","0.9","7.00"
"2015","11","UAL","UNITED AIR LINES","4","0.9","29.00"
"2015","11","AAL","AMERICAN AIRLINES","9","6.7","64.00"
"2015","12","CPZ","COMPASS AIRLINES","1","3.7","7.00"
"2015","12","JBU","JETBLUE","2","4.1","14.00"
"2015","12","UAL","UNITED AIR LINES","5","1.1","36.00"
"2015","12","AAL","AMERICAN AIRLINES","6","4.4","43.00"
"2016","1","AAL","AMERICAN AIRLINES","11","8.9","48.00"
"2016","1","UAL","UNITED AIR LINES","12","2.8","52.00"
"2016","2","UAL","UNITED AIR LINES","13","3.1","48.00"
"2016","2","AAL","AMERICAN AIRLINES","14","11.7","52.00"
"2016","3","DAL","DELTA AIR LINES","1","0.8","3.00"
"2016","3","AAL","AMERICAN AIRLINES","13","10.0","43.00"
"2016","3","UAL","UNITED AIR LINES","16","3.3","53.00"
"2016","4","DAL","DELTA AIR LINES","1","0.9","4.00"
"2016","4","UAL","UNITED AIR LINES","11","2.2","41.00"
"2016","4","AAL","AMERICAN AIRLINES","15","11.7","56.00"
"2016","5","AAL","AMERICAN AIRLINES","5","3.5","50.0"
"2016","5","UAL","UNITED AIR LINES","5","0.9","50.0"
"2016","6","DAL","DELTA AIR LINES","1","0.8","7.00"
"2016","6","VRD","VIRGIN AMERICA","1","0.6","7.00"
"2016","6","UAL","UNITED AIR LINES","6","1.1","40.0"
"2016","6","AAL","AMERICAN AIRLINES","7","4.8","47.00"
"2016","7","UAL","UNITED AIR LINES","7","1.2","33.00"
"2016","7","AAL","AMERICAN AIRLINES","14","9.5","67.00"
"2016","8","AAL","AMERICAN AIRLINES","19","31.1","66.00"
"2016","8","CPZ","COMPASS AIRLINES","1","2.2","3.00"
"2016","8","DAL","DELTA AIR LINES","1","0.7","3.00"
"2016","8","UAL","UNITED AIR LINES","8","1.3","28.00"
"2016","9","DAL","DELTA AIR LINES","1","1.0","8.00"
"2016","9","UAL","UNITED AIR LINES","4","0.7","33.00"
"2016","9","AAL","AMERICAN AIRLINES","7","5.2","58.00"
"2016","10","AAL","AMERICAN AIRLINES","11","8.1","61.00"
"2016","10","UAL","UNITED AIR LINES","6","1.1","33.00"
"2016","10","VRD","VIRGIN AMERICA","1","0.6","6.00"
"2016","11","AAL","AMERICAN AIRLINES","7","5.4","50.0"
"2016","11","UAL","UNITED AIR LINES","6","1.2","43.00"
"2016","11","VRD","VIRGIN AMERICA","1","0.6","7.00"
"2016","12","AAL","AMERICAN AIRLINES","2","1.6","100"
"2017","1","AAL","AMERICAN AIRLINES","17","15.8","71.00"
"2017","1","UAL","UNITED AIR LINES","4","0.9","17.00"
"2017","1","VRD","VIRGIN AMERICA","3","1.8","13.00"
"2017","2","AAL","AMERICAN AIRLINES","11","11.4","73.00"
"2017","2","UAL","UNITED AIR LINES","4","0.9","27.00"
"2017","3","AAL","AMERICAN AIRLINES","14","12.8","78.00"
"2017","3","UAL","UNITED AIR LINES","4","0.8","22.00"
"2017","4","AAL","AMERICAN AIRLINES","11","10.7","69.00"
"2017","4","UAL","UNITED AIR LINES","5","1.0","31.00"
"2017","5","SWA","SOUTHWEST AIRLINES","1","0.7","10.0"
"2017","5","VRD","VIRGIN AMERICA","2","1.1","20.0"
"2017","5","AAL","AMERICAN AIRLINES","3","2.7","30.0"
"2017","5","UAL","UNITED AIR LINES","4","0.7","40.0"
"2017","6","AAL","AMERICAN AIRLINES","2","1.7","25.00"
"2017","6","UAL","UNITED AIR LINES","3","0.5","38.00"
"2017","6","VRD","VIRGIN AMERICA","3","1.6","38.00"
"2017","7","UAL","UNITED AIR LINES","3","0.5","100"
"2017","8","UAL","UNITED AIR LINES","5","0.7","83.00"
"2017","8","VRD","VIRGIN AMERICA","1","0.5","17.00"
"2017","9","SWA","SOUTHWEST AIRLINES","1","0.7","17.00"
"2017","9","UAL","UNITED AIR LINES","5","0.8","83.00"
"2017","10","AAL","AMERICAN AIRLINES","6","5.2","67.00"
"2017","10","UAL","UNITED AIR LINES","2","0.3","22.00"
"2017","10","VRD","VIRGIN AMERICA","1","0.5","11.00"
"2017","11","AAL","AMERICAN AIRLINES","3","2.8","75.00"
"2017","11","UAL","UNITED AIR LINES","1","0.2","25.00"
"2017","12","AAL","AMERICAN AIRLINES","6","5.2","55.00"
"2017","12","UAL","UNITED AIR LINES","5","0.8","45.00"
"2018","1","AAL","AMERICAN AIRLINES","4","3.6","44.00"
"2018","1","ASA","ALASKA AIRLINES","1","0.5","11.00"
"2018","1","UAL","UNITED AIR LINES","4","0.8","44.00"
"2018","2","AAL","AMERICAN AIRLINES","5","5.0","71.00"
"2018","2","UAL","UNITED AIR LINES","2","0.4","29.00"
"2018","3","AAL","AMERICAN AIRLINES","3","2.8","43.00"
"2018","3","UAL","UNITED AIR LINES","4","0.7","57.00"
"2018","4","AAL","AMERICAN AIRLINES","3","2.8","75.00"
"2018","4","UAL","UNITED AIR LINES","1","0.2","25.00"
"2018","5","AAL","AMERICAN AIRLINES","4","3.5","44.00"
"2018","5","UAL","UNITED AIR LINES","5","0.8","56.00"
"2018","6","AAL","AMERICAN AIRLINES","6","0.6","37.00"
"2018","6","UAL","UNITED AIR LINES","8","1.2","50.0"
"2018","6","CAL","CHINA AIRLINES CARGO","1","40.0","6.00"
"2018","6","KAL","KOREAN AIR LINES","1","11.9","6.00"
"2018","7","AAL","AMERICAN AIRLINES","2","1.7","11.00"
"2018","7","ASA","ALASKA AIRLINES","3","1.2","16.00"
"2018","7","CPA","CATHAY PACIFIC AIRWAYS","1","10.9","5.00"
"2018","7","UAL","UNITED AIR LINES","12","1.8","67.00"
"2018","8","AAL","AMERICAN AIRLINES","1","0.8","5.00"
"2018","8","ASA","ALASKA AIRLINES","1","0.4","5.00"
"2018","8","DAL","DELTA AIR LINES","3","1.9","16.00"
"2018","8","JBU","JETBLUE","1","1.8","5.00"
"2018","8","SWA","SOUTHWEST AIRLINES","1","0.7","5.00"
"2018","8","UAL","UNITED AIR LINES","12","1.7","63.00"
"2018","9","UAL","UNITED AIR LINES","8","1.3","44.00"
"2018","9","AAL","AMERICAN AIRLINES","9","6.1","50.0"
"2018","9","DAL","DELTA AIR LINES","1","0.6","6.00"
"2018","10","UAL","UNITED AIR LINES","9","1.4","60.0"
"2018","10","AAL","AMERICAN AIRLINES","6","3.9","40.0"
"2018","11","UAL","UNITED AIR LINES","10","1.8","63.00"
"2018","11","AAL","AMERICAN AIRLINES","6","4.1","38.00"
"2018","12","AAL","AMERICAN AIRLINES","6","3.9","30.0"
"2018","12","ASA","ALASKA AIRLINES","4","1.4","20.0"
"2018","12","CPZ","COMPASS AIRLINES","1","1.1","5.00"
"2018","12","UAL","UNITED AIR LINES","9","1.6","45.00"
"2019","1","SKW","SKYWEST","1","0.3","6.00"
"2019","1","ASA","ALASKA AIRLINES","2","1.0","12.00"
"2019","1","AAL","AMERICAN AIRLINES","4","3.8","24.00"
"2019","1","UAL","UNITED AIR LINES","10","1.9","59.00"
"2019","2","ASA","ALASKA AIRLINES","6","3.3","32.00"
"2019","2","AAL","AMERICAN AIRLINES","5","5.2","26.00"
"2019","2","UAL","UNITED AIR LINES","8","1.7","42.00"
"2019","3","ASA","ALASKA AIRLINES","2","1.0","14.00"
"2019","3","AAL","AMERICAN AIRLINES","7","6.4","50.0"
"2019","3","UAL","UNITED AIR LINES","5","0.9","36.00"
"2019","4","ASA","ALASKA AIRLINES","4","2.1","19.00"
"2019","4","AAL","AMERICAN AIRLINES","10","9.7","48.00"
"2019","4","UAL","UNITED AIR LINES","7","1.2","33.00"
"2019","5","ASA","ALASKA AIRLINES","5","2.6","24.00"
"2019","5","AAL","AMERICAN AIRLINES","5","4.3","24.00"
"2019","5","DAL","DELTA AIR LINES","1","0.8","5.00"
"2019","5","FIN","FINNAIR","1","55.6","5.00"
"2019","5","SKW","SKYWEST","1","0.3","5.00"
"2019","5","UAL","UNITED AIR LINES","8","1.4","38.00"
"2019","6","ASA","ALASKA AIRLINES","7","3.5","24.00"
"2019","6","AAL","AMERICAN AIRLINES","12","10.4","41.00"
"2019","6","UAL","UNITED AIR LINES","10","1.6","34.00"
"2019","7","ASA","ALASKA AIRLINES","7","3.3","25.00"
"2019","7","AAL","AMERICAN AIRLINES","10","8.4","36.00"
"2019","7","DAL","DELTA AIR LINES","2","1.3","7.00"
"2019","7","SWA","SOUTHWEST AIRLINES","1","0.7","4.00"
"2019","7","UAL","UNITED AIR LINES","8","1.2","29.00"
