"street","x_street","direction","st_facing","dist","cnn","concatenat","mtab_date","mtab_reso_text","mtab_motion","status","workorder","install_date","shape",":@computed_region_jwn9_ihcz",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md"
"MONTEREY","SAN JACINTO","NE","WB","0","22764000.0","MONTEREY & SAN JACINTO",,,,,,,"POINT (-122.464096 37.732048)","69","69","10","8","41"
"NOE","JERSEY","NW","SB","0","25737000.0","NOE & JERSEY",,,,,,,"POINT (-122.43178 37.75062)","84","84","3","5","22"
"LARKIN ST","SACRAMENTO","NW","SB","0","25296000.0","LARKIN ST & SACRAMENTO",,,,,,,"POINT (-122.419205 37.7917)","16","16","6","3","21"
"20TH AVE","BALBOA","SE","NB","0","27497000.0","20TH AVE & BALBOA",,,,,,,"POINT (-122.479095 37.776543)","8","8","8","4","29"
"CHURCH","24TH ST","SE","NB","0","25639000.0","CHURCH ST & 24TH ST",,,,,,,"POINT (-122.42742 37.7517)","52","52","3","5","22"
"CERRITOS","MONCADA","SW","EB","0","22777000.0","CERRITOS & MONCADA",,,,,,,"POINT (-122.46917 37.726295)","67","67","10","8","41"
"WESTGATE","KENWOOD",,"SB",,"22768000.0","WESTGATE & KENWOOD",,,,,,,"POINT (-122.46539 37.72847)","68","68","10","8","41"
"PENNSYLVANIA","22ND ST","SE","NB","0","23625000.0","PENNSYLVANIA & 22ND ST",,,,,,,"POINT (-122.39311 37.757645)","54","54","2","9","26"
"ROUSSEAU","BOSWORTH","SE","NB","0","21859000.0","ROUSSEAU & BOSWORTH",,,,,,,"POINT (-122.43027 37.733307)","93","93","9","5","28"
"ROCKWOOD","ROCKAWAY","SE","NB","0","22843000.0","ROCKWOOD CT & ROCKAWAY AVE","20210730000000",,"6441","L",,,"POINT (-122.45695 37.743366)","49","49","10","8","41"
"44TH AVE","SLOAT","NW","SB","0","23450000.0","44TH AVE & SLOAT",,,,,,,"POINT (-122.502014 37.73551)","40","40","10","8","16"
"46TH AVE","MORAGA","NW","SB",,"27931000.0","46TH AVE & MORAGA ST","20200904000000",,"6291","I","20-01239","20201007000000","POINT (-122.50552 37.754826)","39","39","10","7","35"
"FAIRFAX","NEWHALL","NE","WB","0","20237000.0","FAIRFAX AVE & NEWHALL ST",,,,,,,"POINT (-122.38713 37.74129)","86","86","2","9","1"
"12TH AVE","IRVING","NW","SB","00","27171000.0","12TH AVE & IRVING",,,,,,,"POINT (-122.469505 37.76389)","109","109","10","11","14"
"ARLETA","RUTLAND","SW","EB","0","20358000.0","ARLETA & RUTLAND",,,,,,,"POINT (-122.40675 37.713894)","75","75","9","9","40"
"45TH AVE","LAWTON","SE","NB","0","27933000.0","45TH AVE & LAWTON",,,,,,,"POINT (-122.50458 37.756737)","39","39","10","7","35"
"BRADFORD","BERNAL HEIGHTS","NW","SB","0","3059000.0","BRADFORD ST & BERNAL HEIGHTS BLVD","20201204000000",,"6330","I","20-01580","20210217000000","POINT (-122.40936 37.742916)","83","83","9","2","2"
"BUCHANAN","WALLER","SE","NB","0","25890000.0","BUCHANAN & WALLER",,,,,,,"POINT (-122.426956 37.771587)","27","27","7","5","9"
"NEVADA","JARBOE","SE","NB","0","21062000.0","NEVADA & JARBOE",,,,,,,"POINT (-122.41149 37.738205)","83","83","9","2","2"
"26TH AVE","CABRILLO","NW","SB","0","27522000.0","26TH AVE & CABRILLO",,,,,,,"POINT (-122.48538 37.774384)","8","8","8","4","29"
"INGALLS","HOLLISTER","NW","SB","0","20444000.0","INGALLS ST & HOLLISTER AVE",,,,,,,"POINT (-122.3924 37.719734)","88","88","2","9","1"
"32ND AVE","EL CAMINO DEL MAR","SE","NB","0","28036000.0","32ND AVE & EL CAMINO DEL MAR",,,,,,,"POINT (-122.4931 37.786575)","1","1","8","6","33"
"BRUSSELS","MANSELL","SE","NB","0","20585000.0","BRUSSELS ST & MANSELL ST",,,,,,,"POINT (-122.40302 37.72102)","91","91","2","9","25"
"MORAGA","17TH AVE","SW","EB","0","27329000.0","MORAGA ST & 17TH AVE",,,,,,,"POINT (-122.47445 37.7562)","44","44","10","8","14"
"23RD AVE","CLEMENT","NW","SB","0","27543000.0","23RD AVE & CLEMENT",,,,"I",,,"POINT (-122.48272 37.782116)","8","8","8","4","29"
"BACON","CAMBRIDGE","NE","WB",,"20942000.0","BACON & CAMBRIDGE",,,,,,,"POINT (-122.4174 37.72401)","92","92","2","2","25"
"LAWTON","21ST AVE","SW","EB","0","27346000.0","21ST AVE & LAWTON","20210108000000",,"6351","I","21-01794","20210210000000","POINT (-122.47886 37.757866)","39","39","10","7","35"
"FILBERT","FILLMORE","SW","EB","0","26676000.0","FILBERT ST & FILLMORE",,,,,,,"POINT (-122.43566 37.798016)","15","15","4","6","13"
"43RD AVE","ORTEGA",,"NB",,"27765000.0","43RD AVE & ORTEGA",,,,,,,"POINT (-122.502045 37.751236)","39","39","10","7","35"
"THOMAS MELLON","EXECUTIVE PARK","SE","NB","0","20262000.0","THOMAS MELLON & EXECUTIVE PARK",,,,,,,"POINT (-122.39259 37.711266)","79","79","2","9","1"
"NOE","HENRY","SE","NB",,"25981000.0","NOE & HENRY",,,,,,,"POINT (-122.43332 37.76666)","28","28","7","5","5"
"SACRAMENTO","LYON","SW","EB",,"26847000.0","SACRAMENTO ST & LYON ST",,,,,,,"POINT (-122.44557 37.78836)","102","102","8","6","30"
"MANSELL","SAN BRUNO","SW","EB",,"20573000.0","MANSELL & SAN BRUNO",,,,,,,"POINT (-122.40106 37.72153)","91","91","2","9","25"
"STEVENSON","NEW MONTGOMERY","NE","WB","0","24621000.0","STEVENSON & NEW MONTGOMERY",,,,"L","20-00138",,"POINT (-122.4015 37.788265)","108","108","6","10","8"
"CORNWALL","04TH AVE","NW","EB",,"27585000.0","CORNWALL & 04TH AVE",,,,,,,"POINT (-122.4624 37.7849)","5","5","8","4","11"
"SHAFTER","GRIFFITH","NE","WB",,"20116000.0","SHAFTER & GRIFFITH",,,,,,,"POINT (-122.38136 37.72573)","78","78","2","9","1"
"21ST ST","CHURCH","SW","EB","0","25663000.0","21ST ST & CHURCH",,,,,,,"POINT (-122.42788 37.75649)","52","52","3","5","22"
"HAWES","SHAFTER","NW","SB",,"20119000.0","HAWES ST & SHAFTER AVE",,,,,,,"POINT (-122.38323 37.726795)","78","78","2","9","1"
"FOERSTER","LOS PALMOS","S","NB",,"22354000.0","FOERSTER ST & LOS PALMOS DR",,,,,,,"POINT (-122.44886 37.7359)","72","72","9","8","41"
"DIVISADERO","WASHINGTON","SE","NB","0","26851000.0","DIVISADERO ST & WASHINGTON ST",,,,,,,"POINT (-122.44097 37.790752)","102","102","4","6","30"
"TRUMBULL","CONGDON","NE","WB","00","21669000.0","TRUMBULL & CONGDON",,,,,,,"POINT (-122.42613 37.730877)","94","94","9","1","7"
"PRADO","SCOTT","NE","WB","0","26997000.0","PRADO ST & SCOTT ST","20201113000000",,"6326","I","20-01527","20210218000000","POINT (-122.442055 37.80455)","17","17","4","6","13"
"TREAT","20TH ST","NW","SB","0","24036000.0","TREAT & 20TH ST",,,,,,,"POINT (-122.41359 37.758957)","53","53","3","2","20"
"SACRAMENTO","WEBSTER","NE","WB","0","26647000.0","SACRAMENTO ST & WEBSTER ST",,,,,,,"POINT (-122.43237 37.79004)","102","102","4","6","30"
"CHERRY","WASHINGTON","NW","SB","0","27572000.0","CHERRY & WASHINGTON",,,,,,,"POINT (-122.45722 37.788673)","10","10","8","6","31"
"47TH AVE","BALBOA","NW","SB","0","27990000.0","47TH AVE & BALBOA",,,,,,,"POINT (-122.50801 37.77522)","8","8","8","4","29"
"CHRISTOPHER","CRESTMONT","NW","SB","0","27036000.0","CHRISTOPHER & CRESTMONT",,,,,,,"POINT (-122.45734 37.755684)","111","111","7","8","14"
"21ST AVE","ANZA","SE","NB","0","27531000.0","21ST AVE & ANZA",,,,,,,"POINT (-122.4803 37.778355)","8","8","8","4","29"
"IRVING","43RD AVE","SW","WB","0","27802000.0","IRVING ST & 43RD AVE",,,,"I",,,"POINT (-122.50283 37.76242)","39","39","10","7","35"
"SHAFTER","INDUSTRIAL","SE","NB","15S","20788000.0","SHAFTER & INDUSTRIAL",,,,,,,"POINT (-122.40424 37.73871)","82","82","2","9","1"
"15TH AVE","PACHECO","SE","NB",,"27307000.0","15TH AVE & PACHECO",,,,,,,"POINT (-122.47186 37.750694)","44","44","10","8","14"
"EDDY","SCOTT","SW","EB",,"26075000.0","EDDY & SCOTT",,,,,,,"POINT (-122.43725 37.780796)","97","97","4","11","39"
"NATOMA","9TH ST","SW","EB","0","24306000.0","NATOMA & 9TH ST",,,,,,,"POINT (-122.413704 37.775433)","32","32","1","10","34"
"11TH AVE","JUDAH","SE","NB","0","27160000.0","11TH AVE & JUDAH ST",,,,,,,"POINT (-122.46831 37.762077)","109","109","10","11","14"
"BROADWAY","MASON","SW","EB",,"25115000.0","BROADWAY & MASON",,,,,,,"POINT (-122.41187 37.797127)","107","107","6","3","6"
"MOULTRIE","TOMPKINS","SW","EB","0","21191000.0","MOULTRIE & TOMPKINS",,,,,,,"POINT (-122.41594 37.737206)","83","83","9","2","2"
"FARALLONES","CAPITOL","SW","EB","0","22473000.0","FARALLONES & CAPITOL",,,,,,,"POINT (-122.45902 37.71405)","81","81","10","1","24"
"GREENWICH","TAYLOR","NE","WB","0","25498000.0","GREENWICH ST & TAYLOR ST",,,,,,,"POINT (-122.41448 37.801685)","107","107","6","3","32"
"LAKEWOOD","FAIRFIELD","SE","NB",,"22746000.0","LAKEWOOD AVE & FAIRFIELD WY",,,,"I",,,"POINT (-122.46356 37.72773)","68","68","10","8","41"
"MARSILY","BOSWORTH","NW","SB",,"21850000.0","MARSILY & BOSWORTH",,,,,,,"POINT (-122.42768 37.733547)","93","93","9","5","28"
"CLAYTON","HAYES","SE","NB","0","26421000.0","CLAYTON & HAYES",,,,,,,"POINT (-122.44931 37.77352)","24","24","7","11","18"
"ELM","VAN NESS","NE","WB","0","24475000.0","ELM & VAN NESS",,,,,,,"POINT (-122.42044 37.781506)","21","21","4","10","36"
"47TH AVE","SANTIAGO","SE","NB","0","23508000.0","47TH AVE & SANTIAGO",,,,"I",,,"POINT (-122.50581 37.74359)","39","39","10","7","35"
"MCALLISTER","WILLARD","SW","EB",,"27202000.0","MCALLISTER ST & WILLARD NORTH","20171121000000",,"171121-143","I","17-4845",,"POINT (-122.45646 37.77548)","12","12","8","4","18"
"22ND AVE","QUINTARA","SE","NB","0","23210000.0","22ND AVE & QUINTARA ST",,,,,,,"POINT (-122.47929 37.748497)","40","40","10","7","35"
"EGBERT","INGALLS","SW","EB","0","20447000.0","EGBERT & INGALLS",,,,,,,"POINT (-122.39073 37.721596)","88","88","2","9","1"
"ANZA","17TH AVE","NE","WB",,"27494000.0","ANZA ST & 17TH AVE",,,,,,,"POINT (-122.47601 37.77855)","5","5","8","4","29"
"POWELL","VALLEJO","SE","NB",,"25411000.0","POWELL & VALLEJO",,,,,,,"POINT (-122.410446 37.798367)","106","106","6","3","6"
"CHESTNUT","POLK","NE","WB","0","26690000.0","CHESTNUT & POLK",,,,,,,"POINT (-122.42307 37.802486)","107","107","4","6","32"
"MORAGA","47TH AVE","NE","WB","0","27936000.0","47TH AVE & MORAGA","20210219000000",,"6366","I","21-01822","20210304000000","POINT (-122.50659 37.75478)","39","39","10","7","35"
"SANCHEZ","29TH ST","NW","SB","0","21910000.0","SANCHEZ ST & 29TH ST",,,,"I",,,"POINT (-122.42887 37.74356)","84","84","9","5","22"
"21ST ST","ALABAMA","SW","EB",,"23996000.0","21ST ST & ALABAMA",,,,,,,"POINT (-122.41141 37.75748)","53","53","3","2","20"
"25TH ST","CONNECTICUT","SW","EB","0","23634000.0","25TH ST & CONNECTICUT",,,,"I",,,"POINT (-122.3965 37.752304)","54","54","2","9","1"
"UTAH","24TH ST","NW","SB","00","23724000.0","UTAH ST & 24TH ST",,,,"I",,,"POINT (-122.40532 37.75306)","54","54","3","9","20"
"LYELL","BOSWORTH","SE","NB","0","21788000.0","LYELL ST & BOSWORTH ST",,,,"I",,,"POINT (-122.431946 37.73299)","93","93","9","5","28"
"RALSTON","SARGENT","SE","NB","00","22716000.0","RALSTON & SARGENT",,,,,,,"POINT (-122.4689 37.716095)","65","65","10","1","24"
"39TH AVE","GEARY","SE","NB","0","27896000.0","39TH AVE & GEARY",,,,,,,"POINT (-122.49972 37.7794)","8","8","8","4","29"
"34TH AVE","ORTEGA","NW","SB","0","27689000.0","34TH AVE & ORTEGA",,,,,,,"POINT (-122.4924 37.751656)","39","39","10","7","35"
"NAPLES","FRANCE","NW","SB",,"21713000.0","NAPLES & FRANCE",,,,,,,"POINT (-122.43354 37.71774)","90","90","9","1","7"
"ORDWAY","BRUSSELS","SW","EB",,"20571000.0","ORDWAY & BRUSSELS",,,,,,,"POINT (-122.40257 37.719917)","91","91","9","9","25"
"RHODE ISLAND","23RD ST","SE","NB","0","23710000.0","RHODE ISLAND ST & 23RD ST",,,,"I",,,"POINT (-122.40157 37.754566)","54","54","2","9","26"
"19TH ST","CONNECTICUT",,"WB",,"23670000.0","19TH ST & CONNECTICUT ST",,,,,,,"POINT (-122.39736 37.76124)","54","54","2","9","26"
"BRAZIL","VIENNA","NE","WB","0","21639000.0","BRAZIL AVE & VIENNA",,,,,,,"POINT (-122.42924 37.72202)","90","90","9","1","7"
"LAWTON","45TH AVE","NE","WB","0","27933000.0","LAWTON ST & 45TH AVE",,,,,,,"POINT (-122.50458 37.756737)","39","39","10","7","35"
"29TH AVE","SANTIAGO","SE","NB","0","23285000.0","29TH AVE & SANTIAGO",,,,,,,"POINT (-122.48653 37.744442)","40","40","10","7","35"
"DOWNEY","FREDERICK","NW","SB","0","26404000.0","DOWNEY & FREDERICK",,,,,,,"POINT (-122.44719 37.767105)","114","114","7","11","3"
"42ND AVE","WAWONA","NW","SB","0","23433000.0","42ND AVE & WAWONA",,,,,,,"POINT (-122.49992 37.736366)","40","40","10","7","35"
"HEARST","CONGO","NE","WB","0","22139000.0","HEARST AVE & CONGO ST",,,,"I",,,"POINT (-122.442 37.730717)","95","95","9","8","41"
"31ST AVE","CABRILLO","NW","SB","0","27816000.0","31ST AVE & CABRILLO",,,,,,,"POINT (-122.49074 37.77414)","8","8","8","4","29"
"LOOMIS","INDUSTRIAL","NW","SB","0","20779000.0","LOOMIS ST & INDUSTRIAL ST",,,,"I",,,"POINT (-122.40563 37.738316)","82","82","2","9","1"
"PAGE","CLAYTON","NE","WB","0","26415000.0","PAGE & CLAYTON",,,,,,,"POINT (-122.44875 37.770725)","25","25","7","11","3"
"DE LONG","WILSON","NE","WB",,"22481000.0","DE LONG ST & WILSON ST","20180403000000",,"180403-048","I","18-5559","20180427000000","POINT (-122.46185 37.70966)","66","66","10","1","28"
"GREEN","POWELL","SW","EB","0","25412000.0","GREEN & POWELL",,,,,,,"POINT (-122.41063 37.799297)","106","106","6","3","6"
"32ND AVE","ORTEGA","NW","SB",,"27677000.0","32ND AVE & ORTEGA",,,,,,,"POINT (-122.49026 37.751755)","39","39","10","7","35"
"GRANT","UNION","SE","NB","0","25343000.0","GRANT & UNION",,,,,,,"POINT (-122.40757 37.800632)","106","106","6","3","23"
"LANSDALE AVE","DALEWOOD WY",,"SB",,"22402000.0","LANSDALE AVE & DALEWOOD WY","20170606000000",,"170606-067",,,,"POINT (-122.45379 37.73667)","117","117","9","8","41"
"TEXAS","MARIPOSA","SE","NB","0","23676000.0","TEXAS ST & MARIPOSA ST",,,,,,,"POINT (-122.39567 37.7639)","54","54","2","9","26"
"JEFFERSON ST","BRODERICK","SW","EB","0","27013000.0","JEFFERSON ST & BRODERICK",,,,,,,"POINT (-122.44544 37.80442)","17","17","4","6","13"
"RANKIN","DAVIDSON","NW","SB",,"20704000.0","RANKIN & DAVIDSON",,,,,,,"POINT (-122.3916 37.745728)","56","56","2","9","1"
"JAVA ST","MASONIC AVE","NE","WB","0","26331000.0","JAVA ST & MASONIC AVE","20210319000000",,"6382","I","21-02265","20210609000000","POINT (-122.444534 37.76642)","112","112","7","5","3"
"PIZARRO","NORTHWOOD",,"EB",,"22647000.0","PIZARRO & NORTHWOOD",,,,,,,"POINT (-122.45958 37.72957)","71","71","9","8","41"
"TREAT","26TH ST","NW","SB",,"23981000.0","TREAT & 26TH ST",,,,,,,"POINT (-122.412674 37.749367)","53","53","3","2","20"
"JUDAH ST","43RD AVE","SW","EB","0","27800000.0","JUDAH ST & 43RD AVE",,,,,,,"POINT (-122.5027 37.760563)","39","39","10","7","35"
"SANTIAGO","15TH AVE",,"EB",,"22994000.0",,,,,,,,"POINT (-122.47147 37.745106)","44","44","10","8","41"
"48TH AVE","NORIEGA","SE","NB","0","27928000.0","48TH AVE & NORIEGA",,,,,,,"POINT (-122.50753 37.752865)","39","39","10","7","35"
"OSGOOD","BROADWAY","SE","NB","0","24763000.0","OSGOOD & BROADWAY",,,,,,,"POINT (-122.40306 37.798317)","106","106","6","3","23"
"41ST AVE","ANZA","SE","NB","0","27906000.0","41ST AVE & ANZA",,,,,,,"POINT (-122.50172 37.77738)","8","8","8","4","29"
"GATES","TOMPKINS","NW","SB","0","21076000.0","GATES & TOMPKINS",,,,,,,"POINT (-122.41409 37.7371)","83","83","9","2","2"
"45TH AVE","IRVING ST","NW","SB","0","27948000.0","45TH AVE & IRVING ST",,,,,,,"POINT (-122.504974 37.76233)","39","39","10","7","35"
"JOHN F KENNEDY DR","STOW LAKE","NE","WB","0","27451000.0","JOHN F KENNEDY DR & STOW LAKE",,,,,,,"POINT (-122.47364 37.771152)","9","9","8","4","12"
"NEWHALL","KIRKWOOD","SE","NB","0","20668000.0","NEWHALL ST & KIRKWOOD AVE",,,,,,,"POINT (-122.389946 37.738163)","86","86","2","9","1"
"CHERRY","SACRAMENTO","SE","NB","0","27567000.0","CHERRY & SACRAMENTO",,,,,,,"POINT (-122.45686 37.786922)","10","10","8","6","31"
"20TH ST","TENNESSEE","NE","WB","0","23565000.0","20TH ST & TENNESSEE ST",,,,"I",,,"POINT (-122.38947 37.76043)","55","55","2","9","26"
"DE SOTO","HOLLOWAY","NW","SB",,"22710000.0","DE SOTO ST & HOLLOWAY AVE",,,,,,,"POINT (-122.466576 37.72166)","64","64","10","1","24"
"AVILA","CERVANTES","NE","WB","0","26989000.0","AVILA & CERVANTES",,,,,,,"POINT (-122.4408 37.80492)","17","17","4","6","13"
"EDINBURGH","SILVER","SE","NB","0","21680000.0","EDINBURGH ST & SILVER AVE",,,,"I",,,"POINT (-122.42641 37.72861)","90","90","9","1","7"
"TARAVAL","17TH AVE","NE","WB","0","23179000.0","TARAVAL & 17TH AVE",,,,,,,"POINT (-122.47354 37.743137)","46","46","10","8","41"
"SURREY","DIAMOND","NE","WB","0","21947000.0","SURREY & DIAMOND",,,,,,,"POINT (-122.43439 37.736195)","96","96","9","5","10"
"27TH AVE","CLEMENT","NW","SB","0","27559000.0","27TH AVE & CLEMENT",,,,,,,"POINT (-122.48701 37.781918)","8","8","8","4","29"
"22ND ST","CHATTANOOGA","SW","EB","0","25656000.0","22ND ST & CHATTANOOGA ST",,,,"I",,,"POINT (-122.42662 37.75496)","52","52","3","5","22"
"YORK","18TH ST","NW","SB","0","24011000.0","YORK & 18TH ST",,,,,,,"POINT (-122.40914 37.761814)","53","53","3","9","20"
"20TH ST","CHURCH","NE","WB",,"25708000.0","20TH ST & CHURCH ST",,,,"I",,,"POINT (-122.42804 37.758083)","52","52","3","5","5"
"33RD AVE","VICENTE","NW","SB","0","23349000.0","33RD AVE & VICENTE",,,,,,,"POINT (-122.49042 37.73866)","40","40","10","7","35"
"HANOVER","GUTTENBERG","SW","EB","0","21461000.0","HANOVER & GUTTENBERG",,,,,,,"POINT (-122.44266 37.709316)","58","58","9","1","7"
"45TH AVE","LAWTON","NW","SB","0","27933000.0","45TH AVE & LAWTON",,,,,,,"POINT (-122.50458 37.756737)","39","39","10","7","35"
"CHENERY","ROANOKE","SE","NB",,"21870000.0","CHENERY & ROANOKE",,,,,,,"POINT (-122.43023 37.735554)","59","59","9","5","10"
"GOETHE","DE LONG","SE","NB","0","22463000.0","GOETHE & DE LONG",,,,,,,"POINT (-122.4606 37.709667)","66","66","10","1","28"
"QUINTARA","35TH AVE","SW","EB","0","23414000.0","QUINTARA & 35TH AVE",,,,,,,"POINT (-122.49322 37.747883)","40","40","10","7","35"
"BYXBEE","GARFIELD","NW","SB",,"22723000.0","BYXBEE ST & GARFIELD ST",,,,,,,"POINT (-122.46984 37.719646)","64","64","10","1","24"
"FOERSTER","JOOST","SE","NB",,"22233000.0","FOERSTER ST & JOOST AVE",,,,,,,"POINT (-122.44885 37.732323)","95","95","9","8","41"
"ROTTECK","STILL","SE","NB",,"21708000.0","ROTTECK ST & STILL ST",,,,,,,"POINT (-122.43083 37.73181)","94","94","9","5","28"
"08TH AVE","ORTEGA","NW","SB","0","27092000.0","08TH AVE & ORTEGA",,,,,,,"POINT (-122.46445 37.752895)","45","45","10","8","41"
"VESTA","THORNTON","SE","NB","00","20620000.0","VESTA & THORNTON",,,,,,,"POINT (-122.40028 37.731472)","87","87","2","9","1"
"JENNINGS ST","INGERSON","SE","NB","0","20458000.0","JENNINGS ST & INGERSON",,,,,,,"POINT (-122.39484 37.72017)","88","88","2","9","1"
"VALLEY","SANCHEZ","SW","EB",,"21912000.0","VALLEY & SANCHEZ",,,,,,,"POINT (-122.42895 37.744358)","84","84","9","5","22"
"ANAPOLIS","TURK",,"NB",,"26395000.0",,,,,,,,"POINT (-122.44798 37.778496)","12","12","7","4","18"
"HAIGHT","COLE","SW","EB",,"26414000.0","HAIGHT ST & COLE ST",,,,"I",,,"POINT (-122.4507 37.76952)","25","25","7","11","3"
"WEBSTER","WALLER","NW","SB","0","25897000.0","WEBSTER & WALLER",,,,,,,"POINT (-122.428604 37.771378)","27","27","7","11","9"
"JERSEY ST","DOLORES","SW","EB","0","25613000.0","JERSEY ST & DOLORES",,,,,,,"POINT (-122.425064 37.75103)","52","52","3","5","20"
"CONNECTICUT","25TH ST","NW","SB","0","23634000.0","CONNECTICUT & 25TH ST",,,,"I",,,"POINT (-122.3965 37.752304)","54","54","2","9","1"
"MARY","NATOMA","SE","NB","0","24283000.0","MARY & NATOMA",,,,,,,"POINT (-122.406235 37.7813)","32","32","1","10","34"
"16TH AVE","LAKE","SE","NB","0","27626000.0","16TH AVE & LAKE",,,,,,,"POINT (-122.475494 37.786175)","2","2","8","4","29"
"BALBOA","30TH AVE","NE","WB","15E","27833000.0","BALBOA ST & 30TH AVE",,,,,,,"POINT (-122.4898 37.776054)","8","8","8","4","29"
"15TH AVE","IRVING","NW","SB","0","27357000.0","15TH AVE & IRVING",,,,,,,"POINT (-122.47278 37.76375)","109","109","10","11","14"
"BOSWORTH","ELK",,"WB",,"22267000.0","BOSWORTH & ELK",,,,,,,"POINT (-122.43992 37.73485)","96","96","9","5","41"
"FLOOD","DETROIT","NE","WB","0","22154000.0","FLOOD & DETROIT",,,,,,,"POINT (-122.444275 37.729893)","95","95","9","8","41"
"KING ST","07TH ST","SW","EB","0","23853000.0","KING ST & 07TH ST",,,,,,,"POINT (-122.40079 37.771133)","34","34","1","10","4"
"YORK","CESAR CHAVEZ","SE","NB","0","21125000.0","YORK ST & CESAR CHAVEZ",,,,"I",,,"POINT (-122.40787 37.7484)","60","60","3","2","2"
"BELLA VISTA","SEQUOIA",,"EB",,"22365000.0",,,,,,,,"POINT (-122.448906 37.737995)","72","72","9","8","41"
"MANGELS","HAZELWOOD","SW","EB","0","22798000.0","MANGELS AVE & HAZELWOOD AVE",,,,,,,"POINT (-122.455246 37.732918)","70","70","9","8","41"
"EUGENIA","ANDERSON","SW","EB","0","21210000.0","EUGENIA AVE & ANDERSON ST",,,,,,,"POINT (-122.41515 37.74037)","83","83","9","2","2"
"DE HARO","26TH ST","NW","SB",,"23693000.0","DE HARO ST & 26TH ST",,,,,,,"POINT (-122.40021 37.750748)","54","54","2","9","1"
"VALLEJO","BUCHANAN","SW","EB","0","26579000.0","VALLEJO & BUCHANAN",,,,,,,"POINT (-122.431816 37.79564)","102","102","4","6","30"
"DE MONTFORT","CAPITOL","SW","EB","0","22592000.0","DE MONTFORT AVE & CAPITOL AVE",,,,,,,"POINT (-122.4592 37.723648)","64","64","10","8","24"
"CESAR CHAVEZ","ILLINOIS","NE","WB",,"23534000.0","CESAR CHAVEZ & ILLINOIS ST",,,,,,,"POINT (-122.38656 37.75032)","56","56","2","9","1"
"JENNINGS ST","INGERSON","NW","SB","0","20458000.0","JENNINGS ST & INGERSON",,,,,,,"POINT (-122.39484 37.72017)","88","88","2","9","1"
"BRAZIL","LONDON",,"EB",,"21723000.0","BRAZIL AVE & LONDON",,,,,,,"POINT (-122.43402 37.72431)","90","90","9","1","7"
"18TH ST","PENNSYLVANIA","SW","EB",,"23654000.0","18TH ST & PENNSYLVANIA AVE","20180206000000",,"180206-017","I","18-5229",,"POINT (-122.3936 37.76275)","54","54","2","9","26"
"CORTLAND","ANDOVER","SW","EB","0","21213000.0","CORTLAND AVE & ANDOVER ST",,,,,,,"POINT (-122.416504 37.739056)","83","83","9","2","2"
"HUDSON","INGALLS","SW","EB","0","20085000.0","HUDSON & INGALLS",,,,,,,"POINT (-122.379585 37.73246)","78","78","2","9","1"
"23RD AVE","VICENTE","SE","NB","0","23176000.0","23RD AVE & VICENTE ST","20150106000000",,"15-002","I",,,"POINT (-122.479706 37.739132)","40","40","10","7","35"
"GREENWICH","WEBSTER","NE","WB","0","26744000.0","GREENWICH ST & WEBSTER ST",,,,,,,"POINT (-122.43421 37.799156)","15","15","4","6","13"
"JOOST AVE","GENNESSEE",,"EB",,"22260000.0","JOOST AVE & GENNESSEE",,,,,,,"POINT (-122.45114 37.73231)","95","95","9","8","41"
"HAWES","PALOU","SE","NB","0","20118000.0","HAWES ST & PALOU AVE","20210702000000",,"6431","I","20-01348","20210729000000","POINT (-122.38155 37.728672)","78","78","2","9","1"
"MUSEUM","ROOSEVELT",,"NB",,"26313000.0","MUSEUM & ROOSEVELT",,,,,,,"POINT (-122.44123 37.765266)","113","113","7","5","5"
"HOLYOKE","BURROWS","SE","NB","0","20893000.0","HOLYOKE ST & BURROWS ST",,,,,,,"POINT (-122.40903 37.727535)","91","91","2","2","25"
"HAHN","SUNNYDALE","SE","NB","0","20409000.0","HAHN & SUNNYDALE",,,,,,,"POINT (-122.415985 37.71191)","75","75","9","9","40"
"36TH AVE","SLOAT","NW","SB","0","32891000.0","36TH AVE & SLOAT",,,,,,,"POINT (-122.49333 37.734005)","40","40","10","8","35"
"NORTH POINT","BRODERICK","SW","EB","00","27011000.0","NORTH POINT & BRODERICK",,,,,,,"POINT (-122.44507 37.802555)","17","17","4","6","13"
"FLOURNOY","RHINE","NE","WB",,"22482000.0","FLOURNOY & RHINE",,,,,,,"POINT (-122.461716 37.708534)","66","66","10","1","28"
"GOLDEN GATE","CHABOT",,"WB",,"26458000.0","GOLDEN GATE & CHABOT",,,,,,,"POINT (-122.45133 37.777084)","12","12","7","4","18"
"LA SALLE AVE","NEWHALL","NE","WB","0","20669000.0","LA SALLE AVE & NEWHALL",,,,,,,"POINT (-122.39051 37.737537)","86","86","2","9","1"
"REDWOOD","FRANKLIN","SW","EB","0","24470000.0","REDWOOD & FRANKLIN",,,,,,,"POINT (-122.42198 37.78035)","21","21","4","11","39"
"33RD AVE","LINCOLN","SE","NB","0","27740000.0","33RD AVE & LINCOLN",,,,,,,"POINT (-122.49224 37.764774)","39","39","10","7","35"
"24TH AVE","LAKE","NW","SB","20N","27654000.0","24TH AVE & LAKE",,,,,,,"POINT (-122.48407 37.78579)","2","2","8","4","29"
