"id","sex","age","member_created_m_d_yyyy","start_of_first_full_membership"
"164",,"73","2018-08-10T00:00:00.000","2018-08-10T00:00:00.000"
"165","male","65","2016-10-21T00:00:00.000","2017-09-29T00:00:00.000"
"166","male","55","2018-04-25T00:00:00.000","2018-04-25T00:00:00.000"
"167","male","28","2017-07-14T00:00:00.000","2017-07-14T00:00:00.000"
"168","female","30","2016-10-03T00:00:00.000",
"169","male","38","2017-07-28T00:00:00.000","2017-07-28T00:00:00.000"
"170","male","42","2019-04-19T00:00:00.000","2019-04-19T00:00:00.000"
"171","male","52","2017-03-24T00:00:00.000",
"172","female","60","2016-09-22T00:00:00.000",
"173","female","55","2017-01-27T00:00:00.000","2017-01-27T00:00:00.000"
"174","female","61","2017-09-13T00:00:00.000","2017-09-13T00:00:00.000"
"175",,"57","2016-08-26T00:00:00.000","2016-08-26T00:00:00.000"
"176","male","44","2019-04-11T00:00:00.000","2019-04-10T00:00:00.000"
"177","female","18","2017-07-14T00:00:00.000","2017-07-14T00:00:00.000"
"178","female","58","2019-06-19T00:00:00.000","2019-06-19T00:00:00.000"
"179","male","34","2019-11-25T00:00:00.000","2019-12-23T00:00:00.000"
"180",,,"2017-10-15T00:00:00.000",
"181","female","48","2019-04-26T00:00:00.000",
"182","male","30","2019-09-30T00:00:00.000","2019-09-30T00:00:00.000"
"183",,,"2017-04-14T00:00:00.000","2017-06-28T00:00:00.000"
"184","male","43","2019-04-10T00:00:00.000","2019-04-10T00:00:00.000"
"185","male","54","2016-08-07T00:00:00.000","2017-08-02T00:00:00.000"
"186",,"26","2018-07-09T00:00:00.000","2018-08-03T00:00:00.000"
"187",,"35","2017-03-31T00:00:00.000","2017-03-31T00:00:00.000"
"188","female","32","2018-10-19T00:00:00.000",
"189",,,"2017-09-21T00:00:00.000","2017-09-20T00:00:00.000"
"190","male","30","2018-06-18T00:00:00.000",
"191",,"33","2018-04-27T00:00:00.000","2018-05-02T00:00:00.000"
"192",,"43","2019-07-22T00:00:00.000","2019-07-22T00:00:00.000"
"193","female","55","2018-05-02T00:00:00.000","2018-05-03T00:00:00.000"
"194","female","48","2016-09-08T00:00:00.000","2016-09-08T00:00:00.000"
"195",,,"2020-01-08T00:00:00.000","2020-01-08T00:00:00.000"
"196",,"39","2017-04-25T00:00:00.000",
"197","male","71","2018-04-30T00:00:00.000","2018-04-30T00:00:00.000"
"198","male","39","2017-05-01T00:00:00.000","2017-05-01T00:00:00.000"
"199",,,"2017-09-11T00:00:00.000","2017-09-11T00:00:00.000"
"200","female","44","2016-10-20T00:00:00.000",
"201","female","67","2017-08-30T00:00:00.000",
"202",,,"2017-03-30T00:00:00.000","2017-03-29T00:00:00.000"
"203",,,"2020-02-10T00:00:00.000","2020-02-10T00:00:00.000"
"204",,,"2020-02-28T00:00:00.000",
"205","would rather not say","30","2019-12-10T00:00:00.000","2019-12-16T00:00:00.000"
"206",,,"2019-01-26T00:00:00.000",
"207","female","36","2018-11-05T00:00:00.000","2018-11-07T00:00:00.000"
"208","male","41","2019-06-13T00:00:00.000","2019-06-24T00:00:00.000"
"209","female","40","2017-07-28T00:00:00.000","2017-07-28T00:00:00.000"
"210",,,"2019-05-24T00:00:00.000","2019-06-07T00:00:00.000"
"211",,"35","2020-11-30T00:00:00.000","2020-12-02T00:00:00.000"
"212","female","64","2018-01-31T00:00:00.000","2018-01-31T00:00:00.000"
"213","male","32","2019-04-01T00:00:00.000","2019-04-01T00:00:00.000"
"214","female","72","2017-09-20T00:00:00.000","2017-09-20T00:00:00.000"
"215",,"32","2020-11-18T00:00:00.000",
"216","male","63","2019-07-08T00:00:00.000","2019-07-08T00:00:00.000"
"217",,,"2018-03-27T00:00:00.000",
"218",,,"2016-08-27T00:00:00.000",
"219","male","25","2019-10-17T00:00:00.000",
"220","male","51","2016-09-30T00:00:00.000","2018-03-07T00:00:00.000"
"221",,,"2019-08-09T00:00:00.000","2019-08-09T00:00:00.000"
"222",,"38","2019-11-22T00:00:00.000","2019-11-22T00:00:00.000"
"223",,,"2017-09-08T00:00:00.000",
"224",,"49","2017-09-14T00:00:00.000","2017-09-13T00:00:00.000"
"225","female",,"2017-08-18T00:00:00.000","2017-08-21T00:00:00.000"
"226",,"45","2019-02-12T00:00:00.000","2019-02-12T00:00:00.000"
"227","male","51","2018-10-09T00:00:00.000","2018-10-29T00:00:00.000"
"228",,,"2018-02-26T00:00:00.000","2018-03-14T00:00:00.000"
"229",,,"2019-08-30T00:00:00.000","2019-08-30T00:00:00.000"
"230","female","27","2017-06-26T00:00:00.000","2017-06-26T00:00:00.000"
"231","female","52","2017-11-30T00:00:00.000","2017-11-29T00:00:00.000"
"232","male","50","2018-02-23T00:00:00.000","2018-02-23T00:00:00.000"
"233","female","25","2019-05-18T00:00:00.000",
"234",,"38","2019-11-14T00:00:00.000","2019-11-13T00:00:00.000"
"235","male","25","2017-03-24T00:00:00.000","2017-03-24T00:00:00.000"
"236","male","50","2018-05-23T00:00:00.000","2018-05-23T00:00:00.000"
"237",,,"2019-10-21T00:00:00.000","2019-10-21T00:00:00.000"
"238","female","41","2019-10-10T00:00:00.000","2020-03-13T00:00:00.000"
"239",,"46","2020-11-02T00:00:00.000",
"240",,,"2019-07-03T00:00:00.000","2019-07-03T00:00:00.000"
"241",,,"2019-05-24T00:00:00.000","2019-05-24T00:00:00.000"
"242","female","39","2019-06-17T00:00:00.000",
"243",,,"2019-03-26T00:00:00.000","2019-08-16T00:00:00.000"
"244","male","43","2019-03-27T00:00:00.000","2019-03-27T00:00:00.000"
"245",,,"2016-08-20T00:00:00.000","2019-02-13T00:00:00.000"
"246","male","58","2018-08-15T00:00:00.000","2018-08-15T00:00:00.000"
"247",,"82","2016-08-08T00:00:00.000","2016-08-08T00:00:00.000"
"248","female","65","2019-06-27T00:00:00.000","2019-06-28T00:00:00.000"
"249","female","65","2018-11-19T00:00:00.000","2018-11-26T00:00:00.000"
"250","male",,"2019-07-24T00:00:00.000",
"251",,"33","2019-07-20T00:00:00.000",
"252","male","49","2019-08-14T00:00:00.000","2019-08-14T00:00:00.000"
"253","male",,"2017-01-19T00:00:00.000",
"254",,"56","2018-06-20T00:00:00.000","2018-06-20T00:00:00.000"
"255","male","45","2017-01-04T00:00:00.000","2017-01-04T00:00:00.000"
"256",,,"2016-06-27T00:00:00.000","2016-06-27T00:00:00.000"
"257",,,"2017-04-03T00:00:00.000",
"258",,,"2017-03-27T00:00:00.000","2017-03-27T00:00:00.000"
"259","female","61","2016-07-24T00:00:00.000",
"260","male","29","2018-05-21T00:00:00.000",
"261",,,"2019-12-10T00:00:00.000","2019-12-11T00:00:00.000"
"262","male","48","2017-05-12T00:00:00.000","2017-05-12T00:00:00.000"
"263","male","53","2019-06-14T00:00:00.000","2019-06-14T00:00:00.000"
"264",,,"2016-10-20T00:00:00.000",
"265",,,"2019-12-20T00:00:00.000","2019-12-20T00:00:00.000"
"266",,"45","2018-10-15T00:00:00.000","2018-10-17T00:00:00.000"
"267","male","41","2020-02-27T00:00:00.000","2020-02-26T00:00:00.000"
"268","male","68","2017-09-17T00:00:00.000",
"269","male","45","2017-04-20T00:00:00.000","2017-04-19T00:00:00.000"
"270","male","41","2019-03-08T00:00:00.000",
"271","male","41","2016-10-25T00:00:00.000",
"272",,"53","2018-06-28T00:00:00.000","2018-06-27T00:00:00.000"
"273",,"54","2019-04-12T00:00:00.000",
"274","female","82","2019-06-07T00:00:00.000","2019-06-07T00:00:00.000"
"275","male","44","2018-05-01T00:00:00.000","2018-05-30T00:00:00.000"
"276",,,"2019-08-10T00:00:00.000","2019-08-12T00:00:00.000"
"277","female","45","2020-01-13T00:00:00.000","2020-02-03T00:00:00.000"
"278","female","26","2017-06-28T00:00:00.000","2018-06-15T00:00:00.000"
"279","female","34","2019-02-20T00:00:00.000","2019-02-20T00:00:00.000"
"280","female","26","2018-06-13T00:00:00.000","2019-04-08T00:00:00.000"
"281","female","35","2018-08-27T00:00:00.000",
"282",,,"2018-03-29T00:00:00.000","2018-03-28T00:00:00.000"
"283","female","28","2018-01-31T00:00:00.000","2018-01-31T00:00:00.000"
"284","male","65","2019-12-05T00:00:00.000",
"285","female",,"2019-09-13T00:00:00.000","2019-09-13T00:00:00.000"
"286",,,"2016-08-04T00:00:00.000","2016-08-04T00:00:00.000"
"287",,,"2018-03-19T00:00:00.000",
