"socrata_entity_number","home_cost_center","home_cost_center_description","cost_center","employment_status","union_name","age_range","gender","ethnic_code_description","title","current_hire_date","date_terminated","longevity_range","total_wages","total_benefits","total_taxes","total_cost","date","regular_pay","premium_pay"
"1436","230000","PS - POLICE BUREAU","School Guards","Full-time","School Guards","60-69 years old","Female","White","School Crossing Guard","2005-05-31T00:00:00.000",,"11-15 years with the City","15840.78","7222.92","998.26","24061.96","2018",,
"1436","230000","PS - POLICE BUREAU","School Guards","Full-time","School Guards","60-69 years old","Female","White","School Crossing Guard","2005-05-31T00:00:00.000",,"11-15 years with the City","15194.28","7618.06","1106.06","23918.40","2019",,
"1436","210000","PS - ADMIN AND SUPPORT SERVICE","School Guards","Full-time","School Guards","60-69 years old","Female","White","School Crossing Guard","1991-09-23T00:00:00.000",,"26-30 years with the City","17809.77","7972.23",,"25782.00","2020","17809.77","0.00"
"1436","210000","PS - ADMIN AND SUPPORT SERVICE","School Guards","Full-time","School Guards","60-69 years old","Female","White","School Crossing Guard","1991-09-23T00:00:00.000","2021-11-02T23:59:00.000","26-30 years with the City","16386.30","9194.92",,"25581.22","2021","16386.30","0.00"
"1446","230000","PS - POLICE BUREAU","Police Special Deployment Div","Full-time","Non-Union","50-59 years old","Male","White","Support Services Shift Supv","1985-04-22T00:00:00.000",,"31-35 years with the City","54839.13","19027.10","3723.93","77590.16","2017",,
"1446","230000","PS - POLICE BUREAU","Police Special Deployment Div","Full-time","Non-Union","50-59 years old","Male","White","Support Services Shift Supv","1985-04-22T00:00:00.000",,"31-35 years with the City","55924.87","20116.88","3723.93","79765.68","2018",,
"1446","230000","PS - POLICE BUREAU","Police Special Deployment Div","Full-time","Non-Union","50-59 years old","Male","White","Support Services Shift Supv","1985-04-22T00:00:00.000",,"31-35 years with the City","54445.62","20337.35","3614.28","78397.25","2019",,
"1446","230000","PS - POLICE BUREAU","PS -Support Services/Civilian","Full-time","Non Union","50-59 years old","Male","White","Support Services Shift Supv","1985-04-22T00:00:00.000",,"31-35 years with the City","60874.88","21887.43",,"82762.31","2020","60374.88","500.00"
"1446","230000","PS - POLICE BUREAU","PS -Support Services/Civilian","Full-time","Non Union","50-59 years old","Male","White","Support Services Shift Supv","1985-04-22T00:00:00.000",,"36-40 years with the City","59696.37","25167.20",,"84863.57","2021","59696.37","0.00"
"1480","101200","CITY CLERK","City Clerk","Full-time","Non-Union","40-49 years old","Male","Black or African-American","Clerk 2-City Clerk","1999-10-18T00:00:00.000",,"16-20 years with the City","39598.37","0.00","3107.99","42706.36","2017",,
"1480","101200","CITY CLERK","City Clerk","Full-time","Non-Union","40-49 years old","Male","Black or African-American","Clerk 2-City Clerk","1999-10-18T00:00:00.000",,"16-20 years with the City","40627.32","0.00","3107.99","43735.31","2018",,
"1480","101200","CITY CLERK","City Clerk","Full-time","Non-Union","40-49 years old","Male","Black or African-American","Clerk 2-City Clerk","1999-10-18T00:00:00.000",,"16-20 years with the City","42191.23","0.00","3227.63","45418.86","2019",,
"1480","101200","CITY CLERK","City Clerk","Full-time","Non Union","40-49 years old","Male","Black or African-American","Deputy City Clerk 1","1999-10-18T00:00:00.000",,"21-25 years with the City","47338.57","478.76",,"47817.33","2020","47338.57","0.00"
"1480","101200","CITY CLERK","City Clerk","Full-time","Non Union","50-59 years old","Male","Black or African American","Deputy City Clerk 1","1999-10-18T00:00:00.000",,"21-25 years with the City","48806.56","544.24",,"49350.80","2021","46806.56","2000.00"
"1494","230000","PS - POLICE BUREAU","Police Zone 4 - Squirrel Hill","Full-time","Police","60-69 years old","Male","Black or African-American","Master Police Officer","1984-12-03T00:00:00.000",,"31-35 years with the City","132877.33","10296.94","0.00","143174.27","2017",,
"1494","230000","PS - POLICE BUREAU","Police Zone 4 - Squirrel Hill","Full-time","Police","60-69 years old","Male","Black or African-American","Master Police Officer","1984-12-03T00:00:00.000",,"31-35 years with the City","123983.67","10982.20","0.00","134965.87","2018",,
"1494","230000","PS - POLICE BUREAU","Police Zone 4 - Squirrel Hill","Full-time","Police","60-69 years old","Male","Black or African-American","Master Police Officer","1984-12-03T00:00:00.000","2019-03-05T00:00:00.000","31-35 years with the City","42444.64","2748.33","0.00","45192.97","2019",,
"1494","230000","PS - POLICE BUREAU","Police Zone 4 - Squirrel Hill","Full-time","Police","60-69 years old","Male","Black or African-American","Master Police Officer","1984-12-03T00:00:00.000","2019-03-05T23:59:00.000","36-40 years with the City","2924.54","0.00",,"2924.54","2020","2585.36","339.18"
"1494","230000","PS - POLICE BUREAU","Police Zone 4 - Squirrel Hill","Full-time","Police","60-69 years old","Male","Black or African American","Master Police Officer","1984-12-03T00:00:00.000","2019-03-05T23:59:00.000","36-40 years with the City","480.73","0.00",,"480.73","2021","480.73","0.00"
"1498","1090230000","JTPA","Work Invest Act (WIA)","Full-time","Non-Union","60-69 years old","Female","Black or African-American","Plan & Evaluation Suprv","1998-05-28T00:00:00.000",,"16-20 years with the City","67299.31","6453.36","5114.79","78867.46","2017",,
"1498","1090230000","JTPA","Work Invest Act (WIA)","Full-time","Non-Union","60-69 years old","Female","Black or African-American","Plan & Evaluation Suprv","1998-05-28T00:00:00.000",,"16-20 years with the City","68637.12","6825.16","5114.79","80577.07","2018",,
"1498","1090230000","JTPA","Work Invest Act (WIA)","Full-time","Non-Union","60-69 years old","Female","Black or African-American","Plan & Evaluation Suprv","1998-05-28T00:00:00.000","2019-10-11T00:00:00.000","21-25 years with the City","67999.15","6003.12","5083.59","79085.86","2019",,
"1516","230000","PS - POLICE BUREAU","Police-Narcotics/Vice","Full-time","Police","40-49 years old","Female","White","Police Officer/Detective","1993-07-05T00:00:00.000","2019-01-02T00:00:00.000","21-25 years with the City","96754.47","15290.68","1448.83","113493.98","2017",,
"1516","230000","PS - POLICE BUREAU","Police-Narcotics/Vice","Full-time","Police","40-49 years old","Female","White","Police Officer/Detective","1993-07-05T00:00:00.000","2019-01-02T00:00:00.000","21-25 years with the City","105952.51","16305.82","1448.83","123707.16","2018",,
"1516","230000","PS - POLICE BUREAU","Police-Narcotics/Vice","Full-time","Police","50-59 years old","Female","White","Police Officer/Detective","1993-07-05T00:00:00.000","2019-01-02T00:00:00.000","26-30 years with the City","33232.83","3.56","480.80","33717.19","2019",,
"1516","230000","PS - POLICE BUREAU","Police-Narcotics/Vice","Full-time","Police","50-59 years old","Female","White","Police Officer/Detective","1993-07-05T00:00:00.000","2019-01-02T23:59:00.000","26-30 years with the City","2405.86","0.00",,"2405.86","2020","2341.68","64.18"
"1516","230000","PS - POLICE BUREAU","Police-Narcotics/Vice","Full-time","Police","50-59 years old","Female","White","Police Officer/Detective","1993-07-05T00:00:00.000","2019-01-02T23:59:00.000","26-30 years with the City","572.24","0.00",,"572.24","2021","572.24","0.00"
"1522","250000","PS - FIRE BUREAU","Fire Engine Co. 26","Full-time","Fire","50-59 years old","Male","White","Master Fire Fighter","1995-04-24T00:00:00.000","2017-05-01T00:00:00.000","21-25 years with the City","36072.05","7502.90","0.00","43574.95","2017",,
"1566","230000","PS - POLICE BUREAU","Police-Major Crimes","Full-time","Police","50-59 years old","Male","White","Police Lieutenant","1994-08-15T00:00:00.000",,"21-25 years with the City","136429.59","15438.06","2040.80","153908.45","2017",,
"1566","230000","PS - POLICE BUREAU","Police-Major Crimes","Full-time","Police","50-59 years old","Male","White","Police Lieutenant","1994-08-15T00:00:00.000",,"21-25 years with the City","145299.56","16464.40","2040.80","163804.76","2018",,
"1566","230000","PS - POLICE BUREAU","Police-Major Crimes","Full-time","Police","50-59 years old","Male","White","Police Lieutenant","1994-08-15T00:00:00.000",,"21-25 years with the City","139434.73","15779.93","1958.54","157173.20","2019",,
"1566","230000","PS - POLICE BUREAU","Police-Major Crimes","Full-time","Police","50-59 years old","Male","White","Police Lieutenant","1994-08-15T00:00:00.000",,"26-30 years with the City","141174.10","17311.69",,"158485.79","2020","123523.98","17650.12"
"1566","230000","PS - POLICE BUREAU","Police-Major Crimes","Full-time","Police","50-59 years old","Male","White","Police Lieutenant","1994-08-15T00:00:00.000",,"26-30 years with the City","156461.39","18963.28",,"175424.67","2021","133976.37","22485.02"
"1586","230000","PS - POLICE BUREAU","Police-Major Crimes","Full-time","Non-Union","40-49 years old","Male","White","Commander","1995-02-20T00:00:00.000",,"21-25 years with the City","104310.71","15339.88","1472.92","121123.51","2017",,
"1586","230000","PS - POLICE BUREAU","Police-Major Crimes","Full-time","Non-Union","40-49 years old","Male","White","Commander","1995-02-20T00:00:00.000",,"21-25 years with the City","105346.76","16365.09","1472.92","123184.77","2018",,
"1586","230000","PS - POLICE BUREAU","Police-Major Crimes","Full-time","Non-Union","40-49 years old","Male","White","Commander","1995-02-20T00:00:00.000",,"21-25 years with the City","105696.53","15688.51","1480.34","122865.38","2019",,
"1586","230000","PS - POLICE BUREAU","Police-Major Crimes","Full-time","Non Union","40-49 years old","Male","White","Commander","1995-02-20T00:00:00.000",,"21-25 years with the City","116533.66","17210.94",,"133744.60","2020","109358.66","7175.00"
"1586","230000","PS - POLICE BUREAU","Police-Major Crimes","Full-time","Non Union","50-59 years old","Male","White","Commander","1995-02-20T00:00:00.000","2021-05-07T23:59:00.000","26-30 years with the City","125832.40","8786.58",,"134618.98","2021","114545.92","11286.48"
"1698","106000","CITY CONTROLLER","City Controller","Full-time","Non-Union","40-49 years old","Male","White","Sr Systems Analyst 3","1993-11-22T00:00:00.000",,"21-25 years with the City","57736.78","6351.00","4524.85","68612.63","2017",,
"1698","106000","CITY CONTROLLER","City Controller","Full-time","Non-Union","40-49 years old","Male","White","Sr Systems Analyst 3","1993-11-22T00:00:00.000",,"21-25 years with the City","61644.31","6718.60","4524.85","72887.76","2018",,
"1698","106000","CITY CONTROLLER","City Controller","Full-time","Non-Union","50-59 years old","Male","White","Sr Systems Analyst 3","1993-11-22T00:00:00.000",,"26-30 years with the City","59565.12","6803.17","4368.06","70736.35","2019",,
"1698","106000","CITY CONTROLLER","City Controller","Full-time","Non Union","50-59 years old","Male","White","Sr Systems Analyst 3","1993-11-22T00:00:00.000",,"26-30 years with the City","66990.34","7051.54",,"74041.88","2020","66990.34","0.00"
"1698","106000","CITY CONTROLLER","City Controller","Full-time","Non Union","50-59 years old","Male","White","Senior Systems Analyst 3","1993-11-22T00:00:00.000",,"26-30 years with the City","67541.93","8124.40",,"75666.33","2021","67541.93","0.00"
"1750","5000280400","ARAD-PARKS","PR-Swim Pool Maint","Temporary","Non-Union","50-59 years old","Male","White","Lifeguard 4 @10.25","2018-05-29T00:00:00.000","2018-10-01T00:00:00.000","0-5 years with the City","9379.25","0.00","708.87","10088.12","2017",,
"1750","5000280400","ARAD-PARKS","PR-Swim Pool Maint","Temporary","Non-Union","50-59 years old","Male","White","Lifeguard 4 @10.25","2018-05-29T00:00:00.000","2018-10-01T00:00:00.000","0-5 years with the City","9266.25","0.00","708.87","9975.12","2018",,
"1750","5000280400","ARAD-PARKS","PR-Swim Pool Maint","Temporary","Non-Union","50-59 years old","Male","White","Lifeguard Regional Manager","2019-05-13T00:00:00.000","2019-09-30T00:00:00.000","0-5 years with the City","10698.56","0.00","818.44","11517.00","2019",,
"1750","500000","PARKS AND RECREATION","PR-Swim Pool Maint","Temporary","Non Union","50-59 years old","Male","White","Lifeguard Regional Manager","2002-06-01T00:00:00.000",,"16-20 years with the City","13249.57","0.00",,"13249.57","2021","8628.05","4621.52"
"1768","230000","PS - POLICE BUREAU","Police Special Deployment Div","Full-time","Police","40-49 years old","Male","White","Master Police Officer","1994-06-27T00:00:00.000","2017-05-01T00:00:00.000","21-25 years with the City","72015.83","6371.19","0.00","78387.02","2017",,
"1768","230000","PS - POLICE BUREAU","Police Special Deployment Div","Full-time","Police","40-49 years old","Male","White","Master Police Officer","1994-06-27T00:00:00.000","2017-05-01T23:59:00.000","26-30 years with the City","283.92","0.00",,"283.92","2020","283.92","0.00"
"1776","250000","PS - FIRE BUREAU","Fire-Gen Office","Full-time","Fire","50-59 years old","Male","White","Battalion Chief-2010","1994-07-18T00:00:00.000",,"21-25 years with the City","149620.05","18006.96","1081.68","168708.69","2017",,
"1776","250000","PS - FIRE BUREAU","Fire-Gen Office","Full-time","Fire","50-59 years old","Male","White","Battalion Chief-2010","1994-07-18T00:00:00.000",,"21-25 years with the City","76612.50","18144.60","1081.68","95838.78","2018",,
"1776","250000","PS - FIRE BUREAU","Fire-Gen Office","Full-time","Fire","50-59 years old","Male","White","Battalion Chief-2010","1994-07-18T00:00:00.000",,"21-25 years with the City","155646.31","18074.32","2199.37","175920.00","2019",,
"1776","250000","PS - FIRE BUREAU","Fire-Gen Office","Full-time","Fire","50-59 years old","Male","White","Battalion Chief-2010","1994-07-18T00:00:00.000",,"26-30 years with the City","185283.68","18215.36",,"203499.04","2020","163140.32","22143.36"
"1776","250000","PS - FIRE BUREAU","Fire-Gen Office","Full-time","Fire","50-59 years old","Male","White","Battalion Chief-2010","1994-07-18T00:00:00.000",,"26-30 years with the City","240645.05","17550.00",,"258195.05","2021","182100.71","58544.34"
"1788","230000","PS - POLICE BUREAU","PS-Asst Chief-Operations","Full-time","Police","50-59 years old","Female","Black or African-American","Master Police Officer","1991-01-07T00:00:00.000",,"26-30 years with the City","86396.74","5163.76","1380.01","92940.51","2017",,
"1788","230000","PS - POLICE BUREAU","PS-Asst Chief-Operations","Full-time","Police","50-59 years old","Female","Black or African-American","Master Police Officer","1991-01-07T00:00:00.000",,"26-30 years with the City","96593.98","5511.24","1380.01","103485.23","2018",,
"1788","230000","PS - POLICE BUREAU","PS-Asst Chief-Operations","Full-time","Police","50-59 years old","Female","Black or African-American","Master Police Officer","1991-01-07T00:00:00.000",,"26-30 years with the City","80870.26","5053.00","1153.18","87076.44","2019",,
"1788","230000","PS - POLICE BUREAU","Police Property Room","Full-time","Police","50-59 years old","Female","Black or African-American","Master Police Officer","1991-01-07T00:00:00.000",,"26-30 years with the City","96618.84","5781.37",,"102400.21","2020","83388.56","13230.28"
"1788","230000","PS - POLICE BUREAU","Police Property Room","Full-time","Police","50-59 years old","Female","Black or African American","Master Police Officer","1991-01-07T00:00:00.000",,"26-30 years with the City","98310.67","6330.32",,"104640.99","2021","87685.67","10625.00"
"1800","430000","PW - ENVIRONMENTAL SERVICES","ES-Refuse Coll Drivers","Full-time","Refuse/Teamsters","60-69 years old","Male","Black or African-American","Truck Driver A 4th Year","1999-08-09T00:00:00.000",,"16-20 years with the City","48308.71","3313.35","3753.43","55375.49","2017",,
"1800","430000","PW - ENVIRONMENTAL SERVICES","ES-Refuse Coll Drivers","Full-time","Refuse/Teamsters","60-69 years old","Male","Black or African-American","Truck Driver A 4th Year","1999-08-09T00:00:00.000",,"16-20 years with the City","50701.75","5959.92","3753.43","60415.10","2018",,
"1800","430000","PW - ENVIRONMENTAL SERVICES","ES-Refuse Coll Drivers","Full-time","Refuse/Teamsters","60-69 years old","Male","Black or African-American","Truck Driver A 4th Year","1999-08-09T00:00:00.000","2019-10-08T00:00:00.000","16-20 years with the City","48306.18","5218.73","3580.53","57105.44","2019",,
"1808","230000","PS - POLICE BUREAU","Police Warrant Office","Full-time","Police","60-69 years old","Male","White","Master Police Officer","1997-05-19T00:00:00.000",,"21-25 years with the City","117101.12","10254.58","1750.83","129106.53","2017",,
"1808","230000","PS - POLICE BUREAU","Police Warrant Office","Full-time","Police","60-69 years old","Male","White","Master Police Officer","1997-05-19T00:00:00.000",,"21-25 years with the City","124777.07","10982.20","1750.83","137510.10","2018",,
"1808","230000","PS - POLICE BUREAU","Police Warrant Office","Full-time","Police","60-69 years old","Male","White","Master Police Officer","1997-05-19T00:00:00.000",,"21-25 years with the City","122317.97","10526.00","1705.63","134549.60","2019",,
"1808","230000","PS - POLICE BUREAU","Police Warrant Office","Full-time","Police","60-69 years old","Male","White","Master Police Officer","1997-05-19T00:00:00.000",,"21-25 years with the City","134244.57","11512.98",,"145757.55","2020","118011.39","16233.18"
"1808","230000","PS - POLICE BUREAU","Police Warrant Office","Full-time","Police","60-69 years old","Male","White","Master Police Officer","1997-05-19T00:00:00.000",,"21-25 years with the City","132199.58","12736.16",,"144935.74","2021","121954.01","10245.57"
"1818","220000","PS - EMERGENCY MED SERVICES","Emergency Medical Service","Full-time","Paramedics","50-59 years old","Male","White","Crew Chief","1989-06-19T00:00:00.000",,"26-30 years with the City","74672.50","28.36","4276.46","78977.32","2017",,
"1818","220000","PS - EMERGENCY MED SERVICES","Emergency Medical Service","Full-time","Paramedics","50-59 years old","Male","White","Crew Chief","1989-06-19T00:00:00.000",,"26-30 years with the City","55875.95","25.57","4276.46","60177.98","2018",,
"1818","220000","PS - EMERGENCY MED SERVICES","Emergency Medical Service","Full-time","Paramedics","50-59 years old","Male","White","Crew Chief","1989-06-19T00:00:00.000",,"26-30 years with the City","97611.07","56.97","7471.61","105139.65","2019",,
"1818","220000","PS - EMERGENCY MED SERVICES","Emergency Medical Service","Full-time","Paramedics","50-59 years old","Male","White","Crew Chief","1989-06-19T00:00:00.000",,"31-35 years with the City","109121.30","1071.12",,"110192.42","2020","84931.70","24189.60"
"1818","220000","PS - EMERGENCY MED SERVICES","Emergency Medical Service","Full-time","Paramedics","50-59 years old","Male","White","Crew Chief","1989-06-19T00:00:00.000",,"31-35 years with the City","110896.51","667.22",,"111563.73","2021","84115.01","26781.50"
"1872","106000","CITY CONTROLLER","City Controller","Full-time","Non-Union","50-59 years old","Male","White","Accountant 2-City Controller","1984-06-04T00:00:00.000",,"31-35 years with the City","50480.79","12676.08","3682.00","66838.87","2017",,
"1872","106000","CITY CONTROLLER","City Controller","Full-time","Non-Union","50-59 years old","Male","White","Accountant 2-City Controller","1984-06-04T00:00:00.000",,"31-35 years with the City","51480.39","13398.96","3682.00","68561.35","2018",,
"1872","106000","CITY CONTROLLER","City Controller","Full-time","Non-Union","50-59 years old","Male","White","Accountant 2-City Controller","1984-06-04T00:00:00.000",,"31-35 years with the City","50581.55","13544.47","3610.59","67736.61","2019",,
"1872","106000","CITY CONTROLLER","City Controller","Full-time","Non Union","50-59 years old","Male","White","Accountant 2-City Controller","1984-06-04T00:00:00.000",,"36-40 years with the City","57526.09","14800.33",,"72326.42","2020","57526.09","0.00"
"1872","106000","CITY CONTROLLER","City Controller","Full-time","Non Union","50-59 years old","Male","White","Accountant 2-City Controller","1984-06-04T00:00:00.000",,"36-40 years with the City","57249.09","17021.48",,"74270.57","2021","57249.09","0.00"
"1876","250000","PS - FIRE BUREAU","Fire Engine Co. 17","Full-time","Fire","50-59 years old","Male","White","Fire Captain","1997-07-07T00:00:00.000",,"21-25 years with the City","116685.13","18006.96","1760.37","136452.46","2017",,
"1876","250000","PS - FIRE BUREAU","Fire Engine Co. 17","Full-time","Fire","50-59 years old","Male","White","Fire Captain","1997-07-07T00:00:00.000",,"21-25 years with the City","125764.18","18144.60","1760.37","145669.15","2018",,
"1876","250000","PS - FIRE BUREAU","Fire Engine Co. 17","Full-time","Fire","50-59 years old","Male","White","Fire Captain","1997-07-07T00:00:00.000",,"21-25 years with the City","113730.48","8644.24","1607.50","123982.22","2019",,
"1876","250000","PS - FIRE BUREAU","Fire Engine Co. 17","Full-time","Fire","50-59 years old","Male","White","Fire Captain","1997-07-07T00:00:00.000",,"21-25 years with the City","128315.82","18336.79",,"146652.61","2020","106498.63","21817.19"
"1876","250000","PS - FIRE BUREAU","Fire Engine Co. 17","Full-time","Fire","50-59 years old","Male","White","Fire Captain","1997-07-07T00:00:00.000",,"21-25 years with the City","145542.55","17676.72",,"163219.27","2021","106358.16","39184.39"
"1920","230000","PS - POLICE BUREAU","Police-Major Crimes","Full-time","Police","50-59 years old","Female","Black or African-American","Police Officer/Detective","1989-04-17T00:00:00.000","2017-05-15T00:00:00.000","26-30 years with the City","72881.81","2351.29","0.00","75233.10","2017",,
"1920","230000","PS - POLICE BUREAU","Police-Major Crimes","Full-time","Police","50-59 years old","Female","Black or African-American","Police Officer/Detective","1989-04-17T00:00:00.000","2017-05-15T23:59:00.000","31-35 years with the City","166.65","0.00",,"166.65","2020","166.65","0.00"
"1956","230000","PS - POLICE BUREAU","Police Zone 6 - West End","Full-time","Police","60-69 years old","Female","White","Master Police Officer","1987-03-23T00:00:00.000",,"31-35 years with the City","79520.10","5166.82","1266.46","85953.38","2017",,
"1956","230000","PS - POLICE BUREAU","Police Zone 6 - West End","Full-time","Police","60-69 years old","Female","White","Master Police Officer","1987-03-23T00:00:00.000",,"31-35 years with the City","92410.31","5557.00","1266.46","99233.77","2018",,
"1956","230000","PS - POLICE BUREAU","Police Zone 6 - West End","Full-time","Police","60-69 years old","Female","White","Master Police Officer","1987-03-23T00:00:00.000",,"31-35 years with the City","91497.51","5100.79","1268.09","97866.39","2019",,
"1956","230000","PS - POLICE BUREAU","Police Zone 6 - West End","Full-time","Police","60-69 years old","Female","White","Master Police Officer","1987-03-23T00:00:00.000",,"31-35 years with the City","97955.82","5785.97",,"103741.79","2020","81615.37","16340.45"
"1956","230000","PS - POLICE BUREAU","Police Zone 6 - West End","Full-time","Police","60-69 years old","Female","White","Master Police Officer","1987-03-23T00:00:00.000",,"31-35 years with the City","92024.12","5993.36",,"98017.48","2021","80969.75","11054.37"
"1988","5000285000","SENIOR CITEZENS PROG TF","PR-SeniorInterests","Full-time","Recreation Teachers","40-49 years old","Female","Black or African-American","Sr Community Center Dir","1994-06-27T00:00:00.000",,"21-25 years with the City","33658.25","6338.16","2928.85","42925.26","2017",,
"1988","5000285000","SENIOR CITEZENS PROG TF","PR-SeniorInterests","Full-time","Recreation Teachers","40-49 years old","Female","Black or African-American","Sr Community Center Dir","1994-06-27T00:00:00.000",,"21-25 years with the City","40452.11","6699.60","2928.85","50080.56","2018",,
"1988","5000285000","SENIOR CITEZENS PROG TF","PR-SeniorInterests","Full-time","Recreation Teachers","40-49 years old","Female","Black or African-American","Community Center Director HAL","1994-06-27T00:00:00.000",,"21-25 years with the City","39284.72","6771.43","2839.73","48895.88","2019",,
"1988","500000","PARKS AND RECREATION","PR-SeniorInterests","Full-time","Rec Teachers","40-49 years old","Female","Black or African-American","Healthy Active Living Director","1994-06-27T00:00:00.000",,"26-30 years with the City","43815.67","7160.76",,"50976.43","2020","43815.67","0.00"
"1988","500000","PARKS AND RECREATION","PR-SeniorInterests","Full-time","Rec Teachers","40-49 years old","Female","Black or African American","Healthy Active Living Director","1994-06-27T00:00:00.000",,"26-30 years with the City","46911.06","8236.12",,"55147.18","2021","46911.06","0.00"
"2056","220000","PS - EMERGENCY MED SERVICES","Emergency Medical Service","Full-time","Paramedics","50-59 years old","Male","White","Paramedic 5th Year","1995-01-03T00:00:00.000",,"21-25 years with the City","129571.93","19030.68","9862.85","158465.46","2017",,
"2056","220000","PS - EMERGENCY MED SERVICES","Emergency Medical Service","Full-time","Paramedics","50-59 years old","Male","White","Paramedic 5th Year","1995-01-03T00:00:00.000",,"21-25 years with the City","137086.71","20118.34","9862.85","167067.90","2018",,
"2056","220000","PS - EMERGENCY MED SERVICES","Emergency Medical Service","Full-time","Paramedics","50-59 years old","Male","White","Paramedic 5th Year","1995-01-03T00:00:00.000",,"21-25 years with the City","153932.17","20357.92","10398.81","184688.90","2019",,
"2056","220000","PS - EMERGENCY MED SERVICES","Emergency Medical Service","Full-time","Paramedics","50-59 years old","Male","White","Paramedic 5th Year","1995-01-03T00:00:00.000",,"21-25 years with the City","171532.80","22280.29",,"193813.09","2020","91594.86","79937.94"
"2056","220000","PS - EMERGENCY MED SERVICES","Emergency Medical Service","Full-time","Paramedics","50-59 years old","Male","White","Paramedic 5th Year","1995-01-03T00:00:00.000",,"26-30 years with the City","181131.21","25229.39",,"206360.60","2021","100466.09","80665.12"
"2114","230000","PS - POLICE BUREAU","Police Special Deployment Div","Full-time","Police","40-49 years old","Male","White","Master Police Officer","1993-03-29T00:00:00.000",,"21-25 years with the City","110974.98","10203.16","1422.73","122600.87","2017",,
"2114","230000","PS - POLICE BUREAU","Police Special Deployment Div","Full-time","Police","40-49 years old","Male","White","Master Police Officer","1993-03-29T00:00:00.000",,"21-25 years with the City","101713.66","10880.62","1422.73","114017.01","2018",,
"2114","230000","PS - POLICE BUREAU","Police Special Deployment Div","Full-time","Police","40-49 years old","Male","White","Master Police Officer","1993-03-29T00:00:00.000",,"26-30 years with the City","93354.32","10427.53","1303.70","105085.55","2019",,
"2114","230000","PS - POLICE BUREAU","Police Special Deployment Div","Full-time","Police","40-49 years old","Male","White","Master Police Officer","1993-03-29T00:00:00.000",,"26-30 years with the City","75374.59","6537.38",,"81911.97","2020","53504.99","21869.60"
"2114","230000","PS - POLICE BUREAU","Police Special Deployment Div","Full-time","Police","40-49 years old","Male","White","Master Police Officer","1993-03-29T00:00:00.000",,"26-30 years with the City","101499.26","6394.40",,"107893.66","2021","89220.26","12279.00"
"2280","250000","PS - FIRE BUREAU","Fire MAC Unit","Full-time","Fire","60-69 years old","Male","White","Master Fire Fighter","1990-04-16T00:00:00.000","2017-04-18T00:00:00.000","26-30 years with the City","62448.46","6002.32","0.00","68450.78","2017",,
"2336","250000","PS - FIRE BUREAU","Fire Engine Co. 20","Full-time","Fire","50-59 years old","Male","Black or African-American","Master Fire Fighter","1999-08-09T00:00:00.000",,"16-20 years with the City","77836.32","18006.96","1090.60","96933.88","2017",,
"2336","250000","PS - FIRE BUREAU","Fire Engine Co. 20","Full-time","Fire","50-59 years old","Male","Black or African-American","Master Fire Fighter","1999-08-09T00:00:00.000",,"16-20 years with the City","78833.77","18144.60","1090.60","98068.97","2018",,
"2336","250000","PS - FIRE BUREAU","Fire Engine Co. 20","Full-time","Fire","50-59 years old","Male","Black or African-American","Master Fire Fighter","1999-08-09T00:00:00.000",,"16-20 years with the City","94161.51","18074.32","1313.59","113549.42","2019",,
"2336","250000","PS - FIRE BUREAU","Fire Engine Co. 20","Full-time","Fire","50-59 years old","Male","Black or African-American","Master Fire Fighter","1999-08-09T00:00:00.000",,"21-25 years with the City","116197.07","18336.79",,"134533.86","2020","111197.07","5000.00"
"2336","250000","PS - FIRE BUREAU","Fire Engine Co. 20","Full-time","Fire","50-59 years old","Male","Black or African American","Master Fire Fighter","1999-08-09T00:00:00.000",,"21-25 years with the City","141009.97","17676.72",,"158686.69","2021","135256.16","5753.81"
"2448","420000","PW - BUREAU OF ADMINISTRATION","PW-3rd Division-Admin","Full-time","AFSCME Local 2037","60-69 years old","Male","White","Foreman, Pub Works-Oper","2005-03-21T00:00:00.000",,"11-15 years with the City","60780.98","19734.84","4701.29","85217.11","2017",,
"2448","420000","PW - BUREAU OF ADMINISTRATION","PW-3rd Division-Admin","Full-time","AFSCME Local 2037","60-69 years old","Male","White","Foreman, Pub Works-Oper","2005-03-21T00:00:00.000",,"11-15 years with the City","64751.69","16941.12","4701.29","86394.10","2018",,
"2448","420000","PW - BUREAU OF ADMINISTRATION","PW-2nd Division-Admin","Full-time","AFSCME Local 2037","60-69 years old","Male","White","Foreman-SH","2005-03-21T00:00:00.000",,"11-15 years with the City","61857.33","14270.05","4496.25","80623.63","2019",,
"2448","420000","PW - BUREAU OF ADMINISTRATION","PW-3rd Division","Full-time","Foreman","60-69 years old","Male","White","Foreman-SH","1985-12-16T00:00:00.000",,"31-35 years with the City","63905.04","14930.73",,"78835.77","2020","57972.73","5932.31"
"2448","420000","PW - BUREAU OF ADMINISTRATION","PW-3rd Division","Full-time","Foreman","70-79 years old","Male","White","Foreman-SH","1985-12-16T00:00:00.000",,"36-40 years with the City","77120.19","17229.44",,"94349.63","2021","60208.45","16911.74"
"2458","220000","PS - EMERGENCY MED SERVICES","Emergency Medical Service","Full-time","Paramedics","60-69 years old","Male","White","Paramedic 5th Year","1979-11-05T00:00:00.000","2018-03-03T00:00:00.000","36-40 years with the City","76119.87","12768.64","1124.17","90012.68","2017",,
