"recordid","year","month","gender","missing","_2","_7","_2_1","_6","_3","_5","_2_2","_4","_1_1_1"
"102008-MALE","2008","10","MALE","82",,"191","1453","1490","1481","1188","358","55","2"
"102008-MISSING","2008","10","MISSING",,,"1","7","2","4","5","2",,"1"
"92008-FEMALE","2008","9","FEMALE","48","2","160","1016","882","1133","1089","325","45","12"
"92008-MALE","2008","9","MALE","69","1","161","1341","1361","1326","1054","345","36","2"
"92008-MISSING","2008","9","MISSING",,,,"5","5","6",,"2",,
"82008-FEMALE","2008","8","FEMALE","43","3","181","912","824","1021","858","305","52","9"
"82008-MALE","2008","8","MALE","81","1","223","1494","1419","1409","1122","348","34","4"
"82008-MISSING","2008","8","MISSING",,,"2","9","5","7","7","2",,
"72008-FEMALE","2008","7","FEMALE","38","5","171","1024","836","1053","885","286","39","4"
"72008-MALE","2008","7","MALE","70","2","266","1526","1433","1450","1099","365","37","7"
"72008-MISSING","2008","7","MISSING","1",,"1","7","2","4","8",,"1",
"62008-FEMALE","2008","6","FEMALE","44","1","182","932","887","1017","910","285","43","7"
"62008-MALE","2008","6","MALE","67","2","232","1527","1404","1514","1101","347","40","5"
"62008-MISSING","2008","6","MISSING",,,"2","3","11","9","1",,,
"52008-FEMALE","2008","5","FEMALE","53",,"151","921","892","1105","936","345","40","9"
"52008-MALE","2008","5","MALE","78",,"183","1526","1395","1379","1088","335","43","3"
"52008-MISSING","2008","5","MISSING","1",,"1","4","10","8","9","1",,
"42008-FEMALE","2008","4","FEMALE","45","1","119","972","894","1203","1003","312","39","7"
"42008-MALE","2008","4","MALE","76",,"188","1287","1314","1379","1052","359","44","5"
"42008-MISSING","2008","4","MISSING",,,,"3","4","11","4","2",,
"32008-FEMALE","2008","3","FEMALE","55","1","119","882","847","1100","1076","356","47","6"
"32008-MALE","2008","3","MALE","65",,"134","1257","1263","1352","1032","335","30","4"
"32008-MISSING","2008","3","MISSING","4",,,"7","7","7","4","2",,
"22008-FEMALE","2008","2","FEMALE","56","1","117","896","876","1129","1082","343","49","3"
"22008-MALE","2008","2","MALE","67",,"143","1199","1323","1443","1130","393","64","2"
"22008-MISSING","2008","2","MISSING","1",,"1","7","7","5","3","1","1",
"12008-FEMALE","2008","1","FEMALE","45","1","123","908","871","1198","1043","344","46","9"
"12008-MALE","2008","1","MALE","70","2","152","1286","1361","1443","1094","341","33","11"
"12008-MISSING","2008","1","MISSING",,,"3","4","9","1","5",,,
"122007-FEMALE","2007","12","FEMALE","43",,"114","899","871","1088","957","333","51","4"
"122007-MALE","2007","12","MALE","67","3","157","1140","1196","1179","979","324","47","1"
"122007-MISSING","2007","12","MISSING",,,"4","5","5","7","3","1","1",
"112007-FEMALE","2007","11","FEMALE","50",,"139","924","922","1063","974","308","51","9"
"112007-MALE","2007","11","MALE","75",,"173","1298","1253","1312","992","323","46","6"
"112007-MISSING","2007","11","MISSING","1",,"2","9","6","9","1","1",,
"102007-FEMALE","2007","10","FEMALE","57",,"149","1071","1024","1315","1025","366","45","10"
"102007-MALE","2007","10","MALE","76","1","228","1684","1562","1648","1174","384","54","2"
"102007-MISSING","2007","10","MISSING","2",,"3","9","9","8","13",,,"1"
"92007-FEMALE","2007","9","FEMALE","44",,"137","860","876","1045","836","305","39","5"
"92007-MALE","2007","9","MALE","74","1","198","1413","1312","1337","965","298","45","4"
"92007-MISSING","2007","9","MISSING","1",,"1","9","6","12","10",,,
"82007-FEMALE","2007","8","FEMALE","71","2","208","1085","977","1255","1060","335","42","5"
"82007-MALE","2007","8","MALE","93","5","279","1797","1770","1773","1298","343","44","7"
"82007-MISSING","2007","8","MISSING",,"1","1","6","11","12","7","2",,
"72007-FEMALE","2007","7","FEMALE","61","5","192","999","793","1119","876","273","38","7"
"72007-MALE","2007","7","MALE","80","4","312","1538","1502","1438","1036","327","39","8"
"72007-MISSING","2007","7","MISSING","1",,"3","7","5","8","4","3",,"1"
"62007-FEMALE","2007","6","FEMALE","42","2","187","951","882","1173","956","296","37","2"
"62007-MALE","2007","6","MALE","82","3","276","1656","1494","1568","1137","355","40","10"
"62007-MISSING","2007","6","MISSING",,,"1","9","6","13","7",,,
"52007-FEMALE","2007","5","FEMALE","62","1","146","1051","1018","1266","1070","332","46","6"
"52007-MALE","2007","5","MALE","86",,"202","1523","1519","1532","1142","347","45","8"
