"the_geom","address","suffix","street","onstr","fromstr","tostr","side","site","spp","dbh","wires","pittype","ward"
"POINT (-71.41989938414108 41.81061540962066)","333",,"DUDLEY ST","DUDLEY ST","WEST CLIFFORD ST","FRIENDSHIP ST","Front","3","Acer rubrum","4.0","No","Sidewalk Pit","11.0"
"POINT (-71.3853253875462 41.84247370966987)","40",,"MAGELLAN ST","MAGELLAN ST","GROTTO AVE","BLACKSTONE BLVD","Front","1","Zelkova serrata","6.0","No","Lawn Strip","2.0"
"POINT (-71.45689439488193 41.846906457999715)","49",,"ELMCREST AVE","ELMCREST AVE","MT PLEASANT AVE","HOOKER ST","Front","1","Quercus rubra","5.0","No","Lawn Strip","5.0"
"POINT (-71.39736387718021 41.79281653829279)","150",,"TORONTO AVE","ALLENS AVE","CHAPMAN ST","TORONTO AVE","Side","4","Acer rubrum","13.0","Yes","Lawn Strip","10.0"
"POINT (-71.43965091395235 41.835293568785445)","522",,"PLEASANT VALLEY PKWY","PLEASANT VALLEY PKWY","RANKIN AVE","GROSVENOR AVE","Median","3","Acer rubrum","30.1","No","Lawn - No Sidewalk","5.0"
"POINT (-71.41949243566607 41.82842962624507)","235",,"PROMENADE ST","PROMENADE ST","PARK ST","HOLDEN ST","Front","2","Pyrus calleryana","13.0","Yes","Sidewalk Pit","12.0"
"POINT (-71.40772745766522 41.79000352297695)","53",,"FISK ST","FISK ST","BERNARD ST","CACTUS ST","Front","1","Platanus x acerifolia","26.0","Yes","Lawn Strip","9.0"
"POINT (-71.41845073389831 41.832306484474024)","206",,"SMITH ST","SMITH ST","CALVERLEY ST","HOLDEN ST","Front","2","Prunus serrulata 'Kwanzan'","5.0","Yes","Sidewalk Pit","12.0"
"POINT (-71.40063851766091 41.84899688384785)","78",,"MEMORIAL RD","MEMORIAL RD","CAMP ST","SUMMIT AVE","Front","1","Acer platanoides","8.0","No","Lawn Strip","3.0"
"POINT (-71.39216441500764 41.82322796527114)","177",,"IVES ST","IVES ST","WILLIAMS ST","POWER ST","Front","1","Malus spp","9.4","Yes","Sidewalk Pit","1.0"
"POINT (-71.41592837369446 41.804844484345985)","20",,"GORDON AVE","SARATOGA ST","TAYLOR ST","PRAIRIE AVE","Side","1","Zelkova serrata","3.0","No","Lawn - No Sidewalk","10.0"
"POINT (-71.42993930565957 41.792734548629866)","74",,"ALGONQUIN ST","ALGONQUIN ST","CRESCENT ST","SIBLEY ST","Front","1","Ulmus americana","7.0","Yes","Sidewalk Pit","8.0"
"POINT (-71.4192051052114 41.80437303161422)","716",,"BROAD ST","BROAD ST","PUBLIC ST","GLENHAM ST","Front","1","Tilia americana","10.0","Yes","Sidewalk Pit","11.0"
"POINT (-71.3999294101034 41.84215427929137)","16",,"CATALPA RD","CATALPA RD","CYPRESS ST","LARCH ST","Front","1","Acer rubrum","13.4","Yes","Lawn Strip","3.0"
"POINT (-71.42088550913178 41.833265139517046)","272",,"SMITH ST","SMITH ST","ORMS ST","CALVERLEY ST","Front","1","Pyrus calleryana","4.0","Yes","Sidewalk Pit","12.0"
"POINT (-71.39150209592484 41.820269934638574)","575",,"WICKENDEN ST","WICKENDEN ST","IVES ST","SCHOFIELD ST","Front","1","Pyrus calleryana","5.9","Yes","Sidewalk Pit","1.0"
"POINT (-71.44832841131601 41.808656901622655)","228",,"WEBSTER AVE","WEBSTER AVE","PROGRESS AVE","DORA ST","Front","1","Acer rubrum","6.0","No","Sidewalk Pit","15.0"
"POINT (-71.41785578197855 41.81668780908305)","184",,"BROAD ST","BROAD ST","BROAD ST","CONDUIT ST","Front","2","Platanus x acerifolia","2.0","No","Sidewalk Pit","11.0"
"POINT (-71.3954554854779 41.85395160233517)","131",,"10TH ST","10TH ST","SUMMIT AVE","HOPE ST","Front","1","Pyrus calleryana","20.0","No","Lawn Strip","3.0"
"POINT (-71.43987957226885 41.835336035216585)","523",,"PLEASANT VALLEY PKWY","PLEASANT VALLEY PKWY","RIVER AVE","RANKIN AVE","Median","2","Acer saccharinum","5.8","Yes","Lawn - No Sidewalk","5.0"
"POINT (-71.39213736204697 41.8473372643479)","16",,"HOLLY ST","HOLLY ST","LAURISTON ST","ROCHAMBEAU AVE","Front","1","Acer platanoides 'Crimson King'","13.7","No","Lawn Strip","3.0"
"POINT (-71.39780141026549 41.82404683666532)","100",,"CHARLESFIELD ST","CHARLESFIELD ST","HOPE ST","CHARLESFIELD ST","Front","6","Ulmus americana","3.0","Yes","Sidewalk Pit","1.0"
"POINT (-71.44672725187898 41.84714960074204)","99",,"MINK RD","MINK RD","SHARON ST","ENFIELD AVE","Front","1","Acer rubrum","9.3","No","Lawn - No Sidewalk","14.0"
"POINT (-71.39785277045213 41.84827919565441)","51",,"SUMMIT AVE","SUMMIT AVE","GLENDALE AVE","BURLINGTON ST","Front","1","Platanus x acerifolia","25.0","Yes","Lawn Strip","3.0"
"POINT (-71.41925297176819 41.80721069655914)","356",,"WILLARD AVE","WILLARD AVE","PRAIRIE AVE","TAYLOR ST","Front","1","Pyrus calleryana","9.0","No","Sidewalk Pit","11.0"
"POINT (-71.41194787038208 41.818252118431396)","146",,"CLIFFORD ST","CLIFFORD ST","CHESTNUT ST","CLAVERICK ST","Front","3","Pyrus calleryana","3.0","No","Sidewalk Pit","1.0"
"POINT (-71.411619535641 41.81011035805539)","118",,"DUDLEY ST","DUDLEY ST","GAY ST","PLAIN ST","Front","4","Quercus palustris","3.0","No","Sidewalk Pit","11.0"
"POINT (-71.41515321528851 41.806229033996885)","7",,"GLENHAM ST","PRAIRIE AVE","GLENHAM ST","CHESTER AVE","Side","1","Tilia spp.","9.0","No","Sidewalk Pit","11.0"
"POINT (-71.39704495171299 41.82006089151118)","105",,"SHELDON ST","SHELDON ST","BROOK ST","HOPE ST","Front","1","Tilia tomentosa","38.0","Yes","Sidewalk Pit","1.0"
"POINT (-71.40162529813486 41.846583247848635)","88",,"ROCHAMBEAU AVE","ROCHAMBEAU AVE","CAMP ST","N MAIN ST","Front","1","Fraxinus pennsylvanica","17.0","No","Lawn Strip","3.0"
"POINT (-71.39554366308889 41.83547942165207)","100",,"ALUMNI AVE","ARLINGTON AVE","OLNEY ST","ALUMNI AVE","Side","1","Platanus x acerifolia","7.0","Yes","Sidewalk Pit","2.0"
"POINT (-71.39784961438502 41.82113828755421)","56",,"ARNOLD ST","ARNOLD ST","BROOK ST","HOPE ST","Front","2","Prunus serrulata 'Kwanzan'","9.2","Yes","Sidewalk Pit","1.0"
"POINT (-71.39006557984244 41.84711739693729)","25",,"BALTON RD","BALTON RD","ROCHAMBEAU AVE","INTERVALE RD","Front","5","Prunus spp.","5.0","Yes","Lawn - No Sidewalk","2.0"
"POINT (-71.44751441061597 41.832910880289226)","1179",,"CHALKSTONE AVE","CHALKSTONE AVE","CLEMATIS ST","ROWAN ST","Front","1","Fraxinus pennsylvanica","13.0","No","Sidewalk Pit","5.0"
"POINT (-71.40723570661557 41.83171133379947)","112",,"CONGDON ST","CONGDON ST","JENCKES ST","LLOYD AVE","Front","1","Gleditsia triacanthos","23.1","No","Sidewalk Pit","2.0"
"POINT (-71.4098883151937 41.83399258777958)","14",,"BENEFIT ST","BENEFIT ST","OLNEY ST","HALSEY ST","Front","1","Ailanthus altissima","11.0","No","Sidewalk Pit","12.0"
"POINT (-71.44304055559675 41.84789986433354)","440",,"SHARON ST","SHARON ST","APRIL CT","ADMIRAL ST","Front","2","Ulmus spp.","3.3","No","Sidewalk Pit","14.0"
"POINT (-71.42437573361136 41.8217852094035)","22",,"PALLAS ST","KENYON ST","PALLAS ST","RINGGOLD ST","Side","1","Zelkova serrata","13.4","No","Lawn Strip","13.0"
"POINT (-71.41967717397206 41.83277950602862)","244",,"SMITH ST","SMITH ST","CALVERLEY ST","HOLDEN ST","Front","7","Pyrus calleryana","4.0","Yes","Sidewalk Pit","12.0"
"POINT (-71.411987831602 41.79592755729836)","1063",,"BROAD ST","BROAD ST","SACKETT ST","EARLY ST","Front","1","Zelkova serrata","8.6","No","Sidewalk Pit","9.0"
"POINT (-71.44810459499685 41.83242296074877)","13",,"CARLETON ST","CARLETON ST","CHALKSTONE AVE","BELMONT AVE","Front","1","Zelkova serrata","2.0","Yes","Sidewalk Pit","5.0"
"POINT (-71.41918498861642 41.846551681309954)","415",,"CHARLES ST","CHARLES ST","SILVER SPRING ST","LOMBARDI","Front","1","Pyrus calleryana","9.0","Yes","Sidewalk Pit","4.0"
"POINT (-71.44807226235581 41.84442884658632)","12",,"MODENA AVE","MODENA AVE","RAVENSWOOD AVE","SMITH ST","Front","2","Quercus spp.","4.0","No","Lawn Strip","5.0"
"POINT (-71.40005681503152 41.84169269190543)","5",,"CATALPA RD","CATALPA RD","LARCH ST","CYPRESS ST","Front","1","Pyrus calleryana","1.2","No","Lawn Strip","3.0"
"POINT (-71.44977153922139 41.81136330823963)","161",,"WEBSTER AVE","WEBSTER AVE","POCASSET AVE","ROOSEVELT ST","Front","1","Tilia americana","5.0","Yes","Sidewalk Pit","15.0"
"POINT (-71.3981443999924 41.84744131545528)","20",,"SUMMIT AVE","COLONIAL RD","CAMP ST","SUMMIT AVE","Side","1","Tilia cordata","14.0","No","Lawn Strip","3.0"
"POINT (-71.42781474143126 41.829106402313876)","459",,"PROMENADE ST","PROMENADE ST","PLEASANT VALLEY PKWY","RATHBONE ST","Front","4","Pyrus calleryana","4.0","Yes","Sidewalk Pit","12.0"
"POINT (-71.39274652080428 41.820170330836284)","505",,"WICKENDEN ST","WICKENDEN ST","GOVERNOR ST","IVES ST","Front","4","Fraxinus pennsylvanica","10.8","Yes","Sidewalk Pit","1.0"
"POINT (-71.42357569518128 41.8072420593619)","206",,"ELMWOOD AVE","PLENTY ST","BROAD ST","ELMWOOD AVE","Side","4","Zelkova serrata","1.75","No","Sidewalk Pit","11.0"
"POINT (-71.3999973049075 41.82334801039022)","56",,"CHARLESFIELD ST","THAYER ST","CHARLESFIELD ST","POWER ST","Side","8","Tilia cordata","10.0","No","Sidewalk Pit","1.0"
"POINT (-71.40303413495492 41.85040918951679)","1088",,"N MAIN ST","N MAIN ST","FROST ST","CEMETERY ST","Front","1","Pyrus calleryana","9.0","Yes","Sidewalk Pit","3.0"
"POINT (-71.39368336467784 41.85284067149832)","191",,"8TH ST","8TH ST","SARAH ST","HOPE ST","Front","1","Gleditsia triacanthos","10.9","Yes","Lawn Strip","3.0"
"POINT (-71.41084063637506 41.82863148630759)","1",,"CANAL ST","CANAL ST","SMITH ST","PARK ROW WEST","Front","17","Pyrus calleryana","6.0","No","Sidewalk Pit","12.0"
"POINT (-71.39745842504848 41.82960581044367)","8",,"STIMSON AVE","STIMSON AVE","DIMAN PL","HOPE ST","Front","2","Gleditsia triacanthos","8.2","No","Lawn Strip","2.0"
"POINT (-71.4410704631262 41.834663559676294)","558",,"PLEASANT VALLEY PKWY","TIFFANY ST","PLEASANT VALLEY PKWY","CHALKSTONE AVE","Side","2","Acer rubrum","7.5","No","Lawn Strip","5.0"
"POINT (-71.4469398146266 41.845147015993035)","51",,"ENFIELD AVE","ENFIELD AVE","EATON ST","WALTON ST","Front","1","Malus spp","2.0","Yes","Sidewalk Pit","14.0"
"POINT (-71.43473107210384 41.831241642373485)","20",,"REGENT AVE","REGENT AVE","WOLCOTT ST","DEAD END","Front","33","Tilia americana","6.0","Yes","Sidewalk Pit","12.0"
"POINT (-71.45342942165723 41.83516866736306)","74",,"SAMOSET AVE","SAMOSET AVE","CANONCHET ST","GAGE ST","Front","1","Fraxinus pennsylvanica","21.0","No","Lawn - No Sidewalk","5.0"
"POINT (-71.43798171718012 41.8064627973172)","191",,"WADSWORTH ST","WADSWORTH ST","CRANSTON ST","SORRENTO ST","Front","1","Hibiscus syriacus","2.0","Yes","Sidewalk Pit","8.0"
"POINT (-71.39095012656425 41.82975970070851)","420",,"ANGELL ST","TABER AVE","ANGELL ST","VILLA AVE","Side","1","Platanus x acerifolia","19.6","No","Lawn Strip","2.0"
"POINT (-71.45596331926298 41.809591170399045)","148",,"DANIEL AVE","DANIEL AVE","POCASSET AVE","DORCHESTER AVE","Front","1","Pyrus calleryana","11.0","No","Lawn - No Sidewalk","7.0"
"POINT (-71.41751270897062 41.83526500651507)","39",,"DOUGLAS AVE","DOUGLAS AVE","ORMS ST","CHALKSTONE AVE","Front","1","Prunus spp.","10.0","Yes","Sidewalk Pit","12.0"
"POINT (-71.391771439258 41.83733146917589)","231",,"ELMGROVE AVE","ELMGROVE AVE","LAUREL AVE","FREEMAN PKWY","Front","4","Pyrus calleryana","10.0","Yes","Lawn Strip","2.0"
"POINT (-71.39264184821178 41.83467795228898)","165",,"TABER AVE","TABER AVE","LLOYD AVE","PRESIDENT AVE","Front","2","Acer platanoides","24.0","No","Lawn Strip","2.0"
"POINT (-71.44032884228169 41.84404260212752)","590",,"RIVER AVE","RIVER AVE","JOY ST","COLLEGE RD","Front","1","Malus 'Spring Snow'","2.0","Yes","Lawn - No Sidewalk","14.0"
"POINT (-71.39692097744214 41.83729695427151)","30",,"FREEMAN PKWY","ABBOTTSFORD CT","FREEMAN PKWY","HAZARD AVE","Side","3","Cornus florida","7.0","No","Lawn Strip","3.0"
"POINT (-71.3902131079466 41.85224922175598)","194",,"LORIMER AVE","LORIMER AVE","BLACKSTONE BLVD","8TH ST","Front","3","Malus spp","18.0","No","Lawn Strip","3.0"
"POINT (-71.40011891743283 41.850415585408776)","57",,"3RD ST","3RD ST","HIGHLAND AVE","CRESTON WAY","Front","1","Zelkova serrata","13.0","Yes","Sidewalk Pit","3.0"
"POINT (-71.39337109499077 41.83659078771071)","66",,"LAUREL AVE","TABER AVE","LAUREL AVE","FREEMAN PKWY","Side","1","Platanus x acerifolia","14.0","No","Lawn Strip","2.0"
"POINT (-71.42092406588631 41.855792084226884)","710",,"CHARLES ST","CHARLES ST","HAGAN ST","PAUL ST","Front","1","Tilia cordata","8.0","Yes","Sidewalk Pit","4.0"
"POINT (-71.39101642954867 41.84038484289822)","552",,"WAYLAND AVE","WAYLAND AVE","SESSIONS ST","EMELINE ST","Front","1","Cornus florida","6.3","Yes","Lawn Strip","2.0"
"POINT (-71.38632078958942 41.82967400373085)","45",,"S ANGELL ST","S ANGELL ST","BUTLER AVE","WAYLAND AVE","Front","1","Gleditsia triacanthos","18.0","No","Lawn Strip","1.0"
"POINT (-71.4243395237998 41.78846234214471)","130",,"ROGER WILLIAMS AVE","ROGER WILLIAMS AVE","ALEXANDER ST","NARRAGANSETT AVE","Front","2","Acer platanoides","9.0","No","Lawn Strip","8.0"
"POINT (-71.42626467925102 41.79168587082782)","33",,"WOODMONT ST","WOODMONT ST","RESERVOIR AVE","NARRAGANSETT AVE","Front","3","Quercus bicolor","34.0","No","Lawn - No Sidewalk","8.0"
"POINT (-71.45766530024382 41.84656976381243)","1",,"HOOKER ST","HOOKER ST","BASSWOOD AVE","ELMCREST AVE","Front","1","Acer platanoides","13.0","No","Sidewalk Pit","5.0"
"POINT (-71.43492888498017 41.81419376268946)","55",,"SYCAMORE ST","SYCAMORE ST","PARADE ST","MESSER ST","Side","2","Ulmus parvifolia","4.0","No","Lawn Strip","13.0"
"POINT (-71.39634042065362 41.835002142108515)","60","Y","WEYMOUTH ST","WEYMOUTH ST","ALUMNI AVE","LLOYD AVE","Front","2","Quercus rubra","20.5","Yes","Lawn - No Sidewalk","2.0"
"POINT (-71.4078275866556 41.789242791578864)","72",,"BABCOCK ST","BABCOCK ST","CACTUS ST","BERNARD ST","Front","1","Ulmus americana 'Valley Forge'","3.0","No","Lawn Strip","9.0"
"POINT (-71.45159765897094 41.81502010036995)","121",,"LABAN ST","LABAN ST","DEWEY ST","RALPH ST","Front","1","Fraxinus pennsylvanica","10.0","No","Sidewalk Pit","15.0"
"POINT (-71.39374155390423 41.84630641784146)","29",,"FOSDYKE ST","FOSDYKE ST","MORRIS AVE","ELMGROVE AVE","Front","1","Tilia cordata","8.5","No","Lawn Strip","3.0"
"POINT (-71.39477132838213 41.834150805301576)","134",,"ARLINGTON AVE","ARLINGTON AVE","ALUMNI AVE","LLOYD AVE","Front","1","Fraxinus pennsylvanica","1.2","No","Lawn Strip","2.0"
"POINT (-71.40533120901397 41.83606567460675)","100",,"OLNEY ST","CAMP ST","OLNEY ST","CARRINGTON AVE","Side","2","Platanus x acerifolia","12.0","No","Lawn Strip","3.0"
"POINT (-71.39082011465105 41.83599424853536)","112",,"EVERETT AVE","EVERETT AVE","WAYLAND AVE","ELMGROVE AVE","Front","1","Prunus serrulata 'Kwanzan'","12.0","Yes","Lawn Strip","2.0"
"POINT (-71.45038494993234 41.849321691505246)","120",,"GENTIAN AVE","ISABELLA AVE","LONGWOOD AVE","GENTIAN AVE","Side","1","Gleditsia triacanthos","12.0","Yes","Lawn - No Sidewalk","5.0"
"POINT (-71.43902294176517 41.83256042016387)","943",,"CHALKSTONE AVE","CHALKSTONE AVE","RIVER AVE","GROSVENOR AVE","Front","2","Platanus x acerifolia","8.3","Yes","Sidewalk Pit","12.0"
"POINT (-71.3988162635814 41.83689327309962)","35",,"BOYLSTON AVE","BOYLSTON AVE","OLNEY ST","MONTAGUE ST","Front","2","Acer rubrum","7.0","No","Lawn Strip","3.0"
"POINT (-71.39412939048093 41.82025178579338)","458",,"WICKENDEN ST","WICKENDEN ST","GOULDING ST","EAST ST","Front","1","Tilia tomentosa","6.0","Yes","Sidewalk Pit","1.0"
"POINT (-71.38240117419404 41.83626429433761)","16",,"CHANNING AVE","CHANNING AVE","GROTTO AVE","LORING AVE","Front","1","Acer rubrum","13.0","Yes","Lawn Strip","2.0"
"POINT (-71.4200097678911 41.799001456017656)","89",,"LEXINGTON AVE","LEXINGTON AVE","NIAGARA ST","HAMILTON ST","Front","1","Malus spp","3.0","Yes","Lawn Strip","9.0"
"POINT (-71.3847990841989 41.842466997819926)","249",,"BLACKSTONE BLVD","MAGELLAN ST","BLACKSTONE BLVD","GROTTO AVE","Side","2","Acer platanoides","11.0","None","Lawn - No Sidewalk","2.0"
"POINT (-71.42180712077197 41.81244538994436)","401","Y","BROAD ST","BROAD ST","PUBLIC ST","ELMWOOD AVE","Front","3","Tilia cordata","10.0","No","Sidewalk Pit","11.0"
"POINT (-71.38349136917287 41.83110803297112)","612",,"ANGELL ST","ANGELL ST","PATERSON ST","BUTLER AVE","Front","2","Pyrus calleryana","1.7","No","Lawn Strip","2.0"
"POINT (-71.4040466009378 41.83226439075853)","180",,"BROWN ST","BROWN ST","BARNES ST","KEENE ST","Front","1","Acer rubrum","17.2","Yes","Sidewalk Pit","2.0"
"POINT (-71.43319818957438 41.83950460250439)","60",,"TYNDALL AVE","TYNDALL AVE","PASTEUR ST","SMITH ST","Front","1","Prunus spp.","6.0","Yes","Lawn Strip","5.0"
"POINT (-71.42122246506446 41.83724525223286)","15",,"WHIPPLE ST","WHIPPLE ST","GEOFFREYS CT","OREGON ST","Front","1","Platanus occidentalis","23.5","No","Sidewalk Pit","12.0"
"POINT (-71.39313537467253 41.84555513651031)","51",,"WOODBURY ST","WOODBURY ST","MORRIS AVE","ELMGROVE AVE","Front","1","Amelanchier canadensis","3.0","Yes","Lawn Strip","3.0"
"POINT (-71.4478027779169 41.80758195039832)","256",,"WEBSTER AVE","WEBSTER AVE","DORA ST","ELMDALE AVE","Front","1","Acer rubrum","10.0","No","Sidewalk Pit","15.0"
"POINT (-71.44245717513171 41.83509322678644)","591",,"PLEASANT VALLEY PKWY","PLEASANT VALLEY PKWY","JASTRAM ST","JUSTICE ST","Front","2","Acer saccharinum","46.2","No","Lawn Strip","5.0"
"POINT (-71.41969997274725 41.799088936427154)","77",,"LEXINGTON AVE","LEXINGTON AVE","NIAGARA ST","HAMILTON ST","Front","1","Syringa reticulata","1.0","Yes","Lawn Strip","9.0"
"POINT (-71.42838013247778 41.810943123092706)","79",,"WARREN ST","WARREN ST","ELMWOOD AVE","DEXTER ST","Front","1","Liquidambar syraciflua","22.0","Yes","Sidewalk Pit","11.0"
"POINT (-71.38901884674178 41.83837068718497)","225",,"FREEMAN PKWY","FREEMAN PKWY","WAYLAND AVE","COLE AVE","Front","1","Malus spp","2.0","Yes","Lawn Strip","2.0"
"POINT (-71.42727714765729 41.80536370583579)","191",,"PRINCETON AVE","PRINCETON AVE","ELMWOOD AVE","BUCKLIN ST","Front","1","Quercus rubra","2.4","Yes","Sidewalk Pit","8.0"
"POINT (-71.41830053019657 41.80319538245525)","770",,"BROAD ST","POTTERS AVE","BAXTER ST","BROAD ST","Side","1","Acer rubrum","4.0","No","Sidewalk Pit","10.0"
"POINT (-71.39750295950786 41.85106590299961)","155","true","SUMMIT AVE","5TH ST","BREWSTER ST","SUMMIT AVE","Side","2","Pyrus calleryana","3.0","Yes","Sidewalk Pit","3.0"
"POINT (-71.43746692526146 41.83557284748657)","465",,"PLEASANT VALLEY PKWY","PLEASANT VALLEY PKWY","ROSEBANK DR","WYNDHAM AVE","Median","7","Salix matsudana","3.0","No","Lawn - No Sidewalk","12.0"
"POINT (-71.38314615774249 41.83187417943568)","287",,"BUTLER AVE","ORIOLE AVE","PATERSON ST","BUTLER AVE","Side","2","Acer rubrum","4.8","No","Lawn Strip","2.0"
"POINT (-71.44559535967834 41.83769013007802)","189",,"HOME AVE","HOME AVE","FARM ST","WHITFORD AVE","Front","2","Fraxinus pennsylvanica","14.4","No","Sidewalk Pit","5.0"
"POINT (-71.41152996409032 41.81978444427114)","138",,"FRIENDSHIP ST","FRIENDSHIP ST","CHESTNUT ST","RICHMOND ST","Front","1","Zelkova serrata","3.5","No","Sidewalk Pit","1.0"
"POINT (-71.42093310845094 41.79635198887564)","162",,"LENOX AVE","LENOX AVE","MELROSE ST","HAMILTON ST","Front","1","Acer ginnala","1.0","Yes","Lawn Strip","9.0"
"POINT (-71.45987594192053 41.81573540634334)","237",,"LOWELL AVE","LOWELL AVE","PLAINFIELD ST","NYE ST","Front","1","Pyrus calleryana","10.0","Yes","Sidewalk Pit","7.0"
"POINT (-71.40057302504816 41.78725268983107)","276",,"WASHINGTON AVE","WASHINGTON AVE","BROAD ST","VIRGINIA AVE","Front","2","Acer platanoides","7.0","Yes","Lawn Strip","10.0"
"POINT (-71.40105526733747 41.821677379328236)","14",,"JOHN ST","JOHN ST","BROOK ST","BENEFIT ST","Front","2","Tilia cordata","3.5","No","Sidewalk Pit","1.0"
"POINT (-71.41238530631827 41.810031389332394)","120",,"DUDLEY ST","DUDLEY ST","GAY ST","PLAIN ST","Front","7","Prunus serrulata 'Kwanzan'","4.0","No","Sidewalk Pit","11.0"
"POINT (-71.44861519175429 41.845042271256496)","25",,"RAVENSWOOD AVE","RAVENSWOOD AVE","MODENA AVE","ARDMORE AVE","Front","1","Fraxinus pennsylvanica","17.0","No","Lawn Strip","5.0"
"POINT (-71.45576763736844 41.832782004149514)","9",,"MARCONI ST","MARCONI ST","BAGALIA RD","DEAD END","Front","1","Malus spp","9.0","Yes","Lawn - No Sidewalk","5.0"
"POINT (-71.42438310968993 41.829393459010554)","405",,"PROMENADE ST","PROMENADE ST","RATHBONE ST","VALLEY ST","Median","2","Pyrus calleryana","3.0","Yes","Sidewalk Pit","12.0"
"POINT (-71.41644476209689 41.818597018527875)","21",,"DAVE GAVITT WAY","FENNER ST","BROAD ST","POND CT","Rear","4","Platanus x acerifolia","28.0","No","Sidewalk Pit","1.0"
"POINT (-71.40381683257222 41.828923160687154)","151",,"MEETING ST","MEETING ST","PROSPECT ST","BROWN ST","Front","1","Acer rubrum","16.7","Yes","Sidewalk Pit","2.0"
"POINT (-71.41866825020215 41.80797542326749)","21",,"WESLEYAN AVE","WESLEYAN AVE","BROAD ST","TAYLOR ST","Front","2","Pyrus calleryana","5.0","Yes","Lawn Strip","11.0"
"POINT (-71.41174923597403 41.8249726111843)","3",,"KENNEDY PLZ","KENNEDY PLZ","EXCHANGE ST","DORRANCE ST","Median","20","Gleditsia triacanthos","4.0","No","Lawn Strip","1.0"
"POINT (-71.45113025671452 41.83756824515393)","401",,"MT PLEASANT AVE","MT PLEASANT AVE","METROPOLITAN RD","WHITFORD AVE","Front","2","Pyrus calleryana","10.0","Yes","Lawn Strip","5.0"
"POINT (-71.4082979022731 41.817141837287615)","70",,"SOUTH ST","SOUTH ST","CHESTNUT ST","RICHMOND ST","Front","1","Zelkova serrata","2.0","No","Sidewalk Pit","1.0"
"POINT (-71.42077166614756 41.778215656336684)","1220",,"ELMWOOD AVE","ELMWOOD AVE","SPOONER ST","SAWYER ST","Front","1","Ulmus parvifolia","8.0","No","Sidewalk Pit","8.0"
"POINT (-71.41748228880797 41.82048380733801)","10",,"GREENE ST","JACKSON WALKWAY","WASHINGTON ST","BROAD ST","Rear","2","Tilia cordata","14.0","No","Lawn - No Sidewalk","1.0"
"POINT (-71.39981474566777 41.82145050991716)","33",,"THAYER ST","THAYER ST","TRANSIT ST","POWER ST","Front","1","Pyrus calleryana","3.75","No","Sidewalk Pit","1.0"
"POINT (-71.44881762063258 41.84361954663932)","15",,"BRENTWOOD AVE","BRENTWOOD AVE","SMITH ST","LOIS AVE","Front","2","Tilia americana","10.0","No","Lawn Strip","5.0"
"POINT (-71.42716544838119 41.821524551860485)","77",,"AMERICA ST","AMERICA ST","FEDERAL ST","BROADWAY","Front","2","Liquidambar syraciflua","19.9","No","Sidewalk Pit","13.0"
"POINT (-71.43756164576725 41.83701703187909)","91",,"ARBOR DR","ARBOR DR","SMITH ST","WYNDHAM AVE","Front","1","Cercis canadensis","2.0","No","Lawn - No Sidewalk","5.0"
"POINT (-71.44147284821283 41.83912991502889)","226",,"RANKIN AVE","RANKIN AVE","WABUN AVE","WHITFORD AVE","Side","2","Prunus spp.","20.0","No","Lawn Strip","5.0"
"POINT (-71.38689922800529 41.83385179033483)","142",,"IRVING AVE","COLE AVE","IRVING AVE","UNIVERSITY AVE","Side","2","Gleditsia triacanthos","14.0","No","Lawn Strip","2.0"
"POINT (-71.42140553602235 41.83719803713701)","169",,"DOUGLAS AVE","WHIPPLE ST","OREGON ST","DOUGLAS AVE","Side","1","Maackia amurensis","2.0","Yes","Sidewalk Pit","12.0"
"POINT (-71.43816354523432 41.834068587554654)","44",,"BILTMORE AVE","BILTMORE AVE","VIEW ST","CHALKSTONE AVE","Front","2","Acer saccharum","7.0","No","Lawn Strip","12.0"
"POINT (-71.42116666392008 41.805386527616236)","52",,"PRINCETON AVE","PRINCETON AVE","UPDIKE ST","BROAD ST","Front","1","Platanus x acerifolia","1.0","Yes","Lawn Strip","11.0"
"POINT (-71.39773445454776 41.839374252176405)","229",,"MORRIS AVE","MORRIS AVE","DOYLE AVE","EMELINE ST","Front","2","Sophora spp.","11.0","No","Lawn Strip","3.0"
"POINT (-71.43492352056178 41.814701526873456)","45",,"SYCAMORE ST","SYCAMORE ST","WESTMINSTER ST","CHAPIN AVE","Front","1","Gleditsia triacanthos","6.5","Yes","Sidewalk Pit","13.0"
"POINT (-71.42205322607971 41.793884461984874)","251",,"WARRINGTON ST","WARRINGTON ST","MELROSE ST","ELMWOOD AVE","Front","1","Acer rubrum","1.0","No","Lawn Strip","9.0"
"POINT (-71.44176918852196 41.83220093786111)","34",,"BERLIN ST","BERLIN ST","CHALKSTONE AVE","ANDEM ST","Front","1","Platanus x acerifolia","2.0","Yes","Sidewalk Pit","6.0"
"POINT (-71.39932333361303 41.830849807682505)","273",,"BOWEN ST","BOWEN ST","BROOK ST","HOPE ST","Front","1","Quercus alba","50.0","No","Sidewalk Pit","2.0"
"POINT (-71.41055162835517 41.81877149115053)","70",,"SHIP ST","BASSETT ST","BASSETT ST","ELBOW ST","Side","5","Ulmus spp.","4.5","No","Sidewalk Pit","1.0"
