"plate_no","year_make","vin_number","days_registered","original_value","tax_exemption_on_original_value","adjusted_net_value","original_tax","value_less_5","new_2017_tax","savings"
"952109","07 HOND","2HGFA16877H505499","152","2948.42","831.00","2117.42","127.05","2801.00","118.20","8.85"
"471200","06 ACUR","JH4KB16516C002969","90","2292.63","492.00","1800.63","108.04","2178.00","101.16","6.88"
"453174","08 VOLV","YV1AS982681071762","366","7674.74","2000.00","5674.74","340.48","7291.00","317.48","23.00"
"61231","04 TOYO","5TEVL52N14Z452516","366","9150.53","2000.00","7150.53","429.03","8693.00","401.60","27.43"
"58093","09 TOYO","4T1BK36B39U344467","366","10674.74","2000.00","8674.74","520.48","10141.00","488.48","32.00"
"XL 383","04 JAGU","SAJEA51C34WD57270","366","4700.00","2000.00","2700.00","162.00","4465.00","147.92","14.08"
"998610","13 AUDI","WAUYGAFC3DN012705","366","35125.26","2000.00","33125.26","1987.52","33369.00","1882.16","105.36"
"472177","02 FORD","1FMZU73E92UA50320","335","3775.79","1831.00","1944.79","116.69","3587.00","105.36","11.33"
"443726","03 LINC","5LMEU78H93ZJ42255","335","5102.11","1831.00","3271.11","196.27","4847.00","180.96","15.31"
"NG 423","11 HOND","2HGFA1F5XBH300211","48","1141.05","262.00","879.05","52.74","1084.00","49.32","3.42"
"UL 693","08 HYUN","KMHFC46F58A316998","366","7474.74","2000.00","5474.74","328.48","7101.00","306.08","22.40"
"485814","07 ACUR","2HNYD28807H529509","182","7906.32","995.00","6911.32","414.68","7511.00","390.96","23.72"
"471846","07 SAAB","YS3EH49G873524276","59","1051.58","322.00","729.58","43.77","999.00","40.64","3.13"
"IG 649","04 HYUN","KMHCF35C24U278926","115","683.16","628.00","55.16","3.31","649.00","0.00","3.31"
"LT 622","90 TOYT","JT2AT86F9L0033372","138","198.95","189.00","9.95","0.60","189.00",,"0.60"
"449249","03 MERZ","WDBUF65J93A324842","236","3981.05","1290.00","2691.05","161.46","3782.00","149.52","11.94"
"871872","04 HOND","5FNRL18874B126524","165","1848.42","902.00","946.42","56.79","1756.00","51.24","5.55"
"903428","07 NISS","JN8AZ08W37W621392","366","8925.26","2000.00","6925.26","415.52","8479.00","388.76","26.76"
"KY 302","07 FORD","1FMEU74E17UB83075","59","1588.42","322.00","1266.42","75.99","1509.00","71.24","4.75"
"494295","97 AUDI","WAUDA88DXVA039570","91","130.53","124.00","6.53","0.39","124.00",,"0.39"
"401417","02 ACUR","19UUA56902A007093","182","2336.84","995.00","1341.84","80.51","2220.00","73.52","6.99"
"452492","02 MAZD","4F2YU09142KM46923","366","3025.26","2000.00","1025.26","61.52","2874.00","52.44","9.08"
"BS 119","99 HOND","1HGCG6675XA049426","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"69907","86 STAR","293833","366","510.53","485.00","25.53","1.53","485.00",,"1.53"
"ED 603","06 HOND","1HGCM56846A140651","366","7150.53","2000.00","5150.53","309.03","6793.00","287.60","21.43"
"489860","03 KIA","KNAFB121835261073","366","2550.53","2000.00","550.53","33.03","2423.00","25.40","7.63"
"DY 958","03 FORD","1FMYU93123KA04085","366","3725.26","2000.00","1725.26","103.52","3539.00","92.36","11.16"
"62203","03 DODG","1D4GP24393B143843","63","550.53","344.00","206.53","12.39","523.00","10.76","1.63"
"TF 455","02 NISS","JN1DA31D22T443191","366","3600.00","2000.00","1600.00","96.00","3420.00","85.20","10.80"
"930","12 FORD","3FADP4EJ8CM117029","366","7350.53","2000.00","5350.53","321.03","6983.00","299.00","22.03"
"NE 726","04 CHEV","3GNFK16T24G137624","366","8474.74","2000.00","6474.74","388.48","8051.00","363.08","25.40"
"482362","08 TOYT","2T1BR32E18C905602","244","4249.47","1333.00","2916.47","174.99","4037.00","162.24","12.75"
"ZF 255","01 HOND","2HGES16591H516543","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"RY 371","04 PONT","1G2JB12F547161175","57","435.79","311.00","124.79","7.49","414.00","6.20","1.29"
"891279","07 TOYO","JTNBE46K573012353","366","7350.53","2000.00","5350.53","321.03","6983.00","299.00","22.03"
"475853","07 FORD","3FAHP08197R118964","366","5674.74","2000.00","3674.74","220.48","5391.00","203.48","17.00"
"463487","08 BUIC","5GAEV23768J103118","244","8767.37","1333.00","7434.37","446.06","8329.00","419.76","26.30"
"470077","02 DODG","2B4GP34372R737668","366","3200.00","2000.00","1200.00","72.00","3040.00","62.40","9.60"
"430212","12 VOLV","YV4940DZ6C2251289","152","8233.68","831.00","7402.68","444.16","7822.00","419.48","24.68"
"OE 566","99 TOYT","2T1BR12E0XC117459","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"GW 525","94 CHEV","2G1FP32S4R2178097","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"332","75 LNDR","91123891C","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"YI 608","11 HYUN","KMHCN4AC7BU574763","366","5850.53","2000.00","3850.53","231.03","5558.00","213.48","17.55"
"468767","04 BMW","WBANA73544B048384","366","6425.26","2000.00","4425.26","265.52","6104.00","246.24","19.28"
"426659","97 TOYT","4T1BG22K4VU059059","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"655543","10 JEEP","1J4AA2D12AL192466","366","16325.26","2000.00","14325.26","859.52","15509.00","810.56","48.96"
"206365","08 FORD","1FTNE24W48DA75080","366","9574.74","2000.00","7574.74","454.48","9096.00","425.76","28.72"
"KV 501","99 CHEV","1GNCS18W8XK227982","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"976563","07 HYUN","5NPET46C77H243677","366","4925.26","2000.00","2925.26","175.52","4679.00","160.76","14.76"
"XR 295","08 JEEP","1J8GN28K68W221282","366","9100.00","2000.00","7100.00","426.00","8645.00","398.72","27.28"
"CE 306","03 FORD","1FAHP56SX3G172994","366","3425.26","2000.00","1425.26","85.52","3254.00","75.24","10.28"
"964559","09 CHEV","1G1AS58H397202379","366","4574.74","2000.00","2574.74","154.48","4346.00","140.76","13.72"
"452698","02 DODG","1B4GP44322B643783","95","830.53","519.00","311.53","18.69","789.00","16.20","2.49"
"1480","13 TOYT","5TFNX4CN8DX021031","62","2218.95","339.00","1879.95","112.80","2108.00","106.16","6.64"
"896306","03 NISS","JN8AZ08W43W207032","69","1122.11","377.00","745.11","44.71","1066.00","41.36","3.35"
"IQ 962","99 AUDI","WAUCB28D5XA234131","22","18.95","18.00","0.95","0.06","18.00",,"0.06"
"KR 114","04 MNNI","WMWRE33474TD81505","191","2531.58","1044.00","1487.58","89.25","2405.00","81.68","7.57"
"124956","01 GMC","1GTFG25M511134446","131","188.42","179.00","9.42","0.57","179.00",,"0.57"
"62386","17 HYUN","5NPE34AF3HH467211","20","1278.95","109.00","1169.95","70.20","1215.00","66.36","3.84"
"62386","05 HYUN","KMHCG35C45U329356","347","2584.21","1896.00","688.21","41.29","2455.00","33.56","7.73"
"349178","03 FORD","1FAFP53U43G207428","268","2013.68","1464.00","549.68","32.98","1913.00","26.96","6.02"
"KA 952","03 FORD","1FMZU73K03UB30726","221","2883.16","1208.00","1675.16","100.51","2739.00","91.88","8.63"
"JE 879","13 TOYT","JTMRFREV9DD033334","27","1373.68","148.00","1225.68","73.54","1305.00","69.44","4.10"
"MO 283","02 BMW","WBAGL634X2DP50912","95","1492.63","519.00","973.63","58.42","1418.00","53.96","4.46"
"JI 558","00 VOLK","9BWGA21J6Y4036364","40","57.89","55.00","2.89","0.17","55.00",,"0.17"
"ID 165","03 BUIC","2G4WS52J631293799","314","2616.84","1716.00","900.84","54.05","2486.00","46.20","7.85"
"ID 142","02 MERC","4M2ZU86K02UJ34709","314","3346.32","1716.00","1630.32","97.82","3179.00","87.80","10.02"
"CQ 280","07 HOND","JHLRE48577C068808","55","1498.95","301.00","1197.95","71.88","1424.00","67.40","4.48"
"ID 900","05 SUZI","KL5JD56Z85K078247","321","2170.53","1754.00","416.53","24.99","2062.00","18.48","6.51"
"LZ 340","03 TOYT","JTEGF21A330100156","122","2457.89","667.00","1790.89","107.45","2335.00","100.08","7.37"
"357402","09 TOYT","5TDZK23CX9S230061","41","1055.79","224.00","831.79","49.91","1003.00","46.76","3.15"
"IF 143","93 HOND","1HGCB7650PA124679","87","125.26","119.00","6.26","0.38","119.00",,"0.38"
"999016","15 DODG","3C4PDCBG9FT599443","244","11300.00","1333.00","9967.00","598.02","10735.00","564.12","33.90"
"481027","05 DODG","2D8GP44L55R286156","334","3832.63","1825.00","2007.63","120.46","3641.00","108.96","11.50"
"114353","98 FORD","1FTZX1725WKA26865","272","391.58","372.00","19.58","1.17","372.00",,"1.17"
"BH 113","14 TOYT","2T3BFREV4EW127823","341","17143.16","1863.00","15280.16","916.81","16286.00","865.40","51.41"
"DY 581","11 TOYT","4T1BF3EK9BU682452","129","3560.00","705.00","2855.00","171.30","3382.00","160.64","10.66"
"IP 938","99 HOND","1HGCG1653XA032318","298","428.42","407.00","21.42","1.29","407.00",,"1.29"
"IB 699","13 LEXS","JTHBK1GG8D2032196","284","17730.53","1552.00","16178.53","970.71","16844.00","917.52","53.19"
"86532","06 HAUL","16HCB10166P059311","130","89.47","85.00","4.47","0.27","85.00",,"0.27"
"LR 170","02 JEEP","1J4GW48S12C106737","130","1597.89","710.00","887.89","53.27","1518.00","48.48","4.79"
"417887","08 VW","3VWRJ71K08M149821","41","666.32","224.00","442.32","26.54","633.00","24.56","1.98"
"73108","16 FORD","1FT8W3BT9GEA54890","103","10412.63","563.00","9849.63","590.98","9892.00","559.76","31.22"
"443644","05 DODG","1D4HB48D95F590380","366","6774.74","2000.00","4774.74","286.48","6436.00","266.16","20.32"
"PB 607","01 VOLK","WVWLH63B81E003366","37","53.68","51.00","2.68","0.16","51.00",,"0.16"
"GV 310","10 NISS","1N4AA5AP9AC809383","65","2024.21","355.00","1669.21","100.15","1923.00","94.08","6.07"
"GV 310","96 ACUR","JH4UA2652TC022595","302","434.74","413.00","21.74","1.30","413.00",,"1.30"
"467240","05 HOND","5FNRL38405B403833","12","200.00","66.00","134.00","8.04","190.00","10.00",
"HN 571","04 JEEP","1J4GL48K64W264386","222","2866.32","1213.00","1653.32","99.20","2723.00","90.60","8.60"
"CZ 929","01 LINC","1LNHM86S71Y660324","55","78.95","75.00","3.95","0.24","75.00",,"0.24"
"44895","09 KYMC","RFBB1A04X9B521049","186","953.68","906.00","47.68","2.86","906.00",,"2.86"
"IK 632","16 KIA","KNDJN2A28G7249309","286","10588.42","1563.00","9025.42","541.53","10059.00","509.76","31.77"
"6681","98 HOND","1HGCG2251WA027483","211","303.16","288.00","15.16","0.91","288.00",,"0.91"
"JH 655","10 TOYT","2T1BU4EE7AC294254","202","4263.16","1104.00","3159.16","189.55","4050.00","176.76","12.79"
"JH 655","04 TOYT","4T1BE32K54U860965","69","966.32","377.00","589.32","35.36","918.00","32.48","2.88"
"AZ 289","13 NISS","1N4AL3APXDN428617","297","9210.53","1623.00","7587.53","455.25","8750.00","427.64","27.61"
"749142","07 HOND","JHLRE48597C063688","366","9974.74","2000.00","7974.74","478.48","9476.00","448.56","29.92"
"63213","13 HMT","6321321068","366","466.32","443.00","23.32","1.40","443.00",,"1.40"
"63404","13 HMT","6340421008","366","466.32","443.00","23.32","1.40","443.00",,"1.40"
"89399","02 FORD","2FTRX08L22CA22451","366","7425.26","2000.00","5425.26","325.52","7054.00","303.24","22.28"
"468647","07 SUBA","4S4BP61C376330945","366","7374.74","2000.00","5374.74","322.48","7006.00","300.36","22.12"
"755163","11 TOYT","4T4BF3EKXBR194942","366","10100.00","2000.00","8100.00","486.00","9595.00","455.72","30.28"
"LW 740","10 HON","1HGCP2F41AA166104","366","9825.26","2000.00","7825.26","469.52","9334.00","440.04","29.48"
"473822","06 MNNI","WMWRC33556TK71907","366","4850.53","2000.00","2850.53","171.03","4608.00","156.48","14.55"
"441732","13 TOYT","JTEBU5JR6D5127847","366","28650.53","2000.00","26650.53","1599.03","27218.00","1513.08","85.95"
"776963","12 NISS","3N1BC1CPXCK289676","366","7200.00","2000.00","5200.00","312.00","6840.00","290.40","21.60"
"471667","14 CHEV","2G1125S38E9109315","91","4488.42","497.00","3991.42","239.49","4264.00","226.04","13.45"
"ZL  68","13 MERZ","4JGDA2EB3DA197309","366","29150.53","2000.00","27150.53","1629.03","27693.00","1541.60","87.43"
"ZB 506","06 TOYT","JTEHD21A060041095","366","9900.00","2000.00","7900.00","474.00","9405.00","444.32","29.68"
"ZJ 240","01 KIA","KNAFB121315080699","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"480853","14 HOND","2HKRM4H74EH612166","366","21025.26","2000.00","19025.26","1141.52","19974.00","1078.44","63.08"
"29140","13 HARL","1HD1GV413DC331500","366","9060.00","2000.00","7060.00","423.60","8607.00","396.44","27.16"
"3777","13 BMW","WBAUN1C54DVR00633","366","19174.74","2000.00","17174.74","1030.48","18216.00","972.96","57.52"
"LY 376","02 TOYO","4T1BE32K62U616870","366","4425.26","2000.00","2425.26","145.52","4204.00","132.24","13.28"
"476066","10 DODG","2B3CA3CVXAH203172","244","5967.37","1333.00","4634.37","278.06","5669.00","260.16","17.90"
"113478","12 GMC","1GTN2TEA4CZ254572","366","17425.26","2000.00","15425.26","925.52","16554.00","873.24","52.28"
"578344","06 JEEP","1J4GL48K86W265168","31","514.74","169.00","345.74","20.74","489.00","19.20","1.54"
"436293","05 HOND","2HKYF18635H543840","366","8600.00","2000.00","6600.00","396.00","8170.00","370.20","25.80"
"476063","09 TOYO","4T1BE46K49U413812","366","8325.26","2000.00","6325.26","379.52","7909.00","354.56","24.96"
"VS 460","13 TOYT","JTDKN3DU3D5565246","366","13900.00","2000.00","11900.00","714.00","13205.00","672.32","41.68"
"730984","06 VOLK","3VWSF71K06M627686","366","4425.26","2000.00","2425.26","145.52","4204.00","132.24","13.28"
"613977","04 HOND","JHMES96624S000378","366","3474.74","2000.00","1474.74","88.48","3301.00","78.08","10.40"
"863313","97 TOYT","2T1BB02E6VC202205","20","28.42","27.00","1.42","0.09","27.00",,"0.09"
"13991","02 GMC","1GKDT13S222467802","77","1014.74","1000.00","14.74","0.88","964.00",,"0.88"
"US 250","11 VOLK","WVWMP7ANXBE705376","366","9250.53","2000.00","7250.53","435.03","8788.00","407.28","27.75"
"KW 495","99 TOYT","2T1BR18E7XC210146","186","267.37","254.00","13.37","0.80","254.00",,"0.80"
"TF 998","10 HOND","5J6RE4H53AL093509","366","12150.53","2000.00","10150.53","609.03","11543.00","572.60","36.43"
"88049","01 FORD","1FMZU77E61UB33146","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"470471","03 HOND","SHSRD78843U152621","366","5700.00","2000.00","3700.00","222.00","5415.00","204.92","17.08"
"443647","00 VOLV","YV1NC56D5YJ009555","195","280.00","266.00","14.00","0.84","266.00",,"0.84"
"M  337","08 GMC","1GKEV33748J185178","366","13100.00","2000.00","11100.00","666.00","12445.00","626.72","39.28"
"TZ 679","11 HOND","2HGFA1F69BH509285","366","8700.00","2000.00","6700.00","402.00","8265.00","375.92","26.08"
"476962","98 HOND","1HGCG1654WA051202","274","393.68","374.00","19.68","1.18","374.00",,"1.18"
"CT 181","13 SUBA","4S4BRDPC6D2294595","366","22650.53","2000.00","20650.53","1239.03","21518.00","1171.08","67.95"
"83440","00 FORD","1FTZR15V3YTA43152","57","82.11","78.00","4.11","0.25","78.00",,"0.25"
"303327","06 LEXU","JTHCK262765002009","366","9325.26","2000.00","7325.26","439.52","8859.00","411.56","27.96"
"GZ 999","11 TOYO","4T1BF3EK0BU152029","246","6788.42","1344.00","5444.42","326.67","6449.00","306.32","20.35"
"84651","01 DODG","1B7GG2ANX1S173675","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"54416","91 CHEV","2GCEK19H0M1236625","362","521.05","495.00","26.05","1.56","495.00",,"1.56"
"484791","01 NISS","3N1BB51D61L125559","244","350.53","333.00","17.53","1.05","333.00",,"1.05"
"MX 984","15 AUDI","WA1CFAFP8FA095099","47","4112.63","257.00","3855.63","231.34","3907.00","219.00","12.34"
"362898","97 AUDI","WAUEA88D5VA087689","34","48.42","46.00","2.42","0.15","46.00",,"0.15"
"KRISEE","13 HOND","2HGFB2F86DH501460","296","10372.63","1617.00","8755.63","525.34","9854.00","494.24","31.10"
"HQ 458","99 JEEP","1J4FY49S9XP420625","353","507.37","482.00","25.37","1.52","482.00",,"1.52"
"444937","01 LEX","JTJHF10U810183088","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"KN 584","00 MERC","1MEFM55S4YA622224","159","228.42","217.00","11.42","0.69","217.00",,"0.69"
"559207","09 TOYT","JTDBL40E59J013126","237","4468.42","1295.00","3173.42","190.41","4245.00","177.00","13.41"
"74870","03 FORD","1FTRX08W73KD65621","352","7934.74","1923.00","6011.74","360.70","7538.00","336.92","23.78"
"KV 463","06 VOLK","3VWRF31Y06M309823","80","1065.26","437.00","628.26","37.70","1012.00","34.52","3.18"
"531878","16 TOYT","2T3JFREVXGW492313","139","11251.58","760.00","10491.58","629.49","10689.00","595.76","33.73"
"IV 624","12 FIAT","3C3CFFCR5CT120154","180","3774.74","984.00","2790.74","167.44","3586.00","156.12","11.32"
"LK 492","10 BMW","WBXPC9C41AWE79249","180","6885.26","984.00","5901.26","354.08","6541.00","333.44","20.64"
"MA 221","13 MAZD","JM1BL1TGXD1788798","123","3201.05","672.00","2529.05","151.74","3041.00","142.16","9.58"
"20135","07 TOYT","4T1BE46K37U713421","19","382.11","104.00","278.11","16.69","363.00","15.56","1.13"
"KA 921","03 HOND","2HGES15573H566412","208","2273.68","1137.00","1136.68","68.20","2160.00","61.40","6.80"
"104474","03 FORD","1FTRX08W93KC67965","229","5162.11","1251.00","3911.11","234.67","4904.00","219.20","15.47"
"81267","93 ESCO","405120CFZPM000249","229","329.47","313.00","16.47","0.99","313.00",,"0.99"
"ZR 385","16 FORD","3FA6P0LU3GR100730","352","18562.11","1923.00","16639.11","998.35","17634.00","942.68","55.67"
"NQ 808","05 CHEV","1G1ZS52F05F154348","24","242.11","131.00","111.11","6.67","230.00","10.00",
"HI 942","12 GMC","1GKKVTED8CJ142901","333","22358.95","1820.00","20538.95","1232.34","21241.00","1165.28","67.06"
"HI 946","15 VOLK","1VWBT7A39FC077844","333","16923.16","1820.00","15103.16","906.19","16077.00","855.44","50.75"
"301919","02 HOND","1HGCG22512A023461","256","3147.37","1399.00","1748.37","104.90","2990.00","95.48","9.42"
"567099","03 CHEV","1G1ND52J43M573082","272","2044.21","1486.00","558.21","33.49","1942.00","27.36","6.13"
"MC 147","03 MERZ","WDBTJ65JX3F015491","115","1760.00","628.00","1132.00","67.92","1672.00","62.64","5.28"
"JA 188","00 CHEV","1G1ND52J3Y6280818","254","365.26","347.00","18.26","1.10","347.00",,"1.10"
"IV 808","04 INFI","JNKDA31A74T205650","291","4193.68","1590.00","2603.68","156.22","3984.00","143.64","12.58"
"EU 710","04 NISS","1N4BA41E64C925397","30","378.95","164.00","214.95","12.90","360.00","11.76","1.14"
"MW 290","04 NISS","1N4BA41E64C925397","40","505.26","219.00","286.26","17.18","480.00","15.68","1.50"
"JR 276","01 TOYT","1NXBR12E51Z419951","251","361.05","343.00","18.05","1.08","343.00",,"1.08"
"347214","08 MAZD","JM3TB38VX80140861","47","1306.32","257.00","1049.32","62.96","1241.00","59.04","3.92"
"KG 978","02 HOND","SHSRD78842U009635","212","3055.79","1158.00","1897.79","113.87","2903.00","104.72","9.15"
"2666","11 TOYT","5TFUU4EN4BX021039","366","19374.74","2000.00","17374.74","1042.48","18406.00","984.36","58.12"
"BJ 384","04 MERC","4M2ZU86K94UJ14431","240","3262.11","1311.00","1951.11","117.07","3099.00","107.28","9.79"
"560915","12 HOND","JHMGE8H52CC013073","251","7201.05","1372.00","5829.05","349.74","6841.00","328.16","21.58"
"BN 379","00 NISS","1N4DL01D3YC235812","66","94.74","90.00","4.74","0.28","90.00",,"0.28"
"IL 138","03 CHEV","1G1JC12F037325805","284","1997.89","1552.00","445.89","26.75","1898.00","20.76","5.99"
"NK 990","02 HOND","2HGES16572H549106","10","102.11","55.00","47.11","2.83","97.00","10.00",
"648471","16 HOND","5FNYF6H55GB055074","332","32769.47","1814.00","30955.47","1857.33","31131.00","1759.04","98.29"
"IN 308","05 MAZD","JM1BK343151271563","312","4091.58","1705.00","2386.58","143.19","3887.00","130.92","12.27"
"KP 867","06 HOND","2HKYF18486H502684","312","7927.37","1705.00","6222.37","373.34","7531.00","349.56","23.78"
"725310","13 HYUN","5NPEB4AC8DH702513","121","3802.11","661.00","3141.11","188.47","3612.00","177.08","11.39"
"316263","05 HOND","1HGCM72715A008289","161","2463.16","880.00","1583.16","94.99","2340.00","87.60","7.39"
"TP 526","99 TOYT","4T1BF18B1XU316234","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"82839","97 TOYT","JT4UN22DXV0042312","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"432905","02 TOYO","2T1BR12E72C582944","366","3300.00","2000.00","1300.00","78.00","3135.00","68.12","9.88"
"455122","03 BMW","5UXFA53523LW26615","366","6450.53","2000.00","4450.53","267.03","6128.00","247.68","19.35"
"447494","00 MERZ","WDBNG75J7YA116635","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"557796","13 TOYT","2T3ZFREV9DW019064","207","9204.21","1131.00","8073.21","484.39","8744.00","456.80","27.59"
"998383","05 CHRY","2C4GP44RX5R538860","366","3200.00","2000.00","1200.00","72.00","3040.00","62.40","9.60"
"FL 403","13 KIA","5XXGN4A70DG232623","366","13925.26","2000.00","11925.26","715.52","13229.00","673.76","41.76"
"493501","06 CADI","1G6KD57Y96U166740","309","5382.11","1689.00","3693.11","221.59","5113.00","205.44","16.15"
"92745","06 TOYT","5TBDT48176S534186","366","16925.26","2000.00","14925.26","895.52","16079.00","844.76","50.76"
"QX 905","10 CHEV","1GNLVGED5AJ222474","366","13125.26","2000.00","11125.26","667.52","12469.00","628.16","39.36"
"448613","97 TOYT","2T1BA02E0VC167647","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"XC 223","13 HYUN","KM8JUCAC0DU678616","366","15225.26","2000.00","13225.26","793.52","14464.00","747.84","45.68"
"QV 656","07 TOYO","JTNBB46K373012294","366","7050.53","2000.00","5050.53","303.03","6698.00","281.88","21.15"
"890795","13 HOND","1HGCR2F86DA123119","366","16950.53","2000.00","14950.53","897.03","16103.00","846.20","50.83"
"492092","07 TOYT","JTKDE177470204816","31","464.21","169.00","295.21","17.71","441.00","16.32","1.39"
"796442","10 SUBA","JF1GH6D65AH817689","263","7204.21","1437.00","5767.21","346.03","6844.00","324.44","21.59"
"78259","99 MAZ","4F4ZR17X5XTM02358","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"465098","05 GMC","1GKEK63U15J116606","366","11225.26","2000.00","9225.26","553.52","10664.00","519.84","33.68"
"25078","03 CHEV","1GNGG29U031154080","366","7100.00","2000.00","5100.00","306.00","6745.00","284.72","21.28"
"796009","01 FORD","1FMYU03111KA15622","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"25126","81 HOND","JH2DA0104BS121853","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"450446","98 HOND","JHLRD1861WC070501","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"7472","06 HYUN","KM8JM12B06U456364","59","817.89","322.00","495.89","29.75","777.00","27.32","2.43"
"437356","09 VOLK","3VWRZ71K49M156054","366","5900.00","2000.00","3900.00","234.00","5605.00","216.32","17.68"
"15472","09 NISS","JN8AZ18W49W145789","366","9925.26","2000.00","7925.26","475.52","9429.00","445.76","29.76"
"434060","13 TOYO","JTMDFREV9D5001567","366","21000.00","2000.00","19000.00","1140.00","19950.00","1077.00","63.00"
"715417","06 VOLV","YV4SZ592361208857","283","6070.53","1546.00","4524.53","271.47","5767.00","253.28","18.19"
"485313","06 PORS","WP1AA29P76LA22029","366","10600.00","2000.00","8600.00","516.00","10070.00","484.20","31.80"
"432393","04 NISS","1N4BA41E84C830839","182","2300.00","995.00","1305.00","78.30","2185.00","71.40","6.90"
"GQ 672","92 TOYT","4T1SK13EXNU035057","182","262.11","249.00","13.11","0.79","249.00",,"0.79"
"784116","13 HOND","JHMGE8G32DC049783","366","10325.26","2000.00","8325.26","499.52","9809.00","468.56","30.96"
"RU 217","09 TOYT","4T4BE46K19R071886","366","8325.26","2000.00","6325.26","379.52","7909.00","354.56","24.96"
"KO 187","10 SAAB","YS3FC4BY9A1609698","366","12674.74","2000.00","10674.74","640.48","12041.00","602.48","38.00"
"93187","14 HOND","5J6RM4H77EL004504","33","1895.79","180.00","1715.79","102.95","1801.00","97.28","5.67"
"81077","05 NISS","1N6AD07W45C413805","366","11374.74","2000.00","9374.74","562.48","10806.00","528.36","34.12"
"472701","07 MAZD","JM3ER29L170107211","366","5650.53","2000.00","3650.53","219.03","5368.00","202.08","16.95"
"420475","04 NISS","JN8AZ08W44W322120","305","5458.95","1667.00","3791.95","227.52","5186.00","211.16","16.36"
"433849","96 TOYT","JT2BG12K8T0370893","27","38.95","37.00","1.95","0.12","37.00",,"0.12"
"KX 722","01 HOND","2HGES16571H501958","184","264.21","251.00","13.21","0.79","251.00",,"0.79"
"975874","02 HOND","JHLRD78892C068624","92","1326.32","503.00","823.32","49.40","1260.00","45.44","3.96"
"UW 337","13 MAZD","JM1BL1L85D1709756","305","10229.47","1667.00","8562.47","513.75","9718.00","483.08","30.67"
"5032","06 FORD","1FTPW14516KB62936","366","14150.53","2000.00","12150.53","729.03","13443.00","686.60","42.43"
"470245","11 CHEV","KL1TD5DE9BB209093","366","4950.53","2000.00","2950.53","177.03","4703.00","162.20","14.83"
"439741","99 TOYO","4T1BF18B1XU306934","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"40085","07 CHEV","1GCGG25V771165302","366","8374.74","2000.00","6374.74","382.48","7956.00","357.36","25.12"
"497483","05 HOND","2HGES16625H556073","335","4462.11","1831.00","2631.11","157.87","4239.00","144.48","13.39"
"QY 192","13 CHEV","1G11E5SA4DF317817","292","10391.58","1596.00","8795.58","527.73","9872.00","496.56","31.17"
"795628","07 HOND","2HGFA16587H312199","264","4814.74","1443.00","3371.74","202.30","4574.00","187.88","14.42"
"457080","06 HYUN","KMHFC46F56A136384","57","891.58","311.00","580.58","34.83","847.00","32.16","2.67"
"677267","06 JEEP","1J4GR48K56C284020","366","8500.00","2000.00","6500.00","390.00","8075.00","364.52","25.48"
"470218","02 BUIC","3G5DB03E62S573944","366","3950.53","2000.00","1950.53","117.03","3753.00","105.20","11.83"
"607465","12 HOND","1HGCP3F86CA037240","366","13150.53","2000.00","11150.53","669.03","12493.00","629.60","39.43"
"120011","95 FORD","1FTCR10A8STA43231","199","286.32","272.00","14.32","0.86","272.00",,"0.86"
"JELAY","08 ACUR","2HNYD28248H506148","275","10650.53","1503.00","9147.53","548.85","10118.00","516.92","31.93"
"620990","98 TOYT","2T1BR12E7WC070428","20","28.42","27.00","1.42","0.09","27.00",,"0.09"
"GH 611","05 TOYT","4T1BK36B25U016340","20","422.11","109.00","313.11","18.79","401.00","17.52","1.27"
"NO 289","06 NISS","1N4BA41E06C827534","30","454.74","164.00","290.74","17.44","432.00","16.08","1.36"
"LP 476","14 NISS","1N4AL3AP9EC169115","121","4265.26","661.00","3604.26","216.26","4052.00","203.48","12.78"
"563492","06 CHRY","2A8GF78446R638823","61","1170.53","333.00","837.53","50.25","1112.00","46.76","3.49"
"LD 908","06 CHRY","2A4GM68466R602021","156","2387.37","852.00","1535.37","92.12","2268.00","84.96","7.16"
"IB 880","99 HOND","2HGEJ644XXH111083","177","254.74","242.00","12.74","0.76","242.00",,"0.76"
"MW 319","99 HOND","2HGEJ644XXH111083","39","55.79","53.00","2.79","0.17","53.00",,"0.17"
