"department","employee_title","minimum_salary","maximum_salary"
"Roger Williams Park Services","Laborer","36146.03","36146.23"
"Roger Williams Park Services","Limited Security Officer","42076.94","42076.94"
"Roger Williams Park Services","Mgr. of Events Facilities","64018.32","64018.32"
"Roger Williams Park Services","Museum Educator","45777.73","45777.73"
"Roger Williams Park Services","Planetarium Programmer","35127.26","35127.26"
"Roger Williams Park Services","Port Security Officer","48472.74","48473.15"
"Roger Williams Park Services","Security Officer","42076.94","48472.74"
"Superintendent","City Forester","77349.82","77349.82"
"Superintendent","Clerk Steno III Parks","37391.9","37391.9"
"Superintendent","Dept Switchboard Operator","34309.37","34309.37"
"Superintendent","Deputy Dir Of Public Parks","103599.31","103599.31"
"Superintendent","Fiscal Adviser","67388.05","67388.05"
"Superintendent","Pay/Pers Asst Parks","46171.94","46171.94"
"Superintendent","Secretary To Supt","49908.95","49908.95"
"Superintendent","Senior Secretary","38818.42","38818.42"
"Superintendent","Superintendent of the Parks","108837.82","108837.82"
"Superintendent","Supv. of Specifications","63652.32","63652.32"
"Superintendent","Supv-Proj Plan","52810.16","52810.16"
"Traffic Engineering","Limited Clerk II","24223.11","24223.11"
"Traffic Engineering","Traffic Sign Maint Man","41509.73","41525.12"
"Traffic Engineering","Traffic Sign Maint. Man Limite","41519.71","41519.71"
"Traffic Engineering","Traffic Signal Electrician","60294","60294"
"Traffic Engineering","Traffic Signal Maint Foreman","68276.83","68276.83"
"Traffic Engineering","Traffic Systems Analyst","38894.12","38894.12"
"Treasury","Admin Asst","52801.11","52801.11"
"Treasury","Chief Clerk - Treasury","46506.64","46506.64"
"Treasury","City Treasurer","58267.12","58267.12"
"Treasury","Clerk IV","34547.24","34547.24"
"Treasury","Senior Auditor/Analyst","75104.3","75104.3"
"Vital Statistics","Chief Clerk VItal Statistics","49909.5","49909.5"
"Vital Statistics","Clerk Bilingual /Vital Records","36123","36123"
"Vital Statistics","Sec. Translator/HRC","39469.25","39469.25"
"Water Supply Board","Chairman, WSB","3999.96","3999.96"
"Water Supply Board","Member, WSB","3499.92","3500.04"
"WSB Chief Engineer","Admin Asst WSB","61779.72","61779.72"
"WSB Chief Engineer","Confidential Assistant","55463.77","55463.77"
"WSB Chief Engineer","Dep Gen Mgr Of Operations","112744.09","112744.09"
"WSB Chief Engineer","Deputy Gen Mgr Admin","112744.09","112744.09"
"WSB Chief Engineer","General Manager, WSB","154991.20","154991.20"
"WSB Chief Engineer","Senior Manager Personnel","88087.45","88087.45"
"WSB Chief Engineer","Sr Administrative Clerk","38819.14","41824.15"
"WSB Commercial Services","Account Collector","49904.58","49904.58"
"WSB Commercial Services","Admin Asst WSB","61783.36","61783.36"
"WSB Commercial Services","Clerical Coordinator","42662.07","42662.07"
"WSB Commercial Services","Collection Officer","50760.71","50760.71"
"WSB Commercial Services","Limited CDL Meter Reader I","37410.67","37410.67"
"WSB Commercial Services","LTD Meter Reader I","33670","37410.67"
"WSB Commercial Services","Ltd Sr. Admin. Clk.","34642.61","34642.61"
"WSB Commercial Services","Meter Mgr - Commercial Service","64964.35","64964.35"
"WSB Commercial Services","Meter Reader I","37410.67","37410.67"
"WSB Commercial Services","Meter Reader Tech","41569.01","41569.83"
"WSB Commercial Services","Meter Shop Technician","43698.1","43698.1"
"WSB Commercial Services","Plummer WSB","85289.15","85289.15"
"WSB Commercial Services","Sr Administrative Clerk","39475.25","41825.24"
"WSB Commercial Services","Sr Meter Reader Tech","43969.95","43970.58"
"WSB Commercial Services","Sr. Manager,WSB","84763.77","84763.77"
"WSB Commercial Services","Sr.Supv.Commerical Services","59975.92","59984.47"
"WSB Commercial Services","Supv. Commercial Services","48340.29","48340.29"
"WSB Commercial Services","Water Supply Bd Clerk","28745.43","28745.43"
"WSB Finance","Clerical Coordinator","43526.39","43526.39"
"WSB Finance","Communication Coordinator","57128.53","57128.53"
"WSB Finance","Controller Water Supply Board","73772.24","73772.24"
"WSB Finance","Ltd Sr. Admin. Clk.","38817.32","38817.32"
"WSB Finance","LTD WSB Clerk","27612.86","27612.86"
"WSB Finance","Mgr Of Training & Communicat.","78262.73","78262.73"
"WSB Finance","Sr Administrative Clerk","41824.15","41825.59"
"WSB Finance","Sr. Budget&Planning Analyst","59984.29","59984.29"
"WSB Finance","Sr. Director-Administration","111585.66","111585.66"
"WSB Finance","Sr. Mgr. of Budget & Regularto","78265.64","78265.64"
"WSB Finance","Staff Acct","47874.55","47874.55"
"WSB Finance","Supervisor Of Acct - WSB","65543.48","65545.48"
"WSB Planning & Engineering","Aide To Chief Engineer","47352.03","47352.03"
"WSB Planning & Engineering","Eng Proj Coordinator (Wsb)","49346.93","59984.29"
"WSB Planning & Engineering","Engineer WSB","61871.26","71622.82"
"WSB Planning & Engineering","Engineering Sys.Analyst","65546.75","65546.75"
"WSB Planning & Engineering","Engr Aide III","33549.69","33549.69"
"WSB Planning & Engineering","Equip.Mech.(Flushing Tech.LTD","46468.66","46468.66"
"WSB Planning & Engineering","GIS Specialist/ WSB","60280.04","60280.04"
"WSB Planning & Engineering","Limited Engineering Aide III","33551.51","39471.61"
"WSB Planning & Engineering","Ltd Sr. Admin. Clk.","38817.32","38817.32"
"WSB Planning & Engineering","Manager Eng. Customer Service","71623.00","71623.00"
"WSB Planning & Engineering","Manager of Records","66913.94","66913.94"
"WSB Planning & Engineering","Manager-Planning & Development","67609.36","67609.36"
"WSB Planning & Engineering","Mgr Capital Program","78262.37","78262.37"
"WSB Planning & Engineering","Mgr Of Constr Ser","67607.53","67607.53"
"WSB Planning & Engineering","Prin.Engineer WSB","75985","75985"
"WSB Planning & Engineering","Real Estate Specialist","65544.39","65544.39"
"WSB Planning & Engineering","Senior Draftsman","47028.07","47028.07"
"WSB Planning & Engineering","Sr Admin Asst","60605.82","60605.82"
"WSB Planning & Engineering","Sr Administrative Clerk","41824.15","41824.15"
"WSB Planning & Engineering","Sr. Director of Operations","106272.53","106272.53"
"WSB Planning & Engineering","Sr. Manager,WSB","89002.19","89002.19"
"WSB Planning & Engineering","Utility Worker","35863.78","35863.78"
"WSB Support Services","Aide To Chief Engineer","47333.65","47333.65"
"WSB Support Services","Bi-lingual WSB Clerk","29361.88","29361.88"
"WSB Support Services","Dept Switchboard Operator","35998.69","35998.69"
"WSB Support Services","Divison Manager","79076.27","79076.27"
"WSB Support Services","Inventory/Material Handler","39628.99","39628.99"
"WSB Support Services","Limited Confidential Asst.","50314.26","50314.26"
"WSB Support Services","Ltd Sr. Admin. Clk.","38817.32","38817.32"
"WSB Support Services","Manager of Saftey & Risk","69536.56","69536.56"
"WSB Support Services","Manager of Security","69536.92","69536.92"
"WSB Support Services","Mgr Intergovernmental Rel","73771.14","73771.14"
"WSB Support Services","Purchasing Agent II","47873.64","47873.64"
"WSB Support Services","Senior Equip Mech","47762.42","47763.46"
"WSB Support Services","Sr Admin Asst","63637.03","63637.76"
"WSB Support Services","Sr Administrative Clerk","41824.15","41824.15"
"WSB Support Services","Supv Of Facilities & Equip","56620.38","65545.48"
"WSB Support Services","Utility Maint Worker","32260.18","36146.23"
"WSB Support Services","Utility Maintenance Repairman","43682.5","43682.5"
"WSB Support Services","Water Supply Bd Clerk","28748.36","28748.36"
"WSB T & D","Admin Asst WSB","56037.44","56037.44"
"WSB T & D","Asst. Dispatcher,WSB","42183.86","42183.86"
"WSB T & D","CDL Utility Worker in Training","32543.06","32543.06"
"WSB T & D","Clerical Coordinator","43526.39","43526.39"
"WSB T & D","Dig Safe Worker","45793.9","45794.11"
"WSB T & D","Eng Proj Coordinator (Wsb)","49346.93","49346.93"
"WSB T & D","Engineer WSB","71622.82","71622.82"
"WSB T & D","Heavy Equip Operator","47375.95","47376.37"
"WSB T & D","LTD Water Systems Mechanic","49035.17","49035.17"
"WSB T & D","Manager-Distribution(WSB)","73773.64","73773.64"
"WSB T & D","Mgr Of Distribution","78263.95","78264.55"
"WSB T & D","Schedule/Dispatcher WSB","43365.91","43365.91"
"WSB T & D","Sr Administrative Clerk","41825.24","41825.24"
"WSB T & D","Sr. Manager,WSB","84763.77","84763.77"
"WSB T & D","Supv - Water Maint Crew","58320.5","67513.25"
"WSB T & D","Utility Laborer","36146.23","36146.23"
"WSB T & D","Utility Worker","35863.78","42184.48"
"WSB T & D","Water System Mechanic","49034.96","49035.58"
"WSB Water Supply","Divison Manager","79076.27","79076.27"
"WSB Water Supply","Electrical Tech","67860","67860"
"WSB Water Supply","Environ Resource Mgr.","78243.62","78243.62"
"WSB Water Supply","Forest Supervisor","61782.99","61782.99"
"WSB Water Supply","Instrumentation Tech.","50596.83","50596.83"
"WSB Water Supply","Jr Chemist II","49907.13","49907.13"
"WSB Water Supply","Junior Chemist I Wsb","37328.93","37328.93"
"WSB Water Supply","Lab Supv. Bacteriology","67510.72","67510.72"
"WSB Water Supply","Lab Supv. Chem","67510.72","67510.72"
"WSB Water Supply","Limited Sanitarian","42797.12","42797.12"
"WSB Water Supply","Limited Watershed Inspector","38938.22","38938.22"
"WSB Water Supply","LTD. Instrumentation Tech.","50597.04","50597.04"
"WSB Water Supply","Mgr Plant Oper","74537.91","74537.91"
"WSB Water Supply","Mgr Water Lab","78262.37","78262.37"
"WSB Water Supply","Rain Gauge Keeper","1092","1092"
"WSB Water Supply","Sanitarian","46174.86","46175.77"
"WSB Water Supply","Senior Equip Mech","47762.42","47762.42"
"WSB Water Supply","Sr Admin Asst","63637.76","63637.76"
"WSB Water Supply","Sr Administrative Clerk","41824.15","41824.15"
"WSB Water Supply","Sr Waterplant Mech","50594.75","50596.83"
"WSB Water Supply","Sr. Manager,WSB","80727.74","80727.74"
"WSB Water Supply","Sr. Watershed Maint. Operator","44760.77","44761.18"
"WSB Water Supply","Sr.Forest Supv. WSB","65544.39","65544.39"
"WSB Water Supply","Supv-Water Plant","59453.03","65544.39"
"WSB Water Supply","Water Plant Mech.","38616.86","45431.78"
"WSB Water Supply","Water Supply Bd Clerk","34786.93","34786.93"
"WSB Water Supply","Water Treatment Op. Class III","43267.95","48481.89"
"WSB Water Supply","Water Treatment Operator","31842.51","31842.51"
"WSB Water Supply","Watershed Grnd General Foreman","51940.93","51940.93"
"WSB Water Supply","Watershed Inspector","33095.71","38939.06"
"WSB Water Supply","Watershed Maint. Operator","33616.33","37644.05"
"WSB Water Supply","WTO in Training III","47401.95","47402.78"
"Zoning Board of Review","Aux. Member - Zoning Board","2499.96","2499.96"
"Zoning Board of Review","Chairman-Zoning Board","3000","3000"
"Zoning Board of Review","Member-Zoning Board","2499.96","2499.96"
"Zoological Services","Associate Veterinary Tech.","40828.74","40828.74"
"Zoological Services","Lead Zookeeper","44877.25","44878.08"
"Zoological Services","Veterinary Technician","44882.45","44882.45"
"Zoological Services","Zoo Keeper","35362.5","41603.33"
