"department","employee_title","minofsalary","maxofsalary"
"Roger Williams Park Services","Heavy Equip Operator","45996.29","45996.5"
"Roger Williams Park Services","Laborer","35093.14","35093.33"
"Roger Williams Park Services","Foreman","48713.59","48713.59"
"Roger Williams Park Services","Dir-Museum Of Natural History","56003.95","56003.95"
"Roger Williams Park Services","Port Security Officer","47060.83","47061.25"
"Roger Williams Park Services","Museum Educator","44444.4","44444.4"
"Superintendent","Superintendent of the Parks","105667.74","105667.74"
"Superintendent","Senior Secretary","37687.83","37687.83"
"Superintendent","Dept Switchboard Operator","33310","33310"
"Superintendent","Clerk Steno III Parks","36302.81","36302.81"
"Superintendent","Deputy Dir Of Public Parks","100581.94","100581.94"
"Superintendent","Supv. of Specifications","61798.28","61798.28"
"Superintendent","City Forester","75096.84","75096.84"
"Superintendent","Secretary To Supt","48455.32","48455.32"
"Superintendent","Supv-Proj Plan","51272","51272"
"Superintendent","Fiscal Adviser","65425.36","65425.36"
"Superintendent","Pay/Pers Asst Parks","44827.15","44827.15"
"Traffic Engineering","Limited Clerk II","23517.49","23517.49"
"Traffic Engineering","Traffic Sign Maint. Man Limite","40310.40","40310.40"
"Traffic Engineering","Traffic Signal Maint Foreman","66288.14","66288.14"
"Traffic Engineering","Traffic Systems Analyst","37761.36","37761.36"
"Traffic Engineering","Traffic Sign Maint Man","40300.62","40315.59"
"Traffic Engineering","Traffic Signal Electrician","58537.86","58537.86"
"Treasury","City Treasurer","56569.97","56569.97"
"Treasury","Admin Asst","51263.21","51263.21"
"Treasury","Clerk IV","33540.95","33540.95"
"Treasury","Senior Auditor/Analyst","72916.84","72916.84"
"Treasury","Chief Clerk - Treasury","45152.02","45152.02"
"Vital Statistics","Sec. Translator/HRC","38319.74","38319.74"
"Vital Statistics","Clerk Bilingual /Vital Records","35070.85","35070.85"
"Vital Statistics","Chief Clerk VItal Statistics","48455.86","48455.86"
"Water Supply Board","Chairman, WSB","3999.96","3999.96"
"Water Supply Board","Member, WSB","3499.92","3500.04"
"WSB Chief Engineer","Sr Administrative Clerk","37688.55","40606.01"
"WSB Chief Engineer","Deputy Gen Mgr Admin","109460.26","109460.26"
"WSB Chief Engineer","Dep Gen Mgr Of Operations","109460.26","109460.26"
"WSB Chief Engineer","Senior Manager Personnel","85521.8","85521.8"
"WSB Chief Engineer","General Manager, WSB","154991.20","154991.20"
"WSB Chief Engineer","Confidential Assistant","51282.14","51282.14"
"WSB Chief Engineer","Admin Asst WSB","59980.28","59980.28"
"WSB Commercial Services","Sr Administrative Clerk","38325.56","40607.11"
"WSB Commercial Services","Sr Meter Reader Tech","42689.3","42689.91"
"WSB Commercial Services","Collection Officer","49282.32","49282.32"
"WSB Commercial Services","Meter Reader Tech","40358.23","40359.07"
"WSB Commercial Services","Ltd Sr. Admin. Clk.","33633.59","33633.59"
"WSB Commercial Services","Clerical Coordinator","41419.56","41419.56"
"WSB Commercial Services","LTD Meter Reader I","32689.27","36320.95"
"WSB Commercial Services","Sr.Supv.Commerical Services","58229.08","58237.27"
"WSB Commercial Services","Supv. Commercial Services","46932.34","46932.34"
"WSB Commercial Services","Plummer WSB","82805.00","82805.00"
"WSB Commercial Services","Meter Shop Technician","42425.34","42425.34"
"WSB Commercial Services","Meter Reader I","36320.95","36320.95"
"WSB Commercial Services","Account Collector","48451.13","48451.13"
"WSB Commercial Services","Sr. Manager,WSB","82294.94","82294.94"
"WSB Commercial Services","Meter Mgr - Commercial Service","63072.1","63072.1"
"WSB Commercial Services","Limited CDL Meter Reader I","36320.95","36320.95"
"WSB Commercial Services","Water Supply Bd Clerk","27908.24","27908.24"
"WSB Commercial Services","Admin Asst WSB","59983.92","59983.92"
"WSB Finance","Sr Administrative Clerk","40606.01","40607.29"
"WSB Finance","Ltd Sr. Admin. Clk.","37686.74","37686.74"
"WSB Finance","Clerical Coordinator","42258.58","42258.58"
"WSB Finance","LTD WSB Clerk","26808.6","26808.6"
"WSB Finance","Mgr Of Training & Communicat.","75983.17","75983.17"
"WSB Finance","Sr. Budget&Planning Analyst","58237.09","58237.09"
"WSB Finance","Sr. Mgr. of Budget & Regularto","75986.09","75986.09"
"WSB Finance","Sr. Director-Administration","108335.5","108335.5"
"WSB Finance","Communication Coordinator","55464.5","55464.5"
"WSB Finance","Controller Water Supply Board","71623.55","71623.55"
"WSB Finance","Staff Acct","46480.07","46480.07"
"WSB Finance","Supervisor Of Acct - WSB","63634.48","63636.3"
"WSB Planning & Engineering","Aide To Chief Engineer","45972.84","45972.84"
"WSB Planning & Engineering","Utility Worker","34819.19","34819.19"
"WSB Planning & Engineering","Sr Administrative Clerk","40606.01","40606.01"
"WSB Planning & Engineering","Sr Admin Asst","58840.6","58840.6"
"WSB Planning & Engineering","Ltd Sr. Admin. Clk.","37686.74","37686.74"
"WSB Planning & Engineering","Real Estate Specialist","63635.39","63635.39"
"WSB Planning & Engineering","Senior Draftsman","45658.34","45658.34"
"WSB Planning & Engineering","Manager Eng. Customer Service","69536.92","69536.92"
"WSB Planning & Engineering","Engineering Sys.Analyst","63637.57","63637.57"
"WSB Planning & Engineering","Manager of Records","64964.9","64964.9"
"WSB Planning & Engineering","GIS Specialist/ WSB","58524.28","58524.28"
"WSB Planning & Engineering","Limited Engineering Aide III","32574.36","38321.91"
"WSB Planning & Engineering","Manager-Planning & Development","65640.12","65640.12"
"WSB Planning & Engineering","Sr. Director of Operations","103177.26","103177.26"
"WSB Planning & Engineering","Sr. Manager,WSB","86409.96","86409.96"
"WSB Planning & Engineering","Equip.Mech.(Flushing Tech.LTD","45115.19","45115.19"
"WSB Planning & Engineering","Eng Proj Coordinator (Wsb)","47909.68","58237.09"
"WSB Planning & Engineering","Mgr Of Constr Ser","65638.3","65638.3"
"WSB Planning & Engineering","Engineer WSB","60069.1","69536.74"
"WSB Planning & Engineering","Engr Aide III","32572.54","32572.54"
"WSB Planning & Engineering","Prin.Engineer WSB","73771.88","73771.88"
"WSB Planning & Engineering","Mgr Capital Program","75982.82","75982.82"
"WSB Support Services","Purchasing Agent II","46479.34","46479.34"
"WSB Support Services","Mgr Intergovernmental Rel","71622.46","71622.46"
"WSB Support Services","Aide To Chief Engineer","45955","45955"
"WSB Support Services","Utility Maint Worker","31320.63","35093.33"
"WSB Support Services","Supv Of Facilities & Equip","54971.28","63636.3"
"WSB Support Services","Sr Administrative Clerk","40606.01","40606.01"
"WSB Support Services","Sr Admin Asst","61783.54","61784.27"
"WSB Support Services","Ltd Sr. Admin. Clk.","37686.74","37686.74"
"WSB Support Services","Dept Switchboard Operator","34950.19","34950.19"
"WSB Support Services","Utility Maintenance Repairman","42410.16","42410.16"
"WSB Support Services","Manager of Security","67511.63","67511.63"
"WSB Support Services","Manager of Saftey & Risk","67511.25","67511.25"
"WSB Support Services","Inventory/Material Handler","38474.80","38474.80"
"WSB Support Services","Bi-lingual WSB Clerk","28506.66","28506.66"
"WSB Support Services","Divison Manager","76773.06","76773.06"
"WSB Support Services","Limited Confidential Asst.","48848.80","48848.80"
"WSB Support Services","Senior Equip Mech","46371.31","46372.35"
"WSB Support Services","Water Supply Bd Clerk","27910.97","27910.97"
"WSB T & D","Utility Laborer","35093.33","35093.33"
"WSB T & D","Utility Worker","34819.19","40955.82"
"WSB T & D","Sr Administrative Clerk","40607.11","40607.11"
"WSB T & D","Dig Safe Worker","44460","44460.21"
"WSB T & D","Clerical Coordinator","42258.58","42258.58"
"WSB T & D","CDL Utility Worker in Training","31595.20","31595.20"
"WSB T & D","LTD Water Systems Mechanic","47607.04","47607.04"
"WSB T & D","Asst. Dispatcher,WSB","40955.19","40955.19"
"WSB T & D","Manager-Distribution(WSB)","71624.80","71624.80"
"WSB T & D","Sr. Manager,WSB","82294.94","82294.94"
"WSB T & D","Water System Mechanic","47606.83","47607.46"
"WSB T & D","Supv - Water Maint Crew","56621.76","65546.83"
"WSB T & D","Eng Proj Coordinator (Wsb)","47909.68","47909.68"
"WSB T & D","Engineer WSB","69536.74","69536.74"
"WSB T & D","Schedule/Dispatcher WSB","42102.74","42102.74"
"WSB T & D","Admin Asst WSB","54405.26","54405.26"
"WSB T & D","Heavy Equip Operator","45996.08","45996.5"
"WSB T & D","Mgr Of Distribution","75984.47","75985"
"WSB Water Supply","Sr Administrative Clerk","40606.01","40606.01"
"WSB Water Supply","Sr Admin Asst","61784.27","61784.27"
"WSB Water Supply","Water Treatment Operator","30915.04","30915.04"
"WSB Water Supply","Water Treatment Op. Class III","42007.68","47069.78"
"WSB Water Supply","Lab Supv. Chem","65544.39","65544.39"
"WSB Water Supply","Lab Supv. Bacteriology","65544.39","65544.39"
"WSB Water Supply","Water Plant Mech.","37492","44108.48"
"WSB Water Supply","Instrumentation Tech.","49123.15","49123.15"
"WSB Water Supply","Electrical Tech","65883.58","65883.58"
"WSB Water Supply","Sr Waterplant Mech","49121.07","49123.15"
"WSB Water Supply","Limited Watershed Inspector","37804","37804"
"WSB Water Supply","Sr.Forest Supv. WSB","63635.39","63635.39"
"WSB Water Supply","LTD. Instrumentation Tech.","49123.36","49123.36"
"WSB Water Supply","Rain Gauge Keeper","1092","1092"
"WSB Water Supply","Watershed Maint. Operator","32637.27","36547.68"
"WSB Water Supply","Sr. Watershed Maint. Operator","43457.02","43457.44"
"WSB Water Supply","WTO in Training III","46021.25","46022.08"
"WSB Water Supply","Sr. Manager,WSB","78376.47","78376.47"
"WSB Water Supply","Limited Sanitarian","41550.6","41550.6"
"WSB Water Supply","Divison Manager","76773.06","76773.06"
"WSB Water Supply","Senior Equip Mech","46371.31","46371.31"
"WSB Water Supply","Supv-Water Plant","57721.3","63635.39"
"WSB Water Supply","Junior Chemist I Wsb","36241.66","36241.66"
"WSB Water Supply","Jr Chemist II","48453.5","48453.5"
"WSB Water Supply","Water Supply Bd Clerk","33773.74","33773.74"
"WSB Water Supply","Forest Supervisor","59983.56","59983.56"
"WSB Water Supply","Watershed Inspector","32131.84","37804.83"
"WSB Water Supply","Mgr Water Lab","75982.82","75982.82"
"WSB Water Supply","Mgr Plant Oper","72366.84","72366.84"
"WSB Water Supply","Watershed Grnd General Foreman","50428.14","50428.14"
"WSB Water Supply","Environ Resource Mgr.","75964.62","75964.62"
"WSB Water Supply","Sanitarian","44829.88","44830.79"
"Zoning Board of Review","Chairman-Zoning Board","3000","3000"
"Zoning Board of Review","Member-Zoning Board","2499.96","2499.96"
"Zoning Board of Review","Aux. Member - Zoning Board","2499.96","2499.96"
"Zoological Services","Associate Veterinary Tech.","39639.59","39639.59"
"Zoological Services","Zoo Keeper","34332.48","40391.51"
"Zoological Services","Lead Zookeeper","43570.18","43571.01"
"Zoological Services","Veterinary Technician","43575.17","43575.17"
