"numdays","quarter","count","offensetype"
"16 to 30","2019-01-01T00:00:00.000","47","Misdemeanor"
"31 to 60","2019-01-01T00:00:00.000","32","Misdemeanor"
"61 to 90","2019-01-01T00:00:00.000","6","Misdemeanor"
"91 to 180","2019-01-01T00:00:00.000","5","Misdemeanor"
"0 to 1","2019-02-01T00:00:00.000","339","Misdemeanor"
"2 to 7","2019-02-01T00:00:00.000","246","Misdemeanor"
"8 to 15","2019-02-01T00:00:00.000","70","Misdemeanor"
"16 to 30","2019-02-01T00:00:00.000","47","Misdemeanor"
"31 to 60","2019-02-01T00:00:00.000","21","Misdemeanor"
"61 to 90","2019-02-01T00:00:00.000","4","Misdemeanor"
"91 to 180","2019-02-01T00:00:00.000","5","Misdemeanor"
"0 to 1","2019-03-01T00:00:00.000","366","Misdemeanor"
"2 to 7","2019-03-01T00:00:00.000","216","Misdemeanor"
"8 to 15","2019-03-01T00:00:00.000","80","Misdemeanor"
"16 to 30","2019-03-01T00:00:00.000","50","Misdemeanor"
"31 to 60","2019-03-01T00:00:00.000","43","Misdemeanor"
"61 to 90","2019-03-01T00:00:00.000","12","Misdemeanor"
"0 to 1","2019-04-01T00:00:00.000","372","Misdemeanor"
"2 to 7","2019-04-01T00:00:00.000","219","Misdemeanor"
"8 to 15","2019-04-01T00:00:00.000","67","Misdemeanor"
"16 to 30","2019-04-01T00:00:00.000","55","Misdemeanor"
"31 to 60","2019-04-01T00:00:00.000","38","Misdemeanor"
"61 to 90","2019-04-01T00:00:00.000","5","Misdemeanor"
"91 to 180","2019-04-01T00:00:00.000","8","Misdemeanor"
