"numdays","quarter","count","offensetype"
"91 to 180","2018-06-01T00:00:00.000","100","Felony"
"181 to 365","2018-06-01T00:00:00.000","68","Felony"
"Over 365","2018-06-01T00:00:00.000","22","Felony"
"0 to 1","2018-07-01T00:00:00.000","205","Felony"
"2 to 7","2018-07-01T00:00:00.000","261","Felony"
"8 to 15","2018-07-01T00:00:00.000","138","Felony"
"16 to 30","2018-07-01T00:00:00.000","148","Felony"
"31 to 60","2018-07-01T00:00:00.000","149","Felony"
"61 to 90","2018-07-01T00:00:00.000","54","Felony"
"91 to 180","2018-07-01T00:00:00.000","85","Felony"
"181 to 365","2018-07-01T00:00:00.000","40","Felony"
"Over 365","2018-07-01T00:00:00.000","28","Felony"
"0 to 1","2018-08-01T00:00:00.000","243","Felony"
"2 to 7","2018-08-01T00:00:00.000","311","Felony"
"8 to 15","2018-08-01T00:00:00.000","162","Felony"
"16 to 30","2018-08-01T00:00:00.000","203","Felony"
"31 to 60","2018-08-01T00:00:00.000","170","Felony"
"61 to 90","2018-08-01T00:00:00.000","74","Felony"
"91 to 180","2018-08-01T00:00:00.000","111","Felony"
"181 to 365","2018-08-01T00:00:00.000","56","Felony"
"Over 365","2018-08-01T00:00:00.000","35","Felony"
"0 to 1","2018-09-01T00:00:00.000","194","Felony"
"2 to 7","2018-09-01T00:00:00.000","309","Felony"
"8 to 15","2018-09-01T00:00:00.000","159","Felony"
"16 to 30","2018-09-01T00:00:00.000","174","Felony"
"31 to 60","2018-09-01T00:00:00.000","163","Felony"
"61 to 90","2018-09-01T00:00:00.000","55","Felony"
"91 to 180","2018-09-01T00:00:00.000","70","Felony"
"181 to 365","2018-09-01T00:00:00.000","40","Felony"
"Over 365","2018-09-01T00:00:00.000","19","Felony"
"0 to 1","2018-10-01T00:00:00.000","204","Felony"
"2 to 7","2018-10-01T00:00:00.000","326","Felony"
"8 to 15","2018-10-01T00:00:00.000","164","Felony"
"16 to 30","2018-10-01T00:00:00.000","202","Felony"
"31 to 60","2018-10-01T00:00:00.000","147","Felony"
"61 to 90","2018-10-01T00:00:00.000","81","Felony"
"91 to 180","2018-10-01T00:00:00.000","113","Felony"
"181 to 365","2018-10-01T00:00:00.000","64","Felony"
"Over 365","2018-10-01T00:00:00.000","31","Felony"
"0 to 1","2018-11-01T00:00:00.000","174","Felony"
"2 to 7","2018-11-01T00:00:00.000","282","Felony"
"8 to 15","2018-11-01T00:00:00.000","158","Felony"
"16 to 30","2018-11-01T00:00:00.000","157","Felony"
"31 to 60","2018-11-01T00:00:00.000","149","Felony"
"61 to 90","2018-11-01T00:00:00.000","70","Felony"
"91 to 180","2018-11-01T00:00:00.000","101","Felony"
"181 to 365","2018-11-01T00:00:00.000","49","Felony"
"Over 365","2018-11-01T00:00:00.000","16","Felony"
"0 to 1","2018-12-01T00:00:00.000","182","Felony"
"2 to 7","2018-12-01T00:00:00.000","283","Felony"
"8 to 15","2018-12-01T00:00:00.000","121","Felony"
"16 to 30","2018-12-01T00:00:00.000","144","Felony"
"31 to 60","2018-12-01T00:00:00.000","141","Felony"
"61 to 90","2018-12-01T00:00:00.000","61","Felony"
"91 to 180","2018-12-01T00:00:00.000","106","Felony"
"181 to 365","2018-12-01T00:00:00.000","69","Felony"
"Over 365","2018-12-01T00:00:00.000","29","Felony"
"0 to 1","2019-01-01T00:00:00.000","174","Felony"
"2 to 7","2019-01-01T00:00:00.000","259","Felony"
"8 to 15","2019-01-01T00:00:00.000","137","Felony"
"16 to 30","2019-01-01T00:00:00.000","138","Felony"
"31 to 60","2019-01-01T00:00:00.000","136","Felony"
"61 to 90","2019-01-01T00:00:00.000","69","Felony"
"91 to 180","2019-01-01T00:00:00.000","87","Felony"
"181 to 365","2019-01-01T00:00:00.000","53","Felony"
"Over 365","2019-01-01T00:00:00.000","21","Felony"
"0 to 1","2019-02-01T00:00:00.000","140","Felony"
"2 to 7","2019-02-01T00:00:00.000","298","Felony"
"8 to 15","2019-02-01T00:00:00.000","152","Felony"
"16 to 30","2019-02-01T00:00:00.000","137","Felony"
"31 to 60","2019-02-01T00:00:00.000","141","Felony"
"61 to 90","2019-02-01T00:00:00.000","56","Felony"
"91 to 180","2019-02-01T00:00:00.000","99","Felony"
"181 to 365","2019-02-01T00:00:00.000","57","Felony"
"Over 365","2019-02-01T00:00:00.000","21","Felony"
"0 to 1","2019-03-01T00:00:00.000","173","Felony"
"2 to 7","2019-03-01T00:00:00.000","278","Felony"
"8 to 15","2019-03-01T00:00:00.000","168","Felony"
"16 to 30","2019-03-01T00:00:00.000","136","Felony"
"31 to 60","2019-03-01T00:00:00.000","136","Felony"
"61 to 90","2019-03-01T00:00:00.000","63","Felony"
"91 to 180","2019-03-01T00:00:00.000","80","Felony"
"181 to 365","2019-03-01T00:00:00.000","64","Felony"
"Over 365","2019-03-01T00:00:00.000","43","Felony"
"0 to 1","2019-04-01T00:00:00.000","170","Felony"
"2 to 7","2019-04-01T00:00:00.000","250","Felony"
"8 to 15","2019-04-01T00:00:00.000","146","Felony"
"16 to 30","2019-04-01T00:00:00.000","149","Felony"
"31 to 60","2019-04-01T00:00:00.000","181","Felony"
"61 to 90","2019-04-01T00:00:00.000","62","Felony"
"91 to 180","2019-04-01T00:00:00.000","74","Felony"
"181 to 365","2019-04-01T00:00:00.000","75","Felony"
"Over 365","2019-04-01T00:00:00.000","31","Felony"
