"year","county","mortality_per_100_000","geocoded_column"
"2015","Washtenaw","33","POINT (-83.84730200000001 42.307649)"
"2012","Washtenaw","28.2","POINT (-83.84730200000001 42.307649)"
"2011","Oceana","41.7","POINT (-86.289505 43.643476)"
"2010","Gladwin","54.4","POINT (-84.354205 44.032789)"
"2011","Gratiot","42.7","POINT (-84.68975 43.283651)"
"2016","Cheboygan","74.8","POINT (-84.56362800000001 45.547226)"
"2014","Delta","35.5","POINT (-86.9377261 45.7406948)"
"2016","Berrien","92.2","POINT (-86.520538 41.95246100000001)"
"2012","Kent","30.4","POINT (-85.520024 43.009703)"
"2013","Hillsdale","58.5","POINT (-84.522219 41.868596)"
"2012","Oakland","41.2","POINT (-83.336188 42.592192)"
"2011","Iron","144.7","POINT (-88.490278 46.275815)"
"2015","Luce",,"POINT (-85.513329 46.582751)"
"2010","Cass","57.5","POINT (-86.012157 41.929916)"
"2015","Hillsdale","50.1","POINT (-84.522219 41.868596)"
"2011","Presque Isle","75.8","POINT (-83.961353 45.369264)"
"2010","Mason","52.2","POINT (-86.2801 43.9547)"
"2015","Ottawa","37.5","POINT (-86.093731 42.953023)"
"2010","Gratiot","66","POINT (-84.68975 43.283651)"
"2014","Muskegon","47","POINT (-86.126106 43.294941)"
"2013","Berrien","70.1","POINT (-86.520538 41.95246100000001)"
"2017","Wexford","60.1","POINT (-85.520024 44.387157)"
"2011","Arenac","64","POINT (-83.893019 44.074876)"
"2012","Clare","71.4","POINT (-84.856793 44.056505)"
"2010","Barry","49.1","POINT (-85.354965 42.53543200000001)"
"2014","Menominee","38.2","POINT (-87.574628 45.499528)"
"2017","Montmorency","183.8","POINT (-84.140314 45.074279)"
"2011","Ogemaw","88.2","POINT (-84.185712 44.327074)"
"2015","Houghton","44","POINT (-88.569401 47.121122)"
"2013","Tuscola","44.3","POINT (-83.50702 43.530114000000005)"
"2014","Tuscola","48.2","POINT (-83.50702 43.530114000000005)"
"2011","Houghton","68","POINT (-88.569401 47.121122)"
"2013","St. Clair","43.1","POINT (-82.734714 43.406904)"
"2014","Ottawa","35.7","POINT (-86.093731 42.953023)"
"2014","Luce",,"POINT (-85.513329 46.582751)"
"2014","Montmorency","107.6","POINT (-84.140314 45.074279)"
"2015","Schoolcraft","85.8","POINT (-82.648344 43.016179)"
"2011","Branch","59.2","POINT (-85.023346 41.891384)"
"2015","Jackson","35.7","POINT (-84.354205 42.176436)"
"2011","Lapeer","40.9","POINT (-83.1649 43.048243)"
"2016","Delta","80.1","POINT (-86.9377261 45.7406948)"
"2016","Baraga","94.1","POINT (-88.30104 46.735276)"
"2013","Branch","75.8","POINT (-85.023346 41.891384)"
"2017","Manistee","65.5","POINT (-86.324223 44.24447)"
"2017","Alpena","126.5","POINT (-83.540541 45.031721)"
"2012","Lapeer","47.6","POINT (-83.1649 43.048243)"
"2013","Marquette","39.8","POINT (-87.559382 46.644579)"
"2011","Genesee","56.7","POINT (-83.677393 43.077729)"
"2016","Iosco","35.5","POINT (-83.638623 44.334046)"
"2015","Cass","65.8","POINT (-86.012157 41.929916)"
"2011","Roscommon","98.7","POINT (-84.68975 44.351611)"
"2016","Iron","142.9","POINT (-88.490278 46.275815)"
"2017","Missaukee","106.7","POINT (-85.023346 44.366621)"
"2010","Clinton","49.1","POINT (-84.522219 42.966346)"
"2011","Montcalm","33.2","POINT (-85.189405 43.305734)"
"2010","Luce",,"POINT (-85.513329 46.582751)"
"2016","Clinton","37.2","POINT (-84.522219 42.966346)"
"2013","Oscoda","95.5","POINT (-84.185712 44.62789)"
"2010","Wayne","47.5","POINT (-83.336188 42.279075)"
"2012","Ottawa","32.9","POINT (-86.093731 42.953023)"
"2014","Montcalm","33.4","POINT (-85.189405 43.305734)"
"2015","Baraga","175.5","POINT (-88.30104 46.735276)"
"2017","Antrim","60.1","POINT (-85.176909 44.973044)"
"2010","Ontonagon","118.6","POINT (-89.313119 46.872791)"
"2017","Alcona","106.3","POINT (-83.60224 44.672794)"
"2010","Houghton","62.6","POINT (-88.569401 47.121122)"
"2017","Sanilac","29.1","POINT (-84.185712 42.949754)"
"2016","Washtenaw","34","POINT (-83.84730200000001 42.307649)"
"2015","Muskegon","49.2","POINT (-86.126106 43.294941)"
"2010","Schoolcraft",,"POINT (-82.648344 43.016179)"
"2013","Genesee","58.2","POINT (-83.677393 43.077729)"
"2014","Huron","65.5","POINT (-82.820974 43.946679)"
"2014","Presque Isle","100","POINT (-83.961353 45.369264)"
"2014","Mecosta","41.7","POINT (-85.354965 43.620103)"
"2013","Houghton","43.6","POINT (-88.569401 47.121122)"
"2013","Montmorency","117.5","POINT (-84.140314 45.074279)"
"2017","Osceola","60.2","POINT (-85.354965 43.925728)"
"2014","Mackinac",,"POINT (-84.996308 46.023372)"
"2016","Lenawee","43.7","POINT (-84.016742 41.843386)"
"2014","Clinton","46.5","POINT (-84.522219 42.966346)"
"2016","Jackson","51.7","POINT (-84.354205 42.176436)"
"2012","Gogebic","93.6","POINT (-89.921474 46.439279)"
"2015","Allegan","36.6","POINT (-85.908443 42.593874)"
"2017","Ontonagon","102","POINT (-89.313119 46.872791)"
"2010","Oakland","38.6","POINT (-83.336188 42.592192)"
"2010","Osceola","42.5","POINT (-85.354965 43.925728)"
"2016","Isabella","50.5","POINT (-84.856793 43.598799)"
"2017","Van Buren","62.4","POINT (-86.012157 42.245967)"
"2014","Oakland","43.8","POINT (-83.336188 42.592192)"
"2011","Ingham","32.3","POINT (-84.354205 42.646894)"
"2014","Alger",,"POINT (-86.490452 46.424618)"
"2017","Kalamazoo","39.2","POINT (-85.520024 42.227835)"
"2012","Mackinac","53.9","POINT (-84.996308 46.023372)"
"2017","Wayne","49","POINT (-83.336188 42.279075)"
"2011","Kalamazoo","38.4","POINT (-85.520024 42.227835)"
"2013","Mason","55.8","POINT (-86.2801 43.9547)"
"2017","Iron","170.8","POINT (-88.490278 46.275815)"
"2011","Gogebic","74.5","POINT (-89.921474 46.439279)"
"2016","Kalkaska","86.9","POINT (-85.023346 44.667444)"
"2010","Iron","110.2","POINT (-88.490278 46.275815)"
"2010","Lapeer","52.2","POINT (-83.1649 43.048243)"
"2013","Washtenaw","34.1","POINT (-83.84730200000001 42.307649)"
"2012","Chippewa","48.7","POINT (-84.593209 46.311708)"
"2011","Lenawee","46.3","POINT (-84.016742 41.843386)"
"2015","Oakland","43.9","POINT (-83.336188 42.592192)"
"2010","Macomb","44.2","POINT (-82.820974 42.716876)"
"2010","Bay","49.2","POINT (-84.016742 43.710973)"
"2011","Sanilac","42.1","POINT (-84.185712 42.949754)"
"2011","St. Joseph","67.1","POINT (-86.190362 46.069352)"
"2013","Sanilac","50.1","POINT (-84.185712 42.949754)"
"2016","Muskegon","56.5","POINT (-86.126106 43.294941)"
"2013","Montcalm","38.2","POINT (-85.189405 43.305734)"
"2011","Ontonagon","90.6","POINT (-89.313119 46.872791)"
"2016","Shiawassee","48.1","POINT (-85.520024 41.911804)"
"2015","Saginaw","60","POINT (-84.016742 43.404425)"
"2016","Ogemaw","90.9","POINT (-84.185712 44.327074)"
"2012","Alger","63.2","POINT (-86.490452 46.424618)"
"2016","Emmet","66.3","POINT (-84.976907 45.641897)"
"2013","Delta","46.2","POINT (-86.9377261 45.7406948)"
"2014","Macomb","44.8","POINT (-82.820974 42.716876)"
"2012","Barry","49.1","POINT (-85.354965 42.53543200000001)"
"2016","Benzie","39.8","POINT (-86.037126 44.645845)"
"2012","Wayne","44.6","POINT (-83.336188 42.279075)"
"2012","Bay","41.1","POINT (-84.016742 43.710973)"
"2011","Saginaw","44.3","POINT (-84.016742 43.404425)"
"2013","Gogebic","100.9","POINT (-89.921474 46.439279)"
"2013","Mackinac","117.4","POINT (-84.996308 46.023372)"
"2014","Schoolcraft",,"POINT (-82.648344 43.016179)"
"2013","Manistee","61.4","POINT (-86.324223 44.24447)"
"2014","Branch","59.5","POINT (-85.023346 41.891384)"
"2016","Branch","66.8","POINT (-85.023346 41.891384)"
"2016","Bay","34.4","POINT (-84.016742 43.710973)"
"2014","Charlevoix","53.5","POINT (-85.061904 45.244217)"
"2010","Ogemaw","83.2","POINT (-84.185712 44.327074)"
"2015","Livingston","31.5","POINT (-83.84730200000001 42.620795)"
"2010","Montmorency","133","POINT (-84.140314 45.074279)"
"2012","Cass","50","POINT (-86.012157 41.929916)"
"2015","St. Clair","37.5","POINT (-82.734714 43.406904)"
"2014","Barry","43.9","POINT (-85.354965 42.53543200000001)"
"2011","Midland","40.6","POINT (-84.354205 43.575098)"
"2015","Berrien","72.4","POINT (-86.520538 41.95246100000001)"
"2017","Dickinson","78.7","POINT (-87.86161 45.960139)"
"2014","Ogemaw","71.3","POINT (-84.185712 44.327074)"
"2016","St. Joseph","57.5","POINT (-86.190362 46.069352)"
"2017","Charlevoix","65","POINT (-85.061904 45.244217)"
"2016","Arenac","39.7","POINT (-83.893019 44.074876)"
"2012","Baraga","68.9","POINT (-88.30104 46.735276)"
"2012","Houghton","65.3","POINT (-88.569401 47.121122)"
"2011","Benzie","63.1","POINT (-86.037126 44.645845)"
"2015","Branch","73.4","POINT (-85.023346 41.891384)"
"2010","Manistee","93.6","POINT (-86.324223 44.24447)"
"2016","Eaton","36.6","POINT (-84.773332 42.58865)"
"2015","Grand Traverse","49.1","POINT (-85.520024 44.687984)"
"2010","Kent","30.3","POINT (-85.520024 43.009703)"
"2011","Ottawa","24.8","POINT (-86.093731 42.953023)"
"2013","Oakland","43.1","POINT (-83.336188 42.592192)"
"2015","Kent","33.2","POINT (-85.520024 43.009703)"
"2011","Monroe","42.9","POINT (-83.50702 41.973889)"
"2017","Oceana","56.7","POINT (-86.289505 43.643476)"
"2013","Livingston","24.4","POINT (-83.84730200000001 42.620795)"
"2010","Grand Traverse","54","POINT (-85.520024 44.687984)"
"2015","Clare","45.7","POINT (-84.856793 44.056505)"
"2015","Emmet","42.3","POINT (-84.976907 45.641897)"
"2012","St. Clair","45.5","POINT (-82.734714 43.406904)"
"2014","Isabella","31.4","POINT (-84.856793 43.598799)"
"2015","Roscommon","79.8","POINT (-84.68975 44.351611)"
"2016","Grand Traverse","52.1","POINT (-85.520024 44.687984)"
"2017","Mecosta","50.7","POINT (-85.354965 43.620103)"
"2015","Monroe","30.8","POINT (-83.50702 41.973889)"
"2016","Monroe","38.9","POINT (-83.50702 41.973889)"
"2016","Huron","76.2","POINT (-82.820974 43.946679)"
"2013","Alpena","58.6","POINT (-83.540541 45.031721)"
"2010","Charlevoix","42.5","POINT (-85.061904 45.244217)"
"2010","Jackson","56.2","POINT (-84.354205 42.176436)"
"2010","Kalamazoo","36.7","POINT (-85.520024 42.227835)"
"2010","Allegan","39.5","POINT (-85.908443 42.593874)"
"2016","Manistee","78","POINT (-86.324223 44.24447)"
"2012","Benzie","40.3","POINT (-86.037126 44.645845)"
"2016","Ottawa","37.9","POINT (-86.093731 42.953023)"
"2012","Hillsdale","41","POINT (-84.522219 41.868596)"
"2017","Gladwin","75.3","POINT (-84.354205 44.032789)"
"2014","Leelanau","68.7","POINT (-85.8556 44.8555)"
"2012","Livingston","35","POINT (-83.84730200000001 42.620795)"
"2010","Mecosta","56","POINT (-85.354965 43.620103)"
"2013","Jackson","43.8","POINT (-84.354205 42.176436)"
"2011","Leelanau","41.6","POINT (-85.8556 44.8555)"
"2010","Calhoun","52.2","POINT (-85.023346 42.207391)"
"2016","Schoolcraft","112.5","POINT (-82.648344 43.016179)"
"2011","Calhoun","51","POINT (-85.023346 42.207391)"
"2011","Schoolcraft",,"POINT (-82.648344 43.016179)"
"2016","Newaygo","50.1","POINT (-85.766664 43.559358)"
"2010","Clare","77.4","POINT (-84.856793 44.056505)"
"2015","Wayne","47.2","POINT (-83.336188 42.279075)"
"2017","Marquette","54.1","POINT (-87.559382 46.644579)"
"2013","Isabella","29.9","POINT (-84.856793 43.598799)"
"2012","Keweenaw",,"POINT (-88.049091 47.340015)"
"2011","Barry","45.8","POINT (-85.354965 42.53543200000001)"
"2017","Oakland","50.9","POINT (-83.336188 42.592192)"
"2017","Iosco","91.4","POINT (-83.638623 44.334046)"
"2013","Missaukee","39.8","POINT (-85.023346 44.366621)"
"2017","Ingham","38.6","POINT (-84.354205 42.646894)"
"2016","Midland","63.5","POINT (-84.354205 43.575098)"
"2014","Lenawee","59.8","POINT (-84.016742 41.843386)"
"2017","Hillsdale","37.1","POINT (-84.522219 41.868596)"
"2010","Tuscola","46.7","POINT (-83.50702 43.530114000000005)"
