"id","tipo_asset","nombre_del_asset","nombre_del_programa","tipo","temporada","capitulo","canal","url"
"4945","Audio","Clase 100 - Profe en tu casa","Podcast - Profe en tu casa","Series podcasts","Sin definir","100","Señal Colombia","https://www.rtvcplay.co/series-podcasts/podcast-profe-en-tu-casa/clase-100-profe-tu-casa"
"4944","Audio","Clase 99 - Profe en tu casa","Podcast - Profe en tu casa","Series podcasts","Sin definir","99","Señal Colombia","https://www.rtvcplay.co/series-podcasts/podcast-profe-en-tu-casa/clase-99-profe-tu-casa"
"4943","Audio","Clase 98 - Profe en tu casa","Podcast - Profe en tu casa","Series podcasts","Sin definir","98","Señal Colombia","https://www.rtvcplay.co/series-podcasts/podcast-profe-en-tu-casa/clase-98-profe-tu-casa"
"4942","Audio","Clase 97 - Profe en tu casa","Podcast - Profe en tu casa","Series podcasts","Sin definir","97","Señal Colombia","https://www.rtvcplay.co/series-podcasts/podcast-profe-en-tu-casa/clase-97-profe-tu-casa"
"4941","Audio","Clase 96 - Profe en tu casa","Podcast - Profe en tu casa","Series podcasts","Sin definir","96","Señal Colombia","https://www.rtvcplay.co/series-podcasts/podcast-profe-en-tu-casa/clase-96-profe-tu-casa"
"4940","Video","Clase 106 - Profe en tu casa","Profe en tu casa","Competencias básicas, ciudadanas y socioemocionales","Sin definir","106","Señal Colombia","https://www.rtvcplay.co/competencias-basicas-ciudadanas-y-socioemocionales/profe-en-tu-casa/clase-106-profe-tu-casa"
"4939","Video","Clase 105 - Profe en tu casa","Profe en tu casa","Competencias básicas, ciudadanas y socioemocionales","Sin definir","105","Señal Colombia","https://www.rtvcplay.co/competencias-basicas-ciudadanas-y-socioemocionales/profe-en-tu-casa/clase-105-profe-tu-casa"
"4937","Video","Clase 104 - Profe en tu casa","Profe en tu casa","Competencias básicas, ciudadanas y socioemocionales","Sin definir","104","Señal Colombia","https://www.rtvcplay.co/competencias-basicas-ciudadanas-y-socioemocionales/profe-en-tu-casa/clase-104-profe-tu-casa"
"4936","Video","Comedia pacífica","Guillermina y Candelario - Karaokes","Conoce tu planeta","Sin definir","6","Señal Colombia","https://www.rtvcplay.co/ninos/guillermina-y-candelario-karaokes/comedia-pacifica"
"4935","Video","Recaditos por la paz","Guillermina y Candelario - Karaokes","Conoce tu planeta","Sin definir","5","Señal Colombia","https://www.rtvcplay.co/ninos/guillermina-y-candelario-karaokes/recaditos-paz"
