"f","departamento","municipio","n_convocatoria","estado","g_nero_benef","cant_estudiantes_en_el_hogar","zona","zona_geografica","barrio","estrato_socieconomico","velocidad","medio_de_tramisi_n"
"209","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"210","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"211","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"212","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"213","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"214","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"215","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"216","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"217","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"218","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"219","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"220","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"221","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"222","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"223","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"224","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"225","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"226","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"227","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"228","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"229","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"230","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"231","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"232","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"233","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"234","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"235","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"236","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"237","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"238","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"239","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"240","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"241","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"242","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"243","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"244","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"245","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"246","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"247","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"248","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"249","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"250","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"251","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"252","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"253","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"254","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"255","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"256","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"257","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"258","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"259","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"260","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"261","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"262","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"263","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"264","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"265","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"266","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"267","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"268","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"269","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Betania","2","10 Mb","Fibra Optica"
"270","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"271","Norte de Santander","Los Patios","1","Beneficiario","Masculino","2","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"272","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"273","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"274","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"275","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"276","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"277","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"278","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"279","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"280","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"281","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","El Mirador","1","10 Mb","Fibra Optica"
"282","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","El Triunfo","1","10 Mb","Fibra Optica"
"283","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","El Triunfo","1","10 Mb","Fibra Optica"
"284","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","La Esperanza","1","10 Mb","Fibra Optica"
"285","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","La Esperanza","1","10 Mb","Fibra Optica"
"286","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"287","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"288","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"289","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"290","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"291","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"292","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"293","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"294","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"295","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"296","Norte de Santander","Los Patios","1","Beneficiario","Masculino","2","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"297","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"298","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"299","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Llano Grande","2","10 Mb","Fibra Optica"
"300","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Llano Grande","2","10 Mb","Fibra Optica"
"301","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Llano Grande","2","10 Mb","Fibra Optica"
"302","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Los Naranjos","2","10 Mb","Fibra Optica"
"303","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Nazareth","1","10 Mb","Fibra Optica"
"304","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"305","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"306","Norte de Santander","Los Patios","1","Beneficiario","Masculino","2","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"307","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"308","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"309","Norte de Santander","Los Patios","1","Beneficiario","Masculino","2","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"310","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"311","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"312","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"313","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"314","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"315","Norte de Santander","Los Patios","1","Beneficiario","Masculino","2","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"316","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"317","Norte de Santander","Los Patios","1","Beneficiario","Masculino","2","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"318","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"319","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"320","Norte de Santander","Los Patios","1","Beneficiario","Masculino","2","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"321","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"322","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Villa Mayerly","2","10 Mb","Fibra Optica"
"323","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Villa Nicol","2","10 Mb","Fibra Optica"
"324","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"325","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"326","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"327","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"328","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"329","Norte de Santander","Los Patios","1","Beneficiario","Masculino","2","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"330","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"331","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"332","Norte de Santander","Los Patios","1","Beneficiario","Femenino","2","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"333","Norte de Santander","Los Patios","1","Beneficiario","Femenino","3","Urbana","Sur","Altos de Vista Hermosa","1","10 Mb","Fibra Optica"
"334","Norte de Santander","Los Patios","1","Beneficiario","Femenino","3","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"335","Norte de Santander","Los Patios","1","Beneficiario","Femenino","3","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"336","Norte de Santander","Los Patios","1","Beneficiario","Femenino","3","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"337","Norte de Santander","Los Patios","1","Beneficiario","Femenino","3","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"338","Norte de Santander","Los Patios","1","Beneficiario","Masculino","3","Urbana","Sur","El Mirador","1","10 Mb","Fibra Optica"
"339","Norte de Santander","Los Patios","1","Beneficiario","Femenino","3","Urbana","Sur","El Mirador","1","10 Mb","Fibra Optica"
"340","Norte de Santander","Los Patios","1","Beneficiario","Femenino","3","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"341","Norte de Santander","Los Patios","1","Beneficiario","Masculino","3","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"342","Norte de Santander","Los Patios","1","Beneficiario","Femenino","3","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"343","Norte de Santander","Los Patios","1","Beneficiario","Femenino","3","Urbana","Sur","Llano Grande","2","10 Mb","Fibra Optica"
"344","Norte de Santander","Los Patios","1","Beneficiario","Femenino","3","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"345","Norte de Santander","Los Patios","1","Beneficiario","Femenino","3","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"346","Norte de Santander","Los Patios","1","Beneficiario","Femenino","3","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"347","Norte de Santander","Los Patios","1","Beneficiario","Femenino","3","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"348","Norte de Santander","Los Patios","1","Beneficiario","Femenino","3","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"349","Norte de Santander","Los Patios","1","Beneficiario","Femenino","3","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"350","Norte de Santander","Los Patios","1","Beneficiario","Femenino","3","Urbana","Sur","Villa Nicol","2","10 Mb","Fibra Optica"
"351","Norte de Santander","Los Patios","1","Beneficiario","Femenino","3","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"352","Norte de Santander","Los Patios","1","Beneficiario","Femenino","3","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"353","Norte de Santander","Los Patios","1","Beneficiario","Femenino","3","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"354","Norte de Santander","Los Patios","1","Beneficiario","Femenino","3","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"355","Norte de Santander","Los Patios","1","Beneficiario","Femenino","3","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"356","Norte de Santander","Los Patios","1","Beneficiario","Femenino","3","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"357","Norte de Santander","Los Patios","1","Beneficiario","Masculino","3","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"358","Norte de Santander","Los Patios","1","Beneficiario","Femenino","4","Urbana","Sur","Llano Grande","2","10 Mb","Fibra Optica"
"359","Norte de Santander","Los Patios","1","Beneficiario","Masculino","7","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"360","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Betania","2","10 Mb","Fibra Optica"
"361","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Betania","2","10 Mb","Fibra Optica"
"362","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Betania","2","10 Mb","Fibra Optica"
"363","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Betania","2","10 Mb","Fibra Optica"
"364","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Betania","2","10 Mb","Fibra Optica"
"365","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Betania","2","10 Mb","Fibra Optica"
"366","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Betania","2","10 Mb","Fibra Optica"
"367","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Betania","2","10 Mb","Fibra Optica"
"368","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Betania","2","10 Mb","Fibra Optica"
"369","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Betania","2","10 Mb","Fibra Optica"
"370","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Betania","2","10 Mb","Fibra Optica"
"371","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Betania","2","10 Mb","Fibra Optica"
"372","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"373","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Kilómetro 9","1","10 Mb","Fibra Optica"
"374","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","La Esperanza","1","10 Mb","Fibra Optica"
"375","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","La Esperanza","1","10 Mb","Fibra Optica"
"376","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"377","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"378","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"379","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"380","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Llano Grande","2","10 Mb","Fibra Optica"
"381","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Los Naranjos","2","10 Mb","Fibra Optica"
"382","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"383","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"384","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Tierra Linda","2","10 Mb","Fibra Optica"
"385","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"386","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"387","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"388","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"389","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"390","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"391","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"392","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"393","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"394","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"395","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"396","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"397","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"398","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"399","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"400","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"401","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"402","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"403","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"404","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"405","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","El Mirador","1","10 Mb","Fibra Optica"
"406","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","El Triunfo","1","10 Mb","Fibra Optica"
"407","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","El Triunfo","1","10 Mb","Fibra Optica"
"408","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","El Triunfo","1","10 Mb","Fibra Optica"
"409","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Kilómetro 9","1","10 Mb","Fibra Optica"
"410","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","La Esperanza","1","10 Mb","Fibra Optica"
"411","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","La Esperanza","1","10 Mb","Fibra Optica"
"412","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","La Esperanza","1","10 Mb","Fibra Optica"
"413","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","La Esperanza","1","10 Mb","Fibra Optica"
"414","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"415","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
