"hecho","ruptura","conexo","estado_noticia","etapa","anio_denuncia","anio_entrada","anio_hecho","ley","pais","departamento","municipio","seccional","grupo_delito","delito","imputacion","condena","atipicidad_inexistencia","acusacion","captura","sexo_victima","grupo_edad_victima","pais_nacimiento","homicidio_doloso_consumado","total_victimas"
"NO","NO","NO","INACTIVO","INDAGACIÓN","2019","2019","2019","Ley 906","Colombia","Córdoba","MONTERÍA","DIRECCIÓN SECCIONAL DE CÓRDOBA","FALSEDAD EN DOCUMENTO","USO DE DOCUMENTO FALSO. ART. 291 C.P.","NO","NO","SI","NO","NO","MASCULINO","JUVENTUD 18 - 28","Colombia","NO","5"
"SI","NO","NO","INACTIVO","INVESTIGACIÓN","2010","2010","2010","Ley 906","Colombia","Boyaca","AQUITANIA","DIRECCIÓN SECCIONAL DE BOYACÁ","LESIONES PERSONALES CULPOSAS","LESIONES CULPOSAS ART. 120 C.P. INCISO 1","SI","NO","NO","NO","NO","MASCULINO","JUVENTUD 18 - 28","Colombia","NO","1"
"SI","NO","SI","INACTIVO","INDAGACIÓN","2013","2013","2013","Ley 906","Colombia","Valle del Cauca","CALI","DIRECCIÓN SECCIONAL DE CALI","HURTO","HURTO CALIFICADO ART. 240 C.P. MENOR CUANTIA","NO","NO","NO","NO","NO","FEMENINO","ADULTEZ 29 - 59","Colombia","NO","121"
"SI","NO","NO","INACTIVO","EJECUCIÓN DE PENAS","2015","2015","2015","Ley 1098","Colombia","Bolívar","CARTAGENA","DIRECCIÓN SECCIONAL DE BOLÍVAR","HURTO","HURTO CALIFICADO. ART. 240 C.P.","SI","NO","NO","SI","SI","MASCULINO","ADULTEZ 29 - 59","Colombia","NO","1"
"SI","NO","NO","INACTIVO","INDAGACIÓN","2013","2013","2012","Ley 906","Colombia","Boyaca","PUERTO BOYACÁ","DIRECCIÓN SECCIONAL DE MAGDALENA MEDIO","VIOLENCIA INTRAFAMILIAR","VIOLENCIA INTRAFAMILIAR ART. 229 C.P.","NO","NO","NO","NO","NO",,"SIN DATO","Colombia","NO","14"
"SI","NO","NO","ACTIVO","INDAGACIÓN","2017","2017","2017","Ley 906","Colombia","Huila","NEIVA","DIRECCIÓN SECCIONAL DE HUILA","VIOLENCIA INTRAFAMILIAR","VIOLENCIA INTRAFAMILIAR ART. 229 C.P.","NO","NO","NO","NO","NO","FEMENINO","JUVENTUD 18 - 28","Colombia","NO","5"
"NO","NO","NO","INACTIVO","INDAGACIÓN","2010","2010","2010","Ley 906","Colombia","Cundinamarca","CAQUEZA","DIRECCIÓN SECCIONAL DE BOGOTÁ","EXTORSION","EXTORSION. ART. 244 C.P.","NO","NO","SI","NO","NO","FEMENINO","SIN DATO","Colombia","NO","1"
"NO","NO","NO","INACTIVO","INDAGACIÓN","2019","2019","2019","Ley 906","Colombia","Antioquia","MEDELLÍN","DIRECCIÓN SECCIONAL DE MEDELLÍN","ESTAFA","ESTAFA. ART. 246 C.P.","NO","NO","SI","NO","NO","FEMENINO","ADULTO MAYOR DE 60","Colombia","NO","9"
"NO","NO","NO","INACTIVO","QUERELLABLE","2015","2015","2014","Ley 906","Colombia","Valle del Cauca","CALI","DIRECCIÓN SECCIONAL DE CALI","LESIONES PERSONALES CULPOSAS","LESIONES CULPOSAS ART. 120 C.P. INCISO 1","NO","NO","SI","NO","NO","FEMENINO","SIN DATO","Colombia","NO","11"
"SI","NO","NO","INACTIVO","QUERELLABLE","2019","2019","2019","Ley 906","Colombia","Bolívar","CARTAGENA","DIRECCIÓN SECCIONAL DE BOLÍVAR","HURTO","HURTO ART. 239 C.P. MENOR CUANTIA","NO","NO","NO","NO","NO","MASCULINO","ADULTEZ 29 - 59","Colombia","NO","181"
"SI","NO","NO","INACTIVO","INDAGACIÓN","2021","2021","2021","Ley 906","Colombia","Valle del Cauca","CALI","DIRECCIÓN SECCIONAL DE CALI","HURTO","HURTO. ART. 239 C.P.","NO","NO","NO","NO","NO","MASCULINO","JUVENTUD 18 - 28","Colombia","NO","888"
"NO","NO","NO","INACTIVO","INDAGACIÓN","2016","2016","2016","Ley 906","Colombia","Tolima","MARIQUITA","DIRECCIÓN SECCIONAL DE TOLIMA","AMENAZAS","AMENAZAS ART. 347 C.P.","NO","NO","SI","NO","NO","FEMENINO","JUVENTUD 18 - 28","Colombia","NO","2"
"SI","NO","NO","ACTIVO","QUERELLABLE","2021","2021","2021","Ley 906","Colombia","Tolima","IBAGUÉ","DIRECCIÓN SECCIONAL DE TOLIMA","LESIONES PERSONALES","LESIONES ART. 111 C.P.","NO","NO","NO","NO","NO","MASCULINO","SIN DATO","Colombia","NO","22"
"SI","NO","NO","ACTIVO","QUERELLABLE","2022","2022","2022","Ley 906","Colombia","Valle del Cauca","CALI","DIRECCIÓN SECCIONAL DE CALI","ESTAFA","ESTAFA. ART. 246 C.P. MENOR CUANTIA","NO","NO","NO","NO","NO","FEMENINO","JUVENTUD 18 - 28",,"NO","16"
"NO","NO","NO","INACTIVO","INDAGACIÓN","2013","2013","2013","Ley 906","Colombia","Sucre","GALERAS","DIRECCIÓN SECCIONAL DE SUCRE","PATRIMONIO ECONOMICO","DAÑO EN BIEN AJENO. ART. 265 C.P.","NO","NO","SI","NO","NO","MASCULINO","SIN DATO","Colombia","NO","2"
"SI","NO","NO","INACTIVO","INDAGACIÓN","2022","2022","2020","Ley 906","Colombia","Putumayo","VILLAGARZÓN","DIRECCIÓN SECCIONAL DE PUTUMAYO","CONTRA LA FAMILIA","INASISTENCIA ALIMENTARIA ART. 233 C.P.","NO","NO","NO","NO","NO",,"SIN DATO",,"NO","1"
"SI","NO","NO","INACTIVO","INDAGACIÓN","2010","2010","2010","Ley 906","Colombia","Cauca","POPAYÁN","DIRECCIÓN SECCIONAL DE CAUCA","LESIONES PERSONALES","LESIONES PERSONALES SIN SECUELAS","NO","NO","NO","NO","NO","MASCULINO","ADULTEZ 29 - 59","Colombia","NO","2"
"NO","NO","NO","INACTIVO","INDAGACIÓN","2012","2012","2012","Ley 906","Colombia","Cundinamarca","CAJICÁ","DIRECCIÓN SECCIONAL DE CUNDINAMARCA","HOMICIDIO DOLOSO","HOMICIDIO ART. 103 C.P.","NO","NO","SI","NO","NO","FEMENINO","JUVENTUD 18 - 28","Colombia","NO","1"
"SI","NO","NO","ACTIVO","QUERELLABLE","2022","2022","2022","Ley 1098","Colombia","Arauca","ARAUCA","DIRECCIÓN SECCIONAL DE ARAUCA","LESIONES PERSONALES CULPOSAS","LESIONES CULPOSAS ART. 120 C.P. MEDIO MOTORIZADO INCISO 2","NO","NO","NO","NO","NO","MASCULINO","ADULTO MAYOR DE 60","Colombia","NO","1"
"SI","NO","NO","ACTIVO","INDAGACIÓN","2022","2022","2022","Ley 906","Colombia","Valle del Cauca","CALI","DIRECCIÓN SECCIONAL DE CALI","DELITOS INFORMATICOS","ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009","NO","NO","NO","NO","NO","MASCULINO","SIN DATO",,"NO","19"
"SI","NO","SI","INACTIVO","INDAGACIÓN","2021","2021","2021","Ley 906","Colombia","Tolima","GUAMO","DIRECCIÓN SECCIONAL DE TOLIMA","FABRICACION, TRAFICO Y PORTE DE ARMAS","FABRICACION, TRAFICO Y PORTE DE ARMAS DE FUEGO O MUNICIONES ART. 365 C.P.","NO","NO","NO","NO","NO","MASCULINO","SIN DATO","Colombia","NO","2"
"SI","NO","NO","ACTIVO","INDAGACIÓN","2019","2019","2019","Ley 906","Colombia","Huila","IQUIRA","DIRECCIÓN SECCIONAL DE HUILA","DELITOS SEXUALES","ACTOS SEXUALES CON MENOR DE CATORCE AÑOS. ART. 209 C.P.","NO","NO","NO","NO","NO","FEMENINO","SIN DATO","Colombia","NO","4"
"SI","NO","SI","INACTIVO","QUERELLABLE","2012","2012","2012","Ley 906","Colombia","Valle del Cauca","BUENAVENTURA","DIRECCIÓN SECCIONAL DE VALLE DEL CAUCA","LESIONES PERSONALES","LESIONES ART. 111 C.P.","NO","NO","NO","NO","NO","FEMENINO","SIN DATO","Colombia","NO","1"
"SI","NO","NO","INACTIVO","INDAGACIÓN","2012","2012","2012","Ley 906","Colombia","La Guajira","RIOHACHA","DIRECCIÓN SECCIONAL DE LA GUAJIRA","HURTO","HURTO CALIFICADO ART. 240 C.P. MENOR CUANTIA","NO","NO","NO","NO","NO",,"SIN DATO","Colombia","NO","26"
"SI","NO","NO","INACTIVO","INDAGACIÓN","2022","2022","2022","Ley 906","Colombia","Huila","NEIVA","DIRECCIÓN SECCIONAL DE HUILA","HURTO","HURTO CALIFICADO ART. 240 C.P. MENOR CUANTIA","NO","NO","NO","NO","NO","MASCULINO","JUVENTUD 18 - 28","Colombia","NO","207"
"SI","NO","NO","ACTIVO","JUICIO","2016","2016","2016","Ley 906","Colombia","Meta","VILLAVICENCIO","DIRECCIÓN SECCIONAL DE META","DELITOS INFORMATICOS","VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009","SI","NO","NO","SI","SI","MASCULINO","ADULTEZ 29 - 59","Colombia","NO","1"
"SI","NO","NO","INACTIVO","INDAGACIÓN","2015","2015","2015","Ley 906","Colombia","Antioquia","ITAGUI","DIRECCIÓN SECCIONAL DE MEDELLÍN","HURTO","HURTO CALIFICADO ART. 240 C.P. MENOR CUANTIA","NO","NO","NO","NO","NO","MASCULINO","JUVENTUD 18 - 28","Colombia","NO","1"
"SI","NO","NO","INACTIVO","QUERELLABLE","2019","2019","2019","Ley 906","Colombia","BOGOTÁ, D. C.","BOGOTÁ, D.C.","DIRECCIÓN SECCIONAL DE BOGOTÁ","LESIONES PERSONALES CULPOSAS","LESIONES CULPOSAS ART. 120 C.P. INCISO 1","NO","NO","NO","NO","NO","FEMENINO","ADULTEZ 29 - 59","Colombia","NO","997"
"SI","NO","NO","ACTIVO","QUERELLABLE","2021","2021","2021","Ley 906","Colombia","Valle del Cauca","CALI","DIRECCIÓN SECCIONAL DE CALI","LESIONES PERSONALES CULPOSAS","LESIONES CULPOSAS ART. 120 C.P. MEDIO MOTORIZADO INCISO 2","NO","NO","NO","NO","NO","FEMENINO","ADULTEZ 29 - 59","Colombia","NO","110"
"SI","NO","NO","INACTIVO","INDAGACIÓN","2015","2015","2015","Ley 906","Colombia","Tolima","IBAGUÉ","DIRECCIÓN SECCIONAL DE TOLIMA","HURTO","HURTO CALIFICADO ART. 240 C.P.  AGRAVADO POR LA DESTREZA ART. 241 C.P. N.10","NO","NO","NO","NO","NO","MASCULINO","JUVENTUD 18 - 28","Colombia","NO","52"
"SI","NO","NO","INACTIVO","QUERELLABLE","2014","2014","2014","Ley 906","Colombia","Magdalena","EL BANCO","DIRECCIÓN SECCIONAL DE MAGDALENA","LESIONES PERSONALES","LESIONES ART. 111 C.P.","NO","NO","NO","NO","NO","MASCULINO","ADULTEZ 29 - 59","Colombia","NO","13"
"NO","NO","NO","INACTIVO","QUERELLABLE","2018","2018","2018","Ley 906","Colombia","Nariño","PASTO","DIRECCIÓN SECCIONAL DE NARIÑO","INJURIA Y CALUMNIA","INJURIA. ART. 220 C.P.","NO","NO","SI","NO","NO","FEMENINO","JUVENTUD 18 - 28","Colombia","NO","24"
"NO","NO","NO","INACTIVO","QUERELLABLE","2015","2015","2015","Ley 906","Colombia","Huila","OPORAPA","DIRECCIÓN SECCIONAL DE HUILA","LESIONES PERSONALES CULPOSAS","LESIONES CULPOSAS ART. 120 C.P. INCISO 1","NO","NO","SI","NO","NO","MASCULINO","ADULTEZ 29 - 59","Colombia","NO","1"
"SI","NO","NO","INACTIVO","INDAGACIÓN","2010","2010","2010","Ley 906","Colombia","Cundinamarca","COGUA","DIRECCIÓN SECCIONAL DE CUNDINAMARCA","HURTO","HURTO CALIFICADO. ART. 240 C.P.","NO","NO","NO","NO","NO","FEMENINO","ADULTEZ 29 - 59","Colombia","NO","2"
"SI","NO","NO","INACTIVO","INDAGACIÓN","2014","2014","2014","Ley 906","Colombia","Santander","BUCARAMANGA","DIRECCIÓN SECCIONAL DE SANTANDER","HURTO","HURTO CALIFICADO ART. 240 C.P. MENOR CUANTIA","NO","NO","NO","NO","NO","MASCULINO","ADULTEZ 29 - 59","Colombia","NO","13"
"SI","NO","NO","ACTIVO","QUERELLABLE","2022","2022","2022","Ley 906","Colombia","Cundinamarca","SOACHA","DIRECCIÓN SECCIONAL DE CUNDINAMARCA","PATRIMONIO ECONOMICO","DAÑO EN BIEN AJENO. ART. 265 C.P.","NO","NO","NO","NO","NO","FEMENINO","ADULTEZ 29 - 59","Colombia","NO","60"
"NO","NO","NO","INACTIVO","INDAGACIÓN","2011","2011","2010","Ley 906","Colombia","Santander","CONTRATACIÓN","DIRECCIÓN SECCIONAL DE SANTANDER","VIOLENCIA INTRAFAMILIAR","VIOLENCIA INTRAFAMILIAR ART. 229 C.P.","NO","NO","SI","NO","NO","FEMENINO","PRIMERA INFANCIA 0 - 5","Colombia","NO","1"
"NO","NO","NO","INACTIVO","INDAGACIÓN","2017","2017","2017","Ley 906","Colombia","Huila","NEIVA","DIRECCIÓN SECCIONAL DE HUILA","HOMICIDIO CULPOSO","HOMICIDIO CULPOSO ART. 109 C.P.","NO","NO","SI","NO","NO","MASCULINO","ADULTEZ 29 - 59","Colombia","NO","9"
"SI","NO","NO","INACTIVO","QUERELLABLE","2014","2014","2013","Ley 906","Colombia","Valle del Cauca","ALCALÁ","DIRECCIÓN SECCIONAL DE VALLE DEL CAUCA","ESTAFA","ESTAFA. ART. 246 C.P. MENOR CUANTIA","NO","NO","NO","NO","NO",,"SIN DATO","Colombia","NO","1"
"SI","NO","NO","ACTIVO","INDAGACIÓN","2022","2022","2022","Ley 906","Colombia","Tolima","CHAPARRAL","DIRECCIÓN SECCIONAL DE TOLIMA","HURTO","HURTO CALIFICADO. ART. 240 C.P.","NO","NO","NO","NO","NO","MASCULINO","ADULTO MAYOR DE 60","Colombia","NO","2"
"SI","NO","NO","ACTIVO","QUERELLABLE","2021","2021","2021","Ley 906","Colombia","Cundinamarca","LA CALERA","DIRECCIÓN SECCIONAL DE BOGOTÁ","MALTRATO ANIMAL","MALTRATO ANIMAL ART. 339A C.P.","NO","NO","NO","NO","NO","FEMENINO","ADULTEZ 29 - 59","Colombia","NO","1"
"SI","NO","NO","INACTIVO","QUERELLABLE","2017","2017","2017","Ley 906","Colombia","Antioquia","MEDELLÍN","DIRECCIÓN SECCIONAL DE MEDELLÍN","LESIONES PERSONALES","LESIONES PERSONALES SIN SECUELAS","NO","NO","NO","NO","NO","FEMENINO","ADULTEZ 29 - 59","Colombia","NO","185"
"SI","NO","NO","ACTIVO","JUICIO","2020","2020","2019","Ley 906","Colombia","Risaralda","DOSQUEBRADAS","DIRECCIÓN SECCIONAL DE RISARALDA","DELITOS SEXUALES","ACTOS SEXUALES CON MENOR DE CATORCE AÑOS. ART. 209 C.P.","SI","NO","NO","SI","NO","MASCULINO","PRE-ADOLESCENTE 12 - 13","Colombia","NO","1"
"SI","NO","NO","ACTIVO","INDAGACIÓN","2019","2019","2019","Ley 906","Colombia","Magdalena","PEDRAZA","DIRECCIÓN SECCIONAL DE MAGDALENA","HURTO","HURTO CALIFICADO ART. 240 C.P. MENOR CUANTIA","NO","NO","NO","NO","NO","MASCULINO","SIN DATO","Colombia","NO","1"
"SI","NO","NO","INACTIVO","INDAGACIÓN","2021","2021","2021","Ley 906","Colombia","BOGOTÁ, D. C.","BOGOTÁ, D.C.","DIRECCIÓN SECCIONAL DE BOGOTÁ","HURTO","HURTO. ART. 239 C.P.","NO","NO","NO","NO","NO","FEMENINO","ADULTO MAYOR DE 60","Colombia","NO","1852"
"SI","NO","NO","INACTIVO","INDAGACIÓN","2017","2017","2017","Ley 906","Colombia","Nariño","POLICARPA","DIRECCIÓN SECCIONAL DE NARIÑO","HOMICIDIO DOLOSO","HOMICIDIO ART. 103 C.P.","NO","NO","NO","NO","NO","MASCULINO","JUVENTUD 18 - 28","Colombia","SI","5"
"NO","NO","NO","INACTIVO","INDAGACIÓN","2020","2020","2020","Ley 906","Colombia","Boyaca","ZETAQUIRA","DIRECCIÓN SECCIONAL DE BOYACÁ","CONTRA LA FAMILIA","INASISTENCIA ALIMENTARIA ART. 233 C.P.","NO","NO","SI","NO","NO","FEMENINO","SIN DATO","Colombia","NO","1"
"SI","NO","NO","INACTIVO","INDAGACIÓN","2021","2021","2021","Ley 906","Colombia","Atlántico","BARRANQUILLA","DIRECCIÓN SECCIONAL DE ATLÁNTICO","DELITOS INFORMATICOS","ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009","NO","NO","NO","NO","NO",,"SIN DATO",,"NO","5"
"SI","NO","NO","INACTIVO","INDAGACIÓN","2011","2011","2011","Ley 906","Colombia","Antioquia","MEDELLÍN","DIRECCIÓN SECCIONAL DE MEDELLÍN","HURTO","HURTO CALIFICADO. ART. 240 C.P.","NO","NO","NO","NO","NO","MASCULINO","JUVENTUD 18 - 28","Colombia","NO","1099"
"NO","NO","NO","INACTIVO","INDAGACIÓN","2010","2010","2010","Ley 906","Colombia","Cundinamarca","GRANADA","DIRECCIÓN SECCIONAL DE CUNDINAMARCA","HOMICIDIO CULPOSO","HOMICIDIO CULPOSO ART. 109 C.P.","NO","NO","SI","NO","NO",,"SIN DATO","Colombia","NO","1"
"SI","NO","NO","INACTIVO","INDAGACIÓN","2019","2019","2019","Ley 906","Colombia","BOGOTÁ, D. C.","BOGOTÁ, D.C.","DIRECCIÓN SECCIONAL DE BOGOTÁ","ADMINISTRACION PUBLICA","ABUSO DE AUTORIDAD POR ACTO ARBITRARIO O INJUSTO ART. 416","NO","NO","NO","NO","NO","MASCULINO","ADULTEZ 29 - 59","Colombia","NO","126"
"SI","NO","NO","INACTIVO","QUERELLABLE","2012","2012","2012","Ley 906","Colombia","Tolima","IBAGUÉ","DIRECCIÓN SECCIONAL DE TOLIMA","LESIONES PERSONALES","LESIONES PERSONALES CON INCAPACIDAD MENOR 60 DIAS","NO","NO","NO","NO","NO","FEMENINO","ADULTEZ 29 - 59","Colombia","NO","32"
"SI","NO","NO","ACTIVO","QUERELLABLE","2021","2021","2021","Ley 906","Colombia","Caldas","MANIZALES","DIRECCIÓN SECCIONAL DE CALDAS","LESIONES PERSONALES CULPOSAS","LESIONES CULPOSAS ART. 120 C.P. MEDIO MOTORIZADO INCISO 2","NO","NO","NO","NO","NO","MASCULINO","ADULTEZ 29 - 59","Colombia","NO","15"
"SI","NO","NO","INACTIVO","QUERELLABLE","2020","2020","2020","Ley 906","Colombia","Risaralda","PEREIRA","DIRECCIÓN SECCIONAL DE RISARALDA","LESIONES PERSONALES CULPOSAS","LESIONES CULPOSAS ART. 120 C.P. MEDIO MOTORIZADO INCISO 2","NO","NO","NO","NO","NO","FEMENINO","ADULTEZ 29 - 59","Colombia","NO","114"
"SI","NO","NO","INACTIVO","QUERELLABLE","2013","2013","2013","Ley 906","Colombia","Cundinamarca","MOSQUERA","DIRECCIÓN SECCIONAL DE CUNDINAMARCA","VIOLENCIA INTRAFAMILIAR","VIOLENCIA INTRAFAMILIAR ART. 229 C.P.","NO","NO","NO","NO","NO",,"SIN DATO","Colombia","NO","3"
"SI","NO","NO","ACTIVO","INDAGACIÓN","2021","2021","2021","Ley 906","Colombia","Cundinamarca","FUSAGASUGÁ","DIRECCIÓN SECCIONAL DE CUNDINAMARCA","VIOLENCIA INTRAFAMILIAR","VIOLENCIA INTRAFAMILIAR ART. 229 C.P.","NO","NO","NO","NO","NO","FEMENINO","ADULTEZ 29 - 59","Colombia","NO","55"
"SI","NO","NO","INACTIVO","INDAGACIÓN","2019","2019","2018","Ley 1098","Colombia","Santander","FLORIDABLANCA","DIRECCIÓN SECCIONAL DE SANTANDER","AMENAZAS","AMENAZAS ART. 347 C.P.","NO","NO","NO","NO","NO","FEMENINO","SIN DATO","Colombia","NO","1"
"SI","NO","NO","INACTIVO","INDAGACIÓN","2016","2016","2016","Ley 906","Colombia","Bolívar","ARJONA","DIRECCIÓN SECCIONAL DE BOLÍVAR","HURTO","HURTO CALIFICADO ART. 240 C.P. MENOR CUANTIA","NO","NO","NO","NO","NO","FEMENINO","ADULTEZ 29 - 59","Colombia","NO","1"
"SI","NO","NO","ACTIVO","INDAGACIÓN","2021","2021","2021","Ley 906","Colombia","Santander","MÁLAGA","DIRECCIÓN SECCIONAL DE SANTANDER","HOMICIDIO CULPOSO","HOMICIDIO CULPOSO ART. 109 C.P.","NO","NO","NO","NO","NO","MASCULINO","JUVENTUD 18 - 28","Colombia","NO","2"
"NO","NO","NO","INACTIVO","INDAGACIÓN","2021","2021","2021","Ley 906","Colombia","Valle del Cauca","LA CUMBRE","DIRECCIÓN SECCIONAL DE CALI","AMENAZAS","AMENAZAS ART. 347 C.P.","NO","NO","SI","NO","NO","FEMENINO","JUVENTUD 18 - 28","Colombia","NO","1"
"SI","NO","NO","INACTIVO","QUERELLABLE","2011","2011","2011","Ley 906","Colombia","Bolívar","CARTAGENA","DIRECCIÓN SECCIONAL DE BOLÍVAR","LESIONES PERSONALES","LESIONES PERSONALES CON INCAPACIDAD MENOR 60 DIAS","NO","NO","NO","NO","NO","FEMENINO","ADULTEZ 29 - 59","Colombia","NO","61"
"NO","NO","NO","INACTIVO","QUERELLABLE","2016","2016","2016","Ley 906","Colombia","Sucre","SINCELEJO","DIRECCIÓN SECCIONAL DE SUCRE","ESTAFA","ESTAFA. ART. 246 C.P. MENOR CUANTIA","NO","NO","SI","NO","NO","MASCULINO","SIN DATO","Colombia","NO","8"
"SI","NO","NO","INACTIVO","JUICIO","2018","2018","2015","Ley 906","Colombia","Caldas","MANIZALES","DIRECCIÓN SECCIONAL DE CALDAS","DELITOS SEXUALES","ACTOS SEXUALES CON MENOR DE CATORCE AÑOS. ART. 209 C.P.","SI","NO","NO","SI","NO","FEMENINO","INFANCIA 6 - 11","Colombia","NO","1"
"SI","NO","NO","INACTIVO","INDAGACIÓN","2011","2011","2011","Ley 906","Colombia","Valle del Cauca","CALI","DIRECCIÓN SECCIONAL DE CALI","HURTO","HURTO. ART. 239 C.P.","NO","NO","NO","NO","NO","MASCULINO","SIN DATO","Colombia","NO","86"
"SI","NO","NO","INACTIVO","QUERELLABLE","2018","2018","2018","Ley 906","Colombia","Sucre","COROZAL","DIRECCIÓN SECCIONAL DE SUCRE","HURTO","HURTO ART. 239 C.P. MENOR CUANTIA","NO","NO","NO","NO","NO","MASCULINO","ADULTEZ 29 - 59","Colombia","NO","12"
"NO","NO","NO","INACTIVO","INDAGACIÓN","2014","2014","2014","Ley 906","Colombia","Nariño","PASTO","DIRECCIÓN SECCIONAL DE NARIÑO","VIOLENCIA INTRAFAMILIAR","VIOLENCIA INTRAFAMILIAR ART. 229 C.P.","NO","NO","SI","NO","NO","FEMENINO","SIN DATO","Colombia","NO","177"
"SI","NO","NO","INACTIVO","INDAGACIÓN","2014","2014","2014","Ley 906","Colombia","Cesar","VALLEDUPAR","DIRECCIÓN SECCIONAL DE CESAR","AMENAZAS","AMENAZAS ART. 347 C.P.","NO","NO","NO","NO","NO","MASCULINO","ADOLESCENTE 14 - 17","Colombia","NO","3"
"SI","NO","NO","INACTIVO","QUERELLABLE","2021","2021","2020","Ley 906","Colombia","Santander","BUCARAMANGA","DIRECCIÓN SECCIONAL DE SANTANDER","INJURIA Y CALUMNIA","INJURIA. ART. 220 C.P.","NO","NO","NO","NO","NO","MASCULINO","ADULTO MAYOR DE 60","Colombia","NO","1"
"SI","NO","NO","INACTIVO","QUERELLABLE","2011","2011","2010","Ley 906","Colombia","Cundinamarca","ZIPAQUIRÁ","DIRECCIÓN SECCIONAL DE CUNDINAMARCA","FE PUBLICA","FALSEDAD PERSONAL. ART. 296 C.P.","NO","NO","NO","NO","NO","MASCULINO","JUVENTUD 18 - 28","Colombia","NO","1"
"SI","NO","NO","INACTIVO","INDAGACIÓN","2012","2012","2012","Ley 906","Colombia","Valle del Cauca","PRADERA","DIRECCIÓN SECCIONAL DE CALI","HOMICIDIO DOLOSO","HOMICIDIO ART. 103 C.P.","NO","NO","NO","NO","NO","FEMENINO","JUVENTUD 18 - 28","Colombia","SI","1"
"SI","NO","NO","INACTIVO","QUERELLABLE","2010","2010","2010","Ley 906","Colombia","Santander","BUCARAMANGA","DIRECCIÓN SECCIONAL DE SANTANDER","LESIONES PERSONALES CULPOSAS","LESIONES CULPOSAS ART. 120 C.P. INCISO 1","NO","NO","NO","NO","NO","FEMENINO","JUVENTUD 18 - 28","Colombia","NO","102"
"SI","NO","NO","ACTIVO","QUERELLABLE","2020","2020","2020","Ley 906","Colombia","Magdalena","PLATO","DIRECCIÓN SECCIONAL DE MAGDALENA","LESIONES PERSONALES CULPOSAS","LESIONES CULPOSAS ART. 120 C.P. INCISO 1","NO","NO","NO","NO","NO","MASCULINO","JUVENTUD 18 - 28","Colombia","NO","2"
"SI","NO","NO","INACTIVO","INDAGACIÓN","2018","2018","2018","Ley 906","Colombia","Antioquia","SEGOVIA","DIRECCIÓN SECCIONAL DE ANTIOQUIA","HURTO","HURTO. ART. 239 C.P.","NO","NO","NO","NO","NO","MASCULINO","ADULTEZ 29 - 59","Colombia","NO","9"
"SI","NO","SI","INACTIVO","INDAGACIÓN","2021","2021","2021","Ley 906","Colombia","Valle del Cauca","CALI","DIRECCIÓN SECCIONAL DE BOGOTÁ","EXTORSION","EXTORSION. ART. 244 C.P MENOR CUANTIA","NO","NO","NO","NO","NO","MASCULINO","SIN DATO","Colombia","NO","1"
"NO","NO","NO","INACTIVO","QUERELLABLE","2011","2011","2011","Ley 906","Colombia","Meta","VILLAVICENCIO","DIRECCIÓN SECCIONAL DE LA GUAJIRA","FE PUBLICA","FALSEDAD PERSONAL. ART. 296 C.P.","NO","NO","SI","NO","NO","MASCULINO","ADULTEZ 29 - 59","Colombia","NO","1"
"NO","NO","NO","INACTIVO","INDAGACIÓN","2022","2022","2019","Ley 906","Colombia","BOGOTÁ, D. C.","BOGOTÁ, D.C.","DIRECCIÓN SECCIONAL DE BOGOTÁ","ACTOS DE DISCRIMINACION","ACTOS DE RACISMO O DISCRIMINACIÓNART. 134 A","NO","NO","SI","NO","NO","MASCULINO","ADULTEZ 29 - 59","Venezuela","NO","1"
"SI","NO","NO","INACTIVO","INDAGACIÓN","2010","2010","2010","Ley 906","Colombia","Casanare","YOPAL","DIRECCIÓN SECCIONAL DE CASANARE","CONTRA LA FAMILIA","INASISTENCIA ALIMENTARIA ART. 233 C.P.","NO","NO","NO","NO","NO","FEMENINO","PRE-ADOLESCENTE 12 - 13","Colombia","NO","5"
"NO","NO","NO","INACTIVO","INDAGACIÓN","2017","2017","2017","Ley 906","Colombia","Meta","VILLAVICENCIO","DIRECCIÓN SECCIONAL DE META","VIOLENCIA INTRAFAMILIAR","VIOLENCIA INTRAFAMILIAR ART. 229 C.P.","NO","NO","SI","NO","NO","MASCULINO","SIN DATO","Colombia","NO","40"
"SI","NO","NO","INACTIVO","INDAGACIÓN","2022","2022","2022","Ley 906","Colombia","Cundinamarca","SOACHA","DIRECCIÓN SECCIONAL DE CUNDINAMARCA","ESTAFA","ESTAFA. ART. 246 C.P.","NO","NO","NO","NO","NO","FEMENINO","JUVENTUD 18 - 28","Colombia","NO","45"
"NO","NO","NO","INACTIVO","INDAGACIÓN","2017","2017","2017","Ley 906","Colombia","BOGOTÁ, D. C.","BOGOTÁ, D.C.","DIRECCIÓN SECCIONAL DE BOGOTÁ","HURTO","HURTO AGRAVADO ART. 239 C.P. MENOR CUANTIA","NO","NO","SI","NO","NO","MASCULINO","SIN DATO","Colombia","NO","201"
