"vigencia_proyecto","periodo","dependencia","proyecto","estado"
"2021","Semestre II","OBRAS EN EJECUCIÓN VIGENCIA 2021 - SECRETARÍA DISTRITAL DE OBRAS PÚBLICAS","Drenaje Pluvial Efectivo (Proyecto Canalización del Arroyo y recuperación vial de la Calle 85).","En Proceso, en aprobación por parte de Oficina Nacional de Gestión del Riesgo"
"2021","Semestre II","OBRAS EN EJECUCIÓN VIGENCIA 2021 - SECRETARÍA DISTRITAL DE OBRAS PÚBLICAS","Construcción Del Gran Malecón Del Rio","Obra Terminada e inaugurada."
"2021","Semestre II","OBRAS EN EJECUCIÓN VIGENCIA 2021 - SECRETARÍA DISTRITAL DE OBRAS PÚBLICAS","Supervisión de Obras del Modelo de Atención Reglamentado. Mejoramiento de la Infraestructura física y dotación Hospitalaria de Pasos y Caminos de la red pública Distrital.","En Ejecución"
"2021","Semestre II","OBRAS EN EJECUCIÓN VIGENCIA 2021 - SECRETARÍA DISTRITAL DE OBRAS PÚBLICAS","Apoyo a la Supervisión de Obras y/o Proyectos en el Distrito de Barranquilla, Obras y/o Proyectos que pertenecen a otras Secretarías o Dependencias: Fabrica de la Cultura, Mercado Público, Caís, Construcción de un Centro de Vida Barrio Santuario, Ampliación de la Calle 30 entre Carrera 46 y Vía Circunvalar, Ampliación de la Vía Cordialidad entre Circunvalar y Carrera 23, Ampliación de la Vía Circunvalar entre Carrera 38 y Carrera 12A, Canalizaciones de Arroyos, entre Otros.","En Ejecución"
"2021","Semestre II","PROYECTOS PLAN VIAL Y CANALIZACIONES AGENCIA DISTRITAL DE INFRAESTRUCTURA - ADI - PENDIENTE.","MEJORAMIENTO Y/O PAVIMENTACION DE LA VIA 40 ENTRE CALLE 85 Y 110.","En Ejecución (Avance 100%)."
"2021","Semestre II","PROYECTOS PLAN VIAL Y CANALIZACIONES AGENCIA DISTRITAL DE INFRAESTRUCTURA - ADI - PENDIENTE.","CONSTRUCCION Y/O AMPLIACION DE LA VIA LA CORDIALIDAD","En Ejecución"
"2021","Semestre II","PROYECTOS PLAN VIAL Y CANALIZACIONES AGENCIA DISTRITAL DE INFRAESTRUCTURA - ADI - PENDIENTE.","CONSTRUCCIÓN Y/O AMPLIACIÓN DE LA VIA CIRCUNVALAR ENTRE CARRERA 38 Y LA CARRERA 12A.","En Ejecución"
"2021","Semestre II","PROYECTOS PLAN VIAL Y CANALIZACIONES AGENCIA DISTRITAL DE INFRAESTRUCTURA - ADI - PENDIENTE.","CONSTRUCCIÓN DE LA PROLONGACION DE LA CARRERA 43.","En Ejecución (Avance 100%)."
"2021","Semestre II","PROYECTOS PLAN VIAL Y CANALIZACIONES AGENCIA DISTRITAL DE INFRAESTRUCTURA - ADI - PENDIENTE.","CONSTRUCCIÓN Y/O AMPLIACIÓN DE LA CALLE 30 ENTRE CRA 46 Y VIA LA CIRCUNVALAR.","En Ejecución"
"2021","Semestre II","PROYECTOS PLAN VIAL Y CANALIZACIONES AGENCIA DISTRITAL DE INFRAESTRUCTURA - ADI - PENDIENTE.","Canalización del arroyo de la Carrera 21 entre Calle 53D y Calle 30.","En Ejecución"
"2021","Semestre II","PROYECTOS PLAN VIAL Y CANALIZACIONES AGENCIA DISTRITAL DE INFRAESTRUCTURA - ADI - PENDIENTE.","Canalización del arroyo Hospital.","En Ejecución"
"2021","Semestre II","PROYECTOS PLAN VIAL Y CANALIZACIONES AGENCIA DISTRITAL DE INFRAESTRUCTURA - ADI - PENDIENTE.","Canalización del arroyo de la Carrera 65.","En Ejecución"
"2021","Semestre II","PROYECTOS PLAN VIAL Y CANALIZACIONES AGENCIA DISTRITAL DE INFRAESTRUCTURA - ADI - PENDIENTE.","Canalización arroyo de la calle 76.","En Ejecución (Avance 100%)."
"2021","Semestre II","PROYECTOS PLAN VIAL Y CANALIZACIONES AGENCIA DISTRITAL DE INFRAESTRUCTURA - ADI - PENDIENTE.","Canalización Arroyo Felicidad.","En Ejecución"
"2021","Semestre II","AGENCIA DISTRITAL DE INFRAESTRUCTURA - ADI","Mantenimiento y adecuación de parques y areas públicas de la localidad metropolitana en el distrito de barranquilla.","En Ejecución"
"2020","Semestre II","AGENCIA DISTRITAL DE INFRAESTRUCTURA - ADI","Recuperación urbanistica del espacio publico desde la linea de bordillo a la linea de propiedad de la carrera 54","En Ejecución"
"2021","Semestre II","AGENCIA DISTRITAL DE INFRAESTRUCTURA - ADI","Mantenimiento y adecuación de parques y areas públicas de la localidad sur oriente en el distrito de barranquilla.","En Ejecución"
"2021","Semestre II","AGENCIA DISTRITAL DE INFRAESTRUCTURA - ADI","Mantenimiento y adecuación de parques y areas públicas de la localidad norte centro historico en el distrito de barranquilla.","En Ejecución"
"2021","Semestre II","AGENCIA DISTRITAL DE INFRAESTRUCTURA - ADI","Mantenimiento y adecuación de parques y areas públicas de la localidad riomar en el distrito de barranquilla.","En Ejecución"
"2020","Semestre II","AGENCIA DISTRITAL DE INFRAESTRUCTURA - ADI","Mantenimiento y adecuacion de superficies y cerramientos en zonas de juegos, canchas y plazoletas en el distrito de barranquilla","Terminado"
"2021","Semestre II","AGENCIA DISTRITAL DE INFRAESTRUCTURA - ADI","Mejoramiento y construcción de parques públicos, canchas deportivas, zonas verdes y bulevares en diferentes sectores del distrito de Barranquilla. (FASE VI)","En Ejecución"
"2022","Semestre I","OBRAS EN EJECUCIÓN VIGENCIA 2022 - SECRETARÍA DISTRITAL DE OBRAS PÚBLICAS","Barrios a la Obra","En Ejecución"
"2022","Semestre I","OBRAS EN EJECUCIÓN VIGENCIA 2022 - SECRETARÍA DISTRITAL DE OBRAS PÚBLICAS","Plan Malla Vial, Kms de malla vial mantenidos.","En Ejecución"
"2022","Semestre I","OBRAS EN EJECUCIÓN VIGENCIA 2022 - SECRETARÍA DISTRITAL DE OBRAS PÚBLICAS","Plan Malla Vial, Porcentaje de avance en la formulación del Plan malla vial formulado.","En Ejecución"
"2022","Semestre I","OBRAS EN EJECUCIÓN VIGENCIA 2022 - SECRETARÍA DISTRITAL DE OBRAS PÚBLICAS","Mejoramiento de Viviendas.","En Ejecución"
"2022","Semestre I","OBRAS EN EJECUCIÓN VIGENCIA 2022 - SECRETARÍA DISTRITAL DE OBRAS PÚBLICAS","Drenaje Pluvial Efectivo, Metros lineales canalizados.","En Ejecución"
"2022","Semestre I","OBRAS EN EJECUCIÓN VIGENCIA 2022 - SECRETARÍA DISTRITAL DE OBRAS PÚBLICAS","Drenaje Pluvial Efectivo, Porcentaje de avance de la elaboración del Plan maestro.","En Ejecución"
"2022","Semestre I","OBRAS EN EJECUCIÓN VIGENCIA 2022 - SECRETARÍA DISTRITAL DE OBRAS PÚBLICAS","Recuperación integral de la Ciénaga de Mallorquín, Metros cuadrados de senderos ecoturísticos construidos.","En Ejecución"
"2022","Semestre I","OBRAS EN EJECUCIÓN VIGENCIA 2022 - SECRETARÍA DISTRITAL DE OBRAS PÚBLICAS","Recuperación integral de la Ciénaga de Mallorquín, Porcentaje de infraestructura para el turismo consolidada.","En Ejecución"
"2022","Semestre I","OBRAS EN EJECUCIÓN VIGENCIA 2022 - SECRETARÍA DISTRITAL DE OBRAS PÚBLICAS","Supervisión de Obras del Modelo de Atención Reglamentado. Mejoramiento de la Infraestructura física y dotación Hospitalaria de Pasos y Caminos de la red pública Distrital.","En Ejecución"
"2022","Semestre I","OBRAS EN EJECUCIÓN VIGENCIA 2022 - SECRETARÍA DISTRITAL DE OBRAS PÚBLICAS","Apoyo a la Supervisión de Obras y/o Proyectos en el Distrito de Barranquilla, Obras y/o Proyectos que pertenecen a otras Secretarías o Dependencias, tales como: Demolición y construcción de Caís, Construcción de un Centro de Vida Barrio Santuario, Centro de bienestar animal, Convenio con EDUBAR para la Gerencia integral para la recuperación integral de la cienaga de Mallorquín en el Distrito de Barranquilla: componente de recuperación ambiental y paisajistica de la playade Puerto Mocho, Convenio con EDUBAR y Otros para la Recuperación integral del caño de la Ahuyama en el Distrito de Barranquilla, Ampliación de la Calle 30 entre Carrera 46 y Vía Circunvalar, Ampliación de la Vía Cordialidad entre Circunvalar y Carrera 23, Ampliación de la Vía Circunvalar entre Carrera 38 y Carrera 12A, Canalizaciones de Arroyos, entre Otros.","En Ejecución"
