"radicado","coddepto","departamento","codmun","municipio","sede_beneficiada","dane","total_terminales","nombre_elemento","a_o","estado","rural_urbana"
"8721","76","VALLE DEL CAUCA","76895","ZARZAL","Ie Normal Superior Nuestra Se�ora De Las Mercedes-John F. Kennedy","176895000184","3","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"4912","76","VALLE DEL CAUCA","76606","RESTREPO","Ie Jose Acevedo Y Gomez-Jose Acevedo Y Gomez","276606000290","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"17378","76","VALLE DEL CAUCA","76113","BUGALAGRANDE","Ie Diego Rengifo Salazar-San Martin","276113000266","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"4856","76","VALLE DEL CAUCA","76364","JAMUNDI","Ie General Santander-La Gran Colombia","276364000575","2","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"1051","05","ANTIOQUIA","05837","TURBO","I.E. Normal Superior De Uraba-I.E. Normal Superior De Uraba","105837006194","2","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"6113","76","VALLE DEL CAUCA","76563","PRADERA","Ie Alfredo Posada Correa-Leonidas Mosquera","176563000121","4","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"10847","91","AMAZONAS","91001","LETICIA","I.E Colegio Femenino Indigena Maria Auxiliadora-Sede Aria�a","291001000751","20","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"49493","76","VALLE DEL CAUCA","76736","SEVILLA","Ie Santa Teresita-Cent Educ La Betulia","276736000445","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"12446","15","BOYACA","15837","TUTA","Escuela Industrial 20 De Julio-Escuela Carlos Lleras Restrepo","168575000264","25","PENDIENTE CLASIFICAR","2019","Entrega","PENDIENTE CLASIFICAR"
"45880","68","SANTANDER","68235","EL CARMEN DE CHUCURI","Institucion Educativa  El Centenario-Escuela Rural El Control","268235000396","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"27017","76","VALLE DEL CAUCA","76041","ANSERMANUEVO","Ie El Placer-Jos� Celestino Mutis","276041000231","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"14355","76","VALLE DEL CAUCA","76275","FLORIDA","Ie Las Americas-Jose Eusebio Caro","176275000494","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"17664","76","VALLE DEL CAUCA","76828","TRUJILLO","Ie Julian Trujillo-Jorge Robledo","276828000565","5","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"44783","86","PUTUMAYO","86569","PUERTO CAICEDO","I.E. Jose Antonio Galan-Col Jose Antonio Galan","286568002602","3","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"13543","27","CHOCO","27150","CARMEN DEL DARIEN","Ce Jorge Valencia Lozano-Ce Jorge Valencia Lozano - Sede Principal","127615000019","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"62485","91","AMAZONAS","91798","TARAPACA","Biblioteca Publica De Tarapaca-","0","5","Port�til Nuevo","2019","Entrega","PENDIENTE CLASIFICAR"
"22441","23","CORDOBA","23466","MONTELIBANO","Institucion Educativa Simon Bolivar-Escuela Nva. Nta. Sra  Del Carmen","223466001138","2","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"24802","13","BOLIVAR","13052","ARJONA","Centro Educativo Francisco  De Paula Santander-Esc Mix Jose Maria Cordoba","113052000580","2","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"29591","15","BOYACA","15238","DUITAMA","Colegio Nacionalizado La Presentacion-Colegio Nacionalizado La Presentacion Sede Norte","115238001813","3","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"15463","27","CHOCO","27615","RIOSUCIO","I.E. La Union De Bajira-Col La Union De Bajira","127615060621","12","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"49668","76","VALLE DEL CAUCA","76890","YOTOCO","Ie Gabriela Mistral-Arcelia Giron","276890000440","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"1231","68","SANTANDER","68432","MALAGA","Escuela Normal Superior Francisco De Paula Santander-Escuela Normal Superor Francisco De Paula Santander","168432000361","10","PENDIENTE CLASIFICAR","2019","Entrega","PENDIENTE CLASIFICAR"
"8651","76","VALLE DEL CAUCA","76403","LA VICTORIA","Ie San Jose-Antonio Nari�o","276403000090","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"17444","76","VALLE DEL CAUCA","76670","SAN PEDRO","Ie Miguel Antonio Caro-Francisco Jose De Caldas","276670000457","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"27002","76","VALLE DEL CAUCA","76563","PRADERA","I.E. Mercedes Abrego-Jorge Eliecer Gaitan","276563000321","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"24813","13","BOLIVAR","13244","EL CARMEN DE BOLIVAR","Centro Educativo San Isidro-Centro Educativo San Isidro","213244000367","8","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"46780","68","SANTANDER","68861","VELEZ","Institucion Educativa Ca�o Bonito-Escuela Rural Quebrada Larga","268385000751","3","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"22883","54","NORTE DE SANTANDER","54245","EL CARMEN","C.E.R. Santa In�s-C.E.R. Santa In�s - Sede Principal","254245000776","8","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"7935","76","VALLE DEL CAUCA","76233","DAGUA","Ie El Palmar-Jose Maria Cabal","276233000511","14","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"49108","76","VALLE DEL CAUCA","76248","EL CERRITO","Ie Santa Elena-Rafael Uribe Uribe","276248000380","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"49618","76","VALLE DEL CAUCA","76845","ULLOA","Ie Maria Inmaculada-Esther Zorrilla","276845000021","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"27032","76","VALLE DEL CAUCA","76823","TORO","Ie  Tecnica Agropecuaria Toro-Salvador Roldan","276823000214","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"1618","08","ATLANTICO","08758","SOLEDAD","Institucion Educativa Tecnica Francisco De Paula Santander-Institucion Educativa Tecnica Francisco De Paula Santander","108758000112","2","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"36330","19","CAUCA","19809","TIMBIQUI","Institucion Educativa Etnoeducativo Puerto Saija-Los Brazos","219809001140","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"30763","11","BOGOTA","11001","BOGOTA, D.C.","Colegio Julio Garavito Armero (Ied)-Cent Educ Dist Muzu No. 1","111001015032","1","Port�til Nuevo","2019","Entrega","PENDIENTE CLASIFICAR"
"21874","15","BOYACA","15572","PUERTO BOYACA","Ie San Pedro Claver-Ie San Pedro Claver- Sede Principal","115572000011","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"14746","13","BOLIVAR","13001","CARTAGENA","Institucion Educativa Republica Del Libano-Sede Primero De Mayo","113001001646","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"48787","76","VALLE DEL CAUCA","76122","CAICEDONIA","Ie La Consolita-La Tribuna","276122000112","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"3207","13","BOLIVAR","13001","CARTAGENA","Institucion Educativa Republica Del Libano-Institucion Educativa Republica Del Libano","113001001727","10","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"17888","13","BOLIVAR","13052","ARJONA","I.E. Benjamin Herrera-I.E. Benjamin Herrera - Sede Principal","113052000172","11","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"20881","44","LA GUAJIRA","44650","SAN JUAN DEL CESAR","Institucion Educativa El Carmelo-Institucion Educativa El Carmelo","144650000341","50","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"38457","23","CORDOBA","23466","MONTELIBANO","Instituci�n Educativa El Palmar-Escuela Nueva Mix Ta El Divino Salvador","223466002525","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"17414","76","VALLE DEL CAUCA","76001","CALI","Institucion Educativa Los Andes-Tierra De Hombres","276001011184","12","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"5142","76","VALLE DEL CAUCA","76890","YOTOCO","Ie Gabriela Mistral-Atanasio Girardot","276890000148","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"17895","13","BOLIVAR","13442","MARIA LA BAJA","I.E. De Retiro Nuevo-Pueblo Nuevo","213442000267","3","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"11774","76","VALLE DEL CAUCA","76606","RESTREPO","Ie Julio Fernandez Medina-Medina","476606000469","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"28397","52","NARI�O","52250","EL CHARCO","Centro Educativo El Hojal-Centro Educativo El Hojal","252250000595","2","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"22027","76","VALLE DEL CAUCA","76122","CAICEDONIA","Ie Bolivariano-Bolivariano","176122000380","2","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"49648","76","VALLE DEL CAUCA","76863","VERSALLES","Ie Carlos Holguin Sardi-Jorge Tadeo Lozano2","276863000179","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"48958","76","VALLE DEL CAUCA","76126","CALIMA","Ie Simon Bolivar-Simon Bolivar","176126000066","4","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"963","11","BOGOTA","11001","BOGOTA, D.C.","Colegio Rafael Uribe Uribe (Ied)-Col Dist U.B. Rafael Uribe Uribe","111001012271","7","Port�til Nuevo","2019","Entrega","PENDIENTE CLASIFICAR"
"30167","68","SANTANDER","68861","VELEZ","Institucion Educativa Ca�o Bonito-Institucion Educativa Ca�o Bonito","268385000963","4","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"18478","13","BOLIVAR","13001","CARTAGENA","Institucion Educativa Salim Bechara-Sede  De Albornoz","113001001981","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"18579","47","MAGDALENA","47189","CIENAGA","Ie Tec De Comercio Virginia Gomez-Ie Tecnica De Comercio Virginia Gomez","147189000210","10","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"899","76","VALLE DEL CAUCA","76670","SAN PEDRO","Ie Jose Antonio Aguilera-Policarpa Salavarrieta","176670000231","2","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"114","19","CAUCA","19418","LOPEZ","I.E. Santa Cruz Alto Sigui-Santa Cruz Del Sigui (Sede Principal)","219418000891","12","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"10204","76","VALLE DEL CAUCA","76122","CAICEDONIA","Ie Bolivariano-Conc  Urb  Jose Eusebio Caro","176122000070","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"43711","54","NORTE DE SANTANDER","54245","EL CARMEN","C.E.R. Santa In�s-Sede Curales","254245001101","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"49449","76","VALLE DEL CAUCA","76616","RIOFRIO","Ie Camilo Torres-San Jos�","276616000379","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"18474","13","BOLIVAR","13001","CARTAGENA","Institucion Educativa Antonia Santos-Sede San Luis Gonzaga","113001002642","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"15237","76","VALLE DEL CAUCA","76248","EL CERRITO","Ie Hernando Borrero Cuadros-Hernando Borrero Cuadros","276248000321","6","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"44784","86","PUTUMAYO","86569","PUERTO CAICEDO","I.E. Jose Antonio Galan-Preesc Pto Caicedo","286568002165","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"21683","23","CORDOBA","23001","MONTERIA","Institucion Educativa Jose Maria Cordoba-Instituci�n Educativa Jos� Mar�a C�rdoba","123001002346","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"8969","86","PUTUMAYO","86568","PUERTO ASIS","Ie San Francisco De Asis-Col Tec Industrial San Francisco De Asis","186568005577","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"112","19","CAUCA","19418","LOPEZ","Institucion Educativa Noanamito-Colegio Integrado Noanamito","219418000564","2","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"16967","52","NARI�O","52405","LEIVA","Institucion Educativa San Gerardo-Institucion Educativa San Gerardo","152405000207","29","Port�til Nuevo","2019","Entrega","PENDIENTE CLASIFICAR"
"917","76","VALLE DEL CAUCA","76318","GUACARI","Ie Pedro Vicente Abadia-Augusto Dominguez","176318000183","5","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"47405","73","TOLIMA","73168","CHAPARRAL","Institucion Educativa Tecnica Soledad Medina-Andres Rocha","173168000326","1","Port�til Nuevo","2019","Entrega","PENDIENTE CLASIFICAR"
"37678","27","CHOCO","27361","ISTMINA","Cent Educ Agroforestal Miguel Angel Guerrero-Esc Nva De Juana Marcela","227361002592","3","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"17657","76","VALLE DEL CAUCA","76248","EL CERRITO","Ie Jorge  Isaacs-Jorge Isaacs","176248000024","13","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"31348","13","BOLIVAR","13052","ARJONA","I.E. Tecnica En Artes Y Oficios Maria Michelsen De Lopez-Cinco De Noviembre","213052000576","2","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"115","19","CAUCA","19418","LOPEZ","I.E. Pablo Vi-Pablo Vi (Sede Principal)","319418000011","3","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
