"predio","direccion","estrato"
"25-290-01-00-0011-0119-000","LT 4 MZ F","2.0"
"25-290-01-00-0011-0149-903","TRANSV  8  BIS NO. 1 G NORTE - 27 CS 1-A","3.0"
"25-290-01-00-0011-0150-903","TV 8 BIS No. 1 G NORTE - 23 CS 2A","3.0"
"25-290-01-00-0011-0151-903","TRANSV 8 BIS NO. 1 G NORTE - 17 CS 3 A","3.0"
"25-290-01-00-0011-0152-903","TV 8 BIS No. 1 G NORTE - 13","3.0"
"25-290-01-00-0011-0153-903","TRANSV 8 BIS NO. 1 G NORTE - 11 CS 5 A","3.0"
"25-290-01-00-0011-0155-903","TRANSV 8 BIS NO. 1 G NORTE - 03 CS 7 A","3.0"
"25-290-01-00-0011-0156-903","TRANSV  8 A BIS NO. 1 G NORTE - 26 CS 8 A","3.0"
"25-290-01-00-0011-0158-903","TRANSV  8 A BIS NO. 1 G NORTE - 18","3.0"
"25-290-01-00-0011-0159-903","TRANSV  8 A BIS NO. 1 G NORTE - 14 CA 11 A","3.0"
"25-290-01-00-0011-0160-903","TRANSV  8 A BIS NO. 1 G NORTE - 10  CA 12 A","3.0"
"25-290-01-00-0011-0161-903","TRANSV  8 A BIS NO. 1 G NORTE - 06","3.0"
"25-290-01-00-0011-0162-903","TRANSV  8 A BIS NO. 1 G NORTE - 02 CA 14 A","3.0"
"25-290-01-00-0011-0163-903","TV 8 A BIS No. 1 G NORTE -25 CA 1 B","3.0"
"25-290-01-00-0011-0165-903","TV 8  A BIS  NO. 1 G NORTE 19  CS 3 B","3.0"
"25-290-01-00-0011-0166-903","TRANSV  8 A BIS NO. 1 G NORTE - 15 CS 4 B","3.0"
"25-290-01-00-0011-0167-903","TRANSV  8 A BIS NO. 1 G NORTE - 11 CS 5 B","3.0"
"25-290-01-00-0011-0168-903","TRANSV  8 A BIS NO. 1 G NORTE - 07 CA 6 B","3.0"
"25-290-01-00-0011-0169-903","TRANSV  8 A BIS NO. 1 G NORTE - 03","3.0"
"25-290-01-00-0011-0170-903","TRANSV 8 BIS NO. 1 F NORTE - 27","3.0"
"25-290-01-00-0011-0171-903","TRANSV 8 BIS NO. 1 F NORTE - 23","3.0"
"25-290-01-00-0011-0172-903","TRANSV  8 BIS NO. 1 F NORTE - 19","3.0"
"25-290-01-00-0011-0173-903","TRANSV  8 BIS NO. 1 F NORTE - 15","3.0"
"25-290-01-00-0011-0174-903","TRANSV 8 BIS NO. 1 F NORTE - 11 CS 5 C","3.0"
"25-290-01-00-0011-0175-903","TRANSV 8 BIS NO. 1 F NORTE - 07","3.0"
"25-290-01-00-0011-0176-903","TRANSV 8 BIS NO. 1 F NORTE - 03 CS 7 C","3.0"
"25-290-01-00-0011-0177-903","TRANSV 8 A BIS NO. 1 F NORTE - 26","3.0"
"25-290-01-00-0011-0178-903","TRANSV  8  A BIS NO. 1 F NORTE - 22","3.0"
"25-290-01-00-0011-0179-903","TRANSV 8 A BIS NO. 1 F NORTE - 18","3.0"
"25-290-01-00-0011-0180-903","TRANSV 8 A BIS NO. 1 F NORTE - 14  CS 11 C","3.0"
"25-290-01-00-0011-0181-903","TRANSV 8 A BIS NO. 1 F NORTE - 10","3.0"
"25-290-01-00-0011-0182-903","TRANSV  8 A BIS NO. 1 F NORTE - 06 CS 13 C","3.0"
"25-290-01-00-0011-0183-903","TRANSV  8 A BIS NO. 1 F NORTE - 03 CS 14 C","3.0"
"25-290-01-00-0011-0184-903","TRANSV  8 A BIS NO. 1 F NORTE - 27","3.0"
"25-290-01-00-0011-0185-903","TV 8 A BIS No 1 F NORTE -23 CA 2 D","3.0"
"25-290-01-00-0011-0186-903","TRANSV  8 A BIS NO. 1 F NORTE -  19 CS 3 D","3.0"
"25-290-01-00-0011-0187-903","TRANSV  8 A BIS NO. 1 F NORTE - 15 CS 4D","3.0"
"25-290-01-00-0011-0188-903","TRANSV  8 A BIS NO. 1 F NORTE - 11 CS 5D","3.0"
"25-290-01-00-0011-0190-903","TRANSV  8 A BIS NO. 1 F NORTE - 03 C 7 D","3.0"
"25-290-01-00-0011-0191-903","TRANSV  8  BIS NO. 1 D NORTE - 02","3.0"
"25-290-01-00-0011-0192-903","TV  8 A  BIS NO. 1 D NORTE - 09","3.0"
"25-290-01-00-0011-0193-903","TV  8  BIS NO. 1 D NORTE - 05  CS 3 E","3.0"
"25-290-01-00-0011-0194-903","TRANSV  8  BIS NO. 1 D NORTE - 03","3.0"
