"noid","codigo_departamento","nombre_departamento","codigo_municipio","nombre_municipio","zona_postal","codigo_postal","limite_norte","limite_sur","limite_este","limite_oeste","tipo","barrios_contenidos_en_el","veredas_contenidas_en_el"
"835","15","BOYACA","15135","CAMPOHERMOSO","1.526","152.647","MUNICIPIO MIRAFLORES","M. SAN LUIS  DE GACENO","MUNICIPIO PAEZ","M. STA MARIA Y MACANAL","Rural","Sin Informacion de Barrios","Cafetero- La Esperanza-  Mara Al-  San Pedro-  Santa Maria"
"2.563","54","NORTE DE SANTANDER","54520","PAMPLONITA","5.43","543.03","CL 5B","LIMITE URBANO","KR 1 SUR","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"806","15","BOYACA","15362","IZA","1.522","152.247","MUNICIPIO FIRAVITOBA","MUNICIPIO CUITIVA","MUNICIPIO SOGAMOSO","MUNICIPIO PESCA","Rural","Sin Informacion de Barrios","Amarillos- Buireros-  Caracoles-  Cordoncillo-  La Vega-  Pedregal-  Primera Chorrera-  Tobaca-  Vanegas"
"1.438","23","CORDOBA","23586","PURISIMA","2.315","231.54","CL 14","CL 1","KR 1","KR 13A","Urbano","Sin Informacion de Barrios","Purisima"
"1.313","19","CAUCA","19809","TIMBIQUI","1.96","196.03","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.583","25","CUNDINAMARCA","25745","SIMIJACA","2.506","250.64","CL 21","CL 1 S","KR 15","KR 1 S","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.662","25","CUNDINAMARCA","25053","ARBELAEZ","2.52","252.001","AV 8","CL 2 S","KR 3E","LIMITE URBANO","Urbano","Sin Informacion de Barrios","SAN ANTONIO- SAN JOSE-  SAN MIGUEL-  SAN ROQUE-  SANTA BARBARA"
"1.771","25","CUNDINAMARCA","25320","GUADUAS","2.534","253.449","MPIO. LA DORADA Y PTO. SALGAR","VIA HONDA - GUADUAS","M. CAPARRAPI Y VIA GUAD.-CAPARRA.","MPIO. LA DORADA Y HONDA","Rural","Sin Informacion de Barrios","BODEGAL- CUATRO ESQUINAS-  PITAL LA GLORIA-  PLAYAGRANDE-  SECTOR MIRAFLORES"
"619","13","BOLIVAR","13430","MAGANGUE","1.325","132.519","VIA MAGANGUE-SAN PEDRO","MUNICIPIO SUCRE","MPIO. MOMPOS Y CICUCO","M. BUENAV.- GALERAS Y S. BENITO A.","Rural","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.246","50","META","50711","VISTAHERMOSA","5.04","504.061","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"560","13","BOLIVAR","13001","CARTAGENA","1.3","130.027","MAR CARIBE","MAR CARIBE","MAR CARIBE","MAR CARIBE","Rural","Sin Informacion de Barrios","Sin Informacion de Veredas"
"875","15","BOYACA","15599","RAMIRIQUI","1.534","153.407","M. SORACA Y BOYACA","QUEBRADA UNICA","MUNIPIO CIENEGA","MUICIPIO JENESANO","Rural","Sin Informacion de Barrios","Caicedos- Dulcetes-  Fernandez-  Fragua-  Gachacavita-  Hervideros-  Pabellon-  Palenque-  Pantano Largo-  Pulidos-  Romasal-  Santana-  Santuario-  Soleres"
"782","15","BOYACA","15533","PAYA","1.518","151.82","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.856","27","CHOCO","27361","ISTMINA","2.74","274.01","CL 6","LIMITE URBANO","KR 17","KR 2","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"147","5","ANTIOQUIA","5890","YOLOMBO","530","53.028","MUNICIPIO YALI Y REMEDIOS","M. SAN ROQUE Y MACEO","MUNICIPIO PUERTO BERRIO","VIA YOLOMBO - YALI","Rural","Sin Informacion de Barrios","Bodegas- Cimarrona-  Cuatro Esquina-  El Iris-  El Olivo-  El Palmar-  La Ceiba-  La palmera-  La Soledad-  Los Aceites-  Montebello-  San Jacinto-  Tenorio"
"2.577","54","NORTE DE SANTANDER","54480","MUTISCUA","5.44","544.07","LIMITE URBANO","LIMITE URBANO","KR 1","KR 4A","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.895","27","CHOCO","27099","BOJAYA","2.77","277.05","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"828","15","BOYACA","15660","SAN EDUARDO","1.526","152.601","CL 9","CL 2","KR 1","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"594","13","BOLIVAR","13140","CALAMAR","1.315","131.54","CL 6","CL 42","LIMITE URBANO","KR 7","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"928","15","BOYACA","15293","GACHANTIVA","1.542","154.22","CL 7","CL 2","KR 1","KR 8","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"3.071","70","SUCRE","70215","COROZAL","7.05","705.039","M. SAN J. DE B.- SAN L. DE SIN. Y AY. Z. H.","MUNICIPIO EL ROBLE","M. EL ROBLE Y SAN LUIS DE SINCE","MUNICIPIO SAMPUES","Rural","Sin Informacion de Barrios","Capira- Corneta-  Los Limones-  Villa Nueva"
"1.764","25","CUNDINAMARCA","25592","QUEBRADANEGRA","2.534","253.42","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.819","27","CHOCO","27425","MEDIO ATRATO","2.7","270.07","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"213","5","ANTIOQUIA","5756","SONSON","548","54.827","M. PUERTO TRIUNFO","M. NORCACIA Y ARGELIA","M. P. BOYACA Y LA DORADA","M. SAN FRANCISCO","Rural","Sin Informacion de Barrios","Alto Bonito- Alto de Samana-  Alto del Pollo-  Butantan-  Guadualito-  La Florida - Tres Ranchos-  La Linda-  La Mesa-  La Paz- San Francisco-  Limones-  Mesones-  Mulato Alto-  Mulato Bajo-  Piedras Blancas-  Quiebra de Roque-  San Antonio-  San Esteban-"
"1.746","25","CUNDINAMARCA","25328","GUAYABAL DE SIQUIMA","2.532","253.217","MUNICIPIO VILLETA","MUNICIPIO ANOLAIMA","MUNICIPIO ALBAN","MUNICIPIO BITUIMA","Rural","Sin Informacion de Barrios","CENTRO- RESGUARDO"
"1.608","25","CUNDINAMARCA","25772","SUESCA","2.51","251.04","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","CHITIVA ABAJO"
"2.774","68","SANTANDER","68162","CERRITO","6.815","681.501","LIMITE URBANO","CL 10 SUR","KR 8A","KR 1","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"3.029","70","SUCRE","70418","LOS PALMITOS","7.01","701.05","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.541","25","CUNDINAMARCA","25740","SIBATE","2.5","250.078","VIA CHACUA CA.-SAN RAFAEL","MUNICIPIO PASCA","MUNICIPIO SOACHA","M. SILVANIA Y FUSAGASUGA","Rural","Sin Informacion de Barrios","EL JASMIN- SAN BENITO-  SAN FORTUNATO"
"1.332","20","CESAR","20238","EL COPEY","2.01","201.01","CL 21","CL 1","KR 13 E","KR 23","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"436","8","ATLANTICO","8520","PALMAR DE VARELA","830","83.08","KR 1","KR 17","CL 1","CL 21","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.973","41","HUILA","41518","PAICOL","4.15","415.04","CL 8","CL 1","LIMITE URBANO","KR 2","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.793","68","SANTANDER","68686","SAN MIGUEL","6.815","681.557","MPIO. ENCISO Y CARCASI","MPIO. MACARAVITA","M. CARCASI Y MACARAVITA","MPIO. CAPITANEJO","Rural","Sin Informacion de Barrios","Puertas- Quebrada Honda-  Saucara"
"2.803","68","SANTANDER","68684","SAN JOSE DE MIRANDA","6.82","682.021","DG 7A","CL 1","KR 0","KR 7","Urbano","Sin Informacion de Barrios","Cataligua- Sagamal"
"2.808","68","SANTANDER","68229","CURITI","6.82","682.041","LIMITE URBANO","CL 2","KR 1","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"879","15","BOYACA","15189","CIENEGA","1.534","153.44","CL 5","CL 1","KR 2","KR 12","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.029","17","CALDAS","17541","PENSILVANIA","1.73","173.06","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","KR 11","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"3.048","70","SUCRE","70771","SUCRE","7.03","703.03","CL 23","CL 8 SUR","KR 8","KR 1 SUR","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.594","54","NORTE DE SANTANDER","54680","SANTIAGO","5.45","545.037","MUNICIPIO EL ZULIA","MPIO. DURANIA Y SALAZAR","M. EL ZULIA Y SAN CAYETANO","MPIO. GRAMALOTE Y SALAZAR","Rural","Sin Informacion de Barrios","Alto de Frio- Cuperena-  El Pijon-  La Amarilla"
"699","15","BOYACA","15187","CHIVATA","1.502","150.247","M. OICATA Y TUTA","MUNICIPIO SIACHOQUE","MUNICIPIO TOCA","MUNICIPIO OICATA","Rural","Sin Informacion de Barrios","Agua Blanca- Agua Blanca-  Chaine-  Leonera-  Leonera-  Pirgua-  Puente Hamaca-  San Francisco-  Tuaneca"
"61","5","ANTIOQUIA","5656","SAN JERONIMO","510","51.07","CL 28","LIMITE URBANO","KR 9","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.006","41","HUILA","41530","PALESTINA","4.17","417.06","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"155","5","ANTIOQUIA","5893","YONDO","534","53.41","CL 59","LIMITE URBANO","KR 39","KR 62","Urbano","Sin Informacion de Barrios","Cabecera Municipal- Condor-  La Represa"
"3.117","73","TOLIMA","73861","VENADILLO","7.305","730.58","LIMITE URBANO","LIMITE URBANO","A LA CRISTALINA","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"3.026","70","SUCRE","70508","OVEJAS","7.01","701.03","CL 33A","CL 10","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"736","15","BOYACA","15720","SATIVANORTE","1.508","150.82","CL 10","CL 1","KR 1","KR 9","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"74","5","ANTIOQUIA","5411","LIBORINA","514","51.46","CL 16","CL 6","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"630","13","BOLIVAR","13650","SAN FERNANDO","1.33","133.007","M. SAN SEBASTIAN DE BUENAVISTA","MUNICIPIO MARGARITA","MUNICIPIO GUAMAL","VIA GUATACA-SANTA ROSA","Rural","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.234","50","META","50590","PUERTO RICO","5.03","503.061","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"404","8","ATLANTICO","8832","TUBARA","810","81.027","MUNICIPIO PUERTO COLOMBIA","MUNICIPIO BARANOA","MUNICIPIO GALAPA","VIA TUBARA - BARRANQUILLA","Rural","Sin Informacion de Barrios","Sin Informacion de Veredas"
"329","5","ANTIOQUIA","5543","PEQUE","570","57.01","CL 12","LIMITE URBANO","KR 6","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"3.482","85","CASANARE","85162","MONTERREY","8.55","855.01","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.251","19","CAUCA","19256","EL TAMBO","1.935","193.57","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"163","5","ANTIOQUIA","5591","PUERTO TRIUNFO","534","53.44","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.942","41","HUILA","41885","YAGUARA","4.12","412.08","CL 11","CL 1 S","LIMITE URBANO","KR 16","Urbano","Sin Informacion de Barrios","EL VISO- FLANDES-  YAGUARA"
"2.923","68","SANTANDER","68271","FLORIAN","6.845","684.541","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Cabecera Municipal- Centro"
"3.305","76","VALLE DEL CAUCA","76616","RIOFRIO","7.61","761.03","CL 10","LIMITE URBANO","LIMITE URBANO","KR 17","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.943","41","HUILA","41885","YAGUARA","4.12","412.087","MPIO. TERUEL Y PALERMO","MPIO. TESALIA Y GIGANTE","MPIO. HOBO Y CAMPOALEGRE","MPIO. IQUIRA Y TERUEL","Rural","Sin Informacion de Barrios","BAJO MIRADOR- BETANIA-  JAGUAL-  LA PAZ-  LAS VUELTAS-  LETRAN-  Llano Sur-  NAZARETH-  VILACO"
"2.541","54","NORTE DE SANTANDER","54001","CUCUTA","5.4","540.019","VIA EL PLOMO - LAS VACAS","MUNICIPIO SAN CAYETANO","QUEBRADA LA FLORESTA","MUNICIPIO EL ZULIA","Rural","Sin Informacion de Barrios","La Florida- Urimaco"
"1.34","20","CESAR","20032","ASTREA","2.01","201.04","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.588","25","CUNDINAMARCA","25873","VILLAPINZON","2.508","250.81","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"3.146","73","TOLIMA","73443","MARIQUITA","7.32","732.02","LIMITE URBANO","LIMITE URBANO","CL 18","CL 1 N","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.749","25","CUNDINAMARCA","25867","VIANI","2.532","253.23","CL 6BIS","CL 1 S","KR 1","KR 10","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"912","15","BOYACA","15776","SUTAMARCHAN","1.538","153.86","LIMITE URBANO","LIMITE URBANO","KR 1","KR 10","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"98","5","ANTIOQUIA","5887","YARUMAL","520","52.03","LIMITE URBANO","CL 12","KR 12","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Mina Vieja- Vereda Cabecera municipal"
"581","13","BOLIVAR","13052","ARJONA","1.31","131.029","MUNICIPIO TURBANA","MPIO. MA. LA BAJA Y SAN ONOFRE","VIA ARJONA - CORREA","MUNICIPIO SAN ONOFRE","Rural","Sin Informacion de Barrios","Sin Informacion de Veredas"
"255","5","ANTIOQUIA","5607","RETIRO","554","55.438","QUEBRADA AGUDELO","MUNICIPIO MONTEBELLO","QUEBRADA AGUDELO","MUNICIPIO CALDAS","Rural","Sin Informacion de Barrios","El Barcino- La Honda-  La Hondita-  La Luz-  Los Medio-  Nazareth"
"1.202","19","CAUCA","19821","TORIBIO","1.92","192.001","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.658","25","CUNDINAMARCA","25335","GUAYABETAL","2.518","251.85","LIMITE URBANO","LIMITE URBANO","DG 1","CL 5A","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"864","15","BOYACA","15380","LA CAPILLA","1.532","153.22","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.124","47","MAGDALENA","47707","SANTA ANA","4.74","474.02","LIMITE URBANO","CL 1","LIMITE URBANO","KR 1","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"924","15","BOYACA","15476","MOTAVITA","1.54","154.08","KR 7","LIMITE URBANO","CL 5","CL 0","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.079","44","LA GUAJIRA","44110","EL MOLINO","4.44","444.05","KR 1 N","KR 8","LIMITE URBANO","AV VILLANUEVA","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"388","8","ATLANTICO","8001","BARRANQUILLA","800","80.004","KR  52","KR  21- 20 Y 11","M. SITIO NUEVO","AC  BOYACA","Urbano","Barranquillita- La Luz- Rebolo- Zona Franca Industrial","Sin Informacion de Veredas"
"465","11","BOGOTA D.C.","11001","LOCALIDAD USAQUEN","1.101","110.151","LIMITE URBANO","CL  205","LIMITE URBANO","AU NORTE","Urbano","Torca I- Torca II- Torca Rural I- Torca Rural II","Sin Informacion de Veredas"
"181","5","ANTIOQUIA","5674","SAN VICENTE","540","54.01","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","La Floresta- Santa Ana"
"1.654","25","CUNDINAMARCA","25281","FOSCA","2.518","251.83","CL 6A","CL 0","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.65","54","NORTE DE SANTANDER","54250","EL TARRA","5.48","548.05","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.106","47","MAGDALENA","47288","FUNDACION","4.72","472.02","CL 1","LIMITE URBANO","KR 6","TV 28","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.674","25","CUNDINAMARCA","25535","PASCA","2.522","252.201","AV A SABANETA","CL 2","KR 1","LIMITE URBANO","Urbano","Sin Informacion de Barrios","BOCA DE MONTE- EL RETIRO-  EL ZAQUE-  LA MESA-  LAZARO FONTE-  SAN PEDRO"
"1.593","25","CUNDINAMARCA","25436","MANTA","2.508","250.83","CL 7","CL 2","KR 1","KR 10","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"161","5","ANTIOQUIA","5585","PUERTO NARE","534","53.43","CL 56","CL 38","KR 1","KR 10","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"458","8","ATLANTICO","8421","LURUACO","850","85.06","KR 4","KR 31","CL 22","CL 10","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"350","5","ANTIOQUIA","5480","MUTATA","574","57.427","MUNICIPIO CHIGORODO","MUNICIPIO DABEIBA","MUNICIPIO TIERRALTA","VIA CHIGORODO-DABEIBA","Rural","Sin Informacion de Barrios","Chado Arriba- Mutatacito-  Parque Natural Paramillo"
"96","5","ANTIOQUIA","5134","CAMPAMENTO","520","52.02","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.187","47","MAGDALENA","47268","EL RETEN","4.78","478.06","KR 10","KR 8 S","CL 1","CL 19","Urbano","Sin Informacion de Barrios","Cabecera Municipal- El Porvenir-  Zona Rural de La Cabecera"
"18","5","ANTIOQUIA","5001","MEDELLIN","500","50.021","CL 29- 27- 26-K 31- C 19A- 19 Y L. U","CL 10- KR 43A- CL 1 S Y 3","LIMITE URBANO","KR  49","Urbano","Altos del Poblado- Asomadera No.2- Asomadera No.3- Barrio Colombia- Castropol- El Poblado- El Tesoro- La Florida- Lalinde- Las Lomas No.1- Las Lomas No.2- Manila- Villa Carlota","Sin Informacion de Veredas"
"2.557","54","NORTE DE SANTANDER","54377","LABATECA","5.42","542.05","CL 6","CL 2 SUR","KR 1","KR 13","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"540","11","BOGOTA D.C.","11001","LOCALIDAD SUMAPAZ","1.12","112.031","VEREDA SAN ANTONIO","QUEBRADA EL TUNAL","VEREDA LAS VEGAS","RIO PILAR","Rural","Sin Informacion de Barrios","Chorreras- Lagunitas-  San Juan-  Santo Domingo"
"1.87","27","CHOCO","27077","BAJO BAUDO","2.75","275.03","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.617","54","NORTE DE SANTANDER","54003","ABREGO","5.46","546.07","CL 21","CL 1","KR 11","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.825","27","CHOCO","27413","LLORO","2.71","271.03","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.54","25","CUNDINAMARCA","25740","SIBATE","2.5","250.077","M. GRANADA Y SOACHA","VIA CHACUA CA.-SAN RAFAEL","MUNICIPIO SOACHA","MUNICIPIO SILVANIA","Rural","Sin Informacion de Barrios","Sin Informacion de Veredas"
"926","15","BOYACA","15051","ARCABUCO","1.542","154.201","CL 1","LIMITTE URBANO","LIMITE URBANO","KR 10","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.76","68","SANTANDER","68276","FLORIDABLANCA","6.81","681.007","MUNICIPIO BUCARAMANGA","MUNICIPIO PIEDECUESTA","MINICIPIOTONA","L. U. Y VIA F/BLANCA-PIEDECUSTA","Rural","Los Laureles","Caragua- Retiro Chiquito-  Retiro Grande Acueducto"
"2.794","68","SANTANDER","68266","ENCISO","6.815","681.561","CL 8","CL 1","KR 1","KR 8","Urbano","Sin Informacion de Barrios","Cabecera Municipal- Nosgua-  Villeta"
"72","5","ANTIOQUIA","5501","OLAYA","514","51.45","CL 11","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.641","25","CUNDINAMARCA","25181","CHOACHI","2.516","251.62","CL 9","CL 7 S","KR 1AE","KR 6","Urbano","Sin Informacion de Barrios","RESGUARDO COSTADO SUR- RESGUARDO PARTE BAJA-  RESGUARDO PARTE BAJA"
"3","68","SANTANDER","68615","RIONEGRO","6.875","687.511","CL 19A","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"268","5","ANTIOQUIA","5347","HELICONIA","558","55.827","MUNICIPIO EBEJICO","MPIO. ANGELOPOLIS","MUNICIPIO MEDELLIN","MUNICIPIO ARMENIA","Rural","Sin Informacion de Barrios","Cabecera Municipal- El Chocho-  El Hatillo-  El Hatillo-  Joly - Tablazo-  La Aguada-  La Chorrera-  La Suiza-  Los Botes-  Monteadentro-  Morritos"
"364","5","ANTIOQUIA","5051","ARBOLETES","578","57.82","CL 34","CL 20","KR 16","KR 43","Urbano","Sin Informacion de Barrios","Cabecera Municipal- Guaimaro"
"2.747","68","SANTANDER","68867","VETAS","6.805","680.531","CL 10","LIMITE URBANO","TV 1A","KR 6","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.71","66","RISARALDA","66383","LA CELIA","6.62","662.03","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Altomira- Casco Urbano-  El Brillante-  El tigre-  La Capilla"
"1.553","25","CUNDINAMARCA","25126","CAJICA","2.502","250.247","MUNICIPIO ZIPAQUIRA","MUNICIPIO CHIA","MPIO. SOPO Y CHIA","MUNICIPIO TABIO","Rural","Sin Informacion de Barrios","CENTRO- LOURDES-  RIO FRIO ORIENTAL-  San Jorge"
"1.704","25","CUNDINAMARCA","25245","EL COLEGIO","2.526","252.63","CL 11","CL 7 S","KR 3","LIMITE URBANO","Urbano","Sin Informacion de Barrios","CUCUTA- FRANCIA-  SAN JOSE-  SANTA CRUZ-  SANTO TOMAS-  SUBIA"
"778","15","BOYACA","15790","TASCO","1.516","151.66","CL 11","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Centro"
"1.364","20","CESAR","20228","CURUMANI","2.03","203.06","CL 19","CL 8 S","KR 4","KR 25","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.732","25","CUNDINAMARCA","25123","CACHIPAY","2.53","253.02","CL 13","KR 2 E","KR 6 E","KR 9","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.726","25","CUNDINAMARCA","25001","AGUA DE DIOS","2.528","252.85","TV 12","CL 6","KR 2BIS E","KR 1","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.227","50","META","50325","MAPIRIPAN","5.03","503.021","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"193","5","ANTIOQUIA","5318","GUARNE","540","54.05","LIMITE URBANO","LIMITE URBANO","KR 47","KR 53","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.014","41","HUILA","41503","OPORAPA","4.18","418.001","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.086","44","LA GUAJIRA","44420","LA JAGUA DEL PILAR","4.45","445.04","KR 0","KR 10","CL 7","CL 0","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.79","25","CUNDINAMARCA","25862","VERGARA","2.536","253.65","CL 4","CL 1","KR 10","KR 1","Urbano","Sin Informacion de Barrios","Cabecera Municipal- El Guarcal-  El Palmar-  La Paz-  Las Cajas"
"1.634","25","CUNDINAMARCA","25530","PARATEBUENO","2.514","251.401","LIMITE URBANO","CL 3 S","KR 3A","KR 14","Urbano","Sin Informacion de Barrios","QUIENQUITA"
"3.315","76","VALLE DEL CAUCA","76054","ARGELIA","7.615","761.517","MPIO. ANSERMANUEVO","MUNICIPIO VERSALLES","MUNICIPIO TORO","MUNICIPIO EL CAIRO","Rural","Sin Informacion de Barrios","Alto Tigre- Bajo Tigre-  Buenavista-  Calentaderos-  El Arbolito-  El Brillante-  El Cedro-  El Guineo-  El Pedral-  El Placer-  El Raizal-  El Rio-  La Aurora-  La Bella-  La Cristalina-  La Estrella-  La Florida-  La Marina-  La Palma-  La Paz-  La Prad"
"1.316","19","CAUCA","19418","LOPEZ","1.96","196.06","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.847","27","CHOCO","27205","CONDOTO","2.73","273.03","KR 1","KR 12","CL 1","CL 17","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"558","13","BOLIVAR","13001","CARTAGENA","1.3","130.018","MAR CARIBE","MAR CARIBE","MAR CARIBE","MAR CARIBE","Rural","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.717","25","CUNDINAMARCA","25368","JERUSALEN","2.528","252.81","DG 10","LIMITE URBANO","KR 1","LIMITE URBANO","Urbano","Sin Informacion de Barrios","ANDORRA- EL TABACO-  LA COLORODA-  LOS ANONES"
"437","8","ATLANTICO","8520","PALMAR DE VARELA","830","83.087","MPIO. SANTO TOMAS","MUNICIPIO PONEDERA","M. SITIONUE. Y REMOLINO","MPIO. SANTO TOMAS","Rural","Sin Informacion de Barrios","Sin Informacion de Veredas"
