"ward","age","female","male","other"
"WARD 11","0","230","217","2"
"WARD 11","1","226","223","0"
"WARD 11","2","226","231","1"
"WARD 11","3","229","259","0"
"WARD 11","4","262","291","0"
"WARD 11","5","296","285","0"
"WARD 11","6","273","278","0"
"WARD 11","7","309","280","0"
"WARD 11","8","287","308","1"
"WARD 11","9","287","271","0"
"WARD 11","10","261","307","0"
"WARD 11","11","268","241","0"
"WARD 11","12","279","242","1"
"WARD 11","13","296","242","0"
"WARD 11","14","271","269","0"
"WARD 11","15","260","272","0"
"WARD 11","16","273","283","1"
"WARD 11","17","265","263","2"
"WARD 11","18","239","240","1"
"WARD 11","19","249","231","1"
"WARD 11","20","299","283","1"
"WARD 11","21","282","286","1"
"WARD 11","22","291","293","0"
"WARD 11","23","296","279","0"
"WARD 11","24","310","287","1"
"WARD 11","25","338","337","0"
"WARD 11","26","348","341","0"
"WARD 11","27","340","345","1"
"WARD 11","28","363","308","0"
"WARD 11","29","372","374","1"
"WARD 11","30","386","363","0"
"WARD 11","31","389","340","1"
"WARD 11","32","403","371","0"
"WARD 11","33","409","353","0"
"WARD 11","34","431","367","0"
"WARD 11","35","357","341","0"
"WARD 11","36","371","334","0"
"WARD 11","37","338","315","0"
"WARD 11","38","335","308","0"
"WARD 11","39","336","316","1"
"WARD 11","40","305","318","0"
"WARD 11","41","288","313","0"
"WARD 11","42","296","271","0"
"WARD 11","43","307","266","0"
"WARD 11","44","278","296","0"
"WARD 11","45","274","277","0"
"WARD 11","46","292","291","0"
"WARD 11","47","316","287","0"
"WARD 11","48","267","247","0"
"WARD 11","49","263","267","0"
"WARD 11","50","286","240","1"
"WARD 11","51","308","295","1"
"WARD 11","52","313","315","1"
"WARD 11","53","368","281","0"
"WARD 11","54","349","279","0"
"WARD 11","55","388","304","1"
"WARD 11","56","382","308","0"
"WARD 11","57","379","307","0"
"WARD 11","58","361","355","0"
"WARD 11","59","381","338","0"
"WARD 11","60","368","304","0"
"WARD 11","61","362","318","0"
"WARD 11","62","356","299","2"
"WARD 11","63","382","269","0"
"WARD 11","64","371","292","0"
"WARD 11","65","320","258","0"
"WARD 11","66","366","263","0"
"WARD 11","67","286","241","0"
"WARD 11","68","306","275","0"
"WARD 11","69","258","226","0"
"WARD 11","70","200","169","0"
"WARD 11","71","186","166","0"
"WARD 11","72","181","159","0"
"WARD 11","73","166","158","1"
"WARD 11","74","171","117","0"
"WARD 11","75","115","128","0"
"WARD 11","76","125","114","0"
"WARD 11","77","137","98","0"
"WARD 11","78","131","114","0"
"WARD 11","79","125","95","0"
"WARD 11","80","96","89","0"
"WARD 11","81","92","65","0"
"WARD 11","82","97","68","0"
"WARD 11","83","110","66","0"
"WARD 11","84","92","77","0"
"WARD 11","85+","573","316","0"
"WARD 11","No response","6800","7107","46"
"WARD 12","0","653","517","0"
"WARD 12","1","590","506","0"
"WARD 12","2","679","627","2"
"WARD 12","3","629","582","0"
"WARD 12","4","621","562","0"
"WARD 12","5","654","613","0"
"WARD 12","6","608","641","0"
"WARD 12","7","597","583","1"
"WARD 12","8","582","608","0"
"WARD 12","9","582","560","0"
"WARD 12","10","531","530","0"
"WARD 12","11","500","483","0"
"WARD 12","12","485","463","0"
"WARD 12","13","498","465","0"
"WARD 12","14","474","435","1"
"WARD 12","15","483","436","1"
"WARD 12","16","492","408","0"
"WARD 12","17","451","426","0"
"WARD 12","18","476","419","0"
"WARD 12","19","437","453","2"
"WARD 12","20","481","443","0"
"WARD 12","21","461","455","1"
"WARD 12","22","445","455","0"
"WARD 12","23","465","480","0"
"WARD 12","24","532","469","0"
"WARD 12","25","635","614","1"
"WARD 12","26","692","621","0"
"WARD 12","27","746","638","1"
"WARD 12","28","774","624","0"
"WARD 12","29","774","614","1"
"WARD 12","30","851","744","1"
"WARD 12","31","864","691","1"
"WARD 12","32","904","756","0"
"WARD 12","33","842","743","0"
"WARD 12","34","834","736","0"
"WARD 12","35","796","728","1"
"WARD 12","36","802","678","0"
"WARD 12","37","745","657","0"
"WARD 12","38","748","668","0"
"WARD 12","39","707","608","0"
"WARD 12","40","654","593","1"
"WARD 12","41","643","577","0"
"WARD 12","42","639","589","0"
