"ward","age","female","male"
"Ward 5","15","362","401"
"Ward 5","16","400","413"
"Ward 5","17","343","441"
"Ward 5","18","366","412"
"Ward 5","19","379","408"
"Ward 5","20","404","427"
"Ward 5","21","413","417"
"Ward 5","22","437","419"
"Ward 5","23","414","463"
"Ward 5","24","411","458"
"Ward 5","25","431","439"
"Ward 5","26","414","427"
"Ward 5","27","457","459"
"Ward 5","28","462","455"
"Ward 5","29","472","462"
"Ward 5","30","478","455"
"Ward 5","31","491","448"
"Ward 5","32","529","469"
"Ward 5","33","507","438"
"Ward 5","34","456","459"
"Ward 5","35","478","463"
"Ward 5","36","453","450"
"Ward 5","37","465","428"
"Ward 5","38","456","460"
"Ward 5","39","465","421"
"Ward 5","40","442","490"
"Ward 5","41","426","423"
"Ward 5","42","489","414"
"Ward 5","43","438","454"
"Ward 5","44","432","402"
"Ward 5","45","460","427"
"Ward 5","46","417","451"
"Ward 5","47","418","403"
"Ward 5","48","431","435"
"Ward 5","49","443","423"
"Ward 5","50","494","424"
"Ward 5","51","535","467"
"Ward 5","52","520","442"
"Ward 5","53","475","457"
"Ward 5","54","481","430"
"Ward 5","55","491","456"
"Ward 5","56","473","436"
"Ward 5","57","434","414"
"Ward 5","58","460","406"
"Ward 5","59","400","401"
"Ward 5","60","373","355"
"Ward 5","61","337","323"
"Ward 5","62","352","301"
"Ward 5","63","330","304"
"Ward 5","64","303","298"
"Ward 5","65","272","266"
"Ward 5","66","267","263"
"Ward 5","67","251","235"
"Ward 5","68","201","214"
"Ward 5","69","199","164"
"Ward 5","70","188","175"
"Ward 5","71","178","137"
"Ward 5","72","170","129"
"Ward 5","73","166","122"
"Ward 5","74","159","112"
"Ward 5","75","155","134"
"Ward 5","76","140","124"
"Ward 5","77","131","114"
"Ward 5","78","125","103"
"Ward 5","79","107","90"
"Ward 5","80","110","92"
"Ward 5","81","114","75"
"Ward 5","82","95","84"
"Ward 5","83","101","68"
"Ward 5","84","81","60"
"Ward 5","85+","578","304"
"Ward 5","No Response","4487","4847"
"Ward 6","0","220","240"
"Ward 6","1","245","207"
"Ward 6","2","191","172"
"Ward 6","3","186","182"
"Ward 6","4","169","170"
"Ward 6","5","135","146"
"Ward 6","6","120","164"
"Ward 6","7","133","124"
"Ward 6","8","134","126"
"Ward 6","9","112","121"
"Ward 6","10","104","115"
"Ward 6","11","104","102"
"Ward 6","12","110","100"
"Ward 6","13","108","100"
"Ward 6","14","137","112"
"Ward 6","15","123","91"
"Ward 6","16","105","118"
"Ward 6","17","166","146"
"Ward 6","18","203","200"
"Ward 6","19","302","258"
"Ward 6","20","406","333"
"Ward 6","21","435","401"
"Ward 6","22","569","453"
"Ward 6","23","658","610"
"Ward 6","24","696","675"
"Ward 6","25","720","734"
"Ward 6","26","740","717"
"Ward 6","27","699","743"
"Ward 6","28","706","762"
"Ward 6","29","672","786"
"Ward 6","30","672","723"
"Ward 6","31","668","675"
"Ward 6","32","536","661"
"Ward 6","33","513","714"
"Ward 6","34","490","637"
"Ward 6","35","417","551"
"Ward 6","36","384","528"
"Ward 6","37","327","464"
"Ward 6","38","347","448"
"Ward 6","39","320","436"
"Ward 6","40","284","351"
"Ward 6","41","273","384"
"Ward 6","42","272","347"
"Ward 6","43","301","376"
"Ward 6","44","285","346"
"Ward 6","45","343","368"
"Ward 6","46","284","345"
"Ward 6","47","284","366"
"Ward 6","48","284","354"
"Ward 6","49","310","424"
"Ward 6","50","337","406"
"Ward 6","51","308","404"
"Ward 6","52","309","405"
"Ward 6","53","317","388"
"Ward 6","54","337","354"
"Ward 6","55","327","388"
"Ward 6","56","350","384"
"Ward 6","57","322","404"
"Ward 6","58","315","403"
"Ward 6","59","352","412"
"Ward 6","60","350","386"
"Ward 6","61","319","336"
"Ward 6","62","299","305"
"Ward 6","63","250","319"
"Ward 6","64","289","284"
"Ward 6","65","255","227"
"Ward 6","66","263","270"
"Ward 6","67","221","246"
"Ward 6","68","191","193"
"Ward 6","69","192","187"
"Ward 6","70","187","156"
"Ward 6","71","179","174"
"Ward 6","72","151","130"
"Ward 6","73","152","136"
"Ward 6","74","140","121"
"Ward 6","75","174","102"
"Ward 6","76","132","77"
"Ward 6","77","144","99"
"Ward 6","78","145","118"
"Ward 6","79","114","98"
"Ward 6","80","143","115"
"Ward 6","81","139","92"
"Ward 6","82","135","85"
"Ward 6","83","143","71"
"Ward 6","84","117","84"
"Ward 6","85+","1003","488"
"Ward 6","No Response","10078","12204"
"Ward 7","0","305","276"
"Ward 7","1","294","294"
"Ward 7","2","286","300"
"Ward 7","3","289","323"
"Ward 7","4","258","298"
"Ward 7","5","267","321"
"Ward 7","6","258","276"
"Ward 7","7","280","281"
"Ward 7","8","246","241"
"Ward 7","9","244","215"
"Ward 7","10","250","250"
"Ward 7","11","218","273"
"Ward 7","12","222","250"
"Ward 7","13","245","258"
"Ward 7","14","255","270"
"Ward 7","15","269","247"
"Ward 7","16","257","316"
"Ward 7","17","282","281"
"Ward 7","18","315","315"
"Ward 7","19","292","343"
"Ward 7","20","309","342"
"Ward 7","21","350","370"
"Ward 7","22","366","366"
"Ward 7","23","385","406"
"Ward 7","24","405","424"
"Ward 7","25","358","415"
"Ward 7","26","405","406"
"Ward 7","27","383","427"
"Ward 7","28","398","479"
"Ward 7","29","367","460"
"Ward 7","30","397","424"
"Ward 7","31","371","408"
"Ward 7","32","382","397"
"Ward 7","33","359","362"
"Ward 7","34","376","375"
"Ward 7","35","313","377"
"Ward 7","36","346","395"
"Ward 7","37","309","358"
"Ward 7","38","324","358"
"Ward 7","39","345","360"
"Ward 7","40","322","341"
"Ward 7","41","330","315"
"Ward 7","42","285","361"
"Ward 7","43","338","361"
"Ward 7","44","363","374"
"Ward 7","45","335","386"
"Ward 7","46","328","369"
"Ward 7","47","350","360"
"Ward 7","48","339","420"
"Ward 7","49","412","455"
"Ward 7","50","417","454"
"Ward 7","51","391","443"
"Ward 7","52","387","420"
"Ward 7","53","405","469"
"Ward 7","54","393","418"
"Ward 7","55","383","416"
"Ward 7","56","391","423"
"Ward 7","57","359","388"
"Ward 7","58","359","362"
"Ward 7","59","311","353"
"Ward 7","60","339","348"
"Ward 7","61","284","311"
"Ward 7","62","248","282"
"Ward 7","63","258","269"
"Ward 7","64","261","236"
"Ward 7","65","252","257"
"Ward 7","66","267","248"
"Ward 7","67","253","235"
"Ward 7","68","256","185"
"Ward 7","69","228","184"
"Ward 7","70","218","179"
"Ward 7","71","222","204"
"Ward 7","72","232","177"
"Ward 7","73","213","170"
"Ward 7","74","221","175"
"Ward 7","75","187","172"
"Ward 7","76","211","153"
"Ward 7","77","203","158"
"Ward 7","78","192","140"
"Ward 7","79","182","145"
"Ward 7","80","177","123"
"Ward 7","81","173","141"
"Ward 7","82","151","109"
"Ward 7","83","143","111"
"Ward 7","84","131","101"
"Ward 7","85+","737","444"
"Ward 7","No Response","5206","6608"
"Ward 8","0","211","257"
"Ward 8","1","215","210"
"Ward 8","2","189","222"
"Ward 8","3","181","194"
"Ward 8","4","191","160"
"Ward 8","5","191","188"
"Ward 8","6","166","174"
"Ward 8","7","177","185"
"Ward 8","8","156","147"
"Ward 8","9","158","165"
"Ward 8","10","157","169"
"Ward 8","11","159","180"
"Ward 8","12","164","161"
"Ward 8","13","165","183"
"Ward 8","14","186","173"
"Ward 8","15","162","173"
"Ward 8","16","256","236"
"Ward 8","17","254","297"
"Ward 8","18","314","300"
"Ward 8","19","405","381"
"Ward 8","20","565","485"
"Ward 8","21","614","569"
"Ward 8","22","597","598"
"Ward 8","23","667","689"
"Ward 8","24","670","758"
"Ward 8","25","695","750"
"Ward 8","26","665","655"
"Ward 8","27","637","648"
"Ward 8","28","587","644"
"Ward 8","29","567","610"
"Ward 8","30","491","595"
"Ward 8","31","443","486"
"Ward 8","32","376","425"
"Ward 8","33","357","431"
"Ward 8","34","349","451"
"Ward 8","35","340","396"
"Ward 8","36","316","338"
"Ward 8","37","330","341"
"Ward 8","38","300","345"
"Ward 8","39","319","311"
"Ward 8","40","291","294"
"Ward 8","41","257","257"
"Ward 8","42","247","265"
"Ward 8","43","279","316"
"Ward 8","44","299","322"
"Ward 8","45","313","305"
"Ward 8","46","284","277"
"Ward 8","47","260","302"
"Ward 8","48","296","326"
"Ward 8","49","328","360"
"Ward 8","50","348","339"
"Ward 8","51","333","309"
"Ward 8","52","363","353"
"Ward 8","53","332","338"
"Ward 8","54","364","346"
"Ward 8","55","350","339"
"Ward 8","56","352","342"
"Ward 8","57","323","330"
"Ward 8","58","310","352"
"Ward 8","59","355","340"
"Ward 8","60","308","309"
"Ward 8","61","265","286"
"Ward 8","62","244","265"
"Ward 8","63","243","272"
"Ward 8","64","227","242"
"Ward 8","65","221","226"
"Ward 8","66","224","221"
"Ward 8","67","223","219"
"Ward 8","68","206","162"
"Ward 8","69","186","162"
"Ward 8","70","186","161"
"Ward 8","71","219","153"
"Ward 8","72","170","131"
"Ward 8","73","212","130"
"Ward 8","74","202","131"
"Ward 8","75","170","134"
"Ward 8","76","205","129"
"Ward 8","77","203","118"
"Ward 8","78","182","136"
"Ward 8","79","181","115"
"Ward 8","80","194","121"
"Ward 8","81","152","95"
"Ward 8","82","177","118"
"Ward 8","83","137","122"
"Ward 8","84","147","105"
"Ward 8","85+","946","525"
"Ward 8","No Response","7710","8843"
"Ward 9","0","516","570"
"Ward 9","1","607","671"
"Ward 9","2","555","615"
"Ward 9","3","605","603"
"Ward 9","4","601","619"
"Ward 9","5","584","646"
"Ward 9","6","593","610"
"Ward 9","7","577","604"
"Ward 9","8","545","523"
"Ward 9","9","500","540"
"Ward 9","10","481","553"
"Ward 9","11","474","485"
"Ward 9","12","471","455"
"Ward 9","13","459","530"
"Ward 9","14","445","474"
"Ward 9","15","463","494"
"Ward 9","16","496","479"
"Ward 9","17","478","473"
"Ward 9","18","445","485"
"Ward 9","19","508","450"
"Ward 9","20","445","468"
"Ward 9","21","499","466"
"Ward 9","22","488","506"
"Ward 9","23","513","483"
"Ward 9","24","536","500"
"Ward 9","25","522","545"
"Ward 9","26","563","509"
"Ward 9","27","588","593"
"Ward 9","28","650","637"
"Ward 9","29","667","632"
"Ward 9","30","708","633"
"Ward 9","31","689","666"
"Ward 9","32","745","698"
"Ward 9","33","707","666"
"Ward 9","34","742","686"
"Ward 9","35","726","653"
