"row_id","site_id","location_description","direction","speed_limit","speed_unit_of_measure","minimum_speed_detection_setting","maximum_speed_detection_setting","log_timestamp","vehicle_count_for_log_interval","speed_range_for_bin","bin_number","minimum_speed_for_bin_number","maximum_speed_for_bin_number","bin_over_speed_limit_flag","vehicle_count_at_slowest_speed_detected","vehicle_count_at_highest_speed_detected"
"DFS096-2016122311:02:47-08","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T11:02:00.000","59","6","8","57","62","2","1","7"
"DFS096-2016122311:02:47-09","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T11:02:00.000","59","6","9","63","68","2","0","1"
"DFS096-2016122311:02:47-10","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T11:02:00.000","59","157","10","69","225","2","0","0"
"DFS096-2016122311:17:47-01","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T11:17:00.000","58","15","1","6","20","0","3","0"
"DFS096-2016122311:17:47-02","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T11:17:00.000","58","6","2","21","26","0","4","1"
"DFS096-2016122311:17:47-03","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T11:17:00.000","58","6","3","27","32","0","3","3"
"DFS096-2016122311:17:47-04","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T11:17:00.000","58","6","4","33","38","0","7","1"
"DFS096-2016122311:17:47-05","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T11:17:00.000","58","6","5","39","44","0","20","3"
"DFS096-2016122311:17:47-06","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T11:17:00.000","58","6","6","45","50","1","18","15"
"DFS096-2016122311:17:47-07","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T11:17:00.000","58","6","7","51","56","2","3","19"
"DFS096-2016122311:17:47-08","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T11:17:00.000","58","6","8","57","62","2","0","11"
