"row_id","site_id","location_description","direction","speed_limit","speed_unit_of_measure","minimum_speed_detection_setting","maximum_speed_detection_setting","log_timestamp","vehicle_count_for_log_interval","speed_range_for_bin","bin_number","minimum_speed_for_bin_number","maximum_speed_for_bin_number","bin_over_speed_limit_flag","vehicle_count_at_slowest_speed_detected","vehicle_count_at_highest_speed_detected"
"DFS068-2016091415:58:29-10","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T15:58:00.000","90","157","10","69","225","2","0","1"
"DFS068-2016091416:13:29-01","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:13:00.000","87","15","1","6","20","0","6","0"
"DFS068-2016091416:13:29-02","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:13:00.000","87","6","2","21","26","0","9","0"
"DFS068-2016091416:13:29-03","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:13:00.000","87","6","3","27","32","0","11","0"
"DFS068-2016091416:13:29-04","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:13:00.000","87","6","4","33","38","0","20","0"
"DFS068-2016091416:13:29-05","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:13:00.000","87","6","5","39","44","0","28","5"
"DFS068-2016091416:13:29-06","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:13:00.000","87","6","6","45","50","1","10","24"
"DFS068-2016091416:13:29-07","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:13:00.000","87","6","7","51","56","2","3","36"
"DFS068-2016091416:13:29-08","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:13:00.000","87","6","8","57","62","2","0","17"
"DFS068-2016091416:13:29-09","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:13:00.000","87","6","9","63","68","2","0","4"
"DFS068-2016091416:13:29-10","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:13:00.000","87","157","10","69","225","2","0","1"
"DFS068-2016091416:28:29-01","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:28:00.000","89","15","1","6","20","0","7","1"
