"category","year","neighbourhood","address","quadrant","ward","latitude","longitude","location","geometry_point"
"General","2017","Dunluce","60 - DUNLUCE ROAD","NW","3.0","53.62846302525165","-113.52661655264637","
,  
(53.62846302525165, -113.52661655264637)","POINT (-113.52661655264637 53.62846302525165)"
"General","2016","Athlone","13020 - 128 STREET","NW","2","53.5897535851802","-113.54328521836294","
,  
(53.5897535851802, -113.54328521836294)","POINT (-113.54328521836294 53.5897535851802)"
"General","2018","Crestwood","14327 - 95A AVENUE NW","W","1","53.53205082763211","-113.56880811731152","
,  
(53.53205082763211, -113.56880811731152)","POINT (-113.56880811731152 53.53205082763211)"
"General","2017","Kensington","12115 - 134 AVENUE","NW","2.0",,,,
"General","2017","Ramsay Heights","5040 - WHITEMUD ROAD","SW","9.0","53.48905172152653","-113.58305417691984","
,  
(53.48905172152653, -113.58305417691984)","POINT (-113.58305417691984 53.48905172152653)"
"General","2016","Virginia Park","10907 - 75 STREET","NE","7","53.559709936481994","-113.45068406792016","
,  
(53.559709936481994, -113.45068406792016)","POINT (-113.45068406792016 53.559709936481994)"
"Edible","2016","Allendale","10556 - 66 AVENUE","SW","10","53.50282068927853","-113.50308677436595","
,  
(53.50282068927853, -113.50308677436595)","POINT (-113.50308677436595 53.50282068927853)"
"General","2018","Minchau","4628 - 35 AVENUE NW","SE","12","53.46552366307376","-113.41229845020247","
,  
(53.46552366307376, -113.41229845020247)","POINT (-113.41229845020247 53.46552366307376)"
"General","2016","Caernarvon","15016 - 114A STREET","NW","2","53.611055589797566","-113.51942217912944","
,  
(53.611055589797566, -113.51942217912944)","POINT (-113.51942217912944 53.611055589797566)"
"General","2018","Brookside","14312 - 50 AVENUE NW","SW","9","53.48832262308218","-113.56821354596889","
,  
(53.48832262308218, -113.56821354596889)","POINT (-113.56821354596889 53.48832262308218)"
"General","2018","Jackson Heights","644 - JENNER COVE NW","SE","11","53.4870574599507","-113.40384892540901","
,  
(53.4870574599507, -113.40384892540901)","POINT (-113.40384892540901 53.4870574599507)"
"General","2018","Rosslyn","13518 - 107 STREET NW","NW","2","53.59728687566403","-113.50565093241376","
,  
(53.59728687566403, -113.50565093241376)","POINT (-113.50565093241376 53.59728687566403)"
"General","2015","Hazeldean","9847  -  70 AVENUE","SE","11","53.5063686608693","-113.485260497533","
,  
(53.5063686608693, -113.485260497533)","POINT (-113.485260497533 53.5063686608693)"
"General","2017","Lauderdale","12924 - 102 STREET","NW","2.0","53.58814763957414","-113.49616694667306","
,  
(53.58814763957414, -113.49616694667306)","POINT (-113.49616694667306 53.58814763957414)"
"General","2018","Glenora","10322 - 138 STREET NW","W","6","53.54532335049132","-113.55998755929963","
,  
(53.54532335049132, -113.55998755929963)","POINT (-113.55998755929963 53.54532335049132)"
"General","2018","Calder","12840 - 123A STREET NW","NW","2","53.58744166471389","-113.53563827922417","
,  
(53.58744166471389, -113.53563827922417)","POINT (-113.53563827922417 53.58744166471389)"
"General","2014","York","218 CRESTON PLACE","NW","4","53.606455","-113.425613","
,  
(53.606455, -113.425613)","POINT (-113.425613 53.606455)"
"General","2015","Rhatigan Ridge","820  -  REID PLACE","SW","9","53.4726066384428","-113.592554680687","
,  
(53.4726066384428, -113.592554680687)","POINT (-113.592554680687 53.4726066384428)"
"General","2014","Lauderdale","13145 - 101 STREET","NW","2","53.591959","-113.493726","
,  
(53.591959, -113.493726)","POINT (-113.493726 53.591959)"
"General","2015","North Glenora","10720  -  141 STREET","W","6","53.5522234405417","-113.565080499016","
,  
(53.5522234405417, -113.565080499016)","POINT (-113.565080499016 53.5522234405417)"
"General","2017","Kirkness","14603 - 29 STREET","NE","4.0","53.610398166396266","-113.38219454502392","
,  
(53.610398166396266, -113.38219454502392)","POINT (-113.38219454502392 53.610398166396266)"
"General","2014","Spruce Avenue","11518 - 101 STREET","NW","2","53.566515","-113.494007","
,  
(53.566515, -113.494007)","POINT (-113.494007 53.566515)"
"General","2017","Kensington","13202 - 123 STREET","NW","2.0","53.59268372153415","-113.53416106194997","
,  
(53.59268372153415, -113.53416106194997)","POINT (-113.53416106194997 53.59268372153415)"
"General","2016","Jasper Park","8742 - 151 STREET","W","1","53.520812139185345","-113.58220677677356","
,  
(53.520812139185345, -113.58220677677356)","POINT (-113.58220677677356 53.520812139185345)"
"General","2017","Kensington","13320 - 124 STREET","NW","2.0","53.59445292496724","-113.54013892309725","
,  
(53.59445292496724, -113.54013892309725)","POINT (-113.54013892309725 53.59445292496724)"
"General","2016","Blue Quill","11224 - 23B AVENUE","SW","10","53.45571097587567","-113.52318212265183","
,  
(53.45571097587567, -113.52318212265183)","POINT (-113.52318212265183 53.45571097587567)"
"Balconies","2018","Queen Mary Park","10518 - 113 STREET NW","NW","6","53.548676952058436","-113.51609948777414","
,  
(53.548676952058436, -113.51609948777414)","POINT (-113.51609948777414 53.548676952058436)"
"General","2018","Glenora","10334 - 137 STREET NW","W","6","53.545905341954125","-113.55845290567899","
,  
(53.545905341954125, -113.55845290567899)","POINT (-113.55845290567899 53.545905341954125)"
"Natural","2017","Blue Quill","11211 - 23A AVENUE","SW","10.0","53.454367030824294","-113.52193255414946","
,  
(53.454367030824294, -113.52193255414946)","POINT (-113.52193255414946 53.454367030824294)"
"General","2018","Griesbach","2044 - ROCHESTER AVENUE NW","NW","2","53.600323745802285","-113.50333876166361","
,  
(53.600323745802285, -113.50333876166361)","POINT (-113.50333876166361 53.600323745802285)"
"General","2014","Strathcona","9752 - 88 AVENUE","NW","8","53.523544","-113.482235","
,  
(53.523544, -113.482235)","POINT (-113.482235 53.523544)"
"General","2015","Sakaw","5923  -  10 AVENUE","SE","11","53.4379666213848","-113.430471111149","
,  
(53.4379666213848, -113.430471111149)","POINT (-113.430471111149 53.4379666213848)"
"General","2016","Parkallen","11227 - 71 AVENUE","SW","7","53.50719463680956","-113.52150311985271","
,  
(53.50719463680956, -113.52150311985271)","POINT (-113.52150311985271 53.50719463680956)"
"General","2016","Rosslyn","13567 - 105 STREET","NW","2","53.598267993432984","-113.50297358857875","
,  
(53.598267993432984, -113.50297358857875)","POINT (-113.50297358857875 53.598267993432984)"
"General","2015","Evansdale","15208  -  88 STREET","NE","3","53.613361348899","-113.475437988454","
,  
(53.613361348899, -113.475437988454)","POINT (-113.475437988454 53.613361348899)"
"General","2014","Glenwood","9921 - 157 STREET","NW","1","53.538471","-113.592059","
,  
(53.538471, -113.592059)","POINT (-113.592059 53.538471)"
"General","2017","Idylwylde","7920 - 85 AVENUE","SE","8.0","53.52124728218801","-113.45024809133966","
,  
(53.52124728218801, -113.45024809133966)","POINT (-113.45024809133966 53.52124728218801)"
"General","2015","Rhatigan Ridge","301  -  ROUTLEDGE ROAD","SW","9","53.476777524642","-113.598183295475","
,  
(53.476777524642, -113.598183295475)","POINT (-113.598183295475 53.476777524642)"
"General","2014","Sifton Park","13204 - 47 STREET","NW","4","53.592466","-113.412784","
,  
(53.592466, -113.412784)","POINT (-113.412784 53.592466)"
"General","2017","Glenora","13415 - 103 AVENUE","WEST","6.0","53.54421617191704","-113.55368793054295","
,  
(53.54421617191704, -113.55368793054295)","POINT (-113.55368793054295 53.54421617191704)"
"General","2016","Calder","12920 - 124 STREET","NW","2","53.588172420574004","-113.53715560974109","
,  
(53.588172420574004, -113.53715560974109)","POINT (-113.53715560974109 53.588172420574004)"
"General","2017","Kirkness","15115 - 32 STREET","NE","4.0","53.614459456953675","-113.38705949538074","
,  
(53.614459456953675, -113.38705949538074)","POINT (-113.38705949538074 53.614459456953675)"
"General","2015","Kensington","13411  -  123A STREET","NW","2","53.5951624182478","-113.534628199489","
,  
(53.5951624182478, -113.534628199489)","POINT (-113.534628199489 53.5951624182478)"
"General","2018","Carlisle","14020 - 120 STREET NW","NW","2","53.60321670270622","-113.5276545124587","
,  
(53.60321670270622, -113.5276545124587)","POINT (-113.5276545124587 53.60321670270622)"
"General","2017","Avonmore","7216 - 79 STREET","SE","11.0","53.50912073420577","-113.44927479113012","
,  
(53.50912073420577, -113.44927479113012)","POINT (-113.44927479113012 53.50912073420577)"
"General","2015","Bulyea Heights","603  -  BURGESS CLOSE","SW","9","53.4691364001637","-113.572832834841","
,  
(53.4691364001637, -113.572832834841)","POINT (-113.572832834841 53.4691364001637)"
"General","2017","Hawks Ridge","1034 - COOPERS HAWK LINK","WEST","1.0","53.58717582882628","-113.69596879125734","
,  
(53.58717582882628, -113.69596879125734)","POINT (-113.69596879125734 53.58717582882628)"
"General","2017","Grandview Heights","6603 - 131 STREET","SW","10.0","53.5011818607908","-113.55361341702273","
,  
(53.5011818607908, -113.55361341702273)","POINT (-113.55361341702273 53.5011818607908)"
"General","2014","Lauderdale","10707 - 132 AVENUE","NW","2","53.591825","-113.504515","
,  
(53.591825, -113.504515)","POINT (-113.504515 53.591825)"
"General","2014","Rosslyn","13423 - 102 STREET","NW","2","53.595877","-113.495655","
,  
(53.595877, -113.495655)","POINT (-113.495655 53.595877)"
"General","2016","Westmount","10537 - 130 STREET","NW","6","53.548948959168676","-113.54580714427024","
,  
(53.548948959168676, -113.54580714427024)","POINT (-113.54580714427024 53.548948959168676)"
"General","2016","Summerside","8707 - SUMMERSIDE GRANDE BOULEVARD SW","SE","12","53.41730423879266","-113.46667101333404","
,  
(53.41730423879266, -113.46667101333404)","POINT (-113.46667101333404 53.41730423879266)"
"General","2017","Capilano","10628 - 67 STREET","SE","8.0","53.55136176426885","-113.43334929082431","
,  
(53.55136176426885, -113.43334929082431)","POINT (-113.43334929082431 53.55136176426885)"
"General","2014","Riverdale","8711 - 99 AVENUE","NW","6","53.541075","-113.465718","
,  
(53.541075, -113.465718)","POINT (-113.465718 53.541075)"
"General","2014","Glastonbury","1355 GRANT WAY","NW","5","53.507329","-113.672971","
,  
(53.507329, -113.672971)","POINT (-113.672971 53.507329)"
"General","2014","Britannia Youngstown","10203 - 162 STREET","NW","1","53.543479","-113.60069","
,  
(53.543479, -113.60069)","POINT (-113.60069 53.543479)"
"General","2016","Griesbach","1621 - KERR ROAD","NW","2","53.604454785661964","-113.49891036672743","
,  
(53.604454785661964, -113.49891036672743)","POINT (-113.49891036672743 53.604454785661964)"
"General","2015","Royal Gardens","11555  -  43 AVENUE","SW","10","53.4800164149281","-113.532527621441","
,  
(53.4800164149281, -113.532527621441)","POINT (-113.532527621441 53.4800164149281)"
"General","2015","Greenfield","3640  -  111B STREET","SW","10","53.4716606511516","-113.519644582402","
,  
(53.4716606511516, -113.519644582402)","POINT (-113.519644582402 53.4716606511516)"
"General","2015","Haddow","1204  -  HALIBURTON CLOSE","SW","9","53.4558198415181","-113.601429508244","
,  
(53.4558198415181, -113.601429508244)","POINT (-113.601429508244 53.4558198415181)"
"General","2018","Kensington","13220 - 117 STREET NW","NW","2","53.592895319806125","-113.52400878460533","
,  
(53.592895319806125, -113.52400878460533)","POINT (-113.52400878460533 53.592895319806125)"
"Public Space","2015","Glenora","12845  -  102 AVENUE","W","6","53.5418255962212","-113.543485155211","
,  
(53.5418255962212, -113.543485155211)","POINT (-113.543485155211 53.5418255962212)"
"General","2017","Greenview","3967 - 51 STREET","SE","11.0","53.47521747837609","-113.41731534809973","
,  
(53.47521747837609, -113.41731534809973)","POINT (-113.41731534809973 53.47521747837609)"
"General","2016","Ottewell","5707 - 92A AVENUE","SE","8","53.527320920950764","-113.42330978858487","
,  
(53.527320920950764, -113.42330978858487)","POINT (-113.42330978858487 53.527320920950764)"
"General","2018","Crestwood","9703 - 141 STREET NW","W","1","53.53450435402096","-113.56149785603193","
,  
(53.53450435402096, -113.56149785603193)","POINT (-113.56149785603193 53.53450435402096)"
"Public Space","2017","Rosslyn","9720 - 135 AVENUE","NW","2.0","53.59695515069706","-113.49331479687797","
,  
(53.59695515069706, -113.49331479687797)","POINT (-113.49331479687797 53.59695515069706)"
"General","2015","Griesbach","1324  -  KAPYONG AVENUE","NW","2","53.6033622730161","-113.501348853818","
,  
(53.6033622730161, -113.501348853818)","POINT (-113.501348853818 53.6033622730161)"
"General","2016","Patricia Heights","16 - PATRICIA CRESCENT","W","5","53.51049709805496","-113.6063077938133","
,  
(53.51049709805496, -113.6063077938133)","POINT (-113.6063077938133 53.51049709805496)"
"General","2017","Lauderdale","12930 - 102 STREET","NW","2.0","53.5882942814448","-113.49613499726507","
,  
(53.5882942814448, -113.49613499726507)","POINT (-113.49613499726507 53.5882942814448)"
"General","2014","Spruce Avenue","11250 - 102 STREET","NW","2","53.56253","-113.495766","
,  
(53.56253, -113.495766)","POINT (-113.495766 53.56253)"
"General","2015","Bonnie Doon","9218  -  95 STREET","SE","8","53.527708928681","-113.473697418784","
,  
(53.527708928681, -113.473697418784)","POINT (-113.473697418784 53.527708928681)"
"General","2015","Woodcroft","11533  -  133 STREET","W","2","53.5662827750148","-113.550803538392","
,  
(53.5662827750148, -113.550803538392)","POINT (-113.550803538392 53.5662827750148)"
"General","2014","Woodcroft","13620 - 117 AVENUE","NW","2","53.569355","-113.561397","
,  
(53.569355, -113.561397)","POINT (-113.561397 53.569355)"
"General","2017","Rosslyn","11006 - 134 AVENUE","NW","2.0","53.59527759417438","-113.51088570428718","
,  
(53.59527759417438, -113.51088570428718)","POINT (-113.51088570428718 53.59527759417438)"
"General","2018","Ormsby Place","18104 - 68 AVENUE NW","W","5","53.50241055371898","-113.63488435256835","
,  
(53.50241055371898, -113.63488435256835)","POINT (-113.63488435256835 53.50241055371898)"
"General","2016","Westmount","10520 - 126 STREET","NW","6","53.5483333866935","-113.53994438305264","
,  
(53.5483333866935, -113.53994438305264)","POINT (-113.53994438305264 53.5483333866935)"
"General","2017","Rosslyn","13451 - 111 STREET","NW","2.0","53.59697000613655","-113.51163660714933","
,  
(53.59697000613655, -113.51163660714933)","POINT (-113.51163660714933 53.59697000613655)"
"Public Space","2017","Dunluce","12604 - 153 AVENUE","NW","3.0","53.618961458475766","-113.53909858979677","
,  
(53.618961458475766, -113.53909858979677)","POINT (-113.53909858979677 53.618961458475766)"
"General","2014","Glenora","8 ALEXANDER CIRCLE","NW","6","53.544181","-113.551054","
,  
(53.544181, -113.551054)","POINT (-113.551054 53.544181)"
"General","2017","Dunvegan","13851 - 131 AVENUE","NW","2.0","53.58981302317044","-113.56152915354406","
,  
(53.58981302317044, -113.56152915354406)","POINT (-113.56152915354406 53.58981302317044)"
"General","2018","Ramsay Heights","4210 - 149 STREET NW","SW","9","53.47937010842341","-113.58015975436247","
,  
(53.47937010842341, -113.58015975436247)","POINT (-113.58015975436247 53.47937010842341)"
"General","2014","Greenfield","3607 - 113A STREET","NW","10","53.470261","-113.525058","
,  
(53.470261, -113.525058)","POINT (-113.525058 53.470261)"
"General","2014","Athlone","13807 - 128 AVENUE","NW","2","53.586064","-113.557139","
,  
(53.586064, -113.557139)","POINT (-113.557139 53.586064)"
"General","2016","Strathcona","9623 - 99A STREET","SE","8","53.535092969317205","-113.4850218359202","
,  
(53.535092969317205, -113.4850218359202)","POINT (-113.4850218359202 53.535092969317205)"
"General","2015","Hodgson","1199  -  HOLLANDS WAY","SW","9","53.4559225742842","-113.555365899472","
,  
(53.4559225742842, -113.555365899472)","POINT (-113.555365899472 53.4559225742842)"
"General","2014","Glenwood","9915 - 157 STREET","NW","1","53.53822","-113.592059","
,  
(53.53822, -113.592059)","POINT (-113.592059 53.53822)"
"General","2015","Rosslyn","13528  -  102 STREET","NW","2","53.5982124271677","-113.495772190637","
,  
(53.5982124271677, -113.495772190637)","POINT (-113.495772190637 53.5982124271677)"
"General","2017","Glenora","13516 - RAVINE DRIVE","WEST","6.0","53.53943517266927","-113.55597091236052","
,  
(53.53943517266927, -113.55597091236052)","POINT (-113.55597091236052 53.53943517266927)"
"General","2015","Lymburn","7615  -  183 STREET","W","5","53.5099062233382","-113.636952829375","
,  
(53.5099062233382, -113.636952829375)","POINT (-113.636952829375 53.5099062233382)"
"General","2018","Meadowlark Park","8814 - 161 STREET NW","W","1","53.52358302551304","-113.60075869045217","
,  
(53.52358302551304, -113.60075869045217)","POINT (-113.60075869045217 53.52358302551304)"
"General","2018","Rosslyn","10516 - 135A AVENUE NW","NW","2","53.597479620767864","-113.50445528768796","
,  
(53.597479620767864, -113.50445528768796)","POINT (-113.50445528768796 53.597479620767864)"
"General","2018","Calder","12914 - 117 STREET NW","NW","2","53.58816881179893","-113.5240316168419","
,  
(53.58816881179893, -113.5240316168419)","POINT (-113.5240316168419 53.58816881179893)"
"General","2014","Belgravia","7403 - 118A STREET","NW","8","53.5104","-113.536784","
,  
(53.5104, -113.536784)","POINT (-113.536784 53.5104)"
"General","2014","Caernarvon","12208 - 151A AVENUE","NW","2","53.613804","-113.534145","
,  
(53.613804, -113.534145)","POINT (-113.534145 53.613804)"
"General","2018","Glenora","11 - ALEXANDER CIRCLE NW","W","6","53.5443263491468","-113.55192158729669","
,  
(53.5443263491468, -113.55192158729669)","POINT (-113.55192158729669 53.5443263491468)"
"General","2016","Bearspaw","10672 - 11 AVENUE","SW","10","53.44181163942841","-113.50181451209437","
,  
(53.44181163942841, -113.50181451209437)","POINT (-113.50181451209437 53.44181163942841)"
"General","2017","Oliver","10320A - 121 STREET","NW","6.0","53.54518419776383","-113.53114811131623","
,  
(53.54518419776383, -113.53114811131623)","POINT (-113.53114811131623 53.54518419776383)"
"General","2015","McLeod","5911  -  150 AVENUE","NE","4","53.6119510273694","-113.432775132928","
,  
(53.6119510273694, -113.432775132928)","POINT (-113.432775132928 53.6119510273694)"
