"category","year","neighbourhood","address","quadrant","ward","latitude","longitude","location","geometry_point"
"General","2018","McQueen","14420 - 110 AVENUE NW","W","6","53.557550155039124","-113.56925589939478","
,  
(53.557550155039124, -113.56925589939478)","POINT (-113.56925589939478 53.557550155039124)"
"General","2015","Riverdale","10184  -  87 STREET","NE","6","53.5463604974649","-113.46696584627","
,  
(53.5463604974649, -113.46696584627)","POINT (-113.46696584627 53.5463604974649)"
"General","2018","Kensington","13412 - 118 STREET NW","NW","2","53.595562069393615","-113.52574614743756","
,  
(53.595562069393615, -113.52574614743756)","POINT (-113.52574614743756 53.595562069393615)"
"General","2016","Griesbach","2204 - STAN WATERS AVENUE","NW","2","53.60114191792878","-113.50183071260038","
,  
(53.60114191792878, -113.50183071260038)","POINT (-113.50183071260038 53.60114191792878)"
"General","2018","Rosslyn","13431 - 111 STREET NW","NW","2","53.59629597012761","-113.51161415442978","
,  
(53.59629597012761, -113.51161415442978)","POINT (-113.51161415442978 53.59629597012761)"
"General","2017","Northmount","9043 - 138 AVENUE","NE","7.0","53.60046730262218","-113.48213714410201","
,  
(53.60046730262218, -113.48213714410201)","POINT (-113.48213714410201 53.60046730262218)"
"General","2015","Highlands","5318  -  111 AVENUE","NE","7","53.5661282470377","-113.42418638726","
,  
(53.5661282470377, -113.42418638726)","POINT (-113.42418638726 53.5661282470377)"
"General","2018","Quesnell Heights","52 - QUESNELL CRESCENT NW","W","5","53.51047462646968","-113.57361068571551","
,  
(53.51047462646968, -113.57361068571551)","POINT (-113.57361068571551 53.51047462646968)"
"General","2014","Westmount","11030 - 122 STREET","NW","6","53.558333","-113.53245","
,  
(53.558333, -113.53245)","POINT (-113.53245 53.558333)"
"General","2014","Ottewell","9624 - 52 STREET","NW","8","53.536705","-113.420177","
,  
(53.536705, -113.420177)","POINT (-113.420177 53.536705)"
"General","2018","Athlone","13804 - 131 AVENUE NW","NW","2","53.590453158596446","-113.55986390869548","
,  
(53.590453158596446, -113.55986390869548)","POINT (-113.55986390869548 53.590453158596446)"
"General","2016","Athlone","12908 - 136 STREET","NW","2","53.58829549795899","-113.5552036556797","
,  
(53.58829549795899, -113.5552036556797)","POINT (-113.5552036556797 53.58829549795899)"
"Natural","2017","Bonnie Doon","8829 - 91 STREET","SE","8.0","53.524447421100305","-113.46632710007749","
,  
(53.524447421100305, -113.46632710007749)","POINT (-113.46632710007749 53.524447421100305)"
"General","2014","Bellevue","6802 - 111 AVENUE","NW","7","53.561931","-113.440916","
,  
(53.561931, -113.440916)","POINT (-113.440916 53.561931)"
"General","2017","Woodcroft","11712 - 135 STREET","WEST","2.0","53.56888859553224","-113.55528474147523","
,  
(53.56888859553224, -113.55528474147523)","POINT (-113.55528474147523 53.56888859553224)"
"General","2017","Brander Gardens","183 - BRANDER DRIVE","SW","9.0","53.49814283255787","-113.58036581483444","
,  
(53.49814283255787, -113.58036581483444)","POINT (-113.58036581483444 53.49814283255787)"
"General","2017","Kilkenny","8011 - 145 AVENUE","NE","3.0","53.60754780902765","-113.46570188748015","
,  
(53.60754780902765, -113.46570188748015)","POINT (-113.46570188748015 53.60754780902765)"
"General","2014","Athlone","13813 - 128A AVENUE","NW","2","53.586815","-113.557658","
,  
(53.586815, -113.557658)","POINT (-113.557658 53.586815)"
