"neighborhood","site_type","category","target","size","number_of_tags","lir_value","latitude","longitude","location","group_value","icon","geometry_point"
"McCauley","Random","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","2","18","53.5504666666667","-113.489516666667","
,  
(53.5504666666667, -113.489516666667)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.489516666667 53.5504666666667)"
"Downtown","Random","Marker / Plain Graffiti","Utility Box","Small (>1sq ft<=2sqft)","2","18","53.5435333333333","-113.503833333333","
,  
(53.5435333333333, -113.503833333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.503833333333 53.5435333333333)"
"Oliver","Hot Spot","Marker / Plain Graffiti","Postal Box","Small (>1sq ft<=2sqft)","2","23","53.5456833333333","-113.534116666667","
,  
(53.5456833333333, -113.534116666667)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.534116666667 53.5456833333333)"
"Westmount","Hot Spot","Artistic Tag","Postal Box","Small (>1sq ft<=2sqft)","1","21","53.5495333333333","-113.53765","
,  
(53.5495333333333, -113.53765)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.53765 53.5495333333333)"
"Strathcona","Hot Spot","Marker / Plain Graffiti","Door","Small (>1sq ft<=2sqft)","1","17","53.5181333333333","-113.498616666667","
,  
(53.5181333333333, -113.498616666667)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.498616666667 53.5181333333333)"
"Garneau","Hot Spot","Artistic Tag","Benches","Small (>1sq ft<=2sqft)","2","21","53.52195","-113.512033333333","
,  
(53.52195, -113.512033333333)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.512033333333 53.52195)"
"Inglewood","Hot Spot","Marker / Plain Graffiti","Postal Box","Small (>1sq ft<=2sqft)","1","21","53.5605","-113.534416666667","
,  
(53.5605, -113.534416666667)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.534416666667 53.5605)"
"Oliver","Hot Spot","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","1","21","53.54725","-113.53505","
,  
(53.54725, -113.53505)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.53505 53.54725)"
"Westmount","Random","Marker / Plain Graffiti","Postal Box","Small (>1sq ft<=2sqft)","1","25","53.5573166666667","-113.540883333333","
,  
(53.5573166666667, -113.540883333333)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.540883333333 53.5573166666667)"
"Downtown","Random","Marker / Plain Graffiti","Urinal","Small (>1sq ft<=2sqft)","2","23","53.5415333333333","-113.507766666667","
,  
(53.5415333333333, -113.507766666667)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.507766666667 53.5415333333333)"
"Central McDougall","Random","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","1","18","53.5505833333333","-113.507533333333","
,  
(53.5505833333333, -113.507533333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.507533333333 53.5505833333333)"
"Downtown","Hot Spot","Marker / Plain Graffiti","Walls","Large (>9sq ft<=20sqft)","2","22","53.5396","-113.495516666667","
,  
(53.5396, -113.495516666667)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.495516666667 53.5396)"
"Boyle Street","Hot Spot","Marker / Plain Graffiti","Utility Box","Small (>1sq ft<=2sqft)","1","16","53.55135","-113.4735","
,  
(53.55135, -113.4735)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.4735 53.55135)"
"Queen Mary Park","Hot Spot","Marker / Plain Graffiti","Postal Box","Small (>1sq ft<=2sqft)","2","20","53.5512166666667","-113.51945","
,  
(53.5512166666667, -113.51945)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.51945 53.5512166666667)"
"Downtown","Random","Marker / Plain Graffiti","Walls","Small (>1sq ft<=2sqft)","1","20","53.5416333333333","-113.502083333333","
,  
(53.5416333333333, -113.502083333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.502083333333 53.5416333333333)"
"Oliver","Hot Spot","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","5","22","53.5418166666667","-113.533216666667","
,  
(53.5418166666667, -113.533216666667)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.533216666667 53.5418166666667)"
"Strathcona","Hot Spot","Marker / Plain Graffiti","Ventilation Unit","Small (>1sq ft<=2sqft)","4","21","53.5187333333333","-113.499933333333","
,  
(53.5187333333333, -113.499933333333)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.499933333333 53.5187333333333)"
"Parkdale","Random","Marker / Plain Graffiti","Postal Box","Small (>1sq ft<=2sqft)","1","19","53.5644","-113.47035","
,  
(53.5644, -113.47035)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.47035 53.5644)"
"Downtown","Random","Marker / Plain Graffiti","Utility Box","Small (>1sq ft<=2sqft)","1","20","53.54615","-113.501466666667","
,  
(53.54615, -113.501466666667)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.501466666667 53.54615)"
"Central McDougall","Random","Marker / Plain Graffiti","Fence","Small (>1sq ft<=2sqft)","1","18","53.5516833333333","-113.505666666667","
,  
(53.5516833333333, -113.505666666667)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.505666666667 53.5516833333333)"
"Central McDougall","Hot Spot","Marker / Plain Graffiti","Signs","Small (>1sq ft<=2sqft)","4","21","53.5586","-113.493716666667","
,  
(53.5586, -113.493716666667)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.493716666667 53.5586)"
"Downtown","Hot Spot","Marker / Plain Graffiti","Walls","Small (>1sq ft<=2sqft)","3","22","53.54155","-113.500083333333","
,  
(53.54155, -113.500083333333)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.500083333333 53.54155)"
"Downtown","Random","Marker / Plain Graffiti","Postal Box","Small (>1sq ft<=2sqft)","2","22","53.5411833333333","-113.504883333333","
,  
(53.5411833333333, -113.504883333333)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.504883333333 53.5411833333333)"
"Oliver","Random","Marker / Plain Graffiti","Utility Box","Small (>1sq ft<=2sqft)","9","23","53.54055","-113.510033333333","
,  
(53.54055, -113.510033333333)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.510033333333 53.54055)"
"Downtown","Hot Spot","Marker / Plain Graffiti","Postal Box","Small (>1sq ft<=2sqft)","1","21","53.5406","-113.49545","
,  
(53.5406, -113.49545)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.49545 53.5406)"
"Ritchie","Hot Spot","Artistic Tag","Barricades","X-Small (<=1sq ft)","1","20","53.5165166666667","-113.488716666667","
,  
(53.5165166666667, -113.488716666667)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.488716666667 53.5165166666667)"
"Ritchie","Hot Spot","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","1","19","53.5161166666667","-113.487516666667","
,  
(53.5161166666667, -113.487516666667)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.487516666667 53.5161166666667)"
"Queen Alexandra","Hot Spot","Marker / Plain Graffiti","Barricades","Small (>1sq ft<=2sqft)","1","18","53.5147666666667","-113.505133333333","
,  
(53.5147666666667, -113.505133333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.505133333333 53.5147666666667)"
"Queen Mary Park","Random","Marker / Plain Graffiti","Postal Box","X-Small (<=1sq ft)","2","19","53.5531666666667","-113.515766666667","
,  
(53.5531666666667, -113.515766666667)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.515766666667 53.5531666666667)"
"Boyle Street","Hot Spot","Marker / Plain Graffiti","Walls","Large (>9sq ft<=20sqft)","2","23","53.5515666666667","-113.476133333333","
,  
(53.5515666666667, -113.476133333333)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.476133333333 53.5515666666667)"
"Downtown","Random","Marker / Plain Graffiti","Barricades","Med (>2sq ft<=9sqft)","6","22","53.5421","-113.5038","
,  
(53.5421, -113.5038)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.5038 53.5421)"
"Beacon Heights","Random","Marker / Plain Graffiti","Walls","Small (>1sq ft<=2sqft)","1","22","53.57095","-113.4138","
,  
(53.57095, -113.4138)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.4138 53.57095)"
"Queen Mary Park","Random","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","1","16","53.5552166666667","-113.514533333333","
,  
(53.5552166666667, -113.514533333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.514533333333 53.5552166666667)"
"CPR West","Hot Spot","Artistic Tag","Walls","Large (>9sq ft<=20sqft)","2","16","53.5170666666667","-113.496816666667","
,  
(53.5170666666667, -113.496816666667)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.496816666667 53.5170666666667)"
"Queen Mary Park","Random","Marker / Plain Graffiti","Utility Box","Small (>1sq ft<=2sqft)","3","20","53.5584666666667","-113.515766666667","
,  
(53.5584666666667, -113.515766666667)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.515766666667 53.5584666666667)"
"Queen Mary Park","Hot Spot","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","1","18","53.5512333333333","-113.521333333333","
,  
(53.5512333333333, -113.521333333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.521333333333 53.5512333333333)"
"Downtown","Hot Spot","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","2","22","53.5421666666667","-113.498783333333","
,  
(53.5421666666667, -113.498783333333)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.498783333333 53.5421666666667)"
"Alberta Avenue","Random","Marker / Plain Graffiti","Garage Door","Small (>1sq ft<=2sqft)","1","19","53.563","-113.48645","
,  
(53.563, -113.48645)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.48645 53.563)"
"Boyle Street","Hot Spot","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","1","20","53.5511833333333","-113.475083333333","
,  
(53.5511833333333, -113.475083333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.475083333333 53.5511833333333)"
"Eastwood","Hot Spot","Outline Bubble Tag - No Fill","Garage","Med (>2sq ft<=9sqft)","1","20","53.5746","-113.4717","
,  
(53.5746, -113.4717)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.4717 53.5746)"
"Parkdale","Hot Spot","Marker / Plain Graffiti","Utility Box","Small (>1sq ft<=2sqft)","1","18","53.5673166666667","-113.467316666667","
,  
(53.5673166666667, -113.467316666667)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.467316666667 53.5673166666667)"
"Boyle Street","Random","Marker / Plain Graffiti","Pole","Small (>1sq ft<=2sqft)","6","22","53.5436333333333","-113.48315","
,  
(53.5436333333333, -113.48315)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.48315 53.5436333333333)"
"Belvedere","Hot Spot","Marker / Plain Graffiti","Walls","Small (>1sq ft<=2sqft)","3","17","53.5876166666667","-113.4391","
,  
(53.5876166666667, -113.4391)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.4391 53.5876166666667)"
"Alberta Avenue","Random","Marker / Plain Graffiti","Pole","Small (>1sq ft<=2sqft)","2","20","53.5603333333333","-113.485916666667","
,  
(53.5603333333333, -113.485916666667)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.485916666667 53.5603333333333)"
"Garneau","Random","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","2","21","53.5224166666667","-113.518716666667","
,  
(53.5224166666667, -113.518716666667)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.518716666667 53.5224166666667)"
"Boyle Street","Random","Marker / Plain Graffiti","Door","Small (>1sq ft<=2sqft)","1","20","53.5482666666667","-113.483433333333","
,  
(53.5482666666667, -113.483433333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.483433333333 53.5482666666667)"
"Westmount","Hot Spot","Artistic Tag","Postal Box","Small (>1sq ft<=2sqft)","2","22","53.5476666666667","-113.53245","
,  
(53.5476666666667, -113.53245)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.53245 53.5476666666667)"
"Downtown","Random","Marker / Plain Graffiti","Barricades","Med (>2sq ft<=9sqft)","1","20","53.5416666666667","-113.504583333333","
,  
(53.5416666666667, -113.504583333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.504583333333 53.5416666666667)"
"CPR West","Hot Spot","Marker / Plain Graffiti","Ventilation Unit","Small (>1sq ft<=2sqft)","2","19","53.5170666666667","-113.495416666667","
,  
(53.5170666666667, -113.495416666667)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.495416666667 53.5170666666667)"
"Downtown","Random","Marker / Plain Graffiti","Signs","Small (>1sq ft<=2sqft)","4","22","53.5402833333333","-113.50245","
,  
(53.5402833333333, -113.50245)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.50245 53.5402833333333)"
"Killarney","Random","Marker / Plain Graffiti","Postal Box","Small (>1sq ft<=2sqft)","1","19","53.5859333333333","-113.488666666667","
,  
(53.5859333333333, -113.488666666667)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.488666666667 53.5859333333333)"
"McCauley","Hot Spot","Marker / Plain Graffiti","Door","Small (>1sq ft<=2sqft)","2","18","53.5556333333333","-113.4845333","
,  
(53.5556333333333, -113.4845333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.4845333 53.5556333333333)"
"Central McDougall","Random","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","2","20","53.55195","-113.505716666667","
,  
(53.55195, -113.505716666667)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.505716666667 53.55195)"
"Alberta Avenue","Random","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","3","20","53.5641333333333","-113.48655","
,  
(53.5641333333333, -113.48655)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.48655 53.5641333333333)"
"Strathcona","Hot Spot","Marker / Plain Graffiti","Fence","Med (>2sq ft<=9sqft)","1","18","53.5205333333333","-113.49845","
,  
(53.5205333333333, -113.49845)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.49845 53.5205333333333)"
"Strathcona","Random","Marker / Plain Graffiti","Garage","Small (>1sq ft<=2sqft)","1","17","53.5235","-113.488066666667","
,  
(53.5235, -113.488066666667)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.488066666667 53.5235)"
"CPR West","Hot Spot","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","1","20","53.5170666666667","-113.496816666667","
,  
(53.5170666666667, -113.496816666667)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.496816666667 53.5170666666667)"
"Downtown","Hot Spot","Marker / Plain Graffiti","Postal Box","Small (>1sq ft<=2sqft)","2","20","53.5416666666667","-113.490033333333","
,  
(53.5416666666667, -113.490033333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.490033333333 53.5416666666667)"
"Parkdale","Hot Spot","Marker / Plain Graffiti","Barricades","Small (>1sq ft<=2sqft)","1","17","53.5672666666667","-113.468816666667","
,  
(53.5672666666667, -113.468816666667)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.468816666667 53.5672666666667)"
"Oliver","Hot Spot","Outline Bubble Tag - One Color","Walls","X-Large (>20sqft)","10","24","53.5423833333333","-113.52975","
,  
(53.5423833333333, -113.52975)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.52975 53.5423833333333)"
"Alberta Avenue","Random","Marker / Plain Graffiti","Door","Small (>1sq ft<=2sqft)","1","18","53.5597","-113.489783333333","
,  
(53.5597, -113.489783333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.489783333333 53.5597)"
"Downtown","Hot Spot","Marker / Plain Graffiti","Fence","Small (>1sq ft<=2sqft)","1","23","53.5403833333333","-113.4973","
,  
(53.5403833333333, -113.4973)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.4973 53.5403833333333)"
"Westmount","Hot Spot","Marker / Plain Graffiti","Walls","Small (>1sq ft<=2sqft)","1","23","53.5506833333333","-113.534966666667","
,  
(53.5506833333333, -113.534966666667)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.534966666667 53.5506833333333)"
"Queen Mary Park","Hot Spot","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","1","19","53.5512666666667","-113.5213","
,  
(53.5512666666667, -113.5213)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.5213 53.5512666666667)"
"Downtown","Random","Marker / Plain Graffiti","Utility Box","Small (>1sq ft<=2sqft)","1","20","53.5430666666667","-113.506916666667","
,  
(53.5430666666667, -113.506916666667)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.506916666667 53.5430666666667)"
"CPR West","Hot Spot","Marker / Plain Graffiti","Door","Small (>1sq ft<=2sqft)","2","18","53.5170666666667","-113.496816666667","
,  
(53.5170666666667, -113.496816666667)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.496816666667 53.5170666666667)"
"Ritchie","Hot Spot","Marker / Plain Graffiti","Garage Door","Small (>1sq ft<=2sqft)","2","22","53.5170666666667","-113.491666666667","
,  
(53.5170666666667, -113.491666666667)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.491666666667 53.5170666666667)"
"Downtown","Hot Spot","Marker / Plain Graffiti","Benches","X-Small (<=1sq ft)","3","21","53.5397","-113.4937","
,  
(53.5397, -113.4937)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.4937 53.5397)"
"Downtown","Random","Marker / Plain Graffiti","Ventilation Unit","Small (>1sq ft<=2sqft)","1","20","53.5395166666667","-113.507583333333","
,  
(53.5395166666667, -113.507583333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.507583333333 53.5395166666667)"
"Boyle Street","Random","Marker / Plain Graffiti","Door","Small (>1sq ft<=2sqft)","7","20","53.5442166666667","-113.47975","
,  
(53.5442166666667, -113.47975)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.47975 53.5442166666667)"
"Oliver","Hot Spot","Marker / Plain Graffiti","Storage Can","Med (>2sq ft<=9sqft)","2","23","53.5420333333333","-113.5347","
,  
(53.5420333333333, -113.5347)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.5347 53.5420333333333)"
"Queen Alexandra","Hot Spot","Marker / Plain Graffiti","Walls","Med (>2sq ft<=9sqft)","1","24","53.5161166666667","-113.500166666667","
,  
(53.5161166666667, -113.500166666667)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.500166666667 53.5161166666667)"
"CPR West","Random","Marker / Plain Graffiti","Walls","Med (>2sq ft<=9sqft)","1","18","53.5047","-113.496866666667","
,  
(53.5047, -113.496866666667)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.496866666667 53.5047)"
"Parkdale","Hot Spot","Marker / Plain Graffiti","Postal Box","Small (>1sq ft<=2sqft)","1","19","53.5656666666667","-113.4655","
,  
(53.5656666666667, -113.4655)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.4655 53.5656666666667)"
"Beacon Heights","Random","Splash","Garage","Small (>1sq ft<=2sqft)","1","20","53.5767166666667","-113.3963","
,  
(53.5767166666667, -113.3963)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.3963 53.5767166666667)"
"Downtown","Random","Artistic Tag","Door","Small (>1sq ft<=2sqft)","1","20","53.54395","-113.50205","
,  
(53.54395, -113.50205)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.50205 53.54395)"
"Central McDougall","Hot Spot","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","5","23","53.5517","-113.500116666667","
,  
(53.5517, -113.500116666667)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.500116666667 53.5517)"
"Inglewood","Random","Marker / Plain Graffiti","Fence","Small (>1sq ft<=2sqft)","1","19","53.5656333333333","-113.544533333333","
,  
(53.5656333333333, -113.544533333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.544533333333 53.5656333333333)"
"Downtown","Random","Marker / Plain Graffiti","Utility Box","Small (>1sq ft<=2sqft)","1","22","53.54305","-113.5079","
,  
(53.54305, -113.5079)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.5079 53.54305)"
"Oliver","Hot Spot","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","6","24","53.5462166666667","-113.535016666667","
,  
(53.5462166666667, -113.535016666667)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.535016666667 53.5462166666667)"
"Central McDougall","Random","Marker / Plain Graffiti","Postal Box","Small (>1sq ft<=2sqft)","5","21","53.5516833333333","-113.504483333333","
,  
(53.5516833333333, -113.504483333333)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.504483333333 53.5516833333333)"
"Central McDougall","Random","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","1","20","53.5483166666667","-113.504","
,  
(53.5483166666667, -113.504)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.504 53.5483166666667)"
"Central McDougall","Random","Marker / Plain Graffiti","Shed","Small (>1sq ft<=2sqft)","1","22","53.55285","-113.50755","
,  
(53.55285, -113.50755)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.50755 53.55285)"
"CPR West","Random","Marker / Plain Graffiti","Disposal Bin - Small","Med (>2sq ft<=9sqft)","1","20","53.5051333333333","-113.496816666667","
,  
(53.5051333333333, -113.496816666667)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.496816666667 53.5051333333333)"
"Eastwood","Random","Marker / Plain Graffiti","Fence","Small (>1sq ft<=2sqft)","3","18","53.5741333333333","-113.4627","
,  
(53.5741333333333, -113.4627)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.4627 53.5741333333333)"
"Downtown","Random","Marker / Plain Graffiti","Disposal Bin - Small","Med (>2sq ft<=9sqft)","4","21","53.5415166666667","-113.505233333333","
,  
(53.5415166666667, -113.505233333333)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.505233333333 53.5415166666667)"
"Westmount","Random","Marker / Plain Graffiti","Shed","Med (>2sq ft<=9sqft)","1","19","53.5585666666667","-113.544516666667","
,  
(53.5585666666667, -113.544516666667)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.544516666667 53.5585666666667)"
"Garneau","Random","Marker / Plain Graffiti","Barricades","Small (>1sq ft<=2sqft)","2","21","53.5213666666667","-113.515366666667","
,  
(53.5213666666667, -113.515366666667)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.515366666667 53.5213666666667)"
"Oliver","Hot Spot","Marker / Plain Graffiti","Door","Small (>1sq ft<=2sqft)","2","18","53.5416","-113.52965","
,  
(53.5416, -113.52965)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.52965 53.5416)"
"CPR West","Random","Marker / Plain Graffiti","Utility Box","Small (>1sq ft<=2sqft)","1","22","53.50175","-113.4943","
,  
(53.50175, -113.4943)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.4943 53.50175)"
"Strathcona","Hot Spot","Marker / Plain Graffiti","Disposal Bin - Small","Med (>2sq ft<=9sqft)","2","23","53.5187333333333","-113.499883333333","
,  
(53.5187333333333, -113.499883333333)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.499883333333 53.5187333333333)"
