"row_id","site_id","location_description","direction","speed_limit","speed_unit_of_measure","minimum_speed_detection_setting","maximum_speed_detection_setting","log_timestamp","vehicle_count_for_log_interval","speed_range_for_bin","bin_number","minimum_speed_for_bin_number","maximum_speed_for_bin_number","bin_over_speed_limit_flag","vehicle_count_at_slowest_speed_detected","vehicle_count_at_highest_speed_detected"
"DFS135-2017071210:25:30-08","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:25:00.000","54","5","8","60","64","2","0","1"
"DFS135-2017071210:25:30-09","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:25:00.000","54","5","9","65","69","2","0","0"
"DFS135-2017071210:25:30-10","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:25:00.000","54","156","10","70","225","2","0","0"
"DFS135-2017071210:40:30-01","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:40:00.000","50","24","1","6","29","0","14","6"
"DFS135-2017071210:40:30-02","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:40:00.000","50","5","2","30","34","0","5","3"
"DFS135-2017071210:40:30-03","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:40:00.000","50","5","3","35","39","0","8","8"
"DFS135-2017071210:40:30-04","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:40:00.000","50","5","4","40","44","0","10","6"
"DFS135-2017071210:40:30-05","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:40:00.000","50","5","5","45","49","0","12","14"
"DFS135-2017071210:40:30-06","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:40:00.000","50","5","6","50","54","1","1","9"
"DFS135-2017071210:40:30-07","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:40:00.000","50","5","7","55","59","2","0","3"
"DFS135-2017071210:40:30-08","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:40:00.000","50","5","8","60","64","2","0","1"
"DFS135-2017071210:40:30-09","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:40:00.000","50","5","9","65","69","2","0","0"
"DFS135-2017071210:40:30-10","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:40:00.000","50","156","10","70","225","2","0","0"
"DFS135-2017071210:55:30-01","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:55:00.000","51","24","1","6","29","0","17","8"
"DFS135-2017071210:55:30-02","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:55:00.000","51","5","2","30","34","0","2","0"
"DFS135-2017071210:55:30-03","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:55:00.000","51","5","3","35","39","0","15","2"
"DFS135-2017071210:55:30-04","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:55:00.000","51","5","4","40","44","0","11","14"
"DFS135-2017071210:55:30-05","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:55:00.000","51","5","5","45","49","0","2","12"
"DFS135-2017071210:55:30-06","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:55:00.000","51","5","6","50","54","1","3","12"
"DFS135-2017071210:55:30-07","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:55:00.000","51","5","7","55","59","2","1","2"
"DFS135-2017071210:55:30-08","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:55:00.000","51","5","8","60","64","2","0","1"
"DFS135-2017071210:55:30-09","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:55:00.000","51","5","9","65","69","2","0","0"
"DFS135-2017071210:55:30-10","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:55:00.000","51","156","10","70","225","2","0","0"
"DFS135-2017071211:10:30-01","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:10:00.000","54","24","1","6","29","0","20","8"
"DFS135-2017071211:10:30-02","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:10:00.000","54","5","2","30","34","0","7","7"
"DFS135-2017071211:10:30-03","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:10:00.000","54","5","3","35","39","0","6","5"
"DFS135-2017071211:10:30-04","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:10:00.000","54","5","4","40","44","0","9","4"
"DFS135-2017071211:10:30-05","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:10:00.000","54","5","5","45","49","0","7","15"
"DFS135-2017071211:10:30-06","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:10:00.000","54","5","6","50","54","1","4","9"
"DFS135-2017071211:10:30-07","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:10:00.000","54","5","7","55","59","2","1","4"
"DFS135-2017071211:10:30-08","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:10:00.000","54","5","8","60","64","2","0","2"
"DFS135-2017071211:10:30-09","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:10:00.000","54","5","9","65","69","2","0","0"
"DFS135-2017071211:10:30-10","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:10:00.000","54","156","10","70","225","2","0","0"
"DFS135-2017071211:25:30-01","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:25:00.000","58","24","1","6","29","0","21","3"
"DFS135-2017071211:25:30-02","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:25:00.000","58","5","2","30","34","0","6","4"
