Map Name,Type of Location,Bike Rack Location Description,Bike Capacity,Additional Information,Latitude,Longitude,Location,Photos Approved for Publication?,Number of Photos,Neighbourhood Boundaries : 2019,Roadway Maintenance Area Polygon,"Edmonton Public School Board (EPSB) Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)","Edmonton Catholic School District Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)","City of Edmonton - Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)",Wards,Edmonton Public School Board Ward Boundaries,Edmonton Catholic School District Ward Boundaries,City of Edmonton - Neighbourhood Boundaries
Edmonton's Public Bike Parking,Public bike parking - uncovered,48 Bikes: Forestry Centre,48,,53.52623,-113.52745,"(53.5262275, -113.5274523)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,16 Bikes: Norquest,16,,53.54318,-113.50571,"(53.5431764, -113.5057104)",Yes,1,338,242,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,40 Bikes: Interdisciplinary Science,40,,53.52838,-113.52691,"(53.52838, -113.5269105)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,48 Bikes: Student's Building,48,,53.52508,-113.52628,"(53.5250763, -113.5262829)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,8 Bikes: Art Gallery of Alberta,8,,53.54477,-113.48819,"(53.5447685, -113.4881875)",Yes,1,338,242,4,5,9,6,4,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,6 Bikes: Manulife Place,6,,53.54278,-113.49550,"(53.5427811, -113.4955019)",Yes,0,338,242,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,12 Bikes: Enbridge Centre,12,,53.54277,-113.49247,"(53.5427651, -113.4924656)",Yes,0,338,242,4,5,9,6,4,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,35 Bikes: Fort Edmonton Park,35,Bike racks are located outside and to the right (north) of the main entrance.,53.50350,-113.57333,"(53.5034973, -113.5733342)",Yes,1,258,178,6,6,12,9,6,6,286
Edmonton's Public Bike Parking,Public bike parking - uncovered,20 Bikes: Kaye Clinic,20,,53.51929,-113.52679,"(53.5192943, -113.5267925)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,7 Bikes: Brownlee Building,7,,53.54701,-113.48675,"(53.5470141, -113.4867525)",Yes,2,154,153,4,5,9,6,4,5,50
Edmonton's Public Bike Parking,Public bike parking - uncovered,16 Bikes,16,,53.52566,-113.52899,"(53.5256631, -113.5289866)",Yes,1,121,146,6,5,11,8,6,5,356
