"agency","invoice_date","client_reference","program_year","city","county","zip","unit_ownership","housing_unit_type","elderly","children","disabled_occupants","native_american_occupants","other_occupants","total_occupants","primary_heating_fuel","utility","unit_year_built","unit_size","unit_stories","auditor","wx_contractor","hvac_contractor","final_inspector","pre_wx_test_cfm","post_wx_test_cfm","total_cfm_difference","funding_assignment","furnace_replacement","total_invoice_cost","po_amount_wap_base","po_amount_rggi_wap","po_amount_wap_utility","po_amount_liheap","hs_amount_wap_base","hs_amount_rggi_wap","hs_amount_wap_utility","hs_amount_liheap"
"Catholic Charities","2019-07-15T00:00:00.000","K18-432478481","2019","Frederica","Kent","19946","Own","Mobile Home","2","0","0","0","0","2","Propane","Delmarva/Carl King","1974","938","1","Steve C.","RS Bauer",,"Gary H.","2228","1153","1075","LIHEAP","N","7111.85",,,,"6445.35",,,,"666.50"
"Catholic Charities","2019-08-21T00:00:00.000","N17-1276493744","2019","Newark","New Castle","19713","Own","Single-Family Detached",,,,,,,,,,,,,,,,,,"0","RGGI WAP",,"312.50",,,,,,"312.50",,
"Catholic Charities","2019-08-21T00:00:00.000","N17-1017589607","2019","New Castle","New Castle","19720","Own","Single-Family Detached",,,,,,,,,,,,,,,,,,"0","WAP Utility",,"876.20",,,,,,,"876.20",
"Catholic Charities","2019-08-21T00:00:00.000","N17-867011221","2019","Newark","New Castle","19702","Own","Single-Family Attached",,,,,,,,,,,,,,,,,,"0","WAP Utility",,"895.70",,,,,,,"895.70",
"Catholic Charities","2019-09-17T00:00:00.000","S18-2130368883","2019","Rehoboth Beach","Sussex","19971","Own","Mobile Home","1","0","0","0","0","1","Propane","Delmarva/Bob Willey","1990","924","1","Gary H.","RS Bauer",,"Gary H.","1747","1112","635","WAP Utility","N","6308.53",,,"4978.53",,,,"1330.00",
"Catholic Charities","2019-09-05T00:00:00.000","S18-861863592","2019","Lewes","Sussex","19958","Own","Single-Family Detached","0","0","0","0","1","1","Electric","DEC","1972","1344","1","Gary H.","RS Bauer",,"Gary H.","3647","1636","2011","LIHEAP/RGGI WAP","N","8332.60",,,,"5954.60",,"1178.00",,"1200.00"
"Catholic Charities","2019-09-05T00:00:00.000","S19-783866145","2019","Ellendale","Sussex","19941","Own","Single-Family Detached","1","0","0","0","1","2","Propane","Delmarva/Bob Willey","1946","1180","2","Gary H.","RS Bauer",,"Gary H.","3404","1619","1785","LIHEAP/WAP Utility","N","5668.08",,,,"4587.23",,,"280.85","800.00"
"Catholic Charities","2019-09-05T00:00:00.000","S18-1211248835","2019","Laurel","Sussex","19956","Own","Mobile Home","0","0","0","0","2","2","Electric","DEC","2000","1188","1","Gary H.","RS Bauer",,"Gary H.","1482","887","595","LIHEAP","N","7910.56",,,,"6631.76",,,,"1278.80"
"Catholic Charities","2015-12-14T00:00:00.000","N14-374891764","2015","Wilmington","New Castle","19804","Own","Single-Family Detached","0","1","1","0","0","2","Gas",,"1985","2000","1","Ed W.","Efficient Home","Wysocki","Ed W.","2446","1303","1143","WAP BASE","N","3213.00","1162.00",,,,"2051.00",,,
"Catholic Charities","2019-09-17T00:00:00.000","S18-123785796","2019","Millsboro","Sussex","19966","Own","Mobile Home","1","0","1","0","0","2","Propane","DEC/Sharp Energy","1989","1152","1","Gary H.","RS Bauer",,"Gary H.","2533","1172","1361","LIHEAP/RGGI WAP","N","10195.10",,"3325.40",,"5500.00",,"544.70",,"825.00"
"Catholic Charities","2015-12-14T00:00:00.000","N14-2085715225","2015","Newark","New Castle","19711","Own","Single-Family Detached","0","0","0","0","1","1","Gas",,"1961","1325","2","Ed W.","Efficient Home","Wysocki","Ed W.","6229","3090","3139","WAP BASE","N","4352.20","2947.20",,,,"1405.00",,,
"Catholic Charities","2019-09-05T00:00:00.000","K18-1593466688","2019","Dover","Kent","19901","Own","Mobile Home","0","0","1","0","0","1","Electric","City of Dover","1985","924","1","Steve C.","Efficient Home",,"Steve C.","3220","1618","1602","LIHEAP","N","6697.45",,,,"5761.45",,,,"936.00"
"Catholic Charities","2017-04-26T00:00:00.000","S16-574647666","2017","Seaford","Sussex","19973","Own","Single-Family Detached",,,,,,,,,"2009","1560","1","Gary H.","RS Bauer",,"Gary H.","883","883","0","RGGI WAP","N","180.00",,"180.00",,,,,,
"Catholic Charities","2019-09-05T00:00:00.000","S18-884321506","2019","Laurel","Sussex","19956","Own","Single-Family Detached","0","0","0","0","1","1","Oil","Delmarva/PEP-UP","1965","990","1","Gary H.","RS Bauer",,"Gary H.","2733","1488","1245","LIHEAP/WAP Utility","N","15379.39",,,"8693.84","5500.00",,,"360.55","825.00"
"Catholic Charities","2019-09-17T00:00:00.000","S18-631653674","2019","Lincoln","Sussex","19960","Own","Mobile Home","0","1","0","0","2","3","Electric","DEC","2016","1728","1","Gary H.","FLC",,"Gary H.","2101","1111","990","LIHEAP/RGGI WAP","N","9533.06",,"2809.06",,"5200.00",,"524.00",,"1000.00"
"Catholic Charities","2019-09-05T00:00:00.000","K18-1895208046","2019","Dover","Kent","19901","Own","Single-Family Detached","2","0","0","0","0","2","Gas","Delmarva/Chesapeake Utilities","2003","1049","1","Steve C.","RS Bauer",,"Steve C.","1275","976","299","LIHEAP/WAP Utility","N","7167.08",,,,"5647.28",,,"519.80","1000.00"
"Catholic Charities","2019-10-03T00:00:00.000","S18-771922150","2019","Magnolia","Kent","19962","Own","Mobile Home","2","0","1","0","0","2","Propane","DEC/Paradee Gas","1999","924","1","Steve C.","Efficient Home",,"Steve C.","1341","1013","328","LIHEAP","N","5260.53",,,,"4393.33",,,,"867.20"
"Catholic Charities","2015-12-15T00:00:00.000","N14-903848688","2015","Wilmington","New Castle","19804","Own","Single-Family Detached","1","2","1","0","0","4","Gas",,"1950","1425","2","Ed W.","CSC","Affordable HVAC","Ed W.","3578","2388","1190","WAP UTILITY","N","4223.45",,,"4171.45",,,,"52.00",
"Catholic Charities","2019-09-17T00:00:00.000","K18-605629924","2019","Smyrna","Kent","19977","Own","Mobile Home","0","0","1","0","0","1","Propane","DEC/Delaware Propane","1997","1064","1","Steve C.","RS Bauer",,"Steve C.","1585","812","773","LIHEAP/RGGI WAP","N","6969.33",,,,"5679.93",,,,"1289.40"
"Catholic Charities","2019-10-03T00:00:00.000","S18-1224344891","2019","Milford","Kent","19963","Own","Mobile Home","0","2","0","0","3","5","Propane","DEC/Southern States","1996","1456","1","Steve C.","RS Bauer",,"Steve C.","3305","1777","1528","LIHEAP/RGGI WAP","N","9759.51",,"3559.51",,"5322.00",,,,"878.00"
"Catholic Charities","2019-10-17T00:00:00.000","S18-483080864","2019","Smyrna","Kent","19977","Own","Mobile Home","0","0","1","0","0","1","Propane","DEC/Delaware Propane","2008","1064","1","Steve C.","RS Bauer",,"Steve C.","1718","863","855","LIHEAP/RGGI WAP","N","7315.98",,,,"5792.58",,"523.40",,"1000.00"
"Catholic Charities","2019-10-23T00:00:00.000","S18-1384659912","2019","Lincoln","Sussex","19960","Own","Mobile Home","2","0","0","0","0","2","Propane","Delmarva/Wilkins Fuel","1999","960","1","Gary H.","RS Bauer",,"Gary H.","1738","989","749","LIHEAP","N","6475.10",,,,"5705.20",,,,"769.90"
"Catholic Charities","2019-10-24T00:00:00.000","S18-1599961850","2019","Milford","Sussex","19963","Own","Mobile Home","0","0","0","0","1","1","Propane","City of Milford/Wilkins Fuel","1983","672","1","Gary H.","RS Bauer",,"Gary H.","2546","1204","1342","LIHEAP","N","6871.15",,,,"5658.50",,,,"1212.65"
"Catholic Charities","2019-10-24T00:00:00.000","K18-1678307123","2019","Wyoming","Kent","19934","Own","Single-Family Detached",,,,,,,"Oil","Delmarva/Kent Oil",,,,,,,,,,"0","WAP Utility","N","160.00",,,"115.00",,,,"45.00",
"Catholic Charities","2020-02-24T00:00:00.000","K18-1678307123","2019","Camden-Wyoming","Kent","19934","Own","Single-Family Detached","0","0","1","0","0","1","Oil","Delmarva/Kent Oil","1978","1344","1","Gary H.","Coastal HVAC",,"Gary H.","4276","1808","2468","LIHEAP","N","13210.28",,,,"11868.57",,,,"1341.71"
"Catholic Charities","2019-10-28T00:00:00.000","N16-769634947","2019","Claymont","New Castle","19703","Rent","Single-Family Detached",,,,,,,,,,,,,,,,,,"0","WAP Utility",,"720.50",,,,,,,"720.50",
"Catholic Charities","2019-11-07T00:00:00.000","K19-833673903","2019","Frederica","Kent","19946","Rent","Single-Family Detached","1","0","0","0","1","2","Oil","Delmarva/Kent Oil","1967","572","1","Steve C.","RS Bauer",,"Steve C.","2529","1637","892","LIHEAP","N","6585.36",,,,"5732.61",,,,"852.75"
"Catholic Charities","2019-11-07T00:00:00.000","S19-807054515","2019","Lewes","Sussex","19958","Own","Mobile Home","0","0","1","0","0","1","Oil","Delmarva/Bob Willey","1980","924","1","Gary H.","FLC",,"Gary H.","2013","1581","432","LIHEAP/WAP Utility","N","5902.80",,,,"4824.80",,,"228.00","850.00"
"Catholic Charities","2019-10-24T00:00:00.000","K18-378723451","2019","Viola","Kent","19979","Own","Single-Family Detached","0","1","0","0","2","3","Electric","Delmarva","2004","1860","1","Steve C.","RS Bauer",,"Steve C.","1839","1476","363","LIHEAP/WAP Utility","N","5052.05",,,,"3152.65",,,"1149.40","750.00"
"Catholic Charities","2015-12-18T00:00:00.000","K14-1124312913","2015","Camden","Kent","19934","own","Single-Family Detached","0","1","0","0","2","3","Electric",,"1995","1980","3","Gary H.","RS Bauer","RS Bauer","Gary H.","1441","1104","337","RGGI WAP","N","2627.62","1575.40",,,,"1052.22",,,
"Catholic Charities","2016-01-03T00:00:00.000","N15-246522659","2016","Bear","New Castle","19701","Own","Single-Family Attached","0","2","0","0","0","3","Oil","Delmarva/Gooding Heating","1978","2735","2","Ed W.","Efficient Home",,"Steve C.","4656","3915","741","WAP UTILITY","N","4126.00",,,"2521.00",,,,"1605.00",
"Catholic Charities","2019-11-07T00:00:00.000","S19-1045331058","2019","Ellendale","Sussex","19941","Own","Single-Family Detached","0","0","0","0","2","2","Electric","DEC","1998","1592","1","Gary H.","RS Bauer",,"Gary H.","2084","1526","558","WAP Base/RGGI WAP","N","8135.64","6042.74",,,,,"2092.90",,
"Catholic Charities","2019-10-24T00:00:00.000","K18-1419185730","2019","Dover","Kent","19901","Own","Mobile Home","0","0","1","0","0","1","Electric","Delmarva","1996","1288","1","Gary H.","RS Bauer",,"Gary H.","2571","1599","972","LIHEAP","N","8707.64",,,,"7365.46",,,,"1342.18"
"Catholic Charities","2019-12-18T00:00:00.000","K18-1419185730","2019","Dover","Kent","19901","Own","Mobile Home",,,,,,,,,,,,,,,,,,"0","WAP Utility",,"156.25",,,"156.25",,,,,
"Catholic Charities","2019-12-13T00:00:00.000","K18-644216852","2019","Felton","Kent","19943","Own","Mobile Home","1","0","0","0","0","1","Propane","Delmarva","1991","1152","1","Steve C.","Efficient Home",,"Steve C.","2468","1641","827","LIHEAP/WAP Utility","N","8211.64",,,,"6657.00",,,"1554.64",
"Catholic Charities","2019-12-06T00:00:00.000","K18-1620647402","2019","Camden-Wyoming","Kent","19934","Own","Single-Family Detached","1","0","0","0","0","1","Oil","DEC/Kent Oil","2011","1670","1","Steve C.","FLC",,"Steve C.","3557","2386","1171","LIHEAP/RGGI WAP","N","6481.30",,,,"4593.80",,"987.50",,"900.00"
"Catholic Charities","2019-12-09T00:00:00.000","K18-852869536","2019","Dover","Kent","19901","Own","Mobile Home","0","2","0","0","1","3","Propane","Delmarva/Suburban Propane","1992","891","1","Steve C.","Efficient Home",,"Steve C.","1681","964","717","LIHEAP/WAP Utility","N","6385.15",,,,"5029.20",,,"455.95","900.00"
"Catholic Charities","2016-01-19T00:00:00.000","S15-372750416","2015","Millsboro","Sussex","19966","Own","Mobile Home","1","0","0","0","0","1","Electric",,"1972","1014","1","Gary H.","RS Bauer","RS Bauer","Gary H.","3114","1800","1314","RGGI WAP","N","4051.57",,"3073.57",,,,"978.00",,
"Catholic Charities","2019-12-05T00:00:00.000","S18-1869442916","2019","Millsboro","Sussex","19966","Own","Mobile Home","1","0","0","0","0","1","Electric","DEC","1986","1248","1","Gary H.","RS Bauer",,"Gary H.","1821","1547","274","LIHEAP","N","3518.38",,,,"2803.62",,,,"714.76"
"Catholic Charities","2019-12-12T00:00:00.000","S18-1973763238","2019","Laurel","Sussex","19956","Own","Mobile Home","1","0","1","0","0","2","Kerosene","DEC/Laurel Petroleum","1982","1500","1","Gary H.","RS Bauer",,"Gary H.","2711","1607","1104","LIHEAP/RGGI WAP","N","9248.00",,,,"8081.00",,"1167.00",,
"Catholic Charities","2016-01-26T00:00:00.000","N14-1527290167","2015","New Castle","New Castle","19720","Own","Single-Family Detached","0","1","0","0","1","2","Electric",,"1977","2045","2","Ed W.","Efficient Home","Wysocki","Ed W.","3403","3060","343","WAP UTILITY","N","2731.75",,,"1763.25",,,,"968.50",
"Catholic Charities","2019-12-10T00:00:00.000","K18-236647835","2019","Dover","Kent","19901","Own","Mobile Home","0","1","1","0","0","2","Propane","City of Dover/Sharp Energy","2006","1216","1","Steve C.","FLC",,"Steve C.","1519","976","543","LIHEAP","N","6031.56",,,,"5469.56",,,,"562.00"
"Catholic Charities","2019-12-05T00:00:00.000","K18-1250876405","2019","Felton","Kent","19943","Own","Mobile Home","1","0","0","0","0","1","Oil","Delmarva/Midstate Fuel","1988","840","1","Steve C.","RS Bauer",,"Steve C.","2404","1150","1254","LIHEAP","N","6347.21",,,,"5520.46",,,,"826.75"
"Catholic Charities","2019-12-05T00:00:00.000","K18-372310157","2019","Felton","Kent","19943","Own","Mobile Home","0","0","1","0","0","1","Propane","Delmarva/Delmarva Propane","2005","924","1","Steve C.","RS Bauer",,"Steve C.","1499","736","763","LIHEAP","N","6692.43",,,,"5535.43",,,,"1157.00"
"Catholic Charities","2019-12-06T00:00:00.000","K18-334035893","2019","Felton","Kent","19943","Own","Mobile Home","0","0","1","0","0","1","Electric","DEC","1997","924","1","Gary H.","RS Bauer",,"Gary H.","1750","857","893","LIHEAP","N","6306.88",,,,"5339.03",,,,"967.85"
"Catholic Charities","2016-01-27T00:00:00.000","N14-108996124","2015","Bear","New Castle","19701","Own","Mobile Home","0","2","0","0","2","4","Oil",,"1981","2315","2","Ed W.","CSC","Wysocki/Efficient Home","Ed W.","3918","2386","1532","WAP UTILITY","N","5158.37",,,"3185.70",,,,"1972.67",
"Catholic Charities","2019-12-12T00:00:00.000","K18-1388729914","2019","Frederica","Kent","19946","Own","Mobile Home","1","0","0","0","0","1","Propane","Delmarva/Suburban Propane","2012","1196","1","Steve C.","FLC",,"Steve C.","2786","2080","706","LIHEAP","N","5835.50",,,,"5567.50",,,,"268.00"
"Catholic Charities","2019-12-09T00:00:00.000","S18-387684257","2019","Lincoln","Sussex","19960","Own","Mobile Home","0","0","1","0","0","1","Electric","DEC","1990","924","1","Steve C.","Efficient Home",,"Steve C.","1998",,"1998","RGGI WAP","N","3345.10",,"2516.60",,,,"828.50",,
"Catholic Charities","2019-12-19T00:00:00.000","S18-1271725053","2019","Ellendale","Sussex","19941","Rent","Single-Family Detached","1","0","0","0","1","2","Kerosene","Delmarva/Blue Hen Oil","1930","1222","2","Gary H.","RS Bauer",,"Gary H.","4168","2849","1319","LIHEAP","N","10576.17",,,,"9574.17",,,,"1002.00"
"Catholic Charities","2020-01-08T00:00:00.000","K19-1074941564","2019","Dover","Kent","19901","Own","Mobile Home","0","0","1","0","1","2","Propane","Delmarva/Suburban Propane","1994","1404","1","Steve C.","RS Bauer",,"Steve C.","3266","1619","1647","LIHEAP","N","6164.65",,,,"4874.30",,,,"1290.35"
"Catholic Charities","2019-12-12T00:00:00.000","K18-1395181233","2019","Camden-Wyoming","Kent","19934","Own","Mobile Home","1","0","0","0","1","2","Electric","Delmarva","2002","1809","1","Steve C.","Efficient Home",,"Steve C.","2378","1562","816","LIHEAP/WAP Utility","N","12960.07",,,"6240.37","5000.00",,,"969.70","750.00"
"Catholic Charities","2016-02-02T00:00:00.000","K15-2113881600","2015","Dover","Kent","19904","Own","Single-Family Detached",,,,,,,"Oil","City of Dover/Kent Oil","1955","912","1","Steve C./Gary H.","RS Bauer","RS Bauer","Steve C./Gary H.","1240","1030","210","RGGI WAP","N","3337.98",,"1512.98",,,,"1825.00",,
"Catholic Charities","2016-02-02T00:00:00.000","K15-2113881600","2015","Dover","Kent","19904","Own","Single-Family Detached","1","0","0","0","1","2","Oil","City of Dover/Kent Oil","1955","912","1","Steve C./Gary H.","RS Bauer","RS Bauer","Steve C./Gary H.",,,"0","WAP BASE","N","100.00","100.00",,,,,,,
"Catholic Charities","2019-12-09T00:00:00.000","K18-1415205101","2019","Dover","Kent","19901","Rent","Single-Family Detached","0","0","1","0","1","2","Oil","City of Dover/Carl King","1955","912","1","Steve C.","Efficient Home",,"Steve C.","1864","1001","863","LIHEAP/RGGI WAP","N","4947.87",,,,"3065.30",,"1132.57",,"750.00"
"Catholic Charities","2019-12-05T00:00:00.000","K18-494054247","2019","Frederica","Kent","19946","Own","Single-Family Detached","0","3","0","0","1","4","Propane","Delmarva/Poore's Propane","2007","1320","2","Gary H.","RS Bauer",,"Gary H.","2388","1175","1213","LIHEAP/WAP Utility","N","4070.91",,,,"2766.10",,,"704.81","600.00"
"Catholic Charities","2019-12-12T00:00:00.000","K18-771545412","2019","Dover","Kent","19901","Own","Mobile Home","0","0","0",,"1","1","Propane","City of Dover/Suburban Propane","1998","1248","1","Steve C.","RS Bauer",,"Steve C.","2808","1780","1028","LIHEAP","N","7503.76",,,,"7262.91",,,,"240.85"
"Catholic Charities","2019-12-19T00:00:00.000","K19-709344118","2019","Felton","Kent","19943","Own","Single-Family Detached","1","0","2","0","0","2","Propane","DEC/Amerigas","1984","1976","1","Gary H.","RS Bauer",,"Gary H.","2256","1385","871","LIHEAP/RGGI WAP","N","7134.99",,,,"5031.23",,"1103.76",,"1000.00"
"Catholic Charities","2019-12-05T00:00:00.000","K18-944065919","2019","Smyrna","Kent","19977","Own","Single-Family Detached","2","0","0","0","0","2","Gas","Town of Smyrna/Chesapeake Utilities","1965","1040","1","Steve C.","RS Bauer",,"Steve C.","3391","1874","1517","LIHEAP","N","10186.90",,,,"8871.00",,,,"1315.90"
"Catholic Charities","2020-01-29T00:00:00.000","S19-447025452","2019","Rehoboth Beach","Sussex","19971","Own","Mobile Home","1","0","0","0","0","1","Electric","Delmarva","1968","720","1","Gary H.","RS Bauer",,"Gary H.","1486","962","524","LIHEAP","N","4225.96",,,,"3266.91",,,,"959.05"
"Catholic Charities","2020-01-16T00:00:00.000","K19-525614056","2019","Magnolia","Kent","19962","Own","Mobile Home","0","1","0","0","2","3","Propane","DEC/Poore's Propane","1996","1008","1","Gary H.","RS Bauer",,"Gary H.","1983","953","1030","LIHEAP","N","6928.71",,,,"5636.21",,,,"1292.50"
"Catholic Charities","2020-01-10T00:00:00.000","S18-1973763238","2019","Frederica","Kent","19946","Own","Mobile Home","0","0","1","0","0","1","Propane","Delmarva/Delmarva Propane","1987","924","1","Steve C.","RS Bauer",,"Steve C.","3100","1480","1620","LIHEAP/WAP Utility","N","10633.69",,,,"5947.94",,,"4685.75",
"Catholic Charities","2019-04-16T00:00:00.000","S18-1360981666","2019","Greenwood","Sussex","19950","Own","Mobile Home","2","0","0","0","1","3","Oil","Delmarva/Butler Fuel & Sons","1978","791","1","Steve C.","RS Bauer",,"Steve C.","4176","1875","2301","LIHEAP","N","7308.95",,,,"6035.45",,,,"1273.50"
"Catholic Charities","2019-06-10T00:00:00.000","K18-1793441438","2019","Dover","Kent","19904","Own","Single-Family Detached","0","0","1","0","0","1","Propane","Delmarva/Carl King","1958","1369","1","Steve C.","Efficient Home",,"Steve C.","3833","2768","1065","LIHEAP","N","7084.37",,,,"5816.37",,,,"1268.00"
"Catholic Charities","2019-06-10T00:00:00.000","K18-420287266","2019","Felton","Kent","19943","Own","Mobile Home","1","0","1","0","0","2","Electric","DEC","1983","1430","1","Steve C.","Efficient Home",,"Steve C.","3758","2715","1043","LIHEAP","N","8434.70",,,,"7554.10",,,,"880.60"
"Catholic Charities","2020-01-24T00:00:00.000","k19-1199372460","2019","Dover","Kent","19901","Own","Mobile Home","0","0","1","0","0","1","Propane","Delmarva/Suburban Propane","1998","1782","1","Steve C.","RS Bauer",,"Steve C.","3456","2079","1377","LIHEAP","N","11324.95",,,,"10306.95",,,,"1018.00"
"Catholic Charities","2016-02-12T00:00:00.000","N15-1580176424","2015","Wilmington","New Castle","19803","Rent","Single-Family Detached","2","0","2","0","0","2","Oil",,"1954","1650","2","Ed W.","Efficient Home","RS Bauer","Ed W.","5133","3825","1308","WAP UTILITY","N","7263.18",,,"6373.68",,,,"889.50",
"Catholic Charities","2016-02-16T00:00:00.000","S15-1652877693","2015","Milford","Sussex","19963","Own","Single-Family Detached","0","2","1","0","1","4","Propane",,"1896","1768","2","Gary H.","RS Bauer","RS Bauer","Gary H.","4983","4301","682","RGGI WAP","Y","12531.74",,"6954.24",,,,"5577.50",,
"Catholic Charities","2020-02-10T00:00:00.000","K19-708794694","2019","Harrington","Kent","19952","Own","Mobile Home","1","0","0","0","0","1","Propane","DEC/PEP-UP","1994","1248","1","Steve C.","RS Bauer",,"Steve C.","2199","1552","647","LIHEAP","N","7914.02",,,,"6971.64",,,,"942.38"
"Catholic Charities","2020-02-03T00:00:00.000","K19-1142173982","2019","Magnolia","Kent","19962","Own","Single-Family Detached","1","0","2","0","0","3","Propane","DEC/Sharp Energy","1997","2856","1","Steve C.","RS Bauer",,"Steve C.","3915","2849","1066","LIHEAP/RGGI WAP","N","9081.55",,,,"5937.30",,"3144.25",,
"Catholic Charities","2020-02-07T00:00:00.000","K19-1029684511","2019","Dover","Kent","19904","Own","Single-Family Detached","0","3","0","0","3","6","Gas","City of Dover/Chesapeake Utilities","1968","1586","2","Steve C.","RS Bauer",,"Steve C.","2360","1998","362","LIHEAP","N","4212.00",,,,"3027.80",,,,"1184.20"
"Catholic Charities","2020-01-27T00:00:00.000","K19-333652599","2019","Dover","Kent","19904","Own","Single-Family Detached","0","2","0","0","2","4","Oil","City of Dover/Carl King","1959","1945","3","Steve C.","RS Bauer",,"Steve C.","3280","2505","775","LIHEAP","Y","12073.90",,,,"4575.20",,,,"7498.70"
"Catholic Charities","2016-02-17T00:00:00.000","S14-340931308","2015","Georgetown","Sussex","19947","Own","Single-Family Detached","0","0","1","0","0","1","oil",,"1964","1382","1","Gary H.","RS Bauer","RS Bauer","Gary H.","3815","2908","907","WAP UTILITY","N","8452.02",,,"7845.85",,,,"606.17",
"Catholic Charities","2020-01-24T00:00:00.000","S18-2080260120","2019","Greenwood","Kent","19950","Own","Mobile Home","1","0","0","0","0","1","Oil","DEC/Service Energy","1978","1127","1","Gary H.","RS Bauer",,"Gary H.","3647","1781","1866","LIHEAP","N","10067.11",,,,"9019.11",,,,"1048.00"
"Catholic Charities","2020-12-29T00:00:00.000","K18-845053861","2019","Smyrna","Kent","19977","Own","Single-Family Detached","1","0","0","0","0","1","Oil","Delmarva/Southern States","1967","826","1","Steve C.","Efficient Home",,"Steve C.","4648","2932","1716","LIHEAP/WAP Utility","N","10435.75",,,"1893.26","6000.00",,,"2542.49",
"Catholic Charities","2020-01-24T00:00:00.000","S19-1463410379","2019","Bridgeville","Sussex","19933","Own","Mobile Home","0","2","0","0","1","3","Propane","DEC/Peninsula Oil & Propane","2004","924","1","Gary H.","RS Bauer",,"Gary H.","1436","789","647","LIHEAP","N","6814.63",,,,"5941.13",,,,"873.50"
"Catholic Charities","2020-02-13T00:00:00.000","K18-1056974762","2019","Dover","Kent","19904","Own","Mobile Home","0","0","0","0","1","1","Gas","City of Dover/Chesapeake Utilities","1987","1512","2","Steve C.","Coastal HVAC",,"Steve C.","2474","1635","839","RGGI WAP","N","6713.26",,"4366.36",,,,"2346.90",,
"Catholic Charities","2020-02-11T00:00:00.000","K19-80297281","2019","Frederica","Kent","19946","Own","Mobile Home","0","0","1","0","0","1","Oil","Delmarva/Tri Gas","1970","847","1","Steve C.","RS Bauer",,"Steve C.","3024","1468","1556","WAP Utility","N","8640.60",,,"7152.28",,,,"1488.32",
"Catholic Charities","2020-02-24T00:00:00.000","S18-1894057528","2019","Lewes","Sussex","19958","Own","Mobile Home",,,,,,,,,,,,"Gary H.","RS Bauer",,"Gary H.",,,"0","RGGI WAP",,"96.00",,"96.00",,,,,,
"Energy Coordinating Agency","2019-05-23T00:00:00.000","NC-1116074844","2019","Wilmington","New Castle","19801","Own","Single-Family Attached","1","0","0","0","0","1","Gas","Delmarva","1900","1189","2","Krist M.","ECA",,"Veronica I.","3652","3045","607","LIHEAP/WAP Utility","N","4735.50",,,,"1807.50",,,"2228.00","700.00"
"Energy Coordinating Agency","2019-05-28T00:00:00.000","NC-1900426706","2019","Wilmington","New Castle","19802","Own","Single-Family Attached","0","3","0","0","1","4","Gas","Delmarva","1909","1550","2","Jerry S.","ECA",,"Veronica I.","4488","3663","825","LIHEAP/WAP Utility","N","7881.60",,,,"2202.10",,,"5279.50","400.00"
"Energy Coordinating Agency","2019-06-27T00:00:00.000","NC-1020971572","2019","Bear","New Castle","19701","Own","Mobile Home","0","0","0","0","1","1","Electric","Delmarva","2000","3113","1","Peter P.","Efficient Home",,"Veronica I.","3113","2061","1052","LIHEAP/WAP Utility","N","13313.70",,,"5383.70","7200.00",,,"730.00",
"Energy Coordinating Agency","2019-05-23T00:00:00.000","NC-1204950091","2019","Wilmington","New Castle","19806","Own","Single-Family Attached","0","3","0","0","1","4","Gas","Delmarva","1930","1320","2","Peter P.","ECA",,"Veronica I.","5530","3031","2499","LIHEAP","N","2599.60",,,,"2508.60",,,,"91.00"
"Energy Coordinating Agency","2019-07-08T00:00:00.000","NC-248860435","2019","Wilmington","New Castle","19808","Rent","Mobile Home","1","0","0","0","0","1","Oil","Delmarva/Petro Oil","1984","700","1","George B.","Efficient Home",,"Veronica I.","2948","1240","1708","LIHEAP","N","6294.30",,,,"5202.30",,,,"1092.00"
"Energy Coordinating Agency","2019-07-03T00:00:00.000","NC-89051051","2019","Wilmington","New Castle","19808","Rent","Mobile Home","1","0","0","0","0","1","Oil","Delmarva/AmeriGas","1979","714","1","George B.","Efficient Home",,"Veronica I.","2023","1100","923","LIHEAP","N","5609.60",,,,"4817.60",,,,"792.00"
"Catholic Charities","2016-03-01T00:00:00.000","N14-82031007","2015","Newark","New Castle","19711","Own","Single-Family Detached","0","0","0","0","1","1","Oil","Delmarva/Discount Oil","1953","1125","1","Ed W.","Efficient Home","Wysocki","Ed W.","3166","2141","1025","WAP BASE","N","6967.87","5112.37",,,,"1855.50",,,
"Energy Coordinating Agency","2019-08-01T00:00:00.000","NC-179748460","2019","Wilmington","New Castle","19805","Own","Single-Family Attached","2","0","0","0","0","2","Gas","Delmarva","1920","1825","3","Krist M.","ECA",,"Lorraine V.","4319","2718","1601","LIHEAP","N","2756.80",,,,"2474.80",,,,"282.00"
"Energy Coordinating Agency","2019-07-22T00:00:00.000","NC-666708364","2019","New Castle","New Castle","19720","Own","Single-Family Attached","1","0","0","0","0","1","Electric","Delmarva","1990","2040","2","Krist M.","ECA",,"Lorraine V.","2656","1882","774","LIHEAP","N","2741.70",,,,"2113.20",,,,"628.50"
"Energy Coordinating Agency","2019-07-24T00:00:00.000","NC-66890534","2019","Wilmington","New Castle","19808","Own","Mobile Home","1","0","0","0","0","1","Electric","Delmarva","1968","1166","1","George B.","Efficient Home",,"Lorraine V.","4415","2234","2181","LIHEAP","N","7402.00",,,,"6634.00",,,,"768.00"
"Catholic Charities","2016-03-09T00:00:00.000","K15-2149528121","2015","Dover","Kent","19904","Own","Single-Family Detached","1","0","0","0","0","1","Gas",,"1915","1650","2","Steve C./Gary H.","RS Bauer","RS Bauer","Steve C./Gary H.","4611","3828","783","RGGI WAP","N","6772.01",,"5744.01",,,,"1028.00",,
