"fiscal_year","library","service_type","computers_and_ebooks_000","philosophy_and_psychology_100","world_religions_200","social_sciences_300","language_400","science_500","applied_science_600","arts_700","literature_800","history_and_geography_900"
"2016","SEAFORD","Programs","42","0","0","30","73","32","298","213","156","4"
"2016","SEAFORD","Reference","42","0","0","1","0","0","1735","1","0","0"
"2016","SELBYVILLE","Circulation","187","360","336","476","166","428","1075","556","22555","1126"
"2016","SELBYVILLE","Programs","8","4","0","19","85","2","8","212","42","25"
"2016","SELBYVILLE","Reference","90","78","63","158","63","122","236","2325","5256","443"
"2016","SMYRNA","Circulation","138","428","795","1435","151","1509","2621","2007","49861","2552"
"2016","SMYRNA","Programs","0","0","0","0","0","0","126","35","85","0"
"2016","SMYRNA","Reference","1647","1","7","10","2","8","20","5","3","246"
"2016","SOUTH COASTAL","Circulation","866","968","769","3184","414","2298","5278","3766","104649","8804"
"2016","SOUTH COASTAL","Programs","86","0","0","5","32","6","16","83","183","17"
"2016","SOUTH COASTAL","Reference","1811","15","11","60","25","62","128","73","917","238"
"2016","WILMINGTON","Circulation","1402","966","1224","3130","550","1865","3592","2921","87929","3932"
"2016","WILMINGTON","Programs","44","46","0","77","35","6","633","39","10","23"
"2016","WILMINGTON","Reference","20424","202","547","2023","297","332","4922","1942","6041","1797"
"2016","WILMINGTON NORTH","Circulation","256","242","323","750","80","305","877","639","24607","743"
"2016","WILMINGTON NORTH","Programs","0","0","0","2","0","3","23","35","20","0"
"2016","WILMINGTON NORTH","Reference","4378","194","193","266","97","130","225","1549","1599","186"
"2016","WOODLAWN","Circulation","781","1679","1400","3661","932","2228","6387","3035","98428","6045"
"2016","WOODLAWN","Programs","35","2","0","65","0","2","7","170","66","4"
"2016","WOODLAWN","Reference","6321","561","120","451","84","142","475","396","2910","445"
"2015","APPOQUINIMINK","Circulation","1118","1574","1102","4707","690","6255","9036","4413","83921","6074"
"2015","APPOQUINIMINK","Programs","15","2","0","5","42","10","68","36","9","4"
"2015","APPOQUINIMINK","Reference","6501","149","54","325","82","229","427","359","8727","222"
"2015","BEAR","Circulation","3844","6245","5562","17469","4464","17689","28187","14264","227485","20652"
"2015","BEAR","Programs","2","0","0","0","0","0","0","0","0","0"
"2015","BEAR","Reference","35659","1333","962","2341","1040","1184","2632","1670","19146","3041"
"2015","BRANDYWINE HUNDRED","Circulation","4751","8664","6040","22672","3237","20252","37310","19599","284502","34580"
"2015","BRANDYWINE HUNDRED","Programs","25","0","0","52","64","0","14","264","289","16"
"2015","BRANDYWINE HUNDRED","Reference","12710","208","157","1255","226","613","1143","787","15826","1803"
"2015","BRIDGEVILLE","Circulation","121","359","305","973","122","711","1878","940","23012","1793"
"2015","BRIDGEVILLE","Programs","16","0","0","0","0","0","0","0","1","0"
"2015","BRIDGEVILLE","Reference","576","9","2","4","3","7","6","20","42","8"
"2015","CLAYMONT","Circulation","1021","1492","1306","3602","639","2915","6820","3224","53678","4967"
"2015","CLAYMONT","Programs","1","12","0","100","11","0","6","77","44","4"
"2015","CLAYMONT","Reference","5584","77","91","572","93","160","739","381","7298","641"
"2015","CORBIT-CALLOWAY","Circulation","252","470","519","1574","119","1708","3069","1573","28461","1862"
"2015","CORBIT-CALLOWAY","Programs","4","0","0","0","0","4","24","7","8","1"
"2015","CORBIT-CALLOWAY","Reference","377","134","85","500","563","444","448","372","1657","175"
"2015","DELAWARE CITY","Circulation","278","337","294","530","52","356","1558","903","10735","845"
"2015","DELAWARE CITY","Programs","1","5","0","0","2","4","17","20","34","5"
"2015","DELAWARE CITY","Reference","0","0","0","0","0","0","0","0","0","0"
"2015","DELMAR","Circulation","97","160","509","687","123","805","1549","933","14315","908"
"2015","DELMAR","Programs","5","0","0","23","1","10","9","18","22","1"
"2015","DELMAR","Reference","620","4","6","132","7","24","87","26","78","20"
"2015","DOVER","Circulation","1900","3220","4070","9441","2282","6998","15773","9738","139973","13306"
"2015","DOVER","Programs","0","0","0","0","0","0","0","0","0","0"
"2015","DOVER","Reference","11292","173","206","1007","157","364","762","431","4411","965"
"2015","ELSMERE","Circulation","592","1266","1024","2581","500","1814","5450","2911","34576","2687"
"2015","ELSMERE","Programs","0","0","0","7","19","4","4","72","45","5"
"2015","ELSMERE","Reference","2868","121","51","577","92","133","341","290","4434","365"
"2015","FRANKFORD","Circulation","89","134","115","551","71","366","809","617","9447","808"
"2015","FRANKFORD","Programs","19","17","1","19","103","6","57","131","102","4"
"2015","FRANKFORD","Reference","0","0","0","0","0","0","0","0","0","0"
"2015","GARFIELD PARK","Circulation","0","0","0","0","0","0","0","0","0","0"
"2015","GARFIELD PARK","Programs","22","0","0","1","1","1","0","25","24","3"
"2015","GARFIELD PARK","Reference","0","0","0","0","0","0","0","0","0","0"
"2015","GEORGETOWN","Circulation","198","389","461","1038","200","864","1992","1364","22508","1744"
"2015","GEORGETOWN","Programs","0","0","0","0","0","0","0","0","0","0"
"2015","GEORGETOWN","Reference","105","11","11","12","4","28","60","19","12","30"
"2015","GREENWOOD","Circulation","243","455","1190","1298","132","1470","3608","2443","31488","2685"
"2015","GREENWOOD","Programs","0","0","0","17","31","4","20","69","68","11"
"2015","GREENWOOD","Reference","0","0","0","0","0","0","0","0","0","0"
"2015","HARRINGTON","Circulation","105","233","232","752","82","470","1588","897","15999","886"
"2015","HARRINGTON","Programs","38","0","0","1","13","4","50","23","59","1"
