"month","calendar_year","fiscal_year","withholding","income_tax_estimates_finals","sales_and_use","business_use","room_occupancy","electric_generation","business_entity","corporation_business","pass_through_entity","unrelated_business_income","cable_satellite_and_video","peg_account","electric_power","gas_electric","railroads","estate_gift","insurance_premiums_domestic","insurance_premiums_foreign","health_care_centers","nonadmitted_unauthorized","alcoholic_beverages","cigarette_tax","electronic_cigarette_products","tobacco_products","controlling_interest_transfer","real_estate_conveyance","petroleum_gross_earnings","admissions_dues","admissions_dues_and_tnc_fee","dry_cleaners","occupational_tax","rental_surcharge","solid_waste","tourism_surcharge","controlled_substances","prepaid_wireless_e_9_1_1","paid_preparer_fee","repealed_taxes","nursing_home_user_fee","hospitals","intermediate_care_facility","ambulatory_surgical_centers","gasoline","special_fuel","motor_carrier","licenses","beverage_container_deposits","total_revenue"
"November","2015","FY 2015-16","427963185.38","17443872.98","365521537.56","2863074.25","11801041.09",,"-155390.69","13769095.11",,"327331.82","1651334.29","-456045.00","14774532.00","238122.36","0.00","20489442.19","1434726.00","1587221.89","0.00","156982.77","7710878.90","31768679.47",,"1064733.89","316400.77","13803544.39","30397986.94","2486879.01",,"66162.90","33697.76","5017.57","0.00","474940.88","993.28","123837.35",,"6216.69","11196205.46","12643735.00","962481.00",,"32331950.79","11559423.07","293279.69","217487.53","1808130.35","1038682726.69"
"December","2015","FY 2015-16","593972343.07","328958909.21","337651192.65","2928159.31","8746891.82",,"400813.07","108265554.06",,"428479.90","41663.21","2873.20","0.00","0.00","0.00","19797112.42","8615341.98","22229413.04","1183082.00","0.00","6117534.11","33930539.37",,"1043931.53","3316063.02","12541239.18","2346602.54","2630251.47",,"18880.94","2748808.69","179.68","4582.47","389702.85","1166.63","123477.39",,"121665.94","2829963.76","398421.34","366266.00",,"30474236.38","10312903.24","2191009.08","201112.20","5661.10","1545336027.85"
"January","2016","FY 2015-16","538136825.77","489128943.94","357285650.76","9188504.62","6230201.92",,"757529.06","15205132.88",,"85538.52","12050083.00","3228886.00","12455974.00","5431042.80","0.00","16274964.23","593465.00","1680403.42","0.00","221853.18","3204260.00","24912296.97",,"1080840.09","1064100.80","12914053.95","24648865.67","2948345.73",,"103090.89","4112131.48","12538.00","415062.81","437544.26","4628.38","145843.14",,"112280.84","20076687.63","88323333.00","745254.00","1993966.00","31466410.76","10366676.84","1113123.44","160428.21","5962701.46","1704279463.45"
"February","2016","FY 2015-16","491349532.05","41193147.13","341771172.72","8103611.10","7461449.92",,"195311.94","13517232.00",,"103691.72","2614404.00","150273.00","12082553.00","6118668.01","0.00","7627199.98","1698467.00","31956692.96","0.00","1563028.40","5354883.68","24826494.01",,"879152.75","2239504.70","10385489.80","38036466.29","5128669.54",,"64693.27","203745.31","377420.00","369989.47","382564.73","3907.32","118471.64",,"17883.29","14997659.10","46784890.00","993921.00","62898.00","29530155.24","9817104.24","528412.63","135078.05","789196.70","1159535085.69"
"March","2016","FY 2015-16","707342783.54","138169276.80","297707557.87","3616809.02","7863182.50",,"644978.35","199009945.19",,"414480.79","537867.00","-537367.00","0.00","0.00","0.00","8119006.18","12990555.25","44632024.92","37272.00","2637832.50","4974925.57","28006033.21",,"925790.52","5513338.96","11324382.82","33626.13","3480810.13",,"25038.49","104442.35","469.05","404.25","361047.64","1972.50","109809.53",,"233763.27","1740377.76","0.00","342532.00","0.00","27915880.13","9410563.12","2432130.34","155435.15","1685.60","1520280663.43"
"April","2016","FY 2015-16","455145483.75","1372797018.22","262161669.87","8554918.40","7626477.27",,"1018188.79","117948543.09",,"527915.47","13939350.00","3330161.30","24380460.36","8963043.00","20.00","30498317.97","-1371270.18","2693739.98","0.00","65260.79","3907411.88","28012385.41",,"1158571.13","50767.76","13238201.89","20503360.57","3385428.00",,"90290.50","66284.54","11116.14","515907.00","428268.19","2572.40","125290.12",,"3716.73","21387620.44","82581550.40","805434.00","3540318.00","30707551.24","10181228.80","1591828.61","136269.76","6607930.97","2537318602.56"
"May","2016","FY 2015-16","420139398.59","46378193.58","407160045.12","5744133.41","10742608.13",,"204518.46","15361475.30",,"467315.77","1693269.00","-501290.00","11960504.00","10883777.84","0.00","13030042.76","201498.70","3249429.09","0.00","455960.60","5950065.28","32791203.84",,"979496.49","44797.28","15783465.92","25178681.75","4217149.68",,"74305.89","45024.50","-100.00","263787.53","417004.74","1765.23","154858.33",,"23154.04","10980674.83","50773244.40","931357.00","529206.00","30745813.11","10366108.84","408877.94","140437.91","822927.29","1138794188.17"
"June Final","2016","FY 2015-16","1016272763.38","396500598.13","756368261.40","12923506.63","24248938.52",,"357902.43","247138116.64",,"1521647.33","24650533.50","-7522533.50","45675000.00","27912562.00","84705.00","15109683.91","10832828.41","35017908.95","0.00","5493.40","13103164.24","52419529.52",,"1116750.20","34279.18","46931140.05","65300810.25","3431486.16",,"7199.73","50836.83","0.00","0.00","451485.72","1140.98","124508.91",,"70053.71","35016386.05","135705860.72","1671494.00","4251000.00","64862050.98","22650731.04","3964732.68","153674.38","11029692.74","3069445924.20"
"July","2016","FY 2016-17",,,,,,,"259720.13",,,"75132.35",,"1219540.09",,,"19360.00","12545022.62","0.00","1750903.68","0.00","53892.78",,"11996793.00",,"1303740.84","1556420.56",,,"2778595.31",,"130528.83","31185.29","0.00","486364.65","520163.64","3481.22","116120.85",,"9317.31",,,,,,,,"133819.43",,"34990102.58"
"August","2016","FY 2016-17","299099901.08","31039317.17","310367389.47","2912938.14","10787425.06",,"218414.29","14960747.22",,"45678.24","561522.00","-288310.00","1793.44","457.06","0.00","16665843.49","322091.00","3026984.21","0.00","656125.40","4935864.42","36705659.84",,"1091108.59","201821.89","12197902.84","143485.30","4469874.50",,"53912.86","20300.94","0.00","294669.00","506429.95","1088.09","173263.78",,"34400.02","1056806.72","225.00","54.00","4545.54","32778749.48","8756513.07","220390.46","181061.72","50916.09","794257361.37"
"September","2016","FY 2016-17","441404416.27","391417712.16","334406623.58","3794040.34","12571674.15",,"245096.70","142111975.60",,"559645.93","4895.20","0.00","0.00","43982.53","151.00","19420992.97","8011898.83","23964265.63","32765.00","1835.75","4963818.81","31532596.06",,"1278681.63","1471094.35","17906772.52","45596.82","2416982.44",,"12046.00","22857.66","0.00","0.00","528687.29","1474.62","139817.63",,"32929.27","452787.02","0.00","701885.00","0.00","33194120.36","10044613.79","2634372.78","269174.10","54104.62","1485696384.41"
"October","2016","FY 2016-17","414355677.97","109897882.76","355169702.40","7801679.13","11396032.20",,"223288.14","45639444.02",,"571752.99","16218304.90","847822.92","50051513.00","9645035.00","8850.84","8676010.90","312932.32","305973.72","0.00","21024.30","5127749.91","31377151.74",,"1223574.86","2705512.53","16581479.06","54157105.87","2280289.53",,"139231.47","1261086.31","0.00","508388.02","491677.51","20939.43","161391.25",,"21916.75","26564084.42","119039223.16","982174.00","1752069.00","31378747.68","9151492.95","1176823.28","138306.61","7707336.60","1345090679.45"
"November","2016","FY 2016-17","449591201.80","25025221.37","365863397.15","4213471.85","11956349.83",,"213558.16","19334698.99",,"374075.20","1562817.57","83602.43","283062.84","88007.00","6117.45","4846354.08","274789.72","1866102.64","0.00","192744.77","5008741.20","27590075.08",,"1170607.36","1418004.42","16267485.86","6381517.72","2319202.10",,"43860.59","723960.50","0.00","293759.52","461111.74","1470.94","148176.27",,"3685.70","9515010.00","14042673.17","341150.00","218917.00","32543308.51","9283021.47","250217.58","233774.42","1384598.17","1015419902.17"
"December","2016","FY 2016-17","569128213.28","315091627.89","304899433.26","3999332.40","8614299.72",,"109041.06","148734294.57",,"515639.84","0.00","0.00","0.00","999900.03","0.00","9110830.82","5323434.19","24884738.45","780528.00","8458.00","4731476.77","32705432.75",,"1281061.67","551657.00","17106616.19","4597.23","2247920.30",,"12871.08","1901767.26","0.00","0.00","405626.34","10934.96","125890.33",,"47624.04","400240.19","0.00","677011.00","0.00","31738034.22","8897084.95","2007246.91","191938.93","52483.11","1497297286.74"
"January","2017","FY 2016-17","547575903.39","456575806.85","475660765.65","8193822.71","8770536.09",,"699739.11","26470741.98",,"65134.55","16727484.75","1438844.00","28690547.00","12378161.86","91.60","15983913.05","140199.00","836172.02","0.00","494837.31","7673928.98","29904998.06",,"1213227.29","2856255.30","14536091.90","54418955.54","4136400.94",,"120907.77","5766006.65","131794.00","752913.26","454269.72","1693.79","175797.73",,"18633.48","27555349.19","133455460.00","1151784.00","3282673.00","32398948.64","8747587.12","830027.68","183291.61","7585845.64","1938055542.21"
"February","2017","FY 2016-17","487462608.57","40207884.08","303745013.28","6963309.18","7278884.30",,"1318019.90","14668135.00",,"80709.77","516603.00","-513005.00","188879.00","2052108.00","11833.50","13516051.27","1185340.07","14276094.78","0.00","1041143.06","3055766.17","22440391.43",,"1035979.46","1320078.16","10828398.61","18874444.72","4423222.49",,"53274.58","321023.37","172240.40","0.00","387112.34","7515.48","131951.63",,"2451.82","7234537.91","389648.00","463124.00","533176.00","29356579.49","7886021.23","332602.11","121442.19","419048.67","1003789642.02"
"March","2017","FY 2016-17","728253768.63","173953909.39","300320070.39","3319985.87","7947201.40",,"21330724.61","183218004.00",,"760450.07","-3750.00","0.00","0.00","773459.28","0.00","19250768.08","11849786.67","44209116.94","418583.00","3594646.92","5304545.11","30342672.10",,"1076774.86","1052912.46","10774708.36","686878.42","3490015.97",,"11237.38","300521.09","2623.00","0.00","342101.23","1462.66","134639.26",,"23053.51","893785.73","389648.00","299839.00","49241.00","27131606.21","7244488.38","2403322.32","162296.79","2212.37","1591317310.46"
"April","2017","FY 2016-17","426851569.69","1168909081.40","255224890.24","2911098.04","7753677.02",,"16521463.27","83657406.20",,"355106.63","14690675.00","1333790.05","22935530.74","21761163.00","25.00","39798608.59","-854001.00","2411175.39","220.42","91517.29","3249886.24","25342233.30",,"1193009.36","4065269.05","14717134.22","24222735.28","2945742.16",,"62760.36","306740.49","0.00","456898.00","436339.00","934.95","152097.03",,"49188.48","16914433.46","101666399.56","832356.00","3758392.17","30900824.30","8575535.21","747542.79","143690.29","6487663.94","2311580802.61"
"May","2017","FY 2016-17","460141985.68","77098531.27","421614217.38","6476787.70","11078546.76",,"2563641.90","38521193.82",,"229878.85","2831340.00","-404852.00","12332792.00","2226286.56","0.00","11681223.39","-386311.91","3834462.56","348653.32","391155.79","5972606.13","32293000.04",,"1196136.27","188622.00","14641480.76","13365969.54","4693667.55",,"77952.63","260628.46","0.00","252734.00","399690.46","1832.59","148368.24",,"14441.56","15928911.12","29547490.00","780658.00","809092.30","30981867.92","8332869.12","355504.57","143455.15","1128097.18","1212094608.66"
"June Final","2017","FY 2016-17","1000778212.35","374747051.42","766640997.78","12877846.22","24631225.18",,"1123355.57","271242359.90",,"567253.48","17327338.20","33.00","32016829.00","12762508.45","0.00","47164511.36","8913826.82","36152340.39","496819.00","337167.82","13130837.30","54670237.85",,"1494301.03","992490.68","46058058.72","66052926.31","3306642.65",,"9481.30","160755.10","17144.00","0.00","448222.94","312.72","138268.28",,"16493.21","34833431.53","115253264.72","1615655.00","4401981.29","65772129.32","19385168.17","3065029.97","148878.51","10728566.26","3049479952.80"
"July","2017","FY 2017-18",,,,,,,"697187.39",,,"13600.35",,"1439578.10",,,"455771.40","11694702.80","9154.78","142075.31","0.00","114946.91",,"9418209.86",,"1379552.92","108331.27",,,"4210441.08",,"124123.28","112341.60","0.00","827981.00","516673.00","749.16","176231.62",,"59335.94",,,,,,,,"109303.51",,"31610291.28"
"August","2017","FY 2017-18","381726836.24","32935487.26","311599308.93","1814362.82","11404983.49",,"801566.12","18277307.62",,"184486.24","-250.00","3265.00","307.46","448110.38","65.20","19005410.29","1590433.74","2454504.42","0.00","416926.76","5086901.29","32852790.19",,"1185774.37","122915.67","14905588.19","7187.20","2990995.45",,"42749.98","106547.90","0.00","0.00","466735.69","597.06","166569.93",,"3399.18","765286.09","8255815.62","301556.00","45639.00","32709177.19","8975702.90","20531.82","202465.04","-91803.47","891786234.26"
"September","2017","FY 2017-18","414481466.52","370186821.83","261129851.79","1896630.53","10065146.88",,"1349850.75","108471352.82",,"405460.22","0.00","0.00","0.00","0.00","30.60","25216249.72","12225421.00","24414089.33","562597.00","59431.22","2998576.05","28896084.15",,"1532978.29","434201.66","16712480.80","1667198.17","1731321.91",,"4050.04","62199.09","3000.00","0.00","487531.09","566.31","187069.24",,"108850.66","845058.40","761976.00","311689.00","0.00","33378618.93","9995228.98","1787932.60","267125.81","180726.52","1332818863.91"
"October","2017","FY 2017-18","436660615.37","103501587.55","447009400.05","8505235.15","13990877.49",,"760976.24","32675661.71",,"142993.00","18824839.23","562831.61","52030665.00","8724195.30","0.00","49052379.52","-2503.94","586209.26","0.00","96039.06","6953394.02","32837917.65",,"1327099.54","276188.36","15590684.77","69738025.14","3391275.32",,"103676.84","72317.20","0.00","743315.82","475519.42","1918.55","211254.08",,"219580.09","27303633.71","118862978.00","1285233.00","2092089.80","31039148.83","9051056.60","1066464.70","171790.07","9090263.57","1505026826.68"
"November","2017","FY 2017-18","487721488.40","44320465.69","347840287.03","2840804.57","12156520.74",,"185820.32","23810909.63",,"1666278.31","-55587.00","0.00","0.00","255846.62","0.00","10601301.04","341166.00","3032107.33","0.00","829813.60","6246801.22","25759073.29",,"1400370.28","144676.00","15192718.12","2855088.41","2066045.27",,"53057.52","49133.45","2000.00","156.00","455250.40","1674.53","229830.53",,"7725.79","7566037.83","18204031.99","309300.00","123145.00","32807595.19","9129085.48","252103.28","262659.28","24562.52","1058689343.66"
"December","2017","FY 2017-18","557356415.28","664486135.14","286964324.13","1093532.69","9336452.91",,"2870029.72","114626648.07",,"797195.25","5944.13","58784.52","1208092.40","1236.06","0.00","20434673.00","7684070.00","24553388.75","812596.00","0.00","3092906.64","33402329.61",,"1401367.97","2040174.00","14194077.59","1957824.90","2504472.94",,"10826.77","593722.77","0.00","156.00","411637.80","1516.81","163993.00",,"11152.04","1528383.04","46535678.00","299087.00","62161.00","31733888.09","9640389.67","1775468.39","194085.78","141395.06","1843986212.92"
"January","2018","FY 2017-18","613382074.10","1301476620.03","521130007.52","11995433.40","9240866.94",,"1155699.56","23386380.78",,"180358.04","15320669.18","864498.17","15729178.00","13402596.91","0.00","14742081.60","-1437621.00","2445750.02","0.00","161737.05","8138644.32","28991389.65",,"1752134.19","234860.42","15928784.79","72297728.50","4350992.49",,"98223.65","5971770.04","2446.35","421635.69","436999.44","1634.15","269233.77",,"24527.23","25706837.15","2886487.64","992542.00","3500474.65","32425875.64","8922666.81","1079509.38","180001.80","7264972.23","2765056702.28"
"February","2018","FY 2017-18","529025201.24","53946672.04","344927936.66","4795563.80","7816730.77",,"1268190.13","23020507.10",,"30589.69","2114655.00","112113.68","0.00","1009674.00","0.00","10776295.38","4587684.40","13009931.00","104592.00","1131367.76","3884470.16","23684285.49",,"1705825.06","266662.55","10476772.27","1614582.14","4151216.21",,"50604.99","275478.18","248876.24","325415.00","406994.87","49445.20","185440.87",,"8346.12","8219276.44","0.00","602178.00","1225709.00","29895259.29","8846063.52","340847.61","155426.80","89131.29","1094386011.95"
"March","2018","FY 2017-18","729759474.84","168679896.01","248713421.89","4210263.02","7517290.12",,"1862049.83","147434963.25",,"958062.77","0.00","0.00","0.00","61992.00","0.00","12578329.04","12443820.00","41846082.71","525543.00","4363976.96","3078413.26","29580495.22",,"1742849.11","41790.00","12406858.62","33928.62","3571288.54",,"3971.39","128674.74","12807.22","0.00","369719.38","10006.49","175256.66",,"7809.84","1525218.88","0.00","272632.00","0.00","27404855.88","7555082.35","1875011.65","171044.18","5673.52","1470928552.99"
"April","2018","FY 2017-18","462261846.26","1244010950.58","401118736.56","6848716.92","10467052.81",,"1267926.37","94758834.56",,"241304.94","6863335.50","621722.30","31218930.00","24004003.08","0.00","20820302.50","326937.23","305121.52","24563.44","60018.07","6776882.13","27087924.95",,"1754153.66","192047.10","14289522.54","76545372.73","4465421.32",,"65562.33","824513.11","0.00","141047.00","427383.00","2564.63","275254.71",,"128.03","23403852.81","321412837.35","955714.00","4501090.00","30988673.97","8621350.59","1027301.36","161668.38","7612545.07","2836753113.41"
"May","2018","FY 2017-18","520758666.02","51848142.30","348890240.88","2365131.33","10875748.71",,"366510.30","47477079.91",,"348235.70","5477982.00","289572.00","0.00","52805.71","0.00","15801157.82","99610.46","1807598.83","0.00","564640.61","4933718.56","31511966.53",,"1852590.60","2107624.39","16190373.33","4159136.44","3918527.05",,"65844.09","1041172.78","0.00","553372.00","414010.83","-178.57","166048.83",,"2040.55","10753749.26","25959974.00","574163.00","746145.95","30102952.03","8818483.75","1056104.57","174115.28","348918.30","1152473976.13"
"June Final","2018","FY 2017-18","1015677984.61","585625777.13","823368282.07","10156785.58","26825387.69",,"1889672.56","265788454.71",,"1455267.42","12117000.00","0.00","31770000.00","15720751.21","468588.00","13064974.26","8505036.96","37412970.70","810542.00","3213.17","12020378.02","53082875.47",,"2387323.93","1171721.06","49488595.14","90014477.09","2999510.06",,"10801.83","1225476.42","189.00","0.00","442381.59","602.27","169262.19",,"6931.10","24562194.22","341006000.00","1533738.00","5188000.00","65782250.78","19503677.92","3002153.60","182575.07","11853158.77","3536294961.60"
"July","2018","FY 2018-19",,,,,,,"858322.55",,,"26334.94",,"708310.15",,,"100.20","13675268.46","266085.00","-70581.20","0.00","137826.14",,"10765232.37",,"1995360.02","231324.55",,,"5026876.75",,"104309.60","636887.23","155.00","439630.00","515636.58","30442.09","249031.45",,"3674.12",,,,,,,,"121245.32",,"35721471.32"
"August","2018","FY 2018-19","431172694.87","38347919.15","331425941.68","781539.97","11655896.09",,"1078452.31","30268269.99",,"67097.15","660.97","182588.00","140.00","910.15","0.00","18940873.66","-3354220.00","6850569.25","0.00","506636.58","5545599.65","32756159.97",,"1972996.90","635453.00","17264003.12","122484.11","3805384.17",,"47870.03","287984.21","-155.00","270207.00","498013.48","2633.06","185091.10",,"27737.72","8811771.57","9223574.85","278167.00","819.00","32618714.08","10098090.98","3381.70","190753.35","21006.46","992593711.33"
"September","2018","FY 2018-19","429602739.46","424903812.24","262545947.01","766525.63","10887515.67",,"4556210.12","141800437.30","154485624.33","280447.27","0.00","0.00","0.00","0.00","0.00","24393830.36","5347305.00","23879325.43","423425.00","0.00","3234104.03","26629749.03",,"1960702.01","358420.10","16854601.02","191324.90",,"1802885.13","5484.83","247363.63","0.00","0.00","502358.00","549.69","164342.55",,"27275.11","53190.14","6532805.00","288482.00","0.00","33163032.57","10588316.99","2041214.66","277820.94","8541.91","1588805709.06"
"October","2018","FY 2018-19","503298061.73","123606933.77","477271685.18","5501116.18","14484030.27",,"1247312.84","25929398.31","7446997.46","324793.63","11849415.88","876692.80","45831022.66","7896823.25","0.00","14734959.08","-18507.91","767911.71","25487.00","217539.44","6627018.27","33682873.33",,"1831560.26","4503226.36","15898741.92","68120452.63",,"4220605.86","115492.30","226682.87","626.00","446168.00","477827.00","680.04","286950.06","32300.00","9359.38","27598874.46","228657490.34","1098171.00","2231776.44","34734666.55","9137506.50","1110123.46","221563.44","7629254.91","1690191664.66"
"November","2018","FY 2018-19","505967110.91","40950781.03","379188257.43","1765490.51","12424472.37",,"973827.56","30860676.32","6368138.35","344793.70","125211.00","6643.00","122839.00","170029.78","32216.00","12822111.60","-440844.16","2557203.45","0.00","90207.12","6390445.19","24943906.69",,"2008855.02","212823.48","14253545.54","20246399.08",,"2585495.93","40445.09","89980.77","0.00","302106.79","487903.69","4285.03","171602.85","41000.00","1299.33","8173407.22","-9778903.00","402693.00","219007.00","32789407.54","10895966.62","118081.51","307932.28","1169226.25","1110406077.87"
"December","2018","FY 2018-19","612349151.54","110400297.62","384198119.94","1944977.24","10973461.92",,"3567948.76","139297550.11","133281513.80","1384538.72","0.00","0.00","5000000.00","395716.66","0.00","32667922.04","6669183.00","23348238.38","723425.00","0.00","6004004.87","32653033.45",,"1745784.68","1722751.79","17432456.13","126997.89",,"3422599.86","9343.53","635248.66","0.00","0.00","412857.72","10535.00","164754.05","45200.00","70745.74","1434474.73","5576222.00","272909.00","0.00","31470724.05","9910151.80","1712011.56","208833.26","6162.05","1581249846.55"
"January","2019","FY 2018-19","655782175.29","476316324.91","467244845.98","12882821.73","7988444.73",,"2736404.85","31992556.45","140624259.52","195986.63","11426401.00","1256217.00","26025158.00","15144489.03","0.00","8678234.37","19949.75","55628.53","0.00","102143.00","5424773.14","26381595.46",,"1607989.78","2517217.66","14694320.27","63732996.66",,"4955290.35","106598.52","6134577.06","10724.43","307790.00","438659.90","2951.29","237868.39","36800.00","2344.74","26040429.49","165344668.89","1078599.00","5079082.00","32072638.25","9236388.50","1039553.10","222751.58","7260538.82","2232439188.05"
"February","2019","FY 2018-19","611978555.83","41019772.97","329277715.64","1547446.61","7906641.61",,"1844786.58","14894592.01","13536733.88","423369.86","387880.00","-384469.00","0.00","1482153.00","0.00","7572659.41","2547438.36","11427574.65","329426.00","1127761.17","4061472.46","20786625.95",,"1830361.13","59672.93","10267618.38","6441750.30",,"4586305.11","36760.20","260162.53","202157.38","357901.00","381293.50","3853.93","170567.00","8000.00","53260.15","6152139.63","46564367.00","361412.00","299379.00","30313713.35","9334220.49","211222.31","179719.83","1477938.02","1191321912.16"
"March","2019","FY 2018-19","724089268.51","66499404.78","236433253.14","2618202.95","7557377.13",,"17105538.04","167950128.15","336695835.73","850124.73","225629.58","324.83","0.00","0.00","0.00","19126664.26","5336427.02","33968339.53","752119.00","4680115.24","3031708.94","23455485.37",,"1607760.28","1534330.44","10580240.73","5013737.86",,"3188736.12","6878.90","122844.64","46.99","0.00","352035.00","733.28","148721.00","2700.00","305.00","2694210.97","64938.29","249367.00","0.00","28390079.36","7458630.31","1968518.62","209667.00","66788.48","1714037217.20"
"April","2019","FY 2018-19","516594820.94","1245734007.77","450272886.83","6571411.64","10392135.09",,"22233902.10","118649093.09","184457237.39","248474.91","5822906.14","974801.86","39782393.00","26343704.92","0.00","32255010.34","45997.32","530921.83","0.00","24296.95","6772695.56","29820387.42",,"1857047.00","234480.87","12458438.70","54404983.72",,"6043467.34","63006.43","88458.05","0.00","163963.00","446742.15","1197.26","257569.73","1100.00","207.00","26119410.80","216873151.60","1238879.79","5039017.00","31391233.04","9288187.90","664662.56","208832.54","7485341.33","3071856462.91"
"May","2019","FY 2018-19","544110555.96","57962247.42","386027323.47","2720611.90","10969559.40",,"4139534.73","48466355.96","27664268.95","532159.44","2331530.40","-287787.40","526884.00","1324021.00","0.00","22659796.07","873319.74","2912334.25","65.95","495192.45","5201563.61","27368906.39",,"1779321.45","361417.44","16854830.42","9978261.74",,"4080090.24","61923.05","77128.72","50.00","421637.00","419421.00","811.00","180976.09","200.00","3895.60","8185516.73","11353050.00","288663.00","264569.00","30641917.96","9593074.30","402259.82","177815.09","58093.48","1241183366.82"
"June Final","2019","FY 2018-19","1130827629.95","348647064.46","835530879.39","10601837.75","26040297.79",,"7531221.22","237254547.46","167493444.10","1019190.76","14125897.49","0.00","39461093.00","13907792.97","80.00","17785349.41","6544028.00","32079025.56","561872.00","0.00","11852432.40","45678606.81",,"2118818.08","59380.66","54233585.43","90138795.63",,"2972690.07","7405.61","61069.22","0.00","0.00","438147.32","575.00","147027.78","700.00","8627.04","31585080.47","228908284.83","1199169.59","5726684.00","65443009.22","19290482.95","2576694.20","173227.96","10916702.63","3462948448.21"
"July","2019","FY 2019-20",,,,,,,"934668.15",,,"114026.59",,"1404635.06",,,"654881.20","25257706.75","449198.21","220684.41","73672.00","31019.70",,"11130007.01",,"1837599.18","311673.50",,,,"4895660.45","103068.18","28621.34","0.00","733590.00","508928.86","525.21","256038.51","200.00","9823.22",,,,,,,,"160940.18",,"49117167.71"
"August","2019","FY 2019-20","383867654.73","27513459.90","286373525.57","1319598.36","10587186.90",,"-7402220.74","16979470.23","26827104.79","287348.72","347581.00","3489.00","0.00","0.00","0.00","8347210.55","20715.00","3081617.29","0.00","461947.49","2318223.01","30344380.05",,"2180838.29","252633.01","18379276.89","900157.37",,"3656730.98","39798.84","58613.30","0.00","74838.00","528589.57","957.57","160985.25","200.00","437.65","1678379.96","119078.11","629335.00","0.00","32513809.35","11514222.06","424959.39","341435.13","111651.40","864845218.97"
"September","2019","FY 2019-20","466771841.61","330930093.69","425082055.08","1244086.00","13967639.45",,"161623.96","142105675.50","242788543.29","1020230.21","-347581.00","0.00","0.00","0.00","0.00","7644088.92","5153745.41","21311922.08","118944.45","76135.70","8707004.86","25361265.30",,"1854923.94","573873.02","18136265.10","82993.74",,"2655602.41","4553.97","77966.58","13000.00","0.00","514613.57","535.00","185742.15","1000.00","1871.35","2723608.32","18940522.84","2813.98","0.00","32454933.98","11828426.50","2343827.68","497004.27","51185.87","1785042578.78"
"October","2019","FY 2019-20","544357520.03","107271682.07","427030448.28","4654344.98","13002008.92",,"3798924.35","19472221.76","28855226.85","193616.99","10719190.00","1105369.65","34617377.00","4426863.83","0.00","18080934.72","-165000.00","-352471.49","0.00","82881.11","5293047.63","30943183.07",,"1772813.16","34327.00","16961366.66","70678075.78",,"4884359.43","96012.87","1329253.00","0.00","734881.00","501720.08","625.00","224657.59","5400.00","667.65","25145894.02","217054258.82","1425159.00","2103903.00","31012377.74","10213585.40","897118.78","288693.68","8271138.83","1647023658.24"
"November","2019","FY 2019-20","499152780.26","34657418.00","301990418.20","3724259.06","12671267.17",,"-4088860.79","23982930.31","24226107.67","566285.86","71290.00","97604.53","15302376.79","7585207.22","0.00","33471600.90","452646.56","3525677.73","0.00","403796.68","2680643.60","25398926.60","215475.17","1984312.82","1374029.18","19135039.20","4797161.13",,"1895373.90","46719.52","276135.76","0.00","0.00","470409.84","535.00","136899.71","3900.00","52541.10","5472514.30","0.00","286049.00","76835.00","32960332.90","11122925.31","199622.94","243100.24","1052106.47","1067674394.84"
"December","2019","FY 2019-20","622744184.65","71330904.73","496666695.10","662790.28","11361616.77",,"216277.14","151213220.25","147520997.54","813973.83","-1540.00","0.00","0.00","0.00","0.00","16224324.62","10141047.60","20867227.14","457881.00","1205.00","10924774.35","27350463.39","541584.55","1570273.77","1953676.94","16401454.38","138363.99",,"3634925.69","8240.27","1501120.87","0.00","0.00","411527.22","450.00","212766.69","11400.00","40777.52","3585665.88","0.00","248798.00","0.00","31796814.08","10403196.08","2719139.95","223322.00","724981.85","1664624523.12"
"January","2020","FY 2019-20","724281788.40","415285012.94","490733210.14","9794587.60","8316695.06",,"-3918294.96","26297237.80","149497570.02","187268.19","10183465.00","1172346.22","32346223.00","16162272.27","0.00","19429416.94","-32201.00","4565613.50","0.00","50309.53","6253243.19","24856604.83","428570.78","1638741.89","506122.24","16781456.02","57666866.04",,"5456969.47","104567.93","5314700.81","939.53","531177.00","473958.02","3766.92","240609.15","14900.00","18763.66","25259089.86","216744620.00","1169145.00","4561262.00","31159821.10","9785400.78","680565.51","253759.31","7865574.36","2322123716.05"
"February","2020","FY 2019-20","579410629.63","41170919.79","272268263.22","3700412.95","7665482.39",,"-605015.41","17072421.48","15759798.64","87270.35","0.00","3521.83","348934.00","440759.00","0.00","13084588.07","2914227.00","23816431.31","1212221.00","1175907.85","2451388.93","23110023.57","233085.11","1660713.68","385108.40","11043318.68","23101283.08",,"3998727.52","49210.51","242282.48","360021.62","192478.00","386840.00","6147.34","183845.79","66200.00","46551.70","5370411.37","0.00","280220.00","76230.00","29900359.69","9485802.45","118605.65","191470.26","1422424.30","1093889523.23"
