"township","age_group","age","count"
"Plainfield","1","Under 1 year old","98"
"Plainfield","2","Ages 1-4","519"
"Plainfield","3","Ages 5-17","1502"
"Plainfield","4","Ages 18-64","3423"
"Plainfield","5","Ages 65 and older","882"
"Plainville","1","Under 1 year old","74"
"Plainville","2","Ages 1-4","291"
"Plainville","3","Ages 5-17","1010"
"Plainville","4","Ages 18-64","2873"
"Plainville","5","Ages 65 and older","1077"
"Plymouth","1","Under 1 year old","55"
"Plymouth","2","Ages 1-4","216"
"Plymouth","3","Ages 5-17","766"
"Plymouth","4","Ages 18-64","2039"
"Plymouth","5","Ages 65 and older","595"
"Pomfret","1","Under 1 year old","7"
"Pomfret","2","Ages 1-4","46"
"Pomfret","3","Ages 5-17","167"
"Pomfret","4","Ages 18-64","419"
"Pomfret","5","Ages 65 and older","132"
"Portland","1","Under 1 year old","30"
"Portland","2","Ages 1-4","109"
"Portland","3","Ages 5-17","415"
"Portland","4","Ages 18-64","1296"
"Portland","5","Ages 65 and older","331"
"Preston","1","Under 1 year old","17"
"Preston","2","Ages 1-4","52"
"Preston","3","Ages 5-17","233"
"Preston","4","Ages 18-64","597"
"Preston","5","Ages 65 and older","157"
"Prospect","1","Under 1 year old","14"
"Prospect","2","Ages 1-4","81"
"Prospect","3","Ages 5-17","312"
"Prospect","4","Ages 18-64","874"
"Prospect","5","Ages 65 and older","370"
"Putnam","1","Under 1 year old","85"
"Putnam","2","Ages 1-4","344"
"Putnam","3","Ages 5-17","925"
"Putnam","4","Ages 18-64","2390"
"Putnam","5","Ages 65 and older","756"
"Redding","1","Under 1 year old","10"
"Redding","2","Ages 1-4","32"
"Redding","3","Ages 5-17","174"
"Redding","4","Ages 18-64","566"
"Redding","5","Ages 65 and older","85"
"Ridgefield","1","Under 1 year old","12"
"Ridgefield","2","Ages 1-4","77"
"Ridgefield","3","Ages 5-17","464"
"Ridgefield","4","Ages 18-64","1254"
"Ridgefield","5","Ages 65 and older","467"
"Rocky Hill","1","Under 1 year old","46"
"Rocky Hill","2","Ages 1-4","203"
"Rocky Hill","3","Ages 5-17","696"
"Rocky Hill","4","Ages 18-64","1966"
"Rocky Hill","5","Ages 65 and older","1030"
"Roxbury","1","Under 1 year old","0"
"Roxbury","2","Ages 1-4","16"
"Roxbury","3","Ages 5-17","60"
"Roxbury","4","Ages 18-64","182"
"Roxbury","5","Ages 65 and older","59"
"Salem","1","Under 1 year old","16"
"Salem","2","Ages 1-4","51"
"Salem","3","Ages 5-17","172"
"Salem","4","Ages 18-64","445"
"Salem","5","Ages 65 and older","93"
"Salisbury","1","Under 1 year old","5"
"Salisbury","2","Ages 1-4","37"
"Salisbury","3","Ages 5-17","136"
"Salisbury","4","Ages 18-64","355"
"Salisbury","5","Ages 65 and older","191"
"Scotland","1","Under 1 year old","0"
"Scotland","2","Ages 1-4","12"
"Scotland","3","Ages 5-17","36"
"Scotland","4","Ages 18-64","108"
"Scotland","5","Ages 65 and older","25"
"Seymour","1","Under 1 year old","77"
"Seymour","2","Ages 1-4","302"
"Seymour","3","Ages 5-17","969"
"Seymour","4","Ages 18-64","2523"
"Seymour","5","Ages 65 and older","856"
"Sharon","1","Under 1 year old","8"
"Sharon","2","Ages 1-4","30"
"Sharon","3","Ages 5-17","85"
"Sharon","4","Ages 18-64","395"
"Sharon","5","Ages 65 and older","128"
"Shelton","1","Under 1 year old","117"
"Shelton","2","Ages 1-4","527"
"Shelton","3","Ages 5-17","1804"
"Shelton","4","Ages 18-64","4764"
"Shelton","5","Ages 65 and older","1817"
"Sherman","1","Under 1 year old","6"
"Sherman","2","Ages 1-4","23"
"Sherman","3","Ages 5-17","114"
"Sherman","4","Ages 18-64","285"
"Sherman","5","Ages 65 and older","76"
"Simsbury","1","Under 1 year old","32"
"Simsbury","2","Ages 1-4","169"
"Simsbury","3","Ages 5-17","612"
"Simsbury","4","Ages 18-64","1645"
"Simsbury","5","Ages 65 and older","518"
"Somers","1","Under 1 year old","17"
"Somers","2","Ages 1-4","82"
"Somers","3","Ages 5-17","296"
"Somers","4","Ages 18-64","804"
"Somers","5","Ages 65 and older","340"
"South Windsor","1","Under 1 year old","58"
"South Windsor","2","Ages 1-4","246"
"South Windsor","3","Ages 5-17","835"
"South Windsor","4","Ages 18-64","2263"
"South Windsor","5","Ages 65 and older","964"
"Southbury","1","Under 1 year old","35"
"Southbury","2","Ages 1-4","108"
"Southbury","3","Ages 5-17","418"
"Southbury","4","Ages 18-64","1455"
"Southbury","5","Ages 65 and older","1154"
"Southington","1","Under 1 year old","113"
"Southington","2","Ages 1-4","479"
"Southington","3","Ages 5-17","1770"
"Southington","4","Ages 18-64","4364"
"Southington","5","Ages 65 and older","2159"
"Sprague","1","Under 1 year old","25"
"Sprague","2","Ages 1-4","83"
"Sprague","3","Ages 5-17","310"
"Sprague","4","Ages 18-64","665"
"Sprague","5","Ages 65 and older","123"
"Stafford","1","Under 1 year old","65"
"Stafford","2","Ages 1-4","216"
"Stafford","3","Ages 5-17","686"
"Stafford","4","Ages 18-64","1810"
"Stafford","5","Ages 65 and older","640"
"Stamford","1","Under 1 year old","836"
"Stamford","2","Ages 1-4","3532"
"Stamford","3","Ages 5-17","10211"
"Stamford","4","Ages 18-64","19033"
"Stamford","5","Ages 65 and older","5098"
"Sterling","1","Under 1 year old","22"
"Sterling","2","Ages 1-4","89"
"Sterling","3","Ages 5-17","243"
"Sterling","4","Ages 18-64","662"
"Sterling","5","Ages 65 and older","109"
"Stonington","1","Under 1 year old","54"
"Stonington","2","Ages 1-4","281"
"Stonington","3","Ages 5-17","1032"
"Stonington","4","Ages 18-64","3033"
"Stonington","5","Ages 65 and older","1084"
"Stratford","1","Under 1 year old","273"
"Stratford","2","Ages 1-4","1118"
"Stratford","3","Ages 5-17","4000"
"Stratford","4","Ages 18-64","9393"
"Stratford","5","Ages 65 and older","2338"
"Suffield","1","Under 1 year old","24"
"Suffield","2","Ages 1-4","100"
"Suffield","3","Ages 5-17","413"
"Suffield","4","Ages 18-64","1091"
"Suffield","5","Ages 65 and older","436"
"Thomaston","1","Under 1 year old","20"
