"town","age_group","at_least_one_census_tract","population","initiated_vaccination","initiated_vaccination_percent","fully_vaccinated","fully_vaccinated_percent","additional_dose_1_received","additional_dose_1_received_percent","dateupdated"
"East Granby","5-11","No","481","214","44.49","198","41.16","30","6.24","2022-09-07T00:00:00.000"
"East Granby","65+","No","793","891","100","846","100","664","83.73","2022-09-07T00:00:00.000"
"East Haddam","0-4","No","373","33","8.85","6","1.61",,,"2022-09-07T00:00:00.000"
"East Haddam","12-17","No","700","432","61.71","414","59.14","176","25.14","2022-09-07T00:00:00.000"
"East Haddam","18-24","No","643","606","94.25","542","84.29","266","41.37","2022-09-07T00:00:00.000"
"East Haddam","25-44","No","1956","1488","76.07","1372","70.14","758","38.75","2022-09-07T00:00:00.000"
"East Haddam","45-64","No","3322","2511","75.59","2397","72.16","1671","50.3","2022-09-07T00:00:00.000"
"East Haddam","5-11","No","663","318","47.96","275","41.48","37","5.58","2022-09-07T00:00:00.000"
"East Haddam","65+","No","1470","1729","100","1640","100","1383","94.08","2022-09-07T00:00:00.000"
"East Hampton","0-4","No","638","68","10.66","6","0.94",,,"2022-09-07T00:00:00.000"
"East Hampton","12-17","No","952","791","83.09","769","80.78","385","40.44","2022-09-07T00:00:00.000"
"East Hampton","18-24","No","884","770","87.1","706","79.86","362","40.95","2022-09-07T00:00:00.000"
"East Hampton","25-44","No","3041","2348","77.21","2203","72.44","1292","42.49","2022-09-07T00:00:00.000"
"East Hampton","45-64","No","4432","3475","78.41","3364","75.9","2426","54.74","2022-09-07T00:00:00.000"
"East Hampton","5-11","No","1075","508","47.26","480","44.65","104","9.67","2022-09-07T00:00:00.000"
"East Hampton","65+","No","1852","2229","100","2160","100","1755","94.76","2022-09-07T00:00:00.000"
"East Hartford","0-4","Yes","3157","138","4.37","20","0.63",,,"2022-09-07T00:00:00.000"
"East Hartford","12-17","Yes","3969","3345","84.28","3069","77.32","892","22.47","2022-09-07T00:00:00.000"
"East Hartford","18-24","Yes","4982","3693","74.13","3296","66.16","1164","23.36","2022-09-07T00:00:00.000"
"East Hartford","25-44","Yes","13332","11640","87.31","10587","79.41","4456","33.42","2022-09-07T00:00:00.000"
"East Hartford","45-64","Yes","14093","12998","92.23","12184","86.45","7491","53.15","2022-09-07T00:00:00.000"
"East Hartford","5-11","Yes","4529","1868","41.25","1636","36.12","159","3.51","2022-09-07T00:00:00.000"
"East Hartford","65+","Yes","6971","7537","100","7097","100","5360","76.89","2022-09-07T00:00:00.000"
"East Haven","0-4","Yes","1355","53","3.91","19","1.4",,,"2022-09-07T00:00:00.000"
"East Haven","12-17","Yes","1888","1296","68.64","1191","63.08","423","22.4","2022-09-07T00:00:00.000"
"East Haven","18-24","Yes","2560","1728","67.5","1533","59.88","674","26.33","2022-09-07T00:00:00.000"
"East Haven","25-44","Yes","7400","5586","75.49","5070","68.51","2485","33.58","2022-09-07T00:00:00.000"
"East Haven","45-64","Yes","8555","6807","79.57","6458","75.49","4230","49.44","2022-09-07T00:00:00.000"
"East Haven","5-11","Yes","1873","621","33.16","558","29.79","60","3.2","2022-09-07T00:00:00.000"
"East Haven","65+","Yes","5413","4871","89.99","4617","85.29","3615","66.78","2022-09-07T00:00:00.000"
"East Lyme","0-4","No","736","129","17.53","43","5.84",,,"2022-09-07T00:00:00.000"
"East Lyme","12-17","No","1343","1113","82.87","1076","80.12","603","44.9","2022-09-07T00:00:00.000"
"East Lyme","18-24","No","1508","1266","83.95","1132","75.07","661","43.83","2022-09-07T00:00:00.000"
"East Lyme","25-44","No","4432","3667","82.74","3312","74.73","1960","44.22","2022-09-07T00:00:00.000"
"East Lyme","45-64","No","5827","5119","87.85","4859","83.39","3706","63.6","2022-09-07T00:00:00.000"
"East Lyme","5-11","No","1355","757","55.87","708","52.25","106","7.82","2022-09-07T00:00:00.000"
"East Lyme","65+","No","3939","4546","100","4300","100","3640","92.41","2022-09-07T00:00:00.000"
"Easton","0-4","No","284","76","26.76","22","7.75",,,"2022-09-07T00:00:00.000"
"Easton","12-17","No","797","646","81.05","620","77.79","318","39.9","2022-09-07T00:00:00.000"
"Easton","18-24","No","593","629","100","531","89.54","322","54.3","2022-09-07T00:00:00.000"
"Easton","25-44","No","1138","1227","100","1096","96.31","654","57.47","2022-09-07T00:00:00.000"
"Easton","45-64","No","2731","2198","80.48","2087","76.42","1511","55.33","2022-09-07T00:00:00.000"
"Easton","5-11","No","797","468","58.72","429","53.83","62","7.78","2022-09-07T00:00:00.000"
"Easton","65+","No","1291","1338","100","1256","97.29","1034","80.09","2022-09-07T00:00:00.000"
"East Windsor","0-4","No","610","29","4.75",,,,,"2022-09-07T00:00:00.000"
"East Windsor","12-17","No","701","425","60.63","389","55.49","160","22.82","2022-09-07T00:00:00.000"
"East Windsor","18-24","No","828","614","74.15","551","66.55","228","27.54","2022-09-07T00:00:00.000"
"East Windsor","25-44","No","3022","2198","72.73","1981","65.55","963","31.87","2022-09-07T00:00:00.000"
"East Windsor","45-64","No","3548","2777","78.27","2628","74.07","1704","48.03","2022-09-07T00:00:00.000"
"East Windsor","5-11","No","760","337","44.34","309","40.66","40","5.26","2022-09-07T00:00:00.000"
"East Windsor","65+","No","1954","2066","100","1962","100","1536","78.61","2022-09-07T00:00:00.000"
"Ellington","0-4","No","846","102","12.06","14","1.65",,,"2022-09-07T00:00:00.000"
"Ellington","12-17","No","1316","1064","80.85","1004","76.29","489","37.16","2022-09-07T00:00:00.000"
"Ellington","18-24","No","1314","1104","84.02","1030","78.39","540","41.1","2022-09-07T00:00:00.000"
"Ellington","25-44","No","3769","3257","86.42","3024","80.23","1713","45.45","2022-09-07T00:00:00.000"
"Ellington","45-64","No","4846","4209","86.86","4025","83.06","2838","58.56","2022-09-07T00:00:00.000"
"Ellington","5-11","No","1478","765","51.76","696","47.09","115","7.78","2022-09-07T00:00:00.000"
"Ellington","65+","No","2226","2692","100","2554","100","2093","94.03","2022-09-07T00:00:00.000"
"Enfield","0-4","Yes","2196","106","4.83","13","0.59",,,"2022-09-07T00:00:00.000"
"Enfield","12-17","Yes","2916","1947","66.77","1820","62.41","745","25.55","2022-09-07T00:00:00.000"
"Enfield","18-24","Yes","3919","2328","59.4","2122","54.15","891","22.74","2022-09-07T00:00:00.000"
"Enfield","25-44","Yes","12948","8286","63.99","7490","57.85","3376","26.07","2022-09-07T00:00:00.000"
"Enfield","45-64","Yes","12806","9802","76.54","9271","72.4","5808","45.35","2022-09-07T00:00:00.000"
"Enfield","5-11","Yes","3114","1143","36.71","1000","32.11","118","3.79","2022-09-07T00:00:00.000"
"Enfield","65+","Yes","6727","6963","100","6564","97.58","4956","73.67","2022-09-07T00:00:00.000"
"Essex","0-4","No","191","36","18.85","16","8.38",,,"2022-09-07T00:00:00.000"
"Essex","12-17","No","488","360","73.77","347","71.11","181","37.09","2022-09-07T00:00:00.000"
"Essex","18-24","No","395","455","100","405","100","243","61.52","2022-09-07T00:00:00.000"
"Essex","25-44","No","1021","921","90.21","841","82.37","503","49.27","2022-09-07T00:00:00.000"
"Essex","45-64","No","2360","1951","82.67","1864","78.98","1455","61.65","2022-09-07T00:00:00.000"
"Essex","5-11","No","446","190","42.6","176","39.46","16","3.59","2022-09-07T00:00:00.000"
"Essex","65+","No","1711","2063","100","1951","100","1673","97.78","2022-09-07T00:00:00.000"
"Fairfield","0-4","No","2877","556","19.33","158","5.49",,,"2022-09-07T00:00:00.000"
"Fairfield","12-17","No","6546","5320","81.27","5083","77.65","2730","41.7","2022-09-07T00:00:00.000"
"Fairfield","18-24","No","7570","5566","73.53","4610","60.9","2509","33.14","2022-09-07T00:00:00.000"
"Fairfield","25-44","No","12001","11084","92.36","10018","83.48","6157","51.3","2022-09-07T00:00:00.000"
"Fairfield","45-64","No","16983","16556","97.49","15686","92.36","11778","69.35","2022-09-07T00:00:00.000"
"Fairfield","5-11","No","6078","3709","61.02","3348","55.08","522","8.59","2022-09-07T00:00:00.000"
"Fairfield","65+","No","9292","9922","100","9269","99.75","7499","80.7","2022-09-07T00:00:00.000"
"Farmington","0-4","No","1141","183","16.04","41","3.59",,,"2022-09-07T00:00:00.000"
"Farmington","12-17","No","1972","1996","100","1910","96.86","1093","55.43","2022-09-07T00:00:00.000"
"Farmington","18-24","No","1911","2012","100","1760","92.1","1088","56.93","2022-09-07T00:00:00.000"
"Farmington","25-44","No","5815","5742","98.74","5284","90.87","3403","58.52","2022-09-07T00:00:00.000"
"Farmington","45-64","No","7913","7063","89.26","6737","85.14","5064","64","2022-09-07T00:00:00.000"
"Farmington","5-11","No","2116","1476","69.75","1388","65.6","224","10.59","2022-09-07T00:00:00.000"
"Farmington","65+","No","4759","5538","100","5221","100","4272","89.77","2022-09-07T00:00:00.000"
"Franklin","0-4","No","92",,,,,,,"2022-09-07T00:00:00.000"
"Franklin","12-17","No","153","93","60.78","90","58.82","39","25.49","2022-09-07T00:00:00.000"
"Franklin","18-24","No","157","123","78.34","111","70.7","59","37.58","2022-09-07T00:00:00.000"
"Franklin","25-44","No","433","300","69.28","277","63.97","150","34.64","2022-09-07T00:00:00.000"
"Franklin","45-64","No","669","484","72.35","469","70.1","326","48.73","2022-09-07T00:00:00.000"
"Franklin","5-11","No","122","48","39.34","47","38.52",,,"2022-09-07T00:00:00.000"
"Franklin","65+","No","358","381","100","367","100","299","83.52","2022-09-07T00:00:00.000"
"Glastonbury","0-4","No","1556","416","26.74","89","5.72",,,"2022-09-07T00:00:00.000"
"Glastonbury","12-17","No","3158","2744","86.89","2669","84.52","1651","52.28","2022-09-07T00:00:00.000"
"Glastonbury","18-24","No","2382","2851","100","2582","100","1640","68.85","2022-09-07T00:00:00.000"
"Glastonbury","25-44","No","7146","6985","97.75","6435","90.05","4244","59.39","2022-09-07T00:00:00.000"
"Glastonbury","45-64","No","11374","10018","88.08","9629","84.66","7603","66.85","2022-09-07T00:00:00.000"
"Glastonbury","5-11","No","3372","2112","62.63","2001","59.34","461","13.67","2022-09-07T00:00:00.000"
"Glastonbury","65+","No","5766","6705","100","6333","100","5300","91.92","2022-09-07T00:00:00.000"
"Goshen","0-4","No","99","7","7.07",,,,,"2022-09-07T00:00:00.000"
"Goshen","12-17","No","206","126","61.17","120","58.25","59","28.64","2022-09-07T00:00:00.000"
"Goshen","18-24","No","191","142","74.35","123","64.4","61","31.94","2022-09-07T00:00:00.000"
"Goshen","25-44","No","524","387","73.85","362","69.08","203","38.74","2022-09-07T00:00:00.000"
"Goshen","45-64","No","1092","805","73.72","772","70.7","524","47.99","2022-09-07T00:00:00.000"
"Goshen","5-11","No","200","83","41.5","75","37.5","18","9","2022-09-07T00:00:00.000"
"Goshen","65+","No","602","731","100","701","100","555","92.19","2022-09-07T00:00:00.000"
"Granby","0-4","No","491","62","12.63","10","2.04",,,"2022-09-07T00:00:00.000"
"Granby","12-17","No","1036","743","71.72","701","67.66","352","33.98","2022-09-07T00:00:00.000"
"Granby","18-24","No","781","803","100","704","90.14","359","45.97","2022-09-07T00:00:00.000"
"Granby","25-44","No","2100","1684","80.19","1522","72.48","823","39.19","2022-09-07T00:00:00.000"
"Granby","45-64","No","4055","3120","76.94","3011","74.25","2047","50.48","2022-09-07T00:00:00.000"
"Granby","5-11","No","1023","479","46.82","453","44.28","68","6.65","2022-09-07T00:00:00.000"
"Granby","65+","No","1824","2163","100","2070","100","1566","85.86","2022-09-07T00:00:00.000"
"Greenwich","0-4","No","3658","475","12.99","145","3.96",,,"2022-09-07T00:00:00.000"
"Greenwich","12-17","No","5449","5817","100","5393","98.97","2362","43.35","2022-09-07T00:00:00.000"
"Greenwich","18-24","No","4037","5064","100","4096","100","2105","52.14","2022-09-07T00:00:00.000"
"Greenwich","25-44","No","13580","12283","90.45","10506","77.36","5616","41.35","2022-09-07T00:00:00.000"
"Greenwich","45-64","No","18950","18070","95.36","16528","87.22","10590","55.88","2022-09-07T00:00:00.000"
"Greenwich","5-11","No","6470","4218","65.19","3748","57.93","444","6.86","2022-09-07T00:00:00.000"
"Greenwich","65+","No","10466","11468","100","10420","99.56","7376","70.48","2022-09-07T00:00:00.000"
"Griswold","0-4","Yes","625","19","3.04",,,,,"2022-09-07T00:00:00.000"
"Griswold","12-17","Yes","916","502","54.8","472","51.53","171","18.67","2022-09-07T00:00:00.000"
"Griswold","18-24","Yes","1088","570","52.39","527","48.44","222","20.4","2022-09-07T00:00:00.000"
"Griswold","25-44","Yes","3121","1893","60.65","1742","55.82","754","24.16","2022-09-07T00:00:00.000"
"Griswold","45-64","Yes","3686","2795","75.83","2644","71.73","1734","47.04","2022-09-07T00:00:00.000"
"Griswold","5-11","Yes","1000","233","23.3","207","20.7","14","1.4","2022-09-07T00:00:00.000"
"Griswold","65+","Yes","1480","1743","100","1670","100","1329","89.8","2022-09-07T00:00:00.000"
"Groton","0-4","Yes","2802","152","5.42","52","1.86",,,"2022-09-07T00:00:00.000"
"Groton","12-17","Yes","2460","1896","77.07","1754","71.3","696","28.29","2022-09-07T00:00:00.000"
"Groton","18-24","Yes","5755","2516","43.72","2197","38.18","961","16.7","2022-09-07T00:00:00.000"
"Groton","25-44","Yes","10947","7932","72.46","7038","64.29","3519","32.15","2022-09-07T00:00:00.000"
"Groton","45-64","Yes","9135","8014","87.73","7549","82.64","5379","58.88","2022-09-07T00:00:00.000"
"Groton","5-11","Yes","3094","1340","43.31","1189","38.43","149","4.82","2022-09-07T00:00:00.000"
"Groton","65+","Yes","5974","6579","100","6188","100","5059","84.68","2022-09-07T00:00:00.000"
"Guilford","0-4","No","891","199","22.33","83","9.32",,,"2022-09-07T00:00:00.000"
"Guilford","12-17","No","1838","1714","93.25","1643","89.39","962","52.34","2022-09-07T00:00:00.000"
"Guilford","18-24","No","1289","1695","100","1500","100","906","70.29","2022-09-07T00:00:00.000"
"Guilford","25-44","No","3973","3694","92.98","3398","85.53","2217","55.8","2022-09-07T00:00:00.000"
"Guilford","45-64","No","7595","6265","82.49","6006","79.08","4731","62.29","2022-09-07T00:00:00.000"
"Guilford","5-11","No","2004","1232","61.48","1153","57.53","284","14.17","2022-09-07T00:00:00.000"
"Guilford","65+","No","4823","5585","100","5286","100","4532","93.97","2022-09-07T00:00:00.000"
"Haddam","0-4","No","420","48","11.43","9","2.14",,,"2022-09-07T00:00:00.000"
"Haddam","12-17","No","648","569","87.81","535","82.56","247","38.12","2022-09-07T00:00:00.000"
"Haddam","18-24","No","528","583","100","526","99.62","301","57.01","2022-09-07T00:00:00.000"
"Haddam","25-44","No","1651","1460","88.43","1381","83.65","776","47","2022-09-07T00:00:00.000"
"Haddam","45-64","No","2950","2446","82.92","2347","79.56","1723","58.41","2022-09-07T00:00:00.000"
"Haddam","5-11","No","725","337","46.48","305","42.07","36","4.97","2022-09-07T00:00:00.000"
"Haddam","65+","No","1411","1875","100","1816","100","1561","100","2022-09-07T00:00:00.000"
"Hamden","0-4","No","3132","347","11.08","167","5.33",,,"2022-09-07T00:00:00.000"
"Hamden","12-17","No","5123","3202","62.5","3030","59.15","1482","28.93","2022-09-07T00:00:00.000"
"Hamden","18-24","No","9012","4466","49.56","3883","43.09","1903","21.12","2022-09-07T00:00:00.000"
"Hamden","25-44","No","14522","12735","87.69","11572","79.69","6622","45.6","2022-09-07T00:00:00.000"
"Hamden","45-64","No","15611","13910","89.1","13199","84.55","9494","60.82","2022-09-07T00:00:00.000"
"Hamden","5-11","No","4215","2118","50.25","1926","45.69","409","9.7","2022-09-07T00:00:00.000"
"Hamden","65+","No","9807","10738","100","10139","100","8105","82.65","2022-09-07T00:00:00.000"
"Hampton","0-4","No","53",,,,,,,"2022-09-07T00:00:00.000"
"Hampton","12-17","No","120","62","51.67","57","47.5","24","20","2022-09-07T00:00:00.000"
"Hampton","18-24","No","127","91","71.65","73","57.48","41","32.28","2022-09-07T00:00:00.000"
"Hampton","25-44","No","402","246","61.19","226","56.22","111","27.61","2022-09-07T00:00:00.000"
"Hampton","45-64","No","740","461","62.3","442","59.73","298","40.27","2022-09-07T00:00:00.000"
"Hampton","5-11","No","113","21","18.58","18","15.93",,,"2022-09-07T00:00:00.000"
"Hampton","65+","No","304","401","100","384","100","331","100","2022-09-07T00:00:00.000"
"Hartford","0-4","Yes","8662","369","4.26","65","0.75",,,"2022-09-07T00:00:00.000"
"Hartford","12-17","Yes","11255","6658","59.16","5875","52.2","1708","15.18","2022-09-07T00:00:00.000"
"Hartford","18-24","Yes","17245","9414","54.59","7929","45.98","2497","14.48","2022-09-07T00:00:00.000"
"Hartford","25-44","Yes","35901","27208","75.79","23939","66.68","8943","24.91","2022-09-07T00:00:00.000"
"Hartford","45-64","Yes","27931","24838","88.93","22762","81.49","12524","44.84","2022-09-07T00:00:00.000"
"Hartford","5-11","Yes","11774","3938","33.45","3206","27.23","350","2.97","2022-09-07T00:00:00.000"
"Hartford","65+","Yes","11937","13046","100","12007","100","8326","69.75","2022-09-07T00:00:00.000"
"Hartland","0-4","No","89","5","5.62",,,,,"2022-09-07T00:00:00.000"
"Hartland","12-17","No","166","119","71.69","111","66.87","30","18.07","2022-09-07T00:00:00.000"
"Hartland","18-24","No","152","96","63.16","91","59.87","34","22.37","2022-09-07T00:00:00.000"
"Hartland","25-44","No","394","217","55.08","203","51.52","89","22.59","2022-09-07T00:00:00.000"
"Hartland","45-64","No","805","505","62.73","480","59.63","300","37.27","2022-09-07T00:00:00.000"
"Hartland","5-11","No","184","34","18.48","32","17.39",,,"2022-09-07T00:00:00.000"
"Hartland","65+","No","339","384","100","368","100","274","80.83","2022-09-07T00:00:00.000"
"Harwinton","0-4","No","200","26","13",,,,,"2022-09-07T00:00:00.000"
"Harwinton","12-17","No","422","329","77.96","318","75.36","158","37.44","2022-09-07T00:00:00.000"
"Harwinton","18-24","No","400","310","77.5","278","69.5","160","40","2022-09-07T00:00:00.000"
"Harwinton","25-44","No","978","795","81.29","746","76.28","413","42.23","2022-09-07T00:00:00.000"
"Harwinton","45-64","No","2011","1379","68.57","1328","66.04","942","46.84","2022-09-07T00:00:00.000"
"Harwinton","5-11","No","449","170","37.86","153","34.08","23","5.12","2022-09-07T00:00:00.000"
"Harwinton","65+","No","1071","1193","100","1152","100","918","85.71","2022-09-07T00:00:00.000"
"Hebron","0-4","No","388","50","12.89","10","2.58",,,"2022-09-07T00:00:00.000"
"Hebron","12-17","No","1047","577","55.11","566","54.06","310","29.61","2022-09-07T00:00:00.000"
"Hebron","18-24","No","811","807","99.51","736","90.75","440","54.25","2022-09-07T00:00:00.000"
"Hebron","25-44","No","1846","1514","82.02","1416","76.71","838","45.4","2022-09-07T00:00:00.000"
"Hebron","45-64","No","3307","2708","81.89","2635","79.68","1963","59.36","2022-09-07T00:00:00.000"
"Hebron","5-11","No","893","348","38.97","325","36.39","59","6.61","2022-09-07T00:00:00.000"
"Hebron","65+","No","1272","1709","100","1628","100","1373","100","2022-09-07T00:00:00.000"
"Kent","0-4","No","127","34","26.77","11","8.66",,,"2022-09-07T00:00:00.000"
"Kent","12-17","No","175","248","100","180","100","87","49.71","2022-09-07T00:00:00.000"
"Kent","18-24","No","142","235","100","167","100","61","42.96","2022-09-07T00:00:00.000"
"Kent","25-44","No","511","512","100","454","88.85","207","40.51","2022-09-07T00:00:00.000"
"Kent","45-64","No","1072","843","78.64","789","73.6","438","40.86","2022-09-07T00:00:00.000"
"Kent","5-11","No","194","110","56.7","92","47.42","5","2.58","2022-09-07T00:00:00.000"
"Kent","65+","No","689","800","100","759","100","578","83.89","2022-09-07T00:00:00.000"
"Killingly","0-4","Yes","978","36","3.68","7","0.72",,,"2022-09-07T00:00:00.000"
"Killingly","12-17","Yes","1219","666","54.63","633","51.93","206","16.9","2022-09-07T00:00:00.000"
"Killingly","18-24","Yes","1316","889","67.55","810","61.55","293","22.26","2022-09-07T00:00:00.000"
"Killingly","25-44","Yes","4553","2899","63.67","2640","57.98","1035","22.73","2022-09-07T00:00:00.000"
"Killingly","45-64","Yes","5032","3780","75.12","3557","70.69","2071","41.16","2022-09-07T00:00:00.000"
"Killingly","5-11","Yes","1321","388","29.37","339","25.66","24","1.82","2022-09-07T00:00:00.000"
"Killingly","65+","Yes","2753","2986","100","2859","100","2173","78.93","2022-09-07T00:00:00.000"
"Killingworth","0-4","No","197","29","14.72","15","7.61",,,"2022-09-07T00:00:00.000"
"Killingworth","12-17","No","573","361","63","346","60.38","175","30.54","2022-09-07T00:00:00.000"
"Killingworth","18-24","No","427","480","100","436","100","263","61.59","2022-09-07T00:00:00.000"
"Killingworth","25-44","No","1026","916","89.28","869","84.7","540","52.63","2022-09-07T00:00:00.000"
"Killingworth","45-64","No","2494","1830","73.38","1768","70.89","1311","52.57","2022-09-07T00:00:00.000"
"Killingworth","5-11","No","520","244","46.92","227","43.65","30","5.77","2022-09-07T00:00:00.000"
"Killingworth","65+","No","1253","1463","100","1416","100","1182","94.33","2022-09-07T00:00:00.000"
"Lebanon","0-4","No","345","24","6.96",,,,,"2022-09-07T00:00:00.000"
"Lebanon","12-17","No","600","326","54.33","318","53","155","25.83","2022-09-07T00:00:00.000"
"Lebanon","18-24","No","585","469","80.17","419","71.62","191","32.65","2022-09-07T00:00:00.000"
"Lebanon","25-44","No","1652","1224","74.09","1139","68.95","622","37.65","2022-09-07T00:00:00.000"
"Lebanon","45-64","No","2495","1926","77.19","1863","74.67","1358","54.43","2022-09-07T00:00:00.000"
"Lebanon","5-11","No","576","185","32.12","168","29.17","23","3.99","2022-09-07T00:00:00.000"
"Lebanon","65+","No","1056","1273","100","1230","100","1033","97.82","2022-09-07T00:00:00.000"
"Ledyard","0-4","No","808","91","11.26","42","5.2",,,"2022-09-07T00:00:00.000"
"Ledyard","12-17","No","1237","890","71.95","856","69.2","385","31.12","2022-09-07T00:00:00.000"
"Ledyard","18-24","No","1187","990","83.4","900","75.82","436","36.73","2022-09-07T00:00:00.000"
"Ledyard","25-44","No","3798","3160","83.2","2833","74.59","1530","40.28","2022-09-07T00:00:00.000"
"Ledyard","45-64","No","4428","3602","81.35","3406","76.92","2372","53.57","2022-09-07T00:00:00.000"
"Ledyard","5-11","No","1395","670","48.03","638","45.73","94","6.74","2022-09-07T00:00:00.000"
"Ledyard","65+","No","2268","2578","100","2471","100","2039","89.9","2022-09-07T00:00:00.000"
"Lisbon","0-4","No","166","9","5.42",,,,,"2022-09-07T00:00:00.000"
"Lisbon","12-17","No","351","212","60.4","200","56.98","69","19.66","2022-09-07T00:00:00.000"
"Lisbon","18-24","No","414","268","64.73","242","58.45","104","25.12","2022-09-07T00:00:00.000"
"Lisbon","25-44","No","893","691","77.38","634","71","308","34.49","2022-09-07T00:00:00.000"
"Lisbon","45-64","No","1503","1091","72.59","1052","69.99","689","45.84","2022-09-07T00:00:00.000"
"Lisbon","5-11","No","299","101","33.78","91","30.43","5","1.67","2022-09-07T00:00:00.000"
"Lisbon","65+","No","716","734","100","705","98.46","565","78.91","2022-09-07T00:00:00.000"
"Litchfield","0-4","No","309","28","9.06","6","1.94",,,"2022-09-07T00:00:00.000"
"Litchfield","12-17","No","641","493","76.91","445","69.42","227","35.41","2022-09-07T00:00:00.000"
"Litchfield","18-24","No","611","522","85.43","462","75.61","221","36.17","2022-09-07T00:00:00.000"
"Litchfield","25-44","No","1414","1203","85.08","1121","79.28","649","45.9","2022-09-07T00:00:00.000"
"Litchfield","45-64","No","2804","2093","74.64","1971","70.29","1435","51.18","2022-09-07T00:00:00.000"
"Litchfield","5-11","No","567","283","49.91","260","45.86","47","8.29","2022-09-07T00:00:00.000"
"Litchfield","65+","No","1918","2058","100","1953","100","1585","82.64","2022-09-07T00:00:00.000"
"Lyme","0-4","No","75","13","17.33","5","6.67",,,"2022-09-07T00:00:00.000"
"Lyme","12-17","No","152","136","89.47","130","85.53","68","44.74","2022-09-07T00:00:00.000"
"Lyme","18-24","No","144","150","100","135","93.75","83","57.64","2022-09-07T00:00:00.000"
"Lyme","25-44","No","318","325","100","288","90.57","181","56.92","2022-09-07T00:00:00.000"
"Lyme","45-64","No","896","749","83.59","702","78.35","544","60.71","2022-09-07T00:00:00.000"
"Lyme","5-11","No","158","85","53.8","75","47.47","17","10.76","2022-09-07T00:00:00.000"
"Lyme","65+","No","646","800","100","746","100","639","98.92","2022-09-07T00:00:00.000"
"Madison","0-4","No","668","203","30.39","85","12.72",,,"2022-09-07T00:00:00.000"
"Madison","12-17","No","1808","1450","80.2","1382","76.44","796","44.03","2022-09-07T00:00:00.000"
"Madison","18-24","No","1202","1652","100","1434","100","859","71.46","2022-09-07T00:00:00.000"
"Madison","25-44","No","2805","2892","100","2591","92.37","1692","60.32","2022-09-07T00:00:00.000"
"Madison","45-64","No","6369","5430","85.26","5201","81.66","4128","64.81","2022-09-07T00:00:00.000"
"Madison","5-11","No","1630","944","57.91","882","54.11","177","10.86","2022-09-07T00:00:00.000"
"Madison","65+","No","3777","4352","100","4121","100","3489","92.37","2022-09-07T00:00:00.000"
"Manchester","0-4","Yes","3844","255","6.63","45","1.17",,,"2022-09-07T00:00:00.000"
"Manchester","12-17","Yes","3748","3128","83.46","2918","77.85","1094","29.19","2022-09-07T00:00:00.000"
"Manchester","18-24","Yes","4922","3689","74.95","3312","67.29","1479","30.05","2022-09-07T00:00:00.000"
"Manchester","25-44","Yes","18151","15436","85.04","14159","78.01","7503","41.34","2022-09-07T00:00:00.000"
"Manchester","45-64","Yes","14827","13126","88.53","12392","83.58","8497","57.31","2022-09-07T00:00:00.000"
"Manchester","5-11","Yes","4492","2388","53.16","2128","47.37","233","5.19","2022-09-07T00:00:00.000"
"Manchester","65+","Yes","8122","8902","100","8464","100","6854","84.39","2022-09-07T00:00:00.000"
"Mansfield","0-4","No","443","83","18.74","12","2.71",,,"2022-09-07T00:00:00.000"
"Mansfield","12-17","No","1031","834","80.89","779","75.56","520","50.44","2022-09-07T00:00:00.000"
"Mansfield","18-24","No","14549","3005","20.65","2183","15","1204","8.28","2022-09-07T00:00:00.000"
"Mansfield","25-44","No","2716","2597","95.62","2348","86.45","1477","54.38","2022-09-07T00:00:00.000"
"Mansfield","45-64","No","3162","2748","86.91","2628","83.11","2038","64.45","2022-09-07T00:00:00.000"
"Mansfield","5-11","No","870","492","56.55","461","52.99","115","13.22","2022-09-07T00:00:00.000"
"Mansfield","65+","No","2154","2460","100","2362","100","2034","94.43","2022-09-07T00:00:00.000"
"Marlborough","0-4","No","299","48","16.05","8","2.68",,,"2022-09-07T00:00:00.000"
"Marlborough","12-17","No","533","437","81.99","418","78.42","207","38.84","2022-09-07T00:00:00.000"
"Marlborough","18-24","No","413","483","100","435","100","263","63.68","2022-09-07T00:00:00.000"
"Marlborough","25-44","No","1422","1104","77.64","1046","73.56","625","43.95","2022-09-07T00:00:00.000"
"Marlborough","45-64","No","2144","1711","79.8","1662","77.52","1225","57.14","2022-09-07T00:00:00.000"
"Marlborough","5-11","No","625","279","44.64","255","40.8","55","8.8","2022-09-07T00:00:00.000"
"Marlborough","65+","No","994","1202","100","1157","100","956","96.18","2022-09-07T00:00:00.000"
"Meriden","0-4","Yes","3860","181","4.69","43","1.11",,,"2022-09-07T00:00:00.000"
"Meriden","12-17","Yes","4721","3907","82.76","3628","76.85","1246","26.39","2022-09-07T00:00:00.000"
"Meriden","18-24","Yes","5221","4313","82.61","3877","74.26","1559","29.86","2022-09-07T00:00:00.000"
"Meriden","25-44","Yes","16695","13726","82.22","12676","75.93","5631","33.73","2022-09-07T00:00:00.000"
"Meriden","45-64","Yes","16041","14562","90.78","13838","86.27","8956","55.83","2022-09-07T00:00:00.000"
"Meriden","5-11","Yes","5297","2109","39.81","1854","35","248","4.68","2022-09-07T00:00:00.000"
"Meriden","65+","Yes","8458","8950","100","8508","100","6722","79.48","2022-09-07T00:00:00.000"
"Middlebury","0-4","No","349","27","7.74",,,,,"2022-09-07T00:00:00.000"
