"cttractid","geo_id","geo_id10","town","age_group","initiated_vaccination_count","fully_vaccinated_count","initiated_vaccination_percent","fully_vaccinated_percent","number_left_to_start","number_not_fully_vaccinated","dateupdated"
"CT09001245400","01400000US09001245400","09001245400","Ridgefield","All Ages","2869","2631","94.8","86.9","158","396","2022-09-07T00:00:00.000"
"CT09001245500","01400000US09001245500","09001245500","Ridgefield","All Ages","2772","2520","91.2","82.9","268","520","2022-09-07T00:00:00.000"
"CT09001245600","01400000US09001245600","09001245600","Ridgefield","All Ages","5124","4636","77.7","70.3","1470","1958","2022-09-07T00:00:00.000"
"CT09001257100","01400000US09001257100","09001257100","Sherman","All Ages","2597","2413","71.2","66.1","1052","1236","2022-09-07T00:00:00.000"
"CT09001257200","01400000US09001257200","09001257200","Bridgeport","All Ages","2941","2596","71.8","63.4","1155","1500","2022-09-07T00:00:00.000"
"CT09003330100","01400000US09003330100","09003330100","Hartland","All Ages","1288","1217","65","61.4","694","765","2022-09-07T00:00:00.000"
"CT09003400100","01400000US09003400100","09003400100","Berlin","All Ages","5435","5165","74","70.4","1906","2176","2022-09-07T00:00:00.000"
"CT09003400200","01400000US09003400200","09003400200","Berlin","All Ages","4828","4586","77.2","73.4","1423","1665","2022-09-07T00:00:00.000"
"CT09003400300","01400000US09003400300","09003400300","Berlin","All Ages","5514","5256","80","76.3","1378","1636","2022-09-07T00:00:00.000"
"CT09003405100","01400000US09003405100","09003405100","Bristol","All Ages","2500","2292","76","69.7","790","998","2022-09-07T00:00:00.000"
"CT09003405200","01400000US09003405200","09003405200","Bristol","All Ages","3180","3023","81.3","77.3","732","889","2022-09-07T00:00:00.000"
"CT09003405300","01400000US09003405300","09003405300","Bristol","All Ages","4755","4535","73.8","70.4","1687","1907","2022-09-07T00:00:00.000"
"CT09003405401","01400000US09003405401","09003405401","Bristol","All Ages","2771","2654","81.5","78.1","628","745","2022-09-07T00:00:00.000"
"CT09003405402","01400000US09003405402","09003405402","Bristol","All Ages","2866","2682","76.1","71.2","900","1084","2022-09-07T00:00:00.000"
"CT09003405500","01400000US09003405500","09003405500","Bristol","All Ages","3771","3556","70.4","66.4","1582","1797","2022-09-07T00:00:00.000"
"CT09003405600","01400000US09003405600","09003405600","Bristol","All Ages","5297","4954","71.3","66.6","2136","2479","2022-09-07T00:00:00.000"
"CT09003405700","01400000US09003405700","09003405700","Bristol","All Ages","1551","1431","73.4","67.8","561","681","2022-09-07T00:00:00.000"
"CT09003405800","01400000US09003405800","09003405800","Bristol","All Ages","5792","5477","75.6","71.5","1866","2181","2022-09-07T00:00:00.000"
"CT09003405900","01400000US09003405900","09003405900","Bristol","All Ages","3596","3427","77.7","74","1034","1203","2022-09-07T00:00:00.000"
"CT09003406001","01400000US09003406001","09003406001","Bristol","All Ages","2930","2747","72.7","68.1","1103","1286","2022-09-07T00:00:00.000"
"CT09003406002","01400000US09003406002","09003406002","Bristol","All Ages","3688","3524","84.2","80.4","694","858","2022-09-07T00:00:00.000"
"CT09003406100","01400000US09003406100","09003406100","Bristol","All Ages","2814","2582","73.9","67.8","994","1226","2022-09-07T00:00:00.000"
"CT09003410101","01400000US09003410101","09003410101","Burlington","All Ages","4187","4012","76.4","73.2","1294","1469","2022-09-07T00:00:00.000"
"CT09003410102","01400000US09003410102","09003410102","Burlington","All Ages","3442","3305","82.4","79.1","736","873","2022-09-07T00:00:00.000"
"CT09003415300","01400000US09003415300","09003415300","New Britain","All Ages","1515","1365","72.8","65.6","565","715","2022-09-07T00:00:00.000"
"CT09003415400","01400000US09003415400","09003415400","New Britain","All Ages","4104","3804","64.3","59.6","2277","2577","2022-09-07T00:00:00.000"
"CT09003415500","01400000US09003415500","09003415500","New Britain","All Ages","1915","1738","64.9","58.9","1035","1212","2022-09-07T00:00:00.000"
"CT09003415600","01400000US09003415600","09003415600","New Britain","All Ages","2740","2509","59.6","54.6","1856","2087","2022-09-07T00:00:00.000"
"CT09003415700","01400000US09003415700","09003415700","New Britain","All Ages","2260","2080","72.4","66.6","861","1041","2022-09-07T00:00:00.000"
"CT09003415800","01400000US09003415800","09003415800","New Britain","All Ages","1884","1742","68.8","63.6","855","997","2022-09-07T00:00:00.000"
"CT09003415900","01400000US09003415900","09003415900","New Britain","All Ages","1030","953","71.8","66.5","404","481","2022-09-07T00:00:00.000"
"CT09003416000","01400000US09003416000","09003416000","New Britain","All Ages","2635","2434","55.4","51.2","2121","2322","2022-09-07T00:00:00.000"
"CT09003416100","01400000US09003416100","09003416100","New Britain","All Ages","3055","2778","64.9","59","1655","1932","2022-09-07T00:00:00.000"
"CT09003416200","01400000US09003416200","09003416200","New Britain","All Ages","1845","1673","61.6","55.8","1152","1324","2022-09-07T00:00:00.000"
"CT09003416300","01400000US09003416300","09003416300","New Britain","All Ages","2572","2379","65.5","60.6","1355","1548","2022-09-07T00:00:00.000"
"CT09003416400","01400000US09003416400","09003416400","New Britain","All Ages","2465","2323","73.4","69.2","892","1034","2022-09-07T00:00:00.000"
"CT09003416500","01400000US09003416500","09003416500","New Britain","All Ages","3436","3221","69.8","65.5","1484","1699","2022-09-07T00:00:00.000"
"CT09003416600","01400000US09003416600","09003416600","New Britain","All Ages","1925","1747","64.8","58.8","1045","1223","2022-09-07T00:00:00.000"
"CT09003416700","01400000US09003416700","09003416700","New Britain","All Ages","4591","4294","68.8","64.3","2086","2383","2022-09-07T00:00:00.000"
"CT09003416800","01400000US09003416800","09003416800","New Britain","All Ages","2183","2052","73","68.7","806","937","2022-09-07T00:00:00.000"
"CT09003417100","01400000US09003417100","09003417100","New Britain","All Ages","1329","1200","77.6","70.1","383","512","2022-09-07T00:00:00.000"
"CT09003417200","01400000US09003417200","09003417200","New Britain","All Ages","1019","926","68.4","62.2","470","563","2022-09-07T00:00:00.000"
"CT09003417300","01400000US09003417300","09003417300","New Britain","All Ages","33","31","1.9","1.8","1721","1723","2022-09-07T00:00:00.000"
"CT09003417400","01400000US09003417400","09003417400","New Britain","All Ages","2477","2285","86.1","79.5","399","591","2022-09-07T00:00:00.000"
"CT09003417500","01400000US09003417500","09003417500","New Britain","All Ages","3261","3084","75.3","71.2","1071","1248","2022-09-07T00:00:00.000"
"CT09003420400","01400000US09003420400","09003420400","Plainville","All Ages","2324","2217","71.8","68.5","913","1020","2022-09-07T00:00:00.000"
"CT09003420500","01400000US09003420500","09003420500","Plainville","All Ages","3852","3655","77.6","73.6","1112","1309","2022-09-07T00:00:00.000"
"CT09003420600","01400000US09003420600","09003420600","Plainville","All Ages","4316","4082","72.6","68.7","1630","1864","2022-09-07T00:00:00.000"
"CT09003420700","01400000US09003420700","09003420700","Plainville","All Ages","2516","2400","72.5","69.1","956","1072","2022-09-07T00:00:00.000"
"CT09003430100","01400000US09003430100","09003430100","Southington","All Ages","2936","2767","64.1","60.4","1644","1813","2022-09-07T00:00:00.000"
"CT09003430201","01400000US09003430201","09003430201","Southington","All Ages","2606","2481","71.5","68.1","1039","1164","2022-09-07T00:00:00.000"
"CT09003430202","01400000US09003430202","09003430202","Southington","All Ages","3738","3572","75.3","72","1224","1390","2022-09-07T00:00:00.000"
"CT09003430203","01400000US09003430203","09003430203","Southington","All Ages","3347","3225","76","73.2","1057","1179","2022-09-07T00:00:00.000"
"CT09003430301","01400000US09003430301","09003430301","Southington","All Ages","3242","3095","87.4","83.5","466","613","2022-09-07T00:00:00.000"
"CT09003430302","01400000US09003430302","09003430302","Southington","All Ages","2097","2014","72.8","69.9","784","867","2022-09-07T00:00:00.000"
"CT09003430400","01400000US09003430400","09003430400","Southington","All Ages","3550","3356","87.3","82.5","517","711","2022-09-07T00:00:00.000"
"CT09003430500","01400000US09003430500","09003430500","Southington","All Ages","5527","5281","82.2","78.5","1199","1445","2022-09-07T00:00:00.000"
"CT09003430601","01400000US09003430601","09003430601","Southington","All Ages","4113","3908","78.6","74.6","1123","1328","2022-09-07T00:00:00.000"
"CT09003430602","01400000US09003430602","09003430602","Southington","All Ages","2866","2739","80.2","76.7","706","833","2022-09-07T00:00:00.000"
"CT09003460100","01400000US09003460100","09003460100","Farmington","All Ages","2928","2756","90.8","85.4","298","470","2022-09-07T00:00:00.000"
"CT09003460202","01400000US09003460202","09003460202","Farmington","All Ages","3648","3362","84.3","77.7","677","963","2022-09-07T00:00:00.000"
"CT09003460203","01400000US09003460203","09003460203","Farmington","All Ages","2931","2718","90.7","84.1","302","515","2022-09-07T00:00:00.000"
"CT09003460204","01400000US09003460204","09003460204","Farmington","All Ages","5378","4987","87.4","81","775","1166","2022-09-07T00:00:00.000"
"CT09003460301","01400000US09003460301","09003460301","Farmington","All Ages","4253","4034","89","84.5","523","742","2022-09-07T00:00:00.000"
"CT09003460302","01400000US09003460302","09003460302","Farmington","All Ages","3514","3326","92.1","87.2","301","489","2022-09-07T00:00:00.000"
"CT09003462101","01400000US09003462101","09003462101","Avon","All Ages","5576","5218","88.2","82.5","747","1105","2022-09-07T00:00:00.000"
"CT09003462102","01400000US09003462102","09003462102","Avon","All Ages","4004","3737","100","94.8","0","205","2022-09-07T00:00:00.000"
"CT09003462201","01400000US09003462201","09003462201","Avon","All Ages","4855","4534","93.6","87.4","331","652","2022-09-07T00:00:00.000"
"CT09003462202","01400000US09003462202","09003462202","Avon","All Ages","2680","2441","93.7","85.3","181","420","2022-09-07T00:00:00.000"
"CT09003464101","01400000US09003464101","09003464101","Canton","All Ages","4120","3880","76.4","71.9","1273","1513","2022-09-07T00:00:00.000"
"CT09003464102","01400000US09003464102","09003464102","Canton","All Ages","3851","3637","78.7","74.3","1044","1258","2022-09-07T00:00:00.000"
"CT09003466101","01400000US09003466101","09003466101","Simsbury","All Ages","3843","3576","87.6","81.6","542","809","2022-09-07T00:00:00.000"
"CT09003466102","01400000US09003466102","09003466102","Simsbury","All Ages","4600","4299","93.7","87.6","307","608","2022-09-07T00:00:00.000"
"CT09003466201","01400000US09003466201","09003466201","Simsbury","All Ages","2226","2095","76.9","72.4","669","800","2022-09-07T00:00:00.000"
"CT09003466202","01400000US09003466202","09003466202","Simsbury","All Ages","4273","3931","86.7","79.8","653","995","2022-09-07T00:00:00.000"
"CT09003466300","01400000US09003466300","09003466300","Simsbury","All Ages","4354","4048","86.4","80.3","684","990","2022-09-07T00:00:00.000"
"CT09003466400","01400000US09003466400","09003466400","Simsbury","All Ages","2036","1915","76.9","72.3","612","733","2022-09-07T00:00:00.000"
"CT09003468101","01400000US09003468101","09003468101","Granby","All Ages","5631","5274","76.2","71.3","1762","2119","2022-09-07T00:00:00.000"
"CT09003468102","01400000US09003468102","09003468102","Granby","All Ages","3006","2840","75.8","71.6","962","1128","2022-09-07T00:00:00.000"
"CT09003470100","01400000US09003470100","09003470100","East Granby","All Ages","4073","3848","76.8","72.5","1231","1456","2022-09-07T00:00:00.000"
"CT09003471100","01400000US09003471100","09003471100","Bloomfield","All Ages","2696","2523","69.3","64.9","1193","1366","2022-09-07T00:00:00.000"
"CT09003471200","01400000US09003471200","09003471200","Bloomfield","All Ages","2397","2222","72.9","67.5","893","1068","2022-09-07T00:00:00.000"
"CT09003471300","01400000US09003471300","09003471300","Bloomfield","All Ages","4148","3866","92.6","86.3","332","614","2022-09-07T00:00:00.000"
"CT09003471400","01400000US09003471400","09003471400","Bloomfield","All Ages","5044","4698","91.9","85.6","442","788","2022-09-07T00:00:00.000"
"CT09003471500","01400000US09003471500","09003471500","Bloomfield","All Ages","2989","2750","77.1","70.9","888","1127","2022-09-07T00:00:00.000"
"CT09003473100","01400000US09003473100","09003473100","Windsor","All Ages","5220","4852","81.6","75.9","1174","1542","2022-09-07T00:00:00.000"
"CT09003473400","01400000US09003473400","09003473400","Windsor","All Ages","1618","1510","94","87.7","103","211","2022-09-07T00:00:00.000"
"CT09003473501","01400000US09003473501","09003473501","Windsor","All Ages","3932","3684","93.1","87.2","292","540","2022-09-07T00:00:00.000"
"CT09003473502","01400000US09003473502","09003473502","Windsor","All Ages","2540","2398","82.8","78.2","526","668","2022-09-07T00:00:00.000"
"CT09003473601","01400000US09003473601","09003473601","Windsor","All Ages","2753","2606","89.3","84.5","331","478","2022-09-07T00:00:00.000"
"CT09003473602","01400000US09003473602","09003473602","Windsor","All Ages","1753","1621","68.4","63.3","809","941","2022-09-07T00:00:00.000"
"CT09003473700","01400000US09003473700","09003473700","Windsor","All Ages","4854","4512","80.4","74.7","1183","1525","2022-09-07T00:00:00.000"
"CT09003473800","01400000US09003473800","09003473800","Windsor","All Ages","1381","1300","78","73.4","390","471","2022-09-07T00:00:00.000"
"CT09003476100","01400000US09003476100","09003476100","Windsor Locks","All Ages","3433","3202","73.9","68.9","1215","1446","2022-09-07T00:00:00.000"
"CT09003476200","01400000US09003476200","09003476200","Windsor Locks","All Ages","2050","1947","72.7","69.1","768","871","2022-09-07T00:00:00.000"
"CT09003476300","01400000US09003476300","09003476300","Windsor Locks","All Ages","3750","3501","72","67.3","1455","1704","2022-09-07T00:00:00.000"
"CT09003477101","01400000US09003477101","09003477101","Suffield","All Ages","3385","3050","81","73","794","1129","2022-09-07T00:00:00.000"
"CT09003477102","01400000US09003477102","09003477102","Suffield","All Ages","5912","5455","69.2","63.9","2631","3088","2022-09-07T00:00:00.000"
"CT09003477200","01400000US09003477200","09003477200","Suffield","All Ages","2156","1995","72.7","67.3","810","971","2022-09-07T00:00:00.000"
"CT09003480300","01400000US09003480300","09003480300","Enfield","All Ages","1508","1411","68","63.6","710","807","2022-09-07T00:00:00.000"
"CT09003480400","01400000US09003480400","09003480400","Enfield","All Ages","2596","2415","70.5","65.6","1085","1266","2022-09-07T00:00:00.000"
"CT09003480500","01400000US09003480500","09003480500","Enfield","All Ages","2335","2155","70.6","65.1","973","1153","2022-09-07T00:00:00.000"
"CT09003480600","01400000US09003480600","09003480600","Enfield","All Ages","2984","2703","62.3","56.4","1806","2087","2022-09-07T00:00:00.000"
"CT09003480700","01400000US09003480700","09003480700","Enfield","All Ages","1494","1361","61.9","56.4","920","1053","2022-09-07T00:00:00.000"
"CT09003480800","01400000US09003480800","09003480800","Enfield","All Ages","3081","2865","67","62.3","1516","1732","2022-09-07T00:00:00.000"
"CT09003480900","01400000US09003480900","09003480900","Enfield","All Ages","1568","1461","70.7","65.9","650","757","2022-09-07T00:00:00.000"
"CT09003481000","01400000US09003481000","09003481000","Enfield","All Ages","2764","2581","75.3","70.3","907","1090","2022-09-07T00:00:00.000"
"CT09003481100","01400000US09003481100","09003481100","Enfield","All Ages","2759","2593","70.2","66","1172","1338","2022-09-07T00:00:00.000"
"CT09003481200","01400000US09003481200","09003481200","Enfield","All Ages","2700","2514","67.8","63.1","1283","1469","2022-09-07T00:00:00.000"
"CT09003481300","01400000US09003481300","09003481300","Enfield","All Ages","2187","2055","76.3","71.7","678","810","2022-09-07T00:00:00.000"
"CT09003484100","01400000US09003484100","09003484100","East Windsor","All Ages","4106","3776","77.4","71.1","1202","1532","2022-09-07T00:00:00.000"
"CT09003484200","01400000US09003484200","09003484200","East Windsor","All Ages","4096","3837","66.7","62.5","2041","2300","2022-09-07T00:00:00.000"
"CT09003487100","01400000US09003487100","09003487100","South Windsor","All Ages","6149","5807","86.5","81.7","963","1305","2022-09-07T00:00:00.000"
"CT09003487201","01400000US09003487201","09003487201","South Windsor","All Ages","4012","3800","86.7","82.1","617","829","2022-09-07T00:00:00.000"
"CT09003487202","01400000US09003487202","09003487202","South Windsor","All Ages","3303","3121","92.1","87","283","465","2022-09-07T00:00:00.000"
"CT09003487300","01400000US09003487300","09003487300","South Windsor","All Ages","1132","1055","74.9","69.8","380","457","2022-09-07T00:00:00.000"
"CT09003487400","01400000US09003487400","09003487400","South Windsor","All Ages","2220","2071","92.7","86.5","174","323","2022-09-07T00:00:00.000"
"CT09003487500","01400000US09003487500","09003487500","South Windsor","All Ages","5933","5489","89","82.4","732","1176","2022-09-07T00:00:00.000"
"CT09003490100","01400000US09003490100","09003490100","Rocky Hill","All Ages","4500","4241","78.9","74.4","1201","1460","2022-09-07T00:00:00.000"
"CT09003490302","01400000US09003490302","09003490302","Rocky Hill","All Ages","7271","6794","90.2","84.3","791","1268","2022-09-07T00:00:00.000"
"CT09003492100","01400000US09003492100","09003492100","Wethersfield","All Ages","2814","2677","83.4","79.3","561","698","2022-09-07T00:00:00.000"
"CT09003492200","01400000US09003492200","09003492200","Wethersfield","All Ages","3504","3314","89.2","84.4","423","613","2022-09-07T00:00:00.000"
"CT09003492300","01400000US09003492300","09003492300","Wethersfield","All Ages","4925","4626","84.3","79.2","915","1214","2022-09-07T00:00:00.000"
"CT09003492400","01400000US09003492400","09003492400","Wethersfield","All Ages","2521","2412","81.7","78.2","563","672","2022-09-07T00:00:00.000"
"CT09003492500","01400000US09003492500","09003492500","Wethersfield","All Ages","2918","2792","86.7","83","446","572","2022-09-07T00:00:00.000"
"CT09003492600","01400000US09003492600","09003492600","Wethersfield","All Ages","5967","5659","90.7","86","614","922","2022-09-07T00:00:00.000"
"CT09003494100","01400000US09003494100","09003494100","Newington","All Ages","5099","4796","87.9","82.7","699","1002","2022-09-07T00:00:00.000"
"CT09003494201","01400000US09003494201","09003494201","Newington","All Ages","3900","3697","82.4","78.1","834","1037","2022-09-07T00:00:00.000"
"CT09003494202","01400000US09003494202","09003494202","Newington","All Ages","2377","2265","91.7","87.4","215","327","2022-09-07T00:00:00.000"
"CT09003494300","01400000US09003494300","09003494300","Newington","All Ages","3224","3042","74.6","70.4","1096","1278","2022-09-07T00:00:00.000"
"CT09003494400","01400000US09003494400","09003494400","Newington","All Ages","3883","3677","81.9","77.5","859","1065","2022-09-07T00:00:00.000"
"CT09003494500","01400000US09003494500","09003494500","Newington","All Ages","3603","3434","79.1","75.4","953","1122","2022-09-07T00:00:00.000"
"CT09003494600","01400000US09003494600","09003494600","Newington","All Ages","2946","2797","84.4","80.1","546","695","2022-09-07T00:00:00.000"
"CT09003496100","01400000US09003496100","09003496100","West Hartford","All Ages","2335","2117","79.4","72","607","825","2022-09-07T00:00:00.000"
"CT09003496200","01400000US09003496200","09003496200","West Hartford","All Ages","4529","4195","96.9","89.7","146","480","2022-09-07T00:00:00.000"
"CT09003496300","01400000US09003496300","09003496300","West Hartford","All Ages","3076","2869","80.4","75","749","956","2022-09-07T00:00:00.000"
"CT09003496400","01400000US09003496400","09003496400","West Hartford","All Ages","2927","2733","98.7","92.1","39","233","2022-09-07T00:00:00.000"
"CT09003496500","01400000US09003496500","09003496500","West Hartford","All Ages","2629","2422","98.1","90.3","52","259","2022-09-07T00:00:00.000"
"CT09003496600","01400000US09003496600","09003496600","West Hartford","All Ages","2809","2644","100","97.2","0","75","2022-09-07T00:00:00.000"
"CT09003496700","01400000US09003496700","09003496700","West Hartford","All Ages","3339","3056","96.1","88","135","418","2022-09-07T00:00:00.000"
"CT09003496800","01400000US09003496800","09003496800","West Hartford","All Ages","3132","2881","98.1","90.2","61","312","2022-09-07T00:00:00.000"
"CT09003496900","01400000US09003496900","09003496900","West Hartford","All Ages","5283","4849","85.3","78.3","912","1346","2022-09-07T00:00:00.000"
"CT09003497000","01400000US09003497000","09003497000","West Hartford","All Ages","4208","3931","97.6","91.2","104","381","2022-09-07T00:00:00.000"
"CT09003497100","01400000US09003497100","09003497100","West Hartford","All Ages","3476","3177","84.3","77","648","947","2022-09-07T00:00:00.000"
"CT09003497200","01400000US09003497200","09003497200","West Hartford","All Ages","2047","1853","92.3","83.5","171","365","2022-09-07T00:00:00.000"
"CT09003497300","01400000US09003497300","09003497300","West Hartford","All Ages","4546","4173","84.9","78","806","1179","2022-09-07T00:00:00.000"
"CT09003497400","01400000US09003497400","09003497400","West Hartford","All Ages","3921","3679","96.7","90.7","134","376","2022-09-07T00:00:00.000"
"CT09003497500","01400000US09003497500","09003497500","West Hartford","All Ages","3735","3470","100","95.7","0","155","2022-09-07T00:00:00.000"
"CT09003497600","01400000US09003497600","09003497600","West Hartford","All Ages","2311","2143","100","96","0","89","2022-09-07T00:00:00.000"
"CT09003497700","01400000US09003497700","09003497700","West Hartford","All Ages","4266","3947","95.3","88.2","209","528","2022-09-07T00:00:00.000"
"CT09003500100","01400000US09003500100","09003500100","Hartford","All Ages","2471","2159","63","55","1451","1763","2022-09-07T00:00:00.000"
"CT09003500200","01400000US09003500200","09003500200","Hartford","All Ages","1404","1253","59.4","53","959","1110","2022-09-07T00:00:00.000"
"CT09003500300","01400000US09003500300","09003500300","Hartford","All Ages","1294","1138","56.1","49.3","1012","1168","2022-09-07T00:00:00.000"
"CT09003500400","01400000US09003500400","09003500400","Hartford","All Ages","1139","1021","67.8","60.8","541","659","2022-09-07T00:00:00.000"
"CT09003500500","01400000US09003500500","09003500500","Hartford","All Ages","1229","1079","84.2","74","230","380","2022-09-07T00:00:00.000"
"CT09003500700","01400000US09003500700","09003500700","Hartford","All Ages","1415","1238","100","100","0","0","2022-09-07T00:00:00.000"
"CT09003500900","01400000US09003500900","09003500900","Hartford","All Ages","990","889","47","42.2","1117","1218","2022-09-07T00:00:00.000"
"CT09003501200","01400000US09003501200","09003501200","Hartford","All Ages","1408","1238","49.4","43.5","1441","1611","2022-09-07T00:00:00.000"
"CT09003501300","01400000US09003501300","09003501300","Hartford","All Ages","860","745","49.3","42.7","885","1000","2022-09-07T00:00:00.000"
"CT09003501400","01400000US09003501400","09003501400","Hartford","All Ages","1476","1323","56.7","50.8","1126","1279","2022-09-07T00:00:00.000"
"CT09003501500","01400000US09003501500","09003501500","Hartford","All Ages","2072","1857","66.4","59.5","1048","1263","2022-09-07T00:00:00.000"
"CT09003501700","01400000US09003501700","09003501700","Hartford","All Ages","827","743","48","43.1","895","979","2022-09-07T00:00:00.000"
"CT09003501800","01400000US09003501800","09003501800","Hartford","All Ages","1509","1327","50","44","1510","1692","2022-09-07T00:00:00.000"
"CT09003502100","01400000US09003502100","09003502100","Hartford","All Ages","2660","2290","100","95.3","0","113","2022-09-07T00:00:00.000"
"CT09003502300","01400000US09003502300","09003502300","Hartford","All Ages","4370","3989","73.2","66.9","1597","1978","2022-09-07T00:00:00.000"
"CT09003502400","01400000US09003502400","09003502400","Hartford","All Ages","4109","3640","66.6","59","2058","2527","2022-09-07T00:00:00.000"
"CT09003502500","01400000US09003502500","09003502500","Hartford","All Ages","1316","1189","61.1","55.2","838","965","2022-09-07T00:00:00.000"
"CT09003502600","01400000US09003502600","09003502600","Hartford","All Ages","2749","2478","68","61.3","1296","1567","2022-09-07T00:00:00.000"
"CT09003502700","01400000US09003502700","09003502700","Hartford","All Ages","2902","2502","58.5","50.4","2060","2460","2022-09-07T00:00:00.000"
"CT09003502800","01400000US09003502800","09003502800","Hartford","All Ages","1591","1366","56.3","48.3","1235","1460","2022-09-07T00:00:00.000"
"CT09003502900","01400000US09003502900","09003502900","Hartford","All Ages","2298","1986","75.4","65.2","749","1061","2022-09-07T00:00:00.000"
"CT09003503000","01400000US09003503000","09003503000","Hartford","All Ages","1990","1715","69.9","60.2","858","1133","2022-09-07T00:00:00.000"
"CT09003503100","01400000US09003503100","09003503100","Hartford","All Ages","3040","2741","73.2","66","1113","1412","2022-09-07T00:00:00.000"
"CT09003503300","01400000US09003503300","09003503300","Hartford","All Ages","1567","1398","55.6","49.6","1252","1421","2022-09-07T00:00:00.000"
"CT09003503500","01400000US09003503500","09003503500","Hartford","All Ages","805","705","51.1","44.8","770","870","2022-09-07T00:00:00.000"
"CT09003503700","01400000US09003503700","09003503700","Hartford","All Ages","1479","1328","62","55.6","908","1059","2022-09-07T00:00:00.000"
"CT09003503800","01400000US09003503800","09003503800","Hartford","All Ages","279","250","10.1","9","2486","2515","2022-09-07T00:00:00.000"
"CT09003503900","01400000US09003503900","09003503900","Hartford","All Ages","3702","3443","77.4","72","1079","1338","2022-09-07T00:00:00.000"
"CT09003504000","01400000US09003504000","09003504000","Hartford","All Ages","2216","2046","69.9","64.6","953","1123","2022-09-07T00:00:00.000"
"CT09003504100","01400000US09003504100","09003504100","Hartford","All Ages","1246","1090","69","60.4","559","715","2022-09-07T00:00:00.000"
"CT09003504200","01400000US09003504200","09003504200","Hartford","All Ages","3664","3267","72.6","64.8","1381","1778","2022-09-07T00:00:00.000"
"CT09003504300","01400000US09003504300","09003504300","Hartford","All Ages","1817","1577","59.9","52","1217","1457","2022-09-07T00:00:00.000"
"CT09003504500","01400000US09003504500","09003504500","Hartford","All Ages","2388","2164","73","66.1","885","1109","2022-09-07T00:00:00.000"
"CT09003504800","01400000US09003504800","09003504800","Hartford","All Ages","4061","3703","82","74.7","894","1252","2022-09-07T00:00:00.000"
"CT09003504900","01400000US09003504900","09003504900","Hartford","All Ages","3168","2829","67.6","60.4","1515","1854","2022-09-07T00:00:00.000"
"CT09003510100","01400000US09003510100","09003510100","East Hartford","All Ages","1894","1736","98.5","90.3","29","187","2022-09-07T00:00:00.000"
"CT09003510200","01400000US09003510200","09003510200","East Hartford","All Ages","1787","1626","68.8","62.6","812","973","2022-09-07T00:00:00.000"
"CT09003510300","01400000US09003510300","09003510300","East Hartford","All Ages","3412","3129","82.7","75.8","715","998","2022-09-07T00:00:00.000"
"CT09003510400","01400000US09003510400","09003510400","East Hartford","All Ages","3670","3301","56","50.4","2886","3255","2022-09-07T00:00:00.000"
"CT09003510500","01400000US09003510500","09003510500","East Hartford","All Ages","2583","2387","85.3","78.9","444","640","2022-09-07T00:00:00.000"
"CT09003510600","01400000US09003510600","09003510600","East Hartford","All Ages","3676","3347","79.6","72.5","941","1270","2022-09-07T00:00:00.000"
"CT09003510700","01400000US09003510700","09003510700","East Hartford","All Ages","3971","3688","87.6","81.4","561","844","2022-09-07T00:00:00.000"
"CT09003510800","01400000US09003510800","09003510800","East Hartford","All Ages","2341","2191","73.2","68.5","859","1009","2022-09-07T00:00:00.000"
"CT09003510900","01400000US09003510900","09003510900","East Hartford","All Ages","3153","2986","85.8","81.3","520","687","2022-09-07T00:00:00.000"
"CT09003511000","01400000US09003511000","09003511000","East Hartford","All Ages","3087","2906","85.8","80.8","509","690","2022-09-07T00:00:00.000"
"CT09003511100","01400000US09003511100","09003511100","East Hartford","All Ages","3008","2804","91.1","84.9","294","498","2022-09-07T00:00:00.000"
"CT09003511200","01400000US09003511200","09003511200","East Hartford","All Ages","2503","2288","77.3","70.6","737","952","2022-09-07T00:00:00.000"
"CT09003511300","01400000US09003511300","09003511300","East Hartford","All Ages","2892","2625","79","71.7","768","1035","2022-09-07T00:00:00.000"
"CT09003511400","01400000US09003511400","09003511400","East Hartford","All Ages","2155","2014","97.1","90.7","65","206","2022-09-07T00:00:00.000"
"CT09003514101","01400000US09003514101","09003514101","Manchester","All Ages","2857","2680","82.7","77.5","599","776","2022-09-07T00:00:00.000"
"CT09003514102","01400000US09003514102","09003514102","Manchester","All Ages","6234","5680","78.4","71.4","1719","2273","2022-09-07T00:00:00.000"
"CT09003514200","01400000US09003514200","09003514200","Manchester","All Ages","2358","2167","77.3","71","692","883","2022-09-07T00:00:00.000"
"CT09003514300","01400000US09003514300","09003514300","Manchester","All Ages","3301","3138","83.5","79.4","650","813","2022-09-07T00:00:00.000"
"CT09003514400","01400000US09003514400","09003514400","Manchester","All Ages","3405","3160","79.1","73.4","902","1147","2022-09-07T00:00:00.000"
"CT09003514500","01400000US09003514500","09003514500","Manchester","All Ages","3715","3486","80.6","75.7","892","1121","2022-09-07T00:00:00.000"
"CT09003514600","01400000US09003514600","09003514600","Manchester","All Ages","3712","3437","71","65.8","1514","1789","2022-09-07T00:00:00.000"
"CT09003514700","01400000US09003514700","09003514700","Manchester","All Ages","2859","2648","63.4","58.8","1647","1858","2022-09-07T00:00:00.000"
"CT09003514800","01400000US09003514800","09003514800","Manchester","All Ages","2520","2323","77.5","71.4","733","930","2022-09-07T00:00:00.000"
