"town_code","town_name","fiscal_year","previous_fiscal_year_budget","current_fiscal_year_budget","net_dollar_change","net_percent_change","previous_fiscal_year_population","current_fiscal_year_population","net_population_change","net_population_percent_change","certification_date"
"117","Redding","2022","40923620.00","40773028.00","-150592.00","-0.0036798308654024","9200.00","9133.00","-67.00","-0.00728260869565","2022-02-08T00:00:00.000"
"118","Ridgefield","2022","118981458.00","121969758.00","2988300.00","0.0251156781084327","25070.00","25091.00","21.00","0.00083765456721","2022-01-29T00:00:00.000"
"119","Rocky Hill","2022","63980403.00","65432415.00","1452012.00","0.0226946366686687","20115.00","20168.00","53.00","0.00263484961472","2022-02-08T00:00:00.000"
"120","Roxbury","2022","3054539.00","2659138.00","-395401.00","-0.1294470294862830","2262.00","2260.00","-2.00","-0.00088417329797","2022-02-02T00:00:00.000"
"121","Salem","2022","14836754.00","15258047.00","421293.00","0.0283952271500896","4213.00","4281.00","68.00","0.01614051744600","2022-02-10T00:00:00.000"
"122","Salisbury","2022","15234747.00","15792084.00","557337.00","0.0365832790003011","3685.00","3854.00","169.00","0.04586160108548","2022-02-08T00:00:00.000"
"123","Scotland","2022","5576573.00","5522262.00","-54311.00","-0.0097391354869738","1576.00","1576.00","0.00","0.00000000000000","2022-02-09T00:00:00.000"
"124","Seymour","2022","49861946.00","50774109.00","912163.00","0.0182937705640289","16500.00","16500.00","0.00","0.00000000000000","2022-02-14T00:00:00.000"
"125","Sharon","2022","8312948.00","8596325.00","283377.00","0.0340886289677260","2718.00","2689.00","-29.00","-0.01066961000736","2022-02-02T00:00:00.000"
"126","Shelton","2022","114097417.00","117066856.00","2969439.00","0.0260254708483015","41129.00","41141.00","12.00","0.00029176493472","2022-02-10T00:00:00.000"
"127","Sherman","2022","11663476.00","11859903.00","196427.00","0.0168412058292056","3675.00","3649.00","-26.00","-0.00707482993197","2022-01-11T00:00:00.000"
"128","Simsbury","2022","73575833.00","75006975.00","1431142.00","0.0194512510650066","24799.00","24875.00","76.00","0.00306463970321","2022-02-08T00:00:00.000"
"129","Somers","2022","27797922.00","28312599.00","514677.00","0.0185149451099258","10784.00","10136.00","-648.00","-0.06008902077151","2022-02-01T00:00:00.000"
"130","Southbury","2022","21482351.00","21006306.00","-476045.00","-0.0221598185412760","19879.00","19900.00","21.00","0.00105639116656","2022-01-24T00:00:00.000"
"131","Southington","2022","115873430.00","115941752.00","68322.00","0.0005896261118705","43447.00","43800.00","353.00","0.00812484176123","2022-02-10T00:00:00.000"
"132","South Windsor","2022","100183069.00","102679469.00","2496400.00","0.0249183821669508","26100.00","26100.00","0.00","0.00000000000000","2022-01-11T00:00:00.000"
"133","Sprague","2022","6655791.00","6749082.00","93291.00","0.0140165158431207","2859.00","2973.00","114.00","0.03987408184680","2022-02-10T00:00:00.000"
"134","Stafford","2022","34095801.00","34865476.00","769675.00","0.0225738940698299","11472.00","11881.00","409.00","0.03565202231520","2022-02-09T00:00:00.000"
"135","Stamford","2022","420777813.00","442444457.00","21666644.00","0.0514918879527519","131532.00","135470.00","3938.00","0.02993948240732","2022-02-11T00:00:00.000"
"136","Sterling","2022","7891367.00","8174002.00","282635.00","0.0358157211545224","3747.00","3578.00","-169.00","-0.04510274886576","2022-02-10T00:00:00.000"
"137","Stonington","2022","51039113.00","51956686.00","917573.00","0.0179778398578361","17825.00","18445.00","620.00","0.03478260869565","2022-01-11T00:00:00.000"
"138","Stratford","2022","187715813.00","192006512.00","4290699.00","0.0228574190497207","51849.00","52355.00","506.00","0.00975910817952","2022-02-10T00:00:00.000"
"139","Suffield","2022","46560490.00","49107873.00","2547383.00","0.0547112584081482","15814.00","15725.00","-89.00","-0.00562792462375","2022-01-29T00:00:00.000"
"140","Thomaston","2022","21020845.00","21310715.00","289870.00","0.0137896454685813","7442.00","7442.00","0.00","0.00000000000000","2022-01-11T00:00:00.000"
"141","Thompson","2022","21115660.00","21322298.00","206638.00","0.0097860071624567","9395.00","9379.00","-16.00","-0.00170303352847","2022-02-09T00:00:00.000"
"142","Tolland","2022","40491037.00","40873535.00","382498.00","0.0094464856506392","14838.00","14713.00","-125.00","-0.00842431594555","2022-01-27T00:00:00.000"
"143","Torrington","2022","100262033.00","99110263.00","-1151770.00","-0.0114875987004971","34044.00","35422.00","1378.00","0.04047702972624","2022-02-10T00:00:00.000"
"144","Trumbull","2022","130771650.00","134223848.00","3452198.00","0.0263986728010238","36827.00","36600.00","-227.00","-0.00616395579330","2022-02-14T00:00:00.000"
"145","Union","2022","2878489.00","2823901.00","-54588.00","-0.0189641162429316","839.00","839.00","0.00","0.00000000000000","2022-02-02T00:00:00.000"
"146","Vernon","2022","74844137.00","74563266.00","-280871.00","-0.0037527455223380","29359.00","30215.00","856.00","0.02915630641371","2022-01-13T00:00:00.000"
"147","Voluntown","2022","6940636.00","6986108.00","45472.00","0.0065515609808669","2543.00","2567.00","24.00","0.00943767204090","2022-02-10T00:00:00.000"
