"race","precinct","legislative_district","county_council_district","congressional_district","party","candidate","sumofcount"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2551","47","7","9","NP","Registered Voters","411.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2551","47","7","9","NP","REJECTED","118.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2551","47","7","9","NP","Times Blank Voted","21.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2551","47","7","9","NP","Times Counted","229.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2551","47","7","9","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2700","47","7","9","NP","APPROVED","38.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2700","47","7","9","NP","Registered Voters","175.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2700","47","7","9","NP","REJECTED","64.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2700","47","7","9","NP","Times Blank Voted","5.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2700","47","7","9","NP","Times Counted","107.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2700","47","7","9","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2701","47","7","9","NP","APPROVED","77.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2701","47","7","9","NP","Registered Voters","402.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2701","47","7","9","NP","REJECTED","110.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2701","47","7","9","NP","Times Blank Voted","12.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2701","47","7","9","NP","Times Counted","199.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2701","47","7","9","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2723","47","7","9","NP","APPROVED","129.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2723","47","7","9","NP","Registered Voters","362.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2723","47","7","9","NP","REJECTED","160.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2723","47","7","9","NP","Times Blank Voted","17.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2723","47","7","9","NP","Times Counted","306.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2723","47","7","9","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2729","47","7","8","NP","APPROVED","63.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2729","47","7","8","NP","Registered Voters","323.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2729","47","7","8","NP","REJECTED","127.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2729","47","7","8","NP","Times Blank Voted","21.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2729","47","7","8","NP","Times Counted","211.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2729","47","7","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2839","47","7","8","NP","APPROVED","151.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2839","47","7","8","NP","Registered Voters","669.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2839","47","7","8","NP","REJECTED","327.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2839","47","7","8","NP","Times Blank Voted","33.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2839","47","7","8","NP","Times Counted","511.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2839","47","7","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3187","47","7","8","NP","APPROVED","148.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3187","47","7","8","NP","Registered Voters","826.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3187","47","7","8","NP","REJECTED","398.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3187","47","7","8","NP","Times Blank Voted","37.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3187","47","7","8","NP","Times Counted","583.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3187","47","7","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3260","47","7","8","NP","APPROVED","134.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3260","47","7","8","NP","Registered Voters","756.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3260","47","7","8","NP","REJECTED","403.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3260","47","7","8","NP","Times Blank Voted","34.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3260","47","7","8","NP","Times Counted","571.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3260","47","7","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3276","47","7","8","NP","APPROVED","131.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3276","47","7","8","NP","Registered Voters","620.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3276","47","7","8","NP","REJECTED","216.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3276","47","7","8","NP","Times Blank Voted","26.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3276","47","7","8","NP","Times Counted","373.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3276","47","7","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3324","47","7","8","NP","APPROVED","175.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3324","47","7","8","NP","Registered Voters","567.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3324","47","7","8","NP","REJECTED","221.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3324","47","7","8","NP","Times Blank Voted","38.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3324","47","7","8","NP","Times Counted","434.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3324","47","7","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3413","47","7","8","NP","APPROVED","122.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3413","47","7","8","NP","Registered Voters","664.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3413","47","7","8","NP","REJECTED","304.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3413","47","7","8","NP","Times Blank Voted","28.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3413","47","7","8","NP","Times Counted","454.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3413","47","7","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3455","47","7","8","NP","APPROVED","101.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3455","47","7","8","NP","Registered Voters","438.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3455","47","7","8","NP","REJECTED","200.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3455","47","7","8","NP","Times Blank Voted","16.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3455","47","7","8","NP","Times Counted","317.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3455","47","7","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3456","47","7","8","NP","APPROVED","120.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3456","47","7","8","NP","Registered Voters","663.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3456","47","7","8","NP","REJECTED","287.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3456","47","7","8","NP","Times Blank Voted","33.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3456","47","7","8","NP","Times Counted","440.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3456","47","7","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3585","47","7","8","NP","APPROVED","62.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3585","47","7","8","NP","Registered Voters","292.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3585","47","7","8","NP","REJECTED","109.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3585","47","7","8","NP","Times Blank Voted","11.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3585","47","7","8","NP","Times Counted","182.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3585","47","7","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3591","47","7","8","NP","APPROVED","72.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3591","47","7","8","NP","Registered Voters","445.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3591","47","7","8","NP","REJECTED","191.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3591","47","7","8","NP","Times Blank Voted","17.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3591","47","7","8","NP","Times Counted","280.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-3591","47","7","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AVALON","30","7","9","NP","APPROVED","81.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AVALON","30","7","9","NP","Registered Voters","374.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AVALON","30","7","9","NP","REJECTED","150.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AVALON","30","7","9","NP","Times Blank Voted","16.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AVALON","30","7","9","NP","Times Counted","247.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AVALON","30","7","9","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AVONDALE","45","3","8","NP","APPROVED","69.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AVONDALE","45","3","8","NP","Registered Voters","306.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AVONDALE","45","3","8","NP","REJECTED","133.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AVONDALE","45","3","8","NP","Times Blank Voted","14.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AVONDALE","45","3","8","NP","Times Counted","216.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AVONDALE","45","3","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BACUS","45","3","8","NP","APPROVED","123.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BACUS","45","3","8","NP","Registered Voters","489.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BACUS","45","3","8","NP","REJECTED","208.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BACUS","45","3","8","NP","Times Blank Voted","17.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BACUS","45","3","8","NP","Times Counted","348.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BACUS","45","3","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BAKER","34","8","7","NP","APPROVED","165.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BAKER","34","8","7","NP","Registered Voters","532.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BAKER","34","8","7","NP","REJECTED","170.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BAKER","34","8","7","NP","Times Blank Voted","56.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BAKER","34","8","7","NP","Times Counted","391.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BAKER","34","8","7","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BARCLAY","5","3","8","NP","APPROVED","79.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BARCLAY","5","3","8","NP","Registered Voters","276.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BARCLAY","5","3","8","NP","REJECTED","103.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BARCLAY","5","3","8","NP","Times Blank Voted","17.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BARCLAY","5","3","8","NP","Times Counted","199.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BARCLAY","5","3","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 05-0239","5","9","8","NP","APPROVED","91.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 05-0239","5","9","8","NP","Registered Voters","514.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 05-0239","5","9","8","NP","REJECTED","229.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 05-0239","5","9","8","NP","Times Blank Voted","31.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 05-0239","5","9","8","NP","Times Counted","351.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 05-0239","5","9","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 05-2407","5","9","8","NP","APPROVED","165.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 05-2407","5","9","8","NP","Registered Voters","790.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 05-2407","5","9","8","NP","REJECTED","387.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 05-2407","5","9","8","NP","Times Blank Voted","39.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 05-2407","5","9","8","NP","Times Counted","591.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 05-2407","5","9","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 05-2413","5","9","8","NP","APPROVED","80.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 05-2413","5","9","8","NP","Registered Voters","437.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 05-2413","5","9","8","NP","REJECTED","234.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 05-2413","5","9","8","NP","Times Blank Voted","16.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 05-2413","5","9","8","NP","Times Counted","330.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 05-2413","5","9","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 31-3521","31","9","8","NP","APPROVED","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 31-3521","31","9","8","NP","Registered Voters","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 31-3521","31","9","8","NP","REJECTED","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 31-3521","31","9","8","NP","Times Blank Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 31-3521","31","9","8","NP","Times Counted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 31-3521","31","9","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 47-0240","47","9","8","NP","APPROVED","54.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 47-0240","47","9","8","NP","Registered Voters","372.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 47-0240","47","9","8","NP","REJECTED","160.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 47-0240","47","9","8","NP","Times Blank Voted","27.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 47-0240","47","9","8","NP","Times Counted","241.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 47-0240","47","9","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 47-3310","47","9","8","NP","APPROVED","82.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 47-3310","47","9","8","NP","Registered Voters","458.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 47-3310","47","9","8","NP","REJECTED","216.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 47-3310","47","9","8","NP","Times Blank Voted","19.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 47-3310","47","9","8","NP","Times Counted","317.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 47-3310","47","9","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 47-3463","47","9","8","NP","APPROVED","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 47-3463","47","9","8","NP","Registered Voters","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 47-3463","47","9","8","NP","REJECTED","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 47-3463","47","9","8","NP","Times Blank Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 47-3463","47","9","8","NP","Times Counted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 47-3463","47","9","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 47-3520","47","7","8","NP","APPROVED","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 47-3520","47","7","8","NP","Registered Voters","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 47-3520","47","7","8","NP","REJECTED","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 47-3520","47","7","8","NP","Times Blank Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 47-3520","47","7","8","NP","Times Counted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","B-D 47-3520","47","7","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BEA 41-0099","41","6","8","NP","APPROVED","69.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BEA 41-0099","41","6","8","NP","Registered Voters","213.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BEA 41-0099","41","6","8","NP","REJECTED","102.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BEA 41-0099","41","6","8","NP","Times Blank Voted","16.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BEA 41-0099","41","6","8","NP","Times Counted","187.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BEA 41-0099","41","6","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BEAR CREEK","45","3","8","NP","APPROVED","98.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BEAR CREEK","45","3","8","NP","Registered Voters","418.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BEAR CREEK","45","3","8","NP","REJECTED","189.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BEAR CREEK","45","3","8","NP","Times Blank Voted","28.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BEAR CREEK","45","3","8","NP","Times Counted","315.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BEAR CREEK","45","3","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BEL 41-0011","41","9","8","NP","APPROVED","59.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BEL 41-0011","41","9","8","NP","Registered Voters","306.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BEL 41-0011","41","9","8","NP","REJECTED","84.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BEL 41-0011","41","9","8","NP","Times Blank Voted","24.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BEL 41-0011","41","9","8","NP","Times Counted","167.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BEL 41-0011","41","9","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BEL 41-0101","41","9","8","NP","APPROVED","138.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","BEL 41-0101","41","9","8","NP","Registered Voters","506.00"
