"race","precinct","legislative_district","county_council_district","congressional_district","party_preference","candidate","sumofcount"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0203","41","6","8","NP","Write-in","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0203","41","6","8","Rep","Steve Litzow","214.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0205","41","6","8","Dem","Randy Gordon","73.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0205","41","6","8","NP","Registered Voters","264.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0205","41","6","8","NP","Times Blank Voted","14.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0205","41","6","8","NP","Times Counted","211.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0205","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0205","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0205","41","6","8","Rep","Steve Litzow","124.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0206","41","6","8","Dem","Randy Gordon","227.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0206","41","6","8","NP","Registered Voters","677.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0206","41","6","8","NP","Times Blank Voted","34.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0206","41","6","8","NP","Times Counted","473.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0206","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0206","41","6","8","NP","Write-in","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0206","41","6","8","Rep","Steve Litzow","211.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0210","41","6","8","Dem","Randy Gordon","148.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0210","41","6","8","NP","Registered Voters","414.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0210","41","6","8","NP","Times Blank Voted","17.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0210","41","6","8","NP","Times Counted","322.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0210","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0210","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0210","41","6","8","Rep","Steve Litzow","157.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0211","41","6","8","Dem","Randy Gordon","190.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0211","41","6","8","NP","Registered Voters","392.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0211","41","6","8","NP","Times Blank Voted","6.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0211","41","6","8","NP","Times Counted","315.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0211","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0211","41","6","8","NP","Write-in","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0211","41","6","8","Rep","Steve Litzow","118.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0219","41","6","8","Dem","Randy Gordon","233.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0219","41","6","8","NP","Registered Voters","648.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0219","41","6","8","NP","Times Blank Voted","35.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0219","41","6","8","NP","Times Counted","417.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0219","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0219","41","6","8","NP","Write-in","3.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0219","41","6","8","Rep","Steve Litzow","146.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0220","41","6","8","Dem","Randy Gordon","157.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0220","41","6","8","NP","Registered Voters","422.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0220","41","6","8","NP","Times Blank Voted","12.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0220","41","6","8","NP","Times Counted","334.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0220","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0220","41","6","8","NP","Write-in","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0220","41","6","8","Rep","Steve Litzow","164.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0305","41","9","8","Dem","Randy Gordon","146.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0305","41","9","8","NP","Registered Voters","416.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0305","41","9","8","NP","Times Blank Voted","21.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0305","41","9","8","NP","Times Counted","309.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0305","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0305","41","9","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0305","41","9","8","Rep","Steve Litzow","142.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0333","41","9","8","Dem","Randy Gordon","78.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0333","41","9","8","NP","Registered Voters","205.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0333","41","9","8","NP","Times Blank Voted","5.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0333","41","9","8","NP","Times Counted","158.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0333","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0333","41","9","8","NP","Write-in","2.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0333","41","9","8","Rep","Steve Litzow","73.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0408","41","6","8","Dem","Randy Gordon","59.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0408","41","6","8","NP","Registered Voters","208.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0408","41","6","8","NP","Times Blank Voted","5.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0408","41","6","8","NP","Times Counted","160.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0408","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0408","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0408","41","6","8","Rep","Steve Litzow","96.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0460","41","9","8","Dem","Randy Gordon","213.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0460","41","9","8","NP","Registered Voters","486.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0460","41","9","8","NP","Times Blank Voted","13.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0460","41","9","8","NP","Times Counted","387.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0460","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0460","41","9","8","NP","Write-in","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0460","41","9","8","Rep","Steve Litzow","160.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0472","41","9","8","Dem","Randy Gordon","176.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0472","41","9","8","NP","Registered Voters","503.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0472","41","9","8","NP","Times Blank Voted","20.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0472","41","9","8","NP","Times Counted","404.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0472","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0472","41","9","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0472","41","9","8","Rep","Steve Litzow","208.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0475","41","9","8","Dem","Randy Gordon","92.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0475","41","9","8","NP","Registered Voters","255.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0475","41","9","8","NP","Times Blank Voted","13.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0475","41","9","8","NP","Times Counted","186.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0475","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0475","41","9","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0475","41","9","8","Rep","Steve Litzow","81.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0505","41","9","8","Dem","Randy Gordon","83.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0505","41","9","8","NP","Registered Voters","245.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0505","41","9","8","NP","Times Blank Voted","13.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0505","41","9","8","NP","Times Counted","202.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0505","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0505","41","9","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0505","41","9","8","Rep","Steve Litzow","106.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0658","41","9","8","Dem","Randy Gordon","154.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0658","41","9","8","NP","Registered Voters","392.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0658","41","9","8","NP","Times Blank Voted","12.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0658","41","9","8","NP","Times Counted","295.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0658","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0658","41","9","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0658","41","9","8","Rep","Steve Litzow","129.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0815","41","9","8","Dem","Randy Gordon","138.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0815","41","9","8","NP","Registered Voters","381.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0815","41","9","8","NP","Times Blank Voted","14.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0815","41","9","8","NP","Times Counted","258.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0815","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0815","41","9","8","NP","Write-in","2.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0815","41","9","8","Rep","Steve Litzow","104.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-1052","41","9","8","Dem","Randy Gordon","157.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-1052","41","9","8","NP","Registered Voters","457.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-1052","41","9","8","NP","Times Blank Voted","13.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-1052","41","9","8","NP","Times Counted","345.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-1052","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-1052","41","9","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-1052","41","9","8","Rep","Steve Litzow","175.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-1235","41","9","8","Dem","Randy Gordon","146.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-1235","41","9","8","NP","Registered Voters","326.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-1235","41","9","8","NP","Times Blank Voted","11.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-1235","41","9","8","NP","Times Counted","253.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-1235","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-1235","41","9","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-1235","41","9","8","Rep","Steve Litzow","96.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2386","41","9","8","Dem","Randy Gordon","111.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2386","41","9","8","NP","Registered Voters","284.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2386","41","9","8","NP","Times Blank Voted","13.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2386","41","9","8","NP","Times Counted","219.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2386","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2386","41","9","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2386","41","9","8","Rep","Steve Litzow","95.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2428","41","6","8","Dem","Randy Gordon","241.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2428","41","6","8","NP","Registered Voters","659.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2428","41","6","8","NP","Times Blank Voted","19.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2428","41","6","8","NP","Times Counted","447.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2428","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2428","41","6","8","NP","Write-in","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2428","41","6","8","Rep","Steve Litzow","186.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2429","41","6","8","Dem","Randy Gordon","225.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2429","41","6","8","NP","Registered Voters","671.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2429","41","6","8","NP","Times Blank Voted","35.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2429","41","6","8","NP","Times Counted","507.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2429","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2429","41","6","8","NP","Write-in","2.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2429","41","6","8","Rep","Steve Litzow","245.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2447","41","6","8","Dem","Randy Gordon","192.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2447","41","6","8","NP","Registered Voters","510.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2447","41","6","8","NP","Times Blank Voted","21.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2447","41","6","8","NP","Times Counted","401.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2447","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2447","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2447","41","6","8","Rep","Steve Litzow","188.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2554","41","9","8","Dem","Randy Gordon","251.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2554","41","9","8","NP","Registered Voters","635.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2554","41","9","8","NP","Times Blank Voted","35.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2554","41","9","8","NP","Times Counted","483.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2554","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2554","41","9","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2554","41","9","8","Rep","Steve Litzow","197.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2556","41","9","8","Dem","Randy Gordon","172.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2556","41","9","8","NP","Registered Voters","647.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2556","41","9","8","NP","Times Blank Voted","17.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2556","41","9","8","NP","Times Counted","521.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2556","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2556","41","9","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2556","41","9","8","Rep","Steve Litzow","332.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2621","41","6","8","Dem","Randy Gordon","174.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2621","41","6","8","NP","Registered Voters","474.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2621","41","6","8","NP","Times Blank Voted","24.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2621","41","6","8","NP","Times Counted","323.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2621","41","6","8","NP","Times Over Voted","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2621","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2621","41","6","8","Rep","Steve Litzow","124.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2714","41","9","8","Dem","Randy Gordon","239.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2714","41","9","8","NP","Registered Voters","696.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2714","41","9","8","NP","Times Blank Voted","18.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2714","41","9","8","NP","Times Counted","524.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2714","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2714","41","9","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2714","41","9","8","Rep","Steve Litzow","267.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2719","41","9","8","Dem","Randy Gordon","176.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2719","41","9","8","NP","Registered Voters","493.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2719","41","9","8","NP","Times Blank Voted","26.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2719","41","9","8","NP","Times Counted","384.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2719","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2719","41","9","8","NP","Write-in","2.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2719","41","9","8","Rep","Steve Litzow","180.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2782","41","6","8","Dem","Randy Gordon","72.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2782","41","6","8","NP","Registered Voters","220.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2782","41","6","8","NP","Times Blank Voted","4.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2782","41","6","8","NP","Times Counted","131.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2782","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2782","41","6","8","NP","Write-in","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2782","41","6","8","Rep","Steve Litzow","54.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2812","41","9","8","Dem","Randy Gordon","124.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2812","41","9","8","NP","Registered Voters","320.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2812","41","9","8","NP","Times Blank Voted","12.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2812","41","9","8","NP","Times Counted","236.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2812","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2812","41","9","8","NP","Write-in","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2812","41","9","8","Rep","Steve Litzow","99.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2906","41","9","8","Dem","Randy Gordon","161.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2906","41","9","8","NP","Registered Voters","446.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2906","41","9","8","NP","Times Blank Voted","13.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2906","41","9","8","NP","Times Counted","336.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2906","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2906","41","9","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2906","41","9","8","Rep","Steve Litzow","162.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2935","41","9","8","Dem","Randy Gordon","280.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2935","41","9","8","NP","Registered Voters","833.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2935","41","9","8","NP","Times Blank Voted","34.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2935","41","9","8","NP","Times Counted","598.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2935","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2935","41","9","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2935","41","9","8","Rep","Steve Litzow","284.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2936","41","9","8","Dem","Randy Gordon","246.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2936","41","9","8","NP","Registered Voters","648.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2936","41","9","8","NP","Times Blank Voted","29.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2936","41","9","8","NP","Times Counted","482.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2936","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2936","41","9","8","NP","Write-in","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2936","41","9","8","Rep","Steve Litzow","206.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2943","41","9","8","Dem","Randy Gordon","270.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2943","41","9","8","NP","Registered Voters","743.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2943","41","9","8","NP","Times Blank Voted","32.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2943","41","9","8","NP","Times Counted","565.00"
