"job_title","department","service_area","earnings","meta_row_index","meta_row_id"
"POLICE OFFICER","Investigations","Police Services","94148.09","396","a67007be00fb7f334eeaa3811527997b7debf86b"
"SR MANAGER, CUSTOMER SUPPORT","Utilities Customer Connections","Utility Services","94124.9099999999","397","4c3726f4f1be92a07a326ebf5e502b33e586e9e6"
"SR PLANNER, CITY","Comm Dev & Neighborhood Svcs","Planning, Dev & Transportation","94092.2300000002","398","500ae12111dd47d3e936e1cdb837991129813fe1"
"DEPUTY DIRECTOR, UTILITIES","Ut Water Systems Engr Div","Utility Services","93865.7000000001","399","801d37af03227c3943a85dd101fb9beecf2caa0c"
"POLICE OFFICER","Community and Special Services","Police Services","93820.7199999999","400","044739f723f4816d1c90f46afc1f2978df8afb94"
"FIREFIGHTER II - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","93704.3300000001","401","6f92733addb44ea731d610cd06816461b45b8279"
"POLICE OFFICER","Investigations","Police Services","93697.45","402","c9412527dc0592f2468d1ff45abaf8a7e672af90"
"POLICE OFFICER","Patrol","Police Services","93691.05","403","7085254cabe9b82835bd65c44323a3f0f4ec7f71"
"HUMAN RESOURCES MANAGER","Library District","Library District","93678.4999999999","404","d2eb2e5f24b7036a717dd8cbb95a011ea7fe99af"
"CIVIL ENGINEER II","Ut Water UTL Engineering Div","Utility Services","93675.4399999998","405","08496da1f769fe76374bd93055dedd2354e69547"
"FIREFIGHTER II - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","93619.4200000001","406","d0f73c0fd0de6f6a1a8016a7d06a072d88d2a58b"
"FIREFIGHTER II - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","93581.9400000001","407","a64e6e535e2bc3a0b6b642bc3709e4bf1ec49fa7"
"FIREFIGHTER II - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","93485.8400000001","408","cd572fb879c0f67061bec38c7e9c33e84f4674b7"
"SUBSTATION SPECIALIST","Ut Elec System Design & IT Div","Utility Services","93482.4400000001","409","3c35318fd7fc760c312ee0d0bcc7682ed6c1ac79"
"POLICE OFFICER","Community and Special Services","Police Services","93462.34","410","e3254b3509756e059be18bfe922bf5e887edfc79"
"SR TECHNICAL PROJECT MANAGER","Ut Standards Engineering Div","Utility Services","93413.78","411","b69aea6b1fa66521d5612f0ae67b02ab47de317a"
"FIREFIGHTER II - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","93406.3000000001","412","bf80de3409d6ad608a59f93838c800c6a2425ef0"
"FIREFIGHTER II - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","93392.3400000001","413","81556140f0bfc96794f443db51cf7894c46164d4"
"POLICE OFFICER","Investigations","Police Services","93314.44","414","30a53fdc4fbc16174ff0b58be81d7f1fe4e66a9e"
"SR SPECIALIST, SCIENCES","Ut Enviro Regulatory Affairs","Utility Services","93234.38","415","71c6eb0b1bb9705fa0081bfea9295d502a473c72"
"ELECTRIC SYSTEMS OPERATOR","Ut Smart Grid & System Ops Div","Utility Services","93194.57","416","545fd7b92a1ea7e7236bf1d6347a79084fe0d764"
"ELECTRIC LINEWORKER","Electric Field Services","Utility Services","93157.56","417","8072a9b610ca7d504cf8f523ea6b0f5ef0360558"
"CIVIL ENGINEER II","Engineering","Planning, Dev & Transportation","93114.66999999969","418","3e08d0b474af628e0719cd2c7c3a3ea593e54992"
"FIREFIGHTR DRIVER/OP-56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","93047.766","419","7b28a0e18c38cfa47eada0bda33ff18571db5403"
"MANAGER, ENVIRON PLANNING","Natural Areas","Community Services","93029.26000000001","420","bcbd7bff34bb7795ce297b3f40e9bf4db58952e3"
"LEAD INSPECTOR, CONSTRUCTION","Engineering","Planning, Dev & Transportation","93008.2600000002","421","7d47391958ce0eaf471e4379c5383bc9f989353e"
"ASSISTANT CITY ATTORNEY II","City Attorney's Office","Legal Services","92998.0","422","7314e3f6abbd449ea6b7f7ee81a9f286752be35c"
"POLICE OFFICER","Patrol","Police Services","92914.76000000001","423","b866b9ff490c4d7e571f0ae45eff19818f7a3e50"
"POLICE OFFICER","Patrol","Police Services","92891.64","424","0846fce62d990551329dc1acc4070dd3ab5c90ed"
"POLICE OFFICER","Investigations","Police Services","92843.1199999999","425","9fe20cc81ffcd6a15362db255ab9184063be233d"
"POLICE OFFICER","Investigations","Police Services","92829.78","426","ffd28fbc9a37a03840791c2ec7ac4785a7c4e1e7"
"FIREFIGHTER II - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","92795.8200000001","427","fa2fa975630f390f44d0792c282d290af82cd2ab"
"FIREFIGHTER II - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","92792.0300000001","428","616b38f24c669c6d449fc01a37f6c57c86b421ef"
"FIREFIGHTER II - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","92705.2000000001","429","06066d07e7bae80f4e17883ce56d385f5ab597c9"
"FIREFIGHTER II - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","92686.7800000001","430","9ea9a9408922bd6d093ed51b6b52db82abba4be0"
"ANALYST II, APPS SOFTWARE","Information Technology","Information & Employee Svcs","92668.95999999999","431","360b3a9eb045f75f0bfb926e38dd3e813513fb8f"
"POLICE OFFICER","Patrol","Police Services","92661.81","432","f6f9a37fb34d376e8dafc9c9472e1d4f5f0484c3"
"SUPERVISOR, CIVIL ENGINEERING","Engineering","Planning, Dev & Transportation","92599.1300000001","433","dc62cb6d6aba6b3806555a7337bd7e74daaeabc7"
"FIREFIGHTER II - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","92587.8500000001","434","200edba65d6d836f0a2eefe38d472cf778d73de4"
"POLICE OFFICER","Patrol","Police Services","92512.67","435","1b36c18bbd488598521816ab0919f67e9632986e"
"POLICE OFFICER","Patrol","Police Services","92492.33","436","d54ff6f1fdcc205f697566bcceee3f93f7032bb1"
"FIREFIGHTER II - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","92437.2400000001","437","6c60fbfe507a8d44cea004d9f422ec479819655f"
"SR SUPERVISOR, MAINTENANCE","Ut Water Production Div","Utility Services","92274.6699999999","438","163f3415db126d7502a43cfb159880a8b0298201"
"POLICE OFFICER","Patrol","Police Services","92271.98999999999","439","4ca93012ed065f32e9ae80b8673e4d2890e41bb6"
"POLICE OFFICER","Patrol","Police Services","92268.58","440","29938a16b17ff923710bca944831722704b11b9c"
"CIVIL ENGINEER II","Engineering","Planning, Dev & Transportation","92178.54","441","1743c8aa86c7a031dca260886dd349634ba39517"
"MECHANICAL ENGINEER III","Utilities Customer Connections","Utility Services","92039.0499999998","442","c1452297a13b2937c63b5b1367b030a560445e0b"
"MANAGER, WATER FIELD OPS","Ut Drainage System Div","Utility Services","92035.0","443","91091ccd499ba1aa052a3292270b9fe911bcd802"
"LEAD ANALYST, UTILITY RATE","Utility Financial Operations","Utility Services","92020.7999999999","444","0c12a77ed10bd4f3f76c2dd21f5dad0980a6c867"
"SR MANAGER, ACCOUNTING","Finance Administration","Financial Services","91986.3000000001","445","ad25298ad9ddcc01ae9533b8635c7a6493b35fc3"
"POLICE OFFICER","Investigations","Police Services","91936.29000000001","446","544186d10b57b0c75891f264428160da9cc6283d"
"FIREFIGHTER II - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","91919.2600000001","447","ee368c3ce612239b39ecc0a9b06edc62fe2e15b5"
"POLICE OFFICER","Patrol","Police Services","91858.28","448","b6d24592820019f75b23b57f292f83d0a1ac38b7"
"PROJECT MANAGER/DDA","Downtown Development Authority","Downtown Development Authority","91695.7700000004","449","608a93aaaa7096b63712aae20f7cc417bb04b8fc"
"POLICE OFFICER","Patrol","Police Services","91695.38","450","a4b753f76f846bc1e2aacc99744090a73422c369"
"FIREFIGHTER II - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","91657.5600000001","451","7088e5e96ec8b35f8470bb88fd49b92a7d0ed41f"
"CIVIL ENGINEER II","Ut Water UTL Engineering Div","Utility Services","91556.6200000002","452","1fff8c117537427d94af550db971c83cc87a618e"
"MANAGER, FP&A","Utility Financial Operations","Utility Services","91541.44999999981","453","8c37815483ffe96dd62663b6796cfbb7ccf45a1f"
"ELECTRIC LINEWORKER","Electric Field Services","Utility Services","91539.13000000009","454","c8038722434b5538cebe379d954140bb005e37f2"
"MANAGER, CIVIL ENGINEERING","Engineering","Planning, Dev & Transportation","91484.67","455","b70b6ef4f822f22e5cd9b7d26cf1efa0c9cb8dcd"
"CIVIL ENGINEER II","Ut Water UTL Engineering Div","Utility Services","91478.08","456","051a1dc4dda9aa52ba39fc49e1018ade5534d0fa"
"POLICE OFFICER","Patrol","Police Services","91470.78","457","233b4253789e9ed3118017f091b9b03be60af2ad"
"POLICE OFFICER","Patrol","Police Services","91400.31","458","a4a81161574e3b67ef000d9d03e39872c40111ed"
"MANAGER, WATER FIELD OPS","Ut Distribution System Div","Utility Services","91399.36","459","1e6cc3028164c96cd66419c2c31d5aeeeae46681"
"DIR, WORKFORCE SAFETY SECURITY","Safety, Security, & Risk Mgmt.","Financial Services","91361.1099999999","460","980f37970e7725e55803b4027ac18ccf716d15b9"
"ENGINEER II, SYSTEMS","Information Technology","Information & Employee Svcs","91355.11","461","f3c230545257bd393bc4578778799ca6109e3f17"
"FIREFIGHTER II - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","91319.4500000001","462","db6de2cfbe590c7e16db8f61aa1ce025b80141e6"
"ELECTRICAL SVCS SPRVSR-INACTIV","Electric Field Services","Utility Services","91307.63","463","21c108d705f0e72ad5230c7fb98ec42770d6aaeb"
"SR MANAGER, PARKS","Parks","Community Services","91303.9999999998","464","28bd8585be73f0387a49860bb654185588b19476"
"ASSISTANT CITY ATTORNEY II","City Attorney's Office","Legal Services","91300.11","465","0ae81b61e4ba363daab0272b57e23554cd831655"
"ENGINEER II, SYSTEMS","Information Technology","Information & Employee Svcs","91267.26","466","1f11541abeec9388814673a3a569fd1d5a010cf8"
"CREW CHIEF, TRANSPORTATION OPS","Streets","Planning, Dev & Transportation","91240.8399999997","467","9954f13ea7279456f371363139fb28d497229b8c"
"POLICE OFFICER","Patrol","Police Services","91165.48","468","b172ef6db7a1c086cf9a8b72ea01c92e50a0d288"
"SR SUPERVISOR, EMERGENCY COMMS","Police Information Services","Police Services","91074.69","469","dbacf1f158424db1208034acba6944d5feb81d16"
"POLICE OFFICER","Investigations","Police Services","91031.17","470","4a175bf9f2bde104d54d1fcd7438298fe763f8df"
"POLICE OFFICER","Patrol","Police Services","90990.22","471","4b157c21e94589b059a039ce18c70dead0fd40c2"
"ELECTRICAL ENGINEER III","Ut Smart Grid & System Ops Div","Utility Services","90902.05","472","f82ca955e4862e45c5971c28212c6b8521dc8cf9"
"FIREFIGHTER II - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","90813.0100000001","473","9530755652a477d436654df208dc0e8e7d80a536"
"LINEWRKR EQUIP SPEC-INACTIVE","Electric Field Services","Utility Services","90764.0199999996","474","a7459ae6ada385301e01a62610c26d56698f74c5"
"FIREFIGHTER II - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","90747.51","475","9e5e58a385bcb36713f869113f76dd790ebf05bf"
"POLICE OFFICER","Patrol","Police Services","90698.02","476","9bb61f0e794fe49262042bfa3956e4ba760cc374"
"MANAGER, TRANSIT PLANNING","Transfort / Parking Services","Planning, Dev & Transportation","90672.48","477","b4fb10084e801b5daec2cb6b2a35da475530561c"
"MANAGER, GIS","Information Technology","Information & Employee Svcs","90641.63","478","c8ed678233a834863ac1c971aa8be3441f4872e7"
"TECHNICIAN II, ELECTRIC DIST","Ut Smart Grid & System Ops Div","Utility Services","90636.3400000003","479","7b6ed59d3671753519825b55c33106a6891be96a"
"MECHANICAL ENGINEER III","Utilities Customer Connections","Utility Services","90625.8599999998","480","8b2ccbe96030915173178cae5ec7983eb049064a"
"MANAGER, ECON SUSTAINABILITY","Economic Health Office","Sustainability Services","90610.12999999989","481","543fa07ffcabc38055d858057d9ebaaebb96e8e5"
"ELECTRICAL ENGINEER II","Ut Elec System Design & IT Div","Utility Services","90597.8599999998","482","c60ec5777d6f2d5111ff6c27114b1955181e5bba"
"ANALYST II, APPS SOFTWARE","Information Technology","Information & Employee Svcs","90591.2","483","dbc84418d5425c58b1b32736a67901518c95fc6c"
"POLICE OFFICER","Community and Special Services","Police Services","90513.47","484","cff36d0c040389be034499288bba291cfa20416e"
"ELECTRICAL ENGINEER II","Ut Standards Engineering Div","Utility Services","90500.97","485","219aecfcfbfd5a6fcee39e4b77d9d4bc49a3ad8d"
"POLICE OFFICER","Community and Special Services","Police Services","90431.51000000001","486","2cbfcdc84fff721a7e281c3016b6a004e7eb4d33"
"INFORMATION TECHNOLOGY MANAGER","Library District","Library District","90372.15","487","df06c8d9612c7871cb52d51c16ef41df873ab6b4"
"FINANCE AND BUDGET SUPERVISOR","Poudre Fire Authority","Poudre Fire Authority","90326.3600000004","488","b06b32ad70274d76f41ef37de1612ec42cc32245"
"SR PROJECT MANAGER","Operation Services","Information & Employee Svcs","90270.67","489","314bcde8d3fdbfd0db1ca9ae8ef184e08bfbcad1"
"CIVIL ENGINEER II","Engineering","Planning, Dev & Transportation","90181.20000000001","490","89090cb3b562f63b83db0543ec0bf352475e6c80"
"MANAGER, TALENT DEVELOPMENT","Human Resources","Information & Employee Svcs","90095.3","491","dd92b0c5a729e76227539482f260987996b8e186"
"FIREFIGHTER I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","90072.96","492","5ea823beafdd4c0c9e42b93264e4d7e45017df0a"
"MANAGER, ENVIRON PLANNING","Natural Areas","Community Services","90045.06","493","7ca1721245edcea9bbfced9da3581e3200b411fc"
"SR SUPERVISOR, EMERGENCY COMMS","Police Information Services","Police Services","90044.89","494","4b4c190c638ec21603d44c740bca21c0970a404a"
"SPECIALIST, SCIENCES","Ut Water Quality Services Div","Utility Services","90020.7999999999","495","3444d6ac77e3e14d8d6732deace06c691e15a091"
"MANAGER, WATER FIELD OPS","Ut Water Meters Div","Utility Services","90019.5000000001","496","29cb055a460bbea632ad70c1042cec424dfdda48"
"POLICE LIEUTENANT","Investigations","Police Services","89895.87","497","662d548df327776d72faabf40fb7d0a8ea3a92af"
"LEAD SPCLST,OCCPTNL HLTH-INACT","Safety, Security, & Risk Mgmt.","Financial Services","89882.04999999999","498","d3c7dc56b498b0dea2d9a6980c4d5a5455cef8db"
"SR MANAGER, CULTURAL SERVICES","Cultural Services","Community Services","89859.05000000019","499","f810002ab352ede86f49aa990bb519e04a8f415f"
"POLICE OFFICER","Community and Special Services","Police Services","89788.4399999999","500","94c57ec6e369897685ed64a91b35de2414749d8c"
"POLICE OFFICER","Patrol","Police Services","89722.3","501","c3ae8cfbc24333b03bfcb65dbf8abb859ddaf299"
"FIREFIGHTER I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","89605.9000000001","502","9d38196810ead2761b6a272e63cf0505222c4da9"
"LEAD SPC, EMPLOYEE RELATIONS","City Manager's Office","Executive Services","89565.1999999999","503","6c3f982ec36284acf29fcbbd71438675f2b0a256"
"CIVIL ENGINEER III","Utilities Strategic Planning","Utility Services","89524.66000000019","504","0e58bfc7a8ab5744cbfc029eb589c369db3e8d6f"
"POLICE OFFICER","Investigations","Police Services","89465.81","505","389058238b2233f92a2f207e51901169dec3b402"
"POLICE OFFICER","Patrol","Police Services","89427.26000000001","506","ef6dbbbf1673d1c3c4f0bb58ab55e35e2f001c4c"
"POLICE OFFICER","Community and Special Services","Police Services","89353.05","507","8850f2c4b66489905c0377a1946499cd954d5ef3"
"SR FACILITIES PROJECT MANAGER","Operation Services","Information & Employee Svcs","89269.7900000003","508","df9c2a8f648f75c5d89062245f9543b603e7a759"
"POLICE OFFICER","Patrol","Police Services","89253.87","509","c1a07d1e79fcb59a8b1b7955bf67c3c96fe2d957"
"SR SPECIALIST, SCIENCES","Ut Enviro Regulatory Affairs","Utility Services","89069.72","510","e23345e01cc496903e14c6106fb6074620b08b77"
"POLICE OFFICER","Community and Special Services","Police Services","89003.84","511","2fb182fa638da1a53cbce276ca860b3073de0a20"
"ANALYST II, APPS SOFTWARE","Information Technology","Information & Employee Svcs","89003.8","512","3d5bd20f6297608b898f991cb7fe5b626255d70e"
"POLICE OFFICER","Patrol","Police Services","89003.64","513","8af329dd6bfe5b63a6db4dbb654aefad410c7007"
"ANALYST II, APPS SOFTWARE","Information Technology","Information & Employee Svcs","88895.12","514","cc744ed879896978c98848e63fc4811817911bc8"
"ENGINEER II, SYSTEMS","Information Technology","Information & Employee Svcs","88799.1100000001","515","92d38c94cc67749b02bbb34e251649f09a72927d"
"FIREFIGHTER I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","88788.05","516","471b237e76438043673df94d69648e6d33181127"
"FIREFIGHTER II - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","88743.55","517","43b65e8b22e3ebe0202de9fe98bf2f99d89a843e"
"CIVIL ENGINEER II","Engineering","Planning, Dev & Transportation","88681.2499999999","518","4103b16e63004ba0fa0141eca7a6c8175e2b9a1e"
"MANAGER, REAL ESTATE","Operation Services","Information & Employee Svcs","88447.73000000001","519","548a397fd2f5f2fa92e461def07f8a09c9bba343"
"FIREFIGHTER 40 HOUR (SPECIAL)","Poudre Fire Authority","Poudre Fire Authority","88447.1199999996","520","1a3b1b2835c40ccd64f550e0cb1181df7601bbeb"
"POLICE OFFICER","Community and Special Services","Police Services","88443.25000000001","521","5971170690fc6536d1be2ccfc862b2c834585301"
"POLICE SERGEANT","Investigations","Police Services","88385.96000000011","522","f1db5b1246f11ac91685c3b8ef51a88675707b0f"
"FIREFIGHTER II - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","88242.63","523","6944b818ff07a1f802495262ce2ffef374496d7e"
"POLICE OFFICER","Patrol","Police Services","88185.41","524","2f4dfd2f172f95158556ed1b5e02b19802cee579"
"CIVIL ENGINEER II","Engineering","Planning, Dev & Transportation","88130.5","525","d2de565831237b0b0c4266a411339d11124394fe"
"POLICE OFFICER","Patrol","Police Services","88116.17","526","38f08aa3539b3b72c21b847942114dc196c0cb04"
"FIREFIGHTR DRIVER/OP-56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","88087.74","527","74ea82dc8a287aa76a7c6104e2739ac944a753a5"
"POLICE OFFICER","Patrol","Police Services","88051.20999999999","528","cdcb1a24c87d7f389adaead020e506a867378478"
"POLICE OFFICER","Patrol","Police Services","88041.61","529","ddc7194d707e63f46cdb7ecea2e786497f9341ab"
"MANAGER, HISTORIC PRESERVATION","Comm Dev & Neighborhood Svcs","Planning, Dev & Transportation","88017.0499999999","530","5acee56ed423c9c9b6c64a3be591fe2fdd924aae"
"SR PROJECT MANAGER","City Manager's Office","Executive Services","87985.7600000001","531","0a6a7d24357981ea1daaa7a9835e0bb7d91e1e01"
"LEAD SPECIALIST, ECON SSTNBLTY","Economic Health Office","Sustainability Services","87972.3","532","f166981db0830d573d029636092e9030a5954521"
"ANALYST II, APPS SOFTWARE","Information Technology","Information & Employee Svcs","87890.49","533","18e2ae98e750a56be6e1a7794ab6afbdf7955c09"
"POLICE OFFICER","Patrol","Police Services","87851.55","534","047669efad216263a46d3645d8476517eec6a828"
"POLICE OFFICER","Patrol","Police Services","87850.8","535","f0ce7c0d6d190bd866fc4f18efbadd8a7cc70d38"
"SR SUPERVISOR, EMERGENCY COMMS","Police Information Services","Police Services","87848.67","536","87b6945f2159b1e0fb1dd8862db056734a6002d5"
"ANALYST II, APPS SOFTWARE","Information Technology","Information & Employee Svcs","87828.66","537","bc7f391809ef288a3b2e06eab9ca3b97e2a54370"
"POLICE OFFICER","Community and Special Services","Police Services","87786.55999999991","538","94b0e98dfc281d282ca5291c4dda7e59ae3975dc"
"SR SPECIALIST, COMMUNICATIONS","Police Administration","Police Services","87756.0","539","b785abeac968b2470339785c1ae6d1cae0c0e8b3"
"CREW CHIEF, WATER FIELD OPS","Ut Drainage System Div","Utility Services","87723.1299999997","540","85dc611993d7d8c6a2880ad56085947ba07c341c"
"POLICE OFFICER","Community and Special Services","Police Services","87694.79000000001","541","0bbf5c0e3172094ae1e4ba4c2738b6c9c72a609b"
"ASSISTANT CITY ATTORNEY II","City Attorney's Office","Legal Services","87680.91","542","318f2fe37edf9c2b21c9297ec34b0fc0322e9664"
"SR PLANNER, CITY","Comm Dev & Neighborhood Svcs","Planning, Dev & Transportation","87586.85999999981","543","456a3ad3d36031c9b5766f00c172ffcb638d798d"
"SR MANAGER, TRANSIT","Transfort / Parking Services","Planning, Dev & Transportation","87499.2999999999","544","485e4e4711cb1d23e42487fb0dc51b623ee0b4d0"
"POLICE OFFICER","Community and Special Services","Police Services","87499.26999999999","545","367f02b3867488deef134d2689c876336ade7a68"
"ANALYST II, APPS SOFTWARE","Information Technology","Information & Employee Svcs","87492.35","546","e1dd5da8718650ac168fe9760b17bc3942f5eccd"
"POLICE OFFICER","Patrol","Police Services","87428.89","547","85338870beaadc28181208d163bc771b86ceae10"
"SR MANAGER, EMERGENCY COMMS","Police Information Services","Police Services","87334.92","548","f29007aab77b21a68be54e3d85b46f49a2e92acc"
"POLICE OFFICER","Patrol","Police Services","87243.11","549","670d8c1c06a2260c9caa4ae659807bdd8953f60a"
"MANAGER, RECREATION","Recreation","Community Services","87205.34","550","82848a0999a376bc03526c35202fa337fdb77696"
"POLICE OFFICER","Patrol","Police Services","87148.5","551","183afd599c448852deb89940ee40f46dcb6e350f"
"POLICE OFFICER","Investigations","Police Services","87127.94","552","56062688a6c89bf6bb31d851e31ba0600b126c9d"
"ANALYST II, APPS SOFTWARE","Information Technology","Information & Employee Svcs","87036.6","553","36968fd1c325d81faddfed79422ec05341181894"
"SR ARCHITECT, LANDSCAPE","Park Planning & Development","Community Services","86996.9999999999","554","6099b26c79a5864b2efe0c86d08ef3ab1a47dbd7"
"POLICE OFFICER","Community and Special Services","Police Services","86993.4799999999","555","9adf7fb3e000284cf6c94e05534455ab113ee43f"
"POLICE OFFICER","Patrol","Police Services","86988.38","556","d50364a406fcc2f04e2784dde7c70fb052e946dd"
"SR MANAGER, INFORMATION SVCS","Police Information Services","Police Services","86931.63","557","02a19d711bb9557f4dee748f3dc61ab5f4761a29"
"POLICE OFFICER","Community and Special Services","Police Services","86928.48999999999","558","3fb5623aa269a9ce136ec7fdd5ff1a9c9791b18e"
"POLICE OFFICER","Investigations","Police Services","86896.95999999999","559","2057a748c2553bb176a8e35402f541a4ab6c47bb"
"CHEMIST","Ut Water Production Div","Utility Services","86818.8900000001","560","67d2195d989fb806277d6a53e31cf396d68fdded"
"MANAGER, VIDEO PRODUCTION","Comm. & Public Involvement","Information & Employee Svcs","86745.2499999997","561","816c3376a8785f4a059212d925414a81162e2199"
"SR PLANNER, TRANSPORTATION","FC Moves","Planning, Dev & Transportation","86730.9","562","80dc587344d84f9240fb7d7f48419ffda5236c79"
"ELECTRIC LINEWORKER","Electric Field Services","Utility Services","86720.1700000001","563","b8c6c01380c68a863f4eec8cf5382f02720ecce7"
"FIREFIGHTER II - 40 HR/WK","Poudre Fire Authority","Poudre Fire Authority","86672.08","564","2e257be0f0cd93141c32625208e4caa3ea097399"
"CREW CHIEF, TRANSPORTATION OPS","Streets","Planning, Dev & Transportation","86653.86999999991","565","1ff3f0f6a171ebd7923a25227cd9e7e7fc7bf368"
"MANAGER, TRANSPORTATION OPS","Streets","Planning, Dev & Transportation","86606.86","566","535feea39cdf1158cf4c044bbf479f358a49141c"
"SR PLANNER, CITY","Comm Dev & Neighborhood Svcs","Planning, Dev & Transportation","86583.4","567","42b460c93bbd1a9db7d1214c2aaca85f38aa2558"
"ANALYST I, APPS SOFTWARE DEV","Information Technology","Information & Employee Svcs","86559.79","568","2c92ca0edf68f29b7dacfa79ecaceebde1fcfa42"
"FIREFIGHTER I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","86535.04","569","74c0bc975e4f64d1c3587d4fa4df4a9ebfe8bc16"
"POLICE OFFICER","Investigations","Police Services","86463.26999999999","570","31a826af5825657b18bb7819f9bf1ff20c636954"
"SR SUPERVISOR, PLANT OPS","Ut Wtr Reclama & Biosolids Div","Utility Services","86425.8899999997","571","9bcff9a5251934a246e845c6e16c3c985994816c"
"ENGINEER I, NETWORK","Broadband","Utility Services","86382.34999999999","572","92c2ceaebc43aa3b62c6a2441cea50ac9733fbd8"
"FLEET MAINTENANCE TECHNICIAN","Poudre Fire Authority","Poudre Fire Authority","86373.2700000002","573","d5ae152c022a5e47ce78e12d0c81231d4cf51d53"
"FIRE SAFETY INSP/PLAN REVIEWER","Poudre Fire Authority","Poudre Fire Authority","86361.5299999998","574","2d9d73f266fc7c25efb3b874259eaa0b01b7bc9d"
"FIREFIGHTER I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","86306.14","575","11195262f34552d6c463adfa1e8de86cbe3b639d"
"MANAGER, RECREATION","Recreation","Community Services","86280.6","576","37286305aa9748324038e36599a6d1c8bc9a90b0"
"ELECTRICAL ENGINEER I","Ut Standards Engineering Div","Utility Services","86233.23999999999","577","6af4ab5a76567de51ffea84db0ac7d2c87a4d9b8"
"ASSISTANT CITY ATTORNEY I","City Attorney's Office","Legal Services","86207.31","578","196563d59111c41e7ac45cba524285b077edf319"
"POLICE OFFICER","Community and Special Services","Police Services","86177.7199999999","579","e4baf60d1b22118b06797537b222de5cc06d6277"
"POLICE OFFICER","Patrol","Police Services","86128.13","580","b06423cd8b11abd3222cb4359edf87c8e1e6c60f"
"FIREFIGHTER I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","86087.93","581","9ff0dfda71a1fd4c79c5fa89363f10b1ba6e946f"
"MANAGER, RECREATION","Recreation","Community Services","86045.6","582","52053ca989088f0135aa5048ba433446eaf4f220"
"FIREFIGHTER I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","85944.35","583","dfff4b932f95b11b22426684ef259a05f99dc442"
"POLICE OFFICER","Patrol","Police Services","85930.95999999999","584","91577143803f1fa5099b45dd60b61dc685db163b"
"WATER ENGINEER II","Ut Water Resources Div","Utility Services","85906.85","585","e9317102d30311a37c259765eb51379ace5197b3"
"WATER ENGINEER II","Ut Water Resources Div","Utility Services","85895.9500000001","586","4e15a738bc8791a9549c708930b1af2e76f96479"
"POLICE OFFICER","Patrol","Police Services","85882.34","587","46fa6f7896452665dc42d1f20a3240df255026b9"
"SR SPECIALIST, SCIENCES","Ut Enviro Regulatory Affairs","Utility Services","85809.77","588","daf11f47bc3010db03d76667ccda108b2d32d857"
"SR PLANNER, CITY","Comm Dev & Neighborhood Svcs","Planning, Dev & Transportation","85619.7699999999","589","54e629e274158bd249e504a8fc7d46ffad76cf6a"
"GIS MAPPING ANALYST","Poudre Fire Authority","Poudre Fire Authority","85521.3399999999","590","5c09a5b71e4736d014c376f2918d269310ca8cfe"
"POLICE OFFICER","Community and Special Services","Police Services","85493.3300000001","591","87c4955606f0403b47c8155c475b8318c406be40"
"MANAGER, SCIENCES","Utilities Customer Connections","Utility Services","85302.6799999999","592","fcfa7c4e9364391f3a7a306716f6cb7cae200d9b"
"POLICE OFFICER","Investigations","Police Services","85296.95999999999","593","c4481e02fda1fc762b85f7c5c19a5f28e346c57f"
"POLICE OFFICER","Patrol","Police Services","85296.95999999999","594","0a9f27c90671f7ae7b44c6fe48c3bdd9852a5e65"
"CIVIL ENGINEER II","Streets","Planning, Dev & Transportation","85271.1700000001","595","9a23a7c41d4d25ca41e1b5398fb771eef106d5e0"
"ELECTRIC LINEWORKER","Electric Field Services","Utility Services","85248.70999999999","596","060b204bc60e66f0f5495af0c7165cf108e2b2b1"
