"sex","race","hispanic","language","city","age","state","geocoded_column"
"F","Unknown","Unknown","ENGLISH","DALY CITY","40","ca","POINT (-122.472221 37.691113)"
"F","Other","Yes","SPANISH","SAN CARLOS","45","ca","POINT (-122.264927 37.503733)"
"M","White","Yes","ENGLISH","MILLBRAE","62","ca","POINT (-122.397199 37.603633)"
"F","Black","Unknown","UNKNOWN","REDWOOD CITY","60","ca","POINT (-122.22815 37.484778)"
"M","Other","Yes","ENGLISH","SAN MATEO","49","ca","POINT (-122.314351 37.547166)"
"M","White","Unknown","UNKNOWN","SAN FRANCISCO","33","ca","POINT (-122.420168 37.78008)"
"M","White","No","ENGLISH","REDWOOD CITY","65","ca","POINT (-122.22815 37.484778)"
"M","White","No","ENGLISH","SAN MATEO","70","ca","POINT (-122.314351 37.547166)"
"F","Asian","No","PUNJABI","SAN BRUNO","87","ca","POINT (-122.416148 37.627277)"
"M","White","No","ENGLISH","PACIFICA","31","ca","POINT (-122.48704 37.613823)"
"M","Black","No","ENGLISH","HOMELESS","49","ca","POINT (-120.153119 40.13117)"
"M","White","No","ENGLISH","REDWOOD CITY","57","ca","POINT (-122.22815 37.484778)"
"F","Black","No","ENGLISH","PACIFICA","44","ca","POINT (-122.48704 37.613823)"
"F","Other","Yes","SPANISH","MENLO PARK","71","ca","POINT (-122.18296 37.453629)"
"M","White","Yes","SPANISH","DALY CITY","47","ca","POINT (-122.472221 37.691113)"
"M","White","No","ENGLISH","REDWOOD CITY","60","ca","POINT (-122.22815 37.484778)"
"F","Native American","Unknown","UNKNOWN","SAN MATEO","77","ca","POINT (-122.314351 37.547166)"
"M","White","Unknown","UNKNOWN","SOUTH SAN FRANCISCO","63","ca","POINT (-122.412482 37.65568)"
"M","Other","Yes","ENGLISH","HOMELESS","40","ca","POINT (-120.153119 40.13117)"
"M","Pacific Islander","No","ENGLISH","REDWOOD CITY","48","ca","POINT (-122.22815 37.484778)"
"M","White","No","ENGLISH","HOMELESS","41","ca","POINT (-120.153119 40.13117)"
"M","White","No","ENGLISH","SAN MATEO","64","ca","POINT (-122.314351 37.547166)"
"M","White","No","ENGLISH","HOMELESS","69","ca","POINT (-120.153119 40.13117)"
"F","White","Unknown","UNKNOWN","EAST PALO ALTO","63","ca","POINT (-122.139284 37.464162)"
"M","White","Yes","SPANISH","REDWOOD CITY","28","ca","POINT (-122.22815 37.484778)"
"M","Unknown","Unknown","ENGLISH","SAN MATEO","78","ca","POINT (-122.314351 37.547166)"
"M","Native American","No","ENGLISH","SAN MATEO","47","ca","POINT (-122.314351 37.547166)"
"M","White","No","ENGLISH","REDWOOD CITY","25","ca","POINT (-122.22815 37.484778)"
"F","White","Yes","ENGLISH","FOSTER CITY","45","ca","POINT (-122.266445 37.561881)"
"M","White","No","ENGLISH","SAN MATEO","61","ca","POINT (-122.314351 37.547166)"
"M","White","No","ENGLISH","MILLBRAE","28","ca","POINT (-122.397199 37.603633)"
"F","White","Unknown","ENGLISH","BRISBANE","65","ca","POINT (-122.400522 37.682669)"
"F","Asian","Unknown","UNKNOWN","BELMONT","64","ca","POINT (-122.291951 37.508536)"
"F","White","Yes","SPANISH","EAST PALO ALTO","38","ca","POINT (-122.139284 37.464162)"
"M","White","No","ENGLISH","PACIFICA","35","ca","POINT (-122.48704 37.613823)"
"F","White","Unknown","UNKNOWN","SOUTH SAN FRANCISCO","70","ca","POINT (-122.412482 37.65568)"
"F","White","Unknown","SPANISH","EAST PALO ALTO","78","ca","POINT (-122.139284 37.464162)"
"M","White","No","ENGLISH","SAN MATEO","62","ca","POINT (-122.314351 37.547166)"
"M","White","Unknown","UNKNOWN","REDWOOD CITY","26","ca","POINT (-122.22815 37.484778)"
"F","White","Yes","ENGLISH","HOMELESS","64","ca","POINT (-120.153119 40.13117)"
"M","Black","Unknown","UNKNOWN","SOUTH SAN FRANCISCO","59","ca","POINT (-122.412482 37.65568)"
"M","White","Yes","SPANISH","REDWOOD CITY","46","ca","POINT (-122.22815 37.484778)"
"M","Black","Unknown","ENGLISH","EAST PALO ALTO","37","ca","POINT (-122.139284 37.464162)"
"M","White","Unknown","ENGLISH","OAKLAND","60","ca","POINT (-122.27248 37.804828)"
"F","White","Unknown","UNKNOWN","MILLBRAE","72","ca","POINT (-122.397199 37.603633)"
"M","White","Yes","ENGLISH","SOUTH SAN FRANCISCO","54","ca","POINT (-122.412482 37.65568)"
"M","White","No","ENGLISH","REDWOOD CITY","66","ca","POINT (-122.22815 37.484778)"
"F","White","No","ENGLISH","DALY CITY","30","ca","POINT (-122.472221 37.691113)"
"F","Unknown","Unknown","ENGLISH","OAKLAND","106","ca","POINT (-122.27248 37.804828)"
"F","White","Yes","ENGLISH","SAN BRUNO","52","ca","POINT (-122.416148 37.627277)"
"M","White","No","ENGLISH","EAST PALO ALTO","32","ca","POINT (-122.139284 37.464162)"
"F","White","Yes","SPANISH","HALF MOON BAY","52","ca","POINT (-122.429242 37.463638)"
"F","White","No","ENGLISH","HALF MOON BAY","34","ca","POINT (-122.429242 37.463638)"
"F","White","Unknown","UNKNOWN","MILLBRAE","43","ca","POINT (-122.397199 37.603633)"
"M","White","No","ENGLISH","DALY CITY","60","ca","POINT (-122.472221 37.691113)"
"F","Black","Unknown","ENGLISH","REDWOOD CITY","55","ca","POINT (-122.22815 37.484778)"
"M","White","Unknown","ENGLISH","SAN MATEO","31","ca","POINT (-122.314351 37.547166)"
"M","Declined to State","Unknown","UNKNOWN","DALY CITY","64","ca","POINT (-122.472221 37.691113)"
"M","White","Yes","SPANISH","REDWOOD CITY","27","ca","POINT (-122.22815 37.484778)"
"F","Asian","No","CANTONESE","MENLO PARK","90","ca","POINT (-122.18296 37.453629)"
"F","White","Yes","SPANISH","SAN MATEO","56","ca","POINT (-122.314351 37.547166)"
"M","White","Yes","ENGLISH","SAN MATEO","37","ca","POINT (-122.314351 37.547166)"
"F","White","No","ENGLISH","REDWOOD CITY","74","ca","POINT (-122.22815 37.484778)"
"F","White","No","ENGLISH","HALF MOON BAY","67","ca","POINT (-122.429242 37.463638)"
"M","White","No","ENGLISH","BELMONT","46","ca","POINT (-122.291951 37.508536)"
"M","Other","Yes","ENGLISH","PALO ALTO","38","ca","POINT (-122.160363 37.445103)"
"M","Other","Yes","ENGLISH","BURLINGAME","55","ca","POINT (-122.366265 37.584195)"
"F","Other","No","ENGLISH","REDWOOD CITY","57","ca","POINT (-122.22815 37.484778)"
"M","Declined to State","Yes","SPANISH","SAN MATEO","40","ca","POINT (-122.314351 37.547166)"
"M","White","No","ENGLISH","PACIFICA","54","ca","POINT (-122.48704 37.613823)"
"M","Unknown","Unknown","UNKNOWN","DALY CITY","31","ca","POINT (-122.472221 37.691113)"
"F","White","Yes","ENGLISH","EAST PALO ALTO","61","ca","POINT (-122.139284 37.464162)"
"F","White","Unknown","UNKNOWN","MENLO PARK","74","ca","POINT (-122.18296 37.453629)"
"F","White","Unknown","UNKNOWN","BURLINGAME","39","ca","POINT (-122.366265 37.584195)"
"M","White","No","ENGLISH","SAN MATEO","33","ca","POINT (-122.314351 37.547166)"
"F","Native American","No","ENGLISH","SAN BRUNO","68","ca","POINT (-122.416148 37.627277)"
"M","Pacific Islander","No","ENGLISH","SAN BRUNO","38","ca","POINT (-122.416148 37.627277)"
"M","White","Yes","ENGLISH","REDWOOD CITY","27","ca","POINT (-122.22815 37.484778)"
"F","White","Yes","SPANISH","BELMONT","39","ca","POINT (-122.291951 37.508536)"
"M","White","Yes","SPANISH","BELMONT","64","ca","POINT (-122.291951 37.508536)"
"M","White","No","ENGLISH","HOMELESS","64","ca","POINT (-120.153119 40.13117)"
"F","Other","Yes","SPANISH","SAN BRUNO","55","ca","POINT (-122.416148 37.627277)"
"M","Unknown","Unknown","ENGLISH","SAN FRANCISCO","38","ca","POINT (-122.420168 37.78008)"
"M","White","Yes","ENGLISH","REDWOOD CITY","64","ca","POINT (-122.22815 37.484778)"
"M","Asian","No","MANDARIN","FOSTER CITY","88","ca","POINT (-122.266445 37.561881)"
"M","Asian","No","ENGLISH","DALY CITY","55","ca","POINT (-122.472221 37.691113)"
"F","Declined to State","Yes","ENGLISH","HOMELESS","38","ca","POINT (-120.153119 40.13117)"
"M","White","No","ENGLISH","SAN MATEO","32","ca","POINT (-122.314351 37.547166)"
"F","Other","Yes","SPANISH","SOUTH SAN FRANCISCO","54","ca","POINT (-122.412482 37.65568)"
"M","White","No","ENGLISH","EAST PALO ALTO","36","ca","POINT (-122.139284 37.464162)"
"M","Asian","No","ENGLISH","DALY CITY","37","ca","POINT (-122.472221 37.691113)"
"M","White","Unknown","UNKNOWN","SOUTH SAN FRANCISCO","29","ca","POINT (-122.412482 37.65568)"
"M","White","No","ENGLISH","DALY CITY","29","ca","POINT (-122.472221 37.691113)"
"M","Other","No","ENGLISH","CANOGA PARK","83","ca","POINT (-118.597198 34.201099)"
"M","Other","Yes","SPANISH","FOSTER CITY","55","ca","POINT (-122.266445 37.561881)"
"M","White","Unknown","ENGLISH","PACIFICA","56","ca","POINT (-122.48704 37.613823)"
"M","Black","No","ENGLISH","BURLINGAME","29","ca","POINT (-122.366265 37.584195)"
"F","White","No","ENGLISH","BURLINGAME","53","ca","POINT (-122.366265 37.584195)"
"F","White","No","ENGLISH","BURLINGAME","58","ca","POINT (-122.366265 37.584195)"
"M","White","No","ENGLISH","REDWOOD CITY","67","ca","POINT (-122.22815 37.484778)"
"M","White","Unknown","ENGLISH","DALY CITY","64","ca","POINT (-122.472221 37.691113)"
"F","Asian","Unknown","ENGLISH","DALY CITY","50","ca","POINT (-122.472221 37.691113)"
"F","Other","Yes","ENGLISH","REDWOOD CITY","33","ca","POINT (-122.22815 37.484778)"
"M","Other","Yes","ENGLISH","SOUTH SAN FRANCISCO","28","ca","POINT (-122.412482 37.65568)"
"M","White","Unknown","UNKNOWN","REDWOOD CITY","42","ca","POINT (-122.22815 37.484778)"
"M","Black","Unknown","UNKNOWN","SAN MATEO","38","ca","POINT (-122.314351 37.547166)"
"M","Pacific Islander","No","TONGAN","EAST PALO ALTO","79","ca","POINT (-122.139284 37.464162)"
"F","Black","No","ENGLISH","SOUTH SAN FRANCISCO","63","ca","POINT (-122.412482 37.65568)"
"F","Black","No","ENGLISH","SOUTH SAN FRANCISCO","57","ca","POINT (-122.412482 37.65568)"
"F","White","Unknown","ENGLISH","REDWOOD CITY","55","ca","POINT (-122.22815 37.484778)"
"F","White","No","ENGLISH","MENLO PARK","52","ca","POINT (-122.18296 37.453629)"
"F","Black","No","ENGLISH","EAST PALO ALTO","63","ca","POINT (-122.139284 37.464162)"
"F","White","No","ENGLISH","REDWOOD CITY","33","ca","POINT (-122.22815 37.484778)"
"M","Other","Unknown","ENGLISH","SOUTH SAN FRANCISCO","59","ca","POINT (-122.412482 37.65568)"
"M","White","No","ENGLISH","REDWOOD CITY","40","ca","POINT (-122.22815 37.484778)"
"M","White","No","ENGLISH","BURLINGAME","53","ca","POINT (-122.366265 37.584195)"
"M","White","Yes","SPANISH","REDWOOD CITY","40","ca","POINT (-122.22815 37.484778)"
"M","Other","Yes","SPANISH","DALY CITY","51","ca","POINT (-122.472221 37.691113)"
"M","White","No","ENGLISH","REDWOOD CITY","47","ca","POINT (-122.22815 37.484778)"
"F","White","No","ENGLISH","DALY CITY","65","ca","POINT (-122.472221 37.691113)"
"F","White","No","ENGLISH","PACIFICA","66","ca","POINT (-122.48704 37.613823)"
"F","White","No","ENGLISH","SAN MATEO","47","ca","POINT (-122.314351 37.547166)"
"M","White","No","ENGLISH","HAYWARD","80","ca","POINT (-122.083963 37.672111)"
"F","White","No","ENGLISH","REDWOOD CITY","45","ca","POINT (-122.22815 37.484778)"
"M","Black","Unknown","UNKNOWN","PALO ALTO","56","ca","POINT (-122.160363 37.445103)"
"F","White","No","ENGLISH","SAN MATEO","44","ca","POINT (-122.314351 37.547166)"
"F","White","Unknown","UNKNOWN","SAN MATEO","48","ca","POINT (-122.314351 37.547166)"
"F","White","No","ENGLISH","PACIFICA","71","ca","POINT (-122.48704 37.613823)"
"F","White","Yes","ENGLISH","REDWOOD CITY","35","ca","POINT (-122.22815 37.484778)"
"M","White","Yes","SPANISH","SOUTH SAN FRANCISCO","53","ca","POINT (-122.412482 37.65568)"
"F","Asian","No","CHINESE","BURLINGAME","90","ca","POINT (-122.366265 37.584195)"
"F","White","Unknown","UNKNOWN","REDWOOD CITY","80","ca","POINT (-122.22815 37.484778)"
"F","White","No","ENGLISH","DALY CITY","72","ca","POINT (-122.472221 37.691113)"
"F","Black","Unknown","ENGLISH","SAN MATEO","53","ca","POINT (-122.314351 37.547166)"
"M","Other","Yes","ENGLISH","SAN MATEO","66","ca","POINT (-122.314351 37.547166)"
"M","White","No","ENGLISH","MENLO PARK","65","ca","POINT (-122.18296 37.453629)"
"M","White","Unknown","UNKNOWN","REDWOOD CITY","51","ca","POINT (-122.22815 37.484778)"
"F","White","No","ENGLISH","REDWOOD CITY","61","ca","POINT (-122.22815 37.484778)"
"M","White","No","SPANISH","HOMELESS","63","ca","POINT (-120.153119 40.13117)"
"F","Other","Yes","ENGLISH","SAN MATEO","40","ca","POINT (-122.314351 37.547166)"
"M","Asian","Unknown","UNKNOWN","SAN BRUNO","88","ca","POINT (-122.416148 37.627277)"
"M","White","Yes","ENGLISH","SAN MATEO","28","ca","POINT (-122.314351 37.547166)"
"M","White","No","ENGLISH","SAN MATEO","63","ca","POINT (-122.314351 37.547166)"
"F","White","No","ENGLISH","MENLO PARK","37","ca","POINT (-122.18296 37.453629)"
"M","White","No","ENGLISH","BURLINGAME","35","ca","POINT (-122.366265 37.584195)"
"F","White","No","ENGLISH","HOMELESS","56","ca","POINT (-120.153119 40.13117)"
"M","White","No","ENGLISH","SUNNYVALE","62","ca","POINT (-122.036572 37.373676)"
"M","Unknown","Unknown","ENGLISH","SOUTH SAN FRANCISCO","88","ca","POINT (-122.412482 37.65568)"
"F","White","Yes","ENGLISH","SOUTH SAN FRANCISCO","23","ca","POINT (-122.412482 37.65568)"
"M","Unknown","Unknown","ENGLISH","GILROY","74","ca","POINT (-121.568708 37.006768)"
"M","White","No","ENGLISH","PACIFICA","29","ca","POINT (-122.48704 37.613823)"
"M","White","Unknown","UNKNOWN","HALF MOON BAY","79","ca","POINT (-122.429242 37.463638)"
"M","White","Unknown","UNKNOWN","PACIFICA","29","ca","POINT (-122.48704 37.613823)"
"M","Asian","No","ENGLISH","SAN BRUNO","69","ca","POINT (-122.416148 37.627277)"
"M","White","Unknown","UNKNOWN","SAN MATEO","63","ca","POINT (-122.314351 37.547166)"
"M","White","Yes","SPANISH","REDWOOD CITY","88","ca","POINT (-122.22815 37.484778)"
"F","White","Yes","ENGLISH","DALY CITY","27","ca","POINT (-122.472221 37.691113)"
"F","White","Unknown","UNKNOWN","SAN MATEO","29","ca","POINT (-122.314351 37.547166)"
"F","White","Unknown","UNKNOWN","SAN MATEO","64","ca","POINT (-122.314351 37.547166)"
"F","White","No","ENGLISH","SAN MATEO","40","ca","POINT (-122.314351 37.547166)"
"F","White","No","ENGLISH","REDWOOD CITY","51","ca","POINT (-122.22815 37.484778)"
"F","Unknown","Unknown","FARSI","SOUTH SAN FRANCISCO","76","ca","POINT (-122.412482 37.65568)"
"M","White","Unknown","ENGLISH","HALF MOON BAY","58","ca","POINT (-122.429242 37.463638)"
"M","White","No","ENGLISH","BURLINGAME","56","ca","POINT (-122.366265 37.584195)"
"F","Black","Unknown","ENGLISH","REDWOOD CITY","56","ca","POINT (-122.22815 37.484778)"
"F","Other","Yes","SPANISH","BELMONT","32","ca","POINT (-122.291951 37.508536)"
"M","White","Yes","ENGLISH","HOMELESS","31","ca","POINT (-120.153119 40.13117)"
"M","White","Yes","SPANISH","REDWOOD CITY","54","ca","POINT (-122.22815 37.484778)"
"M","Pacific Islander","No","ENGLISH","EAST PALO ALTO","61","ca","POINT (-122.139284 37.464162)"
"F","Pacific Islander","Unknown","ENGLISH","PACIFICA","60","ca","POINT (-122.48704 37.613823)"
"M","White","Yes","ENGLISH","SAN MATEO","45","ca","POINT (-122.314351 37.547166)"
"F","White","No","ENGLISH","SAN MATEO","61","ca","POINT (-122.314351 37.547166)"
"M","White","No","ENGLISH","SAN BRUNO","36","ca","POINT (-122.416148 37.627277)"
"F","White","Yes","SPANISH","EAST PALO ALTO","65","ca","POINT (-122.139284 37.464162)"
"M","Unknown","Unknown","ENGLISH","SAN FRANCISCO","19","ca","POINT (-122.420168 37.78008)"
"M","White","No","ENGLISH","REDWOOD CITY","42","ca","POINT (-122.22815 37.484778)"
"M","Black","No","ENGLISH","EAST PALO ALTO","66","ca","POINT (-122.139284 37.464162)"
"F","Native American","No","ENGLISH","SAN MATEO","35","ca","POINT (-122.314351 37.547166)"
"M","White","Unknown","UNKNOWN","SAN MATEO","54","ca","POINT (-122.314351 37.547166)"
"M","White","No","ENGLISH","SAN MATEO","63","ca","POINT (-122.314351 37.547166)"
"F","Black","Unknown","UNKNOWN","DALY CITY","58","ca","POINT (-122.472221 37.691113)"
"F","White","No","ENGLISH","REDWOOD CITY","32","ca","POINT (-122.22815 37.484778)"
"F","White","Yes","SPANISH","REDWOOD CITY","21","ca","POINT (-122.22815 37.484778)"
"M","White","No","ENGLISH","SOUTH SAN FRANCISCO","57","ca","POINT (-122.412482 37.65568)"
"M","White","No","ENGLISH","REDWOOD CITY","45","ca","POINT (-122.22815 37.484778)"
"F","White","Unknown","UNKNOWN","SAN MATEO","72","ca","POINT (-122.314351 37.547166)"
"M","Black","No","ENGLISH","EAST PALO ALTO","29","ca","POINT (-122.139284 37.464162)"
"M","Asian","Unknown","ENGLISH","DALY CITY","46","ca","POINT (-122.472221 37.691113)"
"F","White","Unknown","ENGLISH","SAN BRUNO","22","ca","POINT (-122.416148 37.627277)"
"M","White","No","ENGLISH","HOMELESS","49","ca","POINT (-120.153119 40.13117)"
"M","White","No","ENGLISH","BELMONT","63","ca","POINT (-122.291951 37.508536)"
"M","White","No","ENGLISH","DALY CITY","55","ca","POINT (-122.472221 37.691113)"
"M","White","No","ENGLISH","SAN MATEO","61","ca","POINT (-122.314351 37.547166)"
"F","White","Unknown","SPANISH","SAN MATEO","88","ca","POINT (-122.314351 37.547166)"
"F","White","No","ENGLISH","REDWOOD CITY","57","ca","POINT (-122.22815 37.484778)"
"M","Unknown","Unknown","UNKNOWN","SOUTH SAN FRANCISCO","52","ca","POINT (-122.412482 37.65568)"
"M","White","No","ENGLISH","BELMONT","26","ca","POINT (-122.291951 37.508536)"
"F","White","Unknown","UNKNOWN","MILLBRAE","58","ca","POINT (-122.397199 37.603633)"
"M","White","No","ENGLISH","SAN MATEO","55","ca","POINT (-122.314351 37.547166)"
"M","Other","No","ENGLISH","DALY CITY","33","ca","POINT (-122.472221 37.691113)"
"F","White","No","ENGLISH","HOMELESS","61","ca","POINT (-120.153119 40.13117)"
"F","Unknown","Unknown","ENGLISH","OAKDALE","46","ca","POINT (-120.849475 37.76861)"
"M","White","No","ENGLISH","PACIFICA","39","ca","POINT (-122.48704 37.613823)"
"M","White","Unknown","UNKNOWN","MOSS BEACH","70","ca","POINT (-122.513396 37.527471)"
"M","Other","Unknown","ENGLISH","DALY CITY","48","ca","POINT (-122.472221 37.691113)"
"F","White","Yes","PORTUGUESE","PACIFICA","66","ca","POINT (-122.48704 37.613823)"
"M","White","Unknown","ENGLISH","REDWOOD CITY","42","ca","POINT (-122.22815 37.484778)"
"F","White","Unknown","UNKNOWN","REDWOOD CITY","64","ca","POINT (-122.22815 37.484778)"
"M","White","Unknown","UNKNOWN","CAPITOLA","64","ca","POINT (-121.952033 36.973068)"
"M","Pacific Islander","No","ENGLISH","SOUTH SAN FRANCISCO","52","ca","POINT (-122.412482 37.65568)"
"M","White","Unknown","ENGLISH","SAN CARLOS","59","ca","POINT (-122.264927 37.503733)"
"M","Other","No","ENGLISH","SOUTH SAN FRANCISCO","27","ca","POINT (-122.412482 37.65568)"
"F","White","Yes","ENGLISH","HOMELESS","20","ca","POINT (-120.153119 40.13117)"
"M","White","Yes","ENGLISH","PATTERSON","30","ca","POINT (-121.130519 37.471373)"
"M","White","Yes","ENGLISH","EAST PALO ALTO","22","ca","POINT (-122.139284 37.464162)"
"M","White","No","ENGLISH","REDWOOD CITY","67","ca","POINT (-122.22815 37.484778)"
"M","White","Yes","SPANISH","EAST PALO ALTO","74","ca","POINT (-122.139284 37.464162)"
"M","White","Yes","ENGLISH","SAN MATEO","43","ca","POINT (-122.314351 37.547166)"
"M","Asian","Yes","ENGLISH","SAN MATEO","65","ca","POINT (-122.314351 37.547166)"
"M","White","Unknown","ENGLISH","BELMONT","60","ca","POINT (-122.291951 37.508536)"
"M","White","No","ENGLISH","SAN BRUNO","54","ca","POINT (-122.416148 37.627277)"
"M","White","No","ENGLISH","VAN NUYS","45","ca","POINT (-118.448097 34.186699)"
"M","Other","Yes","ENGLISH","SAN MATEO","29","ca","POINT (-122.314351 37.547166)"
"F","White","No","ENGLISH","SAN CARLOS","81","ca","POINT (-122.264927 37.503733)"
"F","Black","No","ENGLISH","SAN MATEO","98","ca","POINT (-122.314351 37.547166)"
"M","Asian","No","MANDARIN","FOSTER CITY","84","ca","POINT (-122.266445 37.561881)"
"M","Black","No","ENGLISH","EAST PALO ALTO","61","ca","POINT (-122.139284 37.464162)"
"F","Unknown","Unknown","ENGLISH","SAN CARLOS","94","ca","POINT (-122.264927 37.503733)"
"M","White","Unknown","ENGLISH","REDWOOD CITY","32","ca","POINT (-122.22815 37.484778)"
"M","Other","Unknown","UNKNOWN","FAIRFIELD","32","ca","POINT (-122.049851 38.251488)"
"F","Pacific Islander","No","ENGLISH","REDWOOD CITY","53","ca","POINT (-122.22815 37.484778)"
"M","White","No","ENGLISH","FOSTER CITY","75","ca","POINT (-122.266445 37.561881)"
"F","White","No","ENGLISH","SOUTH SAN FRANCISCO","73","ca","POINT (-122.412482 37.65568)"
"F","White","Unknown","ENGLISH","HALF MOON BAY","49","ca","POINT (-122.429242 37.463638)"
"M","White","Yes","ENGLISH","SAN MATEO","66","ca","POINT (-122.314351 37.547166)"
"M","White","Unknown","ENGLISH","HOMELESS","22","ca","POINT (-120.153119 40.13117)"
"F","Asian","No","ENGLISH","DALY CITY","52","ca","POINT (-122.472221 37.691113)"
"M","White","No","ENGLISH","EAST PALO ALTO","56","ca","POINT (-122.139284 37.464162)"
"F","White","No","ENGLISH","SAN MATEO","68","ca","POINT (-122.314351 37.547166)"
"M","White","Unknown","UNKNOWN","BURLINGAME","49","ca","POINT (-122.366265 37.584195)"
"M","White","Unknown","UNKNOWN","REDWOOD CITY","86","ca","POINT (-122.22815 37.484778)"
"M","White","No","ENGLISH","SAN BRUNO","64","ca","POINT (-122.416148 37.627277)"
"F","White","Unknown","ENGLISH","REDWOOD CITY","46","ca","POINT (-122.22815 37.484778)"
"M","Unknown","Unknown","UNKNOWN","SAN MATEO","38","ca","POINT (-122.314351 37.547166)"
"F","Unknown","Unknown","ENGLISH","REDWOOD CITY","49","ca","POINT (-122.22815 37.484778)"
"M","White","Unknown","ENGLISH","REDWOOD CITY","54","ca","POINT (-122.22815 37.484778)"
"M","White","Unknown","ENGLISH","REDWOOD CITY","69","ca","POINT (-122.22815 37.484778)"
"M","White","No","ENGLISH","SAN MATEO","33","ca","POINT (-122.314351 37.547166)"
"M","White","Unknown","ENGLISH","SOUTH SAN FRANCISCO","48","ca","POINT (-122.412482 37.65568)"
"F","Asian","Unknown","UNKNOWN","CONCORD","39","ca","POINT (-122.031333 37.979103)"
"M","Other","Unknown","SPANISH","REDWOOD CITY","67","ca","POINT (-122.22815 37.484778)"
"M","Black","No","ENGLISH","REDWOOD CITY","57","ca","POINT (-122.22815 37.484778)"
"F","White","Unknown","UNKNOWN","PACIFICA","55","ca","POINT (-122.48704 37.613823)"
"F","Black","No","ENGLISH","EAST PALO ALTO","66","ca","POINT (-122.139284 37.464162)"
"F","White","No","ENGLISH","SAN BRUNO","46","ca","POINT (-122.416148 37.627277)"
"M","White","No","ENGLISH","HOMELESS","52","ca","POINT (-120.153119 40.13117)"
"F","White","No","ENGLISH","REDWOOD CITY","42","ca","POINT (-122.22815 37.484778)"
"F","White","Unknown","ENGLISH","SAN BRUNO","69","ca","POINT (-122.416148 37.627277)"
"M","White","No","ENGLISH","SAN MATEO","30","ca","POINT (-122.314351 37.547166)"
"M","White","No","ENGLISH","SAN MATEO","26","ca","POINT (-122.314351 37.547166)"
"F","White","Yes","ENGLISH","DALY CITY","35","ca","POINT (-122.472221 37.691113)"
"F","White","Yes","SPANISH","SAN MATEO","52","ca","POINT (-122.314351 37.547166)"
"M","White","No","ENGLISH","REDWOOD CITY","46","ca","POINT (-122.22815 37.484778)"
"F","Unknown","No","ENGLISH","SOUTH SAN FRANCISCO","62","ca","POINT (-122.412482 37.65568)"
"M","Other","Yes","SPANISH","DALY CITY","46","ca","POINT (-122.472221 37.691113)"
"M","Asian","No","TAGALOG","SOUTH SAN FRANCISCO","76","ca","POINT (-122.412482 37.65568)"
"M","Black","Yes","ENGLISH","SAN MATEO","33","ca","POINT (-122.314351 37.547166)"
"F","White","No","ENGLISH","SAN MATEO","41","ca","POINT (-122.314351 37.547166)"
"M","White","No","ENGLISH","BELMONT","61","ca","POINT (-122.291951 37.508536)"
"M","White","Unknown","UNKNOWN","SAN MATEO","35","ca","POINT (-122.314351 37.547166)"
"F","White","Yes","ENGLISH","SOUTH SAN FRANCISCO","55","ca","POINT (-122.412482 37.65568)"
"M","White","Yes","SPANISH","REDWOOD CITY","59","ca","POINT (-122.22815 37.484778)"
"F","White","No","ENGLISH","BURLINGAME","65","ca","POINT (-122.366265 37.584195)"
"F","Other","Yes","SPANISH","HALF MOON BAY","32","ca","POINT (-122.429242 37.463638)"
"M","White","Unknown","UNKNOWN","REDWOOD CITY","51","ca","POINT (-122.22815 37.484778)"
"F","Unknown","Unknown","ENGLISH","SAN BRUNO","34","ca","POINT (-122.416148 37.627277)"
"M","Black","No","ENGLISH","EAST PALO ALTO","62","ca","POINT (-122.139284 37.464162)"
"F","White","No","ENGLISH","REDWOOD CITY","43","ca","POINT (-122.22815 37.484778)"
"F","Unknown","Unknown","ENGLISH","FREMONT","49","ca","POINT (-121.980829 37.550195)"
"M","Black","Unknown","ENGLISH","HOMELESS","53","ca","POINT (-120.153119 40.13117)"
"F","Asian","Unknown","UNKNOWN","REDWOOD CITY","49","ca","POINT (-122.22815 37.484778)"
"F","White","No","ENGLISH","MENLO PARK","67","ca","POINT (-122.18296 37.453629)"
"M","White","No","ENGLISH","DALY CITY","58","ca","POINT (-122.472221 37.691113)"
"M","White","No","ARABIC","MODESTO","52","ca","POINT (-121.002435 37.640735)"
"M","Asian","No","ENGLISH","REDWOOD CITY","71","ca","POINT (-122.22815 37.484778)"
"M","Black","No","ENGLISH","HALF MOON BAY","72","ca","POINT (-122.429242 37.463638)"
"M","White","No","ENGLISH","REDWOOD CITY","66","ca","POINT (-122.22815 37.484778)"
"F","White","Yes","ENGLISH","DALY CITY","58","ca","POINT (-122.472221 37.691113)"
"M","White","No","ENGLISH","REDWOOD CITY","38","ca","POINT (-122.22815 37.484778)"
"F","Other","Yes","SPANISH","SAN MATEO","23","ca","POINT (-122.314351 37.547166)"
"F","White","Yes","SPANISH","MENLO PARK","43","ca","POINT (-122.18296 37.453629)"
"M","White","Yes","ENGLISH","HOMELESS","35","ca","POINT (-120.153119 40.13117)"
"M","White","Yes","SPANISH","HOMELESS","53","ca","POINT (-120.153119 40.13117)"
"F","Unknown","Unknown","SPANISH","DALY CITY","85","ca","POINT (-122.472221 37.691113)"
"M","White","No","ENGLISH","HOMELESS","60","ca","POINT (-120.153119 40.13117)"
"F","Other","Yes","ENGLISH","REDWOOD CITY","42","ca","POINT (-122.22815 37.484778)"
